game,2012,14,20121206,201212060rai,den,"Denver Broncos",26,rai,"Oakland Raiders",13
player,201212060rai,rai,StreRo00,fumbles_lost,0,,,,,
player,201212060rai,rai,HeywDa00,pass_cmp,0,,,,,
player,201212060rai,rai,HeywDa00,pass_att,0,,,,,
player,201212060rai,rai,HeywDa00,pass_yds,0,,,,,
player,201212060rai,rai,HeywDa00,pass_td,0,,,,,
player,201212060rai,rai,HeywDa00,pass_int,0,,,,,
player,201212060rai,rai,HeywDa00,pass_sacked,,,,,,
player,201212060rai,rai,HeywDa00,pass_sacked_yds,0,,,,,
player,201212060rai,rai,HeywDa00,pass_long,0,,,,,
player,201212060rai,rai,HeywDa00,pass_rating,,,,,,
player,201212060rai,rai,HeywDa00,rush_att,0,,,,,
player,201212060rai,rai,HeywDa00,rush_yds,0,,,,,
player,201212060rai,rai,HeywDa00,rush_td,0,,,,,
player,201212060rai,rai,HeywDa00,rush_long,0,,,,,
player,201212060rai,rai,HeywDa00,targets,6,,,,,
player,201212060rai,rai,HeywDa00,rec,5,,,,,
player,201212060rai,rai,HeywDa00,rec_yds,82,,,,,
player,201212060rai,rai,HeywDa00,rec_td,1,,,,,
player,201212060rai,rai,HeywDa00,rec_long,56,,,,,
player,201212060rai,rai,HeywDa00,fumbles,0,,,,,
player,201212060rai,rai,HeywDa00,fumbles_lost,0,,,,,
player,201212060rai,rai,MoorDe02,pass_cmp,0,,,,,
player,201212060rai,rai,MoorDe02,pass_att,0,,,,,
player,201212060rai,rai,MoorDe02,pass_yds,0,,,,,
player,201212060rai,rai,MoorDe02,pass_td,0,,,,,
player,201212060rai,rai,MoorDe02,pass_int,0,,,,,
player,201212060rai,rai,MoorDe02,pass_sacked,,,,,,
player,201212060rai,rai,MoorDe02,pass_sacked_yds,0,,,,,
player,201212060rai,rai,MoorDe02,pass_long,0,,,,,
player,201212060rai,rai,MoorDe02,pass_rating,,,,,,
player,201212060rai,rai,MoorDe02,rush_att,0,,,,,
player,201212060rai,rai,MoorDe02,rush_yds,0,,,,,
player,201212060rai,rai,MoorDe02,rush_td,0,,,,,
player,201212060rai,rai,MoorDe02,rush_long,0,,,,,
player,201212060rai,rai,MoorDe02,targets,6,,,,,
player,201212060rai,rai,MoorDe02,rec,4,,,,,
player,201212060rai,rai,MoorDe02,rec_yds,43,,,,,
player,201212060rai,rai,MoorDe02,rec_td,0,,,,,
player,201212060rai,rai,MoorDe02,rec_long,15,,,,,
player,201212060rai,rai,MoorDe02,fumbles,0,,,,,
player,201212060rai,rai,MoorDe02,fumbles_lost,0,,,,,
player,201212060rai,rai,CrinJu00,pass_cmp,0,,,,,
player,201212060rai,rai,CrinJu00,pass_att,0,,,,,
player,201212060rai,rai,CrinJu00,pass_yds,0,,,,,
player,201212060rai,rai,CrinJu00,pass_td,0,,,,,
player,201212060rai,rai,CrinJu00,pass_int,0,,,,,
player,201212060rai,rai,CrinJu00,pass_sacked,,,,,,
player,201212060rai,rai,CrinJu00,pass_sacked_yds,0,,,,,
player,201212060rai,rai,CrinJu00,pass_long,0,,,,,
player,201212060rai,rai,CrinJu00,pass_rating,,,,,,
player,201212060rai,rai,CrinJu00,rush_att,0,,,,,
player,201212060rai,rai,CrinJu00,rush_yds,0,,,,,
player,201212060rai,rai,CrinJu00,rush_td,0,,,,,
player,201212060rai,rai,CrinJu00,rush_long,0,,,,,
player,201212060rai,rai,CrinJu00,targets,3,,,,,
player,201212060rai,rai,CrinJu00,rec,2,,,,,
player,201212060rai,rai,CrinJu00,rec_yds,24,,,,,
player,201212060rai,rai,CrinJu00,rec_td,0,,,,,
player,201212060rai,rai,CrinJu00,rec_long,17,,,,,
player,201212060rai,rai,CrinJu00,fumbles,0,,,,,
player,201212060rai,rai,CrinJu00,fumbles_lost,0,,,,,
player,201212060rai,rai,MyerBr00,pass_cmp,0,,,,,
player,201212060rai,rai,MyerBr00,pass_att,0,,,,,
player,201212060rai,rai,MyerBr00,pass_yds,0,,,,,
player,201212060rai,rai,MyerBr00,pass_td,0,,,,,
player,201212060rai,rai,MyerBr00,pass_int,0,,,,,
player,201212060rai,rai,MyerBr00,pass_sacked,,,,,,
player,201212060rai,rai,MyerBr00,pass_sacked_yds,0,,,,,
player,201212060rai,rai,MyerBr00,pass_long,0,,,,,
player,201212060rai,rai,MyerBr00,pass_rating,,,,,,
player,201212060rai,rai,MyerBr00,rush_att,0,,,,,
player,201212060rai,rai,MyerBr00,rush_yds,0,,,,,
player,201212060rai,rai,MyerBr00,rush_td,0,,,,,
player,201212060rai,rai,MyerBr00,rush_long,0,,,,,
player,201212060rai,rai,MyerBr00,targets,2,,,,,
player,201212060rai,rai,MyerBr00,rec,1,,,,,
player,201212060rai,rai,MyerBr00,rec_yds,7,,,,,
player,201212060rai,rai,MyerBr00,rec_td,0,,,,,
player,201212060rai,rai,MyerBr00,rec_long,7,,,,,
player,201212060rai,rai,MyerBr00,fumbles,0,,,,,
player,201212060rai,rai,MyerBr00,fumbles_lost,0,,,,,
player,201212060rai,rai,AusbDa00,pass_cmp,0,,,,,
player,201212060rai,rai,AusbDa00,pass_att,0,,,,,
player,201212060rai,rai,AusbDa00,pass_yds,0,,,,,
player,201212060rai,rai,AusbDa00,pass_td,0,,,,,
player,201212060rai,rai,AusbDa00,pass_int,0,,,,,
player,201212060rai,rai,AusbDa00,pass_sacked,0,,,,,
player,201212060rai,rai,AusbDa00,pass_sacked_yds,0,,,,,
player,201212060rai,rai,AusbDa00,pass_long,0,,,,,
player,201212060rai,rai,AusbDa00,pass_rating,,,,,,
player,201212060rai,rai,AusbDa00,rush_att,0,,,,,
player,201212060rai,rai,AusbDa00,rush_yds,0,,,,,
player,201212060rai,rai,AusbDa00,rush_td,0,,,,,
player,201212060rai,rai,AusbDa00,rush_long,0,,,,,
