game,2012,7,20121018,201210180sfo,sea,"Seattle Seahawks",6,sfo,"San Francisco 49ers",13
player,201210180sfo,sea,BaldDo00,rush_att,0,,,,,
player,201210180sfo,sea,BaldDo00,rush_yds,0,,,,,
player,201210180sfo,sea,BaldDo00,rush_td,0,,,,,
player,201210180sfo,sea,BaldDo00,rush_long,0,,,,,
player,201210180sfo,sea,BaldDo00,targets,2,,,,,
player,201210180sfo,sea,BaldDo00,rec,2,,,,,
player,201210180sfo,sea,BaldDo00,rec_yds,15,,,,,
player,201210180sfo,sea,BaldDo00,rec_td,0,,,,,
player,201210180sfo,sea,BaldDo00,rec_long,8,,,,,
player,201210180sfo,sea,BaldDo00,fumbles,0,,,,,
player,201210180sfo,sea,BaldDo00,fumbles_lost,0,,,,,
player,201210180sfo,sea,MillZa01,pass_cmp,0,,,,,
player,201210180sfo,sea,MillZa01,pass_att,0,,,,,
player,201210180sfo,sea,MillZa01,pass_yds,0,,,,,
player,201210180sfo,sea,MillZa01,pass_td,0,,,,,
player,201210180sfo,sea,MillZa01,pass_int,0,,,,,
player,201210180sfo,sea,MillZa01,pass_sacked,0,,,,,
player,201210180sfo,sea,MillZa01,pass_sacked_yds,0,,,,,
player,201210180sfo,sea,MillZa01,pass_long,0,,,,,
player,201210180sfo,sea,MillZa01,pass_rating,,,,,,
player,201210180sfo,sea,MillZa01,rush_att,0,,,,,
player,201210180sfo,sea,MillZa01,rush_yds,0,,,,,
player,201210180sfo,sea,MillZa01,rush_td,0,,,,,
player,201210180sfo,sea,MillZa01,rush_long,0,,,,,
player,201210180sfo,sea,MillZa01,targets,2,,,,,
player,201210180sfo,sea,MillZa01,rec,0,,,,,
player,201210180sfo,sea,MillZa01,rec_yds,0,,,,,
player,201210180sfo,sea,MillZa01,rec_td,0,,,,,
player,201210180sfo,sea,MillZa01,rec_long,0,,,,,
player,201210180sfo,sea,MillZa01,fumbles,0,,,,,
player,201210180sfo,sea,MillZa01,fumbles_lost,0,,,,,
player,201210180sfo,sea,MoorEv00,pass_cmp,0,,,,,
player,201210180sfo,sea,MoorEv00,pass_att,0,,,,,
player,201210180sfo,sea,MoorEv00,pass_yds,0,,,,,
player,201210180sfo,sea,MoorEv00,pass_td,0,,,,,
player,201210180sfo,sea,MoorEv00,pass_int,0,,,,,
player,201210180sfo,sea,MoorEv00,pass_sacked,0,,,,,
player,201210180sfo,sea,MoorEv00,pass_sacked_yds,0,,,,,
player,201210180sfo,sea,MoorEv00,pass_long,0,,,,,
player,201210180sfo,sea,MoorEv00,pass_rating,,,,,,
player,201210180sfo,sea,MoorEv00,rush_att,0,,,,,
player,201210180sfo,sea,MoorEv00,rush_yds,0,,,,,
player,201210180sfo,sea,MoorEv00,rush_td,0,,,,,
player,201210180sfo,sea,MoorEv00,rush_long,0,,,,,
player,201210180sfo,sea,MoorEv00,targets,1,,,,,
player,201210180sfo,sea,MoorEv00,rec,0,,,,,
player,201210180sfo,sea,MoorEv00,rec_yds,0,,,,,
player,201210180sfo,sea,MoorEv00,rec_td,0,,,,,
player,201210180sfo,sea,MoorEv00,rec_long,0,,,,,
player,201210180sfo,sea,MoorEv00,fumbles,0,,,,,
player,201210180sfo,sea,MoorEv00,fumbles_lost,0,,,,,
player,201210180sfo,sea,McCoAn00,pass_cmp,0,,,,,
player,201210180sfo,sea,McCoAn00,pass_att,0,,,,,
player,201210180sfo,sea,McCoAn00,pass_yds,0,,,,,
player,201210180sfo,sea,McCoAn00,pass_td,0,,,,,
player,201210180sfo,sea,McCoAn00,pass_int,0,,,,,
player,201210180sfo,sea,McCoAn00,pass_sacked,0,,,,,
player,201210180sfo,sea,McCoAn00,pass_sacked_yds,0,,,,,
player,201210180sfo,sea,McCoAn00,pass_long,0,,,,,
player,201210180sfo,sea,McCoAn00,pass_rating,,,,,,
player,201210180sfo,sea,McCoAn00,rush_att,0,,,,,
player,201210180sfo,sea,McCoAn00,rush_yds,0,,,,,
player,201210180sfo,sea,McCoAn00,rush_td,0,,,,,
player,201210180sfo,sea,McCoAn00,rush_long,0,,,,,
player,201210180sfo,sea,McCoAn00,targets,1,,,,,
player,201210180sfo,sea,McCoAn00,rec,0,,,,,
player,201210180sfo,sea,McCoAn00,rec_yds,0,,,,,
player,201210180sfo,sea,McCoAn00,rec_td,0,,,,,
player,201210180sfo,sea,McCoAn00,rec_long,0,,,,,
player,201210180sfo,sea,McCoAn00,fumbles,0,,,,,
player,201210180sfo,sea,McCoAn00,fumbles_lost,0,,,,,
player,201210180sfo,sea,EdwaBr00,pass_cmp,0,,,,,
player,201210180sfo,sea,EdwaBr00,pass_att,0,,,,,
player,201210180sfo,sea,EdwaBr00,pass_yds,0,,,,,
