game,2012,16,20121223,201212230htx,min,"Minnesota Vikings",23,htx,"Houston Texans",6
player,201212230htx,min,GerhTo00,rush_yds,31,,,,,
player,201212230htx,min,GerhTo00,rush_td,1,,,,,
player,201212230htx,min,GerhTo00,rush_long,6,,,,,
player,201212230htx,min,GerhTo00,targets,2,,,,,
player,201212230htx,min,GerhTo00,rec,1,,,,,
player,201212230htx,min,GerhTo00,rec_yds,5,,,,,
player,201212230htx,min,GerhTo00,rec_td,0,,,,,
player,201212230htx,min,GerhTo00,rec_long,5,,,,,
player,201212230htx,min,GerhTo00,fumbles,0,,,,,
player,201212230htx,min,GerhTo00,fumbles_lost,0,,,,,
player,201212230htx,min,WrigJa02,pass_cmp,0,,,,,
player,201212230htx,min,WrigJa02,pass_att,0,,,,,
player,201212230htx,min,WrigJa02,pass_yds,0,,,,,
player,201212230htx,min,WrigJa02,pass_td,0,,,,,
player,201212230htx,min,WrigJa02,pass_int,0,,,,,
player,201212230htx,min,WrigJa02,pass_sacked,0,,,,,
player,201212230htx,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201212230htx,min,WrigJa02,pass_long,0,,,,,
player,201212230htx,min,WrigJa02,pass_rating,,,,,,
player,201212230htx,min,WrigJa02,rush_att,1,,,,,
player,201212230htx,min,WrigJa02,rush_yds,8,,,,,
player,201212230htx,min,WrigJa02,rush_td,0,,,,,
player,201212230htx,min,WrigJa02,rush_long,8,,,,,
player,201212230htx,min,WrigJa02,targets,9,,,,,
player,201212230htx,min,WrigJa02,rec,5,,,,,
player,201212230htx,min,WrigJa02,rec_yds,53,,,,,
player,201212230htx,min,WrigJa02,rec_td,0,,,,,
player,201212230htx,min,WrigJa02,rec_long,21,,,,,
player,201212230htx,min,WrigJa02,fumbles,0,,,,,
player,201212230htx,min,WrigJa02,fumbles_lost,0,,,,,
player,201212230htx,min,AsiaMa00,pass_cmp,0,,,,,
player,201212230htx,min,AsiaMa00,pass_att,0,,,,,
player,201212230htx,min,AsiaMa00,pass_yds,0,,,,,
player,201212230htx,min,AsiaMa00,pass_td,0,,,,,
player,201212230htx,min,AsiaMa00,pass_int,0,,,,,
player,201212230htx,min,AsiaMa00,pass_sacked,0,,,,,
player,201212230htx,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201212230htx,min,AsiaMa00,pass_long,0,,,,,
player,201212230htx,min,AsiaMa00,pass_rating,,,,,,
player,201212230htx,min,AsiaMa00,rush_att,1,,,,,
player,201212230htx,min,AsiaMa00,rush_yds,1,,,,,
player,201212230htx,min,AsiaMa00,rush_td,0,,,,,
player,201212230htx,min,AsiaMa00,rush_long,1,,,,,
player,201212230htx,min,AsiaMa00,targets,0,,,,,
player,201212230htx,min,AsiaMa00,rec,0,,,,,
player,201212230htx,min,AsiaMa00,rec_yds,0,,,,,
player,201212230htx,min,AsiaMa00,rec_td,0,,,,,
player,201212230htx,min,AsiaMa00,rec_long,0,,,,,
player,201212230htx,min,AsiaMa00,fumbles,0,,,,,
player,201212230htx,min,AsiaMa00,fumbles_lost,0,,,,,
player,201212230htx,min,JenkMi00,pass_cmp,0,,,,,
player,201212230htx,min,JenkMi00,pass_att,0,,,,,
player,201212230htx,min,JenkMi00,pass_yds,0,,,,,
player,201212230htx,min,JenkMi00,pass_td,0,,,,,
player,201212230htx,min,JenkMi00,pass_int,0,,,,,
player,201212230htx,min,JenkMi00,pass_sacked,0,,,,,
player,201212230htx,min,JenkMi00,pass_sacked_yds,0,,,,,
player,201212230htx,min,JenkMi00,pass_long,0,,,,,
player,201212230htx,min,JenkMi00,pass_rating,,,,,,
player,201212230htx,min,JenkMi00,rush_att,0,,,,,
player,201212230htx,min,JenkMi00,rush_yds,0,,,,,
player,201212230htx,min,JenkMi00,rush_td,0,,,,,
player,201212230htx,min,JenkMi00,rush_long,0,,,,,
player,201212230htx,min,JenkMi00,targets,3,,,,,
player,201212230htx,min,JenkMi00,rec,2,,,,,
player,201212230htx,min,JenkMi00,rec_yds,41,,,,,
player,201212230htx,min,JenkMi00,rec_td,0,,,,,
player,201212230htx,min,JenkMi00,rec_long,32,,,,,
player,201212230htx,min,JenkMi00,fumbles,0,,,,,
player,201212230htx,min,JenkMi00,fumbles_lost,0,,,,,
player,201212230htx,min,RudoKy00,pass_cmp,0,,,,,
player,201212230htx,min,RudoKy00,pass_att,0,,,,,
player,201212230htx,min,RudoKy00,pass_yds,0,,,,,
player,201212230htx,min,RudoKy00,pass_td,0,,,,,
player,201212230htx,min,RudoKy00,pass_int,0,,,,,
player,201212230htx,min,RudoKy00,pass_sacked,0,,,,,
player,201212230htx,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201212230htx,min,RudoKy00,pass_long,0,,,,,
player,201212230htx,min,RudoKy00,pass_rating,,,,,,
player,201212230htx,min,RudoKy00,rush_att,0,,,,,
player,201212230htx,min,RudoKy00,rush_yds,0,,,,,
player,201212230htx,min,RudoKy00,rush_td,0,,,,,
player,201212230htx,min,RudoKy00,rush_long,0,,,,,
player,201212230htx,min,RudoKy00,targets,6,,,,,
player,201212230htx,min,RudoKy00,rec,3,,,,,
player,201212230htx,min,RudoKy00,rec_yds,39,,,,,
player,201212230htx,min,RudoKy00,rec_td,1,,,,,
player,201212230htx,min,RudoKy00,rec_long,27,,,,,
player,201212230htx,min,RudoKy00,fumbles,0,,,,,
player,201212230htx,min,RudoKy00,fumbles_lost,0,,,,,
player,201212230htx,min,SimpJe00,pass_cmp,0,,,,,
player,201212230htx,min,SimpJe00,pass_att,0,,,,,
player,201212230htx,min,SimpJe00,pass_yds,0,,,,,
player,201212230htx,min,SimpJe00,pass_td,0,,,,,
player,201212230htx,min,SimpJe00,pass_int,0,,,,,
player,201212230htx,min,SimpJe00,pass_sacked,0,,,,,
player,201212230htx,min,SimpJe00,pass_sacked_yds,0,,,,,
player,201212230htx,min,SimpJe00,pass_long,0,,,,,
player,201212230htx,min,SimpJe00,pass_rating,,,,,,
player,201212230htx,min,SimpJe00,rush_att,0,,,,,
player,201212230htx,min,SimpJe00,rush_yds,0,,,,,
player,201212230htx,min,SimpJe00,rush_td,0,,,,,
player,201212230htx,min,SimpJe00,rush_long,0,,,,,
player,201212230htx,min,SimpJe00,targets,5,,,,,
player,201212230htx,min,SimpJe00,rec,4,,,,,
player,201212230htx,min,SimpJe00,rec_yds,32,,,,,
player,201212230htx,min,SimpJe00,rec_td,0,,,,,
player,201212230htx,min,SimpJe00,rec_long,17,,,,,
player,201212230htx,min,SimpJe00,fumbles,0,,,,,
player,201212230htx,min,SimpJe00,fumbles_lost,0,,,,,
player,201212230htx,min,AromDe00,pass_cmp,0,,,,,
player,201212230htx,min,AromDe00,pass_att,0,,,,,
player,201212230htx,min,AromDe00,pass_yds,0,,,,,
player,201212230htx,min,AromDe00,pass_td,0,,,,,
player,201212230htx,min,AromDe00,pass_int,0,,,,,
player,201212230htx,min,AromDe00,pass_sacked,0,,,,,
player,201212230htx,min,AromDe00,pass_sacked_yds,0,,,,,
player,201212230htx,min,AromDe00,pass_long,0,,,,,
player,201212230htx,min,AromDe00,pass_rating,,,,,,
player,201212230htx,min,AromDe00,rush_att,0,,,,,
player,201212230htx,min,AromDe00,rush_yds,0,,,,,
player,201212230htx,min,AromDe00,rush_td,0,,,,,
player,201212230htx,min,AromDe00,rush_long,0,,,,,
player,201212230htx,min,AromDe00,targets,1,,,,,
player,201212230htx,min,AromDe00,rec,0,,,,,
player,201212230htx,min,AromDe00,rec_yds,0,,,,,
player,201212230htx,min,AromDe00,rec_td,0,,,,,
player,201212230htx,min,AromDe00,rec_long,0,,,,,
player,201212230htx,min,AromDe00,fumbles,0,,,,,
player,201212230htx,min,AromDe00,fumbles_lost,0,,,,,
player,201212230htx,min,CarlJo00,pass_cmp,0,,,,,
player,201212230htx,min,CarlJo00,pass_att,0,,,,,
player,201212230htx,min,CarlJo00,pass_yds,0,,,,,
player,201212230htx,min,CarlJo00,pass_td,0,,,,,
player,201212230htx,min,CarlJo00,pass_int,0,,,,,
player,201212230htx,min,CarlJo00,pass_sacked,0,,,,,
player,201212230htx,min,CarlJo00,pass_sacked_yds,0,,,,,
player,201212230htx,min,CarlJo00,pass_long,0,,,,,
player,201212230htx,min,CarlJo00,pass_rating,,,,,,
player,201212230htx,min,CarlJo00,rush_att,0,,,,,
player,201212230htx,min,CarlJo00,rush_yds,0,,,,,
player,201212230htx,min,CarlJo00,rush_td,0,,,,,
player,201212230htx,min,CarlJo00,rush_long,0,,,,,
player,201212230htx,min,CarlJo00,targets,2,,,,,
player,201212230htx,min,CarlJo00,rec,0,,,,,
player,201212230htx,min,CarlJo00,rec_yds,0,,,,,
player,201212230htx,min,CarlJo00,rec_td,0,,,,,
player,201212230htx,min,CarlJo00,rec_long,0,,,,,
player,201212230htx,min,CarlJo00,fumbles,0,,,,,
player,201212230htx,min,CarlJo00,fumbles_lost,0,,,,,
player,201212230htx,htx,SchaMa00,pass_cmp,18,,,,,
player,201212230htx,htx,SchaMa00,pass_att,32,,,,,
player,201212230htx,htx,SchaMa00,pass_yds,178,,,,,
player,201212230htx,htx,SchaMa00,pass_td,0,,,,,
player,201212230htx,htx,SchaMa00,pass_int,0,,,,,
player,201212230htx,htx,SchaMa00,pass_sacked,3,,,,,
player,201212230htx,htx,SchaMa00,pass_sacked_yds,25,,,,,
player,201212230htx,htx,SchaMa00,pass_long,19,,,,,
player,201212230htx,htx,SchaMa00,pass_rating,72.1,,,,,
player,201212230htx,htx,SchaMa00,rush_att,0,,,,,
player,201212230htx,htx,SchaMa00,rush_yds,0,,,,,
player,201212230htx,htx,SchaMa00,rush_td,0,,,,,
player,201212230htx,htx,SchaMa00,rush_long,0,,,,,
player,201212230htx,htx,SchaMa00,targets,0,,,,,
player,201212230htx,htx,SchaMa00,rec,0,,,,,
player,201212230htx,htx,SchaMa00,rec_yds,0,,,,,
player,201212230htx,htx,SchaMa00,rec_td,0,,,,,
player,201212230htx,htx,SchaMa00,rec_long,0,,,,,
player,201212230htx,htx,SchaMa00,fumbles,0,,,,,
player,201212230htx,htx,SchaMa00,fumbles_lost,0,,,,,
player,201212230htx,htx,YateT.00,pass_cmp,0,,,,,
player,201212230htx,htx,YateT.00,pass_att,1,,,,,
player,201212230htx,htx,YateT.00,pass_yds,0,,,,,
player,201212230htx,htx,YateT.00,pass_td,0,,,,,
player,201212230htx,htx,YateT.00,pass_int,0,,,,,
player,201212230htx,htx,YateT.00,pass_sacked,1,,,,,
player,201212230htx,htx,YateT.00,pass_sacked_yds,0,,,,,
player,201212230htx,htx,YateT.00,pass_long,0,,,,,
player,201212230htx,htx,YateT.00,pass_rating,39.6,,,,,
player,201212230htx,htx,YateT.00,rush_att,1,,,,,
player,201212230htx,htx,YateT.00,rush_yds,-2,,,,,
player,201212230htx,htx,YateT.00,rush_td,0,,,,,
player,201212230htx,htx,YateT.00,rush_long,-2,,,,,
player,201212230htx,htx,YateT.00,targets,0,,,,,
player,201212230htx,htx,YateT.00,rec,0,,,,,
player,201212230htx,htx,YateT.00,rec_yds,0,,,,,
player,201212230htx,htx,YateT.00,rec_td,0,,,,,
player,201212230htx,htx,YateT.00,rec_long,0,,,,,
player,201212230htx,htx,YateT.00,fumbles,2,,,,,
player,201212230htx,htx,YateT.00,fumbles_lost,1,,,,,
player,201212230htx,htx,TateBe00,pass_cmp,0,,,,,
player,201212230htx,htx,TateBe00,pass_att,0,,,,,
player,201212230htx,htx,TateBe00,pass_yds,0,,,,,
player,201212230htx,htx,TateBe00,pass_td,0,,,,,
player,201212230htx,htx,TateBe00,pass_int,0,,,,,
player,201212230htx,htx,TateBe00,pass_sacked,0,,,,,
player,201212230htx,htx,TateBe00,pass_sacked_yds,0,,,,,
player,201212230htx,htx,TateBe00,pass_long,0,,,,,
player,201212230htx,htx,TateBe00,pass_rating,,,,,,
player,201212230htx,htx,TateBe00,rush_att,4,,,,,
player,201212230htx,htx,TateBe00,rush_yds,17,,,,,
player,201212230htx,htx,TateBe00,rush_td,0,,,,,
player,201212230htx,htx,TateBe00,rush_long,13,,,,,
player,201212230htx,htx,TateBe00,targets,1,,,,,
player,201212230htx,htx,TateBe00,rec,1,,,,,
player,201212230htx,htx,TateBe00,rec_yds,2,,,,,
player,201212230htx,htx,TateBe00,rec_td,0,,,,,
player,201212230htx,htx,TateBe00,rec_long,2,,,,,
player,201212230htx,htx,TateBe00,fumbles,0,,,,,
player,201212230htx,htx,TateBe00,fumbles_lost,0,,,,,
player,201212230htx,htx,FostAr00,pass_cmp,0,,,,,
player,201212230htx,htx,FostAr00,pass_att,0,,,,,
player,201212230htx,htx,FostAr00,pass_yds,0,,,,,
player,201212230htx,htx,FostAr00,pass_td,0,,,,,
player,201212230htx,htx,FostAr00,pass_int,0,,,,,
player,201212230htx,htx,FostAr00,pass_sacked,0,,,,,
player,201212230htx,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201212230htx,htx,FostAr00,pass_long,0,,,,,
player,201212230htx,htx,FostAr00,pass_rating,,,,,,
player,201212230htx,htx,FostAr00,rush_att,10,,,,,
player,201212230htx,htx,FostAr00,rush_yds,15,,,,,
player,201212230htx,htx,FostAr00,rush_td,0,,,,,
player,201212230htx,htx,FostAr00,rush_long,8,,,,,
player,201212230htx,htx,FostAr00,targets,3,,,,,
player,201212230htx,htx,FostAr00,rec,2,,,,,
player,201212230htx,htx,FostAr00,rec_yds,14,,,,,
player,201212230htx,htx,FostAr00,rec_td,0,,,,,
player,201212230htx,htx,FostAr00,rec_long,11,,,,,
player,201212230htx,htx,FostAr00,fumbles,1,,,,,
player,201212230htx,htx,FostAr00,fumbles_lost,1,,,,,
player,201212230htx,htx,ForsJu00,pass_cmp,0,,,,,
player,201212230htx,htx,ForsJu00,pass_att,0,,,,,
player,201212230htx,htx,ForsJu00,pass_yds,0,,,,,
player,201212230htx,htx,ForsJu00,pass_td,0,,,,,
player,201212230htx,htx,ForsJu00,pass_int,0,,,,,
player,201212230htx,htx,ForsJu00,pass_sacked,0,,,,,
player,201212230htx,htx,ForsJu00,pass_sacked_yds,0,,,,,
player,201212230htx,htx,ForsJu00,pass_long,0,,,,,
player,201212230htx,htx,ForsJu00,pass_rating,,,,,,
player,201212230htx,htx,ForsJu00,rush_att,1,,,,,
player,201212230htx,htx,ForsJu00,rush_yds,4,,,,,
player,201212230htx,htx,ForsJu00,rush_td,0,,,,,
player,201212230htx,htx,ForsJu00,rush_long,4,,,,,
player,201212230htx,htx,ForsJu00,targets,0,,,,,
player,201212230htx,htx,ForsJu00,rec,0,,,,,
player,201212230htx,htx,ForsJu00,rec_yds,0,,,,,
player,201212230htx,htx,ForsJu00,rec_td,0,,,,,
player,201212230htx,htx,ForsJu00,rec_long,0,,,,,
player,201212230htx,htx,ForsJu00,fumbles,0,,,,,
player,201212230htx,htx,ForsJu00,fumbles_lost,0,,,,,
player,201212230htx,htx,JohnAn02,pass_cmp,0,,,,,
player,201212230htx,htx,JohnAn02,pass_att,0,,,,,
player,201212230htx,htx,JohnAn02,pass_yds,0,,,,,
player,201212230htx,htx,JohnAn02,pass_td,0,,,,,
player,201212230htx,htx,JohnAn02,pass_int,0,,,,,
player,201212230htx,htx,JohnAn02,pass_sacked,0,,,,,
player,201212230htx,htx,JohnAn02,pass_sacked_yds,0,,,,,
player,201212230htx,htx,JohnAn02,pass_long,0,,,,,
player,201212230htx,htx,JohnAn02,pass_rating,,,,,,
player,201212230htx,htx,JohnAn02,rush_att,0,,,,,
player,201212230htx,htx,JohnAn02,rush_yds,0,,,,,
player,201212230htx,htx,JohnAn02,rush_td,0,,,,,
player,201212230htx,htx,JohnAn02,rush_long,0,,,,,
player,201212230htx,htx,JohnAn02,targets,10,,,,,
player,201212230htx,htx,JohnAn02,rec,7,,,,,
player,201212230htx,htx,JohnAn02,rec_yds,97,,,,,
player,201212230htx,htx,JohnAn02,rec_td,0,,,,,
player,201212230htx,htx,JohnAn02,rec_long,19,,,,,
player,201212230htx,htx,JohnAn02,fumbles,0,,,,,
player,201212230htx,htx,JohnAn02,fumbles_lost,0,,,,,
player,201212230htx,htx,DaniOw00,pass_cmp,0,,,,,
player,201212230htx,htx,DaniOw00,pass_att,0,,,,,
player,201212230htx,htx,DaniOw00,pass_yds,0,,,,,
player,201212230htx,htx,DaniOw00,pass_td,0,,,,,
player,201212230htx,htx,DaniOw00,pass_int,0,,,,,
player,201212230htx,htx,DaniOw00,pass_sacked,0,,,,,
player,201212230htx,htx,DaniOw00,pass_sacked_yds,0,,,,,
player,201212230htx,htx,DaniOw00,pass_long,0,,,,,
player,201212230htx,htx,DaniOw00,pass_rating,,,,,,
player,201212230htx,htx,DaniOw00,rush_att,0,,,,,
player,201212230htx,htx,DaniOw00,rush_yds,0,,,,,
player,201212230htx,htx,DaniOw00,rush_td,0,,,,,
player,201212230htx,htx,DaniOw00,rush_long,0,,,,,
player,201212230htx,htx,DaniOw00,targets,7,,,,,
player,201212230htx,htx,DaniOw00,rec,3,,,,,
player,201212230htx,htx,DaniOw00,rec_yds,27,,,,,
player,201212230htx,htx,DaniOw00,rec_td,0,,,,,
player,201212230htx,htx,DaniOw00,rec_long,14,,,,,
player,201212230htx,htx,DaniOw00,fumbles,0,,,,,
player,201212230htx,htx,DaniOw00,fumbles_lost,0,,,,,
player,201212230htx,htx,GrahGa00,pass_cmp,0,,,,,
player,201212230htx,htx,GrahGa00,pass_att,0,,,,,
player,201212230htx,htx,GrahGa00,pass_yds,0,,,,,
player,201212230htx,htx,GrahGa00,pass_td,0,,,,,
player,201212230htx,htx,GrahGa00,pass_int,0,,,,,
player,201212230htx,htx,GrahGa00,pass_sacked,0,,,,,
player,201212230htx,htx,GrahGa00,pass_sacked_yds,0,,,,,
player,201212230htx,htx,GrahGa00,pass_long,0,,,,,
player,201212230htx,htx,GrahGa00,pass_rating,,,,,,
player,201212230htx,htx,GrahGa00,rush_att,0,,,,,
player,201212230htx,htx,GrahGa00,rush_yds,0,,,,,
player,201212230htx,htx,GrahGa00,rush_td,0,,,,,
player,201212230htx,htx,GrahGa00,rush_long,0,,,,,
player,201212230htx,htx,GrahGa00,targets,2,,,,,
player,201212230htx,htx,GrahGa00,rec,2,,,,,
player,201212230htx,htx,GrahGa00,rec_yds,14,,,,,
player,201212230htx,htx,GrahGa00,rec_td,0,,,,,
player,201212230htx,htx,GrahGa00,rec_long,12,,,,,
player,201212230htx,htx,GrahGa00,fumbles,0,,,,,
player,201212230htx,htx,GrahGa00,fumbles_lost,0,,,,,
player,201212230htx,htx,WaltKe00,pass_cmp,0,,,,,
player,201212230htx,htx,WaltKe00,pass_att,0,,,,,
player,201212230htx,htx,WaltKe00,pass_yds,0,,,,,
player,201212230htx,htx,WaltKe00,pass_td,0,,,,,
player,201212230htx,htx,WaltKe00,pass_int,0,,,,,
player,201212230htx,htx,WaltKe00,pass_sacked,0,,,,,
player,201212230htx,htx,WaltKe00,pass_sacked_yds,0,,,,,
player,201212230htx,htx,WaltKe00,pass_long,0,,,,,
player,201212230htx,htx,WaltKe00,pass_rating,,,,,,
player,201212230htx,htx,WaltKe00,rush_att,0,,,,,
player,201212230htx,htx,WaltKe00,rush_yds,0,,,,,
player,201212230htx,htx,WaltKe00,rush_td,0,,,,,
player,201212230htx,htx,WaltKe00,rush_long,0,,,,,
player,201212230htx,htx,WaltKe00,targets,3,,,,,
player,201212230htx,htx,WaltKe00,rec,1,,,,,
player,201212230htx,htx,WaltKe00,rec_yds,12,,,,,
player,201212230htx,htx,WaltKe00,rec_td,0,,,,,
player,201212230htx,htx,WaltKe00,rec_long,12,,,,,
player,201212230htx,htx,WaltKe00,fumbles,0,,,,,
player,201212230htx,htx,WaltKe00,fumbles_lost,0,,,,,
player,201212230htx,htx,PoseDe00,pass_cmp,0,,,,,
player,201212230htx,htx,PoseDe00,pass_att,0,,,,,
player,201212230htx,htx,PoseDe00,pass_yds,0,,,,,
player,201212230htx,htx,PoseDe00,pass_td,0,,,,,
player,201212230htx,htx,PoseDe00,pass_int,0,,,,,
player,201212230htx,htx,PoseDe00,pass_sacked,0,,,,,
player,201212230htx,htx,PoseDe00,pass_sacked_yds,0,,,,,
player,201212230htx,htx,PoseDe00,pass_long,0,,,,,
player,201212230htx,htx,PoseDe00,pass_rating,,,,,,
player,201212230htx,htx,PoseDe00,rush_att,0,,,,,
player,201212230htx,htx,PoseDe00,rush_yds,0,,,,,
player,201212230htx,htx,PoseDe00,rush_td,0,,,,,
player,201212230htx,htx,PoseDe00,rush_long,0,,,,,
player,201212230htx,htx,PoseDe00,targets,6,,,,,
player,201212230htx,htx,PoseDe00,rec,1,,,,,
player,201212230htx,htx,PoseDe00,rec_yds,6,,,,,
player,201212230htx,htx,PoseDe00,rec_td,0,,,,,
player,201212230htx,htx,PoseDe00,rec_long,6,,,,,
player,201212230htx,htx,PoseDe00,fumbles,0,,,,,
player,201212230htx,htx,PoseDe00,fumbles_lost,0,,,,,
player,201212230htx,htx,CaseJa00,pass_cmp,0,,,,,
player,201212230htx,htx,CaseJa00,pass_att,0,,,,,
player,201212230htx,htx,CaseJa00,pass_yds,0,,,,,
player,201212230htx,htx,CaseJa00,pass_td,0,,,,,
player,201212230htx,htx,CaseJa00,pass_int,0,,,,,
player,201212230htx,htx,CaseJa00,pass_sacked,0,,,,,
player,201212230htx,htx,CaseJa00,pass_sacked_yds,0,,,,,
player,201212230htx,htx,CaseJa00,pass_long,0,,,,,
player,201212230htx,htx,CaseJa00,pass_rating,,,,,,
player,201212230htx,htx,CaseJa00,rush_att,0,,,,,
player,201212230htx,htx,CaseJa00,rush_yds,0,,,,,
player,201212230htx,htx,CaseJa00,rush_td,0,,,,,
player,201212230htx,htx,CaseJa00,rush_long,0,,,,,
player,201212230htx,htx,CaseJa00,targets,1,,,,,
player,201212230htx,htx,CaseJa00,rec,1,,,,,
player,201212230htx,htx,CaseJa00,rec_yds,6,,,,,
player,201212230htx,htx,CaseJa00,rec_td,0,,,,,
player,201212230htx,htx,CaseJa00,rec_long,6,,,,,
player,201212230htx,htx,CaseJa00,fumbles,0,,,,,
player,201212230htx,htx,CaseJa00,fumbles_lost,0,,,,,
player,201212230htx,min,AlleJa22,def_int,0,,,,,
player,201212230htx,min,AlleJa22,def_int_yds,0,,,,,
player,201212230htx,min,AlleJa22,def_int_td,0,,,,,
player,201212230htx,min,AlleJa22,def_int_long,0,,,,,
player,201212230htx,min,AlleJa22,pass_defended,0,,,,,
player,201212230htx,min,AlleJa22,sacks,2.0,,,,,
player,201212230htx,min,AlleJa22,tackles_combined,2,,,,,
player,201212230htx,min,AlleJa22,tackles_solo,2,,,,,
player,201212230htx,min,AlleJa22,tackles_assists,0,,,,,
player,201212230htx,min,AlleJa22,tackles_loss,2,,,,,
player,201212230htx,min,AlleJa22,qb_hits,2,,,,,
player,201212230htx,min,AlleJa22,fumbles_rec,0,,,,,
player,201212230htx,min,AlleJa22,fumbles_rec_yds,0,,,,,
player,201212230htx,min,AlleJa22,fumbles_rec_td,0,,,,,
player,201212230htx,min,AlleJa22,fumbles_forced,0,,,,,
player,201212230htx,min,SmitHa00,def_int,0,,,,,
player,201212230htx,min,SmitHa00,def_int_yds,0,,,,,
player,201212230htx,min,SmitHa00,def_int_td,0,,,,,
player,201212230htx,min,SmitHa00,def_int_long,0,,,,,
player,201212230htx,min,SmitHa00,pass_defended,1,,,,,
