game,2012,12,20121125,201211250tam,atl,"Atlanta Falcons",24,tam,"Tampa Bay Buccaneers",23
player,201211250tam,atl,DougHa00,pass_int,0,,,,,
player,201211250tam,atl,DougHa00,pass_sacked,0,,,,,
player,201211250tam,atl,DougHa00,pass_sacked_yds,0,,,,,
player,201211250tam,atl,DougHa00,pass_long,0,,,,,
player,201211250tam,atl,DougHa00,pass_rating,,,,,,
player,201211250tam,atl,DougHa00,rush_att,0,,,,,
player,201211250tam,atl,DougHa00,rush_yds,0,,,,,
player,201211250tam,atl,DougHa00,rush_td,0,,,,,
player,201211250tam,atl,DougHa00,rush_long,0,,,,,
player,201211250tam,atl,DougHa00,targets,3,,,,,
player,201211250tam,atl,DougHa00,rec,2,,,,,
player,201211250tam,atl,DougHa00,rec_yds,11,,,,,
player,201211250tam,atl,DougHa00,rec_td,0,,,,,
player,201211250tam,atl,DougHa00,rec_long,6,,,,,
player,201211250tam,atl,DougHa00,fumbles,0,,,,,
player,201211250tam,atl,DougHa00,fumbles_lost,0,,,,,
player,201211250tam,tam,FreeJo00,pass_cmp,19,,,,,
player,201211250tam,tam,FreeJo00,pass_att,30,,,,,
player,201211250tam,tam,FreeJo00,pass_yds,256,,,,,
player,201211250tam,tam,FreeJo00,pass_td,0,,,,,
player,201211250tam,tam,FreeJo00,pass_int,0,,,,,
player,201211250tam,tam,FreeJo00,pass_sacked,2,,,,,
player,201211250tam,tam,FreeJo00,pass_sacked_yds,8,,,,,
player,201211250tam,tam,FreeJo00,pass_long,39,,,,,
player,201211250tam,tam,FreeJo00,pass_rating,90.4,,,,,
player,201211250tam,tam,FreeJo00,rush_att,0,,,,,
player,201211250tam,tam,FreeJo00,rush_yds,0,,,,,
player,201211250tam,tam,FreeJo00,rush_td,0,,,,,
player,201211250tam,tam,FreeJo00,rush_long,0,,,,,
player,201211250tam,tam,FreeJo00,targets,0,,,,,
player,201211250tam,tam,FreeJo00,rec,0,,,,,
player,201211250tam,tam,FreeJo00,rec_yds,0,,,,,
player,201211250tam,tam,FreeJo00,rec_td,0,,,,,
player,201211250tam,tam,FreeJo00,rec_long,0,,,,,
player,201211250tam,tam,FreeJo00,fumbles,0,,,,,
player,201211250tam,tam,FreeJo00,fumbles_lost,0,,,,,
player,201211250tam,tam,WillMi04,pass_cmp,1,,,,,
player,201211250tam,tam,WillMi04,pass_att,1,,,,,
player,201211250tam,tam,WillMi04,pass_yds,28,,,,,
player,201211250tam,tam,WillMi04,pass_td,0,,,,,
player,201211250tam,tam,WillMi04,pass_int,0,,,,,
player,201211250tam,tam,WillMi04,pass_sacked,0,,,,,
player,201211250tam,tam,WillMi04,pass_sacked_yds,0,,,,,
