game,2012,13,20121202,201212020det,clt,"Indianapolis Colts",35,det,"Detroit Lions",33
player,201212020det,clt,LuckAn00,rush_long,16,,,,,
player,201212020det,clt,LuckAn00,targets,0,,,,,
player,201212020det,clt,LuckAn00,rec,0,,,,,
player,201212020det,clt,LuckAn00,rec_yds,0,,,,,
player,201212020det,clt,LuckAn00,rec_td,0,,,,,
player,201212020det,clt,LuckAn00,rec_long,0,,,,,
player,201212020det,clt,LuckAn00,fumbles,1,,,,,
player,201212020det,clt,LuckAn00,fumbles_lost,0,,,,,
player,201212020det,clt,BallVi00,pass_cmp,0,,,,,
player,201212020det,clt,BallVi00,pass_att,0,,,,,
player,201212020det,clt,BallVi00,pass_yds,0,,,,,
player,201212020det,clt,BallVi00,pass_td,0,,,,,
player,201212020det,clt,BallVi00,pass_int,0,,,,,
player,201212020det,clt,BallVi00,pass_sacked,0,,,,,
player,201212020det,clt,BallVi00,pass_sacked_yds,0,,,,,
player,201212020det,clt,BallVi00,pass_long,0,,,,,
player,201212020det,clt,BallVi00,pass_rating,,,,,,
player,201212020det,clt,BallVi00,rush_att,9,,,,,
player,201212020det,clt,BallVi00,rush_yds,41,,,,,
player,201212020det,clt,BallVi00,rush_td,1,,,,,
player,201212020det,clt,BallVi00,rush_long,13,,,,,
player,201212020det,clt,BallVi00,targets,4,,,,,
player,201212020det,clt,BallVi00,rec,3,,,,,
player,201212020det,clt,BallVi00,rec_yds,21,,,,,
player,201212020det,clt,BallVi00,rec_td,0,,,,,
player,201212020det,clt,BallVi00,rec_long,8,,,,,
player,201212020det,clt,BallVi00,fumbles,0,,,,,
player,201212020det,clt,BallVi00,fumbles_lost,0,,,,,
player,201212020det,clt,BrowDo00,pass_cmp,0,,,,,
player,201212020det,clt,BrowDo00,pass_att,0,,,,,
player,201212020det,clt,BrowDo00,pass_yds,0,,,,,
player,201212020det,clt,BrowDo00,pass_td,0,,,,,
player,201212020det,clt,BrowDo00,pass_int,0,,,,,
player,201212020det,clt,BrowDo00,pass_sacked,0,,,,,
player,201212020det,clt,BrowDo00,pass_sacked_yds,0,,,,,
player,201212020det,clt,BrowDo00,pass_long,0,,,,,
