game,2012,6,20121014,201210140atl,rai,"Oakland Raiders",20,atl,"Atlanta Falcons",23
player,201210140atl,atl,RyanMa00,fumbles,0,,,,,
player,201210140atl,atl,RyanMa00,fumbles_lost,0,,,,,
player,201210140atl,atl,TurnMi00,pass_cmp,0,,,,,
player,201210140atl,atl,TurnMi00,pass_att,0,,,,,
player,201210140atl,atl,TurnMi00,pass_yds,0,,,,,
player,201210140atl,atl,TurnMi00,pass_td,0,,,,,
player,201210140atl,atl,TurnMi00,pass_int,0,,,,,
player,201210140atl,atl,TurnMi00,pass_sacked,0,,,,,
player,201210140atl,atl,TurnMi00,pass_sacked_yds,0,,,,,
player,201210140atl,atl,TurnMi00,pass_long,0,,,,,
player,201210140atl,atl,TurnMi00,pass_rating,,,,,,
player,201210140atl,atl,TurnMi00,rush_att,11,,,,,
player,201210140atl,atl,TurnMi00,rush_yds,33,,,,,
player,201210140atl,atl,TurnMi00,rush_td,0,,,,,
player,201210140atl,atl,TurnMi00,rush_long,9,,,,,
player,201210140atl,atl,TurnMi00,targets,1,,,,,
player,201210140atl,atl,TurnMi00,rec,1,,,,,
player,201210140atl,atl,TurnMi00,rec_yds,6,,,,,
player,201210140atl,atl,TurnMi00,rec_td,0,,,,,
player,201210140atl,atl,TurnMi00,rec_long,6,,,,,
player,201210140atl,atl,TurnMi00,fumbles,0,,,,,
player,201210140atl,atl,TurnMi00,fumbles_lost,0,,,,,
player,201210140atl,atl,WhitRo00,pass_cmp,0,,,,,
player,201210140atl,atl,WhitRo00,pass_att,0,,,,,
player,201210140atl,atl,WhitRo00,pass_yds,0,,,,,
player,201210140atl,atl,WhitRo00,pass_td,0,,,,,
player,201210140atl,atl,WhitRo00,pass_int,0,,,,,
player,201210140atl,atl,WhitRo00,pass_sacked,0,,,,,
player,201210140atl,atl,WhitRo00,pass_sacked_yds,0,,,,,
player,201210140atl,atl,WhitRo00,pass_long,0,,,,,
player,201210140atl,atl,WhitRo00,pass_rating,,,,,,
player,201210140atl,atl,WhitRo00,rush_att,0,,,,,
player,201210140atl,atl,WhitRo00,rush_yds,0,,,,,
player,201210140atl,atl,WhitRo00,rush_td,0,,,,,
player,201210140atl,atl,WhitRo00,rush_long,0,,,,,
player,201210140atl,atl,WhitRo00,targets,8,,,,,
player,201210140atl,atl,WhitRo00,rec,6,,,,,
player,201210140atl,atl,WhitRo00,rec_yds,72,,,,,
player,201210140atl,atl,WhitRo00,rec_td,1,,,,,
player,201210140atl,atl,WhitRo00,rec_long,26,,,,,
player,201210140atl,atl,WhitRo00,fumbles,0,,,,,
player,201210140atl,atl,WhitRo00,fumbles_lost,0,,,,,
player,201210140atl,atl,JoneJu02,pass_cmp,0,,,,,
player,201210140atl,atl,JoneJu02,pass_att,0,,,,,
player,201210140atl,atl,JoneJu02,pass_yds,0,,,,,
player,201210140atl,atl,JoneJu02,pass_td,0,,,,,
player,201210140atl,atl,JoneJu02,pass_int,0,,,,,
player,201210140atl,atl,JoneJu02,pass_sacked,0,,,,,
player,201210140atl,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201210140atl,atl,JoneJu02,pass_long,0,,,,,
player,201210140atl,atl,JoneJu02,pass_rating,,,,,,
player,201210140atl,atl,JoneJu02,rush_att,0,,,,,
player,201210140atl,atl,JoneJu02,rush_yds,0,,,,,
