game,2012,15,20121216,201212160ram,min,"Minnesota Vikings",36,ram,"St. Louis Rams",22
player,201212160ram,min,GerhTo00,targets,3,,,,,
player,201212160ram,min,GerhTo00,rec,2,,,,,
player,201212160ram,min,GerhTo00,rec_yds,21,,,,,
player,201212160ram,min,GerhTo00,rec_td,0,,,,,
player,201212160ram,min,GerhTo00,rec_long,12,,,,,
player,201212160ram,min,GerhTo00,fumbles,0,,,,,
player,201212160ram,min,GerhTo00,fumbles_lost,0,,,,,
player,201212160ram,ram,BradSa00,pass_cmp,35,,,,,
player,201212160ram,ram,BradSa00,pass_att,55,,,,,
player,201212160ram,ram,BradSa00,pass_yds,377,,,,,
player,201212160ram,ram,BradSa00,pass_td,3,,,,,
player,201212160ram,ram,BradSa00,pass_int,1,,,,,
player,201212160ram,ram,BradSa00,pass_sacked,4,,,,,
player,201212160ram,ram,BradSa00,pass_sacked_yds,32,,,,,
player,201212160ram,ram,BradSa00,pass_long,26,,,,,
player,201212160ram,ram,BradSa00,pass_rating,94.3,,,,,
player,201212160ram,ram,BradSa00,rush_att,2,,,,,
player,201212160ram,ram,BradSa00,rush_yds,9,,,,,
player,201212160ram,ram,BradSa00,rush_td,0,,,,,
player,201212160ram,ram,BradSa00,rush_long,9,,,,,
player,201212160ram,ram,BradSa00,targets,0,,,,,
player,201212160ram,ram,BradSa00,rec,0,,,,,
player,201212160ram,ram,BradSa00,rec_yds,0,,,,,
player,201212160ram,ram,BradSa00,rec_td,0,,,,,
player,201212160ram,ram,BradSa00,rec_long,0,,,,,
player,201212160ram,ram,BradSa00,fumbles,0,,,,,
player,201212160ram,ram,BradSa00,fumbles_lost,0,,,,,
player,201212160ram,ram,JackSt00,pass_cmp,0,,,,,
player,201212160ram,ram,JackSt00,pass_att,0,,,,,
player,201212160ram,ram,JackSt00,pass_yds,0,,,,,
player,201212160ram,ram,JackSt00,pass_td,0,,,,,
player,201212160ram,ram,JackSt00,pass_int,0,,,,,
player,201212160ram,ram,JackSt00,pass_sacked,0,,,,,
player,201212160ram,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201212160ram,ram,JackSt00,pass_long,0,,,,,
player,201212160ram,ram,JackSt00,pass_rating,,,,,,
player,201212160ram,ram,JackSt00,rush_att,13,,,,,
player,201212160ram,ram,JackSt00,rush_yds,73,,,,,
player,201212160ram,ram,JackSt00,rush_td,0,,,,,
player,201212160ram,ram,JackSt00,rush_long,15,,,,,
player,201212160ram,ram,JackSt00,targets,10,,,,,
player,201212160ram,ram,JackSt00,rec,8,,,,,
player,201212160ram,ram,JackSt00,rec_yds,73,,,,,
player,201212160ram,ram,JackSt00,rec_td,0,,,,,
player,201212160ram,ram,JackSt00,rec_long,18,,,,,
player,201212160ram,ram,JackSt00,fumbles,0,,,,,
player,201212160ram,ram,JackSt00,fumbles_lost,0,,,,,
player,201212160ram,ram,RichDa00,pass_cmp,0,,,,,
player,201212160ram,ram,RichDa00,pass_att,0,,,,,
