game,2012,7,20121021,201210210ram,gnb,"Green Bay Packers",30,ram,"St. Louis Rams",20
player,201210210ram,gnb,RodgAa00,rush_td,0,,,,,
player,201210210ram,gnb,RodgAa00,rush_long,1,,,,,
player,201210210ram,gnb,RodgAa00,targets,0,,,,,
player,201210210ram,gnb,RodgAa00,rec,0,,,,,
player,201210210ram,gnb,RodgAa00,rec_yds,0,,,,,
player,201210210ram,gnb,RodgAa00,rec_td,0,,,,,
player,201210210ram,gnb,RodgAa00,rec_long,0,,,,,
player,201210210ram,gnb,RodgAa00,fumbles,0,,,,,
player,201210210ram,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201210210ram,gnb,GreeAl00,pass_cmp,0,,,,,
player,201210210ram,gnb,GreeAl00,pass_att,0,,,,,
player,201210210ram,gnb,GreeAl00,pass_yds,0,,,,,
player,201210210ram,gnb,GreeAl00,pass_td,0,,,,,
player,201210210ram,gnb,GreeAl00,pass_int,0,,,,,
player,201210210ram,gnb,GreeAl00,pass_sacked,0,,,,,
player,201210210ram,gnb,GreeAl00,pass_sacked_yds,0,,,,,
player,201210210ram,gnb,GreeAl00,pass_long,0,,,,,
player,201210210ram,gnb,GreeAl00,pass_rating,,,,,,
player,201210210ram,gnb,GreeAl00,rush_att,20,,,,,
player,201210210ram,gnb,GreeAl00,rush_yds,35,,,,,
player,201210210ram,gnb,GreeAl00,rush_td,0,,,,,
player,201210210ram,gnb,GreeAl00,rush_long,15,,,,,
player,201210210ram,gnb,GreeAl00,targets,5,,,,,
player,201210210ram,gnb,GreeAl00,rec,4,,,,,
player,201210210ram,gnb,GreeAl00,rec_yds,29,,,,,
player,201210210ram,gnb,GreeAl00,rec_td,0,,,,,
player,201210210ram,gnb,GreeAl00,rec_long,13,,,,,
player,201210210ram,gnb,GreeAl00,fumbles,0,,,,,
player,201210210ram,gnb,GreeAl00,fumbles_lost,0,,,,,
player,201210210ram,gnb,CobbRa00,pass_cmp,0,,,,,
player,201210210ram,gnb,CobbRa00,pass_att,0,,,,,
player,201210210ram,gnb,CobbRa00,pass_yds,0,,,,,
player,201210210ram,gnb,CobbRa00,pass_td,0,,,,,
player,201210210ram,gnb,CobbRa00,pass_int,0,,,,,
player,201210210ram,gnb,CobbRa00,pass_sacked,0,,,,,
player,201210210ram,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201210210ram,gnb,CobbRa00,pass_long,0,,,,,
player,201210210ram,gnb,CobbRa00,pass_rating,,,,,,
player,201210210ram,gnb,CobbRa00,rush_att,1,,,,,
player,201210210ram,gnb,CobbRa00,rush_yds,19,,,,,
player,201210210ram,gnb,CobbRa00,rush_td,0,,,,,
player,201210210ram,gnb,CobbRa00,rush_long,19,,,,,
player,201210210ram,gnb,CobbRa00,targets,8,,,,,
player,201210210ram,gnb,CobbRa00,rec,8,,,,,
player,201210210ram,gnb,CobbRa00,rec_yds,89,,,,,
player,201210210ram,gnb,CobbRa00,rec_td,2,,,,,
player,201210210ram,gnb,CobbRa00,rec_long,39,,,,,
player,201210210ram,gnb,CobbRa00,fumbles,0,,,,,
player,201210210ram,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201210210ram,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201210210ram,gnb,KuhnJo00,pass_att,0,,,,,
player,201210210ram,gnb,KuhnJo00,pass_yds,0,,,,,
player,201210210ram,gnb,KuhnJo00,pass_td,0,,,,,
player,201210210ram,gnb,KuhnJo00,pass_int,0,,,,,
player,201210210ram,gnb,KuhnJo00,pass_sacked,0,,,,,
player,201210210ram,gnb,KuhnJo00,pass_sacked_yds,0,,,,,
player,201210210ram,gnb,KuhnJo00,pass_long,0,,,,,
player,201210210ram,gnb,KuhnJo00,pass_rating,,,,,,
player,201210210ram,gnb,KuhnJo00,rush_att,3,,,,,
player,201210210ram,gnb,KuhnJo00,rush_yds,16,,,,,
player,201210210ram,gnb,KuhnJo00,rush_td,0,,,,,
player,201210210ram,gnb,KuhnJo00,rush_long,9,,,,,
player,201210210ram,gnb,KuhnJo00,targets,1,,,,,
player,201210210ram,gnb,KuhnJo00,rec,1,,,,,
player,201210210ram,gnb,KuhnJo00,rec_yds,16,,,,,
player,201210210ram,gnb,KuhnJo00,rec_td,0,,,,,
player,201210210ram,gnb,KuhnJo00,rec_long,16,,,,,
player,201210210ram,gnb,KuhnJo00,fumbles,0,,,,,
player,201210210ram,gnb,KuhnJo00,fumbles_lost,0,,,,,
player,201210210ram,gnb,NelsJo00,pass_cmp,0,,,,,
player,201210210ram,gnb,NelsJo00,pass_att,0,,,,,
player,201210210ram,gnb,NelsJo00,pass_yds,0,,,,,
player,201210210ram,gnb,NelsJo00,pass_td,0,,,,,
player,201210210ram,gnb,NelsJo00,pass_int,0,,,,,
player,201210210ram,gnb,NelsJo00,pass_sacked,0,,,,,
player,201210210ram,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201210210ram,gnb,NelsJo00,pass_long,0,,,,,
player,201210210ram,gnb,NelsJo00,pass_rating,,,,,,
player,201210210ram,gnb,NelsJo00,rush_att,0,,,,,
player,201210210ram,gnb,NelsJo00,rush_yds,0,,,,,
player,201210210ram,gnb,NelsJo00,rush_td,0,,,,,
player,201210210ram,gnb,NelsJo00,rush_long,0,,,,,
player,201210210ram,gnb,NelsJo00,targets,9,,,,,
player,201210210ram,gnb,NelsJo00,rec,8,,,,,
player,201210210ram,gnb,NelsJo00,rec_yds,122,,,,,
player,201210210ram,gnb,NelsJo00,rec_td,1,,,,,
player,201210210ram,gnb,NelsJo00,rec_long,52,,,,,
player,201210210ram,gnb,NelsJo00,fumbles,0,,,,,
player,201210210ram,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201210210ram,gnb,JoneJa04,pass_cmp,0,,,,,
player,201210210ram,gnb,JoneJa04,pass_att,0,,,,,
player,201210210ram,gnb,JoneJa04,pass_yds,0,,,,,
player,201210210ram,gnb,JoneJa04,pass_td,0,,,,,
player,201210210ram,gnb,JoneJa04,pass_int,0,,,,,
player,201210210ram,gnb,JoneJa04,pass_sacked,0,,,,,
player,201210210ram,gnb,JoneJa04,pass_sacked_yds,0,,,,,
player,201210210ram,gnb,JoneJa04,pass_long,0,,,,,
player,201210210ram,gnb,JoneJa04,pass_rating,,,,,,
player,201210210ram,gnb,JoneJa04,rush_att,0,,,,,
player,201210210ram,gnb,JoneJa04,rush_yds,0,,,,,
player,201210210ram,gnb,JoneJa04,rush_td,0,,,,,
player,201210210ram,gnb,JoneJa04,rush_long,0,,,,,
player,201210210ram,gnb,JoneJa04,targets,10,,,,,
player,201210210ram,gnb,JoneJa04,rec,6,,,,,
player,201210210ram,gnb,JoneJa04,rec_yds,53,,,,,
player,201210210ram,gnb,JoneJa04,rec_td,0,,,,,
player,201210210ram,gnb,JoneJa04,rec_long,17,,,,,
player,201210210ram,gnb,JoneJa04,fumbles,0,,,,,
player,201210210ram,gnb,JoneJa04,fumbles_lost,0,,,,,
player,201210210ram,gnb,FinlJe00,pass_cmp,0,,,,,
player,201210210ram,gnb,FinlJe00,pass_att,0,,,,,
player,201210210ram,gnb,FinlJe00,pass_yds,0,,,,,
player,201210210ram,gnb,FinlJe00,pass_td,0,,,,,
player,201210210ram,gnb,FinlJe00,pass_int,0,,,,,
player,201210210ram,gnb,FinlJe00,pass_sacked,0,,,,,
player,201210210ram,gnb,FinlJe00,pass_sacked_yds,0,,,,,
player,201210210ram,gnb,FinlJe00,pass_long,0,,,,,
player,201210210ram,gnb,FinlJe00,pass_rating,,,,,,
player,201210210ram,gnb,FinlJe00,rush_att,0,,,,,
player,201210210ram,gnb,FinlJe00,rush_yds,0,,,,,
player,201210210ram,gnb,FinlJe00,rush_td,0,,,,,
player,201210210ram,gnb,FinlJe00,rush_long,0,,,,,
player,201210210ram,gnb,FinlJe00,targets,2,,,,,
player,201210210ram,gnb,FinlJe00,rec,2,,,,,
player,201210210ram,gnb,FinlJe00,rec_yds,31,,,,,
player,201210210ram,gnb,FinlJe00,rec_td,0,,,,,
player,201210210ram,gnb,FinlJe00,rec_long,18,,,,,
player,201210210ram,gnb,FinlJe00,fumbles,0,,,,,
player,201210210ram,gnb,FinlJe00,fumbles_lost,0,,,,,
player,201210210ram,gnb,DrivDo00,pass_cmp,0,,,,,
player,201210210ram,gnb,DrivDo00,pass_att,0,,,,,
player,201210210ram,gnb,DrivDo00,pass_yds,0,,,,,
player,201210210ram,gnb,DrivDo00,pass_td,0,,,,,
player,201210210ram,gnb,DrivDo00,pass_int,0,,,,,
player,201210210ram,gnb,DrivDo00,pass_sacked,0,,,,,
player,201210210ram,gnb,DrivDo00,pass_sacked_yds,0,,,,,
player,201210210ram,gnb,DrivDo00,pass_long,0,,,,,
player,201210210ram,gnb,DrivDo00,pass_rating,,,,,,
player,201210210ram,gnb,DrivDo00,rush_att,0,,,,,
player,201210210ram,gnb,DrivDo00,rush_yds,0,,,,,
player,201210210ram,gnb,DrivDo00,rush_td,0,,,,,
player,201210210ram,gnb,DrivDo00,rush_long,0,,,,,
player,201210210ram,gnb,DrivDo00,targets,1,,,,,
player,201210210ram,gnb,DrivDo00,rec,1,,,,,
player,201210210ram,gnb,DrivDo00,rec_yds,2,,,,,
player,201210210ram,gnb,DrivDo00,rec_td,0,,,,,
player,201210210ram,gnb,DrivDo00,rec_long,2,,,,,
player,201210210ram,gnb,DrivDo00,fumbles,0,,,,,
player,201210210ram,gnb,DrivDo00,fumbles_lost,0,,,,,
player,201210210ram,ram,BradSa00,pass_cmp,21,,,,,
player,201210210ram,ram,BradSa00,pass_att,34,,,,,
player,201210210ram,ram,BradSa00,pass_yds,255,,,,,
player,201210210ram,ram,BradSa00,pass_td,1,,,,,
player,201210210ram,ram,BradSa00,pass_int,1,,,,,
player,201210210ram,ram,BradSa00,pass_sacked,3,,,,,
player,201210210ram,ram,BradSa00,pass_sacked_yds,9,,,,,
player,201210210ram,ram,BradSa00,pass_long,56,,,,,
player,201210210ram,ram,BradSa00,pass_rating,82.4,,,,,
player,201210210ram,ram,BradSa00,rush_att,0,,,,,
player,201210210ram,ram,BradSa00,rush_yds,0,,,,,
player,201210210ram,ram,BradSa00,rush_td,0,,,,,
player,201210210ram,ram,BradSa00,rush_long,0,,,,,
player,201210210ram,ram,BradSa00,targets,0,,,,,
player,201210210ram,ram,BradSa00,rec,0,,,,,
player,201210210ram,ram,BradSa00,rec_yds,0,,,,,
player,201210210ram,ram,BradSa00,rec_td,0,,,,,
player,201210210ram,ram,BradSa00,rec_long,0,,,,,
player,201210210ram,ram,BradSa00,fumbles,1,,,,,
player,201210210ram,ram,BradSa00,fumbles_lost,0,,,,,
player,201210210ram,ram,JackSt00,pass_cmp,0,,,,,
player,201210210ram,ram,JackSt00,pass_att,0,,,,,
player,201210210ram,ram,JackSt00,pass_yds,0,,,,,
player,201210210ram,ram,JackSt00,pass_td,0,,,,,
player,201210210ram,ram,JackSt00,pass_int,0,,,,,
player,201210210ram,ram,JackSt00,pass_sacked,0,,,,,
player,201210210ram,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201210210ram,ram,JackSt00,pass_long,0,,,,,
player,201210210ram,ram,JackSt00,pass_rating,,,,,,
player,201210210ram,ram,JackSt00,rush_att,12,,,,,
player,201210210ram,ram,JackSt00,rush_yds,57,,,,,
player,201210210ram,ram,JackSt00,rush_td,1,,,,,
player,201210210ram,ram,JackSt00,rush_long,19,,,,,
player,201210210ram,ram,JackSt00,targets,0,,,,,
player,201210210ram,ram,JackSt00,rec,0,,,,,
player,201210210ram,ram,JackSt00,rec_yds,0,,,,,
player,201210210ram,ram,JackSt00,rec_td,0,,,,,
player,201210210ram,ram,JackSt00,rec_long,0,,,,,
player,201210210ram,ram,JackSt00,fumbles,0,,,,,
player,201210210ram,ram,JackSt00,fumbles_lost,0,,,,,
player,201210210ram,ram,RichDa00,pass_cmp,0,,,,,
player,201210210ram,ram,RichDa00,pass_att,0,,,,,
player,201210210ram,ram,RichDa00,pass_yds,0,,,,,
player,201210210ram,ram,RichDa00,pass_td,0,,,,,
player,201210210ram,ram,RichDa00,pass_int,0,,,,,
player,201210210ram,ram,RichDa00,pass_sacked,0,,,,,
player,201210210ram,ram,RichDa00,pass_sacked_yds,0,,,,,
player,201210210ram,ram,RichDa00,pass_long,0,,,,,
player,201210210ram,ram,RichDa00,pass_rating,,,,,,
player,201210210ram,ram,RichDa00,rush_att,8,,,,,
player,201210210ram,ram,RichDa00,rush_yds,36,,,,,
player,201210210ram,ram,RichDa00,rush_td,0,,,,,
player,201210210ram,ram,RichDa00,rush_long,11,,,,,
player,201210210ram,ram,RichDa00,targets,3,,,,,
player,201210210ram,ram,RichDa00,rec,3,,,,,
player,201210210ram,ram,RichDa00,rec_yds,43,,,,,
player,201210210ram,ram,RichDa00,rec_td,0,,,,,
player,201210210ram,ram,RichDa00,rec_long,20,,,,,
player,201210210ram,ram,RichDa00,fumbles,0,,,,,
player,201210210ram,ram,RichDa00,fumbles_lost,0,,,,,
player,201210210ram,ram,GiveCh00,pass_cmp,0,,,,,
player,201210210ram,ram,GiveCh00,pass_att,0,,,,,
player,201210210ram,ram,GiveCh00,pass_yds,0,,,,,
player,201210210ram,ram,GiveCh00,pass_td,0,,,,,
player,201210210ram,ram,GiveCh00,pass_int,0,,,,,
player,201210210ram,ram,GiveCh00,pass_sacked,0,,,,,
player,201210210ram,ram,GiveCh00,pass_sacked_yds,0,,,,,
player,201210210ram,ram,GiveCh00,pass_long,0,,,,,
player,201210210ram,ram,GiveCh00,pass_rating,,,,,,
player,201210210ram,ram,GiveCh00,rush_att,1,,,,,
player,201210210ram,ram,GiveCh00,rush_yds,14,,,,,
player,201210210ram,ram,GiveCh00,rush_td,0,,,,,
player,201210210ram,ram,GiveCh00,rush_long,14,,,,,
player,201210210ram,ram,GiveCh00,targets,5,,,,,
player,201210210ram,ram,GiveCh00,rec,3,,,,,
player,201210210ram,ram,GiveCh00,rec_yds,73,,,,,
player,201210210ram,ram,GiveCh00,rec_td,0,,,,,
player,201210210ram,ram,GiveCh00,rec_long,56,,,,,
player,201210210ram,ram,GiveCh00,fumbles,0,,,,,
player,201210210ram,ram,GiveCh00,fumbles_lost,0,,,,,
player,201210210ram,ram,PeadIs00,pass_cmp,0,,,,,
player,201210210ram,ram,PeadIs00,pass_att,0,,,,,
player,201210210ram,ram,PeadIs00,pass_yds,0,,,,,
player,201210210ram,ram,PeadIs00,pass_td,0,,,,,
player,201210210ram,ram,PeadIs00,pass_int,0,,,,,
player,201210210ram,ram,PeadIs00,pass_sacked,0,,,,,
player,201210210ram,ram,PeadIs00,pass_sacked_yds,0,,,,,
player,201210210ram,ram,PeadIs00,pass_long,0,,,,,
player,201210210ram,ram,PeadIs00,pass_rating,,,,,,
player,201210210ram,ram,PeadIs00,rush_att,1,,,,,
player,201210210ram,ram,PeadIs00,rush_yds,1,,,,,
player,201210210ram,ram,PeadIs00,rush_td,0,,,,,
player,201210210ram,ram,PeadIs00,rush_long,1,,,,,
player,201210210ram,ram,PeadIs00,targets,0,,,,,
player,201210210ram,ram,PeadIs00,rec,0,,,,,
player,201210210ram,ram,PeadIs00,rec_yds,0,,,,,
player,201210210ram,ram,PeadIs00,rec_td,0,,,,,
player,201210210ram,ram,PeadIs00,rec_long,0,,,,,
player,201210210ram,ram,PeadIs00,fumbles,0,,,,,
player,201210210ram,ram,PeadIs00,fumbles_lost,0,,,,,
player,201210210ram,ram,GibsBr00,pass_cmp,0,,,,,
player,201210210ram,ram,GibsBr00,pass_att,0,,,,,
player,201210210ram,ram,GibsBr00,pass_yds,0,,,,,
player,201210210ram,ram,GibsBr00,pass_td,0,,,,,
player,201210210ram,ram,GibsBr00,pass_int,0,,,,,
player,201210210ram,ram,GibsBr00,pass_sacked,0,,,,,
player,201210210ram,ram,GibsBr00,pass_sacked_yds,0,,,,,
player,201210210ram,ram,GibsBr00,pass_long,0,,,,,
player,201210210ram,ram,GibsBr00,pass_rating,,,,,,
player,201210210ram,ram,GibsBr00,rush_att,0,,,,,
player,201210210ram,ram,GibsBr00,rush_yds,0,,,,,
player,201210210ram,ram,GibsBr00,rush_td,0,,,,,
player,201210210ram,ram,GibsBr00,rush_long,0,,,,,
player,201210210ram,ram,GibsBr00,targets,7,,,,,
player,201210210ram,ram,GibsBr00,rec,5,,,,,
player,201210210ram,ram,GibsBr00,rec_yds,60,,,,,
player,201210210ram,ram,GibsBr00,rec_td,0,,,,,
player,201210210ram,ram,GibsBr00,rec_long,15,,,,,
player,201210210ram,ram,GibsBr00,fumbles,0,,,,,
player,201210210ram,ram,GibsBr00,fumbles_lost,0,,,,,
player,201210210ram,ram,QuicBr00,pass_cmp,0,,,,,
player,201210210ram,ram,QuicBr00,pass_att,0,,,,,
player,201210210ram,ram,QuicBr00,pass_yds,0,,,,,
player,201210210ram,ram,QuicBr00,pass_td,0,,,,,
player,201210210ram,ram,QuicBr00,pass_int,0,,,,,
player,201210210ram,ram,QuicBr00,pass_sacked,0,,,,,
player,201210210ram,ram,QuicBr00,pass_sacked_yds,0,,,,,
player,201210210ram,ram,QuicBr00,pass_long,0,,,,,
player,201210210ram,ram,QuicBr00,pass_rating,,,,,,
player,201210210ram,ram,QuicBr00,rush_att,0,,,,,
player,201210210ram,ram,QuicBr00,rush_yds,0,,,,,
player,201210210ram,ram,QuicBr00,rush_td,0,,,,,
player,201210210ram,ram,QuicBr00,rush_long,0,,,,,
player,201210210ram,ram,QuicBr00,targets,4,,,,,
player,201210210ram,ram,QuicBr00,rec,2,,,,,
player,201210210ram,ram,QuicBr00,rec_yds,31,,,,,
player,201210210ram,ram,QuicBr00,rec_td,0,,,,,
player,201210210ram,ram,QuicBr00,rec_long,22,,,,,
player,201210210ram,ram,QuicBr00,fumbles,0,,,,,
player,201210210ram,ram,QuicBr00,fumbles_lost,0,,,,,
player,201210210ram,ram,SmitSt02,pass_cmp,0,,,,,
player,201210210ram,ram,SmitSt02,pass_att,0,,,,,
player,201210210ram,ram,SmitSt02,pass_yds,0,,,,,
player,201210210ram,ram,SmitSt02,pass_td,0,,,,,
player,201210210ram,ram,SmitSt02,pass_int,0,,,,,
player,201210210ram,ram,SmitSt02,pass_sacked,0,,,,,
player,201210210ram,ram,SmitSt02,pass_sacked_yds,0,,,,,
player,201210210ram,ram,SmitSt02,pass_long,0,,,,,
player,201210210ram,ram,SmitSt02,pass_rating,,,,,,
player,201210210ram,ram,SmitSt02,rush_att,0,,,,,
player,201210210ram,ram,SmitSt02,rush_yds,0,,,,,
player,201210210ram,ram,SmitSt02,rush_td,0,,,,,
player,201210210ram,ram,SmitSt02,rush_long,0,,,,,
player,201210210ram,ram,SmitSt02,targets,6,,,,,
player,201210210ram,ram,SmitSt02,rec,4,,,,,
player,201210210ram,ram,SmitSt02,rec_yds,26,,,,,
player,201210210ram,ram,SmitSt02,rec_td,0,,,,,
player,201210210ram,ram,SmitSt02,rec_long,10,,,,,
player,201210210ram,ram,SmitSt02,fumbles,0,,,,,
player,201210210ram,ram,SmitSt02,fumbles_lost,0,,,,,
player,201210210ram,ram,PettAu00,pass_cmp,0,,,,,
player,201210210ram,ram,PettAu00,pass_att,0,,,,,
player,201210210ram,ram,PettAu00,pass_yds,0,,,,,
player,201210210ram,ram,PettAu00,pass_td,0,,,,,
player,201210210ram,ram,PettAu00,pass_int,0,,,,,
player,201210210ram,ram,PettAu00,pass_sacked,0,,,,,
player,201210210ram,ram,PettAu00,pass_sacked_yds,0,,,,,
player,201210210ram,ram,PettAu00,pass_long,0,,,,,
player,201210210ram,ram,PettAu00,pass_rating,,,,,,
player,201210210ram,ram,PettAu00,rush_att,0,,,,,
player,201210210ram,ram,PettAu00,rush_yds,0,,,,,
player,201210210ram,ram,PettAu00,rush_td,0,,,,,
player,201210210ram,ram,PettAu00,rush_long,0,,,,,
player,201210210ram,ram,PettAu00,targets,3,,,,,
player,201210210ram,ram,PettAu00,rec,2,,,,,
player,201210210ram,ram,PettAu00,rec_yds,17,,,,,
player,201210210ram,ram,PettAu00,rec_td,1,,,,,
player,201210210ram,ram,PettAu00,rec_long,14,,,,,
player,201210210ram,ram,PettAu00,fumbles,0,,,,,
player,201210210ram,ram,PettAu00,fumbles_lost,0,,,,,
player,201210210ram,ram,KendLa00,pass_cmp,0,,,,,
player,201210210ram,ram,KendLa00,pass_att,0,,,,,
player,201210210ram,ram,KendLa00,pass_yds,0,,,,,
player,201210210ram,ram,KendLa00,pass_td,0,,,,,
player,201210210ram,ram,KendLa00,pass_int,0,,,,,
player,201210210ram,ram,KendLa00,pass_sacked,0,,,,,
player,201210210ram,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201210210ram,ram,KendLa00,pass_long,0,,,,,
player,201210210ram,ram,KendLa00,pass_rating,,,,,,
player,201210210ram,ram,KendLa00,rush_att,0,,,,,
player,201210210ram,ram,KendLa00,rush_yds,0,,,,,
player,201210210ram,ram,KendLa00,rush_td,0,,,,,
player,201210210ram,ram,KendLa00,rush_long,0,,,,,
player,201210210ram,ram,KendLa00,targets,4,,,,,
player,201210210ram,ram,KendLa00,rec,2,,,,,
player,201210210ram,ram,KendLa00,rec_yds,5,,,,,
player,201210210ram,ram,KendLa00,rec_td,0,,,,,
player,201210210ram,ram,KendLa00,rec_long,5,,,,,
player,201210210ram,ram,KendLa00,fumbles,0,,,,,
player,201210210ram,ram,KendLa00,fumbles_lost,0,,,,,
player,201210210ram,ram,MillBr01,pass_cmp,0,,,,,
player,201210210ram,ram,MillBr01,pass_att,0,,,,,
player,201210210ram,ram,MillBr01,pass_yds,0,,,,,
player,201210210ram,ram,MillBr01,pass_td,0,,,,,
player,201210210ram,ram,MillBr01,pass_int,0,,,,,
player,201210210ram,ram,MillBr01,pass_sacked,0,,,,,
player,201210210ram,ram,MillBr01,pass_sacked_yds,0,,,,,
player,201210210ram,ram,MillBr01,pass_long,0,,,,,
player,201210210ram,ram,MillBr01,pass_rating,,,,,,
player,201210210ram,ram,MillBr01,rush_att,0,,,,,
player,201210210ram,ram,MillBr01,rush_yds,0,,,,,
player,201210210ram,ram,MillBr01,rush_td,0,,,,,
player,201210210ram,ram,MillBr01,rush_long,0,,,,,
player,201210210ram,ram,MillBr01,targets,1,,,,,
player,201210210ram,ram,MillBr01,rec,0,,,,,
player,201210210ram,ram,MillBr01,rec_yds,0,,,,,
player,201210210ram,ram,MillBr01,rec_td,0,,,,,
player,201210210ram,ram,MillBr01,rec_long,0,,,,,
player,201210210ram,ram,MillBr01,fumbles,0,,,,,
player,201210210ram,ram,MillBr01,fumbles_lost,0,,,,,
player,201210210ram,gnb,HaywCa00,def_int,1,,,,,
player,201210210ram,gnb,HaywCa00,def_int_yds,0,,,,,
player,201210210ram,gnb,HaywCa00,def_int_td,0,,,,,
player,201210210ram,gnb,HaywCa00,def_int_long,0,,,,,
player,201210210ram,gnb,HaywCa00,pass_defended,1,,,,,
player,201210210ram,gnb,HaywCa00,sacks,0.0,,,,,
player,201210210ram,gnb,HaywCa00,tackles_combined,3,,,,,
player,201210210ram,gnb,HaywCa00,tackles_solo,3,,,,,
player,201210210ram,gnb,HaywCa00,tackles_assists,0,,,,,
player,201210210ram,gnb,HaywCa00,tackles_loss,0,,,,,
player,201210210ram,gnb,HaywCa00,qb_hits,0,,,,,
player,201210210ram,gnb,HaywCa00,fumbles_rec,0,,,,,
player,201210210ram,gnb,HaywCa00,fumbles_rec_yds,0,,,,,
player,201210210ram,gnb,HaywCa00,fumbles_rec_td,0,,,,,
player,201210210ram,gnb,HaywCa00,fumbles_forced,0,,,,,
player,201210210ram,gnb,MattCl99,def_int,0,,,,,
player,201210210ram,gnb,MattCl99,def_int_yds,0,,,,,
player,201210210ram,gnb,MattCl99,def_int_td,0,,,,,
player,201210210ram,gnb,MattCl99,def_int_long,0,,,,,
player,201210210ram,gnb,MattCl99,pass_defended,0,,,,,
player,201210210ram,gnb,MattCl99,sacks,1.0,,,,,
player,201210210ram,gnb,MattCl99,tackles_combined,2,,,,,
player,201210210ram,gnb,MattCl99,tackles_solo,2,,,,,
player,201210210ram,gnb,MattCl99,tackles_assists,0,,,,,
player,201210210ram,gnb,MattCl99,tackles_loss,1,,,,,
player,201210210ram,gnb,MattCl99,qb_hits,2,,,,,
player,201210210ram,gnb,MattCl99,fumbles_rec,0,,,,,
player,201210210ram,gnb,MattCl99,fumbles_rec_yds,0,,,,,
player,201210210ram,gnb,MattCl99,fumbles_rec_td,0,,,,,
player,201210210ram,gnb,MattCl99,fumbles_forced,0,,,,,
player,201210210ram,gnb,MoseDe00,def_int,0,,,,,
player,201210210ram,gnb,MoseDe00,def_int_yds,0,,,,,
player,201210210ram,gnb,MoseDe00,def_int_td,0,,,,,
player,201210210ram,gnb,MoseDe00,def_int_long,0,,,,,
player,201210210ram,gnb,MoseDe00,pass_defended,0,,,,,
player,201210210ram,gnb,MoseDe00,sacks,1.0,,,,,
player,201210210ram,gnb,MoseDe00,tackles_combined,1,,,,,
player,201210210ram,gnb,MoseDe00,tackles_solo,1,,,,,
player,201210210ram,gnb,MoseDe00,tackles_assists,0,,,,,
player,201210210ram,gnb,MoseDe00,tackles_loss,0,,,,,
player,201210210ram,gnb,MoseDe00,qb_hits,0,,,,,
player,201210210ram,gnb,MoseDe00,fumbles_rec,0,,,,,
player,201210210ram,gnb,MoseDe00,fumbles_rec_yds,0,,,,,
player,201210210ram,gnb,MoseDe00,fumbles_rec_td,0,,,,,
player,201210210ram,gnb,MoseDe00,fumbles_forced,0,,,,,
