game,2012,15,20121216,201212160nwe,sfo,"San Francisco 49ers",41,nwe,"New England Patriots",34
player,201212160nwe,sfo,MossRa00,rush_long,0,,,,,
player,201212160nwe,sfo,MossRa00,targets,4,,,,,
player,201212160nwe,sfo,MossRa00,rec,2,,,,,
player,201212160nwe,sfo,MossRa00,rec_yds,36,,,,,
player,201212160nwe,sfo,MossRa00,rec_td,1,,,,,
player,201212160nwe,sfo,MossRa00,rec_long,24,,,,,
player,201212160nwe,sfo,MossRa00,fumbles,0,,,,,
player,201212160nwe,sfo,MossRa00,fumbles_lost,0,,,,,
player,201212160nwe,sfo,WalkHu00,pass_cmp,0,,,,,
player,201212160nwe,sfo,WalkHu00,pass_att,0,,,,,
player,201212160nwe,sfo,WalkHu00,pass_yds,0,,,,,
player,201212160nwe,sfo,WalkHu00,pass_td,0,,,,,
player,201212160nwe,sfo,WalkHu00,pass_int,0,,,,,
player,201212160nwe,sfo,WalkHu00,pass_sacked,0,,,,,
player,201212160nwe,sfo,WalkHu00,pass_sacked_yds,0,,,,,
player,201212160nwe,sfo,WalkHu00,pass_long,0,,,,,
player,201212160nwe,sfo,WalkHu00,pass_rating,,,,,,
player,201212160nwe,sfo,WalkHu00,rush_att,0,,,,,
player,201212160nwe,sfo,WalkHu00,rush_yds,0,,,,,
player,201212160nwe,sfo,WalkHu00,rush_td,0,,,,,
player,201212160nwe,sfo,WalkHu00,rush_long,0,,,,,
player,201212160nwe,sfo,WalkHu00,targets,2,,,,,
player,201212160nwe,sfo,WalkHu00,rec,2,,,,,
player,201212160nwe,sfo,WalkHu00,rec_yds,34,,,,,
player,201212160nwe,sfo,WalkHu00,rec_td,1,,,,,
player,201212160nwe,sfo,WalkHu00,rec_long,34,,,,,
player,201212160nwe,sfo,WalkHu00,fumbles,1,,,,,
player,201212160nwe,sfo,WalkHu00,fumbles_lost,1,,,,,
player,201212160nwe,sfo,DaviVe00,pass_cmp,0,,,,,
player,201212160nwe,sfo,DaviVe00,pass_att,0,,,,,
player,201212160nwe,sfo,DaviVe00,pass_yds,0,,,,,
player,201212160nwe,sfo,DaviVe00,pass_td,0,,,,,
player,201212160nwe,sfo,DaviVe00,pass_int,0,,,,,
player,201212160nwe,sfo,DaviVe00,pass_sacked,0,,,,,
player,201212160nwe,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201212160nwe,sfo,DaviVe00,pass_long,0,,,,,
player,201212160nwe,sfo,DaviVe00,pass_rating,,,,,,
player,201212160nwe,sfo,DaviVe00,rush_att,0,,,,,
player,201212160nwe,sfo,DaviVe00,rush_yds,0,,,,,
player,201212160nwe,sfo,DaviVe00,rush_td,0,,,,,
player,201212160nwe,sfo,DaviVe00,rush_long,0,,,,,
player,201212160nwe,sfo,DaviVe00,targets,3,,,,,
player,201212160nwe,sfo,DaviVe00,rec,1,,,,,
player,201212160nwe,sfo,DaviVe00,rec_yds,10,,,,,
player,201212160nwe,sfo,DaviVe00,rec_td,0,,,,,
player,201212160nwe,sfo,DaviVe00,rec_long,10,,,,,
player,201212160nwe,sfo,DaviVe00,fumbles,0,,,,,
player,201212160nwe,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201212160nwe,nwe,BradTo00,pass_cmp,36,,,,,
player,201212160nwe,nwe,BradTo00,pass_att,65,,,,,
player,201212160nwe,nwe,BradTo00,pass_yds,443,,,,,
player,201212160nwe,nwe,BradTo00,pass_td,1,,,,,
player,201212160nwe,nwe,BradTo00,pass_int,2,,,,,
player,201212160nwe,nwe,BradTo00,pass_sacked,3,,,,,
player,201212160nwe,nwe,BradTo00,pass_sacked_yds,18,,,,,
player,201212160nwe,nwe,BradTo00,pass_long,53,,,,,
player,201212160nwe,nwe,BradTo00,pass_rating,68.9,,,,,
player,201212160nwe,nwe,BradTo00,rush_att,3,,,,,
player,201212160nwe,nwe,BradTo00,rush_yds,11,,,,,
player,201212160nwe,nwe,BradTo00,rush_td,1,,,,,
player,201212160nwe,nwe,BradTo00,rush_long,5,,,,,
player,201212160nwe,nwe,BradTo00,targets,0,,,,,
player,201212160nwe,nwe,BradTo00,rec,0,,,,,
player,201212160nwe,nwe,BradTo00,rec_yds,0,,,,,
player,201212160nwe,nwe,BradTo00,rec_td,0,,,,,
player,201212160nwe,nwe,BradTo00,rec_long,0,,,,,
player,201212160nwe,nwe,BradTo00,fumbles,0,,,,,
player,201212160nwe,nwe,BradTo00,fumbles_lost,0,,,,,
player,201212160nwe,nwe,WoodDa02,pass_cmp,0,,,,,
player,201212160nwe,nwe,WoodDa02,pass_att,0,,,,,
player,201212160nwe,nwe,WoodDa02,pass_yds,0,,,,,
player,201212160nwe,nwe,WoodDa02,pass_td,0,,,,,
player,201212160nwe,nwe,WoodDa02,pass_int,0,,,,,
player,201212160nwe,nwe,WoodDa02,pass_sacked,0,,,,,
player,201212160nwe,nwe,WoodDa02,pass_sacked_yds,0,,,,,
player,201212160nwe,nwe,WoodDa02,pass_long,0,,,,,
player,201212160nwe,nwe,WoodDa02,pass_rating,,,,,,
player,201212160nwe,nwe,WoodDa02,rush_att,12,,,,,
player,201212160nwe,nwe,WoodDa02,rush_yds,61,,,,,
player,201212160nwe,nwe,WoodDa02,rush_td,2,,,,,
player,201212160nwe,nwe,WoodDa02,rush_long,15,,,,,
player,201212160nwe,nwe,WoodDa02,targets,10,,,,,
player,201212160nwe,nwe,WoodDa02,rec,5,,,,,
player,201212160nwe,nwe,WoodDa02,rec_yds,23,,,,,
player,201212160nwe,nwe,WoodDa02,rec_td,0,,,,,
player,201212160nwe,nwe,WoodDa02,rec_long,7,,,,,
player,201212160nwe,nwe,WoodDa02,fumbles,0,,,,,
player,201212160nwe,nwe,WoodDa02,fumbles_lost,0,,,,,
player,201212160nwe,nwe,RidlSt00,pass_cmp,0,,,,,
player,201212160nwe,nwe,RidlSt00,pass_att,0,,,,,
player,201212160nwe,nwe,RidlSt00,pass_yds,0,,,,,
player,201212160nwe,nwe,RidlSt00,pass_td,0,,,,,
player,201212160nwe,nwe,RidlSt00,pass_int,0,,,,,
player,201212160nwe,nwe,RidlSt00,pass_sacked,0,,,,,
player,201212160nwe,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201212160nwe,nwe,RidlSt00,pass_long,0,,,,,
player,201212160nwe,nwe,RidlSt00,pass_rating,,,,,,
player,201212160nwe,nwe,RidlSt00,rush_att,9,,,,,
player,201212160nwe,nwe,RidlSt00,rush_yds,23,,,,,
player,201212160nwe,nwe,RidlSt00,rush_td,0,,,,,
player,201212160nwe,nwe,RidlSt00,rush_long,9,,,,,
player,201212160nwe,nwe,RidlSt00,targets,2,,,,,
player,201212160nwe,nwe,RidlSt00,rec,0,,,,,
player,201212160nwe,nwe,RidlSt00,rec_yds,0,,,,,
player,201212160nwe,nwe,RidlSt00,rec_td,0,,,,,
player,201212160nwe,nwe,RidlSt00,rec_long,0,,,,,
player,201212160nwe,nwe,RidlSt00,fumbles,1,,,,,
player,201212160nwe,nwe,RidlSt00,fumbles_lost,1,,,,,
player,201212160nwe,nwe,LloyBr00,pass_cmp,0,,,,,
player,201212160nwe,nwe,LloyBr00,pass_att,0,,,,,
player,201212160nwe,nwe,LloyBr00,pass_yds,0,,,,,
player,201212160nwe,nwe,LloyBr00,pass_td,0,,,,,
player,201212160nwe,nwe,LloyBr00,pass_int,0,,,,,
player,201212160nwe,nwe,LloyBr00,pass_sacked,0,,,,,
player,201212160nwe,nwe,LloyBr00,pass_sacked_yds,0,,,,,
player,201212160nwe,nwe,LloyBr00,pass_long,0,,,,,
player,201212160nwe,nwe,LloyBr00,pass_rating,,,,,,
player,201212160nwe,nwe,LloyBr00,rush_att,0,,,,,
player,201212160nwe,nwe,LloyBr00,rush_yds,0,,,,,
player,201212160nwe,nwe,LloyBr00,rush_td,0,,,,,
player,201212160nwe,nwe,LloyBr00,rush_long,0,,,,,
player,201212160nwe,nwe,LloyBr00,targets,16,,,,,
player,201212160nwe,nwe,LloyBr00,rec,10,,,,,
player,201212160nwe,nwe,LloyBr00,rec_yds,190,,,,,
player,201212160nwe,nwe,LloyBr00,rec_td,0,,,,,
player,201212160nwe,nwe,LloyBr00,rec_long,53,,,,,
player,201212160nwe,nwe,LloyBr00,fumbles,0,,,,,
player,201212160nwe,nwe,LloyBr00,fumbles_lost,0,,,,,
player,201212160nwe,nwe,HernAa00,pass_cmp,0,,,,,
player,201212160nwe,nwe,HernAa00,pass_att,0,,,,,
player,201212160nwe,nwe,HernAa00,pass_yds,0,,,,,
player,201212160nwe,nwe,HernAa00,pass_td,0,,,,,
player,201212160nwe,nwe,HernAa00,pass_int,0,,,,,
player,201212160nwe,nwe,HernAa00,pass_sacked,0,,,,,
player,201212160nwe,nwe,HernAa00,pass_sacked_yds,0,,,,,
player,201212160nwe,nwe,HernAa00,pass_long,0,,,,,
player,201212160nwe,nwe,HernAa00,pass_rating,,,,,,
player,201212160nwe,nwe,HernAa00,rush_att,0,,,,,
player,201212160nwe,nwe,HernAa00,rush_yds,0,,,,,
player,201212160nwe,nwe,HernAa00,rush_td,0,,,,,
player,201212160nwe,nwe,HernAa00,rush_long,0,,,,,
player,201212160nwe,nwe,HernAa00,targets,19,,,,,
player,201212160nwe,nwe,HernAa00,rec,10,,,,,
player,201212160nwe,nwe,HernAa00,rec_yds,92,,,,,
player,201212160nwe,nwe,HernAa00,rec_td,1,,,,,
player,201212160nwe,nwe,HernAa00,rec_long,20,,,,,
player,201212160nwe,nwe,HernAa00,fumbles,0,,,,,
player,201212160nwe,nwe,HernAa00,fumbles_lost,0,,,,,
player,201212160nwe,nwe,WelkWe00,pass_cmp,0,,,,,
player,201212160nwe,nwe,WelkWe00,pass_att,0,,,,,
player,201212160nwe,nwe,WelkWe00,pass_yds,0,,,,,
player,201212160nwe,nwe,WelkWe00,pass_td,0,,,,,
player,201212160nwe,nwe,WelkWe00,pass_int,0,,,,,
player,201212160nwe,nwe,WelkWe00,pass_sacked,0,,,,,
player,201212160nwe,nwe,WelkWe00,pass_sacked_yds,0,,,,,
player,201212160nwe,nwe,WelkWe00,pass_long,0,,,,,
player,201212160nwe,nwe,WelkWe00,pass_rating,,,,,,
player,201212160nwe,nwe,WelkWe00,rush_att,0,,,,,
player,201212160nwe,nwe,WelkWe00,rush_yds,0,,,,,
player,201212160nwe,nwe,WelkWe00,rush_td,0,,,,,
player,201212160nwe,nwe,WelkWe00,rush_long,0,,,,,
player,201212160nwe,nwe,WelkWe00,targets,9,,,,,
player,201212160nwe,nwe,WelkWe00,rec,5,,,,,
player,201212160nwe,nwe,WelkWe00,rec_yds,56,,,,,
player,201212160nwe,nwe,WelkWe00,rec_td,0,,,,,
player,201212160nwe,nwe,WelkWe00,rec_long,15,,,,,
player,201212160nwe,nwe,WelkWe00,fumbles,0,,,,,
player,201212160nwe,nwe,WelkWe00,fumbles_lost,0,,,,,
player,201212160nwe,nwe,HoomMi00,pass_cmp,0,,,,,
player,201212160nwe,nwe,HoomMi00,pass_att,0,,,,,
player,201212160nwe,nwe,HoomMi00,pass_yds,0,,,,,
player,201212160nwe,nwe,HoomMi00,pass_td,0,,,,,
player,201212160nwe,nwe,HoomMi00,pass_int,0,,,,,
player,201212160nwe,nwe,HoomMi00,pass_sacked,0,,,,,
player,201212160nwe,nwe,HoomMi00,pass_sacked_yds,0,,,,,
player,201212160nwe,nwe,HoomMi00,pass_long,0,,,,,
player,201212160nwe,nwe,HoomMi00,pass_rating,,,,,,
player,201212160nwe,nwe,HoomMi00,rush_att,0,,,,,
player,201212160nwe,nwe,HoomMi00,rush_yds,0,,,,,
player,201212160nwe,nwe,HoomMi00,rush_td,0,,,,,
player,201212160nwe,nwe,HoomMi00,rush_long,0,,,,,
player,201212160nwe,nwe,HoomMi00,targets,1,,,,,
player,201212160nwe,nwe,HoomMi00,rec,1,,,,,
player,201212160nwe,nwe,HoomMi00,rec_yds,41,,,,,
player,201212160nwe,nwe,HoomMi00,rec_td,0,,,,,
player,201212160nwe,nwe,HoomMi00,rec_long,41,,,,,
player,201212160nwe,nwe,HoomMi00,fumbles,0,,,,,
player,201212160nwe,nwe,HoomMi00,fumbles_lost,0,,,,,
player,201212160nwe,nwe,BranDe00,pass_cmp,0,,,,,
player,201212160nwe,nwe,BranDe00,pass_att,0,,,,,
player,201212160nwe,nwe,BranDe00,pass_yds,0,,,,,
player,201212160nwe,nwe,BranDe00,pass_td,0,,,,,
player,201212160nwe,nwe,BranDe00,pass_int,0,,,,,
player,201212160nwe,nwe,BranDe00,pass_sacked,0,,,,,
player,201212160nwe,nwe,BranDe00,pass_sacked_yds,0,,,,,
player,201212160nwe,nwe,BranDe00,pass_long,0,,,,,
player,201212160nwe,nwe,BranDe00,pass_rating,,,,,,
player,201212160nwe,nwe,BranDe00,rush_att,0,,,,,
player,201212160nwe,nwe,BranDe00,rush_yds,0,,,,,
player,201212160nwe,nwe,BranDe00,rush_td,0,,,,,
player,201212160nwe,nwe,BranDe00,rush_long,0,,,,,
player,201212160nwe,nwe,BranDe00,targets,5,,,,,
player,201212160nwe,nwe,BranDe00,rec,4,,,,,
player,201212160nwe,nwe,BranDe00,rec_yds,37,,,,,
player,201212160nwe,nwe,BranDe00,rec_td,0,,,,,
player,201212160nwe,nwe,BranDe00,rec_long,13,,,,,
player,201212160nwe,nwe,BranDe00,fumbles,0,,,,,
player,201212160nwe,nwe,BranDe00,fumbles_lost,0,,,,,
player,201212160nwe,nwe,VereSh00,pass_cmp,0,,,,,
player,201212160nwe,nwe,VereSh00,pass_att,0,,,,,
player,201212160nwe,nwe,VereSh00,pass_yds,0,,,,,
player,201212160nwe,nwe,VereSh00,pass_td,0,,,,,
player,201212160nwe,nwe,VereSh00,pass_int,0,,,,,
player,201212160nwe,nwe,VereSh00,pass_sacked,0,,,,,
player,201212160nwe,nwe,VereSh00,pass_sacked_yds,0,,,,,
player,201212160nwe,nwe,VereSh00,pass_long,0,,,,,
player,201212160nwe,nwe,VereSh00,pass_rating,,,,,,
player,201212160nwe,nwe,VereSh00,rush_att,0,,,,,
player,201212160nwe,nwe,VereSh00,rush_yds,0,,,,,
player,201212160nwe,nwe,VereSh00,rush_td,0,,,,,
player,201212160nwe,nwe,VereSh00,rush_long,0,,,,,
player,201212160nwe,nwe,VereSh00,targets,1,,,,,
player,201212160nwe,nwe,VereSh00,rec,1,,,,,
player,201212160nwe,nwe,VereSh00,rec_yds,4,,,,,
player,201212160nwe,nwe,VereSh00,rec_td,0,,,,,
player,201212160nwe,nwe,VereSh00,rec_long,4,,,,,
player,201212160nwe,nwe,VereSh00,fumbles,1,,,,,
player,201212160nwe,nwe,VereSh00,fumbles_lost,1,,,,,
player,201212160nwe,sfo,RogeCa20,def_int,1,,,,,
player,201212160nwe,sfo,RogeCa20,def_int_yds,63,,,,,
player,201212160nwe,sfo,RogeCa20,def_int_td,0,,,,,
player,201212160nwe,sfo,RogeCa20,def_int_long,63,,,,,
player,201212160nwe,sfo,RogeCa20,pass_defended,1,,,,,
player,201212160nwe,sfo,RogeCa20,sacks,0.0,,,,,
player,201212160nwe,sfo,RogeCa20,tackles_combined,4,,,,,
player,201212160nwe,sfo,RogeCa20,tackles_solo,3,,,,,
player,201212160nwe,sfo,RogeCa20,tackles_assists,1,,,,,
player,201212160nwe,sfo,RogeCa20,tackles_loss,0,,,,,
player,201212160nwe,sfo,RogeCa20,qb_hits,1,,,,,
player,201212160nwe,sfo,RogeCa20,fumbles_rec,0,,,,,
player,201212160nwe,sfo,RogeCa20,fumbles_rec_yds,0,,,,,
player,201212160nwe,sfo,RogeCa20,fumbles_rec_td,0,,,,,
player,201212160nwe,sfo,RogeCa20,fumbles_forced,0,,,,,
player,201212160nwe,sfo,SmitAl04,def_int,1,,,,,
player,201212160nwe,sfo,SmitAl04,def_int_yds,6,,,,,
player,201212160nwe,sfo,SmitAl04,def_int_td,0,,,,,
player,201212160nwe,sfo,SmitAl04,def_int_long,6,,,,,
player,201212160nwe,sfo,SmitAl04,pass_defended,1,,,,,
player,201212160nwe,sfo,SmitAl04,sacks,0.0,,,,,
player,201212160nwe,sfo,SmitAl04,tackles_combined,1,,,,,
player,201212160nwe,sfo,SmitAl04,tackles_solo,0,,,,,
player,201212160nwe,sfo,SmitAl04,tackles_assists,1,,,,,
player,201212160nwe,sfo,SmitAl04,tackles_loss,0,,,,,
player,201212160nwe,sfo,SmitAl04,qb_hits,2,,,,,
player,201212160nwe,sfo,SmitAl04,fumbles_rec,0,,,,,
player,201212160nwe,sfo,SmitAl04,fumbles_rec_yds,0,,,,,
player,201212160nwe,sfo,SmitAl04,fumbles_rec_td,0,,,,,
player,201212160nwe,sfo,SmitAl04,fumbles_forced,0,,,,,
player,201212160nwe,sfo,McDoRa99,def_int,0,,,,,
player,201212160nwe,sfo,McDoRa99,def_int_yds,0,,,,,
player,201212160nwe,sfo,McDoRa99,def_int_td,0,,,,,
player,201212160nwe,sfo,McDoRa99,def_int_long,0,,,,,
player,201212160nwe,sfo,McDoRa99,pass_defended,0,,,,,
player,201212160nwe,sfo,McDoRa99,sacks,2.0,,,,,
player,201212160nwe,sfo,McDoRa99,tackles_combined,4,,,,,
player,201212160nwe,sfo,McDoRa99,tackles_solo,4,,,,,
player,201212160nwe,sfo,McDoRa99,tackles_assists,0,,,,,
player,201212160nwe,sfo,McDoRa99,tackles_loss,2,,,,,
player,201212160nwe,sfo,McDoRa99,qb_hits,2,,,,,
player,201212160nwe,sfo,McDoRa99,fumbles_rec,0,,,,,
player,201212160nwe,sfo,McDoRa99,fumbles_rec_yds,0,,,,,
player,201212160nwe,sfo,McDoRa99,fumbles_rec_td,0,,,,,
