game,2012,17,20121230,201212300was,dal,"Dallas Cowboys",18,was,"Washington Redskins",28
player,201212300was,dal,SensGe20,def_int_yds,0,,,,,
player,201212300was,dal,SensGe20,def_int_td,0,,,,,
player,201212300was,dal,SensGe20,def_int_long,0,,,,,
player,201212300was,dal,SensGe20,pass_defended,0,,,,,
player,201212300was,dal,SensGe20,sacks,0.0,,,,,
player,201212300was,dal,SensGe20,tackles_combined,4,,,,,
player,201212300was,dal,SensGe20,tackles_solo,2,,,,,
player,201212300was,dal,SensGe20,tackles_assists,2,,,,,
player,201212300was,dal,SensGe20,tackles_loss,1,,,,,
player,201212300was,dal,SensGe20,qb_hits,0,,,,,
player,201212300was,dal,SensGe20,fumbles_rec,0,,,,,
player,201212300was,dal,SensGe20,fumbles_rec_yds,0,,,,,
player,201212300was,dal,SensGe20,fumbles_rec_td,0,,,,,
player,201212300was,dal,SensGe20,fumbles_forced,0,,,,,
player,201212300was,dal,CarrBr99,def_int,0,,,,,
player,201212300was,dal,CarrBr99,def_int_yds,0,,,,,
player,201212300was,dal,CarrBr99,def_int_td,0,,,,,
player,201212300was,dal,CarrBr99,def_int_long,0,,,,,
player,201212300was,dal,CarrBr99,pass_defended,0,,,,,
player,201212300was,dal,CarrBr99,sacks,0.0,,,,,
player,201212300was,dal,CarrBr99,tackles_combined,3,,,,,
player,201212300was,dal,CarrBr99,tackles_solo,1,,,,,
player,201212300was,dal,CarrBr99,tackles_assists,2,,,,,
player,201212300was,dal,CarrBr99,tackles_loss,0,,,,,
player,201212300was,dal,CarrBr99,qb_hits,0,,,,,
player,201212300was,dal,CarrBr99,fumbles_rec,0,,,,,
player,201212300was,dal,CarrBr99,fumbles_rec_yds,0,,,,,
player,201212300was,dal,CarrBr99,fumbles_rec_td,0,,,,,
player,201212300was,dal,CarrBr99,fumbles_forced,0,,,,,
player,201212300was,dal,CrawTy00,def_int,0,,,,,
player,201212300was,dal,CrawTy00,def_int_yds,0,,,,,
player,201212300was,dal,CrawTy00,def_int_td,0,,,,,
player,201212300was,dal,CrawTy00,def_int_long,0,,,,,
player,201212300was,dal,CrawTy00,pass_defended,0,,,,,
player,201212300was,dal,CrawTy00,sacks,0.0,,,,,
player,201212300was,dal,CrawTy00,tackles_combined,2,,,,,
player,201212300was,dal,CrawTy00,tackles_solo,1,,,,,
player,201212300was,dal,CrawTy00,tackles_assists,1,,,,,
player,201212300was,dal,CrawTy00,tackles_loss,0,,,,,
player,201212300was,dal,CrawTy00,qb_hits,0,,,,,
player,201212300was,dal,CrawTy00,fumbles_rec,0,,,,,
player,201212300was,dal,CrawTy00,fumbles_rec_yds,0,,,,,
player,201212300was,dal,CrawTy00,fumbles_rec_td,0,,,,,
player,201212300was,dal,CrawTy00,fumbles_forced,0,,,,,
player,201212300was,dal,McCrDa00,def_int,0,,,,,
player,201212300was,dal,McCrDa00,def_int_yds,0,,,,,
player,201212300was,dal,McCrDa00,def_int_td,0,,,,,
player,201212300was,dal,McCrDa00,def_int_long,0,,,,,
player,201212300was,dal,McCrDa00,pass_defended,0,,,,,
player,201212300was,dal,McCrDa00,sacks,0.0,,,,,
player,201212300was,dal,McCrDa00,tackles_combined,2,,,,,
player,201212300was,dal,McCrDa00,tackles_solo,0,,,,,
player,201212300was,dal,McCrDa00,tackles_assists,2,,,,,
player,201212300was,dal,McCrDa00,tackles_loss,0,,,,,
player,201212300was,dal,McCrDa00,qb_hits,0,,,,,
player,201212300was,dal,McCrDa00,fumbles_rec,0,,,,,
player,201212300was,dal,McCrDa00,fumbles_rec_yds,0,,,,,
player,201212300was,dal,McCrDa00,fumbles_rec_td,0,,,,,
player,201212300was,dal,McCrDa00,fumbles_forced,0,,,,,
player,201212300was,dal,MoorSt00,def_int,0,,,,,
player,201212300was,dal,MoorSt00,def_int_yds,0,,,,,
player,201212300was,dal,MoorSt00,def_int_td,0,,,,,
player,201212300was,dal,MoorSt00,def_int_long,0,,,,,
player,201212300was,dal,MoorSt00,pass_defended,0,,,,,
player,201212300was,dal,MoorSt00,sacks,0.0,,,,,
player,201212300was,dal,MoorSt00,tackles_combined,2,,,,,
player,201212300was,dal,MoorSt00,tackles_solo,1,,,,,
player,201212300was,dal,MoorSt00,tackles_assists,1,,,,,
player,201212300was,dal,MoorSt00,tackles_loss,0,,,,,
player,201212300was,dal,MoorSt00,qb_hits,0,,,,,
player,201212300was,dal,MoorSt00,fumbles_rec,0,,,,,
player,201212300was,dal,MoorSt00,fumbles_rec_yds,0,,,,,
player,201212300was,dal,MoorSt00,fumbles_rec_td,0,,,,,
player,201212300was,dal,MoorSt00,fumbles_forced,0,,,,,
player,201212300was,dal,PeprCh20,def_int,0,,,,,
player,201212300was,dal,PeprCh20,def_int_yds,0,,,,,
player,201212300was,dal,PeprCh20,def_int_td,0,,,,,
player,201212300was,dal,PeprCh20,def_int_long,0,,,,,
player,201212300was,dal,PeprCh20,pass_defended,0,,,,,
player,201212300was,dal,PeprCh20,sacks,0.0,,,,,
player,201212300was,dal,PeprCh20,tackles_combined,2,,,,,
player,201212300was,dal,PeprCh20,tackles_solo,1,,,,,
player,201212300was,dal,PeprCh20,tackles_assists,1,,,,,
player,201212300was,dal,PeprCh20,tackles_loss,0,,,,,
player,201212300was,dal,PeprCh20,qb_hits,0,,,,,
player,201212300was,dal,PeprCh20,fumbles_rec,0,,,,,
player,201212300was,dal,PeprCh20,fumbles_rec_yds,0,,,,,
player,201212300was,dal,PeprCh20,fumbles_rec_td,0,,,,,
player,201212300was,dal,PeprCh20,fumbles_forced,0,,,,,
player,201212300was,dal,PhilJo00,def_int,0,,,,,
player,201212300was,dal,PhilJo00,def_int_yds,0,,,,,
player,201212300was,dal,PhilJo00,def_int_td,0,,,,,
player,201212300was,dal,PhilJo00,def_int_long,0,,,,,
