game,2012,16,20121223,201212230phi,was,"Washington Redskins",27,phi,"Philadelphia Eagles",20
player,201212230phi,was,MossSa00,rec_long,22,,,,,
player,201212230phi,was,MossSa00,fumbles,0,,,,,
player,201212230phi,was,MossSa00,fumbles_lost,0,,,,,
player,201212230phi,was,MorgJo00,pass_cmp,0,,,,,
player,201212230phi,was,MorgJo00,pass_att,0,,,,,
player,201212230phi,was,MorgJo00,pass_yds,0,,,,,
player,201212230phi,was,MorgJo00,pass_td,0,,,,,
player,201212230phi,was,MorgJo00,pass_int,0,,,,,
player,201212230phi,was,MorgJo00,pass_sacked,0,,,,,
player,201212230phi,was,MorgJo00,pass_sacked_yds,0,,,,,
player,201212230phi,was,MorgJo00,pass_long,0,,,,,
player,201212230phi,was,MorgJo00,pass_rating,,,,,,
player,201212230phi,was,MorgJo00,rush_att,1,,,,,
player,201212230phi,was,MorgJo00,rush_yds,7,,,,,
player,201212230phi,was,MorgJo00,rush_td,0,,,,,
player,201212230phi,was,MorgJo00,rush_long,7,,,,,
player,201212230phi,was,MorgJo00,targets,5,,,,,
player,201212230phi,was,MorgJo00,rec,2,,,,,
player,201212230phi,was,MorgJo00,rec_yds,21,,,,,
player,201212230phi,was,MorgJo00,rec_td,1,,,,,
player,201212230phi,was,MorgJo00,rec_long,11,,,,,
player,201212230phi,was,MorgJo00,fumbles,0,,,,,
player,201212230phi,was,MorgJo00,fumbles_lost,0,,,,,
player,201212230phi,was,GarcPi00,pass_cmp,0,,,,,
player,201212230phi,was,GarcPi00,pass_att,0,,,,,
player,201212230phi,was,GarcPi00,pass_yds,0,,,,,
player,201212230phi,was,GarcPi00,pass_td,0,,,,,
player,201212230phi,was,GarcPi00,pass_int,0,,,,,
player,201212230phi,was,GarcPi00,pass_sacked,0,,,,,
player,201212230phi,was,GarcPi00,pass_sacked_yds,0,,,,,
player,201212230phi,was,GarcPi00,pass_long,0,,,,,
player,201212230phi,was,GarcPi00,pass_rating,,,,,,
player,201212230phi,was,GarcPi00,rush_att,0,,,,,
player,201212230phi,was,GarcPi00,rush_yds,0,,,,,
player,201212230phi,was,GarcPi00,rush_td,0,,,,,
player,201212230phi,was,GarcPi00,rush_long,0,,,,,
player,201212230phi,was,GarcPi00,targets,9,,,,,
player,201212230phi,was,GarcPi00,rec,7,,,,,
player,201212230phi,was,GarcPi00,rec_yds,89,,,,,
player,201212230phi,was,GarcPi00,rec_td,0,,,,,
player,201212230phi,was,GarcPi00,rec_long,29,,,,,
player,201212230phi,was,GarcPi00,fumbles,0,,,,,
player,201212230phi,was,GarcPi00,fumbles_lost,0,,,,,
player,201212230phi,was,PaulNi00,pass_cmp,0,,,,,
player,201212230phi,was,PaulNi00,pass_att,0,,,,,
player,201212230phi,was,PaulNi00,pass_yds,0,,,,,
player,201212230phi,was,PaulNi00,pass_td,0,,,,,
player,201212230phi,was,PaulNi00,pass_int,0,,,,,
player,201212230phi,was,PaulNi00,pass_sacked,0,,,,,
player,201212230phi,was,PaulNi00,pass_sacked_yds,0,,,,,
player,201212230phi,was,PaulNi00,pass_long,0,,,,,
player,201212230phi,was,PaulNi00,pass_rating,,,,,,
player,201212230phi,was,PaulNi00,rush_att,0,,,,,
player,201212230phi,was,PaulNi00,rush_yds,0,,,,,
player,201212230phi,was,PaulNi00,rush_td,0,,,,,
player,201212230phi,was,PaulNi00,rush_long,0,,,,,
player,201212230phi,was,PaulNi00,targets,2,,,,,
player,201212230phi,was,PaulNi00,rec,1,,,,,
player,201212230phi,was,PaulNi00,rec_yds,21,,,,,
player,201212230phi,was,PaulNi00,rec_td,0,,,,,
player,201212230phi,was,PaulNi00,rec_long,21,,,,,
player,201212230phi,was,PaulNi00,fumbles,0,,,,,
player,201212230phi,was,PaulNi00,fumbles_lost,0,,,,,
player,201212230phi,was,HankLe00,pass_cmp,0,,,,,
player,201212230phi,was,HankLe00,pass_att,0,,,,,
player,201212230phi,was,HankLe00,pass_yds,0,,,,,
player,201212230phi,was,HankLe00,pass_td,0,,,,,
player,201212230phi,was,HankLe00,pass_int,0,,,,,
player,201212230phi,was,HankLe00,pass_sacked,0,,,,,
player,201212230phi,was,HankLe00,pass_sacked_yds,0,,,,,
player,201212230phi,was,HankLe00,pass_long,0,,,,,
player,201212230phi,was,HankLe00,pass_rating,,,,,,
player,201212230phi,was,HankLe00,rush_att,0,,,,,
player,201212230phi,was,HankLe00,rush_yds,0,,,,,
player,201212230phi,was,HankLe00,rush_td,0,,,,,
player,201212230phi,was,HankLe00,rush_long,0,,,,,
player,201212230phi,was,HankLe00,targets,2,,,,,
player,201212230phi,was,HankLe00,rec,1,,,,,
player,201212230phi,was,HankLe00,rec_yds,10,,,,,
player,201212230phi,was,HankLe00,rec_td,0,,,,,
player,201212230phi,was,HankLe00,rec_long,10,,,,,
player,201212230phi,was,HankLe00,fumbles,0,,,,,
player,201212230phi,was,HankLe00,fumbles_lost,0,,,,,
player,201212230phi,was,CoolCh00,pass_cmp,0,,,,,
player,201212230phi,was,CoolCh00,pass_att,0,,,,,
player,201212230phi,was,CoolCh00,pass_yds,0,,,,,
player,201212230phi,was,CoolCh00,pass_td,0,,,,,
player,201212230phi,was,CoolCh00,pass_int,0,,,,,
player,201212230phi,was,CoolCh00,pass_sacked,0,,,,,
player,201212230phi,was,CoolCh00,pass_sacked_yds,0,,,,,
player,201212230phi,was,CoolCh00,pass_long,0,,,,,
player,201212230phi,was,CoolCh00,pass_rating,,,,,,
player,201212230phi,was,CoolCh00,rush_att,0,,,,,
player,201212230phi,was,CoolCh00,rush_yds,0,,,,,
player,201212230phi,was,CoolCh00,rush_td,0,,,,,
player,201212230phi,was,CoolCh00,rush_long,0,,,,,
player,201212230phi,was,CoolCh00,targets,1,,,,,
