game,2012,5,20121007,201210070min,oti,"Tennessee Titans",7,min,"Minnesota Vikings",30
player,201210070min,oti,ReynDa00,rush_yds,8,,,,,
player,201210070min,oti,ReynDa00,rush_td,0,,,,,
player,201210070min,oti,ReynDa00,rush_long,8,,,,,
player,201210070min,oti,ReynDa00,targets,1,,,,,
player,201210070min,oti,ReynDa00,rec,0,,,,,
player,201210070min,oti,ReynDa00,rec_yds,0,,,,,
player,201210070min,oti,ReynDa00,rec_td,0,,,,,
player,201210070min,oti,ReynDa00,rec_long,0,,,,,
player,201210070min,oti,ReynDa00,fumbles,0,,,,,
player,201210070min,oti,ReynDa00,fumbles_lost,0,,,,,
player,201210070min,oti,WrigKe01,pass_cmp,0,,,,,
player,201210070min,oti,WrigKe01,pass_att,0,,,,,
player,201210070min,oti,WrigKe01,pass_yds,0,,,,,
player,201210070min,oti,WrigKe01,pass_td,0,,,,,
player,201210070min,oti,WrigKe01,pass_int,0,,,,,
player,201210070min,oti,WrigKe01,pass_sacked,0,,,,,
player,201210070min,oti,WrigKe01,pass_sacked_yds,0,,,,,
player,201210070min,oti,WrigKe01,pass_long,0,,,,,
player,201210070min,oti,WrigKe01,pass_rating,,,,,,
player,201210070min,oti,WrigKe01,rush_att,0,,,,,
player,201210070min,oti,WrigKe01,rush_yds,0,,,,,
player,201210070min,oti,WrigKe01,rush_td,0,,,,,
player,201210070min,oti,WrigKe01,rush_long,0,,,,,
player,201210070min,oti,WrigKe01,targets,11,,,,,
player,201210070min,oti,WrigKe01,rec,9,,,,,
player,201210070min,oti,WrigKe01,rec_yds,66,,,,,
player,201210070min,oti,WrigKe01,rec_td,0,,,,,
player,201210070min,oti,WrigKe01,rec_long,10,,,,,
player,201210070min,oti,WrigKe01,fumbles,0,,,,,
player,201210070min,oti,WrigKe01,fumbles_lost,0,,,,,
player,201210070min,oti,WashNa00,pass_cmp,0,,,,,
player,201210070min,oti,WashNa00,pass_att,0,,,,,
player,201210070min,oti,WashNa00,pass_yds,0,,,,,
player,201210070min,oti,WashNa00,pass_td,0,,,,,
player,201210070min,oti,WashNa00,pass_int,0,,,,,
player,201210070min,oti,WashNa00,pass_sacked,0,,,,,
player,201210070min,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201210070min,oti,WashNa00,pass_long,0,,,,,
player,201210070min,oti,WashNa00,pass_rating,,,,,,
player,201210070min,oti,WashNa00,rush_att,0,,,,,
player,201210070min,oti,WashNa00,rush_yds,0,,,,,
player,201210070min,oti,WashNa00,rush_td,0,,,,,
player,201210070min,oti,WashNa00,rush_long,0,,,,,
player,201210070min,oti,WashNa00,targets,7,,,,,
player,201210070min,oti,WashNa00,rec,4,,,,,
player,201210070min,oti,WashNa00,rec_yds,46,,,,,
player,201210070min,oti,WashNa00,rec_td,0,,,,,
player,201210070min,oti,WashNa00,rec_long,17,,,,,
player,201210070min,oti,WashNa00,fumbles,0,,,,,
player,201210070min,oti,WashNa00,fumbles_lost,0,,,,,
player,201210070min,oti,CookJa02,pass_cmp,0,,,,,
player,201210070min,oti,CookJa02,pass_att,0,,,,,
player,201210070min,oti,CookJa02,pass_yds,0,,,,,
player,201210070min,oti,CookJa02,pass_td,0,,,,,
player,201210070min,oti,CookJa02,pass_int,0,,,,,
player,201210070min,oti,CookJa02,pass_sacked,0,,,,,
player,201210070min,oti,CookJa02,pass_sacked_yds,0,,,,,
player,201210070min,oti,CookJa02,pass_long,0,,,,,
player,201210070min,oti,CookJa02,pass_rating,,,,,,
player,201210070min,oti,CookJa02,rush_att,0,,,,,
player,201210070min,oti,CookJa02,rush_yds,0,,,,,
player,201210070min,oti,CookJa02,rush_td,0,,,,,
player,201210070min,oti,CookJa02,rush_long,0,,,,,
player,201210070min,oti,CookJa02,targets,8,,,,,
player,201210070min,oti,CookJa02,rec,5,,,,,
player,201210070min,oti,CookJa02,rec_yds,37,,,,,
player,201210070min,oti,CookJa02,rec_td,1,,,,,
player,201210070min,oti,CookJa02,rec_long,10,,,,,
player,201210070min,oti,CookJa02,fumbles,0,,,,,
player,201210070min,oti,CookJa02,fumbles_lost,0,,,,,
player,201210070min,oti,BritKe00,pass_cmp,0,,,,,
player,201210070min,oti,BritKe00,pass_att,0,,,,,
player,201210070min,oti,BritKe00,pass_yds,0,,,,,
player,201210070min,oti,BritKe00,pass_td,0,,,,,
player,201210070min,oti,BritKe00,pass_int,0,,,,,
player,201210070min,oti,BritKe00,pass_sacked,0,,,,,
player,201210070min,oti,BritKe00,pass_sacked_yds,0,,,,,
player,201210070min,oti,BritKe00,pass_long,0,,,,,
player,201210070min,oti,BritKe00,pass_rating,,,,,,
player,201210070min,oti,BritKe00,rush_att,0,,,,,
player,201210070min,oti,BritKe00,rush_yds,0,,,,,
player,201210070min,oti,BritKe00,rush_td,0,,,,,
player,201210070min,oti,BritKe00,rush_long,0,,,,,
player,201210070min,oti,BritKe00,targets,5,,,,,
player,201210070min,oti,BritKe00,rec,2,,,,,
player,201210070min,oti,BritKe00,rec_yds,23,,,,,
player,201210070min,oti,BritKe00,rec_td,0,,,,,
player,201210070min,oti,BritKe00,rec_long,17,,,,,
player,201210070min,oti,BritKe00,fumbles,0,,,,,
player,201210070min,oti,BritKe00,fumbles_lost,0,,,,,
player,201210070min,oti,JohnQu00,pass_cmp,0,,,,,
player,201210070min,oti,JohnQu00,pass_att,0,,,,,
player,201210070min,oti,JohnQu00,pass_yds,0,,,,,
player,201210070min,oti,JohnQu00,pass_td,0,,,,,
player,201210070min,oti,JohnQu00,pass_int,0,,,,,
player,201210070min,oti,JohnQu00,pass_sacked,0,,,,,
player,201210070min,oti,JohnQu00,pass_sacked_yds,0,,,,,
player,201210070min,oti,JohnQu00,pass_long,0,,,,,
player,201210070min,oti,JohnQu00,pass_rating,,,,,,
player,201210070min,oti,JohnQu00,rush_att,0,,,,,
player,201210070min,oti,JohnQu00,rush_yds,0,,,,,
player,201210070min,oti,JohnQu00,rush_td,0,,,,,
player,201210070min,oti,JohnQu00,rush_long,0,,,,,
player,201210070min,oti,JohnQu00,targets,1,,,,,
player,201210070min,oti,JohnQu00,rec,1,,,,,
player,201210070min,oti,JohnQu00,rec_yds,15,,,,,
player,201210070min,oti,JohnQu00,rec_td,0,,,,,
player,201210070min,oti,JohnQu00,rec_long,15,,,,,
player,201210070min,oti,JohnQu00,fumbles,0,,,,,
player,201210070min,oti,JohnQu00,fumbles_lost,0,,,,,
player,201210070min,oti,StevCr00,pass_cmp,0,,,,,
player,201210070min,oti,StevCr00,pass_att,0,,,,,
player,201210070min,oti,StevCr00,pass_yds,0,,,,,
player,201210070min,oti,StevCr00,pass_td,0,,,,,
player,201210070min,oti,StevCr00,pass_int,0,,,,,
player,201210070min,oti,StevCr00,pass_sacked,0,,,,,
player,201210070min,oti,StevCr00,pass_sacked_yds,0,,,,,
player,201210070min,oti,StevCr00,pass_long,0,,,,,
player,201210070min,oti,StevCr00,pass_rating,,,,,,
player,201210070min,oti,StevCr00,rush_att,0,,,,,
player,201210070min,oti,StevCr00,rush_yds,0,,,,,
player,201210070min,oti,StevCr00,rush_td,0,,,,,
player,201210070min,oti,StevCr00,rush_long,0,,,,,
player,201210070min,oti,StevCr00,targets,4,,,,,
player,201210070min,oti,StevCr00,rec,2,,,,,
player,201210070min,oti,StevCr00,rec_yds,14,,,,,
player,201210070min,oti,StevCr00,rec_td,0,,,,,
player,201210070min,oti,StevCr00,rec_long,18,,,,,
player,201210070min,oti,StevCr00,fumbles,1,,,,,
player,201210070min,oti,StevCr00,fumbles_lost,0,,,,,
player,201210070min,oti,RingJa00,pass_cmp,0,,,,,
player,201210070min,oti,RingJa00,pass_att,0,,,,,
player,201210070min,oti,RingJa00,pass_yds,0,,,,,
player,201210070min,oti,RingJa00,pass_td,0,,,,,
player,201210070min,oti,RingJa00,pass_int,0,,,,,
player,201210070min,oti,RingJa00,pass_sacked,0,,,,,
player,201210070min,oti,RingJa00,pass_sacked_yds,0,,,,,
player,201210070min,oti,RingJa00,pass_long,0,,,,,
player,201210070min,oti,RingJa00,pass_rating,,,,,,
player,201210070min,oti,RingJa00,rush_att,0,,,,,
player,201210070min,oti,RingJa00,rush_yds,0,,,,,
player,201210070min,oti,RingJa00,rush_td,0,,,,,
player,201210070min,oti,RingJa00,rush_long,0,,,,,
player,201210070min,oti,RingJa00,targets,5,,,,,
player,201210070min,oti,RingJa00,rec,3,,,,,
player,201210070min,oti,RingJa00,rec_yds,12,,,,,
player,201210070min,oti,RingJa00,rec_td,0,,,,,
player,201210070min,oti,RingJa00,rec_long,6,,,,,
player,201210070min,oti,RingJa00,fumbles,0,,,,,
player,201210070min,oti,RingJa00,fumbles_lost,0,,,,,
player,201210070min,oti,WillDa04,pass_cmp,0,,,,,
player,201210070min,oti,WillDa04,pass_att,0,,,,,
player,201210070min,oti,WillDa04,pass_yds,0,,,,,
player,201210070min,oti,WillDa04,pass_td,0,,,,,
player,201210070min,oti,WillDa04,pass_int,0,,,,,
player,201210070min,oti,WillDa04,pass_sacked,0,,,,,
player,201210070min,oti,WillDa04,pass_sacked_yds,0,,,,,
player,201210070min,oti,WillDa04,pass_long,0,,,,,
player,201210070min,oti,WillDa04,pass_rating,,,,,,
player,201210070min,oti,WillDa04,rush_att,0,,,,,
player,201210070min,oti,WillDa04,rush_yds,0,,,,,
player,201210070min,oti,WillDa04,rush_td,0,,,,,
player,201210070min,oti,WillDa04,rush_long,0,,,,,
player,201210070min,oti,WillDa04,targets,3,,,,,
player,201210070min,oti,WillDa04,rec,1,,,,,
player,201210070min,oti,WillDa04,rec_yds,9,,,,,
player,201210070min,oti,WillDa04,rec_td,0,,,,,
player,201210070min,oti,WillDa04,rec_long,9,,,,,
player,201210070min,oti,WillDa04,fumbles,0,,,,,
player,201210070min,oti,WillDa04,fumbles_lost,0,,,,,
player,201210070min,oti,ThomTa00,pass_cmp,0,,,,,
player,201210070min,oti,ThomTa00,pass_att,0,,,,,
player,201210070min,oti,ThomTa00,pass_yds,0,,,,,
player,201210070min,oti,ThomTa00,pass_td,0,,,,,
player,201210070min,oti,ThomTa00,pass_int,0,,,,,
player,201210070min,oti,ThomTa00,pass_sacked,0,,,,,
player,201210070min,oti,ThomTa00,pass_sacked_yds,0,,,,,
player,201210070min,oti,ThomTa00,pass_long,0,,,,,
player,201210070min,oti,ThomTa00,pass_rating,,,,,,
player,201210070min,oti,ThomTa00,rush_att,0,,,,,
player,201210070min,oti,ThomTa00,rush_yds,0,,,,,
player,201210070min,oti,ThomTa00,rush_td,0,,,,,
player,201210070min,oti,ThomTa00,rush_long,0,,,,,
player,201210070min,oti,ThomTa00,targets,2,,,,,
player,201210070min,oti,ThomTa00,rec,1,,,,,
player,201210070min,oti,ThomTa00,rec_yds,7,,,,,
player,201210070min,oti,ThomTa00,rec_td,0,,,,,
player,201210070min,oti,ThomTa00,rec_long,7,,,,,
player,201210070min,oti,ThomTa00,fumbles,0,,,,,
player,201210070min,oti,ThomTa00,fumbles_lost,0,,,,,
player,201210070min,min,PondCh00,pass_cmp,25,,,,,
player,201210070min,min,PondCh00,pass_att,35,,,,,
player,201210070min,min,PondCh00,pass_yds,258,,,,,
player,201210070min,min,PondCh00,pass_td,2,,,,,
player,201210070min,min,PondCh00,pass_int,2,,,,,
player,201210070min,min,PondCh00,pass_sacked,1,,,,,
player,201210070min,min,PondCh00,pass_sacked_yds,0,,,,,
player,201210070min,min,PondCh00,pass_long,45,,,,,
player,201210070min,min,PondCh00,pass_rating,87.6,,,,,
player,201210070min,min,PondCh00,rush_att,3,,,,,
player,201210070min,min,PondCh00,rush_yds,31,,,,,
player,201210070min,min,PondCh00,rush_td,0,,,,,
player,201210070min,min,PondCh00,rush_long,13,,,,,
player,201210070min,min,PondCh00,targets,0,,,,,
player,201210070min,min,PondCh00,rec,0,,,,,
player,201210070min,min,PondCh00,rec_yds,0,,,,,
player,201210070min,min,PondCh00,rec_td,0,,,,,
player,201210070min,min,PondCh00,rec_long,0,,,,,
player,201210070min,min,PondCh00,fumbles,0,,,,,
player,201210070min,min,PondCh00,fumbles_lost,0,,,,,
player,201210070min,min,PeteAd01,pass_cmp,0,,,,,
player,201210070min,min,PeteAd01,pass_att,0,,,,,
player,201210070min,min,PeteAd01,pass_yds,0,,,,,
player,201210070min,min,PeteAd01,pass_td,0,,,,,
player,201210070min,min,PeteAd01,pass_int,0,,,,,
player,201210070min,min,PeteAd01,pass_sacked,0,,,,,
player,201210070min,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201210070min,min,PeteAd01,pass_long,0,,,,,
player,201210070min,min,PeteAd01,pass_rating,,,,,,
player,201210070min,min,PeteAd01,rush_att,17,,,,,
player,201210070min,min,PeteAd01,rush_yds,88,,,,,
player,201210070min,min,PeteAd01,rush_td,0,,,,,
player,201210070min,min,PeteAd01,rush_long,34,,,,,
player,201210070min,min,PeteAd01,targets,3,,,,,
player,201210070min,min,PeteAd01,rec,3,,,,,
player,201210070min,min,PeteAd01,rec_yds,15,,,,,
player,201210070min,min,PeteAd01,rec_td,0,,,,,
player,201210070min,min,PeteAd01,rec_long,10,,,,,
player,201210070min,min,PeteAd01,fumbles,0,,,,,
player,201210070min,min,PeteAd01,fumbles_lost,0,,,,,
player,201210070min,min,GerhTo00,pass_cmp,0,,,,,
player,201210070min,min,GerhTo00,pass_att,0,,,,,
player,201210070min,min,GerhTo00,pass_yds,0,,,,,
player,201210070min,min,GerhTo00,pass_td,0,,,,,
player,201210070min,min,GerhTo00,pass_int,0,,,,,
player,201210070min,min,GerhTo00,pass_sacked,0,,,,,
player,201210070min,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201210070min,min,GerhTo00,pass_long,0,,,,,
player,201210070min,min,GerhTo00,pass_rating,,,,,,
player,201210070min,min,GerhTo00,rush_att,6,,,,,
player,201210070min,min,GerhTo00,rush_yds,41,,,,,
player,201210070min,min,GerhTo00,rush_td,0,,,,,
player,201210070min,min,GerhTo00,rush_long,22,,,,,
player,201210070min,min,GerhTo00,targets,0,,,,,
player,201210070min,min,GerhTo00,rec,0,,,,,
player,201210070min,min,GerhTo00,rec_yds,0,,,,,
player,201210070min,min,GerhTo00,rec_td,0,,,,,
player,201210070min,min,GerhTo00,rec_long,0,,,,,
player,201210070min,min,GerhTo00,fumbles,0,,,,,
player,201210070min,min,GerhTo00,fumbles_lost,0,,,,,
player,201210070min,min,HarvPe00,pass_cmp,0,,,,,
player,201210070min,min,HarvPe00,pass_att,0,,,,,
player,201210070min,min,HarvPe00,pass_yds,0,,,,,
player,201210070min,min,HarvPe00,pass_td,0,,,,,
player,201210070min,min,HarvPe00,pass_int,0,,,,,
player,201210070min,min,HarvPe00,pass_sacked,0,,,,,
player,201210070min,min,HarvPe00,pass_sacked_yds,0,,,,,
player,201210070min,min,HarvPe00,pass_long,0,,,,,
player,201210070min,min,HarvPe00,pass_rating,,,,,,
player,201210070min,min,HarvPe00,rush_att,2,,,,,
player,201210070min,min,HarvPe00,rush_yds,8,,,,,
player,201210070min,min,HarvPe00,rush_td,1,,,,,
player,201210070min,min,HarvPe00,rush_long,4,,,,,
player,201210070min,min,HarvPe00,targets,10,,,,,
player,201210070min,min,HarvPe00,rec,8,,,,,
player,201210070min,min,HarvPe00,rec_yds,108,,,,,
player,201210070min,min,HarvPe00,rec_td,1,,,,,
player,201210070min,min,HarvPe00,rec_long,45,,,,,
player,201210070min,min,HarvPe00,fumbles,0,,,,,
player,201210070min,min,HarvPe00,fumbles_lost,0,,,,,
player,201210070min,min,AsiaMa00,pass_cmp,0,,,,,
player,201210070min,min,AsiaMa00,pass_att,0,,,,,
player,201210070min,min,AsiaMa00,pass_yds,0,,,,,
player,201210070min,min,AsiaMa00,pass_td,0,,,,,
player,201210070min,min,AsiaMa00,pass_int,0,,,,,
player,201210070min,min,AsiaMa00,pass_sacked,0,,,,,
player,201210070min,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201210070min,min,AsiaMa00,pass_long,0,,,,,
player,201210070min,min,AsiaMa00,pass_rating,,,,,,
player,201210070min,min,AsiaMa00,rush_att,2,,,,,
player,201210070min,min,AsiaMa00,rush_yds,8,,,,,
player,201210070min,min,AsiaMa00,rush_td,0,,,,,
player,201210070min,min,AsiaMa00,rush_long,5,,,,,
player,201210070min,min,AsiaMa00,targets,0,,,,,
player,201210070min,min,AsiaMa00,rec,0,,,,,
player,201210070min,min,AsiaMa00,rec_yds,0,,,,,
player,201210070min,min,AsiaMa00,rec_td,0,,,,,
player,201210070min,min,AsiaMa00,rec_long,0,,,,,
player,201210070min,min,AsiaMa00,fumbles,0,,,,,
player,201210070min,min,AsiaMa00,fumbles_lost,0,,,,,
player,201210070min,min,ElliRh00,pass_cmp,0,,,,,
player,201210070min,min,ElliRh00,pass_att,0,,,,,
player,201210070min,min,ElliRh00,pass_yds,0,,,,,
player,201210070min,min,ElliRh00,pass_td,0,,,,,
player,201210070min,min,ElliRh00,pass_int,0,,,,,
player,201210070min,min,ElliRh00,pass_sacked,0,,,,,
player,201210070min,min,ElliRh00,pass_sacked_yds,0,,,,,
player,201210070min,min,ElliRh00,pass_long,0,,,,,
player,201210070min,min,ElliRh00,pass_rating,,,,,,
player,201210070min,min,ElliRh00,rush_att,0,,,,,
player,201210070min,min,ElliRh00,rush_yds,0,,,,,
player,201210070min,min,ElliRh00,rush_td,0,,,,,
player,201210070min,min,ElliRh00,rush_long,0,,,,,
player,201210070min,min,ElliRh00,targets,2,,,,,
player,201210070min,min,ElliRh00,rec,2,,,,,
player,201210070min,min,ElliRh00,rec_yds,35,,,,,
player,201210070min,min,ElliRh00,rec_td,0,,,,,
player,201210070min,min,ElliRh00,rec_long,29,,,,,
player,201210070min,min,ElliRh00,fumbles,0,,,,,
player,201210070min,min,ElliRh00,fumbles_lost,0,,,,,
player,201210070min,min,JenkMi00,pass_cmp,0,,,,,
player,201210070min,min,JenkMi00,pass_att,0,,,,,
player,201210070min,min,JenkMi00,pass_yds,0,,,,,
player,201210070min,min,JenkMi00,pass_td,0,,,,,
player,201210070min,min,JenkMi00,pass_int,0,,,,,
player,201210070min,min,JenkMi00,pass_sacked,0,,,,,
player,201210070min,min,JenkMi00,pass_sacked_yds,0,,,,,
player,201210070min,min,JenkMi00,pass_long,0,,,,,
player,201210070min,min,JenkMi00,pass_rating,,,,,,
player,201210070min,min,JenkMi00,rush_att,0,,,,,
player,201210070min,min,JenkMi00,rush_yds,0,,,,,
player,201210070min,min,JenkMi00,rush_td,0,,,,,
player,201210070min,min,JenkMi00,rush_long,0,,,,,
player,201210070min,min,JenkMi00,targets,4,,,,,
player,201210070min,min,JenkMi00,rec,3,,,,,
player,201210070min,min,JenkMi00,rec_yds,35,,,,,
player,201210070min,min,JenkMi00,rec_td,0,,,,,
player,201210070min,min,JenkMi00,rec_long,15,,,,,
player,201210070min,min,JenkMi00,fumbles,0,,,,,
player,201210070min,min,JenkMi00,fumbles_lost,0,,,,,
player,201210070min,min,AromDe00,pass_cmp,0,,,,,
player,201210070min,min,AromDe00,pass_att,0,,,,,
player,201210070min,min,AromDe00,pass_yds,0,,,,,
player,201210070min,min,AromDe00,pass_td,0,,,,,
player,201210070min,min,AromDe00,pass_int,0,,,,,
player,201210070min,min,AromDe00,pass_sacked,0,,,,,
player,201210070min,min,AromDe00,pass_sacked_yds,0,,,,,
player,201210070min,min,AromDe00,pass_long,0,,,,,
player,201210070min,min,AromDe00,pass_rating,,,,,,
player,201210070min,min,AromDe00,rush_att,0,,,,,
player,201210070min,min,AromDe00,rush_yds,0,,,,,
player,201210070min,min,AromDe00,rush_td,0,,,,,
player,201210070min,min,AromDe00,rush_long,0,,,,,
player,201210070min,min,AromDe00,targets,4,,,,,
player,201210070min,min,AromDe00,rec,3,,,,,
player,201210070min,min,AromDe00,rec_yds,34,,,,,
player,201210070min,min,AromDe00,rec_td,0,,,,,
player,201210070min,min,AromDe00,rec_long,19,,,,,
player,201210070min,min,AromDe00,fumbles,0,,,,,
player,201210070min,min,AromDe00,fumbles_lost,0,,,,,
player,201210070min,min,RudoKy00,pass_cmp,0,,,,,
player,201210070min,min,RudoKy00,pass_att,0,,,,,
player,201210070min,min,RudoKy00,pass_yds,0,,,,,
player,201210070min,min,RudoKy00,pass_td,0,,,,,
player,201210070min,min,RudoKy00,pass_int,0,,,,,
player,201210070min,min,RudoKy00,pass_sacked,0,,,,,
player,201210070min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201210070min,min,RudoKy00,pass_long,0,,,,,
player,201210070min,min,RudoKy00,pass_rating,,,,,,
player,201210070min,min,RudoKy00,rush_att,0,,,,,
player,201210070min,min,RudoKy00,rush_yds,0,,,,,
player,201210070min,min,RudoKy00,rush_td,0,,,,,
player,201210070min,min,RudoKy00,rush_long,0,,,,,
player,201210070min,min,RudoKy00,targets,7,,,,,
player,201210070min,min,RudoKy00,rec,4,,,,,
player,201210070min,min,RudoKy00,rec_yds,23,,,,,
player,201210070min,min,RudoKy00,rec_td,1,,,,,
player,201210070min,min,RudoKy00,rec_long,15,,,,,
