game,2012,6,20121014,201210140mia,ram,"St. Louis Rams",14,mia,"Miami Dolphins",17
player,201210140mia,ram,MullMa00,rush_td,0,,,,,
player,201210140mia,ram,MullMa00,rush_long,0,,,,,
player,201210140mia,ram,MullMa00,targets,2,,,,,
player,201210140mia,ram,MullMa00,rec,2,,,,,
player,201210140mia,ram,MullMa00,rec_yds,15,,,,,
player,201210140mia,ram,MullMa00,rec_td,0,,,,,
player,201210140mia,ram,MullMa00,rec_long,9,,,,,
player,201210140mia,ram,MullMa00,fumbles,0,,,,,
player,201210140mia,ram,MullMa00,fumbles_lost,0,,,,,
player,201210140mia,ram,PettAu00,pass_cmp,0,,,,,
player,201210140mia,ram,PettAu00,pass_att,0,,,,,
player,201210140mia,ram,PettAu00,pass_yds,0,,,,,
player,201210140mia,ram,PettAu00,pass_td,0,,,,,
player,201210140mia,ram,PettAu00,pass_int,0,,,,,
player,201210140mia,ram,PettAu00,pass_sacked,0,,,,,
player,201210140mia,ram,PettAu00,pass_sacked_yds,0,,,,,
player,201210140mia,ram,PettAu00,pass_long,0,,,,,
player,201210140mia,ram,PettAu00,pass_rating,,,,,,
player,201210140mia,ram,PettAu00,rush_att,0,,,,,
player,201210140mia,ram,PettAu00,rush_yds,0,,,,,
player,201210140mia,ram,PettAu00,rush_td,0,,,,,
player,201210140mia,ram,PettAu00,rush_long,0,,,,,
player,201210140mia,ram,PettAu00,targets,3,,,,,
player,201210140mia,ram,PettAu00,rec,1,,,,,
player,201210140mia,ram,PettAu00,rec_yds,11,,,,,
player,201210140mia,ram,PettAu00,rec_td,0,,,,,
player,201210140mia,ram,PettAu00,rec_long,11,,,,,
player,201210140mia,ram,PettAu00,fumbles,0,,,,,
player,201210140mia,ram,PettAu00,fumbles_lost,0,,,,,
player,201210140mia,ram,PeadIs00,pass_cmp,0,,,,,
player,201210140mia,ram,PeadIs00,pass_att,0,,,,,
player,201210140mia,ram,PeadIs00,pass_yds,0,,,,,
player,201210140mia,ram,PeadIs00,pass_td,0,,,,,
player,201210140mia,ram,PeadIs00,pass_int,0,,,,,
player,201210140mia,ram,PeadIs00,pass_sacked,0,,,,,
player,201210140mia,ram,PeadIs00,pass_sacked_yds,0,,,,,
player,201210140mia,ram,PeadIs00,pass_long,0,,,,,
player,201210140mia,ram,PeadIs00,pass_rating,,,,,,
player,201210140mia,ram,PeadIs00,rush_att,0,,,,,
player,201210140mia,ram,PeadIs00,rush_yds,0,,,,,
player,201210140mia,ram,PeadIs00,rush_td,0,,,,,
player,201210140mia,ram,PeadIs00,rush_long,0,,,,,
player,201210140mia,ram,PeadIs00,targets,1,,,,,
player,201210140mia,ram,PeadIs00,rec,1,,,,,
player,201210140mia,ram,PeadIs00,rec_yds,3,,,,,
player,201210140mia,ram,PeadIs00,rec_td,0,,,,,
player,201210140mia,ram,PeadIs00,rec_long,3,,,,,
player,201210140mia,ram,PeadIs00,fumbles,0,,,,,
player,201210140mia,ram,PeadIs00,fumbles_lost,0,,,,,
player,201210140mia,ram,QuicBr00,pass_cmp,0,,,,,
player,201210140mia,ram,QuicBr00,pass_att,0,,,,,
player,201210140mia,ram,QuicBr00,pass_yds,0,,,,,
player,201210140mia,ram,QuicBr00,pass_td,0,,,,,
player,201210140mia,ram,QuicBr00,pass_int,0,,,,,
player,201210140mia,ram,QuicBr00,pass_sacked,0,,,,,
player,201210140mia,ram,QuicBr00,pass_sacked_yds,0,,,,,
player,201210140mia,ram,QuicBr00,pass_long,0,,,,,
player,201210140mia,ram,QuicBr00,pass_rating,,,,,,
player,201210140mia,ram,QuicBr00,rush_att,0,,,,,
