game,2012,10,20121111,201211110chi,htx,"Houston Texans",13,chi,"Chicago Bears",6
player,201211110chi,htx,GrahGa00,pass_cmp,0,,,,,
player,201211110chi,htx,GrahGa00,pass_att,0,,,,,
player,201211110chi,htx,GrahGa00,pass_yds,0,,,,,
player,201211110chi,htx,GrahGa00,pass_td,0,,,,,
player,201211110chi,htx,GrahGa00,pass_int,0,,,,,
player,201211110chi,htx,GrahGa00,pass_sacked,0,,,,,
player,201211110chi,htx,GrahGa00,pass_sacked_yds,0,,,,,
player,201211110chi,htx,GrahGa00,pass_long,0,,,,,
player,201211110chi,htx,GrahGa00,pass_rating,,,,,,
player,201211110chi,htx,GrahGa00,rush_att,0,,,,,
player,201211110chi,htx,GrahGa00,rush_yds,0,,,,,
player,201211110chi,htx,GrahGa00,rush_td,0,,,,,
player,201211110chi,htx,GrahGa00,rush_long,0,,,,,
player,201211110chi,htx,GrahGa00,targets,4,,,,,
player,201211110chi,htx,GrahGa00,rec,3,,,,,
player,201211110chi,htx,GrahGa00,rec_yds,15,,,,,
player,201211110chi,htx,GrahGa00,rec_td,0,,,,,
player,201211110chi,htx,GrahGa00,rec_long,11,,,,,
player,201211110chi,htx,GrahGa00,fumbles,0,,,,,
player,201211110chi,htx,GrahGa00,fumbles_lost,0,,,,,
player,201211110chi,htx,CaseJa00,pass_cmp,0,,,,,
player,201211110chi,htx,CaseJa00,pass_att,0,,,,,
player,201211110chi,htx,CaseJa00,pass_yds,0,,,,,
player,201211110chi,htx,CaseJa00,pass_td,0,,,,,
player,201211110chi,htx,CaseJa00,pass_int,0,,,,,
player,201211110chi,htx,CaseJa00,pass_sacked,0,,,,,
player,201211110chi,htx,CaseJa00,pass_sacked_yds,0,,,,,
player,201211110chi,htx,CaseJa00,pass_long,0,,,,,
player,201211110chi,htx,CaseJa00,pass_rating,,,,,,
player,201211110chi,htx,CaseJa00,rush_att,0,,,,,
player,201211110chi,htx,CaseJa00,rush_yds,0,,,,,
player,201211110chi,htx,CaseJa00,rush_td,0,,,,,
player,201211110chi,htx,CaseJa00,rush_long,0,,,,,
player,201211110chi,htx,CaseJa00,targets,2,,,,,
player,201211110chi,htx,CaseJa00,rec,0,,,,,
player,201211110chi,htx,CaseJa00,rec_yds,0,,,,,
player,201211110chi,htx,CaseJa00,rec_td,0,,,,,
player,201211110chi,htx,CaseJa00,rec_long,0,,,,,
player,201211110chi,htx,CaseJa00,fumbles,0,,,,,
player,201211110chi,htx,CaseJa00,fumbles_lost,0,,,,,
player,201211110chi,htx,MartKe01,pass_cmp,0,,,,,
player,201211110chi,htx,MartKe01,pass_att,0,,,,,
player,201211110chi,htx,MartKe01,pass_yds,0,,,,,
player,201211110chi,htx,MartKe01,pass_td,0,,,,,
player,201211110chi,htx,MartKe01,pass_int,0,,,,,
player,201211110chi,htx,MartKe01,pass_sacked,0,,,,,
player,201211110chi,htx,MartKe01,pass_sacked_yds,0,,,,,
player,201211110chi,htx,MartKe01,pass_long,0,,,,,
player,201211110chi,htx,MartKe01,pass_rating,,,,,,
player,201211110chi,htx,MartKe01,rush_att,0,,,,,
player,201211110chi,htx,MartKe01,rush_yds,0,,,,,
player,201211110chi,htx,MartKe01,rush_td,0,,,,,
player,201211110chi,htx,MartKe01,rush_long,0,,,,,
player,201211110chi,htx,MartKe01,targets,1,,,,,
player,201211110chi,htx,MartKe01,rec,0,,,,,
player,201211110chi,htx,MartKe01,rec_yds,0,,,,,
player,201211110chi,htx,MartKe01,rec_td,0,,,,,
player,201211110chi,htx,MartKe01,rec_long,0,,,,,
player,201211110chi,htx,MartKe01,fumbles,0,,,,,
player,201211110chi,htx,MartKe01,fumbles_lost,0,,,,,
player,201211110chi,chi,CampJa00,pass_cmp,11,,,,,
player,201211110chi,chi,CampJa00,pass_att,19,,,,,
player,201211110chi,chi,CampJa00,pass_yds,94,,,,,
player,201211110chi,chi,CampJa00,pass_td,0,,,,,
player,201211110chi,chi,CampJa00,pass_int,0,,,,,
player,201211110chi,chi,CampJa00,pass_sacked,0,,,,,
player,201211110chi,chi,CampJa00,pass_sacked_yds,0,,,,,
player,201211110chi,chi,CampJa00,pass_long,45,,,,,
player,201211110chi,chi,CampJa00,pass_rating,70.9,,,,,
player,201211110chi,chi,CampJa00,rush_att,1,,,,,
player,201211110chi,chi,CampJa00,rush_yds,5,,,,,
player,201211110chi,chi,CampJa00,rush_td,0,,,,,
player,201211110chi,chi,CampJa00,rush_long,5,,,,,
player,201211110chi,chi,CampJa00,targets,0,,,,,
player,201211110chi,chi,CampJa00,rec,0,,,,,
player,201211110chi,chi,CampJa00,rec_yds,0,,,,,
player,201211110chi,chi,CampJa00,rec_td,0,,,,,
player,201211110chi,chi,CampJa00,rec_long,0,,,,,
player,201211110chi,chi,CampJa00,fumbles,0,,,,,
player,201211110chi,chi,CampJa00,fumbles_lost,0,,,,,
player,201211110chi,chi,CutlJa00,pass_cmp,7,,,,,
player,201211110chi,chi,CutlJa00,pass_att,14,,,,,
player,201211110chi,chi,CutlJa00,pass_yds,40,,,,,
player,201211110chi,chi,CutlJa00,pass_td,0,,,,,
player,201211110chi,chi,CutlJa00,pass_int,2,,,,,
player,201211110chi,chi,CutlJa00,pass_sacked,0,,,,,
player,201211110chi,chi,CutlJa00,pass_sacked_yds,0,,,,,
player,201211110chi,chi,CutlJa00,pass_long,14,,,,,
player,201211110chi,chi,CutlJa00,pass_rating,16.7,,,,,
player,201211110chi,chi,CutlJa00,rush_att,3,,,,,
player,201211110chi,chi,CutlJa00,rush_yds,37,,,,,
player,201211110chi,chi,CutlJa00,rush_td,0,,,,,
player,201211110chi,chi,CutlJa00,rush_long,19,,,,,
player,201211110chi,chi,CutlJa00,targets,0,,,,,
player,201211110chi,chi,CutlJa00,rec,0,,,,,
player,201211110chi,chi,CutlJa00,rec_yds,0,,,,,
player,201211110chi,chi,CutlJa00,rec_td,0,,,,,
player,201211110chi,chi,CutlJa00,rec_long,0,,,,,
player,201211110chi,chi,CutlJa00,fumbles,0,,,,,
player,201211110chi,chi,CutlJa00,fumbles_lost,0,,,,,
player,201211110chi,chi,FortMa00,pass_cmp,0,,,,,
player,201211110chi,chi,FortMa00,pass_att,0,,,,,
player,201211110chi,chi,FortMa00,pass_yds,0,,,,,
player,201211110chi,chi,FortMa00,pass_td,0,,,,,
player,201211110chi,chi,FortMa00,pass_int,0,,,,,
player,201211110chi,chi,FortMa00,pass_sacked,0,,,,,
player,201211110chi,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201211110chi,chi,FortMa00,pass_long,0,,,,,
player,201211110chi,chi,FortMa00,pass_rating,,,,,,
player,201211110chi,chi,FortMa00,rush_att,16,,,,,
player,201211110chi,chi,FortMa00,rush_yds,39,,,,,
player,201211110chi,chi,FortMa00,rush_td,0,,,,,
player,201211110chi,chi,FortMa00,rush_long,8,,,,,
player,201211110chi,chi,FortMa00,targets,5,,,,,
player,201211110chi,chi,FortMa00,rec,2,,,,,
player,201211110chi,chi,FortMa00,rec_yds,-3,,,,,
player,201211110chi,chi,FortMa00,rec_td,0,,,,,
player,201211110chi,chi,FortMa00,rec_long,0,,,,,
player,201211110chi,chi,FortMa00,fumbles,0,,,,,
player,201211110chi,chi,FortMa00,fumbles_lost,0,,,,,
player,201211110chi,chi,BushMi00,pass_cmp,0,,,,,
player,201211110chi,chi,BushMi00,pass_att,0,,,,,
player,201211110chi,chi,BushMi00,pass_yds,0,,,,,
player,201211110chi,chi,BushMi00,pass_td,0,,,,,
player,201211110chi,chi,BushMi00,pass_int,0,,,,,
player,201211110chi,chi,BushMi00,pass_sacked,0,,,,,
player,201211110chi,chi,BushMi00,pass_sacked_yds,0,,,,,
player,201211110chi,chi,BushMi00,pass_long,0,,,,,
player,201211110chi,chi,BushMi00,pass_rating,,,,,,
player,201211110chi,chi,BushMi00,rush_att,3,,,,,
player,201211110chi,chi,BushMi00,rush_yds,34,,,,,
player,201211110chi,chi,BushMi00,rush_td,0,,,,,
player,201211110chi,chi,BushMi00,rush_long,20,,,,,
player,201211110chi,chi,BushMi00,targets,0,,,,,
player,201211110chi,chi,BushMi00,rec,0,,,,,
player,201211110chi,chi,BushMi00,rec_yds,0,,,,,
player,201211110chi,chi,BushMi00,rec_td,0,,,,,
player,201211110chi,chi,BushMi00,rec_long,0,,,,,
player,201211110chi,chi,BushMi00,fumbles,1,,,,,
player,201211110chi,chi,BushMi00,fumbles_lost,1,,,,,
player,201211110chi,chi,MarsBr00,pass_cmp,0,,,,,
player,201211110chi,chi,MarsBr00,pass_att,0,,,,,
player,201211110chi,chi,MarsBr00,pass_yds,0,,,,,
player,201211110chi,chi,MarsBr00,pass_td,0,,,,,
player,201211110chi,chi,MarsBr00,pass_int,0,,,,,
player,201211110chi,chi,MarsBr00,pass_sacked,0,,,,,
player,201211110chi,chi,MarsBr00,pass_sacked_yds,0,,,,,
player,201211110chi,chi,MarsBr00,pass_long,0,,,,,
player,201211110chi,chi,MarsBr00,pass_rating,,,,,,
player,201211110chi,chi,MarsBr00,rush_att,0,,,,,
player,201211110chi,chi,MarsBr00,rush_yds,0,,,,,
player,201211110chi,chi,MarsBr00,rush_td,0,,,,,
player,201211110chi,chi,MarsBr00,rush_long,0,,,,,
player,201211110chi,chi,MarsBr00,targets,13,,,,,
player,201211110chi,chi,MarsBr00,rec,8,,,,,
player,201211110chi,chi,MarsBr00,rec_yds,107,,,,,
player,201211110chi,chi,MarsBr00,rec_td,0,,,,,
player,201211110chi,chi,MarsBr00,rec_long,45,,,,,
player,201211110chi,chi,MarsBr00,fumbles,0,,,,,
player,201211110chi,chi,MarsBr00,fumbles_lost,0,,,,,
player,201211110chi,chi,BennEa00,pass_cmp,0,,,,,
player,201211110chi,chi,BennEa00,pass_att,0,,,,,
player,201211110chi,chi,BennEa00,pass_yds,0,,,,,
player,201211110chi,chi,BennEa00,pass_td,0,,,,,
player,201211110chi,chi,BennEa00,pass_int,0,,,,,
player,201211110chi,chi,BennEa00,pass_sacked,0,,,,,
player,201211110chi,chi,BennEa00,pass_sacked_yds,0,,,,,
player,201211110chi,chi,BennEa00,pass_long,0,,,,,
player,201211110chi,chi,BennEa00,pass_rating,,,,,,
player,201211110chi,chi,BennEa00,rush_att,0,,,,,
player,201211110chi,chi,BennEa00,rush_yds,0,,,,,
player,201211110chi,chi,BennEa00,rush_td,0,,,,,
player,201211110chi,chi,BennEa00,rush_long,0,,,,,
player,201211110chi,chi,BennEa00,targets,2,,,,,
player,201211110chi,chi,BennEa00,rec,1,,,,,
player,201211110chi,chi,BennEa00,rec_yds,9,,,,,
player,201211110chi,chi,BennEa00,rec_td,0,,,,,
player,201211110chi,chi,BennEa00,rec_long,9,,,,,
player,201211110chi,chi,BennEa00,fumbles,0,,,,,
player,201211110chi,chi,BennEa00,fumbles_lost,0,,,,,
player,201211110chi,chi,AdamKy00,pass_cmp,0,,,,,
player,201211110chi,chi,AdamKy00,pass_att,0,,,,,
player,201211110chi,chi,AdamKy00,pass_yds,0,,,,,
player,201211110chi,chi,AdamKy00,pass_td,0,,,,,
player,201211110chi,chi,AdamKy00,pass_int,0,,,,,
player,201211110chi,chi,AdamKy00,pass_sacked,0,,,,,
player,201211110chi,chi,AdamKy00,pass_sacked_yds,0,,,,,
player,201211110chi,chi,AdamKy00,pass_long,0,,,,,
player,201211110chi,chi,AdamKy00,pass_rating,,,,,,
player,201211110chi,chi,AdamKy00,rush_att,0,,,,,
player,201211110chi,chi,AdamKy00,rush_yds,0,,,,,
player,201211110chi,chi,AdamKy00,rush_td,0,,,,,
player,201211110chi,chi,AdamKy00,rush_long,0,,,,,
player,201211110chi,chi,AdamKy00,targets,1,,,,,
player,201211110chi,chi,AdamKy00,rec,1,,,,,
player,201211110chi,chi,AdamKy00,rec_yds,7,,,,,
player,201211110chi,chi,AdamKy00,rec_td,0,,,,,
player,201211110chi,chi,AdamKy00,rec_long,7,,,,,
player,201211110chi,chi,AdamKy00,fumbles,0,,,,,
player,201211110chi,chi,AdamKy00,fumbles_lost,0,,,,,
player,201211110chi,chi,DaviKe01,pass_cmp,0,,,,,
player,201211110chi,chi,DaviKe01,pass_att,0,,,,,
player,201211110chi,chi,DaviKe01,pass_yds,0,,,,,
player,201211110chi,chi,DaviKe01,pass_td,0,,,,,
player,201211110chi,chi,DaviKe01,pass_int,0,,,,,
player,201211110chi,chi,DaviKe01,pass_sacked,0,,,,,
player,201211110chi,chi,DaviKe01,pass_sacked_yds,0,,,,,
player,201211110chi,chi,DaviKe01,pass_long,0,,,,,
player,201211110chi,chi,DaviKe01,pass_rating,,,,,,
player,201211110chi,chi,DaviKe01,rush_att,0,,,,,
player,201211110chi,chi,DaviKe01,rush_yds,0,,,,,
player,201211110chi,chi,DaviKe01,rush_td,0,,,,,
player,201211110chi,chi,DaviKe01,rush_long,0,,,,,
player,201211110chi,chi,DaviKe01,targets,5,,,,,
player,201211110chi,chi,DaviKe01,rec,1,,,,,
player,201211110chi,chi,DaviKe01,rec_yds,6,,,,,
player,201211110chi,chi,DaviKe01,rec_td,0,,,,,
player,201211110chi,chi,DaviKe01,rec_long,6,,,,,
player,201211110chi,chi,DaviKe01,fumbles,1,,,,,
player,201211110chi,chi,DaviKe01,fumbles_lost,1,,,,,
player,201211110chi,chi,SpaeMa00,pass_cmp,0,,,,,
player,201211110chi,chi,SpaeMa00,pass_att,0,,,,,
player,201211110chi,chi,SpaeMa00,pass_yds,0,,,,,
player,201211110chi,chi,SpaeMa00,pass_td,0,,,,,
player,201211110chi,chi,SpaeMa00,pass_int,0,,,,,
player,201211110chi,chi,SpaeMa00,pass_sacked,0,,,,,
player,201211110chi,chi,SpaeMa00,pass_sacked_yds,0,,,,,
player,201211110chi,chi,SpaeMa00,pass_long,0,,,,,
player,201211110chi,chi,SpaeMa00,pass_rating,,,,,,
player,201211110chi,chi,SpaeMa00,rush_att,0,,,,,
player,201211110chi,chi,SpaeMa00,rush_yds,0,,,,,
player,201211110chi,chi,SpaeMa00,rush_td,0,,,,,
player,201211110chi,chi,SpaeMa00,rush_long,0,,,,,
player,201211110chi,chi,SpaeMa00,targets,3,,,,,
player,201211110chi,chi,SpaeMa00,rec,3,,,,,
player,201211110chi,chi,SpaeMa00,rec_yds,4,,,,,
player,201211110chi,chi,SpaeMa00,rec_td,0,,,,,
player,201211110chi,chi,SpaeMa00,rec_long,5,,,,,
player,201211110chi,chi,SpaeMa00,fumbles,0,,,,,
player,201211110chi,chi,SpaeMa00,fumbles_lost,0,,,,,
player,201211110chi,chi,HestDe99,pass_cmp,0,,,,,
player,201211110chi,chi,HestDe99,pass_att,0,,,,,
player,201211110chi,chi,HestDe99,pass_yds,0,,,,,
player,201211110chi,chi,HestDe99,pass_td,0,,,,,
player,201211110chi,chi,HestDe99,pass_int,0,,,,,
player,201211110chi,chi,HestDe99,pass_sacked,0,,,,,
player,201211110chi,chi,HestDe99,pass_sacked_yds,0,,,,,
player,201211110chi,chi,HestDe99,pass_long,0,,,,,
player,201211110chi,chi,HestDe99,pass_rating,,,,,,
player,201211110chi,chi,HestDe99,rush_att,0,,,,,
player,201211110chi,chi,HestDe99,rush_yds,0,,,,,
player,201211110chi,chi,HestDe99,rush_td,0,,,,,
player,201211110chi,chi,HestDe99,rush_long,0,,,,,
player,201211110chi,chi,HestDe99,targets,4,,,,,
player,201211110chi,chi,HestDe99,rec,2,,,,,
player,201211110chi,chi,HestDe99,rec_yds,4,,,,,
player,201211110chi,chi,HestDe99,rec_td,0,,,,,
player,201211110chi,chi,HestDe99,rec_long,4,,,,,
player,201211110chi,chi,HestDe99,fumbles,0,,,,,
player,201211110chi,chi,HestDe99,fumbles_lost,0,,,,,
player,201211110chi,htx,JackKa99,def_int,1,,,,,
player,201211110chi,htx,JackKa99,def_int_yds,1,,,,,
player,201211110chi,htx,JackKa99,def_int_td,0,,,,,
player,201211110chi,htx,JackKa99,def_int_long,1,,,,,
player,201211110chi,htx,JackKa99,pass_defended,2,,,,,
player,201211110chi,htx,JackKa99,sacks,0.0,,,,,
player,201211110chi,htx,JackKa99,tackles_combined,3,,,,,
player,201211110chi,htx,JackKa99,tackles_solo,3,,,,,
player,201211110chi,htx,JackKa99,tackles_assists,0,,,,,
player,201211110chi,htx,JackKa99,tackles_loss,0,,,,,
player,201211110chi,htx,JackKa99,qb_hits,0,,,,,
player,201211110chi,htx,JackKa99,fumbles_rec,0,,,,,
player,201211110chi,htx,JackKa99,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,JackKa99,fumbles_rec_td,0,,,,,
player,201211110chi,htx,JackKa99,fumbles_forced,0,,,,,
player,201211110chi,htx,MannDa21,def_int,1,,,,,
player,201211110chi,htx,MannDa21,def_int_yds,4,,,,,
player,201211110chi,htx,MannDa21,def_int_td,0,,,,,
player,201211110chi,htx,MannDa21,def_int_long,4,,,,,
player,201211110chi,htx,MannDa21,pass_defended,1,,,,,
player,201211110chi,htx,MannDa21,sacks,0.0,,,,,
player,201211110chi,htx,MannDa21,tackles_combined,3,,,,,
player,201211110chi,htx,MannDa21,tackles_solo,2,,,,,
player,201211110chi,htx,MannDa21,tackles_assists,1,,,,,
player,201211110chi,htx,MannDa21,tackles_loss,0,,,,,
player,201211110chi,htx,MannDa21,qb_hits,0,,,,,
player,201211110chi,htx,MannDa21,fumbles_rec,0,,,,,
player,201211110chi,htx,MannDa21,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,MannDa21,fumbles_rec_td,0,,,,,
player,201211110chi,htx,MannDa21,fumbles_forced,1,,,,,
player,201211110chi,htx,DobbTi20,def_int,0,,,,,
player,201211110chi,htx,DobbTi20,def_int_yds,0,,,,,
player,201211110chi,htx,DobbTi20,def_int_td,0,,,,,
player,201211110chi,htx,DobbTi20,def_int_long,0,,,,,
player,201211110chi,htx,DobbTi20,pass_defended,0,,,,,
player,201211110chi,htx,DobbTi20,sacks,0.0,,,,,
player,201211110chi,htx,DobbTi20,tackles_combined,7,,,,,
player,201211110chi,htx,DobbTi20,tackles_solo,5,,,,,
player,201211110chi,htx,DobbTi20,tackles_assists,2,,,,,
player,201211110chi,htx,DobbTi20,tackles_loss,0,,,,,
player,201211110chi,htx,DobbTi20,qb_hits,1,,,,,
player,201211110chi,htx,DobbTi20,fumbles_rec,1,,,,,
player,201211110chi,htx,DobbTi20,fumbles_rec_yds,32,,,,,
player,201211110chi,htx,DobbTi20,fumbles_rec_td,0,,,,,
player,201211110chi,htx,DobbTi20,fumbles_forced,0,,,,,
player,201211110chi,htx,JameBr20,def_int,0,,,,,
player,201211110chi,htx,JameBr20,def_int_yds,0,,,,,
player,201211110chi,htx,JameBr20,def_int_td,0,,,,,
player,201211110chi,htx,JameBr20,def_int_long,0,,,,,
player,201211110chi,htx,JameBr20,pass_defended,0,,,,,
player,201211110chi,htx,JameBr20,sacks,0.0,,,,,
player,201211110chi,htx,JameBr20,tackles_combined,7,,,,,
player,201211110chi,htx,JameBr20,tackles_solo,3,,,,,
player,201211110chi,htx,JameBr20,tackles_assists,4,,,,,
player,201211110chi,htx,JameBr20,tackles_loss,1,,,,,
player,201211110chi,htx,JameBr20,qb_hits,0,,,,,
player,201211110chi,htx,JameBr20,fumbles_rec,1,,,,,
player,201211110chi,htx,JameBr20,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,JameBr20,fumbles_rec_td,0,,,,,
player,201211110chi,htx,JameBr20,fumbles_forced,0,,,,,
player,201211110chi,htx,BarwCo99,def_int,0,,,,,
player,201211110chi,htx,BarwCo99,def_int_yds,0,,,,,
player,201211110chi,htx,BarwCo99,def_int_td,0,,,,,
player,201211110chi,htx,BarwCo99,def_int_long,0,,,,,
player,201211110chi,htx,BarwCo99,pass_defended,0,,,,,
player,201211110chi,htx,BarwCo99,sacks,0.0,,,,,
player,201211110chi,htx,BarwCo99,tackles_combined,6,,,,,
player,201211110chi,htx,BarwCo99,tackles_solo,6,,,,,
player,201211110chi,htx,BarwCo99,tackles_assists,0,,,,,
player,201211110chi,htx,BarwCo99,tackles_loss,2,,,,,
player,201211110chi,htx,BarwCo99,qb_hits,1,,,,,
player,201211110chi,htx,BarwCo99,fumbles_rec,0,,,,,
player,201211110chi,htx,BarwCo99,fumbles_rec_yds,0,,,,,
