game,2012,2,20120916,201209160car,nor,"New Orleans Saints",27,car,"Carolina Panthers",35
player,201209160car,nor,RobyCo00,pass_cmp,0,,,,,
player,201209160car,nor,RobyCo00,pass_att,0,,,,,
player,201209160car,nor,RobyCo00,pass_yds,0,,,,,
player,201209160car,nor,RobyCo00,pass_td,0,,,,,
player,201209160car,nor,RobyCo00,pass_int,0,,,,,
player,201209160car,nor,RobyCo00,pass_sacked,0,,,,,
player,201209160car,nor,RobyCo00,pass_sacked_yds,0,,,,,
player,201209160car,nor,RobyCo00,pass_long,0,,,,,
player,201209160car,nor,RobyCo00,pass_rating,,,,,,
player,201209160car,nor,RobyCo00,rush_att,0,,,,,
player,201209160car,nor,RobyCo00,rush_yds,0,,,,,
player,201209160car,nor,RobyCo00,rush_td,0,,,,,
player,201209160car,nor,RobyCo00,rush_long,0,,,,,
player,201209160car,nor,RobyCo00,targets,1,,,,,
player,201209160car,nor,RobyCo00,rec,1,,,,,
player,201209160car,nor,RobyCo00,rec_yds,9,,,,,
player,201209160car,nor,RobyCo00,rec_td,0,,,,,
player,201209160car,nor,RobyCo00,rec_long,9,,,,,
player,201209160car,nor,RobyCo00,fumbles,0,,,,,
player,201209160car,nor,RobyCo00,fumbles_lost,0,,,,,
player,201209160car,nor,MorgJo01,pass_cmp,0,,,,,
player,201209160car,nor,MorgJo01,pass_att,0,,,,,
player,201209160car,nor,MorgJo01,pass_yds,0,,,,,
player,201209160car,nor,MorgJo01,pass_td,0,,,,,
player,201209160car,nor,MorgJo01,pass_int,0,,,,,
player,201209160car,nor,MorgJo01,pass_sacked,0,,,,,
player,201209160car,nor,MorgJo01,pass_sacked_yds,0,,,,,
player,201209160car,nor,MorgJo01,pass_long,0,,,,,
player,201209160car,nor,MorgJo01,pass_rating,,,,,,
player,201209160car,nor,MorgJo01,rush_att,0,,,,,
player,201209160car,nor,MorgJo01,rush_yds,0,,,,,
player,201209160car,nor,MorgJo01,rush_td,0,,,,,
player,201209160car,nor,MorgJo01,rush_long,0,,,,,
player,201209160car,nor,MorgJo01,targets,3,,,,,
