game,2012,5,20121007,201210070nor,sdg,"San Diego Chargers",24,nor,"New Orleans Saints",31
player,201210070nor,sdg,GateAn00,fumbles_lost,0,,,,,
player,201210070nor,sdg,RosaDa00,pass_cmp,0,,,,,
player,201210070nor,sdg,RosaDa00,pass_att,0,,,,,
player,201210070nor,sdg,RosaDa00,pass_yds,0,,,,,
player,201210070nor,sdg,RosaDa00,pass_td,0,,,,,
player,201210070nor,sdg,RosaDa00,pass_int,0,,,,,
player,201210070nor,sdg,RosaDa00,pass_sacked,0,,,,,
player,201210070nor,sdg,RosaDa00,pass_sacked_yds,0,,,,,
player,201210070nor,sdg,RosaDa00,pass_long,0,,,,,
player,201210070nor,sdg,RosaDa00,pass_rating,,,,,,
player,201210070nor,sdg,RosaDa00,rush_att,0,,,,,
player,201210070nor,sdg,RosaDa00,rush_yds,0,,,,,
player,201210070nor,sdg,RosaDa00,rush_td,0,,,,,
player,201210070nor,sdg,RosaDa00,rush_long,0,,,,,
player,201210070nor,sdg,RosaDa00,targets,1,,,,,
player,201210070nor,sdg,RosaDa00,rec,1,,,,,
player,201210070nor,sdg,RosaDa00,rec_yds,16,,,,,
player,201210070nor,sdg,RosaDa00,rec_td,0,,,,,
player,201210070nor,sdg,RosaDa00,rec_long,16,,,,,
player,201210070nor,sdg,RosaDa00,fumbles,0,,,,,
player,201210070nor,sdg,RosaDa00,fumbles_lost,0,,,,,
player,201210070nor,nor,BreeDr00,pass_cmp,29,,,,,
player,201210070nor,nor,BreeDr00,pass_att,45,,,,,
player,201210070nor,nor,BreeDr00,pass_yds,370,,,,,
player,201210070nor,nor,BreeDr00,pass_td,4,,,,,
player,201210070nor,nor,BreeDr00,pass_int,1,,,,,
player,201210070nor,nor,BreeDr00,pass_sacked,3,,,,,
player,201210070nor,nor,BreeDr00,pass_sacked_yds,19,,,,,
player,201210070nor,nor,BreeDr00,pass_long,41,,,,,
player,201210070nor,nor,BreeDr00,pass_rating,110.4,,,,,
player,201210070nor,nor,BreeDr00,rush_att,2,,,,,
player,201210070nor,nor,BreeDr00,rush_yds,-2,,,,,
player,201210070nor,nor,BreeDr00,rush_td,0,,,,,
player,201210070nor,nor,BreeDr00,rush_long,-1,,,,,
player,201210070nor,nor,BreeDr00,targets,0,,,,,
player,201210070nor,nor,BreeDr00,rec,0,,,,,
player,201210070nor,nor,BreeDr00,rec_yds,0,,,,,
player,201210070nor,nor,BreeDr00,rec_td,0,,,,,
player,201210070nor,nor,BreeDr00,rec_long,0,,,,,
player,201210070nor,nor,BreeDr00,fumbles,1,,,,,
player,201210070nor,nor,BreeDr00,fumbles_lost,0,,,,,
player,201210070nor,nor,ThomPi00,pass_cmp,0,,,,,
player,201210070nor,nor,ThomPi00,pass_att,0,,,,,
player,201210070nor,nor,ThomPi00,pass_yds,0,,,,,
player,201210070nor,nor,ThomPi00,pass_td,0,,,,,
player,201210070nor,nor,ThomPi00,pass_int,0,,,,,
player,201210070nor,nor,ThomPi00,pass_sacked,0,,,,,
player,201210070nor,nor,ThomPi00,pass_sacked_yds,0,,,,,
player,201210070nor,nor,ThomPi00,pass_long,0,,,,,
player,201210070nor,nor,ThomPi00,pass_rating,,,,,,
player,201210070nor,nor,ThomPi00,rush_att,9,,,,,
player,201210070nor,nor,ThomPi00,rush_yds,30,,,,,
player,201210070nor,nor,ThomPi00,rush_td,0,,,,,
player,201210070nor,nor,ThomPi00,rush_long,8,,,,,
player,201210070nor,nor,ThomPi00,targets,2,,,,,
player,201210070nor,nor,ThomPi00,rec,2,,,,,
player,201210070nor,nor,ThomPi00,rec_yds,40,,,,,
player,201210070nor,nor,ThomPi00,rec_td,0,,,,,
player,201210070nor,nor,ThomPi00,rec_long,36,,,,,
player,201210070nor,nor,ThomPi00,fumbles,0,,,,,
player,201210070nor,nor,ThomPi00,fumbles_lost,0,,,,,
player,201210070nor,nor,IngrMa01,pass_cmp,0,,,,,
player,201210070nor,nor,IngrMa01,pass_att,0,,,,,
player,201210070nor,nor,IngrMa01,pass_yds,0,,,,,
player,201210070nor,nor,IngrMa01,pass_td,0,,,,,
player,201210070nor,nor,IngrMa01,pass_int,0,,,,,
player,201210070nor,nor,IngrMa01,pass_sacked,0,,,,,
player,201210070nor,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201210070nor,nor,IngrMa01,pass_long,0,,,,,
player,201210070nor,nor,IngrMa01,pass_rating,,,,,,
player,201210070nor,nor,IngrMa01,rush_att,5,,,,,
player,201210070nor,nor,IngrMa01,rush_yds,16,,,,,
player,201210070nor,nor,IngrMa01,rush_td,0,,,,,
player,201210070nor,nor,IngrMa01,rush_long,6,,,,,
player,201210070nor,nor,IngrMa01,targets,0,,,,,
player,201210070nor,nor,IngrMa01,rec,0,,,,,
player,201210070nor,nor,IngrMa01,rec_yds,0,,,,,
player,201210070nor,nor,IngrMa01,rec_td,0,,,,,
player,201210070nor,nor,IngrMa01,rec_long,0,,,,,
player,201210070nor,nor,IngrMa01,fumbles,0,,,,,
player,201210070nor,nor,IngrMa01,fumbles_lost,0,,,,,
player,201210070nor,nor,SproDa00,pass_cmp,0,,,,,
player,201210070nor,nor,SproDa00,pass_att,0,,,,,
player,201210070nor,nor,SproDa00,pass_yds,0,,,,,
player,201210070nor,nor,SproDa00,pass_td,0,,,,,
player,201210070nor,nor,SproDa00,pass_int,0,,,,,
player,201210070nor,nor,SproDa00,pass_sacked,0,,,,,
player,201210070nor,nor,SproDa00,pass_sacked_yds,0,,,,,
player,201210070nor,nor,SproDa00,pass_long,0,,,,,
player,201210070nor,nor,SproDa00,pass_rating,,,,,,
player,201210070nor,nor,SproDa00,rush_att,5,,,,,
player,201210070nor,nor,SproDa00,rush_yds,9,,,,,
player,201210070nor,nor,SproDa00,rush_td,0,,,,,
player,201210070nor,nor,SproDa00,rush_long,5,,,,,
player,201210070nor,nor,SproDa00,targets,7,,,,,
player,201210070nor,nor,SproDa00,rec,5,,,,,
player,201210070nor,nor,SproDa00,rec_yds,28,,,,,
player,201210070nor,nor,SproDa00,rec_td,0,,,,,
player,201210070nor,nor,SproDa00,rec_long,14,,,,,
player,201210070nor,nor,SproDa00,fumbles,0,,,,,
player,201210070nor,nor,SproDa00,fumbles_lost,0,,,,,
player,201210070nor,nor,ColsMa00,pass_cmp,0,,,,,
player,201210070nor,nor,ColsMa00,pass_att,0,,,,,
player,201210070nor,nor,ColsMa00,pass_yds,0,,,,,
player,201210070nor,nor,ColsMa00,pass_td,0,,,,,
player,201210070nor,nor,ColsMa00,pass_int,0,,,,,
player,201210070nor,nor,ColsMa00,pass_sacked,0,,,,,
player,201210070nor,nor,ColsMa00,pass_sacked_yds,0,,,,,
player,201210070nor,nor,ColsMa00,pass_long,0,,,,,
player,201210070nor,nor,ColsMa00,pass_rating,,,,,,
player,201210070nor,nor,ColsMa00,rush_att,0,,,,,
player,201210070nor,nor,ColsMa00,rush_yds,0,,,,,
player,201210070nor,nor,ColsMa00,rush_td,0,,,,,
player,201210070nor,nor,ColsMa00,rush_long,0,,,,,
player,201210070nor,nor,ColsMa00,targets,18,,,,,
player,201210070nor,nor,ColsMa00,rec,9,,,,,
player,201210070nor,nor,ColsMa00,rec_yds,131,,,,,
player,201210070nor,nor,ColsMa00,rec_td,3,,,,,
player,201210070nor,nor,ColsMa00,rec_long,40,,,,,
player,201210070nor,nor,ColsMa00,fumbles,0,,,,,
player,201210070nor,nor,ColsMa00,fumbles_lost,0,,,,,
player,201210070nor,nor,HendDe00,pass_cmp,0,,,,,
