game,2012,9,20121104,201211040rai,tam,"Tampa Bay Buccaneers",42,rai,"Oakland Raiders",32
player,201211040rai,tam,FreeJo00,rush_td,0,,,,,
player,201211040rai,tam,FreeJo00,rush_long,13,,,,,
player,201211040rai,tam,FreeJo00,targets,0,,,,,
player,201211040rai,tam,FreeJo00,rec,0,,,,,
player,201211040rai,tam,FreeJo00,rec_yds,0,,,,,
player,201211040rai,tam,FreeJo00,rec_td,0,,,,,
player,201211040rai,tam,FreeJo00,rec_long,0,,,,,
player,201211040rai,tam,FreeJo00,fumbles,2,,,,,
player,201211040rai,tam,FreeJo00,fumbles_lost,1,,,,,
player,201211040rai,tam,MartDo00,pass_cmp,0,,,,,
player,201211040rai,tam,MartDo00,pass_att,0,,,,,
player,201211040rai,tam,MartDo00,pass_yds,0,,,,,
player,201211040rai,tam,MartDo00,pass_td,0,,,,,
player,201211040rai,tam,MartDo00,pass_int,0,,,,,
player,201211040rai,tam,MartDo00,pass_sacked,0,,,,,
player,201211040rai,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201211040rai,tam,MartDo00,pass_long,0,,,,,
player,201211040rai,tam,MartDo00,pass_rating,,,,,,
player,201211040rai,tam,MartDo00,rush_att,25,,,,,
player,201211040rai,tam,MartDo00,rush_yds,251,,,,,
player,201211040rai,tam,MartDo00,rush_td,4,,,,,
player,201211040rai,tam,MartDo00,rush_long,70,,,,,
player,201211040rai,tam,MartDo00,targets,5,,,,,
player,201211040rai,tam,MartDo00,rec,4,,,,,
player,201211040rai,tam,MartDo00,rec_yds,21,,,,,
player,201211040rai,tam,MartDo00,rec_td,0,,,,,
player,201211040rai,tam,MartDo00,rec_long,8,,,,,
player,201211040rai,tam,MartDo00,fumbles,0,,,,,
player,201211040rai,tam,MartDo00,fumbles_lost,0,,,,,
player,201211040rai,tam,BlouLe00,pass_cmp,0,,,,,
player,201211040rai,tam,BlouLe00,pass_att,0,,,,,
player,201211040rai,tam,BlouLe00,pass_yds,0,,,,,
player,201211040rai,tam,BlouLe00,pass_td,0,,,,,
player,201211040rai,tam,BlouLe00,pass_int,0,,,,,
player,201211040rai,tam,BlouLe00,pass_sacked,0,,,,,
player,201211040rai,tam,BlouLe00,pass_sacked_yds,0,,,,,
player,201211040rai,tam,BlouLe00,pass_long,0,,,,,
player,201211040rai,tam,BlouLe00,pass_rating,,,,,,
player,201211040rai,tam,BlouLe00,rush_att,2,,,,,
player,201211040rai,tam,BlouLe00,rush_yds,5,,,,,
player,201211040rai,tam,BlouLe00,rush_td,0,,,,,
player,201211040rai,tam,BlouLe00,rush_long,3,,,,,
player,201211040rai,tam,BlouLe00,targets,0,,,,,
player,201211040rai,tam,BlouLe00,rec,0,,,,,
player,201211040rai,tam,BlouLe00,rec_yds,0,,,,,
player,201211040rai,tam,BlouLe00,rec_td,0,,,,,
player,201211040rai,tam,BlouLe00,rec_long,0,,,,,
player,201211040rai,tam,BlouLe00,fumbles,0,,,,,
player,201211040rai,tam,BlouLe00,fumbles_lost,0,,,,,
player,201211040rai,tam,JackVi00,pass_cmp,0,,,,,
player,201211040rai,tam,JackVi00,pass_att,0,,,,,
player,201211040rai,tam,JackVi00,pass_yds,0,,,,,
player,201211040rai,tam,JackVi00,pass_td,0,,,,,
player,201211040rai,tam,JackVi00,pass_int,0,,,,,
player,201211040rai,tam,JackVi00,pass_sacked,0,,,,,
player,201211040rai,tam,JackVi00,pass_sacked_yds,0,,,,,
player,201211040rai,tam,JackVi00,pass_long,0,,,,,
player,201211040rai,tam,JackVi00,pass_rating,,,,,,
player,201211040rai,tam,JackVi00,rush_att,0,,,,,
player,201211040rai,tam,JackVi00,rush_yds,0,,,,,
player,201211040rai,tam,JackVi00,rush_td,0,,,,,
player,201211040rai,tam,JackVi00,rush_long,0,,,,,
player,201211040rai,tam,JackVi00,targets,4,,,,,
player,201211040rai,tam,JackVi00,rec,2,,,,,
player,201211040rai,tam,JackVi00,rec_yds,84,,,,,
player,201211040rai,tam,JackVi00,rec_td,1,,,,,
player,201211040rai,tam,JackVi00,rec_long,64,,,,,
player,201211040rai,tam,JackVi00,fumbles,0,,,,,
player,201211040rai,tam,JackVi00,fumbles_lost,0,,,,,
player,201211040rai,tam,WillMi04,pass_cmp,0,,,,,
player,201211040rai,tam,WillMi04,pass_att,0,,,,,
player,201211040rai,tam,WillMi04,pass_yds,0,,,,,
player,201211040rai,tam,WillMi04,pass_td,0,,,,,
player,201211040rai,tam,WillMi04,pass_int,0,,,,,
player,201211040rai,tam,WillMi04,pass_sacked,0,,,,,
player,201211040rai,tam,WillMi04,pass_sacked_yds,0,,,,,
player,201211040rai,tam,WillMi04,pass_long,0,,,,,
player,201211040rai,tam,WillMi04,pass_rating,,,,,,
player,201211040rai,tam,WillMi04,rush_att,0,,,,,
player,201211040rai,tam,WillMi04,rush_yds,0,,,,,
player,201211040rai,tam,WillMi04,rush_td,0,,,,,
player,201211040rai,tam,WillMi04,rush_long,0,,,,,
player,201211040rai,tam,WillMi04,targets,8,,,,,
player,201211040rai,tam,WillMi04,rec,4,,,,,
player,201211040rai,tam,WillMi04,rec_yds,68,,,,,
player,201211040rai,tam,WillMi04,rec_td,1,,,,,
player,201211040rai,tam,WillMi04,rec_long,37,,,,,
player,201211040rai,tam,WillMi04,fumbles,0,,,,,
player,201211040rai,tam,WillMi04,fumbles_lost,0,,,,,
player,201211040rai,tam,ClarDa00,pass_cmp,0,,,,,
player,201211040rai,tam,ClarDa00,pass_att,0,,,,,
player,201211040rai,tam,ClarDa00,pass_yds,0,,,,,
player,201211040rai,tam,ClarDa00,pass_td,0,,,,,
player,201211040rai,tam,ClarDa00,pass_int,0,,,,,
player,201211040rai,tam,ClarDa00,pass_sacked,0,,,,,
player,201211040rai,tam,ClarDa00,pass_sacked_yds,0,,,,,
player,201211040rai,tam,ClarDa00,pass_long,0,,,,,
player,201211040rai,tam,ClarDa00,pass_rating,,,,,,
player,201211040rai,tam,ClarDa00,rush_att,0,,,,,
player,201211040rai,tam,ClarDa00,rush_yds,0,,,,,
player,201211040rai,tam,ClarDa00,rush_td,0,,,,,
player,201211040rai,tam,ClarDa00,rush_long,0,,,,,
player,201211040rai,tam,ClarDa00,targets,5,,,,,
player,201211040rai,tam,ClarDa00,rec,2,,,,,
player,201211040rai,tam,ClarDa00,rec_yds,22,,,,,
player,201211040rai,tam,ClarDa00,rec_td,0,,,,,
player,201211040rai,tam,ClarDa00,rec_long,12,,,,,
player,201211040rai,tam,ClarDa00,fumbles,0,,,,,
player,201211040rai,tam,ClarDa00,fumbles_lost,0,,,,,
player,201211040rai,tam,ByhaNa00,pass_cmp,0,,,,,
player,201211040rai,tam,ByhaNa00,pass_att,0,,,,,
player,201211040rai,tam,ByhaNa00,pass_yds,0,,,,,
player,201211040rai,tam,ByhaNa00,pass_td,0,,,,,
player,201211040rai,tam,ByhaNa00,pass_int,0,,,,,
player,201211040rai,tam,ByhaNa00,pass_sacked,0,,,,,
player,201211040rai,tam,ByhaNa00,pass_sacked_yds,0,,,,,
player,201211040rai,tam,ByhaNa00,pass_long,0,,,,,
player,201211040rai,tam,ByhaNa00,pass_rating,,,,,,
player,201211040rai,tam,ByhaNa00,rush_att,0,,,,,
player,201211040rai,tam,ByhaNa00,rush_yds,0,,,,,
player,201211040rai,tam,ByhaNa00,rush_td,0,,,,,
player,201211040rai,tam,ByhaNa00,rush_long,0,,,,,
player,201211040rai,tam,ByhaNa00,targets,2,,,,,
player,201211040rai,tam,ByhaNa00,rec,2,,,,,
player,201211040rai,tam,ByhaNa00,rec_yds,15,,,,,
player,201211040rai,tam,ByhaNa00,rec_td,0,,,,,
player,201211040rai,tam,ByhaNa00,rec_long,10,,,,,
player,201211040rai,tam,ByhaNa00,fumbles,0,,,,,
player,201211040rai,tam,ByhaNa00,fumbles_lost,0,,,,,
player,201211040rai,tam,WareDa00,pass_cmp,0,,,,,
player,201211040rai,tam,WareDa00,pass_att,0,,,,,
player,201211040rai,tam,WareDa00,pass_yds,0,,,,,
player,201211040rai,tam,WareDa00,pass_td,0,,,,,
player,201211040rai,tam,WareDa00,pass_int,0,,,,,
player,201211040rai,tam,WareDa00,pass_sacked,0,,,,,
player,201211040rai,tam,WareDa00,pass_sacked_yds,0,,,,,
player,201211040rai,tam,WareDa00,pass_long,0,,,,,
player,201211040rai,tam,WareDa00,pass_rating,,,,,,
player,201211040rai,tam,WareDa00,rush_att,0,,,,,
player,201211040rai,tam,WareDa00,rush_yds,0,,,,,
player,201211040rai,tam,WareDa00,rush_td,0,,,,,
player,201211040rai,tam,WareDa00,rush_long,0,,,,,
player,201211040rai,tam,WareDa00,targets,1,,,,,
player,201211040rai,tam,WareDa00,rec,1,,,,,
player,201211040rai,tam,WareDa00,rec_yds,12,,,,,
player,201211040rai,tam,WareDa00,rec_td,0,,,,,
player,201211040rai,tam,WareDa00,rec_long,12,,,,,
player,201211040rai,tam,WareDa00,fumbles,0,,,,,
player,201211040rai,tam,WareDa00,fumbles_lost,0,,,,,
player,201211040rai,tam,UndeTi00,pass_cmp,0,,,,,
player,201211040rai,tam,UndeTi00,pass_att,0,,,,,
player,201211040rai,tam,UndeTi00,pass_yds,0,,,,,
player,201211040rai,tam,UndeTi00,pass_td,0,,,,,
player,201211040rai,tam,UndeTi00,pass_int,0,,,,,
player,201211040rai,tam,UndeTi00,pass_sacked,0,,,,,
player,201211040rai,tam,UndeTi00,pass_sacked_yds,0,,,,,
player,201211040rai,tam,UndeTi00,pass_long,0,,,,,
player,201211040rai,tam,UndeTi00,pass_rating,,,,,,
player,201211040rai,tam,UndeTi00,rush_att,0,,,,,
player,201211040rai,tam,UndeTi00,rush_yds,0,,,,,
player,201211040rai,tam,UndeTi00,rush_td,0,,,,,
player,201211040rai,tam,UndeTi00,rush_long,0,,,,,
player,201211040rai,tam,UndeTi00,targets,2,,,,,
player,201211040rai,tam,UndeTi00,rec,1,,,,,
player,201211040rai,tam,UndeTi00,rec_yds,12,,,,,
player,201211040rai,tam,UndeTi00,rec_td,0,,,,,
player,201211040rai,tam,UndeTi00,rec_long,12,,,,,
player,201211040rai,tam,UndeTi00,fumbles,0,,,,,
player,201211040rai,tam,UndeTi00,fumbles_lost,0,,,,,
player,201211040rai,tam,LoriEr99,pass_cmp,0,,,,,
player,201211040rai,tam,LoriEr99,pass_att,0,,,,,
player,201211040rai,tam,LoriEr99,pass_yds,0,,,,,
player,201211040rai,tam,LoriEr99,pass_td,0,,,,,
player,201211040rai,tam,LoriEr99,pass_int,0,,,,,
player,201211040rai,tam,LoriEr99,pass_sacked,0,,,,,
player,201211040rai,tam,LoriEr99,pass_sacked_yds,0,,,,,
player,201211040rai,tam,LoriEr99,pass_long,0,,,,,
player,201211040rai,tam,LoriEr99,pass_rating,,,,,,
player,201211040rai,tam,LoriEr99,rush_att,0,,,,,
player,201211040rai,tam,LoriEr99,rush_yds,0,,,,,
player,201211040rai,tam,LoriEr99,rush_td,0,,,,,
player,201211040rai,tam,LoriEr99,rush_long,0,,,,,
player,201211040rai,tam,LoriEr99,targets,1,,,,,
player,201211040rai,tam,LoriEr99,rec,1,,,,,
player,201211040rai,tam,LoriEr99,rec_yds,11,,,,,
player,201211040rai,tam,LoriEr99,rec_td,0,,,,,
player,201211040rai,tam,LoriEr99,rec_long,11,,,,,
player,201211040rai,tam,LoriEr99,fumbles,0,,,,,
player,201211040rai,tam,LoriEr99,fumbles_lost,0,,,,,
player,201211040rai,tam,StocLu00,pass_cmp,0,,,,,
player,201211040rai,tam,StocLu00,pass_att,0,,,,,
player,201211040rai,tam,StocLu00,pass_yds,0,,,,,
player,201211040rai,tam,StocLu00,pass_td,0,,,,,
player,201211040rai,tam,StocLu00,pass_int,0,,,,,
player,201211040rai,tam,StocLu00,pass_sacked,0,,,,,
player,201211040rai,tam,StocLu00,pass_sacked_yds,0,,,,,
player,201211040rai,tam,StocLu00,pass_long,0,,,,,
player,201211040rai,tam,StocLu00,pass_rating,,,,,,
player,201211040rai,tam,StocLu00,rush_att,0,,,,,
player,201211040rai,tam,StocLu00,rush_yds,0,,,,,
player,201211040rai,tam,StocLu00,rush_td,0,,,,,
player,201211040rai,tam,StocLu00,rush_long,0,,,,,
player,201211040rai,tam,StocLu00,targets,2,,,,,
player,201211040rai,tam,StocLu00,rec,1,,,,,
player,201211040rai,tam,StocLu00,rec_yds,2,,,,,
player,201211040rai,tam,StocLu00,rec_td,0,,,,,
player,201211040rai,tam,StocLu00,rec_long,2,,,,,
player,201211040rai,tam,StocLu00,fumbles,0,,,,,
player,201211040rai,tam,StocLu00,fumbles_lost,0,,,,,
player,201211040rai,rai,PalmCa00,pass_cmp,39,,,,,
player,201211040rai,rai,PalmCa00,pass_att,61,,,,,
player,201211040rai,rai,PalmCa00,pass_yds,414,,,,,
player,201211040rai,rai,PalmCa00,pass_td,4,,,,,
player,201211040rai,rai,PalmCa00,pass_int,3,,,,,
player,201211040rai,rai,PalmCa00,pass_sacked,2,,,,,
player,201211040rai,rai,PalmCa00,pass_sacked_yds,16,,,,,
player,201211040rai,rai,PalmCa00,pass_long,46,,,,,
player,201211040rai,rai,PalmCa00,pass_rating,85.0,,,,,
player,201211040rai,rai,PalmCa00,rush_att,1,,,,,
player,201211040rai,rai,PalmCa00,rush_yds,3,,,,,
player,201211040rai,rai,PalmCa00,rush_td,0,,,,,
player,201211040rai,rai,PalmCa00,rush_long,3,,,,,
player,201211040rai,rai,PalmCa00,targets,0,,,,,
player,201211040rai,rai,PalmCa00,rec,0,,,,,
player,201211040rai,rai,PalmCa00,rec_yds,0,,,,,
player,201211040rai,rai,PalmCa00,rec_td,0,,,,,
player,201211040rai,rai,PalmCa00,rec_long,0,,,,,
player,201211040rai,rai,PalmCa00,fumbles,0,,,,,
player,201211040rai,rai,PalmCa00,fumbles_lost,0,,,,,
player,201211040rai,rai,LechSh20,pass_cmp,1,,,,,
player,201211040rai,rai,LechSh20,pass_att,1,,,,,
player,201211040rai,rai,LechSh20,pass_yds,4,,,,,
player,201211040rai,rai,LechSh20,pass_td,0,,,,,
player,201211040rai,rai,LechSh20,pass_int,0,,,,,
player,201211040rai,rai,LechSh20,pass_sacked,0,,,,,
player,201211040rai,rai,LechSh20,pass_sacked_yds,0,,,,,
player,201211040rai,rai,LechSh20,pass_long,4,,,,,
player,201211040rai,rai,LechSh20,pass_rating,83.3,,,,,
player,201211040rai,rai,LechSh20,rush_att,0,,,,,
player,201211040rai,rai,LechSh20,rush_yds,0,,,,,
player,201211040rai,rai,LechSh20,rush_td,0,,,,,
player,201211040rai,rai,LechSh20,rush_long,0,,,,,
player,201211040rai,rai,LechSh20,targets,0,,,,,
player,201211040rai,rai,LechSh20,rec,0,,,,,
player,201211040rai,rai,LechSh20,rec_yds,0,,,,,
player,201211040rai,rai,LechSh20,rec_td,0,,,,,
player,201211040rai,rai,LechSh20,rec_long,0,,,,,
player,201211040rai,rai,LechSh20,fumbles,0,,,,,
player,201211040rai,rai,LechSh20,fumbles_lost,0,,,,,
player,201211040rai,rai,McFaDa00,pass_cmp,0,,,,,
player,201211040rai,rai,McFaDa00,pass_att,0,,,,,
player,201211040rai,rai,McFaDa00,pass_yds,0,,,,,
player,201211040rai,rai,McFaDa00,pass_td,0,,,,,
player,201211040rai,rai,McFaDa00,pass_int,0,,,,,
player,201211040rai,rai,McFaDa00,pass_sacked,,,,,,
player,201211040rai,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201211040rai,rai,McFaDa00,pass_long,0,,,,,
player,201211040rai,rai,McFaDa00,pass_rating,,,,,,
player,201211040rai,rai,McFaDa00,rush_att,7,,,,,
player,201211040rai,rai,McFaDa00,rush_yds,17,,,,,
player,201211040rai,rai,McFaDa00,rush_td,0,,,,,
player,201211040rai,rai,McFaDa00,rush_long,7,,,,,
player,201211040rai,rai,McFaDa00,targets,3,,,,,
player,201211040rai,rai,McFaDa00,rec,2,,,,,
player,201211040rai,rai,McFaDa00,rec_yds,0,,,,,
player,201211040rai,rai,McFaDa00,rec_td,0,,,,,
player,201211040rai,rai,McFaDa00,rec_long,2,,,,,
player,201211040rai,rai,McFaDa00,fumbles,0,,,,,
player,201211040rai,rai,McFaDa00,fumbles_lost,0,,,,,
player,201211040rai,rai,JoneTa00,pass_cmp,0,,,,,
player,201211040rai,rai,JoneTa00,pass_att,0,,,,,
player,201211040rai,rai,JoneTa00,pass_yds,0,,,,,
player,201211040rai,rai,JoneTa00,pass_td,0,,,,,
player,201211040rai,rai,JoneTa00,pass_int,0,,,,,
player,201211040rai,rai,JoneTa00,pass_sacked,,,,,,
player,201211040rai,rai,JoneTa00,pass_sacked_yds,0,,,,,
player,201211040rai,rai,JoneTa00,pass_long,0,,,,,
player,201211040rai,rai,JoneTa00,pass_rating,,,,,,
player,201211040rai,rai,JoneTa00,rush_att,1,,,,,
player,201211040rai,rai,JoneTa00,rush_yds,2,,,,,
player,201211040rai,rai,JoneTa00,rush_td,0,,,,,
player,201211040rai,rai,JoneTa00,rush_long,2,,,,,
player,201211040rai,rai,JoneTa00,targets,1,,,,,
player,201211040rai,rai,JoneTa00,rec,1,,,,,
player,201211040rai,rai,JoneTa00,rec_yds,4,,,,,
player,201211040rai,rai,JoneTa00,rec_td,0,,,,,
player,201211040rai,rai,JoneTa00,rec_long,4,,,,,
player,201211040rai,rai,JoneTa00,fumbles,1,,,,,
player,201211040rai,rai,JoneTa00,fumbles_lost,0,,,,,
player,201211040rai,rai,ReecMa00,pass_cmp,0,,,,,
player,201211040rai,rai,ReecMa00,pass_att,0,,,,,
player,201211040rai,rai,ReecMa00,pass_yds,0,,,,,
player,201211040rai,rai,ReecMa00,pass_td,0,,,,,
player,201211040rai,rai,ReecMa00,pass_int,0,,,,,
player,201211040rai,rai,ReecMa00,pass_sacked,,,,,,
player,201211040rai,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201211040rai,rai,ReecMa00,pass_long,0,,,,,
player,201211040rai,rai,ReecMa00,pass_rating,,,,,,
player,201211040rai,rai,ReecMa00,rush_att,0,,,,,
player,201211040rai,rai,ReecMa00,rush_yds,0,,,,,
player,201211040rai,rai,ReecMa00,rush_td,0,,,,,
player,201211040rai,rai,ReecMa00,rush_long,0,,,,,
player,201211040rai,rai,ReecMa00,targets,9,,,,,
player,201211040rai,rai,ReecMa00,rec,8,,,,,
player,201211040rai,rai,ReecMa00,rec_yds,95,,,,,
player,201211040rai,rai,ReecMa00,rec_td,1,,,,,
player,201211040rai,rai,ReecMa00,rec_long,26,,,,,
player,201211040rai,rai,ReecMa00,fumbles,1,,,,,
player,201211040rai,rai,ReecMa00,fumbles_lost,0,,,,,
player,201211040rai,rai,HeywDa00,pass_cmp,0,,,,,
player,201211040rai,rai,HeywDa00,pass_att,0,,,,,
player,201211040rai,rai,HeywDa00,pass_yds,0,,,,,
player,201211040rai,rai,HeywDa00,pass_td,0,,,,,
player,201211040rai,rai,HeywDa00,pass_int,0,,,,,
player,201211040rai,rai,HeywDa00,pass_sacked,,,,,,
player,201211040rai,rai,HeywDa00,pass_sacked_yds,0,,,,,
player,201211040rai,rai,HeywDa00,pass_long,0,,,,,
player,201211040rai,rai,HeywDa00,pass_rating,,,,,,
player,201211040rai,rai,HeywDa00,rush_att,0,,,,,
player,201211040rai,rai,HeywDa00,rush_yds,0,,,,,
player,201211040rai,rai,HeywDa00,rush_td,0,,,,,
player,201211040rai,rai,HeywDa00,rush_long,0,,,,,
player,201211040rai,rai,HeywDa00,targets,6,,,,,
player,201211040rai,rai,HeywDa00,rec,5,,,,,
player,201211040rai,rai,HeywDa00,rec_yds,74,,,,,
player,201211040rai,rai,HeywDa00,rec_td,0,,,,,
player,201211040rai,rai,HeywDa00,rec_long,46,,,,,
player,201211040rai,rai,HeywDa00,fumbles,0,,,,,
player,201211040rai,rai,HeywDa00,fumbles_lost,0,,,,,
player,201211040rai,rai,MoorDe02,pass_cmp,0,,,,,
player,201211040rai,rai,MoorDe02,pass_att,0,,,,,
player,201211040rai,rai,MoorDe02,pass_yds,0,,,,,
player,201211040rai,rai,MoorDe02,pass_td,0,,,,,
player,201211040rai,rai,MoorDe02,pass_int,0,,,,,
player,201211040rai,rai,MoorDe02,pass_sacked,,,,,,
player,201211040rai,rai,MoorDe02,pass_sacked_yds,0,,,,,
player,201211040rai,rai,MoorDe02,pass_long,0,,,,,
player,201211040rai,rai,MoorDe02,pass_rating,,,,,,
player,201211040rai,rai,MoorDe02,rush_att,0,,,,,
player,201211040rai,rai,MoorDe02,rush_yds,0,,,,,
player,201211040rai,rai,MoorDe02,rush_td,0,,,,,
player,201211040rai,rai,MoorDe02,rush_long,0,,,,,
player,201211040rai,rai,MoorDe02,targets,9,,,,,
player,201211040rai,rai,MoorDe02,rec,4,,,,,
player,201211040rai,rai,MoorDe02,rec_yds,66,,,,,
player,201211040rai,rai,MoorDe02,rec_td,0,,,,,
player,201211040rai,rai,MoorDe02,rec_long,26,,,,,
player,201211040rai,rai,MoorDe02,fumbles,0,,,,,
player,201211040rai,rai,MoorDe02,fumbles_lost,0,,,,,
player,201211040rai,rai,MyerBr00,pass_cmp,0,,,,,
player,201211040rai,rai,MyerBr00,pass_att,0,,,,,
player,201211040rai,rai,MyerBr00,pass_yds,0,,,,,
player,201211040rai,rai,MyerBr00,pass_td,0,,,,,
player,201211040rai,rai,MyerBr00,pass_int,0,,,,,
player,201211040rai,rai,MyerBr00,pass_sacked,,,,,,
player,201211040rai,rai,MyerBr00,pass_sacked_yds,0,,,,,
player,201211040rai,rai,MyerBr00,pass_long,0,,,,,
player,201211040rai,rai,MyerBr00,pass_rating,,,,,,
player,201211040rai,rai,MyerBr00,rush_att,0,,,,,
player,201211040rai,rai,MyerBr00,rush_yds,0,,,,,
player,201211040rai,rai,MyerBr00,rush_td,0,,,,,
player,201211040rai,rai,MyerBr00,rush_long,0,,,,,
player,201211040rai,rai,MyerBr00,targets,13,,,,,
player,201211040rai,rai,MyerBr00,rec,8,,,,,
player,201211040rai,rai,MyerBr00,rec_yds,59,,,,,
player,201211040rai,rai,MyerBr00,rec_td,2,,,,,
player,201211040rai,rai,MyerBr00,rec_long,13,,,,,
player,201211040rai,rai,MyerBr00,fumbles,0,,,,,
player,201211040rai,rai,MyerBr00,fumbles_lost,0,,,,,
player,201211040rai,rai,StreRo00,pass_cmp,0,,,,,
player,201211040rai,rai,StreRo00,pass_att,0,,,,,
player,201211040rai,rai,StreRo00,pass_yds,0,,,,,
player,201211040rai,rai,StreRo00,pass_td,0,,,,,
player,201211040rai,rai,StreRo00,pass_int,0,,,,,
player,201211040rai,rai,StreRo00,pass_sacked,,,,,,
player,201211040rai,rai,StreRo00,pass_sacked_yds,0,,,,,
player,201211040rai,rai,StreRo00,pass_long,0,,,,,
player,201211040rai,rai,StreRo00,pass_rating,,,,,,
player,201211040rai,rai,StreRo00,rush_att,0,,,,,
player,201211040rai,rai,StreRo00,rush_yds,0,,,,,
player,201211040rai,rai,StreRo00,rush_td,0,,,,,
player,201211040rai,rai,StreRo00,rush_long,0,,,,,
player,201211040rai,rai,StreRo00,targets,10,,,,,
player,201211040rai,rai,StreRo00,rec,4,,,,,
player,201211040rai,rai,StreRo00,rec_yds,54,,,,,
player,201211040rai,rai,StreRo00,rec_td,1,,,,,
player,201211040rai,rai,StreRo00,rec_long,25,,,,,
player,201211040rai,rai,StreRo00,fumbles,0,,,,,
player,201211040rai,rai,StreRo00,fumbles_lost,0,,,,,
player,201211040rai,rai,GoodMi00,pass_cmp,0,,,,,
player,201211040rai,rai,GoodMi00,pass_att,0,,,,,
player,201211040rai,rai,GoodMi00,pass_yds,0,,,,,
player,201211040rai,rai,GoodMi00,pass_td,0,,,,,
player,201211040rai,rai,GoodMi00,pass_int,0,,,,,
player,201211040rai,rai,GoodMi00,pass_sacked,,,,,,
player,201211040rai,rai,GoodMi00,pass_sacked_yds,0,,,,,
player,201211040rai,rai,GoodMi00,pass_long,0,,,,,
player,201211040rai,rai,GoodMi00,pass_rating,,,,,,
player,201211040rai,rai,GoodMi00,rush_att,2,,,,,
player,201211040rai,rai,GoodMi00,rush_yds,0,,,,,
player,201211040rai,rai,GoodMi00,rush_td,0,,,,,
player,201211040rai,rai,GoodMi00,rush_long,0,,,,,
player,201211040rai,rai,GoodMi00,targets,6,,,,,
player,201211040rai,rai,GoodMi00,rec,6,,,,,
player,201211040rai,rai,GoodMi00,rec_yds,52,,,,,
player,201211040rai,rai,GoodMi00,rec_td,0,,,,,
player,201211040rai,rai,GoodMi00,rec_long,12,,,,,
player,201211040rai,rai,GoodMi00,fumbles,0,,,,,
player,201211040rai,rai,GoodMi00,fumbles_lost,0,,,,,
player,201211040rai,rai,GordRi00,pass_cmp,0,,,,,
player,201211040rai,rai,GordRi00,pass_att,0,,,,,
player,201211040rai,rai,GordRi00,pass_yds,0,,,,,
player,201211040rai,rai,GordRi00,pass_td,0,,,,,
player,201211040rai,rai,GordRi00,pass_int,0,,,,,
player,201211040rai,rai,GordRi00,pass_sacked,,,,,,
player,201211040rai,rai,GordRi00,pass_sacked_yds,0,,,,,
player,201211040rai,rai,GordRi00,pass_long,0,,,,,
player,201211040rai,rai,GordRi00,pass_rating,,,,,,
player,201211040rai,rai,GordRi00,rush_att,0,,,,,
player,201211040rai,rai,GordRi00,rush_yds,0,,,,,
player,201211040rai,rai,GordRi00,rush_td,0,,,,,
player,201211040rai,rai,GordRi00,rush_long,0,,,,,
player,201211040rai,rai,GordRi00,targets,2,,,,,
player,201211040rai,rai,GordRi00,rec,1,,,,,
