game,2012,10,20121111,201211110car,den,"Denver Broncos",36,car,"Carolina Panthers",14
player,201211110car,den,HillRo00,pass_cmp,0,,,,,
player,201211110car,den,HillRo00,pass_att,0,,,,,
player,201211110car,den,HillRo00,pass_yds,0,,,,,
player,201211110car,den,HillRo00,pass_td,0,,,,,
player,201211110car,den,HillRo00,pass_int,0,,,,,
player,201211110car,den,HillRo00,pass_sacked,0,,,,,
player,201211110car,den,HillRo00,pass_sacked_yds,0,,,,,
player,201211110car,den,HillRo00,pass_long,0,,,,,
player,201211110car,den,HillRo00,pass_rating,,,,,,
player,201211110car,den,HillRo00,rush_att,5,,,,,
player,201211110car,den,HillRo00,rush_yds,5,,,,,
player,201211110car,den,HillRo00,rush_td,1,,,,,
player,201211110car,den,HillRo00,rush_long,5,,,,,
player,201211110car,den,HillRo00,targets,2,,,,,
player,201211110car,den,HillRo00,rec,2,,,,,
player,201211110car,den,HillRo00,rec_yds,8,,,,,
player,201211110car,den,HillRo00,rec_td,0,,,,,
player,201211110car,den,HillRo00,rec_long,7,,,,,
player,201211110car,den,HillRo00,fumbles,0,,,,,
player,201211110car,den,HillRo00,fumbles_lost,0,,,,,
player,201211110car,den,ThomDe03,pass_cmp,0,,,,,
player,201211110car,den,ThomDe03,pass_att,0,,,,,
player,201211110car,den,ThomDe03,pass_yds,0,,,,,
player,201211110car,den,ThomDe03,pass_td,0,,,,,
player,201211110car,den,ThomDe03,pass_int,0,,,,,
player,201211110car,den,ThomDe03,pass_sacked,0,,,,,
player,201211110car,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201211110car,den,ThomDe03,pass_long,0,,,,,
player,201211110car,den,ThomDe03,pass_rating,,,,,,
player,201211110car,den,ThomDe03,rush_att,0,,,,,
player,201211110car,den,ThomDe03,rush_yds,0,,,,,
player,201211110car,den,ThomDe03,rush_td,0,,,,,
player,201211110car,den,ThomDe03,rush_long,0,,,,,
player,201211110car,den,ThomDe03,targets,11,,,,,
player,201211110car,den,ThomDe03,rec,9,,,,,
player,201211110car,den,ThomDe03,rec_yds,135,,,,,
player,201211110car,den,ThomDe03,rec_td,0,,,,,
player,201211110car,den,ThomDe03,rec_long,46,,,,,
player,201211110car,den,ThomDe03,fumbles,0,,,,,
player,201211110car,den,ThomDe03,fumbles_lost,0,,,,,
player,201211110car,den,StokBr00,pass_cmp,0,,,,,
player,201211110car,den,StokBr00,pass_att,0,,,,,
player,201211110car,den,StokBr00,pass_yds,0,,,,,
player,201211110car,den,StokBr00,pass_td,0,,,,,
player,201211110car,den,StokBr00,pass_int,0,,,,,
player,201211110car,den,StokBr00,pass_sacked,0,,,,,
player,201211110car,den,StokBr00,pass_sacked_yds,0,,,,,
player,201211110car,den,StokBr00,pass_long,0,,,,,
player,201211110car,den,StokBr00,pass_rating,,,,,,
player,201211110car,den,StokBr00,rush_att,0,,,,,
player,201211110car,den,StokBr00,rush_yds,0,,,,,
player,201211110car,den,StokBr00,rush_td,0,,,,,
player,201211110car,den,StokBr00,rush_long,0,,,,,
player,201211110car,den,StokBr00,targets,5,,,,,
player,201211110car,den,StokBr00,rec,4,,,,,
player,201211110car,den,StokBr00,rec_yds,54,,,,,
player,201211110car,den,StokBr00,rec_td,1,,,,,
player,201211110car,den,StokBr00,rec_long,23,,,,,
player,201211110car,den,StokBr00,fumbles,0,,,,,
player,201211110car,den,StokBr00,fumbles_lost,0,,,,,
player,201211110car,den,DreeJo00,pass_cmp,0,,,,,
player,201211110car,den,DreeJo00,pass_att,0,,,,,
player,201211110car,den,DreeJo00,pass_yds,0,,,,,
player,201211110car,den,DreeJo00,pass_td,0,,,,,
player,201211110car,den,DreeJo00,pass_int,0,,,,,
player,201211110car,den,DreeJo00,pass_sacked,0,,,,,
player,201211110car,den,DreeJo00,pass_sacked_yds,0,,,,,
player,201211110car,den,DreeJo00,pass_long,0,,,,,
player,201211110car,den,DreeJo00,pass_rating,,,,,,
player,201211110car,den,DreeJo00,rush_att,0,,,,,
player,201211110car,den,DreeJo00,rush_yds,0,,,,,
player,201211110car,den,DreeJo00,rush_td,0,,,,,
player,201211110car,den,DreeJo00,rush_long,0,,,,,
player,201211110car,den,DreeJo00,targets,3,,,,,
player,201211110car,den,DreeJo00,rec,2,,,,,
player,201211110car,den,DreeJo00,rec_yds,31,,,,,
player,201211110car,den,DreeJo00,rec_td,0,,,,,
player,201211110car,den,DreeJo00,rec_long,22,,,,,
player,201211110car,den,DreeJo00,fumbles,0,,,,,
player,201211110car,den,DreeJo00,fumbles_lost,0,,,,,
player,201211110car,den,HollTr00,pass_cmp,0,,,,,
player,201211110car,den,HollTr00,pass_att,0,,,,,
player,201211110car,den,HollTr00,pass_yds,0,,,,,
player,201211110car,den,HollTr00,pass_td,0,,,,,
player,201211110car,den,HollTr00,pass_int,0,,,,,
player,201211110car,den,HollTr00,pass_sacked,0,,,,,
player,201211110car,den,HollTr00,pass_sacked_yds,0,,,,,
player,201211110car,den,HollTr00,pass_long,0,,,,,
player,201211110car,den,HollTr00,pass_rating,,,,,,
player,201211110car,den,HollTr00,rush_att,0,,,,,
player,201211110car,den,HollTr00,rush_yds,0,,,,,
player,201211110car,den,HollTr00,rush_td,0,,,,,
player,201211110car,den,HollTr00,rush_long,0,,,,,
player,201211110car,den,HollTr00,targets,2,,,,,
player,201211110car,den,HollTr00,rec,2,,,,,
player,201211110car,den,HollTr00,rec_yds,17,,,,,
player,201211110car,den,HollTr00,rec_td,0,,,,,
player,201211110car,den,HollTr00,rec_long,15,,,,,
player,201211110car,den,HollTr00,fumbles,0,,,,,
player,201211110car,den,HollTr00,fumbles_lost,0,,,,,
player,201211110car,den,DeckEr00,pass_cmp,0,,,,,
player,201211110car,den,DeckEr00,pass_att,0,,,,,
player,201211110car,den,DeckEr00,pass_yds,0,,,,,
player,201211110car,den,DeckEr00,pass_td,0,,,,,
player,201211110car,den,DeckEr00,pass_int,0,,,,,
player,201211110car,den,DeckEr00,pass_sacked,0,,,,,
player,201211110car,den,DeckEr00,pass_sacked_yds,0,,,,,
player,201211110car,den,DeckEr00,pass_long,0,,,,,
player,201211110car,den,DeckEr00,pass_rating,,,,,,
player,201211110car,den,DeckEr00,rush_att,0,,,,,
player,201211110car,den,DeckEr00,rush_yds,0,,,,,
player,201211110car,den,DeckEr00,rush_td,0,,,,,
player,201211110car,den,DeckEr00,rush_long,0,,,,,
player,201211110car,den,DeckEr00,targets,4,,,,,
player,201211110car,den,DeckEr00,rec,2,,,,,
player,201211110car,den,DeckEr00,rec_yds,15,,,,,
player,201211110car,den,DeckEr00,rec_td,0,,,,,
player,201211110car,den,DeckEr00,rec_long,13,,,,,
player,201211110car,den,DeckEr00,fumbles,0,,,,,
player,201211110car,den,DeckEr00,fumbles_lost,0,,,,,
player,201211110car,den,TammJa00,pass_cmp,0,,,,,
player,201211110car,den,TammJa00,pass_att,0,,,,,
player,201211110car,den,TammJa00,pass_yds,0,,,,,
player,201211110car,den,TammJa00,pass_td,0,,,,,
player,201211110car,den,TammJa00,pass_int,0,,,,,
player,201211110car,den,TammJa00,pass_sacked,0,,,,,
player,201211110car,den,TammJa00,pass_sacked_yds,0,,,,,
player,201211110car,den,TammJa00,pass_long,0,,,,,
player,201211110car,den,TammJa00,pass_rating,,,,,,
player,201211110car,den,TammJa00,rush_att,0,,,,,
player,201211110car,den,TammJa00,rush_yds,0,,,,,
player,201211110car,den,TammJa00,rush_td,0,,,,,
player,201211110car,den,TammJa00,rush_long,0,,,,,
player,201211110car,den,TammJa00,targets,4,,,,,
player,201211110car,den,TammJa00,rec,1,,,,,
player,201211110car,den,TammJa00,rec_yds,6,,,,,
player,201211110car,den,TammJa00,rec_td,0,,,,,
player,201211110car,den,TammJa00,rec_long,6,,,,,
player,201211110car,den,TammJa00,fumbles,0,,,,,
player,201211110car,den,TammJa00,fumbles_lost,0,,,,,
player,201211110car,den,WillMa00,pass_cmp,0,,,,,
player,201211110car,den,WillMa00,pass_att,0,,,,,
player,201211110car,den,WillMa00,pass_yds,0,,,,,
player,201211110car,den,WillMa00,pass_td,0,,,,,
player,201211110car,den,WillMa00,pass_int,0,,,,,
player,201211110car,den,WillMa00,pass_sacked,0,,,,,
player,201211110car,den,WillMa00,pass_sacked_yds,0,,,,,
player,201211110car,den,WillMa00,pass_long,0,,,,,
player,201211110car,den,WillMa00,pass_rating,,,,,,
player,201211110car,den,WillMa00,rush_att,0,,,,,
player,201211110car,den,WillMa00,rush_yds,0,,,,,
player,201211110car,den,WillMa00,rush_td,0,,,,,
player,201211110car,den,WillMa00,rush_long,0,,,,,
player,201211110car,den,WillMa00,targets,1,,,,,
player,201211110car,den,WillMa00,rec,1,,,,,
player,201211110car,den,WillMa00,rec_yds,2,,,,,
player,201211110car,den,WillMa00,rec_td,0,,,,,
player,201211110car,den,WillMa00,rec_long,2,,,,,
player,201211110car,den,WillMa00,fumbles,0,,,,,
player,201211110car,den,WillMa00,fumbles_lost,0,,,,,
player,201211110car,car,NewtCa00,pass_cmp,21,,,,,
player,201211110car,car,NewtCa00,pass_att,36,,,,,
player,201211110car,car,NewtCa00,pass_yds,241,,,,,
player,201211110car,car,NewtCa00,pass_td,2,,,,,
player,201211110car,car,NewtCa00,pass_int,2,,,,,
player,201211110car,car,NewtCa00,pass_sacked,7,,,,,
player,201211110car,car,NewtCa00,pass_sacked_yds,43,,,,,
player,201211110car,car,NewtCa00,pass_long,26,,,,,
player,201211110car,car,NewtCa00,pass_rating,74.0,,,,,
player,201211110car,car,NewtCa00,rush_att,4,,,,,
player,201211110car,car,NewtCa00,rush_yds,7,,,,,
player,201211110car,car,NewtCa00,rush_td,0,,,,,
player,201211110car,car,NewtCa00,rush_long,6,,,,,
player,201211110car,car,NewtCa00,targets,0,,,,,
player,201211110car,car,NewtCa00,rec,0,,,,,
player,201211110car,car,NewtCa00,rec_yds,0,,,,,
player,201211110car,car,NewtCa00,rec_td,0,,,,,
player,201211110car,car,NewtCa00,rec_long,0,,,,,
player,201211110car,car,NewtCa00,fumbles,1,,,,,
player,201211110car,car,NewtCa00,fumbles_lost,0,,,,,
player,201211110car,car,StewJo00,pass_cmp,0,,,,,
player,201211110car,car,StewJo00,pass_att,0,,,,,
player,201211110car,car,StewJo00,pass_yds,0,,,,,
player,201211110car,car,StewJo00,pass_td,0,,,,,
player,201211110car,car,StewJo00,pass_int,0,,,,,
player,201211110car,car,StewJo00,pass_sacked,0,,,,,
player,201211110car,car,StewJo00,pass_sacked_yds,0,,,,,
player,201211110car,car,StewJo00,pass_long,0,,,,,
player,201211110car,car,StewJo00,pass_rating,,,,,,
player,201211110car,car,StewJo00,rush_att,8,,,,,
player,201211110car,car,StewJo00,rush_yds,31,,,,,
player,201211110car,car,StewJo00,rush_td,0,,,,,
player,201211110car,car,StewJo00,rush_long,14,,,,,
player,201211110car,car,StewJo00,targets,2,,,,,
player,201211110car,car,StewJo00,rec,2,,,,,
player,201211110car,car,StewJo00,rec_yds,23,,,,,
player,201211110car,car,StewJo00,rec_td,0,,,,,
player,201211110car,car,StewJo00,rec_long,19,,,,,
player,201211110car,car,StewJo00,fumbles,1,,,,,
player,201211110car,car,StewJo00,fumbles_lost,0,,,,,
player,201211110car,car,TolbMi00,pass_cmp,0,,,,,
player,201211110car,car,TolbMi00,pass_att,0,,,,,
player,201211110car,car,TolbMi00,pass_yds,0,,,,,
player,201211110car,car,TolbMi00,pass_td,0,,,,,
player,201211110car,car,TolbMi00,pass_int,0,,,,,
player,201211110car,car,TolbMi00,pass_sacked,0,,,,,
player,201211110car,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201211110car,car,TolbMi00,pass_long,0,,,,,
player,201211110car,car,TolbMi00,pass_rating,,,,,,
player,201211110car,car,TolbMi00,rush_att,2,,,,,
player,201211110car,car,TolbMi00,rush_yds,6,,,,,
player,201211110car,car,TolbMi00,rush_td,0,,,,,
player,201211110car,car,TolbMi00,rush_long,3,,,,,
player,201211110car,car,TolbMi00,targets,2,,,,,
player,201211110car,car,TolbMi00,rec,2,,,,,
player,201211110car,car,TolbMi00,rec_yds,34,,,,,
player,201211110car,car,TolbMi00,rec_td,0,,,,,
player,201211110car,car,TolbMi00,rec_long,26,,,,,
player,201211110car,car,TolbMi00,fumbles,0,,,,,
player,201211110car,car,TolbMi00,fumbles_lost,0,,,,,
player,201211110car,car,WillDe02,pass_cmp,0,,,,,
player,201211110car,car,WillDe02,pass_att,0,,,,,
player,201211110car,car,WillDe02,pass_yds,0,,,,,
player,201211110car,car,WillDe02,pass_td,0,,,,,
player,201211110car,car,WillDe02,pass_int,0,,,,,
player,201211110car,car,WillDe02,pass_sacked,0,,,,,
player,201211110car,car,WillDe02,pass_sacked_yds,0,,,,,
player,201211110car,car,WillDe02,pass_long,0,,,,,
player,201211110car,car,WillDe02,pass_rating,,,,,,
player,201211110car,car,WillDe02,rush_att,6,,,,,
player,201211110car,car,WillDe02,rush_yds,6,,,,,
player,201211110car,car,WillDe02,rush_td,0,,,,,
player,201211110car,car,WillDe02,rush_long,4,,,,,
player,201211110car,car,WillDe02,targets,1,,,,,
player,201211110car,car,WillDe02,rec,1,,,,,
player,201211110car,car,WillDe02,rec_yds,17,,,,,
player,201211110car,car,WillDe02,rec_td,0,,,,,
player,201211110car,car,WillDe02,rec_long,17,,,,,
player,201211110car,car,WillDe02,fumbles,0,,,,,
player,201211110car,car,WillDe02,fumbles_lost,0,,,,,
player,201211110car,car,SmitSt01,pass_cmp,0,,,,,
player,201211110car,car,SmitSt01,pass_att,0,,,,,
player,201211110car,car,SmitSt01,pass_yds,0,,,,,
player,201211110car,car,SmitSt01,pass_td,0,,,,,
player,201211110car,car,SmitSt01,pass_int,0,,,,,
player,201211110car,car,SmitSt01,pass_sacked,0,,,,,
player,201211110car,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201211110car,car,SmitSt01,pass_long,0,,,,,
player,201211110car,car,SmitSt01,pass_rating,,,,,,
player,201211110car,car,SmitSt01,rush_att,1,,,,,
player,201211110car,car,SmitSt01,rush_yds,2,,,,,
player,201211110car,car,SmitSt01,rush_td,0,,,,,
player,201211110car,car,SmitSt01,rush_long,2,,,,,
player,201211110car,car,SmitSt01,targets,7,,,,,
player,201211110car,car,SmitSt01,rec,1,,,,,
player,201211110car,car,SmitSt01,rec_yds,19,,,,,
player,201211110car,car,SmitSt01,rec_td,0,,,,,
player,201211110car,car,SmitSt01,rec_long,19,,,,,
player,201211110car,car,SmitSt01,fumbles,0,,,,,
player,201211110car,car,SmitSt01,fumbles_lost,0,,,,,
player,201211110car,car,OlseGr00,pass_cmp,0,,,,,
player,201211110car,car,OlseGr00,pass_att,0,,,,,
player,201211110car,car,OlseGr00,pass_yds,0,,,,,
player,201211110car,car,OlseGr00,pass_td,0,,,,,
player,201211110car,car,OlseGr00,pass_int,0,,,,,
player,201211110car,car,OlseGr00,pass_sacked,0,,,,,
player,201211110car,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201211110car,car,OlseGr00,pass_long,0,,,,,
player,201211110car,car,OlseGr00,pass_rating,,,,,,
player,201211110car,car,OlseGr00,rush_att,0,,,,,
player,201211110car,car,OlseGr00,rush_yds,0,,,,,
player,201211110car,car,OlseGr00,rush_td,0,,,,,
player,201211110car,car,OlseGr00,rush_long,0,,,,,
player,201211110car,car,OlseGr00,targets,10,,,,,
player,201211110car,car,OlseGr00,rec,9,,,,,
player,201211110car,car,OlseGr00,rec_yds,102,,,,,
player,201211110car,car,OlseGr00,rec_td,2,,,,,
player,201211110car,car,OlseGr00,rec_long,26,,,,,
player,201211110car,car,OlseGr00,fumbles,0,,,,,
player,201211110car,car,OlseGr00,fumbles_lost,0,,,,,
player,201211110car,car,LaFeBr00,pass_cmp,0,,,,,
player,201211110car,car,LaFeBr00,pass_att,0,,,,,
player,201211110car,car,LaFeBr00,pass_yds,0,,,,,
player,201211110car,car,LaFeBr00,pass_td,0,,,,,
player,201211110car,car,LaFeBr00,pass_int,0,,,,,
player,201211110car,car,LaFeBr00,pass_sacked,0,,,,,
player,201211110car,car,LaFeBr00,pass_sacked_yds,0,,,,,
player,201211110car,car,LaFeBr00,pass_long,0,,,,,
player,201211110car,car,LaFeBr00,pass_rating,,,,,,
player,201211110car,car,LaFeBr00,rush_att,0,,,,,
player,201211110car,car,LaFeBr00,rush_yds,0,,,,,
player,201211110car,car,LaFeBr00,rush_td,0,,,,,
player,201211110car,car,LaFeBr00,rush_long,0,,,,,
player,201211110car,car,LaFeBr00,targets,8,,,,,
player,201211110car,car,LaFeBr00,rec,4,,,,,
player,201211110car,car,LaFeBr00,rec_yds,29,,,,,
player,201211110car,car,LaFeBr00,rec_td,0,,,,,
player,201211110car,car,LaFeBr00,rec_long,21,,,,,
player,201211110car,car,LaFeBr00,fumbles,0,,,,,
player,201211110car,car,LaFeBr00,fumbles_lost,0,,,,,
player,201211110car,car,EdwaAr00,pass_cmp,0,,,,,
player,201211110car,car,EdwaAr00,pass_att,0,,,,,
player,201211110car,car,EdwaAr00,pass_yds,0,,,,,
player,201211110car,car,EdwaAr00,pass_td,0,,,,,
player,201211110car,car,EdwaAr00,pass_int,0,,,,,
player,201211110car,car,EdwaAr00,pass_sacked,0,,,,,
player,201211110car,car,EdwaAr00,pass_sacked_yds,0,,,,,
player,201211110car,car,EdwaAr00,pass_long,0,,,,,
player,201211110car,car,EdwaAr00,pass_rating,,,,,,
player,201211110car,car,EdwaAr00,rush_att,0,,,,,
player,201211110car,car,EdwaAr00,rush_yds,0,,,,,
player,201211110car,car,EdwaAr00,rush_td,0,,,,,
player,201211110car,car,EdwaAr00,rush_long,0,,,,,
player,201211110car,car,EdwaAr00,targets,3,,,,,
player,201211110car,car,EdwaAr00,rec,1,,,,,
player,201211110car,car,EdwaAr00,rec_yds,9,,,,,
player,201211110car,car,EdwaAr00,rec_td,0,,,,,
player,201211110car,car,EdwaAr00,rec_long,9,,,,,
player,201211110car,car,EdwaAr00,fumbles,0,,,,,
player,201211110car,car,EdwaAr00,fumbles_lost,0,,,,,
player,201211110car,car,BarnGa01,pass_cmp,0,,,,,
player,201211110car,car,BarnGa01,pass_att,0,,,,,
player,201211110car,car,BarnGa01,pass_yds,0,,,,,
player,201211110car,car,BarnGa01,pass_td,0,,,,,
player,201211110car,car,BarnGa01,pass_int,0,,,,,
player,201211110car,car,BarnGa01,pass_sacked,0,,,,,
player,201211110car,car,BarnGa01,pass_sacked_yds,0,,,,,
player,201211110car,car,BarnGa01,pass_long,0,,,,,
player,201211110car,car,BarnGa01,pass_rating,,,,,,
player,201211110car,car,BarnGa01,rush_att,0,,,,,
player,201211110car,car,BarnGa01,rush_yds,0,,,,,
player,201211110car,car,BarnGa01,rush_td,0,,,,,
player,201211110car,car,BarnGa01,rush_long,0,,,,,
player,201211110car,car,BarnGa01,targets,1,,,,,
player,201211110car,car,BarnGa01,rec,1,,,,,
player,201211110car,car,BarnGa01,rec_yds,8,,,,,
player,201211110car,car,BarnGa01,rec_td,0,,,,,
player,201211110car,car,BarnGa01,rec_long,8,,,,,
player,201211110car,car,BarnGa01,fumbles,0,,,,,
player,201211110car,car,BarnGa01,fumbles_lost,0,,,,,
player,201211110car,car,MurpLo00,pass_cmp,0,,,,,
player,201211110car,car,MurpLo00,pass_att,0,,,,,
player,201211110car,car,MurpLo00,pass_yds,0,,,,,
player,201211110car,car,MurpLo00,pass_td,0,,,,,
player,201211110car,car,MurpLo00,pass_int,0,,,,,
player,201211110car,car,MurpLo00,pass_sacked,0,,,,,
player,201211110car,car,MurpLo00,pass_sacked_yds,0,,,,,
player,201211110car,car,MurpLo00,pass_long,0,,,,,
player,201211110car,car,MurpLo00,pass_rating,,,,,,
player,201211110car,car,MurpLo00,rush_att,0,,,,,
player,201211110car,car,MurpLo00,rush_yds,0,,,,,
player,201211110car,car,MurpLo00,rush_td,0,,,,,
player,201211110car,car,MurpLo00,rush_long,0,,,,,
player,201211110car,car,MurpLo00,targets,2,,,,,
player,201211110car,car,MurpLo00,rec,0,,,,,
player,201211110car,car,MurpLo00,rec_yds,0,,,,,
player,201211110car,car,MurpLo00,rec_td,0,,,,,
player,201211110car,car,MurpLo00,rec_long,0,,,,,
player,201211110car,car,MurpLo00,fumbles,0,,,,,
player,201211110car,car,MurpLo00,fumbles_lost,0,,,,,
player,201211110car,den,MoorRa00,def_int,1,,,,,
player,201211110car,den,MoorRa00,def_int_yds,23,,,,,
player,201211110car,den,MoorRa00,def_int_td,0,,,,,
player,201211110car,den,MoorRa00,def_int_long,23,,,,,
player,201211110car,den,MoorRa00,pass_defended,1,,,,,
player,201211110car,den,MoorRa00,sacks,0.0,,,,,
player,201211110car,den,MoorRa00,tackles_combined,4,,,,,
player,201211110car,den,MoorRa00,tackles_solo,3,,,,,
player,201211110car,den,MoorRa00,tackles_assists,1,,,,,
player,201211110car,den,MoorRa00,tackles_loss,0,,,,,
player,201211110car,den,MoorRa00,qb_hits,0,,,,,
player,201211110car,den,MoorRa00,fumbles_rec,0,,,,,
player,201211110car,den,MoorRa00,fumbles_rec_yds,0,,,,,
player,201211110car,den,MoorRa00,fumbles_rec_td,0,,,,,
player,201211110car,den,MoorRa00,fumbles_forced,0,,,,,
player,201211110car,den,CartTo99,def_int,1,,,,,
player,201211110car,den,CartTo99,def_int_yds,40,,,,,
player,201211110car,den,CartTo99,def_int_td,1,,,,,
player,201211110car,den,CartTo99,def_int_long,40,,,,,
player,201211110car,den,CartTo99,pass_defended,1,,,,,
player,201211110car,den,CartTo99,sacks,0.0,,,,,
player,201211110car,den,CartTo99,tackles_combined,2,,,,,
player,201211110car,den,CartTo99,tackles_solo,1,,,,,
player,201211110car,den,CartTo99,tackles_assists,1,,,,,
player,201211110car,den,CartTo99,tackles_loss,0,,,,,
player,201211110car,den,CartTo99,qb_hits,0,,,,,
player,201211110car,den,CartTo99,fumbles_rec,0,,,,,
player,201211110car,den,CartTo99,fumbles_rec_yds,0,,,,,
player,201211110car,den,CartTo99,fumbles_rec_td,0,,,,,
player,201211110car,den,CartTo99,fumbles_forced,0,,,,,
player,201211110car,den,VickKe99,def_int,0,,,,,
player,201211110car,den,VickKe99,def_int_yds,0,,,,,
player,201211110car,den,VickKe99,def_int_td,0,,,,,
player,201211110car,den,VickKe99,def_int_long,0,,,,,
player,201211110car,den,VickKe99,pass_defended,0,,,,,
player,201211110car,den,VickKe99,sacks,2.0,,,,,
player,201211110car,den,VickKe99,tackles_combined,3,,,,,
player,201211110car,den,VickKe99,tackles_solo,2,,,,,
player,201211110car,den,VickKe99,tackles_assists,1,,,,,
player,201211110car,den,VickKe99,tackles_loss,1,,,,,
player,201211110car,den,VickKe99,qb_hits,2,,,,,
player,201211110car,den,VickKe99,fumbles_rec,0,,,,,
player,201211110car,den,VickKe99,fumbles_rec_yds,0,,,,,
player,201211110car,den,VickKe99,fumbles_rec_td,0,,,,,
player,201211110car,den,VickKe99,fumbles_forced,0,,,,,
player,201211110car,den,HarrCh01,def_int,0,,,,,
player,201211110car,den,HarrCh01,def_int_yds,0,,,,,
player,201211110car,den,HarrCh01,def_int_td,0,,,,,
player,201211110car,den,HarrCh01,def_int_long,0,,,,,
player,201211110car,den,HarrCh01,pass_defended,0,,,,,
player,201211110car,den,HarrCh01,sacks,1.0,,,,,
player,201211110car,den,HarrCh01,tackles_combined,7,,,,,
player,201211110car,den,HarrCh01,tackles_solo,6,,,,,
player,201211110car,den,HarrCh01,tackles_assists,1,,,,,
player,201211110car,den,HarrCh01,tackles_loss,2,,,,,
player,201211110car,den,HarrCh01,qb_hits,1,,,,,
player,201211110car,den,HarrCh01,fumbles_rec,0,,,,,
player,201211110car,den,HarrCh01,fumbles_rec_yds,0,,,,,
player,201211110car,den,HarrCh01,fumbles_rec_td,0,,,,,
player,201211110car,den,HarrCh01,fumbles_forced,0,,,,,
player,201211110car,den,MillVo00,def_int,0,,,,,
player,201211110car,den,MillVo00,def_int_yds,0,,,,,
player,201211110car,den,MillVo00,def_int_td,0,,,,,
player,201211110car,den,MillVo00,def_int_long,0,,,,,
player,201211110car,den,MillVo00,pass_defended,0,,,,,
