game,2012,6,20121014,201210140rav,dal,"Dallas Cowboys",29,rav,"Baltimore Ravens",31
player,201210140rav,dal,JoneFe00,fumbles,0,,,,,
player,201210140rav,dal,JoneFe00,fumbles_lost,0,,,,,
player,201210140rav,dal,TannPh00,pass_cmp,0,,,,,
player,201210140rav,dal,TannPh00,pass_att,0,,,,,
player,201210140rav,dal,TannPh00,pass_yds,0,,,,,
player,201210140rav,dal,TannPh00,pass_td,0,,,,,
player,201210140rav,dal,TannPh00,pass_int,0,,,,,
player,201210140rav,dal,TannPh00,pass_sacked,0,,,,,
player,201210140rav,dal,TannPh00,pass_sacked_yds,0,,,,,
player,201210140rav,dal,TannPh00,pass_long,0,,,,,
player,201210140rav,dal,TannPh00,pass_rating,,,,,,
player,201210140rav,dal,TannPh00,rush_att,9,,,,,
player,201210140rav,dal,TannPh00,rush_yds,31,,,,,
player,201210140rav,dal,TannPh00,rush_td,0,,,,,
player,201210140rav,dal,TannPh00,rush_long,9,,,,,
player,201210140rav,dal,TannPh00,targets,0,,,,,
player,201210140rav,dal,TannPh00,rec,0,,,,,
player,201210140rav,dal,TannPh00,rec_yds,0,,,,,
player,201210140rav,dal,TannPh00,rec_td,0,,,,,
player,201210140rav,dal,TannPh00,rec_long,0,,,,,
player,201210140rav,dal,TannPh00,fumbles,0,,,,,
player,201210140rav,dal,TannPh00,fumbles_lost,0,,,,,
player,201210140rav,dal,DunbLa00,pass_cmp,0,,,,,
player,201210140rav,dal,DunbLa00,pass_att,0,,,,,
player,201210140rav,dal,DunbLa00,pass_yds,0,,,,,
player,201210140rav,dal,DunbLa00,pass_td,0,,,,,
player,201210140rav,dal,DunbLa00,pass_int,0,,,,,
player,201210140rav,dal,DunbLa00,pass_sacked,0,,,,,
player,201210140rav,dal,DunbLa00,pass_sacked_yds,0,,,,,
player,201210140rav,dal,DunbLa00,pass_long,0,,,,,
player,201210140rav,dal,DunbLa00,pass_rating,,,,,,
player,201210140rav,dal,DunbLa00,rush_att,1,,,,,
player,201210140rav,dal,DunbLa00,rush_yds,11,,,,,
player,201210140rav,dal,DunbLa00,rush_td,0,,,,,
player,201210140rav,dal,DunbLa00,rush_long,11,,,,,
player,201210140rav,dal,DunbLa00,targets,0,,,,,
player,201210140rav,dal,DunbLa00,rec,0,,,,,
player,201210140rav,dal,DunbLa00,rec_yds,0,,,,,
player,201210140rav,dal,DunbLa00,rec_td,0,,,,,
player,201210140rav,dal,DunbLa00,rec_long,0,,,,,
player,201210140rav,dal,DunbLa00,fumbles,0,,,,,
player,201210140rav,dal,DunbLa00,fumbles_lost,0,,,,,
player,201210140rav,dal,BryaDe01,pass_cmp,0,,,,,
player,201210140rav,dal,BryaDe01,pass_att,0,,,,,
player,201210140rav,dal,BryaDe01,pass_yds,0,,,,,
player,201210140rav,dal,BryaDe01,pass_td,0,,,,,
player,201210140rav,dal,BryaDe01,pass_int,0,,,,,
player,201210140rav,dal,BryaDe01,pass_sacked,0,,,,,
player,201210140rav,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201210140rav,dal,BryaDe01,pass_long,0,,,,,
player,201210140rav,dal,BryaDe01,pass_rating,,,,,,
player,201210140rav,dal,BryaDe01,rush_att,0,,,,,
player,201210140rav,dal,BryaDe01,rush_yds,0,,,,,
player,201210140rav,dal,BryaDe01,rush_td,0,,,,,
player,201210140rav,dal,BryaDe01,rush_long,0,,,,,
player,201210140rav,dal,BryaDe01,targets,15,,,,,
player,201210140rav,dal,BryaDe01,rec,13,,,,,
player,201210140rav,dal,BryaDe01,rec_yds,95,,,,,
player,201210140rav,dal,BryaDe01,rec_td,2,,,,,
player,201210140rav,dal,BryaDe01,rec_long,18,,,,,
player,201210140rav,dal,BryaDe01,fumbles,0,,,,,
player,201210140rav,dal,BryaDe01,fumbles_lost,0,,,,,
player,201210140rav,dal,WittJa00,pass_cmp,0,,,,,
player,201210140rav,dal,WittJa00,pass_att,0,,,,,
player,201210140rav,dal,WittJa00,pass_yds,0,,,,,
player,201210140rav,dal,WittJa00,pass_td,0,,,,,
player,201210140rav,dal,WittJa00,pass_int,0,,,,,
player,201210140rav,dal,WittJa00,pass_sacked,0,,,,,
player,201210140rav,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201210140rav,dal,WittJa00,pass_long,0,,,,,
player,201210140rav,dal,WittJa00,pass_rating,,,,,,
player,201210140rav,dal,WittJa00,rush_att,0,,,,,
player,201210140rav,dal,WittJa00,rush_yds,0,,,,,
player,201210140rav,dal,WittJa00,rush_td,0,,,,,
player,201210140rav,dal,WittJa00,rush_long,0,,,,,
player,201210140rav,dal,WittJa00,targets,7,,,,,
player,201210140rav,dal,WittJa00,rec,6,,,,,
player,201210140rav,dal,WittJa00,rec_yds,88,,,,,
player,201210140rav,dal,WittJa00,rec_td,0,,,,,
player,201210140rav,dal,WittJa00,rec_long,35,,,,,
player,201210140rav,dal,WittJa00,fumbles,0,,,,,
player,201210140rav,dal,WittJa00,fumbles_lost,0,,,,,
player,201210140rav,dal,AustMi00,pass_cmp,0,,,,,
player,201210140rav,dal,AustMi00,pass_att,0,,,,,
player,201210140rav,dal,AustMi00,pass_yds,0,,,,,
player,201210140rav,dal,AustMi00,pass_td,0,,,,,
player,201210140rav,dal,AustMi00,pass_int,0,,,,,
player,201210140rav,dal,AustMi00,pass_sacked,0,,,,,
player,201210140rav,dal,AustMi00,pass_sacked_yds,0,,,,,
player,201210140rav,dal,AustMi00,pass_long,0,,,,,
player,201210140rav,dal,AustMi00,pass_rating,,,,,,
player,201210140rav,dal,AustMi00,rush_att,0,,,,,
player,201210140rav,dal,AustMi00,rush_yds,0,,,,,
player,201210140rav,dal,AustMi00,rush_td,0,,,,,
player,201210140rav,dal,AustMi00,rush_long,0,,,,,
player,201210140rav,dal,AustMi00,targets,5,,,,,
player,201210140rav,dal,AustMi00,rec,2,,,,,
player,201210140rav,dal,AustMi00,rec_yds,31,,,,,
player,201210140rav,dal,AustMi00,rec_td,0,,,,,
player,201210140rav,dal,AustMi00,rec_long,19,,,,,
player,201210140rav,dal,AustMi00,fumbles,0,,,,,
player,201210140rav,dal,AustMi00,fumbles_lost,0,,,,,
player,201210140rav,dal,PhilJo00,pass_cmp,0,,,,,
player,201210140rav,dal,PhilJo00,pass_att,0,,,,,
player,201210140rav,dal,PhilJo00,pass_yds,0,,,,,
player,201210140rav,dal,PhilJo00,pass_td,0,,,,,
player,201210140rav,dal,PhilJo00,pass_int,0,,,,,
player,201210140rav,dal,PhilJo00,pass_sacked,0,,,,,
player,201210140rav,dal,PhilJo00,pass_sacked_yds,0,,,,,
player,201210140rav,dal,PhilJo00,pass_long,0,,,,,
player,201210140rav,dal,PhilJo00,pass_rating,,,,,,
player,201210140rav,dal,PhilJo00,rush_att,0,,,,,
player,201210140rav,dal,PhilJo00,rush_yds,0,,,,,
player,201210140rav,dal,PhilJo00,rush_td,0,,,,,
player,201210140rav,dal,PhilJo00,rush_long,0,,,,,
player,201210140rav,dal,PhilJo00,targets,2,,,,,
player,201210140rav,dal,PhilJo00,rec,1,,,,,
player,201210140rav,dal,PhilJo00,rec_yds,19,,,,,
player,201210140rav,dal,PhilJo00,rec_td,0,,,,,
player,201210140rav,dal,PhilJo00,rec_long,19,,,,,
player,201210140rav,dal,PhilJo00,fumbles,0,,,,,
player,201210140rav,dal,PhilJo00,fumbles_lost,0,,,,,
player,201210140rav,dal,VickLa00,pass_cmp,0,,,,,
player,201210140rav,dal,VickLa00,pass_att,0,,,,,
player,201210140rav,dal,VickLa00,pass_yds,0,,,,,
player,201210140rav,dal,VickLa00,pass_td,0,,,,,
player,201210140rav,dal,VickLa00,pass_int,0,,,,,
player,201210140rav,dal,VickLa00,pass_sacked,0,,,,,
player,201210140rav,dal,VickLa00,pass_sacked_yds,0,,,,,
player,201210140rav,dal,VickLa00,pass_long,0,,,,,
player,201210140rav,dal,VickLa00,pass_rating,,,,,,
player,201210140rav,dal,VickLa00,rush_att,0,,,,,
player,201210140rav,dal,VickLa00,rush_yds,0,,,,,
player,201210140rav,dal,VickLa00,rush_td,0,,,,,
player,201210140rav,dal,VickLa00,rush_long,0,,,,,
player,201210140rav,dal,VickLa00,targets,1,,,,,
player,201210140rav,dal,VickLa00,rec,1,,,,,
player,201210140rav,dal,VickLa00,rec_yds,11,,,,,
player,201210140rav,dal,VickLa00,rec_td,0,,,,,
player,201210140rav,dal,VickLa00,rec_long,11,,,,,
player,201210140rav,dal,VickLa00,fumbles,0,,,,,
player,201210140rav,dal,VickLa00,fumbles_lost,0,,,,,
player,201210140rav,dal,OgleKe00,pass_cmp,0,,,,,
player,201210140rav,dal,OgleKe00,pass_att,0,,,,,
player,201210140rav,dal,OgleKe00,pass_yds,0,,,,,
player,201210140rav,dal,OgleKe00,pass_td,0,,,,,
player,201210140rav,dal,OgleKe00,pass_int,0,,,,,
player,201210140rav,dal,OgleKe00,pass_sacked,0,,,,,
player,201210140rav,dal,OgleKe00,pass_sacked_yds,0,,,,,
player,201210140rav,dal,OgleKe00,pass_long,0,,,,,
player,201210140rav,dal,OgleKe00,pass_rating,,,,,,
player,201210140rav,dal,OgleKe00,rush_att,0,,,,,
player,201210140rav,dal,OgleKe00,rush_yds,0,,,,,
player,201210140rav,dal,OgleKe00,rush_td,0,,,,,
player,201210140rav,dal,OgleKe00,rush_long,0,,,,,
player,201210140rav,dal,OgleKe00,targets,4,,,,,
player,201210140rav,dal,OgleKe00,rec,0,,,,,
player,201210140rav,dal,OgleKe00,rec_yds,0,,,,,
player,201210140rav,dal,OgleKe00,rec_td,0,,,,,
player,201210140rav,dal,OgleKe00,rec_long,0,,,,,
player,201210140rav,dal,OgleKe00,fumbles,0,,,,,
player,201210140rav,dal,OgleKe00,fumbles_lost,0,,,,,
player,201210140rav,rav,FlacJo00,pass_cmp,17,,,,,
player,201210140rav,rav,FlacJo00,pass_att,26,,,,,
player,201210140rav,rav,FlacJo00,pass_yds,234,,,,,
player,201210140rav,rav,FlacJo00,pass_td,1,,,,,
player,201210140rav,rav,FlacJo00,pass_int,0,,,,,
player,201210140rav,rav,FlacJo00,pass_sacked,1,,,,,
player,201210140rav,rav,FlacJo00,pass_sacked_yds,4,,,,,
player,201210140rav,rav,FlacJo00,pass_long,43,,,,,
player,201210140rav,rav,FlacJo00,pass_rating,106.9,,,,,
player,201210140rav,rav,FlacJo00,rush_att,2,,,,,
player,201210140rav,rav,FlacJo00,rush_yds,2,,,,,
player,201210140rav,rav,FlacJo00,rush_td,0,,,,,
player,201210140rav,rav,FlacJo00,rush_long,3,,,,,
player,201210140rav,rav,FlacJo00,targets,0,,,,,
player,201210140rav,rav,FlacJo00,rec,0,,,,,
player,201210140rav,rav,FlacJo00,rec_yds,0,,,,,
player,201210140rav,rav,FlacJo00,rec_td,0,,,,,
player,201210140rav,rav,FlacJo00,rec_long,0,,,,,
player,201210140rav,rav,FlacJo00,fumbles,0,,,,,
player,201210140rav,rav,FlacJo00,fumbles_lost,0,,,,,
player,201210140rav,rav,RiceRa00,pass_cmp,0,,,,,
player,201210140rav,rav,RiceRa00,pass_att,0,,,,,
player,201210140rav,rav,RiceRa00,pass_yds,0,,,,,
player,201210140rav,rav,RiceRa00,pass_td,0,,,,,
player,201210140rav,rav,RiceRa00,pass_int,0,,,,,
player,201210140rav,rav,RiceRa00,pass_sacked,0,,,,,
player,201210140rav,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201210140rav,rav,RiceRa00,pass_long,0,,,,,
player,201210140rav,rav,RiceRa00,pass_rating,,,,,,
player,201210140rav,rav,RiceRa00,rush_att,16,,,,,
player,201210140rav,rav,RiceRa00,rush_yds,63,,,,,
player,201210140rav,rav,RiceRa00,rush_td,2,,,,,
player,201210140rav,rav,RiceRa00,rush_long,12,,,,,
player,201210140rav,rav,RiceRa00,targets,4,,,,,
player,201210140rav,rav,RiceRa00,rec,1,,,,,
player,201210140rav,rav,RiceRa00,rec_yds,43,,,,,
player,201210140rav,rav,RiceRa00,rec_td,0,,,,,
player,201210140rav,rav,RiceRa00,rec_long,43,,,,,
player,201210140rav,rav,RiceRa00,fumbles,0,,,,,
player,201210140rav,rav,RiceRa00,fumbles_lost,0,,,,,
player,201210140rav,rav,PierBe00,pass_cmp,0,,,,,
player,201210140rav,rav,PierBe00,pass_att,0,,,,,
player,201210140rav,rav,PierBe00,pass_yds,0,,,,,
player,201210140rav,rav,PierBe00,pass_td,0,,,,,
player,201210140rav,rav,PierBe00,pass_int,0,,,,,
player,201210140rav,rav,PierBe00,pass_sacked,0,,,,,
player,201210140rav,rav,PierBe00,pass_sacked_yds,0,,,,,
player,201210140rav,rav,PierBe00,pass_long,0,,,,,
player,201210140rav,rav,PierBe00,pass_rating,,,,,,
player,201210140rav,rav,PierBe00,rush_att,4,,,,,
player,201210140rav,rav,PierBe00,rush_yds,21,,,,,
player,201210140rav,rav,PierBe00,rush_td,0,,,,,
player,201210140rav,rav,PierBe00,rush_long,16,,,,,
player,201210140rav,rav,PierBe00,targets,1,,,,,
player,201210140rav,rav,PierBe00,rec,1,,,,,
player,201210140rav,rav,PierBe00,rec_yds,6,,,,,
player,201210140rav,rav,PierBe00,rec_td,0,,,,,
player,201210140rav,rav,PierBe00,rec_long,6,,,,,
player,201210140rav,rav,PierBe00,fumbles,0,,,,,
player,201210140rav,rav,PierBe00,fumbles_lost,0,,,,,
player,201210140rav,rav,BoldAn00,pass_cmp,0,,,,,
player,201210140rav,rav,BoldAn00,pass_att,0,,,,,
player,201210140rav,rav,BoldAn00,pass_yds,0,,,,,
player,201210140rav,rav,BoldAn00,pass_td,0,,,,,
player,201210140rav,rav,BoldAn00,pass_int,0,,,,,
player,201210140rav,rav,BoldAn00,pass_sacked,0,,,,,
player,201210140rav,rav,BoldAn00,pass_sacked_yds,0,,,,,
player,201210140rav,rav,BoldAn00,pass_long,0,,,,,
player,201210140rav,rav,BoldAn00,pass_rating,,,,,,
player,201210140rav,rav,BoldAn00,rush_att,0,,,,,
player,201210140rav,rav,BoldAn00,rush_yds,0,,,,,
player,201210140rav,rav,BoldAn00,rush_td,0,,,,,
player,201210140rav,rav,BoldAn00,rush_long,0,,,,,
player,201210140rav,rav,BoldAn00,targets,6,,,,,
player,201210140rav,rav,BoldAn00,rec,5,,,,,
player,201210140rav,rav,BoldAn00,rec_yds,98,,,,,
player,201210140rav,rav,BoldAn00,rec_td,0,,,,,
player,201210140rav,rav,BoldAn00,rec_long,31,,,,,
player,201210140rav,rav,BoldAn00,fumbles,0,,,,,
player,201210140rav,rav,BoldAn00,fumbles_lost,0,,,,,
player,201210140rav,rav,PittDe00,pass_cmp,0,,,,,
player,201210140rav,rav,PittDe00,pass_att,0,,,,,
player,201210140rav,rav,PittDe00,pass_yds,0,,,,,
player,201210140rav,rav,PittDe00,pass_td,0,,,,,
player,201210140rav,rav,PittDe00,pass_int,0,,,,,
player,201210140rav,rav,PittDe00,pass_sacked,0,,,,,
player,201210140rav,rav,PittDe00,pass_sacked_yds,0,,,,,
player,201210140rav,rav,PittDe00,pass_long,0,,,,,
player,201210140rav,rav,PittDe00,pass_rating,,,,,,
player,201210140rav,rav,PittDe00,rush_att,0,,,,,
player,201210140rav,rav,PittDe00,rush_yds,0,,,,,
player,201210140rav,rav,PittDe00,rush_td,0,,,,,
player,201210140rav,rav,PittDe00,rush_long,0,,,,,
player,201210140rav,rav,PittDe00,targets,5,,,,,
player,201210140rav,rav,PittDe00,rec,4,,,,,
player,201210140rav,rav,PittDe00,rec_yds,33,,,,,
player,201210140rav,rav,PittDe00,rec_td,0,,,,,
player,201210140rav,rav,PittDe00,rec_long,9,,,,,
player,201210140rav,rav,PittDe00,fumbles,0,,,,,
player,201210140rav,rav,PittDe00,fumbles_lost,0,,,,,
player,201210140rav,rav,SmitTo02,pass_cmp,0,,,,,
player,201210140rav,rav,SmitTo02,pass_att,0,,,,,
player,201210140rav,rav,SmitTo02,pass_yds,0,,,,,
player,201210140rav,rav,SmitTo02,pass_td,0,,,,,
player,201210140rav,rav,SmitTo02,pass_int,0,,,,,
player,201210140rav,rav,SmitTo02,pass_sacked,0,,,,,
player,201210140rav,rav,SmitTo02,pass_sacked_yds,0,,,,,
player,201210140rav,rav,SmitTo02,pass_long,0,,,,,
player,201210140rav,rav,SmitTo02,pass_rating,,,,,,
player,201210140rav,rav,SmitTo02,rush_att,0,,,,,
player,201210140rav,rav,SmitTo02,rush_yds,0,,,,,
player,201210140rav,rav,SmitTo02,rush_td,0,,,,,
player,201210140rav,rav,SmitTo02,rush_long,0,,,,,
player,201210140rav,rav,SmitTo02,targets,4,,,,,
player,201210140rav,rav,SmitTo02,rec,2,,,,,
player,201210140rav,rav,SmitTo02,rec_yds,24,,,,,
player,201210140rav,rav,SmitTo02,rec_td,1,,,,,
player,201210140rav,rav,SmitTo02,rec_long,19,,,,,
player,201210140rav,rav,SmitTo02,fumbles,0,,,,,
player,201210140rav,rav,SmitTo02,fumbles_lost,0,,,,,
player,201210140rav,rav,JoneJa03,pass_cmp,0,,,,,
player,201210140rav,rav,JoneJa03,pass_att,0,,,,,
player,201210140rav,rav,JoneJa03,pass_yds,0,,,,,
player,201210140rav,rav,JoneJa03,pass_td,0,,,,,
player,201210140rav,rav,JoneJa03,pass_int,0,,,,,
player,201210140rav,rav,JoneJa03,pass_sacked,0,,,,,
player,201210140rav,rav,JoneJa03,pass_sacked_yds,0,,,,,
player,201210140rav,rav,JoneJa03,pass_long,0,,,,,
player,201210140rav,rav,JoneJa03,pass_rating,,,,,,
player,201210140rav,rav,JoneJa03,rush_att,0,,,,,
player,201210140rav,rav,JoneJa03,rush_yds,0,,,,,
player,201210140rav,rav,JoneJa03,rush_td,0,,,,,
player,201210140rav,rav,JoneJa03,rush_long,0,,,,,
player,201210140rav,rav,JoneJa03,targets,3,,,,,
player,201210140rav,rav,JoneJa03,rec,2,,,,,
player,201210140rav,rav,JoneJa03,rec_yds,15,,,,,
player,201210140rav,rav,JoneJa03,rec_td,0,,,,,
player,201210140rav,rav,JoneJa03,rec_long,10,,,,,
player,201210140rav,rav,JoneJa03,fumbles,0,,,,,
player,201210140rav,rav,JoneJa03,fumbles_lost,0,,,,,
player,201210140rav,rav,DickEd00,pass_cmp,0,,,,,
player,201210140rav,rav,DickEd00,pass_att,0,,,,,
player,201210140rav,rav,DickEd00,pass_yds,0,,,,,
player,201210140rav,rav,DickEd00,pass_td,0,,,,,
player,201210140rav,rav,DickEd00,pass_int,0,,,,,
player,201210140rav,rav,DickEd00,pass_sacked,0,,,,,
player,201210140rav,rav,DickEd00,pass_sacked_yds,0,,,,,
player,201210140rav,rav,DickEd00,pass_long,0,,,,,
player,201210140rav,rav,DickEd00,pass_rating,,,,,,
player,201210140rav,rav,DickEd00,rush_att,0,,,,,
player,201210140rav,rav,DickEd00,rush_yds,0,,,,,
player,201210140rav,rav,DickEd00,rush_td,0,,,,,
player,201210140rav,rav,DickEd00,rush_long,0,,,,,
player,201210140rav,rav,DickEd00,targets,2,,,,,
player,201210140rav,rav,DickEd00,rec,1,,,,,
player,201210140rav,rav,DickEd00,rec_yds,8,,,,,
player,201210140rav,rav,DickEd00,rec_td,0,,,,,
player,201210140rav,rav,DickEd00,rec_long,8,,,,,
player,201210140rav,rav,DickEd00,fumbles,0,,,,,
player,201210140rav,rav,DickEd00,fumbles_lost,0,,,,,
player,201210140rav,rav,LeacVo00,pass_cmp,0,,,,,
player,201210140rav,rav,LeacVo00,pass_att,0,,,,,
player,201210140rav,rav,LeacVo00,pass_yds,0,,,,,
player,201210140rav,rav,LeacVo00,pass_td,0,,,,,
player,201210140rav,rav,LeacVo00,pass_int,0,,,,,
player,201210140rav,rav,LeacVo00,pass_sacked,0,,,,,
player,201210140rav,rav,LeacVo00,pass_sacked_yds,0,,,,,
player,201210140rav,rav,LeacVo00,pass_long,0,,,,,
player,201210140rav,rav,LeacVo00,pass_rating,,,,,,
player,201210140rav,rav,LeacVo00,rush_att,0,,,,,
player,201210140rav,rav,LeacVo00,rush_yds,0,,,,,
player,201210140rav,rav,LeacVo00,rush_td,0,,,,,
player,201210140rav,rav,LeacVo00,rush_long,0,,,,,
player,201210140rav,rav,LeacVo00,targets,1,,,,,
player,201210140rav,rav,LeacVo00,rec,1,,,,,
player,201210140rav,rav,LeacVo00,rec_yds,7,,,,,
player,201210140rav,rav,LeacVo00,rec_td,0,,,,,
player,201210140rav,rav,LeacVo00,rec_long,7,,,,,
player,201210140rav,rav,LeacVo00,fumbles,0,,,,,
player,201210140rav,rav,LeacVo00,fumbles_lost,0,,,,,
player,201210140rav,dal,WareDe99,def_int,0,,,,,
player,201210140rav,dal,WareDe99,def_int_yds,0,,,,,
player,201210140rav,dal,WareDe99,def_int_td,0,,,,,
player,201210140rav,dal,WareDe99,def_int_long,0,,,,,
player,201210140rav,dal,WareDe99,pass_defended,0,,,,,
player,201210140rav,dal,WareDe99,sacks,1.0,,,,,
player,201210140rav,dal,WareDe99,tackles_combined,1,,,,,
player,201210140rav,dal,WareDe99,tackles_solo,1,,,,,
player,201210140rav,dal,WareDe99,tackles_assists,0,,,,,
player,201210140rav,dal,WareDe99,tackles_loss,1,,,,,
player,201210140rav,dal,WareDe99,qb_hits,1,,,,,
player,201210140rav,dal,WareDe99,fumbles_rec,0,,,,,
player,201210140rav,dal,WareDe99,fumbles_rec_yds,0,,,,,
player,201210140rav,dal,WareDe99,fumbles_rec_td,0,,,,,
player,201210140rav,dal,WareDe99,fumbles_forced,0,,,,,
player,201210140rav,dal,McCrDa00,def_int,0,,,,,
player,201210140rav,dal,McCrDa00,def_int_yds,0,,,,,
player,201210140rav,dal,McCrDa00,def_int_td,0,,,,,
player,201210140rav,dal,McCrDa00,def_int_long,0,,,,,
player,201210140rav,dal,McCrDa00,pass_defended,0,,,,,
player,201210140rav,dal,McCrDa00,sacks,0.0,,,,,
player,201210140rav,dal,McCrDa00,tackles_combined,7,,,,,
player,201210140rav,dal,McCrDa00,tackles_solo,6,,,,,
player,201210140rav,dal,McCrDa00,tackles_assists,1,,,,,
player,201210140rav,dal,McCrDa00,tackles_loss,0,,,,,
player,201210140rav,dal,McCrDa00,qb_hits,0,,,,,
player,201210140rav,dal,McCrDa00,fumbles_rec,0,,,,,
player,201210140rav,dal,McCrDa00,fumbles_rec_yds,0,,,,,
player,201210140rav,dal,McCrDa00,fumbles_rec_td,0,,,,,
player,201210140rav,dal,McCrDa00,fumbles_forced,0,,,,,
player,201210140rav,dal,ButlVi99,def_int,0,,,,,
player,201210140rav,dal,ButlVi99,def_int_yds,0,,,,,
player,201210140rav,dal,ButlVi99,def_int_td,0,,,,,
player,201210140rav,dal,ButlVi99,def_int_long,0,,,,,
