game,2012,5,20121007,201210070clt,gnb,"Green Bay Packers",27,clt,"Indianapolis Colts",30
player,201210070clt,gnb,KuhnJo00,rec,1,,,,,
player,201210070clt,gnb,KuhnJo00,rec_yds,6,,,,,
player,201210070clt,gnb,KuhnJo00,rec_td,0,,,,,
player,201210070clt,gnb,KuhnJo00,rec_long,6,,,,,
player,201210070clt,gnb,KuhnJo00,fumbles,0,,,,,
player,201210070clt,gnb,KuhnJo00,fumbles_lost,0,,,,,
player,201210070clt,gnb,CobbRa00,pass_cmp,0,,,,,
player,201210070clt,gnb,CobbRa00,pass_att,0,,,,,
player,201210070clt,gnb,CobbRa00,pass_yds,0,,,,,
player,201210070clt,gnb,CobbRa00,pass_td,0,,,,,
player,201210070clt,gnb,CobbRa00,pass_int,0,,,,,
player,201210070clt,gnb,CobbRa00,pass_sacked,0,,,,,
player,201210070clt,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201210070clt,gnb,CobbRa00,pass_long,0,,,,,
player,201210070clt,gnb,CobbRa00,pass_rating,,,,,,
player,201210070clt,gnb,CobbRa00,rush_att,0,,,,,
player,201210070clt,gnb,CobbRa00,rush_yds,0,,,,,
player,201210070clt,gnb,CobbRa00,rush_td,0,,,,,
player,201210070clt,gnb,CobbRa00,rush_long,0,,,,,
player,201210070clt,gnb,CobbRa00,targets,4,,,,,
player,201210070clt,gnb,CobbRa00,rec,4,,,,,
player,201210070clt,gnb,CobbRa00,rec_yds,82,,,,,
player,201210070clt,gnb,CobbRa00,rec_td,1,,,,,
player,201210070clt,gnb,CobbRa00,rec_long,31,,,,,
player,201210070clt,gnb,CobbRa00,fumbles,0,,,,,
player,201210070clt,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201210070clt,gnb,JoneJa04,pass_cmp,0,,,,,
player,201210070clt,gnb,JoneJa04,pass_att,0,,,,,
player,201210070clt,gnb,JoneJa04,pass_yds,0,,,,,
player,201210070clt,gnb,JoneJa04,pass_td,0,,,,,
player,201210070clt,gnb,JoneJa04,pass_int,0,,,,,
player,201210070clt,gnb,JoneJa04,pass_sacked,0,,,,,
player,201210070clt,gnb,JoneJa04,pass_sacked_yds,0,,,,,
player,201210070clt,gnb,JoneJa04,pass_long,0,,,,,
player,201210070clt,gnb,JoneJa04,pass_rating,,,,,,
player,201210070clt,gnb,JoneJa04,rush_att,0,,,,,
player,201210070clt,gnb,JoneJa04,rush_yds,0,,,,,
player,201210070clt,gnb,JoneJa04,rush_td,0,,,,,
