game,2012,14,20121209,201212090car,atl,"Atlanta Falcons",20,car,"Carolina Panthers",30
player,201212090car,atl,GonzTo00,fumbles_lost,0,,,,,
player,201212090car,atl,DougHa00,pass_cmp,0,,,,,
player,201212090car,atl,DougHa00,pass_att,0,,,,,
player,201212090car,atl,DougHa00,pass_yds,0,,,,,
player,201212090car,atl,DougHa00,pass_td,0,,,,,
player,201212090car,atl,DougHa00,pass_int,0,,,,,
player,201212090car,atl,DougHa00,pass_sacked,0,,,,,
player,201212090car,atl,DougHa00,pass_sacked_yds,0,,,,,
player,201212090car,atl,DougHa00,pass_long,0,,,,,
player,201212090car,atl,DougHa00,pass_rating,,,,,,
player,201212090car,atl,DougHa00,rush_att,0,,,,,
player,201212090car,atl,DougHa00,rush_yds,0,,,,,
player,201212090car,atl,DougHa00,rush_td,0,,,,,
player,201212090car,atl,DougHa00,rush_long,0,,,,,
player,201212090car,atl,DougHa00,targets,3,,,,,
player,201212090car,atl,DougHa00,rec,2,,,,,
player,201212090car,atl,DougHa00,rec_yds,28,,,,,
player,201212090car,atl,DougHa00,rec_td,0,,,,,
player,201212090car,atl,DougHa00,rec_long,19,,,,,
player,201212090car,atl,DougHa00,fumbles,0,,,,,
player,201212090car,atl,DougHa00,fumbles_lost,0,,,,,
player,201212090car,atl,CoffCh00,pass_cmp,0,,,,,
player,201212090car,atl,CoffCh00,pass_att,0,,,,,
player,201212090car,atl,CoffCh00,pass_yds,0,,,,,
player,201212090car,atl,CoffCh00,pass_td,0,,,,,
player,201212090car,atl,CoffCh00,pass_int,0,,,,,
player,201212090car,atl,CoffCh00,pass_sacked,0,,,,,
player,201212090car,atl,CoffCh00,pass_sacked_yds,0,,,,,
player,201212090car,atl,CoffCh00,pass_long,0,,,,,
player,201212090car,atl,CoffCh00,pass_rating,,,,,,
player,201212090car,atl,CoffCh00,rush_att,0,,,,,
player,201212090car,atl,CoffCh00,rush_yds,0,,,,,
player,201212090car,atl,CoffCh00,rush_td,0,,,,,
player,201212090car,atl,CoffCh00,rush_long,0,,,,,
player,201212090car,atl,CoffCh00,targets,1,,,,,
player,201212090car,atl,CoffCh00,rec,1,,,,,
player,201212090car,atl,CoffCh00,rec_yds,12,,,,,
player,201212090car,atl,CoffCh00,rec_td,0,,,,,
player,201212090car,atl,CoffCh00,rec_long,11,,,,,
player,201212090car,atl,CoffCh00,fumbles,0,,,,,
player,201212090car,atl,CoffCh00,fumbles_lost,0,,,,,
player,201212090car,atl,DaviDr00,pass_cmp,0,,,,,
player,201212090car,atl,DaviDr00,pass_att,0,,,,,
player,201212090car,atl,DaviDr00,pass_yds,0,,,,,
player,201212090car,atl,DaviDr00,pass_td,0,,,,,
player,201212090car,atl,DaviDr00,pass_int,0,,,,,
player,201212090car,atl,DaviDr00,pass_sacked,0,,,,,
player,201212090car,atl,DaviDr00,pass_sacked_yds,0,,,,,
player,201212090car,atl,DaviDr00,pass_long,0,,,,,
player,201212090car,atl,DaviDr00,pass_rating,,,,,,
player,201212090car,atl,DaviDr00,rush_att,0,,,,,
player,201212090car,atl,DaviDr00,rush_yds,0,,,,,
