game,2012,1,20120909,201209090kan,atl,"Atlanta Falcons",40,kan,"Kansas City Chiefs",24
player,201209090kan,atl,SnelJa00,rush_att,2,,,,,
player,201209090kan,atl,SnelJa00,rush_yds,5,,,,,
player,201209090kan,atl,SnelJa00,rush_td,0,,,,,
player,201209090kan,atl,SnelJa00,rush_long,3,,,,,
player,201209090kan,atl,SnelJa00,targets,0,,,,,
player,201209090kan,atl,SnelJa00,rec,0,,,,,
player,201209090kan,atl,SnelJa00,rec_yds,0,,,,,
player,201209090kan,atl,SnelJa00,rec_td,0,,,,,
player,201209090kan,atl,SnelJa00,rec_long,0,,,,,
player,201209090kan,atl,SnelJa00,fumbles,0,,,,,
player,201209090kan,atl,SnelJa00,fumbles_lost,0,,,,,
player,201209090kan,atl,JoneJu02,pass_cmp,0,,,,,
player,201209090kan,atl,JoneJu02,pass_att,0,,,,,
player,201209090kan,atl,JoneJu02,pass_yds,0,,,,,
player,201209090kan,atl,JoneJu02,pass_td,0,,,,,
player,201209090kan,atl,JoneJu02,pass_int,0,,,,,
player,201209090kan,atl,JoneJu02,pass_sacked,0,,,,,
player,201209090kan,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201209090kan,atl,JoneJu02,pass_long,0,,,,,
player,201209090kan,atl,JoneJu02,pass_rating,,,,,,
player,201209090kan,atl,JoneJu02,rush_att,0,,,,,
player,201209090kan,atl,JoneJu02,rush_yds,0,,,,,
player,201209090kan,atl,JoneJu02,rush_td,0,,,,,
player,201209090kan,atl,JoneJu02,rush_long,0,,,,,
player,201209090kan,atl,JoneJu02,targets,9,,,,,
player,201209090kan,atl,JoneJu02,rec,6,,,,,
player,201209090kan,atl,JoneJu02,rec_yds,108,,,,,
player,201209090kan,atl,JoneJu02,rec_td,2,,,,,
player,201209090kan,atl,JoneJu02,rec_long,31,,,,,
player,201209090kan,atl,JoneJu02,fumbles,0,,,,,
player,201209090kan,atl,JoneJu02,fumbles_lost,0,,,,,
player,201209090kan,atl,WhitRo00,pass_cmp,0,,,,,
player,201209090kan,atl,WhitRo00,pass_att,0,,,,,
player,201209090kan,atl,WhitRo00,pass_yds,0,,,,,
player,201209090kan,atl,WhitRo00,pass_td,0,,,,,
player,201209090kan,atl,WhitRo00,pass_int,0,,,,,
player,201209090kan,atl,WhitRo00,pass_sacked,0,,,,,
player,201209090kan,atl,WhitRo00,pass_sacked_yds,0,,,,,
player,201209090kan,atl,WhitRo00,pass_long,0,,,,,
player,201209090kan,atl,WhitRo00,pass_rating,,,,,,
player,201209090kan,atl,WhitRo00,rush_att,0,,,,,
player,201209090kan,atl,WhitRo00,rush_yds,0,,,,,
player,201209090kan,atl,WhitRo00,rush_td,0,,,,,
player,201209090kan,atl,WhitRo00,rush_long,0,,,,,
player,201209090kan,atl,WhitRo00,targets,8,,,,,
player,201209090kan,atl,WhitRo00,rec,6,,,,,
player,201209090kan,atl,WhitRo00,rec_yds,87,,,,,
player,201209090kan,atl,WhitRo00,rec_td,0,,,,,
player,201209090kan,atl,WhitRo00,rec_long,26,,,,,
player,201209090kan,atl,WhitRo00,fumbles,0,,,,,
player,201209090kan,atl,WhitRo00,fumbles_lost,0,,,,,
player,201209090kan,atl,GonzTo00,pass_cmp,0,,,,,
player,201209090kan,atl,GonzTo00,pass_att,0,,,,,
player,201209090kan,atl,GonzTo00,pass_yds,0,,,,,
player,201209090kan,atl,GonzTo00,pass_td,0,,,,,
player,201209090kan,atl,GonzTo00,pass_int,0,,,,,
player,201209090kan,atl,GonzTo00,pass_sacked,0,,,,,
player,201209090kan,atl,GonzTo00,pass_sacked_yds,0,,,,,
player,201209090kan,atl,GonzTo00,pass_long,0,,,,,
player,201209090kan,atl,GonzTo00,pass_rating,,,,,,
player,201209090kan,atl,GonzTo00,rush_att,0,,,,,
player,201209090kan,atl,GonzTo00,rush_yds,0,,,,,
player,201209090kan,atl,GonzTo00,rush_td,0,,,,,
player,201209090kan,atl,GonzTo00,rush_long,0,,,,,
player,201209090kan,atl,GonzTo00,targets,6,,,,,
player,201209090kan,atl,GonzTo00,rec,5,,,,,
player,201209090kan,atl,GonzTo00,rec_yds,53,,,,,
player,201209090kan,atl,GonzTo00,rec_td,1,,,,,
player,201209090kan,atl,GonzTo00,rec_long,25,,,,,
player,201209090kan,atl,GonzTo00,fumbles,0,,,,,
player,201209090kan,atl,GonzTo00,fumbles_lost,0,,,,,
player,201209090kan,atl,DougHa00,pass_cmp,0,,,,,
player,201209090kan,atl,DougHa00,pass_att,0,,,,,
player,201209090kan,atl,DougHa00,pass_yds,0,,,,,
player,201209090kan,atl,DougHa00,pass_td,0,,,,,
player,201209090kan,atl,DougHa00,pass_int,0,,,,,
player,201209090kan,atl,DougHa00,pass_sacked,0,,,,,
player,201209090kan,atl,DougHa00,pass_sacked_yds,0,,,,,
player,201209090kan,atl,DougHa00,pass_long,0,,,,,
player,201209090kan,atl,DougHa00,pass_rating,,,,,,
player,201209090kan,atl,DougHa00,rush_att,0,,,,,
player,201209090kan,atl,DougHa00,rush_yds,0,,,,,
player,201209090kan,atl,DougHa00,rush_td,0,,,,,
player,201209090kan,atl,DougHa00,rush_long,0,,,,,
player,201209090kan,atl,DougHa00,targets,4,,,,,
player,201209090kan,atl,DougHa00,rec,3,,,,,
player,201209090kan,atl,DougHa00,rec_yds,32,,,,,
player,201209090kan,atl,DougHa00,rec_td,0,,,,,
player,201209090kan,atl,DougHa00,rec_long,19,,,,,
player,201209090kan,atl,DougHa00,fumbles,1,,,,,
player,201209090kan,atl,DougHa00,fumbles_lost,0,,,,,
player,201209090kan,atl,PalmMi00,pass_cmp,0,,,,,
player,201209090kan,atl,PalmMi00,pass_att,0,,,,,
player,201209090kan,atl,PalmMi00,pass_yds,0,,,,,
player,201209090kan,atl,PalmMi00,pass_td,0,,,,,
player,201209090kan,atl,PalmMi00,pass_int,0,,,,,
player,201209090kan,atl,PalmMi00,pass_sacked,0,,,,,
player,201209090kan,atl,PalmMi00,pass_sacked_yds,0,,,,,
player,201209090kan,atl,PalmMi00,pass_long,0,,,,,
player,201209090kan,atl,PalmMi00,pass_rating,,,,,,
player,201209090kan,atl,PalmMi00,rush_att,0,,,,,
player,201209090kan,atl,PalmMi00,rush_yds,0,,,,,
player,201209090kan,atl,PalmMi00,rush_td,0,,,,,
player,201209090kan,atl,PalmMi00,rush_long,0,,,,,
player,201209090kan,atl,PalmMi00,targets,1,,,,,
player,201209090kan,atl,PalmMi00,rec,1,,,,,
player,201209090kan,atl,PalmMi00,rec_yds,6,,,,,
player,201209090kan,atl,PalmMi00,rec_td,0,,,,,
player,201209090kan,atl,PalmMi00,rec_long,6,,,,,
player,201209090kan,atl,PalmMi00,fumbles,0,,,,,
player,201209090kan,atl,PalmMi00,fumbles_lost,0,,,,,
player,201209090kan,atl,PoliLo00,pass_cmp,0,,,,,
player,201209090kan,atl,PoliLo00,pass_att,0,,,,,
player,201209090kan,atl,PoliLo00,pass_yds,0,,,,,
player,201209090kan,atl,PoliLo00,pass_td,0,,,,,
player,201209090kan,atl,PoliLo00,pass_int,0,,,,,
player,201209090kan,atl,PoliLo00,pass_sacked,0,,,,,
player,201209090kan,atl,PoliLo00,pass_sacked_yds,0,,,,,
player,201209090kan,atl,PoliLo00,pass_long,0,,,,,
player,201209090kan,atl,PoliLo00,pass_rating,,,,,,
player,201209090kan,atl,PoliLo00,rush_att,0,,,,,
player,201209090kan,atl,PoliLo00,rush_yds,0,,,,,
player,201209090kan,atl,PoliLo00,rush_td,0,,,,,
player,201209090kan,atl,PoliLo00,rush_long,0,,,,,
player,201209090kan,atl,PoliLo00,targets,1,,,,,
player,201209090kan,atl,PoliLo00,rec,0,,,,,
player,201209090kan,atl,PoliLo00,rec_yds,0,,,,,
player,201209090kan,atl,PoliLo00,rec_td,0,,,,,
player,201209090kan,atl,PoliLo00,rec_long,0,,,,,
player,201209090kan,atl,PoliLo00,fumbles,0,,,,,
player,201209090kan,atl,PoliLo00,fumbles_lost,0,,,,,
player,201209090kan,kan,CassMa00,pass_cmp,21,,,,,
player,201209090kan,kan,CassMa00,pass_att,33,,,,,
player,201209090kan,kan,CassMa00,pass_yds,258,,,,,
player,201209090kan,kan,CassMa00,pass_td,1,,,,,
player,201209090kan,kan,CassMa00,pass_int,2,,,,,
player,201209090kan,kan,CassMa00,pass_sacked,3,,,,,
player,201209090kan,kan,CassMa00,pass_sacked_yds,17,,,,,
player,201209090kan,kan,CassMa00,pass_long,24,,,,,
player,201209090kan,kan,CassMa00,pass_rating,72.5,,,,,
player,201209090kan,kan,CassMa00,rush_att,4,,,,,
player,201209090kan,kan,CassMa00,rush_yds,20,,,,,
player,201209090kan,kan,CassMa00,rush_td,1,,,,,
player,201209090kan,kan,CassMa00,rush_long,13,,,,,
player,201209090kan,kan,CassMa00,targets,0,,,,,
player,201209090kan,kan,CassMa00,rec,0,,,,,
player,201209090kan,kan,CassMa00,rec_yds,0,,,,,
player,201209090kan,kan,CassMa00,rec_td,0,,,,,
player,201209090kan,kan,CassMa00,rec_long,0,,,,,
player,201209090kan,kan,CassMa00,fumbles,1,,,,,
player,201209090kan,kan,CassMa00,fumbles_lost,1,,,,,
player,201209090kan,kan,CharJa00,pass_cmp,0,,,,,
player,201209090kan,kan,CharJa00,pass_att,0,,,,,
player,201209090kan,kan,CharJa00,pass_yds,0,,,,,
player,201209090kan,kan,CharJa00,pass_td,0,,,,,
player,201209090kan,kan,CharJa00,pass_int,0,,,,,
player,201209090kan,kan,CharJa00,pass_sacked,0,,,,,
player,201209090kan,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201209090kan,kan,CharJa00,pass_long,0,,,,,
player,201209090kan,kan,CharJa00,pass_rating,,,,,,
player,201209090kan,kan,CharJa00,rush_att,16,,,,,
player,201209090kan,kan,CharJa00,rush_yds,87,,,,,
player,201209090kan,kan,CharJa00,rush_td,0,,,,,
player,201209090kan,kan,CharJa00,rush_long,46,,,,,
player,201209090kan,kan,CharJa00,targets,0,,,,,
player,201209090kan,kan,CharJa00,rec,0,,,,,
player,201209090kan,kan,CharJa00,rec_yds,0,,,,,
player,201209090kan,kan,CharJa00,rec_td,0,,,,,
player,201209090kan,kan,CharJa00,rec_long,0,,,,,
player,201209090kan,kan,CharJa00,fumbles,0,,,,,
player,201209090kan,kan,CharJa00,fumbles_lost,0,,,,,
player,201209090kan,kan,DrauSh00,pass_cmp,0,,,,,
player,201209090kan,kan,DrauSh00,pass_att,0,,,,,
player,201209090kan,kan,DrauSh00,pass_yds,0,,,,,
player,201209090kan,kan,DrauSh00,pass_td,0,,,,,
player,201209090kan,kan,DrauSh00,pass_int,0,,,,,
player,201209090kan,kan,DrauSh00,pass_sacked,0,,,,,
player,201209090kan,kan,DrauSh00,pass_sacked_yds,0,,,,,
player,201209090kan,kan,DrauSh00,pass_long,0,,,,,
player,201209090kan,kan,DrauSh00,pass_rating,,,,,,
player,201209090kan,kan,DrauSh00,rush_att,6,,,,,
player,201209090kan,kan,DrauSh00,rush_yds,29,,,,,
player,201209090kan,kan,DrauSh00,rush_td,1,,,,,
player,201209090kan,kan,DrauSh00,rush_long,14,,,,,
player,201209090kan,kan,DrauSh00,targets,2,,,,,
player,201209090kan,kan,DrauSh00,rec,2,,,,,
player,201209090kan,kan,DrauSh00,rec_yds,12,,,,,
player,201209090kan,kan,DrauSh00,rec_td,0,,,,,
player,201209090kan,kan,DrauSh00,rec_long,9,,,,,
player,201209090kan,kan,DrauSh00,fumbles,0,,,,,
player,201209090kan,kan,DrauSh00,fumbles_lost,0,,,,,
player,201209090kan,kan,HillPe00,pass_cmp,0,,,,,
player,201209090kan,kan,HillPe00,pass_att,0,,,,,
player,201209090kan,kan,HillPe00,pass_yds,0,,,,,
player,201209090kan,kan,HillPe00,pass_td,0,,,,,
player,201209090kan,kan,HillPe00,pass_int,0,,,,,
player,201209090kan,kan,HillPe00,pass_sacked,0,,,,,
player,201209090kan,kan,HillPe00,pass_sacked_yds,0,,,,,
player,201209090kan,kan,HillPe00,pass_long,0,,,,,
player,201209090kan,kan,HillPe00,pass_rating,,,,,,
player,201209090kan,kan,HillPe00,rush_att,7,,,,,
player,201209090kan,kan,HillPe00,rush_yds,16,,,,,
player,201209090kan,kan,HillPe00,rush_td,0,,,,,
player,201209090kan,kan,HillPe00,rush_long,7,,,,,
player,201209090kan,kan,HillPe00,targets,3,,,,,
player,201209090kan,kan,HillPe00,rec,3,,,,,
player,201209090kan,kan,HillPe00,rec_yds,8,,,,,
player,201209090kan,kan,HillPe00,rec_td,0,,,,,
player,201209090kan,kan,HillPe00,rec_long,4,,,,,
player,201209090kan,kan,HillPe00,fumbles,0,,,,,
player,201209090kan,kan,HillPe00,fumbles_lost,0,,,,,
player,201209090kan,kan,McClDe00,pass_cmp,0,,,,,
player,201209090kan,kan,McClDe00,pass_att,0,,,,,
player,201209090kan,kan,McClDe00,pass_yds,0,,,,,
player,201209090kan,kan,McClDe00,pass_td,0,,,,,
player,201209090kan,kan,McClDe00,pass_int,0,,,,,
player,201209090kan,kan,McClDe00,pass_sacked,0,,,,,
player,201209090kan,kan,McClDe00,pass_sacked_yds,0,,,,,
player,201209090kan,kan,McClDe00,pass_long,0,,,,,
player,201209090kan,kan,McClDe00,pass_rating,,,,,,
player,201209090kan,kan,McClDe00,rush_att,0,,,,,
player,201209090kan,kan,McClDe00,rush_yds,0,,,,,
player,201209090kan,kan,McClDe00,rush_td,0,,,,,
player,201209090kan,kan,McClDe00,rush_long,0,,,,,
player,201209090kan,kan,McClDe00,targets,10,,,,,
player,201209090kan,kan,McClDe00,rec,6,,,,,
player,201209090kan,kan,McClDe00,rec_yds,82,,,,,
player,201209090kan,kan,McClDe00,rec_td,0,,,,,
player,201209090kan,kan,McClDe00,rec_long,21,,,,,
player,201209090kan,kan,McClDe00,fumbles,0,,,,,
player,201209090kan,kan,McClDe00,fumbles_lost,0,,,,,
player,201209090kan,kan,BoweDw00,pass_cmp,0,,,,,
player,201209090kan,kan,BoweDw00,pass_att,0,,,,,
player,201209090kan,kan,BoweDw00,pass_yds,0,,,,,
player,201209090kan,kan,BoweDw00,pass_td,0,,,,,
player,201209090kan,kan,BoweDw00,pass_int,0,,,,,
player,201209090kan,kan,BoweDw00,pass_sacked,0,,,,,
player,201209090kan,kan,BoweDw00,pass_sacked_yds,0,,,,,
player,201209090kan,kan,BoweDw00,pass_long,0,,,,,
player,201209090kan,kan,BoweDw00,pass_rating,,,,,,
player,201209090kan,kan,BoweDw00,rush_att,0,,,,,
player,201209090kan,kan,BoweDw00,rush_yds,0,,,,,
player,201209090kan,kan,BoweDw00,rush_td,0,,,,,
player,201209090kan,kan,BoweDw00,rush_long,0,,,,,
player,201209090kan,kan,BoweDw00,targets,6,,,,,
player,201209090kan,kan,BoweDw00,rec,3,,,,,
player,201209090kan,kan,BoweDw00,rec_yds,53,,,,,
player,201209090kan,kan,BoweDw00,rec_td,0,,,,,
player,201209090kan,kan,BoweDw00,rec_long,23,,,,,
player,201209090kan,kan,BoweDw00,fumbles,0,,,,,
player,201209090kan,kan,BoweDw00,fumbles_lost,0,,,,,
player,201209090kan,kan,MoeaTo00,pass_cmp,0,,,,,
player,201209090kan,kan,MoeaTo00,pass_att,0,,,,,
player,201209090kan,kan,MoeaTo00,pass_yds,0,,,,,
player,201209090kan,kan,MoeaTo00,pass_td,0,,,,,
player,201209090kan,kan,MoeaTo00,pass_int,0,,,,,
player,201209090kan,kan,MoeaTo00,pass_sacked,0,,,,,
player,201209090kan,kan,MoeaTo00,pass_sacked_yds,0,,,,,
player,201209090kan,kan,MoeaTo00,pass_long,0,,,,,
player,201209090kan,kan,MoeaTo00,pass_rating,,,,,,
player,201209090kan,kan,MoeaTo00,rush_att,0,,,,,
player,201209090kan,kan,MoeaTo00,rush_yds,0,,,,,
player,201209090kan,kan,MoeaTo00,rush_td,0,,,,,
player,201209090kan,kan,MoeaTo00,rush_long,0,,,,,
player,201209090kan,kan,MoeaTo00,targets,6,,,,,
player,201209090kan,kan,MoeaTo00,rec,3,,,,,
player,201209090kan,kan,MoeaTo00,rec_yds,37,,,,,
player,201209090kan,kan,MoeaTo00,rec_td,0,,,,,
player,201209090kan,kan,MoeaTo00,rec_long,18,,,,,
player,201209090kan,kan,MoeaTo00,fumbles,0,,,,,
player,201209090kan,kan,MoeaTo00,fumbles_lost,0,,,,,
player,201209090kan,kan,BossKe00,pass_cmp,0,,,,,
player,201209090kan,kan,BossKe00,pass_att,0,,,,,
player,201209090kan,kan,BossKe00,pass_yds,0,,,,,
player,201209090kan,kan,BossKe00,pass_td,0,,,,,
player,201209090kan,kan,BossKe00,pass_int,0,,,,,
player,201209090kan,kan,BossKe00,pass_sacked,0,,,,,
player,201209090kan,kan,BossKe00,pass_sacked_yds,0,,,,,
player,201209090kan,kan,BossKe00,pass_long,0,,,,,
player,201209090kan,kan,BossKe00,pass_rating,,,,,,
player,201209090kan,kan,BossKe00,rush_att,0,,,,,
player,201209090kan,kan,BossKe00,rush_yds,0,,,,,
player,201209090kan,kan,BossKe00,rush_td,0,,,,,
player,201209090kan,kan,BossKe00,rush_long,0,,,,,
player,201209090kan,kan,BossKe00,targets,2,,,,,
player,201209090kan,kan,BossKe00,rec,2,,,,,
player,201209090kan,kan,BossKe00,rec_yds,36,,,,,
player,201209090kan,kan,BossKe00,rec_td,1,,,,,
player,201209090kan,kan,BossKe00,rec_long,22,,,,,
player,201209090kan,kan,BossKe00,fumbles,0,,,,,
player,201209090kan,kan,BossKe00,fumbles_lost,0,,,,,
player,201209090kan,kan,BreaSt00,pass_cmp,0,,,,,
player,201209090kan,kan,BreaSt00,pass_att,0,,,,,
player,201209090kan,kan,BreaSt00,pass_yds,0,,,,,
player,201209090kan,kan,BreaSt00,pass_td,0,,,,,
player,201209090kan,kan,BreaSt00,pass_int,0,,,,,
player,201209090kan,kan,BreaSt00,pass_sacked,0,,,,,
player,201209090kan,kan,BreaSt00,pass_sacked_yds,0,,,,,
player,201209090kan,kan,BreaSt00,pass_long,0,,,,,
player,201209090kan,kan,BreaSt00,pass_rating,,,,,,
player,201209090kan,kan,BreaSt00,rush_att,0,,,,,
player,201209090kan,kan,BreaSt00,rush_yds,0,,,,,
player,201209090kan,kan,BreaSt00,rush_td,0,,,,,
player,201209090kan,kan,BreaSt00,rush_long,0,,,,,
player,201209090kan,kan,BreaSt00,targets,4,,,,,
player,201209090kan,kan,BreaSt00,rec,2,,,,,
player,201209090kan,kan,BreaSt00,rec_yds,30,,,,,
player,201209090kan,kan,BreaSt00,rec_td,0,,,,,
player,201209090kan,kan,BreaSt00,rec_long,24,,,,,
player,201209090kan,kan,BreaSt00,fumbles,0,,,,,
player,201209090kan,kan,BreaSt00,fumbles_lost,0,,,,,
player,201209090kan,atl,NichSt99,def_int,1,,,,,
player,201209090kan,atl,NichSt99,def_int_yds,3,,,,,
player,201209090kan,atl,NichSt99,def_int_td,0,,,,,
player,201209090kan,atl,NichSt99,def_int_long,3,,,,,
player,201209090kan,atl,NichSt99,pass_defended,2,,,,,
player,201209090kan,atl,NichSt99,sacks,0.0,,,,,
player,201209090kan,atl,NichSt99,tackles_combined,12,,,,,
player,201209090kan,atl,NichSt99,tackles_solo,10,,,,,
player,201209090kan,atl,NichSt99,tackles_assists,2,,,,,
player,201209090kan,atl,NichSt99,tackles_loss,0,,,,,
player,201209090kan,atl,NichSt99,qb_hits,0,,,,,
player,201209090kan,atl,NichSt99,fumbles_rec,1,,,,,
player,201209090kan,atl,NichSt99,fumbles_rec_yds,0,,,,,
player,201209090kan,atl,NichSt99,fumbles_rec_td,0,,,,,
player,201209090kan,atl,NichSt99,fumbles_forced,0,,,,,
player,201209090kan,atl,MoorWi99,def_int,1,,,,,
player,201209090kan,atl,MoorWi99,def_int_yds,2,,,,,
player,201209090kan,atl,MoorWi99,def_int_td,0,,,,,
player,201209090kan,atl,MoorWi99,def_int_long,2,,,,,
player,201209090kan,atl,MoorWi99,pass_defended,1,,,,,
player,201209090kan,atl,MoorWi99,sacks,0.0,,,,,
player,201209090kan,atl,MoorWi99,tackles_combined,7,,,,,
player,201209090kan,atl,MoorWi99,tackles_solo,7,,,,,
player,201209090kan,atl,MoorWi99,tackles_assists,0,,,,,
player,201209090kan,atl,MoorWi99,tackles_loss,1,,,,,
player,201209090kan,atl,MoorWi99,qb_hits,0,,,,,
player,201209090kan,atl,MoorWi99,fumbles_rec,0,,,,,
player,201209090kan,atl,MoorWi99,fumbles_rec_yds,0,,,,,
player,201209090kan,atl,MoorWi99,fumbles_rec_td,0,,,,,
player,201209090kan,atl,MoorWi99,fumbles_forced,0,,,,,
player,201209090kan,atl,WeatSe99,def_int,0,,,,,
player,201209090kan,atl,WeatSe99,def_int_yds,0,,,,,
player,201209090kan,atl,WeatSe99,def_int_td,0,,,,,
player,201209090kan,atl,WeatSe99,def_int_long,0,,,,,
player,201209090kan,atl,WeatSe99,pass_defended,1,,,,,
player,201209090kan,atl,WeatSe99,sacks,1.0,,,,,
player,201209090kan,atl,WeatSe99,tackles_combined,7,,,,,
player,201209090kan,atl,WeatSe99,tackles_solo,7,,,,,
player,201209090kan,atl,WeatSe99,tackles_assists,0,,,,,
player,201209090kan,atl,WeatSe99,tackles_loss,2,,,,,
player,201209090kan,atl,WeatSe99,qb_hits,2,,,,,
player,201209090kan,atl,WeatSe99,fumbles_rec,0,,,,,
player,201209090kan,atl,WeatSe99,fumbles_rec_yds,0,,,,,
player,201209090kan,atl,WeatSe99,fumbles_rec_td,0,,,,,
player,201209090kan,atl,WeatSe99,fumbles_forced,0,,,,,
player,201209090kan,atl,AbraJo00,def_int,0,,,,,
player,201209090kan,atl,AbraJo00,def_int_yds,0,,,,,
player,201209090kan,atl,AbraJo00,def_int_td,0,,,,,
player,201209090kan,atl,AbraJo00,def_int_long,0,,,,,
player,201209090kan,atl,AbraJo00,pass_defended,1,,,,,
player,201209090kan,atl,AbraJo00,sacks,1.0,,,,,
player,201209090kan,atl,AbraJo00,tackles_combined,3,,,,,
