game,2012,5,20121007,201210070nyg,cle,"Cleveland Browns",27,nyg,"New York Giants",41
player,201210070nyg,nyg,WilsDa01,rec_yds,0,,,,,
player,201210070nyg,nyg,WilsDa01,rec_td,0,,,,,
player,201210070nyg,nyg,WilsDa01,rec_long,0,,,,,
player,201210070nyg,nyg,WilsDa01,fumbles,0,,,,,
player,201210070nyg,nyg,WilsDa01,fumbles_lost,0,,,,,
player,201210070nyg,nyg,RandRu00,pass_cmp,0,,,,,
player,201210070nyg,nyg,RandRu00,pass_att,0,,,,,
player,201210070nyg,nyg,RandRu00,pass_yds,0,,,,,
player,201210070nyg,nyg,RandRu00,pass_td,0,,,,,
player,201210070nyg,nyg,RandRu00,pass_int,0,,,,,
player,201210070nyg,nyg,RandRu00,pass_sacked,0,,,,,
player,201210070nyg,nyg,RandRu00,pass_sacked_yds,0,,,,,
player,201210070nyg,nyg,RandRu00,pass_long,0,,,,,
player,201210070nyg,nyg,RandRu00,pass_rating,,,,,,
player,201210070nyg,nyg,RandRu00,rush_att,0,,,,,
player,201210070nyg,nyg,RandRu00,rush_yds,0,,,,,
player,201210070nyg,nyg,RandRu00,rush_td,0,,,,,
player,201210070nyg,nyg,RandRu00,rush_long,0,,,,,
player,201210070nyg,nyg,RandRu00,targets,9,,,,,
player,201210070nyg,nyg,RandRu00,rec,6,,,,,
player,201210070nyg,nyg,RandRu00,rec_yds,82,,,,,
player,201210070nyg,nyg,RandRu00,rec_td,0,,,,,
player,201210070nyg,nyg,RandRu00,rec_long,36,,,,,
player,201210070nyg,nyg,RandRu00,fumbles,0,,,,,
player,201210070nyg,nyg,RandRu00,fumbles_lost,0,,,,,
player,201210070nyg,nyg,HixoDo00,pass_cmp,0,,,,,
player,201210070nyg,nyg,HixoDo00,pass_att,0,,,,,
player,201210070nyg,nyg,HixoDo00,pass_yds,0,,,,,
player,201210070nyg,nyg,HixoDo00,pass_td,0,,,,,
player,201210070nyg,nyg,HixoDo00,pass_int,0,,,,,
player,201210070nyg,nyg,HixoDo00,pass_sacked,0,,,,,
player,201210070nyg,nyg,HixoDo00,pass_sacked_yds,0,,,,,
player,201210070nyg,nyg,HixoDo00,pass_long,0,,,,,
player,201210070nyg,nyg,HixoDo00,pass_rating,,,,,,
player,201210070nyg,nyg,HixoDo00,rush_att,0,,,,,
player,201210070nyg,nyg,HixoDo00,rush_yds,0,,,,,
player,201210070nyg,nyg,HixoDo00,rush_td,0,,,,,
player,201210070nyg,nyg,HixoDo00,rush_long,0,,,,,
player,201210070nyg,nyg,HixoDo00,targets,8,,,,,
player,201210070nyg,nyg,HixoDo00,rec,5,,,,,
player,201210070nyg,nyg,HixoDo00,rec_yds,55,,,,,
player,201210070nyg,nyg,HixoDo00,rec_td,0,,,,,
player,201210070nyg,nyg,HixoDo00,rec_long,17,,,,,
player,201210070nyg,nyg,HixoDo00,fumbles,0,,,,,
player,201210070nyg,nyg,HixoDo00,fumbles_lost,0,,,,,
player,201210070nyg,nyg,CruzVi00,pass_cmp,0,,,,,
player,201210070nyg,nyg,CruzVi00,pass_att,0,,,,,
player,201210070nyg,nyg,CruzVi00,pass_yds,0,,,,,
player,201210070nyg,nyg,CruzVi00,pass_td,0,,,,,
player,201210070nyg,nyg,CruzVi00,pass_int,0,,,,,
player,201210070nyg,nyg,CruzVi00,pass_sacked,0,,,,,
player,201210070nyg,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201210070nyg,nyg,CruzVi00,pass_long,0,,,,,
player,201210070nyg,nyg,CruzVi00,pass_rating,,,,,,
player,201210070nyg,nyg,CruzVi00,rush_att,0,,,,,
player,201210070nyg,nyg,CruzVi00,rush_yds,0,,,,,
player,201210070nyg,nyg,CruzVi00,rush_td,0,,,,,
player,201210070nyg,nyg,CruzVi00,rush_long,0,,,,,
player,201210070nyg,nyg,CruzVi00,targets,8,,,,,
player,201210070nyg,nyg,CruzVi00,rec,5,,,,,
player,201210070nyg,nyg,CruzVi00,rec_yds,50,,,,,
player,201210070nyg,nyg,CruzVi00,rec_td,3,,,,,
player,201210070nyg,nyg,CruzVi00,rec_long,28,,,,,
player,201210070nyg,nyg,CruzVi00,fumbles,0,,,,,
player,201210070nyg,nyg,CruzVi00,fumbles_lost,0,,,,,
player,201210070nyg,nyg,BennMa00,pass_cmp,0,,,,,
player,201210070nyg,nyg,BennMa00,pass_att,0,,,,,
player,201210070nyg,nyg,BennMa00,pass_yds,0,,,,,
player,201210070nyg,nyg,BennMa00,pass_td,0,,,,,
player,201210070nyg,nyg,BennMa00,pass_int,0,,,,,
player,201210070nyg,nyg,BennMa00,pass_sacked,0,,,,,
player,201210070nyg,nyg,BennMa00,pass_sacked_yds,0,,,,,
player,201210070nyg,nyg,BennMa00,pass_long,0,,,,,
player,201210070nyg,nyg,BennMa00,pass_rating,,,,,,
player,201210070nyg,nyg,BennMa00,rush_att,0,,,,,
player,201210070nyg,nyg,BennMa00,rush_yds,0,,,,,
player,201210070nyg,nyg,BennMa00,rush_td,0,,,,,
player,201210070nyg,nyg,BennMa00,rush_long,0,,,,,
player,201210070nyg,nyg,BennMa00,targets,4,,,,,
player,201210070nyg,nyg,BennMa00,rec,3,,,,,
player,201210070nyg,nyg,BennMa00,rec_yds,30,,,,,
player,201210070nyg,nyg,BennMa00,rec_td,0,,,,,
player,201210070nyg,nyg,BennMa00,rec_long,17,,,,,
player,201210070nyg,nyg,BennMa00,fumbles,0,,,,,
player,201210070nyg,nyg,BennMa00,fumbles_lost,0,,,,,
player,201210070nyg,nyg,PascBe00,pass_cmp,0,,,,,
player,201210070nyg,nyg,PascBe00,pass_att,0,,,,,
player,201210070nyg,nyg,PascBe00,pass_yds,0,,,,,
player,201210070nyg,nyg,PascBe00,pass_td,0,,,,,
player,201210070nyg,nyg,PascBe00,pass_int,0,,,,,
player,201210070nyg,nyg,PascBe00,pass_sacked,0,,,,,
player,201210070nyg,nyg,PascBe00,pass_sacked_yds,0,,,,,
player,201210070nyg,nyg,PascBe00,pass_long,0,,,,,
