game,2012,11,20121118,201211180det,gnb,"Green Bay Packers",24,det,"Detroit Lions",20
player,201211180det,gnb,KuhnJo00,rec,0,,,,,
player,201211180det,gnb,KuhnJo00,rec_yds,0,,,,,
player,201211180det,gnb,KuhnJo00,rec_td,0,,,,,
player,201211180det,gnb,KuhnJo00,rec_long,0,,,,,
player,201211180det,gnb,KuhnJo00,fumbles,0,,,,,
player,201211180det,gnb,KuhnJo00,fumbles_lost,0,,,,,
player,201211180det,det,StafMa00,pass_cmp,17,,,,,
player,201211180det,det,StafMa00,pass_att,39,,,,,
player,201211180det,det,StafMa00,pass_yds,266,,,,,
player,201211180det,det,StafMa00,pass_td,1,,,,,
player,201211180det,det,StafMa00,pass_int,2,,,,,
player,201211180det,det,StafMa00,pass_sacked,5,,,,,
player,201211180det,det,StafMa00,pass_sacked_yds,14,,,,,
player,201211180det,det,StafMa00,pass_long,53,,,,,
player,201211180det,det,StafMa00,pass_rating,54.0,,,,,
player,201211180det,det,StafMa00,rush_att,2,,,,,
player,201211180det,det,StafMa00,rush_yds,12,,,,,
player,201211180det,det,StafMa00,rush_td,0,,,,,
player,201211180det,det,StafMa00,rush_long,6,,,,,
player,201211180det,det,StafMa00,targets,0,,,,,
player,201211180det,det,StafMa00,rec,0,,,,,
player,201211180det,det,StafMa00,rec_yds,0,,,,,
player,201211180det,det,StafMa00,rec_td,0,,,,,
player,201211180det,det,StafMa00,rec_long,0,,,,,
player,201211180det,det,StafMa00,fumbles,1,,,,,
player,201211180det,det,StafMa00,fumbles_lost,1,,,,,
player,201211180det,det,LeshMi00,pass_cmp,0,,,,,
player,201211180det,det,LeshMi00,pass_att,0,,,,,
player,201211180det,det,LeshMi00,pass_yds,0,,,,,
player,201211180det,det,LeshMi00,pass_td,0,,,,,
player,201211180det,det,LeshMi00,pass_int,0,,,,,
player,201211180det,det,LeshMi00,pass_sacked,0,,,,,
player,201211180det,det,LeshMi00,pass_sacked_yds,0,,,,,
player,201211180det,det,LeshMi00,pass_long,0,,,,,
player,201211180det,det,LeshMi00,pass_rating,,,,,,
player,201211180det,det,LeshMi00,rush_att,19,,,,,
player,201211180det,det,LeshMi00,rush_yds,84,,,,,
player,201211180det,det,LeshMi00,rush_td,1,,,,,
player,201211180det,det,LeshMi00,rush_long,15,,,,,
player,201211180det,det,LeshMi00,targets,1,,,,,
player,201211180det,det,LeshMi00,rec,1,,,,,
player,201211180det,det,LeshMi00,rec_yds,-2,,,,,
player,201211180det,det,LeshMi00,rec_td,0,,,,,
player,201211180det,det,LeshMi00,rec_long,-2,,,,,
player,201211180det,det,LeshMi00,fumbles,0,,,,,
player,201211180det,det,LeshMi00,fumbles_lost,0,,,,,
player,201211180det,det,ThomMi01,pass_cmp,0,,,,,
player,201211180det,det,ThomMi01,pass_att,0,,,,,
player,201211180det,det,ThomMi01,pass_yds,0,,,,,
player,201211180det,det,ThomMi01,pass_td,0,,,,,
player,201211180det,det,ThomMi01,pass_int,0,,,,,
player,201211180det,det,ThomMi01,pass_sacked,0,,,,,
player,201211180det,det,ThomMi01,pass_sacked_yds,0,,,,,
player,201211180det,det,ThomMi01,pass_long,0,,,,,
player,201211180det,det,ThomMi01,pass_rating,,,,,,
player,201211180det,det,ThomMi01,rush_att,1,,,,,
player,201211180det,det,ThomMi01,rush_yds,6,,,,,
player,201211180det,det,ThomMi01,rush_td,0,,,,,
player,201211180det,det,ThomMi01,rush_long,6,,,,,
player,201211180det,det,ThomMi01,targets,0,,,,,
player,201211180det,det,ThomMi01,rec,0,,,,,
player,201211180det,det,ThomMi01,rec_yds,0,,,,,
player,201211180det,det,ThomMi01,rec_td,0,,,,,
player,201211180det,det,ThomMi01,rec_long,0,,,,,
player,201211180det,det,ThomMi01,fumbles,0,,,,,
player,201211180det,det,ThomMi01,fumbles_lost,0,,,,,
player,201211180det,det,BellJo01,pass_cmp,0,,,,,
player,201211180det,det,BellJo01,pass_att,0,,,,,
player,201211180det,det,BellJo01,pass_yds,0,,,,,
player,201211180det,det,BellJo01,pass_td,0,,,,,
player,201211180det,det,BellJo01,pass_int,0,,,,,
player,201211180det,det,BellJo01,pass_sacked,0,,,,,
player,201211180det,det,BellJo01,pass_sacked_yds,0,,,,,
player,201211180det,det,BellJo01,pass_long,0,,,,,
player,201211180det,det,BellJo01,pass_rating,,,,,,
player,201211180det,det,BellJo01,rush_att,1,,,,,
player,201211180det,det,BellJo01,rush_yds,4,,,,,
player,201211180det,det,BellJo01,rush_td,0,,,,,
player,201211180det,det,BellJo01,rush_long,4,,,,,
player,201211180det,det,BellJo01,targets,1,,,,,
player,201211180det,det,BellJo01,rec,1,,,,,
player,201211180det,det,BellJo01,rec_yds,5,,,,,
player,201211180det,det,BellJo01,rec_td,0,,,,,
player,201211180det,det,BellJo01,rec_long,5,,,,,
player,201211180det,det,BellJo01,fumbles,0,,,,,
player,201211180det,det,BellJo01,fumbles_lost,0,,,,,
player,201211180det,det,SmitKe02,pass_cmp,0,,,,,
player,201211180det,det,SmitKe02,pass_att,0,,,,,
player,201211180det,det,SmitKe02,pass_yds,0,,,,,
player,201211180det,det,SmitKe02,pass_td,0,,,,,
player,201211180det,det,SmitKe02,pass_int,0,,,,,
player,201211180det,det,SmitKe02,pass_sacked,0,,,,,
player,201211180det,det,SmitKe02,pass_sacked_yds,0,,,,,
player,201211180det,det,SmitKe02,pass_long,0,,,,,
player,201211180det,det,SmitKe02,pass_rating,,,,,,
player,201211180det,det,SmitKe02,rush_att,1,,,,,
player,201211180det,det,SmitKe02,rush_yds,4,,,,,
player,201211180det,det,SmitKe02,rush_td,0,,,,,
player,201211180det,det,SmitKe02,rush_long,4,,,,,
player,201211180det,det,SmitKe02,targets,0,,,,,
player,201211180det,det,SmitKe02,rec,0,,,,,
player,201211180det,det,SmitKe02,rec_yds,0,,,,,
player,201211180det,det,SmitKe02,rec_td,0,,,,,
player,201211180det,det,SmitKe02,rec_long,0,,,,,
player,201211180det,det,SmitKe02,fumbles,0,,,,,
player,201211180det,det,SmitKe02,fumbles_lost,0,,,,,
player,201211180det,det,JohnCa00,pass_cmp,0,,,,,
player,201211180det,det,JohnCa00,pass_att,0,,,,,
player,201211180det,det,JohnCa00,pass_yds,0,,,,,
player,201211180det,det,JohnCa00,pass_td,0,,,,,
player,201211180det,det,JohnCa00,pass_int,0,,,,,
player,201211180det,det,JohnCa00,pass_sacked,0,,,,,
player,201211180det,det,JohnCa00,pass_sacked_yds,0,,,,,
player,201211180det,det,JohnCa00,pass_long,0,,,,,
player,201211180det,det,JohnCa00,pass_rating,,,,,,
player,201211180det,det,JohnCa00,rush_att,0,,,,,
player,201211180det,det,JohnCa00,rush_yds,0,,,,,
player,201211180det,det,JohnCa00,rush_td,0,,,,,
player,201211180det,det,JohnCa00,rush_long,0,,,,,
player,201211180det,det,JohnCa00,targets,11,,,,,
player,201211180det,det,JohnCa00,rec,5,,,,,
player,201211180det,det,JohnCa00,rec_yds,143,,,,,
player,201211180det,det,JohnCa00,rec_td,1,,,,,
player,201211180det,det,JohnCa00,rec_long,53,,,,,
player,201211180det,det,JohnCa00,fumbles,1,,,,,
player,201211180det,det,JohnCa00,fumbles_lost,1,,,,,
player,201211180det,det,BroyRy00,pass_cmp,0,,,,,
player,201211180det,det,BroyRy00,pass_att,0,,,,,
player,201211180det,det,BroyRy00,pass_yds,0,,,,,
player,201211180det,det,BroyRy00,pass_td,0,,,,,
player,201211180det,det,BroyRy00,pass_int,0,,,,,
player,201211180det,det,BroyRy00,pass_sacked,0,,,,,
player,201211180det,det,BroyRy00,pass_sacked_yds,0,,,,,
player,201211180det,det,BroyRy00,pass_long,0,,,,,
player,201211180det,det,BroyRy00,pass_rating,,,,,,
player,201211180det,det,BroyRy00,rush_att,0,,,,,
player,201211180det,det,BroyRy00,rush_yds,0,,,,,
player,201211180det,det,BroyRy00,rush_td,0,,,,,
player,201211180det,det,BroyRy00,rush_long,0,,,,,
player,201211180det,det,BroyRy00,targets,2,,,,,
player,201211180det,det,BroyRy00,rec,2,,,,,
player,201211180det,det,BroyRy00,rec_yds,35,,,,,
player,201211180det,det,BroyRy00,rec_td,0,,,,,
player,201211180det,det,BroyRy00,rec_long,27,,,,,
player,201211180det,det,BroyRy00,fumbles,0,,,,,
player,201211180det,det,BroyRy00,fumbles_lost,0,,,,,
player,201211180det,det,YounTi00,pass_cmp,0,,,,,
player,201211180det,det,YounTi00,pass_att,0,,,,,
player,201211180det,det,YounTi00,pass_yds,0,,,,,
player,201211180det,det,YounTi00,pass_td,0,,,,,
player,201211180det,det,YounTi00,pass_int,0,,,,,
player,201211180det,det,YounTi00,pass_sacked,0,,,,,
player,201211180det,det,YounTi00,pass_sacked_yds,0,,,,,
player,201211180det,det,YounTi00,pass_long,0,,,,,
player,201211180det,det,YounTi00,pass_rating,,,,,,
player,201211180det,det,YounTi00,rush_att,0,,,,,
player,201211180det,det,YounTi00,rush_yds,0,,,,,
player,201211180det,det,YounTi00,rush_td,0,,,,,
player,201211180det,det,YounTi00,rush_long,0,,,,,
player,201211180det,det,YounTi00,targets,6,,,,,
player,201211180det,det,YounTi00,rec,1,,,,,
player,201211180det,det,YounTi00,rec_yds,24,,,,,
player,201211180det,det,YounTi00,rec_td,0,,,,,
player,201211180det,det,YounTi00,rec_long,24,,,,,
player,201211180det,det,YounTi00,fumbles,0,,,,,
player,201211180det,det,YounTi00,fumbles_lost,0,,,,,
player,201211180det,det,PettBr00,pass_cmp,0,,,,,
player,201211180det,det,PettBr00,pass_att,0,,,,,
player,201211180det,det,PettBr00,pass_yds,0,,,,,
player,201211180det,det,PettBr00,pass_td,0,,,,,
player,201211180det,det,PettBr00,pass_int,0,,,,,
player,201211180det,det,PettBr00,pass_sacked,0,,,,,
player,201211180det,det,PettBr00,pass_sacked_yds,0,,,,,
player,201211180det,det,PettBr00,pass_long,0,,,,,
player,201211180det,det,PettBr00,pass_rating,,,,,,
player,201211180det,det,PettBr00,rush_att,0,,,,,
player,201211180det,det,PettBr00,rush_yds,0,,,,,
player,201211180det,det,PettBr00,rush_td,0,,,,,
player,201211180det,det,PettBr00,rush_long,0,,,,,
player,201211180det,det,PettBr00,targets,7,,,,,
player,201211180det,det,PettBr00,rec,4,,,,,
player,201211180det,det,PettBr00,rec_yds,22,,,,,
player,201211180det,det,PettBr00,rec_td,0,,,,,
player,201211180det,det,PettBr00,rec_long,12,,,,,
player,201211180det,det,PettBr00,fumbles,0,,,,,
player,201211180det,det,PettBr00,fumbles_lost,0,,,,,
player,201211180det,det,ScheTo00,pass_cmp,0,,,,,
player,201211180det,det,ScheTo00,pass_att,0,,,,,
player,201211180det,det,ScheTo00,pass_yds,0,,,,,
player,201211180det,det,ScheTo00,pass_td,0,,,,,
player,201211180det,det,ScheTo00,pass_int,0,,,,,
player,201211180det,det,ScheTo00,pass_sacked,0,,,,,
player,201211180det,det,ScheTo00,pass_sacked_yds,0,,,,,
player,201211180det,det,ScheTo00,pass_long,0,,,,,
player,201211180det,det,ScheTo00,pass_rating,,,,,,
player,201211180det,det,ScheTo00,rush_att,0,,,,,
player,201211180det,det,ScheTo00,rush_yds,0,,,,,
player,201211180det,det,ScheTo00,rush_td,0,,,,,
player,201211180det,det,ScheTo00,rush_long,0,,,,,
player,201211180det,det,ScheTo00,targets,10,,,,,
player,201211180det,det,ScheTo00,rec,2,,,,,
player,201211180det,det,ScheTo00,rec_yds,22,,,,,
player,201211180det,det,ScheTo00,rec_td,0,,,,,
player,201211180det,det,ScheTo00,rec_long,16,,,,,
player,201211180det,det,ScheTo00,fumbles,0,,,,,
player,201211180det,det,ScheTo00,fumbles_lost,0,,,,,
player,201211180det,det,HellWi00,pass_cmp,0,,,,,
player,201211180det,det,HellWi00,pass_att,0,,,,,
player,201211180det,det,HellWi00,pass_yds,0,,,,,
player,201211180det,det,HellWi00,pass_td,0,,,,,
player,201211180det,det,HellWi00,pass_int,0,,,,,
player,201211180det,det,HellWi00,pass_sacked,0,,,,,
player,201211180det,det,HellWi00,pass_sacked_yds,0,,,,,
player,201211180det,det,HellWi00,pass_long,0,,,,,
player,201211180det,det,HellWi00,pass_rating,,,,,,
player,201211180det,det,HellWi00,rush_att,0,,,,,
player,201211180det,det,HellWi00,rush_yds,0,,,,,
player,201211180det,det,HellWi00,rush_td,0,,,,,
player,201211180det,det,HellWi00,rush_long,0,,,,,
player,201211180det,det,HellWi00,targets,1,,,,,
player,201211180det,det,HellWi00,rec,1,,,,,
player,201211180det,det,HellWi00,rec_yds,17,,,,,
player,201211180det,det,HellWi00,rec_td,0,,,,,
player,201211180det,det,HellWi00,rec_long,17,,,,,
player,201211180det,det,HellWi00,fumbles,0,,,,,
player,201211180det,det,HellWi00,fumbles_lost,0,,,,,
player,201211180det,gnb,HaywCa00,def_int,1,,,,,
player,201211180det,gnb,HaywCa00,def_int_yds,20,,,,,
player,201211180det,gnb,HaywCa00,def_int_td,0,,,,,
player,201211180det,gnb,HaywCa00,def_int_long,20,,,,,
player,201211180det,gnb,HaywCa00,pass_defended,4,,,,,
player,201211180det,gnb,HaywCa00,sacks,0.0,,,,,
player,201211180det,gnb,HaywCa00,tackles_combined,5,,,,,
player,201211180det,gnb,HaywCa00,tackles_solo,4,,,,,
player,201211180det,gnb,HaywCa00,tackles_assists,1,,,,,
player,201211180det,gnb,HaywCa00,tackles_loss,0,,,,,
player,201211180det,gnb,HaywCa00,qb_hits,0,,,,,
player,201211180det,gnb,HaywCa00,fumbles_rec,0,,,,,
player,201211180det,gnb,HaywCa00,fumbles_rec_yds,0,,,,,
player,201211180det,gnb,HaywCa00,fumbles_rec_td,0,,,,,
player,201211180det,gnb,HaywCa00,fumbles_forced,0,,,,,
player,201211180det,gnb,JennM.00,def_int,1,,,,,
player,201211180det,gnb,JennM.00,def_int_yds,72,,,,,
player,201211180det,gnb,JennM.00,def_int_td,1,,,,,
player,201211180det,gnb,JennM.00,def_int_long,72,,,,,
player,201211180det,gnb,JennM.00,pass_defended,1,,,,,
player,201211180det,gnb,JennM.00,sacks,0.0,,,,,
player,201211180det,gnb,JennM.00,tackles_combined,2,,,,,
player,201211180det,gnb,JennM.00,tackles_solo,1,,,,,
player,201211180det,gnb,JennM.00,tackles_assists,1,,,,,
player,201211180det,gnb,JennM.00,tackles_loss,0,,,,,
player,201211180det,gnb,JennM.00,qb_hits,0,,,,,
player,201211180det,gnb,JennM.00,fumbles_rec,0,,,,,
player,201211180det,gnb,JennM.00,fumbles_rec_yds,0,,,,,
player,201211180det,gnb,JennM.00,fumbles_rec_td,0,,,,,
player,201211180det,gnb,JennM.00,fumbles_forced,0,,,,,
player,201211180det,gnb,WaldEr99,def_int,0,,,,,
player,201211180det,gnb,WaldEr99,def_int_yds,0,,,,,
player,201211180det,gnb,WaldEr99,def_int_td,0,,,,,
player,201211180det,gnb,WaldEr99,def_int_long,0,,,,,
player,201211180det,gnb,WaldEr99,pass_defended,0,,,,,
player,201211180det,gnb,WaldEr99,sacks,2.0,,,,,
player,201211180det,gnb,WaldEr99,tackles_combined,6,,,,,
player,201211180det,gnb,WaldEr99,tackles_solo,5,,,,,
player,201211180det,gnb,WaldEr99,tackles_assists,1,,,,,
player,201211180det,gnb,WaldEr99,tackles_loss,1,,,,,
player,201211180det,gnb,WaldEr99,qb_hits,2,,,,,
player,201211180det,gnb,WaldEr99,fumbles_rec,0,,,,,
player,201211180det,gnb,WaldEr99,fumbles_rec_yds,0,,,,,
player,201211180det,gnb,WaldEr99,fumbles_rec_td,0,,,,,
player,201211180det,gnb,WaldEr99,fumbles_forced,0,,,,,
player,201211180det,gnb,BurnMo99,def_int,0,,,,,
