game,2012,8,20121028,201210280ram,nwe,"New England Patriots",45,ram,"St. Louis Rams",7
player,201210280ram,nwe,LloyBr00,rec_td,2,,,,,
player,201210280ram,nwe,LloyBr00,rec_long,19,,,,,
player,201210280ram,nwe,LloyBr00,fumbles,0,,,,,
player,201210280ram,nwe,LloyBr00,fumbles_lost,0,,,,,
player,201210280ram,nwe,HoomMi00,pass_cmp,0,,,,,
player,201210280ram,nwe,HoomMi00,pass_att,0,,,,,
player,201210280ram,nwe,HoomMi00,pass_yds,0,,,,,
player,201210280ram,nwe,HoomMi00,pass_td,0,,,,,
player,201210280ram,nwe,HoomMi00,pass_int,0,,,,,
player,201210280ram,nwe,HoomMi00,pass_sacked,0,,,,,
player,201210280ram,nwe,HoomMi00,pass_sacked_yds,0,,,,,
player,201210280ram,nwe,HoomMi00,pass_long,0,,,,,
player,201210280ram,nwe,HoomMi00,pass_rating,,,,,,
player,201210280ram,nwe,HoomMi00,rush_att,0,,,,,
player,201210280ram,nwe,HoomMi00,rush_yds,0,,,,,
player,201210280ram,nwe,HoomMi00,rush_td,0,,,,,
player,201210280ram,nwe,HoomMi00,rush_long,0,,,,,
player,201210280ram,nwe,HoomMi00,targets,1,,,,,
player,201210280ram,nwe,HoomMi00,rec,1,,,,,
player,201210280ram,nwe,HoomMi00,rec_yds,18,,,,,
player,201210280ram,nwe,HoomMi00,rec_td,0,,,,,
player,201210280ram,nwe,HoomMi00,rec_long,18,,,,,
player,201210280ram,nwe,HoomMi00,fumbles,0,,,,,
player,201210280ram,nwe,HoomMi00,fumbles_lost,0,,,,,
player,201210280ram,nwe,EdelJu00,pass_cmp,0,,,,,
player,201210280ram,nwe,EdelJu00,pass_att,0,,,,,
player,201210280ram,nwe,EdelJu00,pass_yds,0,,,,,
player,201210280ram,nwe,EdelJu00,pass_td,0,,,,,
player,201210280ram,nwe,EdelJu00,pass_int,0,,,,,
player,201210280ram,nwe,EdelJu00,pass_sacked,0,,,,,
player,201210280ram,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201210280ram,nwe,EdelJu00,pass_long,0,,,,,
player,201210280ram,nwe,EdelJu00,pass_rating,,,,,,
player,201210280ram,nwe,EdelJu00,rush_att,0,,,,,
player,201210280ram,nwe,EdelJu00,rush_yds,0,,,,,
player,201210280ram,nwe,EdelJu00,rush_td,0,,,,,
player,201210280ram,nwe,EdelJu00,rush_long,0,,,,,
player,201210280ram,nwe,EdelJu00,targets,2,,,,,
player,201210280ram,nwe,EdelJu00,rec,1,,,,,
player,201210280ram,nwe,EdelJu00,rec_yds,8,,,,,
player,201210280ram,nwe,EdelJu00,rec_td,0,,,,,
player,201210280ram,nwe,EdelJu00,rec_long,8,,,,,
player,201210280ram,nwe,EdelJu00,fumbles,0,,,,,
player,201210280ram,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201210280ram,nwe,BranDe00,pass_cmp,0,,,,,
player,201210280ram,nwe,BranDe00,pass_att,0,,,,,
player,201210280ram,nwe,BranDe00,pass_yds,0,,,,,
player,201210280ram,nwe,BranDe00,pass_td,0,,,,,
player,201210280ram,nwe,BranDe00,pass_int,0,,,,,
player,201210280ram,nwe,BranDe00,pass_sacked,0,,,,,
player,201210280ram,nwe,BranDe00,pass_sacked_yds,0,,,,,
player,201210280ram,nwe,BranDe00,pass_long,0,,,,,
player,201210280ram,nwe,BranDe00,pass_rating,,,,,,
player,201210280ram,nwe,BranDe00,rush_att,0,,,,,
player,201210280ram,nwe,BranDe00,rush_yds,0,,,,,
player,201210280ram,nwe,BranDe00,rush_td,0,,,,,
player,201210280ram,nwe,BranDe00,rush_long,0,,,,,
player,201210280ram,nwe,BranDe00,targets,1,,,,,
player,201210280ram,nwe,BranDe00,rec,0,,,,,
player,201210280ram,nwe,BranDe00,rec_yds,0,,,,,
player,201210280ram,nwe,BranDe00,rec_td,0,,,,,
player,201210280ram,nwe,BranDe00,rec_long,0,,,,,
player,201210280ram,nwe,BranDe00,fumbles,0,,,,,
player,201210280ram,nwe,BranDe00,fumbles_lost,0,,,,,
player,201210280ram,ram,BradSa00,pass_cmp,22,,,,,
player,201210280ram,ram,BradSa00,pass_att,30,,,,,
player,201210280ram,ram,BradSa00,pass_yds,205,,,,,
player,201210280ram,ram,BradSa00,pass_td,1,,,,,
player,201210280ram,ram,BradSa00,pass_int,1,,,,,
player,201210280ram,ram,BradSa00,pass_sacked,2,,,,,
player,201210280ram,ram,BradSa00,pass_sacked_yds,25,,,,,
player,201210280ram,ram,BradSa00,pass_long,50,,,,,
player,201210280ram,ram,BradSa00,pass_rating,88.9,,,,,
player,201210280ram,ram,BradSa00,rush_att,2,,,,,
player,201210280ram,ram,BradSa00,rush_yds,0,,,,,
player,201210280ram,ram,BradSa00,rush_td,0,,,,,
player,201210280ram,ram,BradSa00,rush_long,0,,,,,
player,201210280ram,ram,BradSa00,targets,0,,,,,
player,201210280ram,ram,BradSa00,rec,0,,,,,
player,201210280ram,ram,BradSa00,rec_yds,0,,,,,
player,201210280ram,ram,BradSa00,rec_td,0,,,,,
