game,2012,2,20120916,201209160sfo,det,"Detroit Lions",19,sfo,"San Francisco 49ers",27
player,201209160sfo,det,ScheTo00,pass_sacked,0,,,,,
player,201209160sfo,det,ScheTo00,pass_sacked_yds,0,,,,,
player,201209160sfo,det,ScheTo00,pass_long,0,,,,,
player,201209160sfo,det,ScheTo00,pass_rating,,,,,,
player,201209160sfo,det,ScheTo00,rush_att,0,,,,,
player,201209160sfo,det,ScheTo00,rush_yds,0,,,,,
player,201209160sfo,det,ScheTo00,rush_td,0,,,,,
player,201209160sfo,det,ScheTo00,rush_long,0,,,,,
player,201209160sfo,det,ScheTo00,targets,3,,,,,
player,201209160sfo,det,ScheTo00,rec,1,,,,,
player,201209160sfo,det,ScheTo00,rec_yds,13,,,,,
player,201209160sfo,det,ScheTo00,rec_td,0,,,,,
player,201209160sfo,det,ScheTo00,rec_long,13,,,,,
player,201209160sfo,det,ScheTo00,fumbles,0,,,,,
player,201209160sfo,det,ScheTo00,fumbles_lost,0,,,,,
player,201209160sfo,det,YounTi00,pass_cmp,0,,,,,
player,201209160sfo,det,YounTi00,pass_att,0,,,,,
player,201209160sfo,det,YounTi00,pass_yds,0,,,,,
player,201209160sfo,det,YounTi00,pass_td,0,,,,,
player,201209160sfo,det,YounTi00,pass_int,0,,,,,
player,201209160sfo,det,YounTi00,pass_sacked,0,,,,,
player,201209160sfo,det,YounTi00,pass_sacked_yds,0,,,,,
player,201209160sfo,det,YounTi00,pass_long,0,,,,,
player,201209160sfo,det,YounTi00,pass_rating,,,,,,
player,201209160sfo,det,YounTi00,rush_att,0,,,,,
player,201209160sfo,det,YounTi00,rush_yds,0,,,,,
player,201209160sfo,det,YounTi00,rush_td,0,,,,,
player,201209160sfo,det,YounTi00,rush_long,0,,,,,
player,201209160sfo,det,YounTi00,targets,3,,,,,
player,201209160sfo,det,YounTi00,rec,1,,,,,
player,201209160sfo,det,YounTi00,rec_yds,11,,,,,
player,201209160sfo,det,YounTi00,rec_td,0,,,,,
player,201209160sfo,det,YounTi00,rec_long,11,,,,,
player,201209160sfo,det,YounTi00,fumbles,0,,,,,
player,201209160sfo,det,YounTi00,fumbles_lost,0,,,,,
player,201209160sfo,det,HellWi00,pass_cmp,0,,,,,
player,201209160sfo,det,HellWi00,pass_att,0,,,,,
player,201209160sfo,det,HellWi00,pass_yds,0,,,,,
player,201209160sfo,det,HellWi00,pass_td,0,,,,,
player,201209160sfo,det,HellWi00,pass_int,0,,,,,
player,201209160sfo,det,HellWi00,pass_sacked,0,,,,,
player,201209160sfo,det,HellWi00,pass_sacked_yds,0,,,,,
player,201209160sfo,det,HellWi00,pass_long,0,,,,,
player,201209160sfo,det,HellWi00,pass_rating,,,,,,
player,201209160sfo,det,HellWi00,rush_att,0,,,,,
player,201209160sfo,det,HellWi00,rush_yds,0,,,,,
player,201209160sfo,det,HellWi00,rush_td,0,,,,,
player,201209160sfo,det,HellWi00,rush_long,0,,,,,
player,201209160sfo,det,HellWi00,targets,1,,,,,
player,201209160sfo,det,HellWi00,rec,1,,,,,
player,201209160sfo,det,HellWi00,rec_yds,7,,,,,
player,201209160sfo,det,HellWi00,rec_td,0,,,,,
player,201209160sfo,det,HellWi00,rec_long,7,,,,,
player,201209160sfo,det,HellWi00,fumbles,0,,,,,
player,201209160sfo,det,HellWi00,fumbles_lost,0,,,,,
player,201209160sfo,sfo,SmitAl03,pass_cmp,20,,,,,
player,201209160sfo,sfo,SmitAl03,pass_att,31,,,,,
player,201209160sfo,sfo,SmitAl03,pass_yds,226,,,,,
player,201209160sfo,sfo,SmitAl03,pass_td,2,,,,,
player,201209160sfo,sfo,SmitAl03,pass_int,0,,,,,
player,201209160sfo,sfo,SmitAl03,pass_sacked,3,,,,,
player,201209160sfo,sfo,SmitAl03,pass_sacked_yds,25,,,,,
player,201209160sfo,sfo,SmitAl03,pass_long,23,,,,,
player,201209160sfo,sfo,SmitAl03,pass_rating,107.7,,,,,
player,201209160sfo,sfo,SmitAl03,rush_att,4,,,,,
player,201209160sfo,sfo,SmitAl03,rush_yds,7,,,,,
player,201209160sfo,sfo,SmitAl03,rush_td,0,,,,,
player,201209160sfo,sfo,SmitAl03,rush_long,10,,,,,
player,201209160sfo,sfo,SmitAl03,targets,0,,,,,
player,201209160sfo,sfo,SmitAl03,rec,0,,,,,
player,201209160sfo,sfo,SmitAl03,rec_yds,0,,,,,
player,201209160sfo,sfo,SmitAl03,rec_td,0,,,,,
player,201209160sfo,sfo,SmitAl03,rec_long,0,,,,,
player,201209160sfo,sfo,SmitAl03,fumbles,1,,,,,
player,201209160sfo,sfo,SmitAl03,fumbles_lost,0,,,,,
player,201209160sfo,sfo,GoreFr00,pass_cmp,0,,,,,
player,201209160sfo,sfo,GoreFr00,pass_att,0,,,,,
player,201209160sfo,sfo,GoreFr00,pass_yds,0,,,,,
player,201209160sfo,sfo,GoreFr00,pass_td,0,,,,,
player,201209160sfo,sfo,GoreFr00,pass_int,0,,,,,
player,201209160sfo,sfo,GoreFr00,pass_sacked,0,,,,,
player,201209160sfo,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201209160sfo,sfo,GoreFr00,pass_long,0,,,,,
player,201209160sfo,sfo,GoreFr00,pass_rating,,,,,,
player,201209160sfo,sfo,GoreFr00,rush_att,17,,,,,
player,201209160sfo,sfo,GoreFr00,rush_yds,89,,,,,
player,201209160sfo,sfo,GoreFr00,rush_td,1,,,,,
player,201209160sfo,sfo,GoreFr00,rush_long,16,,,,,
player,201209160sfo,sfo,GoreFr00,targets,4,,,,,
player,201209160sfo,sfo,GoreFr00,rec,2,,,,,
player,201209160sfo,sfo,GoreFr00,rec_yds,16,,,,,
player,201209160sfo,sfo,GoreFr00,rec_td,0,,,,,
player,201209160sfo,sfo,GoreFr00,rec_long,15,,,,,
player,201209160sfo,sfo,GoreFr00,fumbles,0,,,,,
player,201209160sfo,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201209160sfo,sfo,MannMa01,pass_cmp,0,,,,,
player,201209160sfo,sfo,MannMa01,pass_att,0,,,,,
player,201209160sfo,sfo,MannMa01,pass_yds,0,,,,,
player,201209160sfo,sfo,MannMa01,pass_td,0,,,,,
player,201209160sfo,sfo,MannMa01,pass_int,0,,,,,
player,201209160sfo,sfo,MannMa01,pass_sacked,0,,,,,
player,201209160sfo,sfo,MannMa01,pass_sacked_yds,0,,,,,
player,201209160sfo,sfo,MannMa01,pass_long,0,,,,,
player,201209160sfo,sfo,MannMa01,pass_rating,,,,,,
player,201209160sfo,sfo,MannMa01,rush_att,1,,,,,
player,201209160sfo,sfo,MannMa01,rush_yds,29,,,,,
player,201209160sfo,sfo,MannMa01,rush_td,0,,,,,
player,201209160sfo,sfo,MannMa01,rush_long,29,,,,,
player,201209160sfo,sfo,MannMa01,targets,4,,,,,
player,201209160sfo,sfo,MannMa01,rec,3,,,,,
player,201209160sfo,sfo,MannMa01,rec_yds,28,,,,,
player,201209160sfo,sfo,MannMa01,rec_td,0,,,,,
player,201209160sfo,sfo,MannMa01,rec_long,13,,,,,
player,201209160sfo,sfo,MannMa01,fumbles,0,,,,,
player,201209160sfo,sfo,MannMa01,fumbles_lost,0,,,,,
player,201209160sfo,sfo,HuntKe00,pass_cmp,0,,,,,
player,201209160sfo,sfo,HuntKe00,pass_att,0,,,,,
player,201209160sfo,sfo,HuntKe00,pass_yds,0,,,,,
player,201209160sfo,sfo,HuntKe00,pass_td,0,,,,,
player,201209160sfo,sfo,HuntKe00,pass_int,0,,,,,
player,201209160sfo,sfo,HuntKe00,pass_sacked,0,,,,,
player,201209160sfo,sfo,HuntKe00,pass_sacked_yds,0,,,,,
player,201209160sfo,sfo,HuntKe00,pass_long,0,,,,,
player,201209160sfo,sfo,HuntKe00,pass_rating,,,,,,
player,201209160sfo,sfo,HuntKe00,rush_att,5,,,,,
player,201209160sfo,sfo,HuntKe00,rush_yds,23,,,,,
player,201209160sfo,sfo,HuntKe00,rush_td,0,,,,,
player,201209160sfo,sfo,HuntKe00,rush_long,13,,,,,
player,201209160sfo,sfo,HuntKe00,targets,3,,,,,
player,201209160sfo,sfo,HuntKe00,rec,2,,,,,
player,201209160sfo,sfo,HuntKe00,rec_yds,21,,,,,
player,201209160sfo,sfo,HuntKe00,rec_td,0,,,,,
player,201209160sfo,sfo,HuntKe00,rec_long,12,,,,,
player,201209160sfo,sfo,HuntKe00,fumbles,1,,,,,
player,201209160sfo,sfo,HuntKe00,fumbles_lost,1,,,,,
player,201209160sfo,sfo,DaviVe00,pass_cmp,0,,,,,
player,201209160sfo,sfo,DaviVe00,pass_att,0,,,,,
player,201209160sfo,sfo,DaviVe00,pass_yds,0,,,,,
player,201209160sfo,sfo,DaviVe00,pass_td,0,,,,,
player,201209160sfo,sfo,DaviVe00,pass_int,0,,,,,
player,201209160sfo,sfo,DaviVe00,pass_sacked,0,,,,,
player,201209160sfo,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201209160sfo,sfo,DaviVe00,pass_long,0,,,,,
player,201209160sfo,sfo,DaviVe00,pass_rating,,,,,,
player,201209160sfo,sfo,DaviVe00,rush_att,0,,,,,
player,201209160sfo,sfo,DaviVe00,rush_yds,0,,,,,
player,201209160sfo,sfo,DaviVe00,rush_td,0,,,,,
player,201209160sfo,sfo,DaviVe00,rush_long,0,,,,,
player,201209160sfo,sfo,DaviVe00,targets,7,,,,,
player,201209160sfo,sfo,DaviVe00,rec,5,,,,,
player,201209160sfo,sfo,DaviVe00,rec_yds,73,,,,,
player,201209160sfo,sfo,DaviVe00,rec_td,2,,,,,
player,201209160sfo,sfo,DaviVe00,rec_long,23,,,,,
player,201209160sfo,sfo,DaviVe00,fumbles,0,,,,,
player,201209160sfo,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201209160sfo,sfo,CrabMi00,pass_cmp,0,,,,,
player,201209160sfo,sfo,CrabMi00,pass_att,0,,,,,
player,201209160sfo,sfo,CrabMi00,pass_yds,0,,,,,
player,201209160sfo,sfo,CrabMi00,pass_td,0,,,,,
player,201209160sfo,sfo,CrabMi00,pass_int,0,,,,,
player,201209160sfo,sfo,CrabMi00,pass_sacked,0,,,,,
player,201209160sfo,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201209160sfo,sfo,CrabMi00,pass_long,0,,,,,
player,201209160sfo,sfo,CrabMi00,pass_rating,,,,,,
player,201209160sfo,sfo,CrabMi00,rush_att,0,,,,,
player,201209160sfo,sfo,CrabMi00,rush_yds,0,,,,,
player,201209160sfo,sfo,CrabMi00,rush_td,0,,,,,
player,201209160sfo,sfo,CrabMi00,rush_long,0,,,,,
player,201209160sfo,sfo,CrabMi00,targets,7,,,,,
player,201209160sfo,sfo,CrabMi00,rec,6,,,,,
player,201209160sfo,sfo,CrabMi00,rec_yds,67,,,,,
player,201209160sfo,sfo,CrabMi00,rec_td,0,,,,,
player,201209160sfo,sfo,CrabMi00,rec_long,17,,,,,
player,201209160sfo,sfo,CrabMi00,fumbles,0,,,,,
player,201209160sfo,sfo,CrabMi00,fumbles_lost,0,,,,,
player,201209160sfo,sfo,MossRa00,pass_cmp,0,,,,,
player,201209160sfo,sfo,MossRa00,pass_att,0,,,,,
player,201209160sfo,sfo,MossRa00,pass_yds,0,,,,,
player,201209160sfo,sfo,MossRa00,pass_td,0,,,,,
player,201209160sfo,sfo,MossRa00,pass_int,0,,,,,
player,201209160sfo,sfo,MossRa00,pass_sacked,0,,,,,
player,201209160sfo,sfo,MossRa00,pass_sacked_yds,0,,,,,
player,201209160sfo,sfo,MossRa00,pass_long,0,,,,,
player,201209160sfo,sfo,MossRa00,pass_rating,,,,,,
player,201209160sfo,sfo,MossRa00,rush_att,0,,,,,
player,201209160sfo,sfo,MossRa00,rush_yds,0,,,,,
player,201209160sfo,sfo,MossRa00,rush_td,0,,,,,
player,201209160sfo,sfo,MossRa00,rush_long,0,,,,,
player,201209160sfo,sfo,MossRa00,targets,1,,,,,
player,201209160sfo,sfo,MossRa00,rec,1,,,,,
player,201209160sfo,sfo,MossRa00,rec_yds,14,,,,,
player,201209160sfo,sfo,MossRa00,rec_td,0,,,,,
player,201209160sfo,sfo,MossRa00,rec_long,14,,,,,
player,201209160sfo,sfo,MossRa00,fumbles,0,,,,,
player,201209160sfo,sfo,MossRa00,fumbles_lost,0,,,,,
player,201209160sfo,sfo,WalkHu00,pass_cmp,0,,,,,
player,201209160sfo,sfo,WalkHu00,pass_att,0,,,,,
player,201209160sfo,sfo,WalkHu00,pass_yds,0,,,,,
player,201209160sfo,sfo,WalkHu00,pass_td,0,,,,,
player,201209160sfo,sfo,WalkHu00,pass_int,0,,,,,
player,201209160sfo,sfo,WalkHu00,pass_sacked,0,,,,,
player,201209160sfo,sfo,WalkHu00,pass_sacked_yds,0,,,,,
player,201209160sfo,sfo,WalkHu00,pass_long,0,,,,,
player,201209160sfo,sfo,WalkHu00,pass_rating,,,,,,
player,201209160sfo,sfo,WalkHu00,rush_att,0,,,,,
player,201209160sfo,sfo,WalkHu00,rush_yds,0,,,,,
player,201209160sfo,sfo,WalkHu00,rush_td,0,,,,,
player,201209160sfo,sfo,WalkHu00,rush_long,0,,,,,
player,201209160sfo,sfo,WalkHu00,targets,2,,,,,
player,201209160sfo,sfo,WalkHu00,rec,1,,,,,
player,201209160sfo,sfo,WalkHu00,rec_yds,7,,,,,
player,201209160sfo,sfo,WalkHu00,rec_td,0,,,,,
player,201209160sfo,sfo,WalkHu00,rec_long,7,,,,,
player,201209160sfo,sfo,WalkHu00,fumbles,0,,,,,
player,201209160sfo,sfo,WalkHu00,fumbles_lost,0,,,,,
player,201209160sfo,sfo,WillKy01,pass_cmp,0,,,,,
player,201209160sfo,sfo,WillKy01,pass_att,0,,,,,
player,201209160sfo,sfo,WillKy01,pass_yds,0,,,,,
player,201209160sfo,sfo,WillKy01,pass_td,0,,,,,
player,201209160sfo,sfo,WillKy01,pass_int,0,,,,,
player,201209160sfo,sfo,WillKy01,pass_sacked,0,,,,,
player,201209160sfo,sfo,WillKy01,pass_sacked_yds,0,,,,,
player,201209160sfo,sfo,WillKy01,pass_long,0,,,,,
player,201209160sfo,sfo,WillKy01,pass_rating,,,,,,
player,201209160sfo,sfo,WillKy01,rush_att,0,,,,,
player,201209160sfo,sfo,WillKy01,rush_yds,0,,,,,
player,201209160sfo,sfo,WillKy01,rush_td,0,,,,,
player,201209160sfo,sfo,WillKy01,rush_long,0,,,,,
player,201209160sfo,sfo,WillKy01,targets,2,,,,,
player,201209160sfo,sfo,WillKy01,rec,0,,,,,
player,201209160sfo,sfo,WillKy01,rec_yds,0,,,,,
player,201209160sfo,sfo,WillKy01,rec_td,0,,,,,
player,201209160sfo,sfo,WillKy01,rec_long,0,,,,,
player,201209160sfo,sfo,WillKy01,fumbles,0,,,,,
player,201209160sfo,sfo,WillKy01,fumbles_lost,0,,,,,
player,201209160sfo,sfo,MillBr02,pass_cmp,0,,,,,
player,201209160sfo,sfo,MillBr02,pass_att,0,,,,,
player,201209160sfo,sfo,MillBr02,pass_yds,0,,,,,
player,201209160sfo,sfo,MillBr02,pass_td,0,,,,,
player,201209160sfo,sfo,MillBr02,pass_int,0,,,,,
player,201209160sfo,sfo,MillBr02,pass_sacked,0,,,,,
player,201209160sfo,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201209160sfo,sfo,MillBr02,pass_long,0,,,,,
player,201209160sfo,sfo,MillBr02,pass_rating,,,,,,
player,201209160sfo,sfo,MillBr02,rush_att,0,,,,,
player,201209160sfo,sfo,MillBr02,rush_yds,0,,,,,
player,201209160sfo,sfo,MillBr02,rush_td,0,,,,,
player,201209160sfo,sfo,MillBr02,rush_long,0,,,,,
player,201209160sfo,sfo,MillBr02,targets,1,,,,,
player,201209160sfo,sfo,MillBr02,rec,0,,,,,
player,201209160sfo,sfo,MillBr02,rec_yds,0,,,,,
player,201209160sfo,sfo,MillBr02,rec_td,0,,,,,
player,201209160sfo,sfo,MillBr02,rec_long,0,,,,,
player,201209160sfo,sfo,MillBr02,fumbles,0,,,,,
player,201209160sfo,sfo,MillBr02,fumbles_lost,0,,,,,
player,201209160sfo,det,SuhxNd99,def_int,0,,,,,
player,201209160sfo,det,SuhxNd99,def_int_yds,0,,,,,
player,201209160sfo,det,SuhxNd99,def_int_td,0,,,,,
player,201209160sfo,det,SuhxNd99,def_int_long,0,,,,,
player,201209160sfo,det,SuhxNd99,pass_defended,0,,,,,
player,201209160sfo,det,SuhxNd99,sacks,1.0,,,,,
player,201209160sfo,det,SuhxNd99,tackles_combined,1,,,,,
player,201209160sfo,det,SuhxNd99,tackles_solo,1,,,,,
player,201209160sfo,det,SuhxNd99,tackles_assists,0,,,,,
player,201209160sfo,det,SuhxNd99,tackles_loss,1,,,,,
player,201209160sfo,det,SuhxNd99,qb_hits,2,,,,,
player,201209160sfo,det,SuhxNd99,fumbles_rec,0,,,,,
player,201209160sfo,det,SuhxNd99,fumbles_rec_yds,0,,,,,
player,201209160sfo,det,SuhxNd99,fumbles_rec_td,0,,,,,
player,201209160sfo,det,SuhxNd99,fumbles_forced,0,,,,,
player,201209160sfo,det,VandKy99,def_int,0,,,,,
player,201209160sfo,det,VandKy99,def_int_yds,0,,,,,
player,201209160sfo,det,VandKy99,def_int_td,0,,,,,
player,201209160sfo,det,VandKy99,def_int_long,0,,,,,
player,201209160sfo,det,VandKy99,pass_defended,0,,,,,
player,201209160sfo,det,VandKy99,sacks,1.0,,,,,
player,201209160sfo,det,VandKy99,tackles_combined,1,,,,,
player,201209160sfo,det,VandKy99,tackles_solo,1,,,,,
player,201209160sfo,det,VandKy99,tackles_assists,0,,,,,
player,201209160sfo,det,VandKy99,tackles_loss,0,,,,,
player,201209160sfo,det,VandKy99,qb_hits,1,,,,,
player,201209160sfo,det,VandKy99,fumbles_rec,0,,,,,
player,201209160sfo,det,VandKy99,fumbles_rec_yds,0,,,,,
player,201209160sfo,det,VandKy99,fumbles_rec_td,0,,,,,
player,201209160sfo,det,VandKy99,fumbles_forced,0,,,,,
player,201209160sfo,det,WillCo21,def_int,0,,,,,
player,201209160sfo,det,WillCo21,def_int_yds,0,,,,,
player,201209160sfo,det,WillCo21,def_int_td,0,,,,,
player,201209160sfo,det,WillCo21,def_int_long,0,,,,,
player,201209160sfo,det,WillCo21,pass_defended,0,,,,,
player,201209160sfo,det,WillCo21,sacks,1.0,,,,,
player,201209160sfo,det,WillCo21,tackles_combined,1,,,,,
player,201209160sfo,det,WillCo21,tackles_solo,1,,,,,
player,201209160sfo,det,WillCo21,tackles_assists,0,,,,,
player,201209160sfo,det,WillCo21,tackles_loss,1,,,,,
