game,2012,8,20121028,201210280den,nor,"New Orleans Saints",14,den,"Denver Broncos",34
player,201210280den,nor,RobyCo00,targets,1,,,,,
player,201210280den,nor,RobyCo00,rec,0,,,,,
player,201210280den,nor,RobyCo00,rec_yds,0,,,,,
player,201210280den,nor,RobyCo00,rec_td,0,,,,,
player,201210280den,nor,RobyCo00,rec_long,0,,,,,
player,201210280den,nor,RobyCo00,fumbles,0,,,,,
player,201210280den,nor,RobyCo00,fumbles_lost,0,,,,,
player,201210280den,nor,HendDe00,pass_cmp,0,,,,,
player,201210280den,nor,HendDe00,pass_att,0,,,,,
player,201210280den,nor,HendDe00,pass_yds,0,,,,,
player,201210280den,nor,HendDe00,pass_td,0,,,,,
player,201210280den,nor,HendDe00,pass_int,0,,,,,
player,201210280den,nor,HendDe00,pass_sacked,0,,,,,
player,201210280den,nor,HendDe00,pass_sacked_yds,0,,,,,
player,201210280den,nor,HendDe00,pass_long,0,,,,,
player,201210280den,nor,HendDe00,pass_rating,,,,,,
player,201210280den,nor,HendDe00,rush_att,0,,,,,
player,201210280den,nor,HendDe00,rush_yds,0,,,,,
player,201210280den,nor,HendDe00,rush_td,0,,,,,
player,201210280den,nor,HendDe00,rush_long,0,,,,,
player,201210280den,nor,HendDe00,targets,4,,,,,
player,201210280den,nor,HendDe00,rec,0,,,,,
player,201210280den,nor,HendDe00,rec_yds,0,,,,,
player,201210280den,nor,HendDe00,rec_td,0,,,,,
player,201210280den,nor,HendDe00,rec_long,0,,,,,
player,201210280den,nor,HendDe00,fumbles,0,,,,,
player,201210280den,nor,HendDe00,fumbles_lost,0,,,,,
player,201210280den,nor,SproDa00,pass_cmp,0,,,,,
player,201210280den,nor,SproDa00,pass_att,0,,,,,
player,201210280den,nor,SproDa00,pass_yds,0,,,,,
player,201210280den,nor,SproDa00,pass_td,0,,,,,
player,201210280den,nor,SproDa00,pass_int,0,,,,,
player,201210280den,nor,SproDa00,pass_sacked,0,,,,,
player,201210280den,nor,SproDa00,pass_sacked_yds,0,,,,,
player,201210280den,nor,SproDa00,pass_long,0,,,,,
player,201210280den,nor,SproDa00,pass_rating,,,,,,
player,201210280den,nor,SproDa00,rush_att,4,,,,,
player,201210280den,nor,SproDa00,rush_yds,-1,,,,,
player,201210280den,nor,SproDa00,rush_td,0,,,,,
player,201210280den,nor,SproDa00,rush_long,5,,,,,
player,201210280den,nor,SproDa00,targets,9,,,,,
player,201210280den,nor,SproDa00,rec,7,,,,,
player,201210280den,nor,SproDa00,rec_yds,56,,,,,
player,201210280den,nor,SproDa00,rec_td,1,,,,,
player,201210280den,nor,SproDa00,rec_long,29,,,,,
player,201210280den,nor,SproDa00,fumbles,0,,,,,
player,201210280den,nor,SproDa00,fumbles_lost,0,,,,,
player,201210280den,den,MannPe00,pass_cmp,22,,,,,
player,201210280den,den,MannPe00,pass_att,30,,,,,
player,201210280den,den,MannPe00,pass_yds,305,,,,,
player,201210280den,den,MannPe00,pass_td,3,,,,,
player,201210280den,den,MannPe00,pass_int,0,,,,,
player,201210280den,den,MannPe00,pass_sacked,0,,,,,
player,201210280den,den,MannPe00,pass_sacked_yds,0,,,,,
player,201210280den,den,MannPe00,pass_long,41,,,,,
player,201210280den,den,MannPe00,pass_rating,138.9,,,,,
player,201210280den,den,MannPe00,rush_att,1,,,,,
player,201210280den,den,MannPe00,rush_yds,4,,,,,
player,201210280den,den,MannPe00,rush_td,0,,,,,
player,201210280den,den,MannPe00,rush_long,4,,,,,
player,201210280den,den,MannPe00,targets,0,,,,,
player,201210280den,den,MannPe00,rec,0,,,,,
player,201210280den,den,MannPe00,rec_yds,0,,,,,
player,201210280den,den,MannPe00,rec_td,0,,,,,
player,201210280den,den,MannPe00,rec_long,0,,,,,
player,201210280den,den,MannPe00,fumbles,0,,,,,
player,201210280den,den,MannPe00,fumbles_lost,0,,,,,
player,201210280den,den,McGaWi00,pass_cmp,0,,,,,
player,201210280den,den,McGaWi00,pass_att,0,,,,,
player,201210280den,den,McGaWi00,pass_yds,0,,,,,
player,201210280den,den,McGaWi00,pass_td,0,,,,,
player,201210280den,den,McGaWi00,pass_int,0,,,,,
player,201210280den,den,McGaWi00,pass_sacked,0,,,,,
player,201210280den,den,McGaWi00,pass_sacked_yds,0,,,,,
player,201210280den,den,McGaWi00,pass_long,0,,,,,
player,201210280den,den,McGaWi00,pass_rating,,,,,,
player,201210280den,den,McGaWi00,rush_att,23,,,,,
player,201210280den,den,McGaWi00,rush_yds,122,,,,,
player,201210280den,den,McGaWi00,rush_td,1,,,,,
player,201210280den,den,McGaWi00,rush_long,17,,,,,
player,201210280den,den,McGaWi00,targets,2,,,,,
player,201210280den,den,McGaWi00,rec,2,,,,,
player,201210280den,den,McGaWi00,rec_yds,33,,,,,
player,201210280den,den,McGaWi00,rec_td,0,,,,,
player,201210280den,den,McGaWi00,rec_long,19,,,,,
player,201210280den,den,McGaWi00,fumbles,1,,,,,
player,201210280den,den,McGaWi00,fumbles_lost,1,,,,,
player,201210280den,den,HillRo00,pass_cmp,0,,,,,
player,201210280den,den,HillRo00,pass_att,0,,,,,
player,201210280den,den,HillRo00,pass_yds,0,,,,,
player,201210280den,den,HillRo00,pass_td,0,,,,,
player,201210280den,den,HillRo00,pass_int,0,,,,,
player,201210280den,den,HillRo00,pass_sacked,0,,,,,
player,201210280den,den,HillRo00,pass_sacked_yds,0,,,,,
player,201210280den,den,HillRo00,pass_long,0,,,,,
player,201210280den,den,HillRo00,pass_rating,,,,,,
player,201210280den,den,HillRo00,rush_att,14,,,,,
player,201210280den,den,HillRo00,rush_yds,86,,,,,
player,201210280den,den,HillRo00,rush_td,0,,,,,
player,201210280den,den,HillRo00,rush_long,31,,,,,
player,201210280den,den,HillRo00,targets,1,,,,,
player,201210280den,den,HillRo00,rec,1,,,,,
player,201210280den,den,HillRo00,rec_yds,-4,,,,,
player,201210280den,den,HillRo00,rec_td,0,,,,,
player,201210280den,den,HillRo00,rec_long,-4,,,,,
player,201210280den,den,HillRo00,fumbles,1,,,,,
player,201210280den,den,HillRo00,fumbles_lost,0,,,,,
player,201210280den,den,BallLa00,pass_cmp,0,,,,,
player,201210280den,den,BallLa00,pass_att,0,,,,,
player,201210280den,den,BallLa00,pass_yds,0,,,,,
player,201210280den,den,BallLa00,pass_td,0,,,,,
player,201210280den,den,BallLa00,pass_int,0,,,,,
player,201210280den,den,BallLa00,pass_sacked,0,,,,,
player,201210280den,den,BallLa00,pass_sacked_yds,0,,,,,
player,201210280den,den,BallLa00,pass_long,0,,,,,
player,201210280den,den,BallLa00,pass_rating,,,,,,
player,201210280den,den,BallLa00,rush_att,2,,,,,
player,201210280den,den,BallLa00,rush_yds,14,,,,,
player,201210280den,den,BallLa00,rush_td,0,,,,,
player,201210280den,den,BallLa00,rush_long,10,,,,,
player,201210280den,den,BallLa00,targets,0,,,,,
player,201210280den,den,BallLa00,rec,0,,,,,
player,201210280den,den,BallLa00,rec_yds,0,,,,,
player,201210280den,den,BallLa00,rec_td,0,,,,,
player,201210280den,den,BallLa00,rec_long,0,,,,,
player,201210280den,den,BallLa00,fumbles,0,,,,,
player,201210280den,den,BallLa00,fumbles_lost,0,,,,,
player,201210280den,den,ThomDe03,pass_cmp,0,,,,,
player,201210280den,den,ThomDe03,pass_att,0,,,,,
player,201210280den,den,ThomDe03,pass_yds,0,,,,,
player,201210280den,den,ThomDe03,pass_td,0,,,,,
player,201210280den,den,ThomDe03,pass_int,0,,,,,
player,201210280den,den,ThomDe03,pass_sacked,0,,,,,
player,201210280den,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201210280den,den,ThomDe03,pass_long,0,,,,,
player,201210280den,den,ThomDe03,pass_rating,,,,,,
