game,2012,13,20121202,201212020ram,sfo,"San Francisco 49ers",13,ram,"St. Louis Rams",16
player,201212020ram,sfo,DaviVe00,pass_int,0,,,,,
player,201212020ram,sfo,DaviVe00,pass_sacked,0,,,,,
player,201212020ram,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201212020ram,sfo,DaviVe00,pass_long,0,,,,,
player,201212020ram,sfo,DaviVe00,pass_rating,,,,,,
player,201212020ram,sfo,DaviVe00,rush_att,0,,,,,
player,201212020ram,sfo,DaviVe00,rush_yds,0,,,,,
player,201212020ram,sfo,DaviVe00,rush_td,0,,,,,
player,201212020ram,sfo,DaviVe00,rush_long,0,,,,,
player,201212020ram,sfo,DaviVe00,targets,3,,,,,
player,201212020ram,sfo,DaviVe00,rec,2,,,,,
player,201212020ram,sfo,DaviVe00,rec_yds,15,,,,,
player,201212020ram,sfo,DaviVe00,rec_td,0,,,,,
player,201212020ram,sfo,DaviVe00,rec_long,9,,,,,
player,201212020ram,sfo,DaviVe00,fumbles,0,,,,,
player,201212020ram,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201212020ram,sfo,WalkHu00,pass_cmp,0,,,,,
player,201212020ram,sfo,WalkHu00,pass_att,0,,,,,
player,201212020ram,sfo,WalkHu00,pass_yds,0,,,,,
player,201212020ram,sfo,WalkHu00,pass_td,0,,,,,
player,201212020ram,sfo,WalkHu00,pass_int,0,,,,,
player,201212020ram,sfo,WalkHu00,pass_sacked,0,,,,,
player,201212020ram,sfo,WalkHu00,pass_sacked_yds,0,,,,,
player,201212020ram,sfo,WalkHu00,pass_long,0,,,,,
player,201212020ram,sfo,WalkHu00,pass_rating,,,,,,
player,201212020ram,sfo,WalkHu00,rush_att,0,,,,,
player,201212020ram,sfo,WalkHu00,rush_yds,0,,,,,
player,201212020ram,sfo,WalkHu00,rush_td,0,,,,,
player,201212020ram,sfo,WalkHu00,rush_long,0,,,,,
player,201212020ram,sfo,WalkHu00,targets,2,,,,,
player,201212020ram,sfo,WalkHu00,rec,1,,,,,
player,201212020ram,sfo,WalkHu00,rec_yds,7,,,,,
player,201212020ram,sfo,WalkHu00,rec_td,0,,,,,
player,201212020ram,sfo,WalkHu00,rec_long,7,,,,,
player,201212020ram,sfo,WalkHu00,fumbles,0,,,,,
player,201212020ram,sfo,WalkHu00,fumbles_lost,0,,,,,
player,201212020ram,sfo,GinnTe00,pass_cmp,0,,,,,
player,201212020ram,sfo,GinnTe00,pass_att,0,,,,,
player,201212020ram,sfo,GinnTe00,pass_yds,0,,,,,
player,201212020ram,sfo,GinnTe00,pass_td,0,,,,,
player,201212020ram,sfo,GinnTe00,pass_int,0,,,,,
player,201212020ram,sfo,GinnTe00,pass_sacked,0,,,,,
player,201212020ram,sfo,GinnTe00,pass_sacked_yds,0,,,,,
player,201212020ram,sfo,GinnTe00,pass_long,0,,,,,
player,201212020ram,sfo,GinnTe00,pass_rating,,,,,,
player,201212020ram,sfo,GinnTe00,rush_att,0,,,,,
player,201212020ram,sfo,GinnTe00,rush_yds,0,,,,,
player,201212020ram,sfo,GinnTe00,rush_td,0,,,,,
player,201212020ram,sfo,GinnTe00,rush_long,0,,,,,
player,201212020ram,sfo,GinnTe00,targets,1,,,,,
player,201212020ram,sfo,GinnTe00,rec,1,,,,,
player,201212020ram,sfo,GinnTe00,rec_yds,1,,,,,
player,201212020ram,sfo,GinnTe00,rec_td,0,,,,,
player,201212020ram,sfo,GinnTe00,rec_long,1,,,,,
player,201212020ram,sfo,GinnTe00,fumbles,0,,,,,
player,201212020ram,sfo,GinnTe00,fumbles_lost,0,,,,,
player,201212020ram,ram,BradSa00,pass_cmp,26,,,,,
player,201212020ram,ram,BradSa00,pass_att,39,,,,,
player,201212020ram,ram,BradSa00,pass_yds,221,,,,,
player,201212020ram,ram,BradSa00,pass_td,0,,,,,
player,201212020ram,ram,BradSa00,pass_int,0,,,,,
player,201212020ram,ram,BradSa00,pass_sacked,2,,,,,
