game,2012,14,20121209,201212090sfo,mia,"Miami Dolphins",13,sfo,"San Francisco 49ers",27
player,201212090sfo,mia,MattRi00,targets,2,,,,,
player,201212090sfo,mia,MattRi00,rec,1,,,,,
player,201212090sfo,mia,MattRi00,rec_yds,8,,,,,
player,201212090sfo,mia,MattRi00,rec_td,0,,,,,
player,201212090sfo,mia,MattRi00,rec_long,8,,,,,
player,201212090sfo,mia,MattRi00,fumbles,0,,,,,
player,201212090sfo,mia,MattRi00,fumbles_lost,0,,,,,
player,201212090sfo,mia,ClayCh00,pass_cmp,0,,,,,
player,201212090sfo,mia,ClayCh00,pass_att,0,,,,,
player,201212090sfo,mia,ClayCh00,pass_yds,0,,,,,
player,201212090sfo,mia,ClayCh00,pass_td,0,,,,,
player,201212090sfo,mia,ClayCh00,pass_int,0,,,,,
player,201212090sfo,mia,ClayCh00,pass_sacked,0,,,,,
player,201212090sfo,mia,ClayCh00,pass_sacked_yds,0,,,,,
player,201212090sfo,mia,ClayCh00,pass_long,0,,,,,
player,201212090sfo,mia,ClayCh00,pass_rating,,,,,,
player,201212090sfo,mia,ClayCh00,rush_att,0,,,,,
player,201212090sfo,mia,ClayCh00,rush_yds,0,,,,,
player,201212090sfo,mia,ClayCh00,rush_td,0,,,,,
player,201212090sfo,mia,ClayCh00,rush_long,0,,,,,
player,201212090sfo,mia,ClayCh00,targets,2,,,,,
player,201212090sfo,mia,ClayCh00,rec,1,,,,,
player,201212090sfo,mia,ClayCh00,rec_yds,3,,,,,
player,201212090sfo,mia,ClayCh00,rec_td,0,,,,,
player,201212090sfo,mia,ClayCh00,rec_long,3,,,,,
player,201212090sfo,mia,ClayCh00,fumbles,0,,,,,
player,201212090sfo,mia,ClayCh00,fumbles_lost,0,,,,,
player,201212090sfo,mia,MoorMa02,pass_cmp,0,,,,,
player,201212090sfo,mia,MoorMa02,pass_att,0,,,,,
player,201212090sfo,mia,MoorMa02,pass_yds,0,,,,,
player,201212090sfo,mia,MoorMa02,pass_td,0,,,,,
player,201212090sfo,mia,MoorMa02,pass_int,0,,,,,
player,201212090sfo,mia,MoorMa02,pass_sacked,0,,,,,
player,201212090sfo,mia,MoorMa02,pass_sacked_yds,0,,,,,
player,201212090sfo,mia,MoorMa02,pass_long,0,,,,,
player,201212090sfo,mia,MoorMa02,pass_rating,,,,,,
player,201212090sfo,mia,MoorMa02,rush_att,0,,,,,
player,201212090sfo,mia,MoorMa02,rush_yds,0,,,,,
player,201212090sfo,mia,MoorMa02,rush_td,0,,,,,
player,201212090sfo,mia,MoorMa02,rush_long,0,,,,,
player,201212090sfo,mia,MoorMa02,targets,1,,,,,
player,201212090sfo,mia,MoorMa02,rec,0,,,,,
player,201212090sfo,mia,MoorMa02,rec_yds,0,,,,,
player,201212090sfo,mia,MoorMa02,rec_td,0,,,,,
player,201212090sfo,mia,MoorMa02,rec_long,0,,,,,
player,201212090sfo,mia,MoorMa02,fumbles,0,,,,,
player,201212090sfo,mia,MoorMa02,fumbles_lost,0,,,,,
player,201212090sfo,sfo,KaepCo00,pass_cmp,18,,,,,
player,201212090sfo,sfo,KaepCo00,pass_att,23,,,,,
player,201212090sfo,sfo,KaepCo00,pass_yds,185,,,,,
player,201212090sfo,sfo,KaepCo00,pass_td,0,,,,,
player,201212090sfo,sfo,KaepCo00,pass_int,0,,,,,
player,201212090sfo,sfo,KaepCo00,pass_sacked,4,,,,,
player,201212090sfo,sfo,KaepCo00,pass_sacked_yds,19,,,,,
player,201212090sfo,sfo,KaepCo00,pass_long,25,,,,,
player,201212090sfo,sfo,KaepCo00,pass_rating,100.2,,,,,
player,201212090sfo,sfo,KaepCo00,rush_att,6,,,,,
player,201212090sfo,sfo,KaepCo00,rush_yds,53,,,,,
player,201212090sfo,sfo,KaepCo00,rush_td,1,,,,,
player,201212090sfo,sfo,KaepCo00,rush_long,50,,,,,
player,201212090sfo,sfo,KaepCo00,targets,0,,,,,
player,201212090sfo,sfo,KaepCo00,rec,0,,,,,
player,201212090sfo,sfo,KaepCo00,rec_yds,0,,,,,
player,201212090sfo,sfo,KaepCo00,rec_td,0,,,,,
player,201212090sfo,sfo,KaepCo00,rec_long,0,,,,,
player,201212090sfo,sfo,KaepCo00,fumbles,1,,,,,
player,201212090sfo,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201212090sfo,sfo,GoreFr00,pass_cmp,0,,,,,
player,201212090sfo,sfo,GoreFr00,pass_att,0,,,,,
player,201212090sfo,sfo,GoreFr00,pass_yds,0,,,,,
player,201212090sfo,sfo,GoreFr00,pass_td,0,,,,,
player,201212090sfo,sfo,GoreFr00,pass_int,0,,,,,
player,201212090sfo,sfo,GoreFr00,pass_sacked,0,,,,,
player,201212090sfo,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201212090sfo,sfo,GoreFr00,pass_long,0,,,,,
player,201212090sfo,sfo,GoreFr00,pass_rating,,,,,,
player,201212090sfo,sfo,GoreFr00,rush_att,12,,,,,
player,201212090sfo,sfo,GoreFr00,rush_yds,63,,,,,
player,201212090sfo,sfo,GoreFr00,rush_td,1,,,,,
player,201212090sfo,sfo,GoreFr00,rush_long,19,,,,,
player,201212090sfo,sfo,GoreFr00,targets,2,,,,,
player,201212090sfo,sfo,GoreFr00,rec,2,,,,,
player,201212090sfo,sfo,GoreFr00,rec_yds,22,,,,,
player,201212090sfo,sfo,GoreFr00,rec_td,0,,,,,
player,201212090sfo,sfo,GoreFr00,rec_long,19,,,,,
player,201212090sfo,sfo,GoreFr00,fumbles,0,,,,,
player,201212090sfo,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201212090sfo,sfo,JameLa00,pass_cmp,0,,,,,
player,201212090sfo,sfo,JameLa00,pass_att,0,,,,,
player,201212090sfo,sfo,JameLa00,pass_yds,0,,,,,
player,201212090sfo,sfo,JameLa00,pass_td,0,,,,,
player,201212090sfo,sfo,JameLa00,pass_int,0,,,,,
player,201212090sfo,sfo,JameLa00,pass_sacked,0,,,,,
player,201212090sfo,sfo,JameLa00,pass_sacked_yds,0,,,,,
player,201212090sfo,sfo,JameLa00,pass_long,0,,,,,
player,201212090sfo,sfo,JameLa00,pass_rating,,,,,,
player,201212090sfo,sfo,JameLa00,rush_att,8,,,,,
player,201212090sfo,sfo,JameLa00,rush_yds,30,,,,,
player,201212090sfo,sfo,JameLa00,rush_td,0,,,,,
player,201212090sfo,sfo,JameLa00,rush_long,13,,,,,
player,201212090sfo,sfo,JameLa00,targets,1,,,,,
player,201212090sfo,sfo,JameLa00,rec,1,,,,,
player,201212090sfo,sfo,JameLa00,rec_yds,15,,,,,
player,201212090sfo,sfo,JameLa00,rec_td,0,,,,,
player,201212090sfo,sfo,JameLa00,rec_long,15,,,,,
player,201212090sfo,sfo,JameLa00,fumbles,0,,,,,
player,201212090sfo,sfo,JameLa00,fumbles_lost,0,,,,,
player,201212090sfo,sfo,DixoAn00,pass_cmp,0,,,,,
player,201212090sfo,sfo,DixoAn00,pass_att,0,,,,,
player,201212090sfo,sfo,DixoAn00,pass_yds,0,,,,,
player,201212090sfo,sfo,DixoAn00,pass_td,0,,,,,
player,201212090sfo,sfo,DixoAn00,pass_int,0,,,,,
player,201212090sfo,sfo,DixoAn00,pass_sacked,0,,,,,
player,201212090sfo,sfo,DixoAn00,pass_sacked_yds,0,,,,,
player,201212090sfo,sfo,DixoAn00,pass_long,0,,,,,
player,201212090sfo,sfo,DixoAn00,pass_rating,,,,,,
player,201212090sfo,sfo,DixoAn00,rush_att,2,,,,,
player,201212090sfo,sfo,DixoAn00,rush_yds,9,,,,,
player,201212090sfo,sfo,DixoAn00,rush_td,1,,,,,
player,201212090sfo,sfo,DixoAn00,rush_long,8,,,,,
player,201212090sfo,sfo,DixoAn00,targets,0,,,,,
player,201212090sfo,sfo,DixoAn00,rec,0,,,,,
player,201212090sfo,sfo,DixoAn00,rec_yds,0,,,,,
player,201212090sfo,sfo,DixoAn00,rec_td,0,,,,,
player,201212090sfo,sfo,DixoAn00,rec_long,0,,,,,
player,201212090sfo,sfo,DixoAn00,fumbles,0,,,,,
player,201212090sfo,sfo,DixoAn00,fumbles_lost,0,,,,,
player,201212090sfo,sfo,CrabMi00,pass_cmp,0,,,,,
player,201212090sfo,sfo,CrabMi00,pass_att,0,,,,,
player,201212090sfo,sfo,CrabMi00,pass_yds,0,,,,,
player,201212090sfo,sfo,CrabMi00,pass_td,0,,,,,
player,201212090sfo,sfo,CrabMi00,pass_int,0,,,,,
player,201212090sfo,sfo,CrabMi00,pass_sacked,0,,,,,
player,201212090sfo,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201212090sfo,sfo,CrabMi00,pass_long,0,,,,,
player,201212090sfo,sfo,CrabMi00,pass_rating,,,,,,
player,201212090sfo,sfo,CrabMi00,rush_att,0,,,,,
player,201212090sfo,sfo,CrabMi00,rush_yds,0,,,,,
player,201212090sfo,sfo,CrabMi00,rush_td,0,,,,,
player,201212090sfo,sfo,CrabMi00,rush_long,0,,,,,
player,201212090sfo,sfo,CrabMi00,targets,11,,,,,
player,201212090sfo,sfo,CrabMi00,rec,9,,,,,
player,201212090sfo,sfo,CrabMi00,rec_yds,93,,,,,
player,201212090sfo,sfo,CrabMi00,rec_td,0,,,,,
player,201212090sfo,sfo,CrabMi00,rec_long,25,,,,,
player,201212090sfo,sfo,CrabMi00,fumbles,0,,,,,
player,201212090sfo,sfo,CrabMi00,fumbles_lost,0,,,,,
player,201212090sfo,sfo,MossRa00,pass_cmp,0,,,,,
player,201212090sfo,sfo,MossRa00,pass_att,0,,,,,
player,201212090sfo,sfo,MossRa00,pass_yds,0,,,,,
player,201212090sfo,sfo,MossRa00,pass_td,0,,,,,
player,201212090sfo,sfo,MossRa00,pass_int,0,,,,,
player,201212090sfo,sfo,MossRa00,pass_sacked,0,,,,,
player,201212090sfo,sfo,MossRa00,pass_sacked_yds,0,,,,,
player,201212090sfo,sfo,MossRa00,pass_long,0,,,,,
player,201212090sfo,sfo,MossRa00,pass_rating,,,,,,
player,201212090sfo,sfo,MossRa00,rush_att,0,,,,,
player,201212090sfo,sfo,MossRa00,rush_yds,0,,,,,
player,201212090sfo,sfo,MossRa00,rush_td,0,,,,,
player,201212090sfo,sfo,MossRa00,rush_long,0,,,,,
player,201212090sfo,sfo,MossRa00,targets,4,,,,,
player,201212090sfo,sfo,MossRa00,rec,2,,,,,
player,201212090sfo,sfo,MossRa00,rec_yds,30,,,,,
player,201212090sfo,sfo,MossRa00,rec_td,0,,,,,
player,201212090sfo,sfo,MossRa00,rec_long,17,,,,,
player,201212090sfo,sfo,MossRa00,fumbles,0,,,,,
player,201212090sfo,sfo,MossRa00,fumbles_lost,0,,,,,
player,201212090sfo,sfo,WalkHu00,pass_cmp,0,,,,,
player,201212090sfo,sfo,WalkHu00,pass_att,0,,,,,
player,201212090sfo,sfo,WalkHu00,pass_yds,0,,,,,
player,201212090sfo,sfo,WalkHu00,pass_td,0,,,,,
player,201212090sfo,sfo,WalkHu00,pass_int,0,,,,,
player,201212090sfo,sfo,WalkHu00,pass_sacked,0,,,,,
player,201212090sfo,sfo,WalkHu00,pass_sacked_yds,0,,,,,
player,201212090sfo,sfo,WalkHu00,pass_long,0,,,,,
player,201212090sfo,sfo,WalkHu00,pass_rating,,,,,,
player,201212090sfo,sfo,WalkHu00,rush_att,0,,,,,
player,201212090sfo,sfo,WalkHu00,rush_yds,0,,,,,
player,201212090sfo,sfo,WalkHu00,rush_td,0,,,,,
player,201212090sfo,sfo,WalkHu00,rush_long,0,,,,,
player,201212090sfo,sfo,WalkHu00,targets,1,,,,,
player,201212090sfo,sfo,WalkHu00,rec,1,,,,,
player,201212090sfo,sfo,WalkHu00,rec_yds,20,,,,,
player,201212090sfo,sfo,WalkHu00,rec_td,0,,,,,
player,201212090sfo,sfo,WalkHu00,rec_long,20,,,,,
player,201212090sfo,sfo,WalkHu00,fumbles,0,,,,,
player,201212090sfo,sfo,WalkHu00,fumbles_lost,0,,,,,
player,201212090sfo,sfo,DaviVe00,pass_cmp,0,,,,,
player,201212090sfo,sfo,DaviVe00,pass_att,0,,,,,
player,201212090sfo,sfo,DaviVe00,pass_yds,0,,,,,
player,201212090sfo,sfo,DaviVe00,pass_td,0,,,,,
player,201212090sfo,sfo,DaviVe00,pass_int,0,,,,,
player,201212090sfo,sfo,DaviVe00,pass_sacked,0,,,,,
player,201212090sfo,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201212090sfo,sfo,DaviVe00,pass_long,0,,,,,
player,201212090sfo,sfo,DaviVe00,pass_rating,,,,,,
player,201212090sfo,sfo,DaviVe00,rush_att,0,,,,,
player,201212090sfo,sfo,DaviVe00,rush_yds,0,,,,,
player,201212090sfo,sfo,DaviVe00,rush_td,0,,,,,
player,201212090sfo,sfo,DaviVe00,rush_long,0,,,,,
player,201212090sfo,sfo,DaviVe00,targets,2,,,,,
player,201212090sfo,sfo,DaviVe00,rec,1,,,,,
player,201212090sfo,sfo,DaviVe00,rec_yds,4,,,,,
player,201212090sfo,sfo,DaviVe00,rec_td,0,,,,,
player,201212090sfo,sfo,DaviVe00,rec_long,4,,,,,
player,201212090sfo,sfo,DaviVe00,fumbles,0,,,,,
player,201212090sfo,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201212090sfo,sfo,MillBr02,pass_cmp,0,,,,,
player,201212090sfo,sfo,MillBr02,pass_att,0,,,,,
player,201212090sfo,sfo,MillBr02,pass_yds,0,,,,,
player,201212090sfo,sfo,MillBr02,pass_td,0,,,,,
player,201212090sfo,sfo,MillBr02,pass_int,0,,,,,
player,201212090sfo,sfo,MillBr02,pass_sacked,0,,,,,
player,201212090sfo,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201212090sfo,sfo,MillBr02,pass_long,0,,,,,
player,201212090sfo,sfo,MillBr02,pass_rating,,,,,,
player,201212090sfo,sfo,MillBr02,rush_att,0,,,,,
player,201212090sfo,sfo,MillBr02,rush_yds,0,,,,,
player,201212090sfo,sfo,MillBr02,rush_td,0,,,,,
player,201212090sfo,sfo,MillBr02,rush_long,0,,,,,
player,201212090sfo,sfo,MillBr02,targets,2,,,,,
player,201212090sfo,sfo,MillBr02,rec,2,,,,,
player,201212090sfo,sfo,MillBr02,rec_yds,1,,,,,
player,201212090sfo,sfo,MillBr02,rec_td,0,,,,,
player,201212090sfo,sfo,MillBr02,rec_long,2,,,,,
player,201212090sfo,sfo,MillBr02,fumbles,0,,,,,
player,201212090sfo,sfo,MillBr02,fumbles_lost,0,,,,,
player,201212090sfo,mia,WakeCa00,def_int,0,,,,,
player,201212090sfo,mia,WakeCa00,def_int_yds,0,,,,,
player,201212090sfo,mia,WakeCa00,def_int_td,0,,,,,
player,201212090sfo,mia,WakeCa00,def_int_long,0,,,,,
player,201212090sfo,mia,WakeCa00,pass_defended,0,,,,,
player,201212090sfo,mia,WakeCa00,sacks,3.0,,,,,
player,201212090sfo,mia,WakeCa00,tackles_combined,6,,,,,
player,201212090sfo,mia,WakeCa00,tackles_solo,6,,,,,
player,201212090sfo,mia,WakeCa00,tackles_assists,0,,,,,
player,201212090sfo,mia,WakeCa00,tackles_loss,2,,,,,
player,201212090sfo,mia,WakeCa00,qb_hits,4,,,,,
player,201212090sfo,mia,WakeCa00,fumbles_rec,0,,,,,
player,201212090sfo,mia,WakeCa00,fumbles_rec_yds,0,,,,,
player,201212090sfo,mia,WakeCa00,fumbles_rec_td,0,,,,,
player,201212090sfo,mia,WakeCa00,fumbles_forced,1,,,,,
player,201212090sfo,mia,OdriJa99,def_int,0,,,,,
player,201212090sfo,mia,OdriJa99,def_int_yds,0,,,,,
player,201212090sfo,mia,OdriJa99,def_int_td,0,,,,,
player,201212090sfo,mia,OdriJa99,def_int_long,0,,,,,
player,201212090sfo,mia,OdriJa99,pass_defended,0,,,,,
player,201212090sfo,mia,OdriJa99,sacks,1.0,,,,,
player,201212090sfo,mia,OdriJa99,tackles_combined,4,,,,,
player,201212090sfo,mia,OdriJa99,tackles_solo,3,,,,,
player,201212090sfo,mia,OdriJa99,tackles_assists,1,,,,,
player,201212090sfo,mia,OdriJa99,tackles_loss,3,,,,,
player,201212090sfo,mia,OdriJa99,qb_hits,1,,,,,
player,201212090sfo,mia,OdriJa99,fumbles_rec,0,,,,,
player,201212090sfo,mia,OdriJa99,fumbles_rec_yds,0,,,,,
player,201212090sfo,mia,OdriJa99,fumbles_rec_td,0,,,,,
player,201212090sfo,mia,OdriJa99,fumbles_forced,0,,,,,
player,201212090sfo,mia,DansKa20,def_int,0,,,,,
player,201212090sfo,mia,DansKa20,def_int_yds,0,,,,,
player,201212090sfo,mia,DansKa20,def_int_td,0,,,,,
player,201212090sfo,mia,DansKa20,def_int_long,0,,,,,
