game,2012,9,20121105,201211050nor,phi,"Philadelphia Eagles",13,nor,"New Orleans Saints",28
player,201211050nor,phi,HaviSt00,pass_sacked_yds,0,,,,,
player,201211050nor,phi,HaviSt00,pass_long,0,,,,,
player,201211050nor,phi,HaviSt00,pass_rating,,,,,,
player,201211050nor,phi,HaviSt00,rush_att,0,,,,,
player,201211050nor,phi,HaviSt00,rush_yds,0,,,,,
player,201211050nor,phi,HaviSt00,rush_td,0,,,,,
player,201211050nor,phi,HaviSt00,rush_long,0,,,,,
player,201211050nor,phi,HaviSt00,targets,1,,,,,
player,201211050nor,phi,HaviSt00,rec,1,,,,,
player,201211050nor,phi,HaviSt00,rec_yds,7,,,,,
player,201211050nor,phi,HaviSt00,rec_td,0,,,,,
player,201211050nor,phi,HaviSt00,rec_long,7,,,,,
player,201211050nor,phi,HaviSt00,fumbles,0,,,,,
player,201211050nor,phi,HaviSt00,fumbles_lost,0,,,,,
player,201211050nor,phi,CoopRi00,pass_cmp,0,,,,,
player,201211050nor,phi,CoopRi00,pass_att,0,,,,,
player,201211050nor,phi,CoopRi00,pass_yds,0,,,,,
player,201211050nor,phi,CoopRi00,pass_td,0,,,,,
player,201211050nor,phi,CoopRi00,pass_int,0,,,,,
player,201211050nor,phi,CoopRi00,pass_sacked,0,,,,,
player,201211050nor,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201211050nor,phi,CoopRi00,pass_long,0,,,,,
player,201211050nor,phi,CoopRi00,pass_rating,,,,,,
player,201211050nor,phi,CoopRi00,rush_att,0,,,,,
player,201211050nor,phi,CoopRi00,rush_yds,0,,,,,
player,201211050nor,phi,CoopRi00,rush_td,0,,,,,
player,201211050nor,phi,CoopRi00,rush_long,0,,,,,
player,201211050nor,phi,CoopRi00,targets,1,,,,,
player,201211050nor,phi,CoopRi00,rec,0,,,,,
player,201211050nor,phi,CoopRi00,rec_yds,0,,,,,
player,201211050nor,phi,CoopRi00,rec_td,0,,,,,
player,201211050nor,phi,CoopRi00,rec_long,0,,,,,
