game,2012,2,20120916,201209160mia,rai,"Oakland Raiders",13,mia,"Miami Dolphins",35
player,201209160mia,mia,MillLa01,pass_sacked,0,,,,,
player,201209160mia,mia,MillLa01,pass_sacked_yds,0,,,,,
player,201209160mia,mia,MillLa01,pass_long,0,,,,,
player,201209160mia,mia,MillLa01,pass_rating,,,,,,
player,201209160mia,mia,MillLa01,rush_att,10,,,,,
player,201209160mia,mia,MillLa01,rush_yds,65,,,,,
player,201209160mia,mia,MillLa01,rush_td,1,,,,,
player,201209160mia,mia,MillLa01,rush_long,19,,,,,
player,201209160mia,mia,MillLa01,targets,0,,,,,
player,201209160mia,mia,MillLa01,rec,0,,,,,
player,201209160mia,mia,MillLa01,rec_yds,0,,,,,
player,201209160mia,mia,MillLa01,rec_td,0,,,,,
player,201209160mia,mia,MillLa01,rec_long,0,,,,,
player,201209160mia,mia,MillLa01,fumbles,0,,,,,
player,201209160mia,mia,MillLa01,fumbles_lost,0,,,,,
player,201209160mia,mia,LaneJo00,pass_cmp,0,,,,,
player,201209160mia,mia,LaneJo00,pass_att,0,,,,,
player,201209160mia,mia,LaneJo00,pass_yds,0,,,,,
player,201209160mia,mia,LaneJo00,pass_td,0,,,,,
player,201209160mia,mia,LaneJo00,pass_int,0,,,,,
player,201209160mia,mia,LaneJo00,pass_sacked,0,,,,,
player,201209160mia,mia,LaneJo00,pass_sacked_yds,0,,,,,
player,201209160mia,mia,LaneJo00,pass_long,0,,,,,
player,201209160mia,mia,LaneJo00,pass_rating,,,,,,
player,201209160mia,mia,LaneJo00,rush_att,4,,,,,
player,201209160mia,mia,LaneJo00,rush_yds,12,,,,,
player,201209160mia,mia,LaneJo00,rush_td,0,,,,,
player,201209160mia,mia,LaneJo00,rush_long,4,,,,,
player,201209160mia,mia,LaneJo00,targets,0,,,,,
player,201209160mia,mia,LaneJo00,rec,0,,,,,
player,201209160mia,mia,LaneJo00,rec_yds,0,,,,,
player,201209160mia,mia,LaneJo00,rec_td,0,,,,,
player,201209160mia,mia,LaneJo00,rec_long,0,,,,,
player,201209160mia,mia,LaneJo00,fumbles,0,,,,,
player,201209160mia,mia,LaneJo00,fumbles_lost,0,,,,,
player,201209160mia,mia,HartBr00,pass_cmp,0,,,,,
player,201209160mia,mia,HartBr00,pass_att,0,,,,,
player,201209160mia,mia,HartBr00,pass_yds,0,,,,,
player,201209160mia,mia,HartBr00,pass_td,0,,,,,
player,201209160mia,mia,HartBr00,pass_int,0,,,,,
player,201209160mia,mia,HartBr00,pass_sacked,0,,,,,
player,201209160mia,mia,HartBr00,pass_sacked_yds,0,,,,,
player,201209160mia,mia,HartBr00,pass_long,0,,,,,
player,201209160mia,mia,HartBr00,pass_rating,,,,,,
player,201209160mia,mia,HartBr00,rush_att,0,,,,,
player,201209160mia,mia,HartBr00,rush_yds,0,,,,,
player,201209160mia,mia,HartBr00,rush_td,0,,,,,
player,201209160mia,mia,HartBr00,rush_long,0,,,,,
player,201209160mia,mia,HartBr00,targets,12,,,,,
player,201209160mia,mia,HartBr00,rec,9,,,,,
player,201209160mia,mia,HartBr00,rec_yds,111,,,,,
player,201209160mia,mia,HartBr00,rec_td,0,,,,,
player,201209160mia,mia,HartBr00,rec_long,21,,,,,
player,201209160mia,mia,HartBr00,fumbles,0,,,,,
player,201209160mia,mia,HartBr00,fumbles_lost,0,,,,,
player,201209160mia,mia,BessDa00,pass_cmp,0,,,,,
player,201209160mia,mia,BessDa00,pass_att,0,,,,,
player,201209160mia,mia,BessDa00,pass_yds,0,,,,,
player,201209160mia,mia,BessDa00,pass_td,0,,,,,
player,201209160mia,mia,BessDa00,pass_int,0,,,,,
player,201209160mia,mia,BessDa00,pass_sacked,0,,,,,
player,201209160mia,mia,BessDa00,pass_sacked_yds,0,,,,,
player,201209160mia,mia,BessDa00,pass_long,0,,,,,
player,201209160mia,mia,BessDa00,pass_rating,,,,,,
player,201209160mia,mia,BessDa00,rush_att,0,,,,,
player,201209160mia,mia,BessDa00,rush_yds,0,,,,,
player,201209160mia,mia,BessDa00,rush_td,0,,,,,
player,201209160mia,mia,BessDa00,rush_long,0,,,,,
player,201209160mia,mia,BessDa00,targets,6,,,,,
player,201209160mia,mia,BessDa00,rec,3,,,,,
player,201209160mia,mia,BessDa00,rec_yds,43,,,,,
player,201209160mia,mia,BessDa00,rec_td,0,,,,,
player,201209160mia,mia,BessDa00,rec_long,21,,,,,
player,201209160mia,mia,BessDa00,fumbles,0,,,,,
player,201209160mia,mia,BessDa00,fumbles_lost,0,,,,,
player,201209160mia,mia,FasaAn00,pass_cmp,0,,,,,
player,201209160mia,mia,FasaAn00,pass_att,0,,,,,
player,201209160mia,mia,FasaAn00,pass_yds,0,,,,,
player,201209160mia,mia,FasaAn00,pass_td,0,,,,,
player,201209160mia,mia,FasaAn00,pass_int,0,,,,,
player,201209160mia,mia,FasaAn00,pass_sacked,0,,,,,
player,201209160mia,mia,FasaAn00,pass_sacked_yds,0,,,,,
player,201209160mia,mia,FasaAn00,pass_long,0,,,,,
player,201209160mia,mia,FasaAn00,pass_rating,,,,,,
player,201209160mia,mia,FasaAn00,rush_att,0,,,,,
player,201209160mia,mia,FasaAn00,rush_yds,0,,,,,
