game,2012,1,20120909,201209090min,jax,"Jacksonville Jaguars",23,min,"Minnesota Vikings",26
player,201209090min,jax,RobiLa01,targets,9,,,,,
player,201209090min,jax,RobiLa01,rec,5,,,,,
player,201209090min,jax,RobiLa01,rec_yds,66,,,,,
player,201209090min,jax,RobiLa01,rec_td,0,,,,,
player,201209090min,jax,RobiLa01,rec_long,26,,,,,
player,201209090min,jax,RobiLa01,fumbles,0,,,,,
player,201209090min,jax,RobiLa01,fumbles_lost,0,,,,,
player,201209090min,jax,LewiMa00,pass_cmp,0,,,,,
player,201209090min,jax,LewiMa00,pass_att,0,,,,,
player,201209090min,jax,LewiMa00,pass_yds,0,,,,,
player,201209090min,jax,LewiMa00,pass_td,0,,,,,
player,201209090min,jax,LewiMa00,pass_int,0,,,,,
player,201209090min,jax,LewiMa00,pass_sacked,0,,,,,
player,201209090min,jax,LewiMa00,pass_sacked_yds,0,,,,,
player,201209090min,jax,LewiMa00,pass_long,0,,,,,
player,201209090min,jax,LewiMa00,pass_rating,,,,,,
player,201209090min,jax,LewiMa00,rush_att,0,,,,,
player,201209090min,jax,LewiMa00,rush_yds,0,,,,,
player,201209090min,jax,LewiMa00,rush_td,0,,,,,
player,201209090min,jax,LewiMa00,rush_long,0,,,,,
player,201209090min,jax,LewiMa00,targets,5,,,,,
player,201209090min,jax,LewiMa00,rec,5,,,,,
player,201209090min,jax,LewiMa00,rec_yds,52,,,,,
player,201209090min,jax,LewiMa00,rec_td,1,,,,,
player,201209090min,jax,LewiMa00,rec_long,18,,,,,
player,201209090min,jax,LewiMa00,fumbles,0,,,,,
player,201209090min,jax,LewiMa00,fumbles_lost,0,,,,,
player,201209090min,jax,BlacJu00,pass_cmp,0,,,,,
player,201209090min,jax,BlacJu00,pass_att,0,,,,,
player,201209090min,jax,BlacJu00,pass_yds,0,,,,,
player,201209090min,jax,BlacJu00,pass_td,0,,,,,
player,201209090min,jax,BlacJu00,pass_int,0,,,,,
player,201209090min,jax,BlacJu00,pass_sacked,0,,,,,
player,201209090min,jax,BlacJu00,pass_sacked_yds,0,,,,,
player,201209090min,jax,BlacJu00,pass_long,0,,,,,
player,201209090min,jax,BlacJu00,pass_rating,,,,,,
player,201209090min,jax,BlacJu00,rush_att,0,,,,,
player,201209090min,jax,BlacJu00,rush_yds,0,,,,,
player,201209090min,jax,BlacJu00,rush_td,0,,,,,
player,201209090min,jax,BlacJu00,rush_long,0,,,,,
player,201209090min,jax,BlacJu00,targets,6,,,,,
player,201209090min,jax,BlacJu00,rec,3,,,,,
player,201209090min,jax,BlacJu00,rec_yds,24,,,,,
player,201209090min,jax,BlacJu00,rec_td,0,,,,,
player,201209090min,jax,BlacJu00,rec_long,13,,,,,
player,201209090min,jax,BlacJu00,fumbles,0,,,,,
player,201209090min,jax,BlacJu00,fumbles_lost,0,,,,,
player,201209090min,jax,JoneGr01,pass_cmp,0,,,,,
player,201209090min,jax,JoneGr01,pass_att,0,,,,,
player,201209090min,jax,JoneGr01,pass_yds,0,,,,,
player,201209090min,jax,JoneGr01,pass_td,0,,,,,
player,201209090min,jax,JoneGr01,pass_int,0,,,,,
player,201209090min,jax,JoneGr01,pass_sacked,0,,,,,
player,201209090min,jax,JoneGr01,pass_sacked_yds,0,,,,,
player,201209090min,jax,JoneGr01,pass_long,0,,,,,
player,201209090min,jax,JoneGr01,pass_rating,,,,,,
player,201209090min,jax,JoneGr01,rush_att,0,,,,,
player,201209090min,jax,JoneGr01,rush_yds,0,,,,,
player,201209090min,jax,JoneGr01,rush_td,0,,,,,
player,201209090min,jax,JoneGr01,rush_long,0,,,,,
player,201209090min,jax,JoneGr01,targets,2,,,,,
player,201209090min,jax,JoneGr01,rec,1,,,,,
player,201209090min,jax,JoneGr01,rec_yds,9,,,,,
player,201209090min,jax,JoneGr01,rec_td,0,,,,,
player,201209090min,jax,JoneGr01,rec_long,9,,,,,
player,201209090min,jax,JoneGr01,fumbles,0,,,,,
player,201209090min,jax,JoneGr01,fumbles_lost,0,,,,,
player,201209090min,jax,OwenMo01,pass_cmp,0,,,,,
player,201209090min,jax,OwenMo01,pass_att,0,,,,,
player,201209090min,jax,OwenMo01,pass_yds,0,,,,,
player,201209090min,jax,OwenMo01,pass_td,0,,,,,
player,201209090min,jax,OwenMo01,pass_int,0,,,,,
player,201209090min,jax,OwenMo01,pass_sacked,0,,,,,
player,201209090min,jax,OwenMo01,pass_sacked_yds,0,,,,,
player,201209090min,jax,OwenMo01,pass_long,0,,,,,
player,201209090min,jax,OwenMo01,pass_rating,,,,,,
player,201209090min,jax,OwenMo01,rush_att,0,,,,,
player,201209090min,jax,OwenMo01,rush_yds,0,,,,,
player,201209090min,jax,OwenMo01,rush_td,0,,,,,
player,201209090min,jax,OwenMo01,rush_long,0,,,,,
player,201209090min,jax,OwenMo01,targets,3,,,,,
player,201209090min,jax,OwenMo01,rec,1,,,,,
player,201209090min,jax,OwenMo01,rec_yds,8,,,,,
player,201209090min,jax,OwenMo01,rec_td,0,,,,,
player,201209090min,jax,OwenMo01,rec_long,8,,,,,
player,201209090min,jax,OwenMo01,fumbles,0,,,,,
player,201209090min,jax,OwenMo01,fumbles_lost,0,,,,,
player,201209090min,jax,ParmJa00,pass_cmp,0,,,,,
player,201209090min,jax,ParmJa00,pass_att,0,,,,,
player,201209090min,jax,ParmJa00,pass_yds,0,,,,,
player,201209090min,jax,ParmJa00,pass_td,0,,,,,
player,201209090min,jax,ParmJa00,pass_int,0,,,,,
player,201209090min,jax,ParmJa00,pass_sacked,0,,,,,
player,201209090min,jax,ParmJa00,pass_sacked_yds,0,,,,,
player,201209090min,jax,ParmJa00,pass_long,0,,,,,
player,201209090min,jax,ParmJa00,pass_rating,,,,,,
player,201209090min,jax,ParmJa00,rush_att,1,,,,,
player,201209090min,jax,ParmJa00,rush_yds,0,,,,,
player,201209090min,jax,ParmJa00,rush_td,0,,,,,
player,201209090min,jax,ParmJa00,rush_long,0,,,,,
player,201209090min,jax,ParmJa00,targets,0,,,,,
player,201209090min,jax,ParmJa00,rec,0,,,,,
player,201209090min,jax,ParmJa00,rec_yds,0,,,,,
player,201209090min,jax,ParmJa00,rec_td,0,,,,,
player,201209090min,jax,ParmJa00,rec_long,0,,,,,
player,201209090min,jax,ParmJa00,fumbles,0,,,,,
player,201209090min,jax,ParmJa00,fumbles_lost,0,,,,,
player,201209090min,jax,ThomMi01,pass_cmp,0,,,,,
player,201209090min,jax,ThomMi01,pass_att,0,,,,,
player,201209090min,jax,ThomMi01,pass_yds,0,,,,,
player,201209090min,jax,ThomMi01,pass_td,0,,,,,
player,201209090min,jax,ThomMi01,pass_int,0,,,,,
player,201209090min,jax,ThomMi01,pass_sacked,0,,,,,
player,201209090min,jax,ThomMi01,pass_sacked_yds,0,,,,,
player,201209090min,jax,ThomMi01,pass_long,0,,,,,
player,201209090min,jax,ThomMi01,pass_rating,,,,,,
player,201209090min,jax,ThomMi01,rush_att,1,,,,,
player,201209090min,jax,ThomMi01,rush_yds,-1,,,,,
player,201209090min,jax,ThomMi01,rush_td,0,,,,,
player,201209090min,jax,ThomMi01,rush_long,-1,,,,,
player,201209090min,jax,ThomMi01,targets,1,,,,,
player,201209090min,jax,ThomMi01,rec,0,,,,,
player,201209090min,jax,ThomMi01,rec_yds,0,,,,,
player,201209090min,jax,ThomMi01,rec_td,0,,,,,
player,201209090min,jax,ThomMi01,rec_long,0,,,,,
player,201209090min,jax,ThomMi01,fumbles,1,,,,,
player,201209090min,jax,ThomMi01,fumbles_lost,0,,,,,
player,201209090min,min,PondCh00,pass_cmp,20,,,,,
player,201209090min,min,PondCh00,pass_att,27,,,,,
player,201209090min,min,PondCh00,pass_yds,270,,,,,
player,201209090min,min,PondCh00,pass_td,0,,,,,
player,201209090min,min,PondCh00,pass_int,0,,,,,
player,201209090min,min,PondCh00,pass_sacked,2,,,,,
player,201209090min,min,PondCh00,pass_sacked_yds,4,,,,,
player,201209090min,min,PondCh00,pass_long,29,,,,,
player,201209090min,min,PondCh00,pass_rating,105.5,,,,,
player,201209090min,min,PondCh00,rush_att,1,,,,,
player,201209090min,min,PondCh00,rush_yds,1,,,,,
player,201209090min,min,PondCh00,rush_td,0,,,,,
player,201209090min,min,PondCh00,rush_long,1,,,,,
player,201209090min,min,PondCh00,targets,0,,,,,
player,201209090min,min,PondCh00,rec,0,,,,,
player,201209090min,min,PondCh00,rec_yds,0,,,,,
player,201209090min,min,PondCh00,rec_td,0,,,,,
player,201209090min,min,PondCh00,rec_long,0,,,,,
player,201209090min,min,PondCh00,fumbles,1,,,,,
player,201209090min,min,PondCh00,fumbles_lost,1,,,,,
player,201209090min,min,PeteAd01,pass_cmp,0,,,,,
player,201209090min,min,PeteAd01,pass_att,0,,,,,
player,201209090min,min,PeteAd01,pass_yds,0,,,,,
player,201209090min,min,PeteAd01,pass_td,0,,,,,
player,201209090min,min,PeteAd01,pass_int,0,,,,,
player,201209090min,min,PeteAd01,pass_sacked,0,,,,,
player,201209090min,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201209090min,min,PeteAd01,pass_long,0,,,,,
player,201209090min,min,PeteAd01,pass_rating,,,,,,
player,201209090min,min,PeteAd01,rush_att,17,,,,,
player,201209090min,min,PeteAd01,rush_yds,84,,,,,
player,201209090min,min,PeteAd01,rush_td,2,,,,,
player,201209090min,min,PeteAd01,rush_long,20,,,,,
player,201209090min,min,PeteAd01,targets,1,,,,,
player,201209090min,min,PeteAd01,rec,1,,,,,
player,201209090min,min,PeteAd01,rec_yds,3,,,,,
player,201209090min,min,PeteAd01,rec_td,0,,,,,
player,201209090min,min,PeteAd01,rec_long,3,,,,,
player,201209090min,min,PeteAd01,fumbles,0,,,,,
player,201209090min,min,PeteAd01,fumbles_lost,0,,,,,
player,201209090min,min,HarvPe00,pass_cmp,0,,,,,
player,201209090min,min,HarvPe00,pass_att,0,,,,,
player,201209090min,min,HarvPe00,pass_yds,0,,,,,
player,201209090min,min,HarvPe00,pass_td,0,,,,,
player,201209090min,min,HarvPe00,pass_int,0,,,,,
player,201209090min,min,HarvPe00,pass_sacked,0,,,,,
player,201209090min,min,HarvPe00,pass_sacked_yds,0,,,,,
player,201209090min,min,HarvPe00,pass_long,0,,,,,
player,201209090min,min,HarvPe00,pass_rating,,,,,,
player,201209090min,min,HarvPe00,rush_att,5,,,,,
player,201209090min,min,HarvPe00,rush_yds,20,,,,,
player,201209090min,min,HarvPe00,rush_td,0,,,,,
player,201209090min,min,HarvPe00,rush_long,9,,,,,
player,201209090min,min,HarvPe00,targets,8,,,,,
player,201209090min,min,HarvPe00,rec,6,,,,,
player,201209090min,min,HarvPe00,rec_yds,84,,,,,
player,201209090min,min,HarvPe00,rec_td,0,,,,,
player,201209090min,min,HarvPe00,rec_long,20,,,,,
player,201209090min,min,HarvPe00,fumbles,0,,,,,
player,201209090min,min,HarvPe00,fumbles_lost,0,,,,,
player,201209090min,min,GerhTo00,pass_cmp,0,,,,,
player,201209090min,min,GerhTo00,pass_att,0,,,,,
player,201209090min,min,GerhTo00,pass_yds,0,,,,,
player,201209090min,min,GerhTo00,pass_td,0,,,,,
player,201209090min,min,GerhTo00,pass_int,0,,,,,
player,201209090min,min,GerhTo00,pass_sacked,0,,,,,
player,201209090min,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201209090min,min,GerhTo00,pass_long,0,,,,,
player,201209090min,min,GerhTo00,pass_rating,,,,,,
player,201209090min,min,GerhTo00,rush_att,6,,,,,
player,201209090min,min,GerhTo00,rush_yds,18,,,,,
player,201209090min,min,GerhTo00,rush_td,0,,,,,
player,201209090min,min,GerhTo00,rush_long,7,,,,,
player,201209090min,min,GerhTo00,targets,1,,,,,
player,201209090min,min,GerhTo00,rec,1,,,,,
player,201209090min,min,GerhTo00,rec_yds,8,,,,,
player,201209090min,min,GerhTo00,rec_td,0,,,,,
player,201209090min,min,GerhTo00,rec_long,8,,,,,
player,201209090min,min,GerhTo00,fumbles,0,,,,,
player,201209090min,min,GerhTo00,fumbles_lost,0,,,,,
player,201209090min,min,RudoKy00,pass_cmp,0,,,,,
player,201209090min,min,RudoKy00,pass_att,0,,,,,
player,201209090min,min,RudoKy00,pass_yds,0,,,,,
player,201209090min,min,RudoKy00,pass_td,0,,,,,
player,201209090min,min,RudoKy00,pass_int,0,,,,,
player,201209090min,min,RudoKy00,pass_sacked,0,,,,,
player,201209090min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201209090min,min,RudoKy00,pass_long,0,,,,,
player,201209090min,min,RudoKy00,pass_rating,,,,,,
player,201209090min,min,RudoKy00,rush_att,0,,,,,
player,201209090min,min,RudoKy00,rush_yds,0,,,,,
player,201209090min,min,RudoKy00,rush_td,0,,,,,
player,201209090min,min,RudoKy00,rush_long,0,,,,,
player,201209090min,min,RudoKy00,targets,7,,,,,
player,201209090min,min,RudoKy00,rec,5,,,,,
player,201209090min,min,RudoKy00,rec_yds,67,,,,,
player,201209090min,min,RudoKy00,rec_td,0,,,,,
player,201209090min,min,RudoKy00,rec_long,29,,,,,
player,201209090min,min,RudoKy00,fumbles,0,,,,,
player,201209090min,min,RudoKy00,fumbles_lost,0,,,,,
player,201209090min,min,AromDe00,pass_cmp,0,,,,,
player,201209090min,min,AromDe00,pass_att,0,,,,,
player,201209090min,min,AromDe00,pass_yds,0,,,,,
player,201209090min,min,AromDe00,pass_td,0,,,,,
player,201209090min,min,AromDe00,pass_int,0,,,,,
player,201209090min,min,AromDe00,pass_sacked,0,,,,,
player,201209090min,min,AromDe00,pass_sacked_yds,0,,,,,
player,201209090min,min,AromDe00,pass_long,0,,,,,
player,201209090min,min,AromDe00,pass_rating,,,,,,
player,201209090min,min,AromDe00,rush_att,0,,,,,
player,201209090min,min,AromDe00,rush_yds,0,,,,,
player,201209090min,min,AromDe00,rush_td,0,,,,,
player,201209090min,min,AromDe00,rush_long,0,,,,,
player,201209090min,min,AromDe00,targets,3,,,,,
player,201209090min,min,AromDe00,rec,3,,,,,
player,201209090min,min,AromDe00,rec_yds,61,,,,,
player,201209090min,min,AromDe00,rec_td,0,,,,,
player,201209090min,min,AromDe00,rec_long,26,,,,,
player,201209090min,min,AromDe00,fumbles,0,,,,,
player,201209090min,min,AromDe00,fumbles_lost,0,,,,,
player,201209090min,min,JenkMi00,pass_cmp,0,,,,,
player,201209090min,min,JenkMi00,pass_att,0,,,,,
player,201209090min,min,JenkMi00,pass_yds,0,,,,,
player,201209090min,min,JenkMi00,pass_td,0,,,,,
player,201209090min,min,JenkMi00,pass_int,0,,,,,
player,201209090min,min,JenkMi00,pass_sacked,0,,,,,
player,201209090min,min,JenkMi00,pass_sacked_yds,0,,,,,
player,201209090min,min,JenkMi00,pass_long,0,,,,,
player,201209090min,min,JenkMi00,pass_rating,,,,,,
player,201209090min,min,JenkMi00,rush_att,0,,,,,
player,201209090min,min,JenkMi00,rush_yds,0,,,,,
player,201209090min,min,JenkMi00,rush_td,0,,,,,
player,201209090min,min,JenkMi00,rush_long,0,,,,,
player,201209090min,min,JenkMi00,targets,5,,,,,
player,201209090min,min,JenkMi00,rec,3,,,,,
player,201209090min,min,JenkMi00,rec_yds,45,,,,,
player,201209090min,min,JenkMi00,rec_td,0,,,,,
player,201209090min,min,JenkMi00,rec_long,16,,,,,
player,201209090min,min,JenkMi00,fumbles,0,,,,,
player,201209090min,min,JenkMi00,fumbles_lost,0,,,,,
player,201209090min,min,AsiaMa00,pass_cmp,0,,,,,
player,201209090min,min,AsiaMa00,pass_att,0,,,,,
player,201209090min,min,AsiaMa00,pass_yds,0,,,,,
player,201209090min,min,AsiaMa00,pass_td,0,,,,,
player,201209090min,min,AsiaMa00,pass_int,0,,,,,
player,201209090min,min,AsiaMa00,pass_sacked,0,,,,,
player,201209090min,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201209090min,min,AsiaMa00,pass_long,0,,,,,
player,201209090min,min,AsiaMa00,pass_rating,,,,,,
player,201209090min,min,AsiaMa00,rush_att,0,,,,,
player,201209090min,min,AsiaMa00,rush_yds,0,,,,,
player,201209090min,min,AsiaMa00,rush_td,0,,,,,
player,201209090min,min,AsiaMa00,rush_long,0,,,,,
player,201209090min,min,AsiaMa00,targets,1,,,,,
player,201209090min,min,AsiaMa00,rec,1,,,,,
player,201209090min,min,AsiaMa00,rec_yds,2,,,,,
player,201209090min,min,AsiaMa00,rec_td,0,,,,,
player,201209090min,min,AsiaMa00,rec_long,2,,,,,
player,201209090min,min,AsiaMa00,fumbles,0,,,,,
player,201209090min,min,AsiaMa00,fumbles_lost,0,,,,,
player,201209090min,min,CarlJo00,pass_cmp,0,,,,,
player,201209090min,min,CarlJo00,pass_att,0,,,,,
player,201209090min,min,CarlJo00,pass_yds,0,,,,,
player,201209090min,min,CarlJo00,pass_td,0,,,,,
player,201209090min,min,CarlJo00,pass_int,0,,,,,
player,201209090min,min,CarlJo00,pass_sacked,0,,,,,
player,201209090min,min,CarlJo00,pass_sacked_yds,0,,,,,
player,201209090min,min,CarlJo00,pass_long,0,,,,,
player,201209090min,min,CarlJo00,pass_rating,,,,,,
player,201209090min,min,CarlJo00,rush_att,0,,,,,
player,201209090min,min,CarlJo00,rush_yds,0,,,,,
player,201209090min,min,CarlJo00,rush_td,0,,,,,
player,201209090min,min,CarlJo00,rush_long,0,,,,,
player,201209090min,min,CarlJo00,targets,1,,,,,
player,201209090min,min,CarlJo00,rec,0,,,,,
player,201209090min,min,CarlJo00,rec_yds,0,,,,,
player,201209090min,min,CarlJo00,rec_td,0,,,,,
player,201209090min,min,CarlJo00,rec_long,0,,,,,
player,201209090min,min,CarlJo00,fumbles,0,,,,,
player,201209090min,min,CarlJo00,fumbles_lost,0,,,,,
player,201209090min,jax,AluaTy99,def_int,0,,,,,
player,201209090min,jax,AluaTy99,def_int_yds,0,,,,,
player,201209090min,jax,AluaTy99,def_int_td,0,,,,,
player,201209090min,jax,AluaTy99,def_int_long,0,,,,,
player,201209090min,jax,AluaTy99,pass_defended,0,,,,,
player,201209090min,jax,AluaTy99,sacks,1.0,,,,,
player,201209090min,jax,AluaTy99,tackles_combined,4,,,,,
player,201209090min,jax,AluaTy99,tackles_solo,3,,,,,
player,201209090min,jax,AluaTy99,tackles_assists,1,,,,,
player,201209090min,jax,AluaTy99,tackles_loss,0,,,,,
player,201209090min,jax,AluaTy99,qb_hits,1,,,,,
player,201209090min,jax,AluaTy99,fumbles_rec,0,,,,,
player,201209090min,jax,AluaTy99,fumbles_rec_yds,0,,,,,
player,201209090min,jax,AluaTy99,fumbles_rec_td,0,,,,,
player,201209090min,jax,AluaTy99,fumbles_forced,0,,,,,
player,201209090min,jax,KnigTe99,def_int,0,,,,,
player,201209090min,jax,KnigTe99,def_int_yds,0,,,,,
player,201209090min,jax,KnigTe99,def_int_td,0,,,,,
player,201209090min,jax,KnigTe99,def_int_long,0,,,,,
player,201209090min,jax,KnigTe99,pass_defended,0,,,,,
player,201209090min,jax,KnigTe99,sacks,1.0,,,,,
player,201209090min,jax,KnigTe99,tackles_combined,3,,,,,
player,201209090min,jax,KnigTe99,tackles_solo,3,,,,,
player,201209090min,jax,KnigTe99,tackles_assists,0,,,,,
player,201209090min,jax,KnigTe99,tackles_loss,1,,,,,
player,201209090min,jax,KnigTe99,qb_hits,0,,,,,
player,201209090min,jax,KnigTe99,fumbles_rec,0,,,,,
player,201209090min,jax,KnigTe99,fumbles_rec_yds,0,,,,,
player,201209090min,jax,KnigTe99,fumbles_rec_td,0,,,,,
player,201209090min,jax,KnigTe99,fumbles_forced,1,,,,,
player,201209090min,jax,LandDa21,def_int,0,,,,,
player,201209090min,jax,LandDa21,def_int_yds,0,,,,,
player,201209090min,jax,LandDa21,def_int_td,0,,,,,
player,201209090min,jax,LandDa21,def_int_long,0,,,,,
player,201209090min,jax,LandDa21,pass_defended,0,,,,,
player,201209090min,jax,LandDa21,sacks,0.0,,,,,
player,201209090min,jax,LandDa21,tackles_combined,9,,,,,
player,201209090min,jax,LandDa21,tackles_solo,6,,,,,
player,201209090min,jax,LandDa21,tackles_assists,3,,,,,
player,201209090min,jax,LandDa21,tackles_loss,0,,,,,
player,201209090min,jax,LandDa21,qb_hits,0,,,,,
player,201209090min,jax,LandDa21,fumbles_rec,0,,,,,
player,201209090min,jax,LandDa21,fumbles_rec_yds,0,,,,,
player,201209090min,jax,LandDa21,fumbles_rec_td,0,,,,,
player,201209090min,jax,LandDa21,fumbles_forced,0,,,,,
player,201209090min,jax,AlleRu00,def_int,0,,,,,
player,201209090min,jax,AlleRu00,def_int_yds,0,,,,,
player,201209090min,jax,AlleRu00,def_int_td,0,,,,,
player,201209090min,jax,AlleRu00,def_int_long,0,,,,,
player,201209090min,jax,AlleRu00,pass_defended,1,,,,,
player,201209090min,jax,AlleRu00,sacks,0.0,,,,,
player,201209090min,jax,AlleRu00,tackles_combined,7,,,,,
