game,2012,3,20120923,201209230chi,ram,"St. Louis Rams",6,chi,"Chicago Bears",23
player,201209230chi,ram,JackSt00,pass_cmp,0,,,,,
player,201209230chi,ram,JackSt00,pass_att,0,,,,,
player,201209230chi,ram,JackSt00,pass_yds,0,,,,,
player,201209230chi,ram,JackSt00,pass_td,0,,,,,
player,201209230chi,ram,JackSt00,pass_int,0,,,,,
player,201209230chi,ram,JackSt00,pass_sacked,0,,,,,
player,201209230chi,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201209230chi,ram,JackSt00,pass_long,0,,,,,
player,201209230chi,ram,JackSt00,pass_rating,,,,,,
player,201209230chi,ram,JackSt00,rush_att,11,,,,,
player,201209230chi,ram,JackSt00,rush_yds,29,,,,,
player,201209230chi,ram,JackSt00,rush_td,0,,,,,
player,201209230chi,ram,JackSt00,rush_long,13,,,,,
player,201209230chi,ram,JackSt00,targets,2,,,,,
player,201209230chi,ram,JackSt00,rec,2,,,,,
player,201209230chi,ram,JackSt00,rec_yds,5,,,,,
player,201209230chi,ram,JackSt00,rec_td,0,,,,,
player,201209230chi,ram,JackSt00,rec_long,5,,,,,
player,201209230chi,ram,JackSt00,fumbles,0,,,,,
player,201209230chi,ram,JackSt00,fumbles_lost,0,,,,,
player,201209230chi,ram,RichDa00,pass_cmp,0,,,,,
player,201209230chi,ram,RichDa00,pass_att,0,,,,,
player,201209230chi,ram,RichDa00,pass_yds,0,,,,,
player,201209230chi,ram,RichDa00,pass_td,0,,,,,
player,201209230chi,ram,RichDa00,pass_int,0,,,,,
player,201209230chi,ram,RichDa00,pass_sacked,0,,,,,
player,201209230chi,ram,RichDa00,pass_sacked_yds,0,,,,,
player,201209230chi,ram,RichDa00,pass_long,0,,,,,
player,201209230chi,ram,RichDa00,pass_rating,,,,,,
player,201209230chi,ram,RichDa00,rush_att,4,,,,,
player,201209230chi,ram,RichDa00,rush_yds,16,,,,,
player,201209230chi,ram,RichDa00,rush_td,0,,,,,
player,201209230chi,ram,RichDa00,rush_long,12,,,,,
player,201209230chi,ram,RichDa00,targets,1,,,,,
player,201209230chi,ram,RichDa00,rec,1,,,,,
player,201209230chi,ram,RichDa00,rec_yds,4,,,,,
player,201209230chi,ram,RichDa00,rec_td,0,,,,,
player,201209230chi,ram,RichDa00,rec_long,4,,,,,
player,201209230chi,ram,RichDa00,fumbles,0,,,,,
player,201209230chi,ram,RichDa00,fumbles_lost,0,,,,,
player,201209230chi,ram,AmenDa00,pass_cmp,0,,,,,
player,201209230chi,ram,AmenDa00,pass_att,0,,,,,
player,201209230chi,ram,AmenDa00,pass_yds,0,,,,,
player,201209230chi,ram,AmenDa00,pass_td,0,,,,,
player,201209230chi,ram,AmenDa00,pass_int,0,,,,,
player,201209230chi,ram,AmenDa00,pass_sacked,0,,,,,
player,201209230chi,ram,AmenDa00,pass_sacked_yds,0,,,,,
player,201209230chi,ram,AmenDa00,pass_long,0,,,,,
player,201209230chi,ram,AmenDa00,pass_rating,,,,,,
player,201209230chi,ram,AmenDa00,rush_att,0,,,,,
player,201209230chi,ram,AmenDa00,rush_yds,0,,,,,
player,201209230chi,ram,AmenDa00,rush_td,0,,,,,
player,201209230chi,ram,AmenDa00,rush_long,0,,,,,
player,201209230chi,ram,AmenDa00,targets,9,,,,,
player,201209230chi,ram,AmenDa00,rec,5,,,,,
player,201209230chi,ram,AmenDa00,rec_yds,66,,,,,
player,201209230chi,ram,AmenDa00,rec_td,0,,,,,
player,201209230chi,ram,AmenDa00,rec_long,30,,,,,
player,201209230chi,ram,AmenDa00,fumbles,0,,,,,
player,201209230chi,ram,AmenDa00,fumbles_lost,0,,,,,
player,201209230chi,ram,GibsBr00,pass_cmp,0,,,,,
player,201209230chi,ram,GibsBr00,pass_att,0,,,,,
player,201209230chi,ram,GibsBr00,pass_yds,0,,,,,
player,201209230chi,ram,GibsBr00,pass_td,0,,,,,
player,201209230chi,ram,GibsBr00,pass_int,0,,,,,
player,201209230chi,ram,GibsBr00,pass_sacked,0,,,,,
player,201209230chi,ram,GibsBr00,pass_sacked_yds,0,,,,,
player,201209230chi,ram,GibsBr00,pass_long,0,,,,,
player,201209230chi,ram,GibsBr00,pass_rating,,,,,,
player,201209230chi,ram,GibsBr00,rush_att,0,,,,,
player,201209230chi,ram,GibsBr00,rush_yds,0,,,,,
player,201209230chi,ram,GibsBr00,rush_td,0,,,,,
player,201209230chi,ram,GibsBr00,rush_long,0,,,,,
player,201209230chi,ram,GibsBr00,targets,6,,,,,
player,201209230chi,ram,GibsBr00,rec,2,,,,,
player,201209230chi,ram,GibsBr00,rec_yds,19,,,,,
player,201209230chi,ram,GibsBr00,rec_td,0,,,,,
player,201209230chi,ram,GibsBr00,rec_long,11,,,,,
player,201209230chi,ram,GibsBr00,fumbles,0,,,,,
player,201209230chi,ram,GibsBr00,fumbles_lost,0,,,,,
player,201209230chi,ram,KendLa00,pass_cmp,0,,,,,
player,201209230chi,ram,KendLa00,pass_att,0,,,,,
player,201209230chi,ram,KendLa00,pass_yds,0,,,,,
player,201209230chi,ram,KendLa00,pass_td,0,,,,,
player,201209230chi,ram,KendLa00,pass_int,0,,,,,
player,201209230chi,ram,KendLa00,pass_sacked,0,,,,,
player,201209230chi,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201209230chi,ram,KendLa00,pass_long,0,,,,,
player,201209230chi,ram,KendLa00,pass_rating,,,,,,
player,201209230chi,ram,KendLa00,rush_att,0,,,,,
player,201209230chi,ram,KendLa00,rush_yds,0,,,,,
player,201209230chi,ram,KendLa00,rush_td,0,,,,,
player,201209230chi,ram,KendLa00,rush_long,0,,,,,
player,201209230chi,ram,KendLa00,targets,7,,,,,
player,201209230chi,ram,KendLa00,rec,3,,,,,
player,201209230chi,ram,KendLa00,rec_yds,18,,,,,
player,201209230chi,ram,KendLa00,rec_td,0,,,,,
player,201209230chi,ram,KendLa00,rec_long,8,,,,,
player,201209230chi,ram,KendLa00,fumbles,0,,,,,
player,201209230chi,ram,KendLa00,fumbles_lost,0,,,,,
player,201209230chi,ram,SmitSt02,pass_cmp,0,,,,,
player,201209230chi,ram,SmitSt02,pass_att,0,,,,,
player,201209230chi,ram,SmitSt02,pass_yds,0,,,,,
player,201209230chi,ram,SmitSt02,pass_td,0,,,,,
player,201209230chi,ram,SmitSt02,pass_int,0,,,,,
player,201209230chi,ram,SmitSt02,pass_sacked,0,,,,,
player,201209230chi,ram,SmitSt02,pass_sacked_yds,0,,,,,
player,201209230chi,ram,SmitSt02,pass_long,0,,,,,
player,201209230chi,ram,SmitSt02,pass_rating,,,,,,
player,201209230chi,ram,SmitSt02,rush_att,0,,,,,
player,201209230chi,ram,SmitSt02,rush_yds,0,,,,,
player,201209230chi,ram,SmitSt02,rush_td,0,,,,,
player,201209230chi,ram,SmitSt02,rush_long,0,,,,,
player,201209230chi,ram,SmitSt02,targets,3,,,,,
player,201209230chi,ram,SmitSt02,rec,1,,,,,
player,201209230chi,ram,SmitSt02,rec_yds,15,,,,,
player,201209230chi,ram,SmitSt02,rec_td,0,,,,,
player,201209230chi,ram,SmitSt02,rec_long,15,,,,,
player,201209230chi,ram,SmitSt02,fumbles,0,,,,,
player,201209230chi,ram,SmitSt02,fumbles_lost,0,,,,,
player,201209230chi,ram,MullMa00,pass_cmp,0,,,,,
player,201209230chi,ram,MullMa00,pass_att,0,,,,,
player,201209230chi,ram,MullMa00,pass_yds,0,,,,,
player,201209230chi,ram,MullMa00,pass_td,0,,,,,
player,201209230chi,ram,MullMa00,pass_int,0,,,,,
player,201209230chi,ram,MullMa00,pass_sacked,0,,,,,
player,201209230chi,ram,MullMa00,pass_sacked_yds,0,,,,,
player,201209230chi,ram,MullMa00,pass_long,0,,,,,
player,201209230chi,ram,MullMa00,pass_rating,,,,,,
player,201209230chi,ram,MullMa00,rush_att,0,,,,,
player,201209230chi,ram,MullMa00,rush_yds,0,,,,,
player,201209230chi,ram,MullMa00,rush_td,0,,,,,
player,201209230chi,ram,MullMa00,rush_long,0,,,,,
player,201209230chi,ram,MullMa00,targets,1,,,,,
player,201209230chi,ram,MullMa00,rec,1,,,,,
player,201209230chi,ram,MullMa00,rec_yds,12,,,,,
player,201209230chi,ram,MullMa00,rec_td,0,,,,,
player,201209230chi,ram,MullMa00,rec_long,12,,,,,
player,201209230chi,ram,MullMa00,fumbles,0,,,,,
player,201209230chi,ram,MullMa00,fumbles_lost,0,,,,,
player,201209230chi,ram,GiveCh00,pass_cmp,0,,,,,
player,201209230chi,ram,GiveCh00,pass_att,0,,,,,
player,201209230chi,ram,GiveCh00,pass_yds,0,,,,,
player,201209230chi,ram,GiveCh00,pass_td,0,,,,,
player,201209230chi,ram,GiveCh00,pass_int,0,,,,,
player,201209230chi,ram,GiveCh00,pass_sacked,0,,,,,
player,201209230chi,ram,GiveCh00,pass_sacked_yds,0,,,,,
player,201209230chi,ram,GiveCh00,pass_long,0,,,,,
player,201209230chi,ram,GiveCh00,pass_rating,,,,,,
player,201209230chi,ram,GiveCh00,rush_att,0,,,,,
player,201209230chi,ram,GiveCh00,rush_yds,0,,,,,
player,201209230chi,ram,GiveCh00,rush_td,0,,,,,
player,201209230chi,ram,GiveCh00,rush_long,0,,,,,
player,201209230chi,ram,GiveCh00,targets,4,,,,,
player,201209230chi,ram,GiveCh00,rec,2,,,,,
player,201209230chi,ram,GiveCh00,rec_yds,9,,,,,
player,201209230chi,ram,GiveCh00,rec_td,0,,,,,
player,201209230chi,ram,GiveCh00,rec_long,9,,,,,
player,201209230chi,ram,GiveCh00,fumbles,0,,,,,
player,201209230chi,ram,GiveCh00,fumbles_lost,0,,,,,
player,201209230chi,ram,PeadIs00,pass_cmp,0,,,,,
player,201209230chi,ram,PeadIs00,pass_att,0,,,,,
player,201209230chi,ram,PeadIs00,pass_yds,0,,,,,
player,201209230chi,ram,PeadIs00,pass_td,0,,,,,
player,201209230chi,ram,PeadIs00,pass_int,0,,,,,
player,201209230chi,ram,PeadIs00,pass_sacked,0,,,,,
player,201209230chi,ram,PeadIs00,pass_sacked_yds,0,,,,,
player,201209230chi,ram,PeadIs00,pass_long,0,,,,,
player,201209230chi,ram,PeadIs00,pass_rating,,,,,,
player,201209230chi,ram,PeadIs00,rush_att,0,,,,,
player,201209230chi,ram,PeadIs00,rush_yds,0,,,,,
player,201209230chi,ram,PeadIs00,rush_td,0,,,,,
player,201209230chi,ram,PeadIs00,rush_long,0,,,,,
player,201209230chi,ram,PeadIs00,targets,1,,,,,
player,201209230chi,ram,PeadIs00,rec,1,,,,,
player,201209230chi,ram,PeadIs00,rec_yds,4,,,,,
player,201209230chi,ram,PeadIs00,rec_td,0,,,,,
player,201209230chi,ram,PeadIs00,rec_long,4,,,,,
player,201209230chi,ram,PeadIs00,fumbles,0,,,,,
player,201209230chi,ram,PeadIs00,fumbles_lost,0,,,,,
player,201209230chi,chi,CutlJa00,pass_cmp,17,,,,,
player,201209230chi,chi,CutlJa00,pass_att,31,,,,,
player,201209230chi,chi,CutlJa00,pass_yds,183,,,,,
player,201209230chi,chi,CutlJa00,pass_td,0,,,,,
player,201209230chi,chi,CutlJa00,pass_int,1,,,,,
player,201209230chi,chi,CutlJa00,pass_sacked,2,,,,,
player,201209230chi,chi,CutlJa00,pass_sacked_yds,12,,,,,
player,201209230chi,chi,CutlJa00,pass_long,34,,,,,
player,201209230chi,chi,CutlJa00,pass_rating,58.9,,,,,
player,201209230chi,chi,CutlJa00,rush_att,4,,,,,
player,201209230chi,chi,CutlJa00,rush_yds,18,,,,,
player,201209230chi,chi,CutlJa00,rush_td,0,,,,,
player,201209230chi,chi,CutlJa00,rush_long,21,,,,,
player,201209230chi,chi,CutlJa00,targets,0,,,,,
player,201209230chi,chi,CutlJa00,rec,0,,,,,
player,201209230chi,chi,CutlJa00,rec_yds,0,,,,,
player,201209230chi,chi,CutlJa00,rec_td,0,,,,,
player,201209230chi,chi,CutlJa00,rec_long,0,,,,,
player,201209230chi,chi,CutlJa00,fumbles,0,,,,,
player,201209230chi,chi,CutlJa00,fumbles_lost,0,,,,,
player,201209230chi,chi,BushMi00,pass_cmp,0,,,,,
player,201209230chi,chi,BushMi00,pass_att,0,,,,,
player,201209230chi,chi,BushMi00,pass_yds,0,,,,,
player,201209230chi,chi,BushMi00,pass_td,0,,,,,
player,201209230chi,chi,BushMi00,pass_int,0,,,,,
player,201209230chi,chi,BushMi00,pass_sacked,0,,,,,
player,201209230chi,chi,BushMi00,pass_sacked_yds,0,,,,,
player,201209230chi,chi,BushMi00,pass_long,0,,,,,
player,201209230chi,chi,BushMi00,pass_rating,,,,,,
player,201209230chi,chi,BushMi00,rush_att,18,,,,,
player,201209230chi,chi,BushMi00,rush_yds,55,,,,,
player,201209230chi,chi,BushMi00,rush_td,1,,,,,
player,201209230chi,chi,BushMi00,rush_long,13,,,,,
player,201209230chi,chi,BushMi00,targets,2,,,,,
player,201209230chi,chi,BushMi00,rec,2,,,,,
player,201209230chi,chi,BushMi00,rec_yds,18,,,,,
player,201209230chi,chi,BushMi00,rec_td,0,,,,,
player,201209230chi,chi,BushMi00,rec_long,18,,,,,
player,201209230chi,chi,BushMi00,fumbles,0,,,,,
player,201209230chi,chi,BushMi00,fumbles_lost,0,,,,,
player,201209230chi,chi,BellKa00,pass_cmp,0,,,,,
player,201209230chi,chi,BellKa00,pass_att,0,,,,,
player,201209230chi,chi,BellKa00,pass_yds,0,,,,,
player,201209230chi,chi,BellKa00,pass_td,0,,,,,
player,201209230chi,chi,BellKa00,pass_int,0,,,,,
player,201209230chi,chi,BellKa00,pass_sacked,0,,,,,
player,201209230chi,chi,BellKa00,pass_sacked_yds,0,,,,,
player,201209230chi,chi,BellKa00,pass_long,0,,,,,
player,201209230chi,chi,BellKa00,pass_rating,,,,,,
player,201209230chi,chi,BellKa00,rush_att,10,,,,,
player,201209230chi,chi,BellKa00,rush_yds,20,,,,,
player,201209230chi,chi,BellKa00,rush_td,0,,,,,
player,201209230chi,chi,BellKa00,rush_long,18,,,,,
player,201209230chi,chi,BellKa00,targets,1,,,,,
player,201209230chi,chi,BellKa00,rec,1,,,,,
player,201209230chi,chi,BellKa00,rec_yds,11,,,,,
player,201209230chi,chi,BellKa00,rec_td,0,,,,,
player,201209230chi,chi,BellKa00,rec_long,11,,,,,
player,201209230chi,chi,BellKa00,fumbles,0,,,,,
player,201209230chi,chi,BellKa00,fumbles_lost,0,,,,,
player,201209230chi,chi,HestDe99,pass_cmp,0,,,,,
player,201209230chi,chi,HestDe99,pass_att,0,,,,,
player,201209230chi,chi,HestDe99,pass_yds,0,,,,,
player,201209230chi,chi,HestDe99,pass_td,0,,,,,
player,201209230chi,chi,HestDe99,pass_int,0,,,,,
player,201209230chi,chi,HestDe99,pass_sacked,0,,,,,
player,201209230chi,chi,HestDe99,pass_sacked_yds,0,,,,,
player,201209230chi,chi,HestDe99,pass_long,0,,,,,
player,201209230chi,chi,HestDe99,pass_rating,,,,,,
player,201209230chi,chi,HestDe99,rush_att,1,,,,,
player,201209230chi,chi,HestDe99,rush_yds,8,,,,,
player,201209230chi,chi,HestDe99,rush_td,0,,,,,
player,201209230chi,chi,HestDe99,rush_long,8,,,,,
player,201209230chi,chi,HestDe99,targets,2,,,,,
player,201209230chi,chi,HestDe99,rec,0,,,,,
player,201209230chi,chi,HestDe99,rec_yds,0,,,,,
player,201209230chi,chi,HestDe99,rec_td,0,,,,,
player,201209230chi,chi,HestDe99,rec_long,0,,,,,
player,201209230chi,chi,HestDe99,fumbles,0,,,,,
player,201209230chi,chi,HestDe99,fumbles_lost,0,,,,,
player,201209230chi,chi,AlleAr00,pass_cmp,0,,,,,
player,201209230chi,chi,AlleAr00,pass_att,0,,,,,
player,201209230chi,chi,AlleAr00,pass_yds,0,,,,,
player,201209230chi,chi,AlleAr00,pass_td,0,,,,,
player,201209230chi,chi,AlleAr00,pass_int,0,,,,,
player,201209230chi,chi,AlleAr00,pass_sacked,0,,,,,
player,201209230chi,chi,AlleAr00,pass_sacked_yds,0,,,,,
player,201209230chi,chi,AlleAr00,pass_long,0,,,,,
player,201209230chi,chi,AlleAr00,pass_rating,,,,,,
player,201209230chi,chi,AlleAr00,rush_att,1,,,,,
player,201209230chi,chi,AlleAr00,rush_yds,2,,,,,
player,201209230chi,chi,AlleAr00,rush_td,0,,,,,
player,201209230chi,chi,AlleAr00,rush_long,2,,,,,
player,201209230chi,chi,AlleAr00,targets,0,,,,,
player,201209230chi,chi,AlleAr00,rec,0,,,,,
player,201209230chi,chi,AlleAr00,rec_yds,0,,,,,
player,201209230chi,chi,AlleAr00,rec_td,0,,,,,
player,201209230chi,chi,AlleAr00,rec_long,0,,,,,
player,201209230chi,chi,AlleAr00,fumbles,0,,,,,
player,201209230chi,chi,AlleAr00,fumbles_lost,0,,,,,
player,201209230chi,chi,MarsBr00,pass_cmp,0,,,,,
player,201209230chi,chi,MarsBr00,pass_att,0,,,,,
player,201209230chi,chi,MarsBr00,pass_yds,0,,,,,
player,201209230chi,chi,MarsBr00,pass_td,0,,,,,
player,201209230chi,chi,MarsBr00,pass_int,0,,,,,
player,201209230chi,chi,MarsBr00,pass_sacked,0,,,,,
player,201209230chi,chi,MarsBr00,pass_sacked_yds,0,,,,,
player,201209230chi,chi,MarsBr00,pass_long,0,,,,,
player,201209230chi,chi,MarsBr00,pass_rating,,,,,,
player,201209230chi,chi,MarsBr00,rush_att,0,,,,,
player,201209230chi,chi,MarsBr00,rush_yds,0,,,,,
player,201209230chi,chi,MarsBr00,rush_td,0,,,,,
player,201209230chi,chi,MarsBr00,rush_long,0,,,,,
player,201209230chi,chi,MarsBr00,targets,11,,,,,
player,201209230chi,chi,MarsBr00,rec,5,,,,,
player,201209230chi,chi,MarsBr00,rec_yds,71,,,,,
player,201209230chi,chi,MarsBr00,rec_td,0,,,,,
player,201209230chi,chi,MarsBr00,rec_long,34,,,,,
player,201209230chi,chi,MarsBr00,fumbles,0,,,,,
player,201209230chi,chi,MarsBr00,fumbles_lost,0,,,,,
player,201209230chi,chi,JeffAl00,pass_cmp,0,,,,,
player,201209230chi,chi,JeffAl00,pass_att,0,,,,,
player,201209230chi,chi,JeffAl00,pass_yds,0,,,,,
player,201209230chi,chi,JeffAl00,pass_td,0,,,,,
player,201209230chi,chi,JeffAl00,pass_int,0,,,,,
player,201209230chi,chi,JeffAl00,pass_sacked,0,,,,,
player,201209230chi,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201209230chi,chi,JeffAl00,pass_long,0,,,,,
player,201209230chi,chi,JeffAl00,pass_rating,,,,,,
player,201209230chi,chi,JeffAl00,rush_att,0,,,,,
player,201209230chi,chi,JeffAl00,rush_yds,0,,,,,
player,201209230chi,chi,JeffAl00,rush_td,0,,,,,
player,201209230chi,chi,JeffAl00,rush_long,0,,,,,
player,201209230chi,chi,JeffAl00,targets,7,,,,,
player,201209230chi,chi,JeffAl00,rec,5,,,,,
player,201209230chi,chi,JeffAl00,rec_yds,45,,,,,
player,201209230chi,chi,JeffAl00,rec_td,0,,,,,
player,201209230chi,chi,JeffAl00,rec_long,10,,,,,
player,201209230chi,chi,JeffAl00,fumbles,0,,,,,
player,201209230chi,chi,JeffAl00,fumbles_lost,0,,,,,
player,201209230chi,chi,DaviKe01,pass_cmp,0,,,,,
player,201209230chi,chi,DaviKe01,pass_att,0,,,,,
player,201209230chi,chi,DaviKe01,pass_yds,0,,,,,
player,201209230chi,chi,DaviKe01,pass_td,0,,,,,
player,201209230chi,chi,DaviKe01,pass_int,0,,,,,
player,201209230chi,chi,DaviKe01,pass_sacked,0,,,,,
player,201209230chi,chi,DaviKe01,pass_sacked_yds,0,,,,,
player,201209230chi,chi,DaviKe01,pass_long,0,,,,,
player,201209230chi,chi,DaviKe01,pass_rating,,,,,,
player,201209230chi,chi,DaviKe01,rush_att,0,,,,,
player,201209230chi,chi,DaviKe01,rush_yds,0,,,,,
player,201209230chi,chi,DaviKe01,rush_td,0,,,,,
player,201209230chi,chi,DaviKe01,rush_long,0,,,,,
player,201209230chi,chi,DaviKe01,targets,3,,,,,
player,201209230chi,chi,DaviKe01,rec,2,,,,,
player,201209230chi,chi,DaviKe01,rec_yds,20,,,,,
player,201209230chi,chi,DaviKe01,rec_td,0,,,,,
player,201209230chi,chi,DaviKe01,rec_long,12,,,,,
player,201209230chi,chi,DaviKe01,fumbles,0,,,,,
player,201209230chi,chi,DaviKe01,fumbles_lost,0,,,,,
player,201209230chi,chi,BennEa00,pass_cmp,0,,,,,
player,201209230chi,chi,BennEa00,pass_att,0,,,,,
player,201209230chi,chi,BennEa00,pass_yds,0,,,,,
player,201209230chi,chi,BennEa00,pass_td,0,,,,,
player,201209230chi,chi,BennEa00,pass_int,0,,,,,
player,201209230chi,chi,BennEa00,pass_sacked,0,,,,,
player,201209230chi,chi,BennEa00,pass_sacked_yds,0,,,,,
player,201209230chi,chi,BennEa00,pass_long,0,,,,,
player,201209230chi,chi,BennEa00,pass_rating,,,,,,
player,201209230chi,chi,BennEa00,rush_att,0,,,,,
player,201209230chi,chi,BennEa00,rush_yds,0,,,,,
player,201209230chi,chi,BennEa00,rush_td,0,,,,,
player,201209230chi,chi,BennEa00,rush_long,0,,,,,
player,201209230chi,chi,BennEa00,targets,4,,,,,
player,201209230chi,chi,BennEa00,rec,1,,,,,
player,201209230chi,chi,BennEa00,rec_yds,11,,,,,
player,201209230chi,chi,BennEa00,rec_td,0,,,,,
player,201209230chi,chi,BennEa00,rec_long,11,,,,,
player,201209230chi,chi,BennEa00,fumbles,0,,,,,
player,201209230chi,chi,BennEa00,fumbles_lost,0,,,,,
player,201209230chi,chi,AdamKy00,pass_cmp,0,,,,,
player,201209230chi,chi,AdamKy00,pass_att,0,,,,,
player,201209230chi,chi,AdamKy00,pass_yds,0,,,,,
player,201209230chi,chi,AdamKy00,pass_td,0,,,,,
player,201209230chi,chi,AdamKy00,pass_int,0,,,,,
player,201209230chi,chi,AdamKy00,pass_sacked,0,,,,,
player,201209230chi,chi,AdamKy00,pass_sacked_yds,0,,,,,
player,201209230chi,chi,AdamKy00,pass_long,0,,,,,
player,201209230chi,chi,AdamKy00,pass_rating,,,,,,
player,201209230chi,chi,AdamKy00,rush_att,0,,,,,
player,201209230chi,chi,AdamKy00,rush_yds,0,,,,,
player,201209230chi,chi,AdamKy00,rush_td,0,,,,,
player,201209230chi,chi,AdamKy00,rush_long,0,,,,,
player,201209230chi,chi,AdamKy00,targets,1,,,,,
player,201209230chi,chi,AdamKy00,rec,1,,,,,
player,201209230chi,chi,AdamKy00,rec_yds,7,,,,,
player,201209230chi,chi,AdamKy00,rec_td,0,,,,,
player,201209230chi,chi,AdamKy00,rec_long,7,,,,,
player,201209230chi,chi,AdamKy00,fumbles,0,,,,,
player,201209230chi,chi,AdamKy00,fumbles_lost,0,,,,,
player,201209230chi,ram,FinnCo20,def_int,1,,,,,
player,201209230chi,ram,FinnCo20,def_int_yds,32,,,,,
player,201209230chi,ram,FinnCo20,def_int_td,0,,,,,
player,201209230chi,ram,FinnCo20,def_int_long,32,,,,,
player,201209230chi,ram,FinnCo20,pass_defended,3,,,,,
player,201209230chi,ram,FinnCo20,sacks,0.0,,,,,
player,201209230chi,ram,FinnCo20,tackles_combined,3,,,,,
player,201209230chi,ram,FinnCo20,tackles_solo,2,,,,,
player,201209230chi,ram,FinnCo20,tackles_assists,1,,,,,
player,201209230chi,ram,FinnCo20,tackles_loss,0,,,,,
player,201209230chi,ram,FinnCo20,qb_hits,0,,,,,
player,201209230chi,ram,FinnCo20,fumbles_rec,0,,,,,
player,201209230chi,ram,FinnCo20,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,FinnCo20,fumbles_rec_td,0,,,,,
player,201209230chi,ram,FinnCo20,fumbles_forced,0,,,,,
player,201209230chi,ram,LongCh99,def_int,0,,,,,
player,201209230chi,ram,LongCh99,def_int_yds,0,,,,,
player,201209230chi,ram,LongCh99,def_int_td,0,,,,,
player,201209230chi,ram,LongCh99,def_int_long,0,,,,,
player,201209230chi,ram,LongCh99,pass_defended,0,,,,,
player,201209230chi,ram,LongCh99,sacks,2.0,,,,,
player,201209230chi,ram,LongCh99,tackles_combined,2,,,,,
player,201209230chi,ram,LongCh99,tackles_solo,2,,,,,
player,201209230chi,ram,LongCh99,tackles_assists,0,,,,,
player,201209230chi,ram,LongCh99,tackles_loss,2,,,,,
player,201209230chi,ram,LongCh99,qb_hits,3,,,,,
player,201209230chi,ram,LongCh99,fumbles_rec,0,,,,,
player,201209230chi,ram,LongCh99,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,LongCh99,fumbles_rec_td,0,,,,,
player,201209230chi,ram,LongCh99,fumbles_forced,0,,,,,
player,201209230chi,ram,LaurJa99,def_int,0,,,,,
player,201209230chi,ram,LaurJa99,def_int_yds,0,,,,,
player,201209230chi,ram,LaurJa99,def_int_td,0,,,,,
player,201209230chi,ram,LaurJa99,def_int_long,0,,,,,
player,201209230chi,ram,LaurJa99,pass_defended,0,,,,,
player,201209230chi,ram,LaurJa99,sacks,0.0,,,,,
