game,2012,16,20121223,201212230gnb,oti,"Tennessee Titans",7,gnb,"Green Bay Packers",55
player,201212230gnb,oti,WillDa04,pass_long,0,,,,,
player,201212230gnb,oti,WillDa04,pass_rating,,,,,,
player,201212230gnb,oti,WillDa04,rush_att,0,,,,,
player,201212230gnb,oti,WillDa04,rush_yds,0,,,,,
player,201212230gnb,oti,WillDa04,rush_td,0,,,,,
player,201212230gnb,oti,WillDa04,rush_long,0,,,,,
player,201212230gnb,oti,WillDa04,targets,5,,,,,
player,201212230gnb,oti,WillDa04,rec,3,,,,,
player,201212230gnb,oti,WillDa04,rec_yds,39,,,,,
player,201212230gnb,oti,WillDa04,rec_td,0,,,,,
player,201212230gnb,oti,WillDa04,rec_long,20,,,,,
player,201212230gnb,oti,WillDa04,fumbles,0,,,,,
player,201212230gnb,oti,WillDa04,fumbles_lost,0,,,,,
player,201212230gnb,oti,PresMi00,pass_cmp,0,,,,,
player,201212230gnb,oti,PresMi00,pass_att,0,,,,,
player,201212230gnb,oti,PresMi00,pass_yds,0,,,,,
player,201212230gnb,oti,PresMi00,pass_td,0,,,,,
player,201212230gnb,oti,PresMi00,pass_int,0,,,,,
player,201212230gnb,oti,PresMi00,pass_sacked,0,,,,,
player,201212230gnb,oti,PresMi00,pass_sacked_yds,0,,,,,
player,201212230gnb,oti,PresMi00,pass_long,0,,,,,
player,201212230gnb,oti,PresMi00,pass_rating,,,,,,
player,201212230gnb,oti,PresMi00,rush_att,0,,,,,
player,201212230gnb,oti,PresMi00,rush_yds,0,,,,,
player,201212230gnb,oti,PresMi00,rush_td,0,,,,,
player,201212230gnb,oti,PresMi00,rush_long,0,,,,,
player,201212230gnb,oti,PresMi00,targets,3,,,,,
player,201212230gnb,oti,PresMi00,rec,2,,,,,
player,201212230gnb,oti,PresMi00,rec_yds,17,,,,,
player,201212230gnb,oti,PresMi00,rec_td,0,,,,,
player,201212230gnb,oti,PresMi00,rec_long,10,,,,,
player,201212230gnb,oti,PresMi00,fumbles,0,,,,,
player,201212230gnb,oti,PresMi00,fumbles_lost,0,,,,,
player,201212230gnb,oti,WashNa00,pass_cmp,0,,,,,
player,201212230gnb,oti,WashNa00,pass_att,0,,,,,
player,201212230gnb,oti,WashNa00,pass_yds,0,,,,,
player,201212230gnb,oti,WashNa00,pass_td,0,,,,,
player,201212230gnb,oti,WashNa00,pass_int,0,,,,,
player,201212230gnb,oti,WashNa00,pass_sacked,0,,,,,
player,201212230gnb,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201212230gnb,oti,WashNa00,pass_long,0,,,,,
player,201212230gnb,oti,WashNa00,pass_rating,,,,,,
player,201212230gnb,oti,WashNa00,rush_att,0,,,,,
player,201212230gnb,oti,WashNa00,rush_yds,0,,,,,
player,201212230gnb,oti,WashNa00,rush_td,0,,,,,
player,201212230gnb,oti,WashNa00,rush_long,0,,,,,
player,201212230gnb,oti,WashNa00,targets,6,,,,,
player,201212230gnb,oti,WashNa00,rec,2,,,,,
player,201212230gnb,oti,WashNa00,rec_yds,15,,,,,
player,201212230gnb,oti,WashNa00,rec_td,0,,,,,
player,201212230gnb,oti,WashNa00,rec_long,8,,,,,
player,201212230gnb,oti,WashNa00,fumbles,0,,,,,
player,201212230gnb,oti,WashNa00,fumbles_lost,0,,,,,
player,201212230gnb,oti,ThomTa00,pass_cmp,0,,,,,
player,201212230gnb,oti,ThomTa00,pass_att,0,,,,,
player,201212230gnb,oti,ThomTa00,pass_yds,0,,,,,
player,201212230gnb,oti,ThomTa00,pass_td,0,,,,,
player,201212230gnb,oti,ThomTa00,pass_int,0,,,,,
player,201212230gnb,oti,ThomTa00,pass_sacked,0,,,,,
player,201212230gnb,oti,ThomTa00,pass_sacked_yds,0,,,,,
player,201212230gnb,oti,ThomTa00,pass_long,0,,,,,
player,201212230gnb,oti,ThomTa00,pass_rating,,,,,,
player,201212230gnb,oti,ThomTa00,rush_att,0,,,,,
player,201212230gnb,oti,ThomTa00,rush_yds,0,,,,,
player,201212230gnb,oti,ThomTa00,rush_td,0,,,,,
player,201212230gnb,oti,ThomTa00,rush_long,0,,,,,
player,201212230gnb,oti,ThomTa00,targets,2,,,,,
player,201212230gnb,oti,ThomTa00,rec,1,,,,,
player,201212230gnb,oti,ThomTa00,rec_yds,8,,,,,
player,201212230gnb,oti,ThomTa00,rec_td,0,,,,,
player,201212230gnb,oti,ThomTa00,rec_long,8,,,,,
player,201212230gnb,oti,ThomTa00,fumbles,0,,,,,
player,201212230gnb,oti,ThomTa00,fumbles_lost,0,,,,,
player,201212230gnb,oti,StevCr00,pass_cmp,0,,,,,
player,201212230gnb,oti,StevCr00,pass_att,0,,,,,
player,201212230gnb,oti,StevCr00,pass_yds,0,,,,,
player,201212230gnb,oti,StevCr00,pass_td,0,,,,,
player,201212230gnb,oti,StevCr00,pass_int,0,,,,,
player,201212230gnb,oti,StevCr00,pass_sacked,0,,,,,
player,201212230gnb,oti,StevCr00,pass_sacked_yds,0,,,,,
player,201212230gnb,oti,StevCr00,pass_long,0,,,,,
player,201212230gnb,oti,StevCr00,pass_rating,,,,,,
player,201212230gnb,oti,StevCr00,rush_att,0,,,,,
player,201212230gnb,oti,StevCr00,rush_yds,0,,,,,
player,201212230gnb,oti,StevCr00,rush_td,0,,,,,
player,201212230gnb,oti,StevCr00,rush_long,0,,,,,
player,201212230gnb,oti,StevCr00,targets,2,,,,,
player,201212230gnb,oti,StevCr00,rec,1,,,,,
player,201212230gnb,oti,StevCr00,rec_yds,7,,,,,
player,201212230gnb,oti,StevCr00,rec_td,0,,,,,
player,201212230gnb,oti,StevCr00,rec_long,7,,,,,
player,201212230gnb,oti,StevCr00,fumbles,0,,,,,
player,201212230gnb,oti,StevCr00,fumbles_lost,0,,,,,
player,201212230gnb,oti,JohnQu00,pass_cmp,0,,,,,
player,201212230gnb,oti,JohnQu00,pass_att,0,,,,,
player,201212230gnb,oti,JohnQu00,pass_yds,0,,,,,
player,201212230gnb,oti,JohnQu00,pass_td,0,,,,,
player,201212230gnb,oti,JohnQu00,pass_int,0,,,,,
player,201212230gnb,oti,JohnQu00,pass_sacked,0,,,,,
player,201212230gnb,oti,JohnQu00,pass_sacked_yds,0,,,,,
player,201212230gnb,oti,JohnQu00,pass_long,0,,,,,
player,201212230gnb,oti,JohnQu00,pass_rating,,,,,,
player,201212230gnb,oti,JohnQu00,rush_att,1,,,,,
player,201212230gnb,oti,JohnQu00,rush_yds,0,,,,,
player,201212230gnb,oti,JohnQu00,rush_td,0,,,,,
player,201212230gnb,oti,JohnQu00,rush_long,0,,,,,
player,201212230gnb,oti,JohnQu00,targets,0,,,,,
player,201212230gnb,oti,JohnQu00,rec,0,,,,,
player,201212230gnb,oti,JohnQu00,rec_yds,0,,,,,
player,201212230gnb,oti,JohnQu00,rec_td,0,,,,,
player,201212230gnb,oti,JohnQu00,rec_long,0,,,,,
player,201212230gnb,oti,JohnQu00,fumbles,0,,,,,
player,201212230gnb,oti,JohnQu00,fumbles_lost,0,,,,,
player,201212230gnb,oti,HawkLa00,pass_cmp,0,,,,,
player,201212230gnb,oti,HawkLa00,pass_att,0,,,,,
player,201212230gnb,oti,HawkLa00,pass_yds,0,,,,,
player,201212230gnb,oti,HawkLa00,pass_td,0,,,,,
player,201212230gnb,oti,HawkLa00,pass_int,0,,,,,
player,201212230gnb,oti,HawkLa00,pass_sacked,0,,,,,
player,201212230gnb,oti,HawkLa00,pass_sacked_yds,0,,,,,
player,201212230gnb,oti,HawkLa00,pass_long,0,,,,,
player,201212230gnb,oti,HawkLa00,pass_rating,,,,,,
player,201212230gnb,oti,HawkLa00,rush_att,0,,,,,
player,201212230gnb,oti,HawkLa00,rush_yds,0,,,,,
player,201212230gnb,oti,HawkLa00,rush_td,0,,,,,
player,201212230gnb,oti,HawkLa00,rush_long,0,,,,,
player,201212230gnb,oti,HawkLa00,targets,2,,,,,
player,201212230gnb,oti,HawkLa00,rec,0,,,,,
player,201212230gnb,oti,HawkLa00,rec_yds,0,,,,,
player,201212230gnb,oti,HawkLa00,rec_td,0,,,,,
player,201212230gnb,oti,HawkLa00,rec_long,0,,,,,
player,201212230gnb,oti,HawkLa00,fumbles,0,,,,,
player,201212230gnb,oti,HawkLa00,fumbles_lost,0,,,,,
player,201212230gnb,gnb,RodgAa00,pass_cmp,27,,,,,
player,201212230gnb,gnb,RodgAa00,pass_att,38,,,,,
player,201212230gnb,gnb,RodgAa00,pass_yds,342,,,,,
player,201212230gnb,gnb,RodgAa00,pass_td,3,,,,,
player,201212230gnb,gnb,RodgAa00,pass_int,0,,,,,
player,201212230gnb,gnb,RodgAa00,pass_sacked,1,,,,,
player,201212230gnb,gnb,RodgAa00,pass_sacked_yds,8,,,,,
player,201212230gnb,gnb,RodgAa00,pass_long,34,,,,,
player,201212230gnb,gnb,RodgAa00,pass_rating,125.1,,,,,
player,201212230gnb,gnb,RodgAa00,rush_att,4,,,,,
player,201212230gnb,gnb,RodgAa00,rush_yds,11,,,,,
player,201212230gnb,gnb,RodgAa00,rush_td,1,,,,,
player,201212230gnb,gnb,RodgAa00,rush_long,6,,,,,
player,201212230gnb,gnb,RodgAa00,targets,0,,,,,
player,201212230gnb,gnb,RodgAa00,rec,0,,,,,
player,201212230gnb,gnb,RodgAa00,rec_yds,0,,,,,
player,201212230gnb,gnb,RodgAa00,rec_td,0,,,,,
player,201212230gnb,gnb,RodgAa00,rec_long,0,,,,,
player,201212230gnb,gnb,RodgAa00,fumbles,0,,,,,
player,201212230gnb,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201212230gnb,gnb,HarrGr00,pass_cmp,1,,,,,
player,201212230gnb,gnb,HarrGr00,pass_att,2,,,,,
player,201212230gnb,gnb,HarrGr00,pass_yds,9,,,,,
player,201212230gnb,gnb,HarrGr00,pass_td,0,,,,,
player,201212230gnb,gnb,HarrGr00,pass_int,0,,,,,
player,201212230gnb,gnb,HarrGr00,pass_sacked,0,,,,,
player,201212230gnb,gnb,HarrGr00,pass_sacked_yds,0,,,,,
player,201212230gnb,gnb,HarrGr00,pass_long,9,,,,,
player,201212230gnb,gnb,HarrGr00,pass_rating,62.5,,,,,
player,201212230gnb,gnb,HarrGr00,rush_att,3,,,,,
player,201212230gnb,gnb,HarrGr00,rush_yds,-3,,,,,
player,201212230gnb,gnb,HarrGr00,rush_td,0,,,,,
player,201212230gnb,gnb,HarrGr00,rush_long,-1,,,,,
player,201212230gnb,gnb,HarrGr00,targets,0,,,,,
player,201212230gnb,gnb,HarrGr00,rec,0,,,,,
player,201212230gnb,gnb,HarrGr00,rec_yds,0,,,,,
player,201212230gnb,gnb,HarrGr00,rec_td,0,,,,,
player,201212230gnb,gnb,HarrGr00,rec_long,0,,,,,
player,201212230gnb,gnb,HarrGr00,fumbles,0,,,,,
player,201212230gnb,gnb,HarrGr00,fumbles_lost,0,,,,,
player,201212230gnb,gnb,GranRy00,pass_cmp,0,,,,,
player,201212230gnb,gnb,GranRy00,pass_att,0,,,,,
player,201212230gnb,gnb,GranRy00,pass_yds,0,,,,,
player,201212230gnb,gnb,GranRy00,pass_td,0,,,,,
player,201212230gnb,gnb,GranRy00,pass_int,0,,,,,
player,201212230gnb,gnb,GranRy00,pass_sacked,0,,,,,
player,201212230gnb,gnb,GranRy00,pass_sacked_yds,0,,,,,
player,201212230gnb,gnb,GranRy00,pass_long,0,,,,,
player,201212230gnb,gnb,GranRy00,pass_rating,,,,,,
player,201212230gnb,gnb,GranRy00,rush_att,20,,,,,
player,201212230gnb,gnb,GranRy00,rush_yds,80,,,,,
player,201212230gnb,gnb,GranRy00,rush_td,2,,,,,
player,201212230gnb,gnb,GranRy00,rush_long,18,,,,,
player,201212230gnb,gnb,GranRy00,targets,2,,,,,
player,201212230gnb,gnb,GranRy00,rec,1,,,,,
player,201212230gnb,gnb,GranRy00,rec_yds,34,,,,,
player,201212230gnb,gnb,GranRy00,rec_td,0,,,,,
player,201212230gnb,gnb,GranRy00,rec_long,34,,,,,
player,201212230gnb,gnb,GranRy00,fumbles,0,,,,,
player,201212230gnb,gnb,GranRy00,fumbles_lost,0,,,,,
player,201212230gnb,gnb,HarrDu01,pass_cmp,0,,,,,
player,201212230gnb,gnb,HarrDu01,pass_att,0,,,,,
player,201212230gnb,gnb,HarrDu01,pass_yds,0,,,,,
player,201212230gnb,gnb,HarrDu01,pass_td,0,,,,,
player,201212230gnb,gnb,HarrDu01,pass_int,0,,,,,
player,201212230gnb,gnb,HarrDu01,pass_sacked,0,,,,,
player,201212230gnb,gnb,HarrDu01,pass_sacked_yds,0,,,,,
player,201212230gnb,gnb,HarrDu01,pass_long,0,,,,,
player,201212230gnb,gnb,HarrDu01,pass_rating,,,,,,
player,201212230gnb,gnb,HarrDu01,rush_att,8,,,,,
player,201212230gnb,gnb,HarrDu01,rush_yds,29,,,,,
player,201212230gnb,gnb,HarrDu01,rush_td,1,,,,,
player,201212230gnb,gnb,HarrDu01,rush_long,10,,,,,
player,201212230gnb,gnb,HarrDu01,targets,0,,,,,
player,201212230gnb,gnb,HarrDu01,rec,0,,,,,
player,201212230gnb,gnb,HarrDu01,rec_yds,0,,,,,
player,201212230gnb,gnb,HarrDu01,rec_td,0,,,,,
player,201212230gnb,gnb,HarrDu01,rec_long,0,,,,,
player,201212230gnb,gnb,HarrDu01,fumbles,0,,,,,
player,201212230gnb,gnb,HarrDu01,fumbles_lost,0,,,,,
player,201212230gnb,gnb,JoneJa04,pass_cmp,0,,,,,
player,201212230gnb,gnb,JoneJa04,pass_att,0,,,,,
player,201212230gnb,gnb,JoneJa04,pass_yds,0,,,,,
player,201212230gnb,gnb,JoneJa04,pass_td,0,,,,,
player,201212230gnb,gnb,JoneJa04,pass_int,0,,,,,
player,201212230gnb,gnb,JoneJa04,pass_sacked,0,,,,,
player,201212230gnb,gnb,JoneJa04,pass_sacked_yds,0,,,,,
player,201212230gnb,gnb,JoneJa04,pass_long,0,,,,,
player,201212230gnb,gnb,JoneJa04,pass_rating,,,,,,
player,201212230gnb,gnb,JoneJa04,rush_att,0,,,,,
player,201212230gnb,gnb,JoneJa04,rush_yds,0,,,,,
player,201212230gnb,gnb,JoneJa04,rush_td,0,,,,,
player,201212230gnb,gnb,JoneJa04,rush_long,0,,,,,
player,201212230gnb,gnb,JoneJa04,targets,10,,,,,
player,201212230gnb,gnb,JoneJa04,rec,7,,,,,
player,201212230gnb,gnb,JoneJa04,rec_yds,100,,,,,
player,201212230gnb,gnb,JoneJa04,rec_td,1,,,,,
player,201212230gnb,gnb,JoneJa04,rec_long,27,,,,,
player,201212230gnb,gnb,JoneJa04,fumbles,0,,,,,
player,201212230gnb,gnb,JoneJa04,fumbles_lost,0,,,,,
player,201212230gnb,gnb,FinlJe00,pass_cmp,0,,,,,
player,201212230gnb,gnb,FinlJe00,pass_att,0,,,,,
player,201212230gnb,gnb,FinlJe00,pass_yds,0,,,,,
player,201212230gnb,gnb,FinlJe00,pass_td,0,,,,,
player,201212230gnb,gnb,FinlJe00,pass_int,0,,,,,
player,201212230gnb,gnb,FinlJe00,pass_sacked,0,,,,,
player,201212230gnb,gnb,FinlJe00,pass_sacked_yds,0,,,,,
player,201212230gnb,gnb,FinlJe00,pass_long,0,,,,,
player,201212230gnb,gnb,FinlJe00,pass_rating,,,,,,
player,201212230gnb,gnb,FinlJe00,rush_att,0,,,,,
player,201212230gnb,gnb,FinlJe00,rush_yds,0,,,,,
player,201212230gnb,gnb,FinlJe00,rush_td,0,,,,,
player,201212230gnb,gnb,FinlJe00,rush_long,0,,,,,
player,201212230gnb,gnb,FinlJe00,targets,8,,,,,
player,201212230gnb,gnb,FinlJe00,rec,5,,,,,
player,201212230gnb,gnb,FinlJe00,rec_yds,70,,,,,
player,201212230gnb,gnb,FinlJe00,rec_td,0,,,,,
player,201212230gnb,gnb,FinlJe00,rec_long,23,,,,,
player,201212230gnb,gnb,FinlJe00,fumbles,0,,,,,
player,201212230gnb,gnb,FinlJe00,fumbles_lost,0,,,,,
player,201212230gnb,gnb,CobbRa00,pass_cmp,0,,,,,
player,201212230gnb,gnb,CobbRa00,pass_att,0,,,,,
player,201212230gnb,gnb,CobbRa00,pass_yds,0,,,,,
player,201212230gnb,gnb,CobbRa00,pass_td,0,,,,,
player,201212230gnb,gnb,CobbRa00,pass_int,0,,,,,
player,201212230gnb,gnb,CobbRa00,pass_sacked,0,,,,,
player,201212230gnb,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201212230gnb,gnb,CobbRa00,pass_long,0,,,,,
player,201212230gnb,gnb,CobbRa00,pass_rating,,,,,,
player,201212230gnb,gnb,CobbRa00,rush_att,0,,,,,
player,201212230gnb,gnb,CobbRa00,rush_yds,0,,,,,
player,201212230gnb,gnb,CobbRa00,rush_td,0,,,,,
player,201212230gnb,gnb,CobbRa00,rush_long,0,,,,,
player,201212230gnb,gnb,CobbRa00,targets,5,,,,,
player,201212230gnb,gnb,CobbRa00,rec,3,,,,,
player,201212230gnb,gnb,CobbRa00,rec_yds,62,,,,,
player,201212230gnb,gnb,CobbRa00,rec_td,1,,,,,
player,201212230gnb,gnb,CobbRa00,rec_long,31,,,,,
player,201212230gnb,gnb,CobbRa00,fumbles,0,,,,,
player,201212230gnb,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201212230gnb,gnb,JennGr00,pass_cmp,0,,,,,
player,201212230gnb,gnb,JennGr00,pass_att,0,,,,,
player,201212230gnb,gnb,JennGr00,pass_yds,0,,,,,
player,201212230gnb,gnb,JennGr00,pass_td,0,,,,,
player,201212230gnb,gnb,JennGr00,pass_int,0,,,,,
player,201212230gnb,gnb,JennGr00,pass_sacked,0,,,,,
player,201212230gnb,gnb,JennGr00,pass_sacked_yds,0,,,,,
player,201212230gnb,gnb,JennGr00,pass_long,0,,,,,
player,201212230gnb,gnb,JennGr00,pass_rating,,,,,,
player,201212230gnb,gnb,JennGr00,rush_att,0,,,,,
player,201212230gnb,gnb,JennGr00,rush_yds,0,,,,,
player,201212230gnb,gnb,JennGr00,rush_td,0,,,,,
player,201212230gnb,gnb,JennGr00,rush_long,0,,,,,
player,201212230gnb,gnb,JennGr00,targets,9,,,,,
player,201212230gnb,gnb,JennGr00,rec,7,,,,,
player,201212230gnb,gnb,JennGr00,rec_yds,45,,,,,
player,201212230gnb,gnb,JennGr00,rec_td,1,,,,,
player,201212230gnb,gnb,JennGr00,rec_long,9,,,,,
player,201212230gnb,gnb,JennGr00,fumbles,0,,,,,
player,201212230gnb,gnb,JennGr00,fumbles_lost,0,,,,,
player,201212230gnb,gnb,WillD.00,pass_cmp,0,,,,,
player,201212230gnb,gnb,WillD.00,pass_att,0,,,,,
player,201212230gnb,gnb,WillD.00,pass_yds,0,,,,,
player,201212230gnb,gnb,WillD.00,pass_td,0,,,,,
player,201212230gnb,gnb,WillD.00,pass_int,0,,,,,
player,201212230gnb,gnb,WillD.00,pass_sacked,0,,,,,
player,201212230gnb,gnb,WillD.00,pass_sacked_yds,0,,,,,
player,201212230gnb,gnb,WillD.00,pass_long,0,,,,,
player,201212230gnb,gnb,WillD.00,pass_rating,,,,,,
player,201212230gnb,gnb,WillD.00,rush_att,0,,,,,
player,201212230gnb,gnb,WillD.00,rush_yds,0,,,,,
player,201212230gnb,gnb,WillD.00,rush_td,0,,,,,
player,201212230gnb,gnb,WillD.00,rush_long,0,,,,,
player,201212230gnb,gnb,WillD.00,targets,3,,,,,
player,201212230gnb,gnb,WillD.00,rec,3,,,,,
player,201212230gnb,gnb,WillD.00,rec_yds,20,,,,,
player,201212230gnb,gnb,WillD.00,rec_td,0,,,,,
player,201212230gnb,gnb,WillD.00,rec_long,9,,,,,
player,201212230gnb,gnb,WillD.00,fumbles,0,,,,,
player,201212230gnb,gnb,WillD.00,fumbles_lost,0,,,,,
player,201212230gnb,gnb,TaylRy00,pass_cmp,0,,,,,
player,201212230gnb,gnb,TaylRy00,pass_att,0,,,,,
player,201212230gnb,gnb,TaylRy00,pass_yds,0,,,,,
player,201212230gnb,gnb,TaylRy00,pass_td,0,,,,,
player,201212230gnb,gnb,TaylRy00,pass_int,0,,,,,
player,201212230gnb,gnb,TaylRy00,pass_sacked,0,,,,,
player,201212230gnb,gnb,TaylRy00,pass_sacked_yds,0,,,,,
player,201212230gnb,gnb,TaylRy00,pass_long,0,,,,,
player,201212230gnb,gnb,TaylRy00,pass_rating,,,,,,
player,201212230gnb,gnb,TaylRy00,rush_att,0,,,,,
player,201212230gnb,gnb,TaylRy00,rush_yds,0,,,,,
player,201212230gnb,gnb,TaylRy00,rush_td,0,,,,,
player,201212230gnb,gnb,TaylRy00,rush_long,0,,,,,
player,201212230gnb,gnb,TaylRy00,targets,1,,,,,
player,201212230gnb,gnb,TaylRy00,rec,1,,,,,
