game,2016,14,20161211,201612110gnb,sea,"Seattle Seahawks",10,gnb,"Green Bay Packers",38
player,201612110gnb,sea,ReecMa00,fumbles,0,,,,,
player,201612110gnb,sea,ReecMa00,fumbles_lost,0,,,,,
player,201612110gnb,sea,GrahJi00,pass_cmp,0,,,,,
player,201612110gnb,sea,GrahJi00,pass_att,0,,,,,
player,201612110gnb,sea,GrahJi00,pass_yds,0,,,,,
player,201612110gnb,sea,GrahJi00,pass_td,0,,,,,
player,201612110gnb,sea,GrahJi00,pass_int,0,,,,,
player,201612110gnb,sea,GrahJi00,pass_sacked,0,,,,,
player,201612110gnb,sea,GrahJi00,pass_sacked_yds,0,,,,,
player,201612110gnb,sea,GrahJi00,pass_long,0,,,,,
player,201612110gnb,sea,GrahJi00,pass_rating,,,,,,
player,201612110gnb,sea,GrahJi00,rush_att,0,,,,,
player,201612110gnb,sea,GrahJi00,rush_yds,0,,,,,
player,201612110gnb,sea,GrahJi00,rush_td,0,,,,,
player,201612110gnb,sea,GrahJi00,rush_long,0,,,,,
player,201612110gnb,sea,GrahJi00,targets,4,,,,,
player,201612110gnb,sea,GrahJi00,rec,1,,,,,
player,201612110gnb,sea,GrahJi00,rec_yds,16,,,,,
player,201612110gnb,sea,GrahJi00,rec_td,0,,,,,
player,201612110gnb,sea,GrahJi00,rec_long,16,,,,,
player,201612110gnb,sea,GrahJi00,fumbles,0,,,,,
player,201612110gnb,sea,GrahJi00,fumbles_lost,0,,,,,
player,201612110gnb,sea,WillLu00,pass_cmp,0,,,,,
player,201612110gnb,sea,WillLu00,pass_att,0,,,,,
player,201612110gnb,sea,WillLu00,pass_yds,0,,,,,
player,201612110gnb,sea,WillLu00,pass_td,0,,,,,
player,201612110gnb,sea,WillLu00,pass_int,0,,,,,
player,201612110gnb,sea,WillLu00,pass_sacked,0,,,,,
player,201612110gnb,sea,WillLu00,pass_sacked_yds,0,,,,,
player,201612110gnb,sea,WillLu00,pass_long,0,,,,,
player,201612110gnb,sea,WillLu00,pass_rating,,,,,,
player,201612110gnb,sea,WillLu00,rush_att,0,,,,,
player,201612110gnb,sea,WillLu00,rush_yds,0,,,,,
player,201612110gnb,sea,WillLu00,rush_td,0,,,,,
player,201612110gnb,sea,WillLu00,rush_long,0,,,,,
player,201612110gnb,sea,WillLu00,targets,1,,,,,
player,201612110gnb,sea,WillLu00,rec,1,,,,,
player,201612110gnb,sea,WillLu00,rec_yds,11,,,,,
player,201612110gnb,sea,WillLu00,rec_td,0,,,,,
player,201612110gnb,sea,WillLu00,rec_long,11,,,,,
player,201612110gnb,sea,WillLu00,fumbles,0,,,,,
player,201612110gnb,sea,WillLu00,fumbles_lost,0,,,,,
player,201612110gnb,sea,KearJe01,pass_cmp,0,,,,,
player,201612110gnb,sea,KearJe01,pass_att,0,,,,,
player,201612110gnb,sea,KearJe01,pass_yds,0,,,,,
player,201612110gnb,sea,KearJe01,pass_td,0,,,,,
player,201612110gnb,sea,KearJe01,pass_int,0,,,,,
player,201612110gnb,sea,KearJe01,pass_sacked,0,,,,,
