game,2016,1,20160912,201609120was,pit,"Pittsburgh Steelers",38,was,"Washington Redskins",16
player,201609120was,was,CousKi00,rush_long,8,,,,,
player,201609120was,was,CousKi00,targets,0,,,,,
player,201609120was,was,CousKi00,rec,0,,,,,
player,201609120was,was,CousKi00,rec_yds,0,,,,,
player,201609120was,was,CousKi00,rec_td,0,,,,,
player,201609120was,was,CousKi00,rec_long,0,,,,,
player,201609120was,was,CousKi00,fumbles,0,,,,,
player,201609120was,was,CousKi00,fumbles_lost,0,,,,,
player,201609120was,was,JoneMa04,pass_cmp,0,,,,,
player,201609120was,was,JoneMa04,pass_att,0,,,,,
player,201609120was,was,JoneMa04,pass_yds,0,,,,,
player,201609120was,was,JoneMa04,pass_td,0,,,,,
player,201609120was,was,JoneMa04,pass_int,0,,,,,
player,201609120was,was,JoneMa04,pass_sacked,0,,,,,
player,201609120was,was,JoneMa04,pass_sacked_yds,0,,,,,
player,201609120was,was,JoneMa04,pass_long,0,,,,,
player,201609120was,was,JoneMa04,pass_rating,,,,,,
player,201609120was,was,JoneMa04,rush_att,7,,,,,
player,201609120was,was,JoneMa04,rush_yds,24,,,,,
player,201609120was,was,JoneMa04,rush_td,0,,,,,
player,201609120was,was,JoneMa04,rush_long,12,,,,,
player,201609120was,was,JoneMa04,targets,1,,,,,
player,201609120was,was,JoneMa04,rec,1,,,,,
player,201609120was,was,JoneMa04,rec_yds,9,,,,,
player,201609120was,was,JoneMa04,rec_td,0,,,,,
player,201609120was,was,JoneMa04,rec_long,9,,,,,
player,201609120was,was,JoneMa04,fumbles,0,,,,,
player,201609120was,was,JoneMa04,fumbles_lost,0,,,,,
player,201609120was,was,ThomCh03,pass_cmp,0,,,,,
player,201609120was,was,ThomCh03,pass_att,0,,,,,
player,201609120was,was,ThomCh03,pass_yds,0,,,,,
player,201609120was,was,ThomCh03,pass_td,0,,,,,
player,201609120was,was,ThomCh03,pass_int,0,,,,,
player,201609120was,was,ThomCh03,pass_sacked,0,,,,,
player,201609120was,was,ThomCh03,pass_sacked_yds,0,,,,,
player,201609120was,was,ThomCh03,pass_long,0,,,,,
player,201609120was,was,ThomCh03,pass_rating,,,,,,
player,201609120was,was,ThomCh03,rush_att,4,,,,,
player,201609120was,was,ThomCh03,rush_yds,23,,,,,
player,201609120was,was,ThomCh03,rush_td,1,,,,,
player,201609120was,was,ThomCh03,rush_long,9,,,,,
player,201609120was,was,ThomCh03,targets,2,,,,,
player,201609120was,was,ThomCh03,rec,2,,,,,
player,201609120was,was,ThomCh03,rec_yds,16,,,,,
player,201609120was,was,ThomCh03,rec_td,0,,,,,
player,201609120was,was,ThomCh03,rec_long,11,,,,,
player,201609120was,was,ThomCh03,fumbles,0,,,,,
player,201609120was,was,ThomCh03,fumbles_lost,0,,,,,
player,201609120was,was,JackDe00,pass_cmp,0,,,,,
player,201609120was,was,JackDe00,pass_att,0,,,,,
player,201609120was,was,JackDe00,pass_yds,0,,,,,
player,201609120was,was,JackDe00,pass_td,0,,,,,
player,201609120was,was,JackDe00,pass_int,0,,,,,
player,201609120was,was,JackDe00,pass_sacked,0,,,,,
player,201609120was,was,JackDe00,pass_sacked_yds,0,,,,,
player,201609120was,was,JackDe00,pass_long,0,,,,,
player,201609120was,was,JackDe00,pass_rating,,,,,,
player,201609120was,was,JackDe00,rush_att,0,,,,,
player,201609120was,was,JackDe00,rush_yds,0,,,,,
player,201609120was,was,JackDe00,rush_td,0,,,,,
player,201609120was,was,JackDe00,rush_long,0,,,,,
player,201609120was,was,JackDe00,targets,10,,,,,
player,201609120was,was,JackDe00,rec,6,,,,,
player,201609120was,was,JackDe00,rec_yds,102,,,,,
player,201609120was,was,JackDe00,rec_td,0,,,,,
player,201609120was,was,JackDe00,rec_long,33,,,,,
player,201609120was,was,JackDe00,fumbles,0,,,,,
player,201609120was,was,JackDe00,fumbles_lost,0,,,,,
player,201609120was,was,ReedJo02,pass_cmp,0,,,,,
player,201609120was,was,ReedJo02,pass_att,0,,,,,
player,201609120was,was,ReedJo02,pass_yds,0,,,,,
player,201609120was,was,ReedJo02,pass_td,0,,,,,
player,201609120was,was,ReedJo02,pass_int,0,,,,,
player,201609120was,was,ReedJo02,pass_sacked,0,,,,,
player,201609120was,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201609120was,was,ReedJo02,pass_long,0,,,,,
player,201609120was,was,ReedJo02,pass_rating,,,,,,
player,201609120was,was,ReedJo02,rush_att,0,,,,,
player,201609120was,was,ReedJo02,rush_yds,0,,,,,
player,201609120was,was,ReedJo02,rush_td,0,,,,,
player,201609120was,was,ReedJo02,rush_long,0,,,,,
player,201609120was,was,ReedJo02,targets,11,,,,,
player,201609120was,was,ReedJo02,rec,7,,,,,
player,201609120was,was,ReedJo02,rec_yds,64,,,,,
player,201609120was,was,ReedJo02,rec_td,0,,,,,
player,201609120was,was,ReedJo02,rec_long,14,,,,,
player,201609120was,was,ReedJo02,fumbles,0,,,,,
player,201609120was,was,ReedJo02,fumbles_lost,0,,,,,
player,201609120was,was,CrowJa00,pass_cmp,0,,,,,
player,201609120was,was,CrowJa00,pass_att,0,,,,,
player,201609120was,was,CrowJa00,pass_yds,0,,,,,
player,201609120was,was,CrowJa00,pass_td,0,,,,,
player,201609120was,was,CrowJa00,pass_int,0,,,,,
player,201609120was,was,CrowJa00,pass_sacked,0,,,,,
player,201609120was,was,CrowJa00,pass_sacked_yds,0,,,,,
player,201609120was,was,CrowJa00,pass_long,0,,,,,
player,201609120was,was,CrowJa00,pass_rating,,,,,,
player,201609120was,was,CrowJa00,rush_att,0,,,,,
player,201609120was,was,CrowJa00,rush_yds,0,,,,,
player,201609120was,was,CrowJa00,rush_td,0,,,,,
player,201609120was,was,CrowJa00,rush_long,0,,,,,
player,201609120was,was,CrowJa00,targets,10,,,,,
player,201609120was,was,CrowJa00,rec,6,,,,,
player,201609120was,was,CrowJa00,rec_yds,58,,,,,
player,201609120was,was,CrowJa00,rec_td,0,,,,,
player,201609120was,was,CrowJa00,rec_long,16,,,,,
player,201609120was,was,CrowJa00,fumbles,1,,,,,
player,201609120was,was,CrowJa00,fumbles_lost,0,,,,,
player,201609120was,was,GarcPi00,pass_cmp,0,,,,,
player,201609120was,was,GarcPi00,pass_att,0,,,,,
player,201609120was,was,GarcPi00,pass_yds,0,,,,,
player,201609120was,was,GarcPi00,pass_td,0,,,,,
player,201609120was,was,GarcPi00,pass_int,0,,,,,
player,201609120was,was,GarcPi00,pass_sacked,0,,,,,
player,201609120was,was,GarcPi00,pass_sacked_yds,0,,,,,
player,201609120was,was,GarcPi00,pass_long,0,,,,,
player,201609120was,was,GarcPi00,pass_rating,,,,,,
player,201609120was,was,GarcPi00,rush_att,0,,,,,
player,201609120was,was,GarcPi00,rush_yds,0,,,,,
player,201609120was,was,GarcPi00,rush_td,0,,,,,
player,201609120was,was,GarcPi00,rush_long,0,,,,,
player,201609120was,was,GarcPi00,targets,6,,,,,
player,201609120was,was,GarcPi00,rec,6,,,,,
player,201609120was,was,GarcPi00,rec_yds,51,,,,,
player,201609120was,was,GarcPi00,rec_td,0,,,,,
player,201609120was,was,GarcPi00,rec_long,19,,,,,
player,201609120was,was,GarcPi00,fumbles,0,,,,,
player,201609120was,was,GarcPi00,fumbles_lost,0,,,,,
player,201609120was,was,DaviVe00,pass_cmp,0,,,,,
player,201609120was,was,DaviVe00,pass_att,0,,,,,
player,201609120was,was,DaviVe00,pass_yds,0,,,,,
player,201609120was,was,DaviVe00,pass_td,0,,,,,
player,201609120was,was,DaviVe00,pass_int,0,,,,,
player,201609120was,was,DaviVe00,pass_sacked,0,,,,,
player,201609120was,was,DaviVe00,pass_sacked_yds,0,,,,,
player,201609120was,was,DaviVe00,pass_long,0,,,,,
player,201609120was,was,DaviVe00,pass_rating,,,,,,
player,201609120was,was,DaviVe00,rush_att,0,,,,,
player,201609120was,was,DaviVe00,rush_yds,0,,,,,
player,201609120was,was,DaviVe00,rush_td,0,,,,,
player,201609120was,was,DaviVe00,rush_long,0,,,,,
player,201609120was,was,DaviVe00,targets,1,,,,,
player,201609120was,was,DaviVe00,rec,1,,,,,
player,201609120was,was,DaviVe00,rec_yds,20,,,,,
player,201609120was,was,DaviVe00,rec_td,0,,,,,
player,201609120was,was,DaviVe00,rec_long,20,,,,,
player,201609120was,was,DaviVe00,fumbles,0,,,,,
player,201609120was,was,DaviVe00,fumbles_lost,0,,,,,
player,201609120was,was,DoctJo00,pass_cmp,0,,,,,
player,201609120was,was,DoctJo00,pass_att,0,,,,,
player,201609120was,was,DoctJo00,pass_yds,0,,,,,
player,201609120was,was,DoctJo00,pass_td,0,,,,,
player,201609120was,was,DoctJo00,pass_int,0,,,,,
player,201609120was,was,DoctJo00,pass_sacked,0,,,,,
player,201609120was,was,DoctJo00,pass_sacked_yds,0,,,,,
player,201609120was,was,DoctJo00,pass_long,0,,,,,
player,201609120was,was,DoctJo00,pass_rating,,,,,,
player,201609120was,was,DoctJo00,rush_att,0,,,,,
player,201609120was,was,DoctJo00,rush_yds,0,,,,,
player,201609120was,was,DoctJo00,rush_td,0,,,,,
player,201609120was,was,DoctJo00,rush_long,0,,,,,
player,201609120was,was,DoctJo00,targets,1,,,,,
player,201609120was,was,DoctJo00,rec,1,,,,,
player,201609120was,was,DoctJo00,rec_yds,9,,,,,
player,201609120was,was,DoctJo00,rec_td,0,,,,,
player,201609120was,was,DoctJo00,rec_long,9,,,,,
player,201609120was,was,DoctJo00,fumbles,0,,,,,
player,201609120was,was,DoctJo00,fumbles_lost,0,,,,,
player,201609120was,was,GranRy01,pass_cmp,0,,,,,
player,201609120was,was,GranRy01,pass_att,0,,,,,
player,201609120was,was,GranRy01,pass_yds,0,,,,,
player,201609120was,was,GranRy01,pass_td,0,,,,,
player,201609120was,was,GranRy01,pass_int,0,,,,,
player,201609120was,was,GranRy01,pass_sacked,0,,,,,
player,201609120was,was,GranRy01,pass_sacked_yds,0,,,,,
player,201609120was,was,GranRy01,pass_long,0,,,,,
player,201609120was,was,GranRy01,pass_rating,,,,,,
player,201609120was,was,GranRy01,rush_att,0,,,,,
player,201609120was,was,GranRy01,rush_yds,0,,,,,
player,201609120was,was,GranRy01,rush_td,0,,,,,
player,201609120was,was,GranRy01,rush_long,0,,,,,
player,201609120was,was,GranRy01,targets,1,,,,,
player,201609120was,was,GranRy01,rec,0,,,,,
player,201609120was,was,GranRy01,rec_yds,0,,,,,
player,201609120was,was,GranRy01,rec_td,0,,,,,
player,201609120was,was,GranRy01,rec_long,0,,,,,
player,201609120was,was,GranRy01,fumbles,0,,,,,
player,201609120was,was,GranRy01,fumbles_lost,0,,,,,
player,201609120was,pit,ShazRy00,def_int,1,,,,,
player,201609120was,pit,ShazRy00,def_int_yds,0,,,,,
player,201609120was,pit,ShazRy00,def_int_td,0,,,,,
player,201609120was,pit,ShazRy00,def_int_long,0,,,,,
player,201609120was,pit,ShazRy00,pass_defended,2,,,,,
player,201609120was,pit,ShazRy00,sacks,0.0,,,,,
player,201609120was,pit,ShazRy00,tackles_combined,6,,,,,
player,201609120was,pit,ShazRy00,tackles_solo,5,,,,,
player,201609120was,pit,ShazRy00,tackles_assists,1,,,,,
player,201609120was,pit,ShazRy00,tackles_loss,0,,,,,
player,201609120was,pit,ShazRy00,qb_hits,0,,,,,
player,201609120was,pit,ShazRy00,fumbles_rec,0,,,,,
player,201609120was,pit,ShazRy00,fumbles_rec_yds,0,,,,,
player,201609120was,pit,ShazRy00,fumbles_rec_td,0,,,,,
player,201609120was,pit,ShazRy00,fumbles_forced,1,,,,,
player,201609120was,pit,HarrJa23,def_int,1,,,,,
player,201609120was,pit,HarrJa23,def_int_yds,0,,,,,
player,201609120was,pit,HarrJa23,def_int_td,0,,,,,
player,201609120was,pit,HarrJa23,def_int_long,0,,,,,
player,201609120was,pit,HarrJa23,pass_defended,1,,,,,
player,201609120was,pit,HarrJa23,sacks,0.0,,,,,
player,201609120was,pit,HarrJa23,tackles_combined,3,,,,,
player,201609120was,pit,HarrJa23,tackles_solo,2,,,,,
player,201609120was,pit,HarrJa23,tackles_assists,1,,,,,
player,201609120was,pit,HarrJa23,tackles_loss,1,,,,,
player,201609120was,pit,HarrJa23,qb_hits,0,,,,,
player,201609120was,pit,HarrJa23,fumbles_rec,0,,,,,
player,201609120was,pit,HarrJa23,fumbles_rec_yds,0,,,,,
player,201609120was,pit,HarrJa23,fumbles_rec_td,0,,,,,
player,201609120was,pit,HarrJa23,fumbles_forced,0,,,,,
player,201609120was,pit,TimmLa99,def_int,0,,,,,
player,201609120was,pit,TimmLa99,def_int_yds,0,,,,,
player,201609120was,pit,TimmLa99,def_int_td,0,,,,,
player,201609120was,pit,TimmLa99,def_int_long,0,,,,,
player,201609120was,pit,TimmLa99,pass_defended,1,,,,,
player,201609120was,pit,TimmLa99,sacks,0.0,,,,,
player,201609120was,pit,TimmLa99,tackles_combined,8,,,,,
player,201609120was,pit,TimmLa99,tackles_solo,4,,,,,
player,201609120was,pit,TimmLa99,tackles_assists,4,,,,,
player,201609120was,pit,TimmLa99,tackles_loss,0,,,,,
player,201609120was,pit,TimmLa99,qb_hits,0,,,,,
player,201609120was,pit,TimmLa99,fumbles_rec,0,,,,,
player,201609120was,pit,TimmLa99,fumbles_rec_yds,0,,,,,
player,201609120was,pit,TimmLa99,fumbles_rec_td,0,,,,,
player,201609120was,pit,TimmLa99,fumbles_forced,0,,,,,
player,201609120was,pit,GayxWi99,def_int,0,,,,,
player,201609120was,pit,GayxWi99,def_int_yds,0,,,,,
player,201609120was,pit,GayxWi99,def_int_td,0,,,,,
player,201609120was,pit,GayxWi99,def_int_long,0,,,,,
player,201609120was,pit,GayxWi99,pass_defended,0,,,,,
player,201609120was,pit,GayxWi99,sacks,0.0,,,,,
player,201609120was,pit,GayxWi99,tackles_combined,6,,,,,
player,201609120was,pit,GayxWi99,tackles_solo,2,,,,,
player,201609120was,pit,GayxWi99,tackles_assists,4,,,,,
player,201609120was,pit,GayxWi99,tackles_loss,0,,,,,
player,201609120was,pit,GayxWi99,qb_hits,0,,,,,
player,201609120was,pit,GayxWi99,fumbles_rec,0,,,,,
player,201609120was,pit,GayxWi99,fumbles_rec_yds,0,,,,,
player,201609120was,pit,GayxWi99,fumbles_rec_td,0,,,,,
player,201609120was,pit,GayxWi99,fumbles_forced,0,,,,,
player,201609120was,pit,GoldRo00,def_int,0,,,,,
player,201609120was,pit,GoldRo00,def_int_yds,0,,,,,
player,201609120was,pit,GoldRo00,def_int_td,0,,,,,
player,201609120was,pit,GoldRo00,def_int_long,0,,,,,
player,201609120was,pit,GoldRo00,pass_defended,0,,,,,
player,201609120was,pit,GoldRo00,sacks,0.0,,,,,
player,201609120was,pit,GoldRo00,tackles_combined,6,,,,,
player,201609120was,pit,GoldRo00,tackles_solo,2,,,,,
player,201609120was,pit,GoldRo00,tackles_assists,4,,,,,
player,201609120was,pit,GoldRo00,tackles_loss,0,,,,,
player,201609120was,pit,GoldRo00,qb_hits,0,,,,,
player,201609120was,pit,GoldRo00,fumbles_rec,0,,,,,
player,201609120was,pit,GoldRo00,fumbles_rec_yds,0,,,,,
player,201609120was,pit,GoldRo00,fumbles_rec_td,0,,,,,
player,201609120was,pit,GoldRo00,fumbles_forced,0,,,,,
player,201609120was,pit,JoneJa05,def_int,0,,,,,
player,201609120was,pit,JoneJa05,def_int_yds,0,,,,,
player,201609120was,pit,JoneJa05,def_int_td,0,,,,,
player,201609120was,pit,JoneJa05,def_int_long,0,,,,,
player,201609120was,pit,JoneJa05,pass_defended,0,,,,,
player,201609120was,pit,JoneJa05,sacks,0.0,,,,,
player,201609120was,pit,JoneJa05,tackles_combined,6,,,,,
player,201609120was,pit,JoneJa05,tackles_solo,2,,,,,
player,201609120was,pit,JoneJa05,tackles_assists,4,,,,,
player,201609120was,pit,JoneJa05,tackles_loss,0,,,,,
player,201609120was,pit,JoneJa05,qb_hits,0,,,,,
player,201609120was,pit,JoneJa05,fumbles_rec,0,,,,,
player,201609120was,pit,JoneJa05,fumbles_rec_yds,0,,,,,
player,201609120was,pit,JoneJa05,fumbles_rec_td,0,,,,,
player,201609120was,pit,JoneJa05,fumbles_forced,0,,,,,
player,201609120was,pit,MitcMi99,def_int,0,,,,,
player,201609120was,pit,MitcMi99,def_int_yds,0,,,,,
player,201609120was,pit,MitcMi99,def_int_td,0,,,,,
player,201609120was,pit,MitcMi99,def_int_long,0,,,,,
player,201609120was,pit,MitcMi99,pass_defended,1,,,,,
player,201609120was,pit,MitcMi99,sacks,0.0,,,,,
player,201609120was,pit,MitcMi99,tackles_combined,6,,,,,
player,201609120was,pit,MitcMi99,tackles_solo,4,,,,,
player,201609120was,pit,MitcMi99,tackles_assists,2,,,,,
player,201609120was,pit,MitcMi99,tackles_loss,0,,,,,
player,201609120was,pit,MitcMi99,qb_hits,0,,,,,
player,201609120was,pit,MitcMi99,fumbles_rec,0,,,,,
player,201609120was,pit,MitcMi99,fumbles_rec_yds,0,,,,,
player,201609120was,pit,MitcMi99,fumbles_rec_td,0,,,,,
player,201609120was,pit,MitcMi99,fumbles_forced,0,,,,,
player,201609120was,pit,CockRo00,def_int,0,,,,,
player,201609120was,pit,CockRo00,def_int_yds,0,,,,,
player,201609120was,pit,CockRo00,def_int_td,0,,,,,
player,201609120was,pit,CockRo00,def_int_long,0,,,,,
player,201609120was,pit,CockRo00,pass_defended,0,,,,,
player,201609120was,pit,CockRo00,sacks,0.0,,,,,
player,201609120was,pit,CockRo00,tackles_combined,4,,,,,
