game,2016,9,20161106,201611060gnb,clt,"Indianapolis Colts",31,gnb,"Green Bay Packers",26
player,201611060gnb,gnb,RodgRi00,rush_att,0,,,,,
player,201611060gnb,gnb,RodgRi00,rush_yds,0,,,,,
player,201611060gnb,gnb,RodgRi00,rush_td,0,,,,,
player,201611060gnb,gnb,RodgRi00,rush_long,0,,,,,
player,201611060gnb,gnb,RodgRi00,targets,10,,,,,
player,201611060gnb,gnb,RodgRi00,rec,6,,,,,
player,201611060gnb,gnb,RodgRi00,rec_yds,64,,,,,
player,201611060gnb,gnb,RodgRi00,rec_td,0,,,,,
player,201611060gnb,gnb,RodgRi00,rec_long,22,,,,,
player,201611060gnb,gnb,RodgRi00,fumbles,0,,,,,
player,201611060gnb,gnb,RodgRi00,fumbles_lost,0,,,,,
player,201611060gnb,gnb,AdamDa01,pass_cmp,0,,,,,
player,201611060gnb,gnb,AdamDa01,pass_att,0,,,,,
player,201611060gnb,gnb,AdamDa01,pass_yds,0,,,,,
player,201611060gnb,gnb,AdamDa01,pass_td,0,,,,,
player,201611060gnb,gnb,AdamDa01,pass_int,0,,,,,
player,201611060gnb,gnb,AdamDa01,pass_sacked,0,,,,,
player,201611060gnb,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201611060gnb,gnb,AdamDa01,pass_long,0,,,,,
player,201611060gnb,gnb,AdamDa01,pass_rating,,,,,,
player,201611060gnb,gnb,AdamDa01,rush_att,0,,,,,
player,201611060gnb,gnb,AdamDa01,rush_yds,0,,,,,
player,201611060gnb,gnb,AdamDa01,rush_td,0,,,,,
player,201611060gnb,gnb,AdamDa01,rush_long,0,,,,,
player,201611060gnb,gnb,AdamDa01,targets,8,,,,,
player,201611060gnb,gnb,AdamDa01,rec,4,,,,,
player,201611060gnb,gnb,AdamDa01,rec_yds,41,,,,,
player,201611060gnb,gnb,AdamDa01,rec_td,1,,,,,
player,201611060gnb,gnb,AdamDa01,rec_long,40,,,,,
player,201611060gnb,gnb,AdamDa01,fumbles,0,,,,,
player,201611060gnb,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201611060gnb,gnb,JaniJe00,pass_cmp,0,,,,,
player,201611060gnb,gnb,JaniJe00,pass_att,0,,,,,
player,201611060gnb,gnb,JaniJe00,pass_yds,0,,,,,
player,201611060gnb,gnb,JaniJe00,pass_td,0,,,,,
player,201611060gnb,gnb,JaniJe00,pass_int,0,,,,,
player,201611060gnb,gnb,JaniJe00,pass_sacked,0,,,,,
player,201611060gnb,gnb,JaniJe00,pass_sacked_yds,0,,,,,
player,201611060gnb,gnb,JaniJe00,pass_long,0,,,,,
player,201611060gnb,gnb,JaniJe00,pass_rating,,,,,,
player,201611060gnb,gnb,JaniJe00,rush_att,0,,,,,
player,201611060gnb,gnb,JaniJe00,rush_yds,0,,,,,
player,201611060gnb,gnb,JaniJe00,rush_td,0,,,,,
player,201611060gnb,gnb,JaniJe00,rush_long,0,,,,,
player,201611060gnb,gnb,JaniJe00,targets,2,,,,,
player,201611060gnb,gnb,JaniJe00,rec,1,,,,,
player,201611060gnb,gnb,JaniJe00,rec_yds,25,,,,,
player,201611060gnb,gnb,JaniJe00,rec_td,0,,,,,
player,201611060gnb,gnb,JaniJe00,rec_long,25,,,,,
player,201611060gnb,gnb,JaniJe00,fumbles,0,,,,,
player,201611060gnb,gnb,JaniJe00,fumbles_lost,0,,,,,
player,201611060gnb,gnb,PeriJu00,pass_cmp,0,,,,,
player,201611060gnb,gnb,PeriJu00,pass_att,0,,,,,
player,201611060gnb,gnb,PeriJu00,pass_yds,0,,,,,
player,201611060gnb,gnb,PeriJu00,pass_td,0,,,,,
player,201611060gnb,gnb,PeriJu00,pass_int,0,,,,,
player,201611060gnb,gnb,PeriJu00,pass_sacked,0,,,,,
player,201611060gnb,gnb,PeriJu00,pass_sacked_yds,0,,,,,
player,201611060gnb,gnb,PeriJu00,pass_long,0,,,,,
player,201611060gnb,gnb,PeriJu00,pass_rating,,,,,,
player,201611060gnb,gnb,PeriJu00,rush_att,0,,,,,
player,201611060gnb,gnb,PeriJu00,rush_yds,0,,,,,
player,201611060gnb,gnb,PeriJu00,rush_td,0,,,,,
player,201611060gnb,gnb,PeriJu00,rush_long,0,,,,,
player,201611060gnb,gnb,PeriJu00,targets,2,,,,,
