game,2016,5,20161009,201610090min,htx,"Houston Texans",13,min,"Minnesota Vikings",31
player,201610090min,htx,HopkDe00,targets,9,,,,,
player,201610090min,htx,HopkDe00,rec,5,,,,,
player,201610090min,htx,HopkDe00,rec_yds,56,,,,,
player,201610090min,htx,HopkDe00,rec_td,1,,,,,
player,201610090min,htx,HopkDe00,rec_long,25,,,,,
player,201610090min,htx,HopkDe00,fumbles,0,,,,,
player,201610090min,htx,HopkDe00,fumbles_lost,0,,,,,
player,201610090min,htx,StroJa01,pass_cmp,0,,,,,
player,201610090min,htx,StroJa01,pass_att,0,,,,,
player,201610090min,htx,StroJa01,pass_yds,0,,,,,
player,201610090min,htx,StroJa01,pass_td,0,,,,,
player,201610090min,htx,StroJa01,pass_int,0,,,,,
player,201610090min,htx,StroJa01,pass_sacked,0,,,,,
player,201610090min,htx,StroJa01,pass_sacked_yds,0,,,,,
player,201610090min,htx,StroJa01,pass_long,0,,,,,
player,201610090min,htx,StroJa01,pass_rating,,,,,,
player,201610090min,htx,StroJa01,rush_att,0,,,,,
player,201610090min,htx,StroJa01,rush_yds,0,,,,,
player,201610090min,htx,StroJa01,rush_td,0,,,,,
player,201610090min,htx,StroJa01,rush_long,0,,,,,
player,201610090min,htx,StroJa01,targets,9,,,,,
player,201610090min,htx,StroJa01,rec,5,,,,,
player,201610090min,htx,StroJa01,rec_yds,39,,,,,
player,201610090min,htx,StroJa01,rec_td,0,,,,,
player,201610090min,htx,StroJa01,rec_long,16,,,,,
player,201610090min,htx,StroJa01,fumbles,0,,,,,
player,201610090min,htx,StroJa01,fumbles_lost,0,,,,,
player,201610090min,htx,MillBr03,pass_cmp,0,,,,,
player,201610090min,htx,MillBr03,pass_att,0,,,,,
player,201610090min,htx,MillBr03,pass_yds,0,,,,,
player,201610090min,htx,MillBr03,pass_td,0,,,,,
player,201610090min,htx,MillBr03,pass_int,0,,,,,
player,201610090min,htx,MillBr03,pass_sacked,0,,,,,
player,201610090min,htx,MillBr03,pass_sacked_yds,0,,,,,
player,201610090min,htx,MillBr03,pass_long,0,,,,,
player,201610090min,htx,MillBr03,pass_rating,,,,,,
player,201610090min,htx,MillBr03,rush_att,0,,,,,
player,201610090min,htx,MillBr03,rush_yds,0,,,,,
player,201610090min,htx,MillBr03,rush_td,0,,,,,
player,201610090min,htx,MillBr03,rush_long,0,,,,,
player,201610090min,htx,MillBr03,targets,1,,,,,
player,201610090min,htx,MillBr03,rec,1,,,,,
player,201610090min,htx,MillBr03,rec_yds,12,,,,,
player,201610090min,htx,MillBr03,rec_td,0,,,,,
player,201610090min,htx,MillBr03,rec_long,12,,,,,
player,201610090min,htx,MillBr03,fumbles,0,,,,,
player,201610090min,htx,MillBr03,fumbles_lost,0,,,,,
player,201610090min,htx,GrifRy00,pass_cmp,0,,,,,
player,201610090min,htx,GrifRy00,pass_att,0,,,,,
player,201610090min,htx,GrifRy00,pass_yds,0,,,,,
player,201610090min,htx,GrifRy00,pass_td,0,,,,,
player,201610090min,htx,GrifRy00,pass_int,0,,,,,
player,201610090min,htx,GrifRy00,pass_sacked,0,,,,,
player,201610090min,htx,GrifRy00,pass_sacked_yds,0,,,,,
player,201610090min,htx,GrifRy00,pass_long,0,,,,,
player,201610090min,htx,GrifRy00,pass_rating,,,,,,
player,201610090min,htx,GrifRy00,rush_att,0,,,,,
player,201610090min,htx,GrifRy00,rush_yds,0,,,,,
player,201610090min,htx,GrifRy00,rush_td,0,,,,,
player,201610090min,htx,GrifRy00,rush_long,0,,,,,
player,201610090min,htx,GrifRy00,targets,6,,,,,
player,201610090min,htx,GrifRy00,rec,2,,,,,
player,201610090min,htx,GrifRy00,rec_yds,8,,,,,
player,201610090min,htx,GrifRy00,rec_td,0,,,,,
player,201610090min,htx,GrifRy00,rec_long,5,,,,,
player,201610090min,htx,GrifRy00,fumbles,0,,,,,
player,201610090min,htx,GrifRy00,fumbles_lost,0,,,,,
player,201610090min,htx,FullWi01,pass_cmp,0,,,,,
player,201610090min,htx,FullWi01,pass_att,0,,,,,
player,201610090min,htx,FullWi01,pass_yds,0,,,,,
player,201610090min,htx,FullWi01,pass_td,0,,,,,
player,201610090min,htx,FullWi01,pass_int,0,,,,,
player,201610090min,htx,FullWi01,pass_sacked,0,,,,,
player,201610090min,htx,FullWi01,pass_sacked_yds,0,,,,,
player,201610090min,htx,FullWi01,pass_long,0,,,,,
player,201610090min,htx,FullWi01,pass_rating,,,,,,
player,201610090min,htx,FullWi01,rush_att,0,,,,,
player,201610090min,htx,FullWi01,rush_yds,0,,,,,
player,201610090min,htx,FullWi01,rush_td,0,,,,,
player,201610090min,htx,FullWi01,rush_long,0,,,,,
player,201610090min,htx,FullWi01,targets,6,,,,,
player,201610090min,htx,FullWi01,rec,1,,,,,
player,201610090min,htx,FullWi01,rec_yds,4,,,,,
player,201610090min,htx,FullWi01,rec_td,0,,,,,
player,201610090min,htx,FullWi01,rec_long,4,,,,,
player,201610090min,htx,FullWi01,fumbles,0,,,,,
player,201610090min,htx,FullWi01,fumbles_lost,0,,,,,
player,201610090min,min,BradSa00,pass_cmp,22,,,,,
player,201610090min,min,BradSa00,pass_att,30,,,,,
player,201610090min,min,BradSa00,pass_yds,271,,,,,
player,201610090min,min,BradSa00,pass_td,2,,,,,
player,201610090min,min,BradSa00,pass_int,0,,,,,
player,201610090min,min,BradSa00,pass_sacked,2,,,,,
player,201610090min,min,BradSa00,pass_sacked_yds,16,,,,,
player,201610090min,min,BradSa00,pass_long,36,,,,,
player,201610090min,min,BradSa00,pass_rating,123.1,,,,,
player,201610090min,min,BradSa00,rush_att,2,,,,,
player,201610090min,min,BradSa00,rush_yds,-2,,,,,
player,201610090min,min,BradSa00,rush_td,0,,,,,
player,201610090min,min,BradSa00,rush_long,-1,,,,,
player,201610090min,min,BradSa00,targets,0,,,,,
player,201610090min,min,BradSa00,rec,0,,,,,
player,201610090min,min,BradSa00,rec_yds,0,,,,,
player,201610090min,min,BradSa00,rec_td,0,,,,,
player,201610090min,min,BradSa00,rec_long,0,,,,,
player,201610090min,min,BradSa00,fumbles,0,,,,,
player,201610090min,min,BradSa00,fumbles_lost,0,,,,,
player,201610090min,min,AsiaMa00,pass_cmp,0,,,,,
player,201610090min,min,AsiaMa00,pass_att,0,,,,,
player,201610090min,min,AsiaMa00,pass_yds,0,,,,,
player,201610090min,min,AsiaMa00,pass_td,0,,,,,
player,201610090min,min,AsiaMa00,pass_int,0,,,,,
player,201610090min,min,AsiaMa00,pass_sacked,0,,,,,
player,201610090min,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201610090min,min,AsiaMa00,pass_long,0,,,,,
player,201610090min,min,AsiaMa00,pass_rating,,,,,,
player,201610090min,min,AsiaMa00,rush_att,14,,,,,
player,201610090min,min,AsiaMa00,rush_yds,55,,,,,
player,201610090min,min,AsiaMa00,rush_td,1,,,,,
player,201610090min,min,AsiaMa00,rush_long,8,,,,,
player,201610090min,min,AsiaMa00,targets,3,,,,,
player,201610090min,min,AsiaMa00,rec,3,,,,,
player,201610090min,min,AsiaMa00,rec_yds,46,,,,,
player,201610090min,min,AsiaMa00,rec_td,0,,,,,
player,201610090min,min,AsiaMa00,rec_long,23,,,,,
player,201610090min,min,AsiaMa00,fumbles,0,,,,,
player,201610090min,min,AsiaMa00,fumbles_lost,0,,,,,
player,201610090min,min,McKiJe00,pass_cmp,0,,,,,
player,201610090min,min,McKiJe00,pass_att,0,,,,,
player,201610090min,min,McKiJe00,pass_yds,0,,,,,
player,201610090min,min,McKiJe00,pass_td,0,,,,,
player,201610090min,min,McKiJe00,pass_int,0,,,,,
player,201610090min,min,McKiJe00,pass_sacked,0,,,,,
player,201610090min,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201610090min,min,McKiJe00,pass_long,0,,,,,
player,201610090min,min,McKiJe00,pass_rating,,,,,,
player,201610090min,min,McKiJe00,rush_att,20,,,,,
player,201610090min,min,McKiJe00,rush_yds,36,,,,,
player,201610090min,min,McKiJe00,rush_td,0,,,,,
player,201610090min,min,McKiJe00,rush_long,8,,,,,
player,201610090min,min,McKiJe00,targets,3,,,,,
player,201610090min,min,McKiJe00,rec,1,,,,,
player,201610090min,min,McKiJe00,rec_yds,10,,,,,
player,201610090min,min,McKiJe00,rec_td,0,,,,,
player,201610090min,min,McKiJe00,rec_long,10,,,,,
player,201610090min,min,McKiJe00,fumbles,0,,,,,
player,201610090min,min,McKiJe00,fumbles_lost,0,,,,,
player,201610090min,min,PattCo00,pass_cmp,0,,,,,
player,201610090min,min,PattCo00,pass_att,0,,,,,
player,201610090min,min,PattCo00,pass_yds,0,,,,,
player,201610090min,min,PattCo00,pass_td,0,,,,,
player,201610090min,min,PattCo00,pass_int,0,,,,,
player,201610090min,min,PattCo00,pass_sacked,0,,,,,
player,201610090min,min,PattCo00,pass_sacked_yds,0,,,,,
player,201610090min,min,PattCo00,pass_long,0,,,,,
player,201610090min,min,PattCo00,pass_rating,,,,,,
player,201610090min,min,PattCo00,rush_att,1,,,,,
player,201610090min,min,PattCo00,rush_yds,7,,,,,
player,201610090min,min,PattCo00,rush_td,0,,,,,
player,201610090min,min,PattCo00,rush_long,7,,,,,
player,201610090min,min,PattCo00,targets,6,,,,,
player,201610090min,min,PattCo00,rec,4,,,,,
player,201610090min,min,PattCo00,rec_yds,39,,,,,
player,201610090min,min,PattCo00,rec_td,1,,,,,
player,201610090min,min,PattCo00,rec_long,15,,,,,
player,201610090min,min,PattCo00,fumbles,0,,,,,
player,201610090min,min,PattCo00,fumbles_lost,0,,,,,
player,201610090min,min,ThieAd00,pass_cmp,0,,,,,
player,201610090min,min,ThieAd00,pass_att,0,,,,,
player,201610090min,min,ThieAd00,pass_yds,0,,,,,
player,201610090min,min,ThieAd00,pass_td,0,,,,,
player,201610090min,min,ThieAd00,pass_int,0,,,,,
player,201610090min,min,ThieAd00,pass_sacked,0,,,,,
player,201610090min,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201610090min,min,ThieAd00,pass_long,0,,,,,
player,201610090min,min,ThieAd00,pass_rating,,,,,,
player,201610090min,min,ThieAd00,rush_att,0,,,,,
player,201610090min,min,ThieAd00,rush_yds,0,,,,,
player,201610090min,min,ThieAd00,rush_td,0,,,,,
player,201610090min,min,ThieAd00,rush_long,0,,,,,
player,201610090min,min,ThieAd00,targets,8,,,,,
player,201610090min,min,ThieAd00,rec,7,,,,,
player,201610090min,min,ThieAd00,rec_yds,127,,,,,
player,201610090min,min,ThieAd00,rec_td,1,,,,,
player,201610090min,min,ThieAd00,rec_long,36,,,,,
player,201610090min,min,ThieAd00,fumbles,0,,,,,
player,201610090min,min,ThieAd00,fumbles_lost,0,,,,,
player,201610090min,min,WrigJa02,pass_cmp,0,,,,,
player,201610090min,min,WrigJa02,pass_att,0,,,,,
player,201610090min,min,WrigJa02,pass_yds,0,,,,,
player,201610090min,min,WrigJa02,pass_td,0,,,,,
player,201610090min,min,WrigJa02,pass_int,0,,,,,
player,201610090min,min,WrigJa02,pass_sacked,0,,,,,
player,201610090min,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201610090min,min,WrigJa02,pass_long,0,,,,,
player,201610090min,min,WrigJa02,pass_rating,,,,,,
player,201610090min,min,WrigJa02,rush_att,0,,,,,
player,201610090min,min,WrigJa02,rush_yds,0,,,,,
player,201610090min,min,WrigJa02,rush_td,0,,,,,
player,201610090min,min,WrigJa02,rush_long,0,,,,,
player,201610090min,min,WrigJa02,targets,4,,,,,
player,201610090min,min,WrigJa02,rec,4,,,,,
player,201610090min,min,WrigJa02,rec_yds,32,,,,,
player,201610090min,min,WrigJa02,rec_td,0,,,,,
player,201610090min,min,WrigJa02,rec_long,11,,,,,
player,201610090min,min,WrigJa02,fumbles,0,,,,,
player,201610090min,min,WrigJa02,fumbles_lost,0,,,,,
player,201610090min,min,RudoKy00,pass_cmp,0,,,,,
player,201610090min,min,RudoKy00,pass_att,0,,,,,
player,201610090min,min,RudoKy00,pass_yds,0,,,,,
player,201610090min,min,RudoKy00,pass_td,0,,,,,
player,201610090min,min,RudoKy00,pass_int,0,,,,,
player,201610090min,min,RudoKy00,pass_sacked,0,,,,,
player,201610090min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201610090min,min,RudoKy00,pass_long,0,,,,,
player,201610090min,min,RudoKy00,pass_rating,,,,,,
player,201610090min,min,RudoKy00,rush_att,0,,,,,
player,201610090min,min,RudoKy00,rush_yds,0,,,,,
player,201610090min,min,RudoKy00,rush_td,0,,,,,
player,201610090min,min,RudoKy00,rush_long,0,,,,,
player,201610090min,min,RudoKy00,targets,4,,,,,
player,201610090min,min,RudoKy00,rec,2,,,,,
player,201610090min,min,RudoKy00,rec_yds,15,,,,,
player,201610090min,min,RudoKy00,rec_td,0,,,,,
player,201610090min,min,RudoKy00,rec_long,14,,,,,
player,201610090min,min,RudoKy00,fumbles,0,,,,,
player,201610090min,min,RudoKy00,fumbles_lost,0,,,,,
player,201610090min,min,JohnCh08,pass_cmp,0,,,,,
player,201610090min,min,JohnCh08,pass_att,0,,,,,
player,201610090min,min,JohnCh08,pass_yds,0,,,,,
player,201610090min,min,JohnCh08,pass_td,0,,,,,
player,201610090min,min,JohnCh08,pass_int,0,,,,,
player,201610090min,min,JohnCh08,pass_sacked,0,,,,,
player,201610090min,min,JohnCh08,pass_sacked_yds,0,,,,,
player,201610090min,min,JohnCh08,pass_long,0,,,,,
player,201610090min,min,JohnCh08,pass_rating,,,,,,
player,201610090min,min,JohnCh08,rush_att,0,,,,,
player,201610090min,min,JohnCh08,rush_yds,0,,,,,
player,201610090min,min,JohnCh08,rush_td,0,,,,,
player,201610090min,min,JohnCh08,rush_long,0,,,,,
player,201610090min,min,JohnCh08,targets,1,,,,,
player,201610090min,min,JohnCh08,rec,1,,,,,
player,201610090min,min,JohnCh08,rec_yds,2,,,,,
player,201610090min,min,JohnCh08,rec_td,0,,,,,
player,201610090min,min,JohnCh08,rec_long,2,,,,,
player,201610090min,min,JohnCh08,fumbles,0,,,,,
player,201610090min,min,JohnCh08,fumbles_lost,0,,,,,
player,201610090min,min,LineZa01,pass_cmp,0,,,,,
player,201610090min,min,LineZa01,pass_att,0,,,,,
player,201610090min,min,LineZa01,pass_yds,0,,,,,
player,201610090min,min,LineZa01,pass_td,0,,,,,
player,201610090min,min,LineZa01,pass_int,0,,,,,
player,201610090min,min,LineZa01,pass_sacked,0,,,,,
player,201610090min,min,LineZa01,pass_sacked_yds,0,,,,,
player,201610090min,min,LineZa01,pass_long,0,,,,,
player,201610090min,min,LineZa01,pass_rating,,,,,,
player,201610090min,min,LineZa01,rush_att,0,,,,,
player,201610090min,min,LineZa01,rush_yds,0,,,,,
player,201610090min,min,LineZa01,rush_td,0,,,,,
player,201610090min,min,LineZa01,rush_long,0,,,,,
player,201610090min,min,LineZa01,targets,1,,,,,
player,201610090min,min,LineZa01,rec,0,,,,,
player,201610090min,min,LineZa01,rec_yds,0,,,,,
player,201610090min,min,LineZa01,rec_td,0,,,,,
player,201610090min,min,LineZa01,rec_long,0,,,,,
player,201610090min,min,LineZa01,fumbles,0,,,,,
player,201610090min,min,LineZa01,fumbles_lost,0,,,,,
player,201610090min,htx,MercWh00,def_int,0,,,,,
player,201610090min,htx,MercWh00,def_int_yds,0,,,,,
player,201610090min,htx,MercWh00,def_int_td,0,,,,,
player,201610090min,htx,MercWh00,def_int_long,0,,,,,
player,201610090min,htx,MercWh00,pass_defended,0,,,,,
player,201610090min,htx,MercWh00,sacks,1.5,,,,,
player,201610090min,htx,MercWh00,tackles_combined,3,,,,,
player,201610090min,htx,MercWh00,tackles_solo,2,,,,,
player,201610090min,htx,MercWh00,tackles_assists,1,,,,,
player,201610090min,htx,MercWh00,tackles_loss,1,,,,,
player,201610090min,htx,MercWh00,qb_hits,5,,,,,
player,201610090min,htx,MercWh00,fumbles_rec,0,,,,,
player,201610090min,htx,MercWh00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,MercWh00,fumbles_rec_td,0,,,,,
player,201610090min,htx,MercWh00,fumbles_forced,0,,,,,
player,201610090min,htx,SmitAn22,def_int,0,,,,,
player,201610090min,htx,SmitAn22,def_int_yds,0,,,,,
player,201610090min,htx,SmitAn22,def_int_td,0,,,,,
player,201610090min,htx,SmitAn22,def_int_long,0,,,,,
player,201610090min,htx,SmitAn22,pass_defended,0,,,,,
player,201610090min,htx,SmitAn22,sacks,0.5,,,,,
player,201610090min,htx,SmitAn22,tackles_combined,1,,,,,
player,201610090min,htx,SmitAn22,tackles_solo,0,,,,,
player,201610090min,htx,SmitAn22,tackles_assists,1,,,,,
player,201610090min,htx,SmitAn22,tackles_loss,0,,,,,
player,201610090min,htx,SmitAn22,qb_hits,2,,,,,
player,201610090min,htx,SmitAn22,fumbles_rec,0,,,,,
player,201610090min,htx,SmitAn22,fumbles_rec_yds,0,,,,,
player,201610090min,htx,SmitAn22,fumbles_rec_td,0,,,,,
player,201610090min,htx,SmitAn22,fumbles_forced,0,,,,,
player,201610090min,htx,McKiBe00,def_int,0,,,,,
player,201610090min,htx,McKiBe00,def_int_yds,0,,,,,
player,201610090min,htx,McKiBe00,def_int_td,0,,,,,
player,201610090min,htx,McKiBe00,def_int_long,0,,,,,
player,201610090min,htx,McKiBe00,pass_defended,0,,,,,
player,201610090min,htx,McKiBe00,sacks,0.0,,,,,
player,201610090min,htx,McKiBe00,tackles_combined,10,,,,,
player,201610090min,htx,McKiBe00,tackles_solo,5,,,,,
player,201610090min,htx,McKiBe00,tackles_assists,5,,,,,
player,201610090min,htx,McKiBe00,tackles_loss,0,,,,,
player,201610090min,htx,McKiBe00,qb_hits,0,,,,,
player,201610090min,htx,McKiBe00,fumbles_rec,0,,,,,
player,201610090min,htx,McKiBe00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,McKiBe00,fumbles_rec_td,0,,,,,
player,201610090min,htx,McKiBe00,fumbles_forced,0,,,,,
player,201610090min,htx,ClowJa00,def_int,0,,,,,
player,201610090min,htx,ClowJa00,def_int_yds,0,,,,,
player,201610090min,htx,ClowJa00,def_int_td,0,,,,,
player,201610090min,htx,ClowJa00,def_int_long,0,,,,,
player,201610090min,htx,ClowJa00,pass_defended,0,,,,,
player,201610090min,htx,ClowJa00,sacks,0.0,,,,,
player,201610090min,htx,ClowJa00,tackles_combined,8,,,,,
player,201610090min,htx,ClowJa00,tackles_solo,7,,,,,
player,201610090min,htx,ClowJa00,tackles_assists,1,,,,,
player,201610090min,htx,ClowJa00,tackles_loss,4,,,,,
player,201610090min,htx,ClowJa00,qb_hits,0,,,,,
player,201610090min,htx,ClowJa00,fumbles_rec,0,,,,,
player,201610090min,htx,ClowJa00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,ClowJa00,fumbles_rec_td,0,,,,,
player,201610090min,htx,ClowJa00,fumbles_forced,0,,,,,
player,201610090min,htx,JameCh00,def_int,0,,,,,
player,201610090min,htx,JameCh00,def_int_yds,0,,,,,
player,201610090min,htx,JameCh00,def_int_td,0,,,,,
player,201610090min,htx,JameCh00,def_int_long,0,,,,,
player,201610090min,htx,JameCh00,pass_defended,0,,,,,
player,201610090min,htx,JameCh00,sacks,0.0,,,,,
player,201610090min,htx,JameCh00,tackles_combined,7,,,,,
player,201610090min,htx,JameCh00,tackles_solo,6,,,,,
player,201610090min,htx,JameCh00,tackles_assists,1,,,,,
player,201610090min,htx,JameCh00,tackles_loss,0,,,,,
player,201610090min,htx,JameCh00,qb_hits,0,,,,,
player,201610090min,htx,JameCh00,fumbles_rec,0,,,,,
player,201610090min,htx,JameCh00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,JameCh00,fumbles_rec_td,0,,,,,
player,201610090min,htx,JameCh00,fumbles_forced,0,,,,,
player,201610090min,htx,CoviCh00,def_int,0,,,,,
player,201610090min,htx,CoviCh00,def_int_yds,0,,,,,
player,201610090min,htx,CoviCh00,def_int_td,0,,,,,
player,201610090min,htx,CoviCh00,def_int_long,0,,,,,
player,201610090min,htx,CoviCh00,pass_defended,0,,,,,
player,201610090min,htx,CoviCh00,sacks,0.0,,,,,
player,201610090min,htx,CoviCh00,tackles_combined,5,,,,,
player,201610090min,htx,CoviCh00,tackles_solo,3,,,,,
player,201610090min,htx,CoviCh00,tackles_assists,2,,,,,
player,201610090min,htx,CoviCh00,tackles_loss,1,,,,,
player,201610090min,htx,CoviCh00,qb_hits,0,,,,,
player,201610090min,htx,CoviCh00,fumbles_rec,0,,,,,
player,201610090min,htx,CoviCh00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,CoviCh00,fumbles_rec_td,0,,,,,
player,201610090min,htx,CoviCh00,fumbles_forced,0,,,,,
player,201610090min,htx,CushBr99,def_int,0,,,,,
player,201610090min,htx,CushBr99,def_int_yds,0,,,,,
player,201610090min,htx,CushBr99,def_int_td,0,,,,,
