game,2016,2,20160919,201609190chi,phi,"Philadelphia Eagles",29,chi,"Chicago Bears",14
player,201609190chi,phi,WentCa00,rush_att,6,,,,,
player,201609190chi,phi,WentCa00,rush_yds,10,,,,,
player,201609190chi,phi,WentCa00,rush_td,0,,,,,
player,201609190chi,phi,WentCa00,rush_long,7,,,,,
player,201609190chi,phi,WentCa00,targets,0,,,,,
player,201609190chi,phi,WentCa00,rec,0,,,,,
player,201609190chi,phi,WentCa00,rec_yds,0,,,,,
player,201609190chi,phi,WentCa00,rec_td,0,,,,,
player,201609190chi,phi,WentCa00,rec_long,0,,,,,
player,201609190chi,phi,WentCa00,fumbles,0,,,,,
player,201609190chi,phi,WentCa00,fumbles_lost,0,,,,,
player,201609190chi,phi,SproDa00,pass_cmp,0,,,,,
player,201609190chi,phi,SproDa00,pass_att,0,,,,,
player,201609190chi,phi,SproDa00,pass_yds,0,,,,,
player,201609190chi,phi,SproDa00,pass_td,0,,,,,
player,201609190chi,phi,SproDa00,pass_int,0,,,,,
player,201609190chi,phi,SproDa00,pass_sacked,0,,,,,
player,201609190chi,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201609190chi,phi,SproDa00,pass_long,0,,,,,
player,201609190chi,phi,SproDa00,pass_rating,,,,,,
player,201609190chi,phi,SproDa00,rush_att,12,,,,,
player,201609190chi,phi,SproDa00,rush_yds,40,,,,,
player,201609190chi,phi,SproDa00,rush_td,0,,,,,
player,201609190chi,phi,SproDa00,rush_long,14,,,,,
player,201609190chi,phi,SproDa00,targets,2,,,,,
player,201609190chi,phi,SproDa00,rec,2,,,,,
player,201609190chi,phi,SproDa00,rec_yds,8,,,,,
player,201609190chi,phi,SproDa00,rec_td,0,,,,,
player,201609190chi,phi,SproDa00,rec_long,6,,,,,
player,201609190chi,phi,SproDa00,fumbles,0,,,,,
player,201609190chi,phi,SproDa00,fumbles_lost,0,,,,,
player,201609190chi,phi,MathRy00,pass_cmp,0,,,,,
player,201609190chi,phi,MathRy00,pass_att,0,,,,,
player,201609190chi,phi,MathRy00,pass_yds,0,,,,,
player,201609190chi,phi,MathRy00,pass_td,0,,,,,
player,201609190chi,phi,MathRy00,pass_int,0,,,,,
player,201609190chi,phi,MathRy00,pass_sacked,0,,,,,
player,201609190chi,phi,MathRy00,pass_sacked_yds,0,,,,,
player,201609190chi,phi,MathRy00,pass_long,0,,,,,
player,201609190chi,phi,MathRy00,pass_rating,,,,,,
player,201609190chi,phi,MathRy00,rush_att,9,,,,,
player,201609190chi,phi,MathRy00,rush_yds,32,,,,,
player,201609190chi,phi,MathRy00,rush_td,2,,,,,
player,201609190chi,phi,MathRy00,rush_long,30,,,,,
player,201609190chi,phi,MathRy00,targets,1,,,,,
player,201609190chi,phi,MathRy00,rec,1,,,,,
player,201609190chi,phi,MathRy00,rec_yds,3,,,,,
player,201609190chi,phi,MathRy00,rec_td,0,,,,,
player,201609190chi,phi,MathRy00,rec_long,3,,,,,
player,201609190chi,phi,MathRy00,fumbles,0,,,,,
player,201609190chi,phi,MathRy00,fumbles_lost,0,,,,,
player,201609190chi,phi,SmalWe00,pass_cmp,0,,,,,
player,201609190chi,phi,SmalWe00,pass_att,0,,,,,
player,201609190chi,phi,SmalWe00,pass_yds,0,,,,,
player,201609190chi,phi,SmalWe00,pass_td,0,,,,,
player,201609190chi,phi,SmalWe00,pass_int,0,,,,,
player,201609190chi,phi,SmalWe00,pass_sacked,0,,,,,
player,201609190chi,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201609190chi,phi,SmalWe00,pass_long,0,,,,,
player,201609190chi,phi,SmalWe00,pass_rating,,,,,,
player,201609190chi,phi,SmalWe00,rush_att,2,,,,,
player,201609190chi,phi,SmalWe00,rush_yds,16,,,,,
player,201609190chi,phi,SmalWe00,rush_td,0,,,,,
player,201609190chi,phi,SmalWe00,rush_long,11,,,,,
player,201609190chi,phi,SmalWe00,targets,1,,,,,
player,201609190chi,phi,SmalWe00,rec,0,,,,,
player,201609190chi,phi,SmalWe00,rec_yds,0,,,,,
player,201609190chi,phi,SmalWe00,rec_td,0,,,,,
player,201609190chi,phi,SmalWe00,rec_long,0,,,,,
player,201609190chi,phi,SmalWe00,fumbles,0,,,,,
player,201609190chi,phi,SmalWe00,fumbles_lost,0,,,,,
player,201609190chi,phi,BarnKe00,pass_cmp,0,,,,,
player,201609190chi,phi,BarnKe00,pass_att,0,,,,,
player,201609190chi,phi,BarnKe00,pass_yds,0,,,,,
player,201609190chi,phi,BarnKe00,pass_td,0,,,,,
player,201609190chi,phi,BarnKe00,pass_int,0,,,,,
player,201609190chi,phi,BarnKe00,pass_sacked,0,,,,,
player,201609190chi,phi,BarnKe00,pass_sacked_yds,0,,,,,
player,201609190chi,phi,BarnKe00,pass_long,0,,,,,
player,201609190chi,phi,BarnKe00,pass_rating,,,,,,
player,201609190chi,phi,BarnKe00,rush_att,2,,,,,
player,201609190chi,phi,BarnKe00,rush_yds,2,,,,,
player,201609190chi,phi,BarnKe00,rush_td,0,,,,,
player,201609190chi,phi,BarnKe00,rush_long,3,,,,,
player,201609190chi,phi,BarnKe00,targets,0,,,,,
player,201609190chi,phi,BarnKe00,rec,0,,,,,
player,201609190chi,phi,BarnKe00,rec_yds,0,,,,,
player,201609190chi,phi,BarnKe00,rec_td,0,,,,,
player,201609190chi,phi,BarnKe00,rec_long,0,,,,,
player,201609190chi,phi,BarnKe00,fumbles,0,,,,,
player,201609190chi,phi,BarnKe00,fumbles_lost,0,,,,,
player,201609190chi,phi,MattJo00,pass_cmp,0,,,,,
player,201609190chi,phi,MattJo00,pass_att,0,,,,,
player,201609190chi,phi,MattJo00,pass_yds,0,,,,,
player,201609190chi,phi,MattJo00,pass_td,0,,,,,
player,201609190chi,phi,MattJo00,pass_int,0,,,,,
player,201609190chi,phi,MattJo00,pass_sacked,0,,,,,
player,201609190chi,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201609190chi,phi,MattJo00,pass_long,0,,,,,
player,201609190chi,phi,MattJo00,pass_rating,,,,,,
player,201609190chi,phi,MattJo00,rush_att,0,,,,,
player,201609190chi,phi,MattJo00,rush_yds,0,,,,,
player,201609190chi,phi,MattJo00,rush_td,0,,,,,
player,201609190chi,phi,MattJo00,rush_long,0,,,,,
player,201609190chi,phi,MattJo00,targets,9,,,,,
player,201609190chi,phi,MattJo00,rec,6,,,,,
player,201609190chi,phi,MattJo00,rec_yds,71,,,,,
player,201609190chi,phi,MattJo00,rec_td,0,,,,,
player,201609190chi,phi,MattJo00,rec_long,32,,,,,
player,201609190chi,phi,MattJo00,fumbles,0,,,,,
player,201609190chi,phi,MattJo00,fumbles_lost,0,,,,,
player,201609190chi,phi,BurtTr01,pass_cmp,0,,,,,
player,201609190chi,phi,BurtTr01,pass_att,0,,,,,
player,201609190chi,phi,BurtTr01,pass_yds,0,,,,,
player,201609190chi,phi,BurtTr01,pass_td,0,,,,,
player,201609190chi,phi,BurtTr01,pass_int,0,,,,,
player,201609190chi,phi,BurtTr01,pass_sacked,0,,,,,
player,201609190chi,phi,BurtTr01,pass_sacked_yds,0,,,,,
player,201609190chi,phi,BurtTr01,pass_long,0,,,,,
player,201609190chi,phi,BurtTr01,pass_rating,,,,,,
player,201609190chi,phi,BurtTr01,rush_att,0,,,,,
player,201609190chi,phi,BurtTr01,rush_yds,0,,,,,
player,201609190chi,phi,BurtTr01,rush_td,0,,,,,
player,201609190chi,phi,BurtTr01,rush_long,0,,,,,
player,201609190chi,phi,BurtTr01,targets,7,,,,,
player,201609190chi,phi,BurtTr01,rec,5,,,,,
player,201609190chi,phi,BurtTr01,rec_yds,49,,,,,
player,201609190chi,phi,BurtTr01,rec_td,1,,,,,
player,201609190chi,phi,BurtTr01,rec_long,14,,,,,
player,201609190chi,phi,BurtTr01,fumbles,0,,,,,
player,201609190chi,phi,BurtTr01,fumbles_lost,0,,,,,
player,201609190chi,phi,AghoNe00,pass_cmp,0,,,,,
player,201609190chi,phi,AghoNe00,pass_att,0,,,,,
player,201609190chi,phi,AghoNe00,pass_yds,0,,,,,
player,201609190chi,phi,AghoNe00,pass_td,0,,,,,
player,201609190chi,phi,AghoNe00,pass_int,0,,,,,
player,201609190chi,phi,AghoNe00,pass_sacked,0,,,,,
player,201609190chi,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201609190chi,phi,AghoNe00,pass_long,0,,,,,
player,201609190chi,phi,AghoNe00,pass_rating,,,,,,
player,201609190chi,phi,AghoNe00,rush_att,0,,,,,
player,201609190chi,phi,AghoNe00,rush_yds,0,,,,,
player,201609190chi,phi,AghoNe00,rush_td,0,,,,,
player,201609190chi,phi,AghoNe00,rush_long,0,,,,,
player,201609190chi,phi,AghoNe00,targets,7,,,,,
player,201609190chi,phi,AghoNe00,rec,4,,,,,
player,201609190chi,phi,AghoNe00,rec_yds,42,,,,,
player,201609190chi,phi,AghoNe00,rec_td,0,,,,,
player,201609190chi,phi,AghoNe00,rec_long,18,,,,,
player,201609190chi,phi,AghoNe00,fumbles,0,,,,,
player,201609190chi,phi,AghoNe00,fumbles_lost,0,,,,,
player,201609190chi,phi,GreeDo00,pass_cmp,0,,,,,
player,201609190chi,phi,GreeDo00,pass_att,0,,,,,
player,201609190chi,phi,GreeDo00,pass_yds,0,,,,,
player,201609190chi,phi,GreeDo00,pass_td,0,,,,,
player,201609190chi,phi,GreeDo00,pass_int,0,,,,,
player,201609190chi,phi,GreeDo00,pass_sacked,0,,,,,
player,201609190chi,phi,GreeDo00,pass_sacked_yds,0,,,,,
player,201609190chi,phi,GreeDo00,pass_long,0,,,,,
player,201609190chi,phi,GreeDo00,pass_rating,,,,,,
player,201609190chi,phi,GreeDo00,rush_att,0,,,,,
player,201609190chi,phi,GreeDo00,rush_yds,0,,,,,
player,201609190chi,phi,GreeDo00,rush_td,0,,,,,
player,201609190chi,phi,GreeDo00,rush_long,0,,,,,
player,201609190chi,phi,GreeDo00,targets,4,,,,,
player,201609190chi,phi,GreeDo00,rec,2,,,,,
player,201609190chi,phi,GreeDo00,rec_yds,18,,,,,
player,201609190chi,phi,GreeDo00,rec_td,0,,,,,
player,201609190chi,phi,GreeDo00,rec_long,9,,,,,
player,201609190chi,phi,GreeDo00,fumbles,0,,,,,
player,201609190chi,phi,GreeDo00,fumbles_lost,0,,,,,
player,201609190chi,phi,CeleBr00,pass_cmp,0,,,,,
player,201609190chi,phi,CeleBr00,pass_att,0,,,,,
player,201609190chi,phi,CeleBr00,pass_yds,0,,,,,
player,201609190chi,phi,CeleBr00,pass_td,0,,,,,
player,201609190chi,phi,CeleBr00,pass_int,0,,,,,
player,201609190chi,phi,CeleBr00,pass_sacked,0,,,,,
player,201609190chi,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201609190chi,phi,CeleBr00,pass_long,0,,,,,
player,201609190chi,phi,CeleBr00,pass_rating,,,,,,
player,201609190chi,phi,CeleBr00,rush_att,0,,,,,
player,201609190chi,phi,CeleBr00,rush_yds,0,,,,,
player,201609190chi,phi,CeleBr00,rush_td,0,,,,,
player,201609190chi,phi,CeleBr00,rush_long,0,,,,,
player,201609190chi,phi,CeleBr00,targets,1,,,,,
player,201609190chi,phi,CeleBr00,rec,0,,,,,
player,201609190chi,phi,CeleBr00,rec_yds,0,,,,,
player,201609190chi,phi,CeleBr00,rec_td,0,,,,,
player,201609190chi,phi,CeleBr00,rec_long,0,,,,,
player,201609190chi,phi,CeleBr00,fumbles,0,,,,,
player,201609190chi,phi,CeleBr00,fumbles_lost,0,,,,,
player,201609190chi,phi,HuffJo00,pass_cmp,0,,,,,
player,201609190chi,phi,HuffJo00,pass_att,0,,,,,
player,201609190chi,phi,HuffJo00,pass_yds,0,,,,,
player,201609190chi,phi,HuffJo00,pass_td,0,,,,,
player,201609190chi,phi,HuffJo00,pass_int,0,,,,,
player,201609190chi,phi,HuffJo00,pass_sacked,0,,,,,
player,201609190chi,phi,HuffJo00,pass_sacked_yds,0,,,,,
player,201609190chi,phi,HuffJo00,pass_long,0,,,,,
player,201609190chi,phi,HuffJo00,pass_rating,,,,,,
player,201609190chi,phi,HuffJo00,rush_att,1,,,,,
player,201609190chi,phi,HuffJo00,rush_yds,0,,,,,
player,201609190chi,phi,HuffJo00,rush_td,0,,,,,
player,201609190chi,phi,HuffJo00,rush_long,0,,,,,
player,201609190chi,phi,HuffJo00,targets,1,,,,,
player,201609190chi,phi,HuffJo00,rec,1,,,,,
player,201609190chi,phi,HuffJo00,rec_yds,-1,,,,,
player,201609190chi,phi,HuffJo00,rec_td,0,,,,,
player,201609190chi,phi,HuffJo00,rec_long,-1,,,,,
player,201609190chi,phi,HuffJo00,fumbles,0,,,,,
player,201609190chi,phi,HuffJo00,fumbles_lost,0,,,,,
player,201609190chi,chi,CutlJa00,pass_cmp,12,,,,,
player,201609190chi,chi,CutlJa00,pass_att,17,,,,,
player,201609190chi,chi,CutlJa00,pass_yds,157,,,,,
player,201609190chi,chi,CutlJa00,pass_td,0,,,,,
player,201609190chi,chi,CutlJa00,pass_int,1,,,,,
player,201609190chi,chi,CutlJa00,pass_sacked,3,,,,,
player,201609190chi,chi,CutlJa00,pass_sacked_yds,15,,,,,
player,201609190chi,chi,CutlJa00,pass_long,49,,,,,
player,201609190chi,chi,CutlJa00,pass_rating,74.9,,,,,
player,201609190chi,chi,CutlJa00,rush_att,0,,,,,
player,201609190chi,chi,CutlJa00,rush_yds,0,,,,,
player,201609190chi,chi,CutlJa00,rush_td,0,,,,,
player,201609190chi,chi,CutlJa00,rush_long,0,,,,,
player,201609190chi,chi,CutlJa00,targets,0,,,,,
player,201609190chi,chi,CutlJa00,rec,0,,,,,
player,201609190chi,chi,CutlJa00,rec_yds,0,,,,,
player,201609190chi,chi,CutlJa00,rec_td,0,,,,,
player,201609190chi,chi,CutlJa00,rec_long,0,,,,,
player,201609190chi,chi,CutlJa00,fumbles,1,,,,,
player,201609190chi,chi,CutlJa00,fumbles_lost,1,,,,,
player,201609190chi,chi,HoyeBr00,pass_cmp,9,,,,,
player,201609190chi,chi,HoyeBr00,pass_att,12,,,,,
player,201609190chi,chi,HoyeBr00,pass_yds,78,,,,,
player,201609190chi,chi,HoyeBr00,pass_td,0,,,,,
player,201609190chi,chi,HoyeBr00,pass_int,0,,,,,
player,201609190chi,chi,HoyeBr00,pass_sacked,0,,,,,
player,201609190chi,chi,HoyeBr00,pass_sacked_yds,0,,,,,
player,201609190chi,chi,HoyeBr00,pass_long,19,,,,,
player,201609190chi,chi,HoyeBr00,pass_rating,91.7,,,,,
player,201609190chi,chi,HoyeBr00,rush_att,0,,,,,
player,201609190chi,chi,HoyeBr00,rush_yds,0,,,,,
player,201609190chi,chi,HoyeBr00,rush_td,0,,,,,
player,201609190chi,chi,HoyeBr00,rush_long,0,,,,,
player,201609190chi,chi,HoyeBr00,targets,0,,,,,
player,201609190chi,chi,HoyeBr00,rec,0,,,,,
player,201609190chi,chi,HoyeBr00,rec_yds,0,,,,,
player,201609190chi,chi,HoyeBr00,rec_td,0,,,,,
player,201609190chi,chi,HoyeBr00,rec_long,0,,,,,
player,201609190chi,chi,HoyeBr00,fumbles,0,,,,,
player,201609190chi,chi,HoyeBr00,fumbles_lost,0,,,,,
player,201609190chi,chi,LangJe00,pass_cmp,0,,,,,
player,201609190chi,chi,LangJe00,pass_att,0,,,,,
player,201609190chi,chi,LangJe00,pass_yds,0,,,,,
player,201609190chi,chi,LangJe00,pass_td,0,,,,,
player,201609190chi,chi,LangJe00,pass_int,0,,,,,
player,201609190chi,chi,LangJe00,pass_sacked,0,,,,,
player,201609190chi,chi,LangJe00,pass_sacked_yds,0,,,,,
player,201609190chi,chi,LangJe00,pass_long,0,,,,,
player,201609190chi,chi,LangJe00,pass_rating,,,,,,
player,201609190chi,chi,LangJe00,rush_att,11,,,,,
player,201609190chi,chi,LangJe00,rush_yds,28,,,,,
player,201609190chi,chi,LangJe00,rush_td,1,,,,,
player,201609190chi,chi,LangJe00,rush_long,16,,,,,
player,201609190chi,chi,LangJe00,targets,2,,,,,
player,201609190chi,chi,LangJe00,rec,1,,,,,
player,201609190chi,chi,LangJe00,rec_yds,6,,,,,
player,201609190chi,chi,LangJe00,rec_td,0,,,,,
player,201609190chi,chi,LangJe00,rec_long,6,,,,,
player,201609190chi,chi,LangJe00,fumbles,1,,,,,
player,201609190chi,chi,LangJe00,fumbles_lost,1,,,,,
player,201609190chi,chi,HowaJo00,pass_cmp,0,,,,,
player,201609190chi,chi,HowaJo00,pass_att,0,,,,,
player,201609190chi,chi,HowaJo00,pass_yds,0,,,,,
player,201609190chi,chi,HowaJo00,pass_td,0,,,,,
player,201609190chi,chi,HowaJo00,pass_int,0,,,,,
player,201609190chi,chi,HowaJo00,pass_sacked,0,,,,,
player,201609190chi,chi,HowaJo00,pass_sacked_yds,0,,,,,
player,201609190chi,chi,HowaJo00,pass_long,0,,,,,
player,201609190chi,chi,HowaJo00,pass_rating,,,,,,
player,201609190chi,chi,HowaJo00,rush_att,3,,,,,
player,201609190chi,chi,HowaJo00,rush_yds,22,,,,,
player,201609190chi,chi,HowaJo00,rush_td,0,,,,,
player,201609190chi,chi,HowaJo00,rush_long,10,,,,,
player,201609190chi,chi,HowaJo00,targets,2,,,,,
player,201609190chi,chi,HowaJo00,rec,2,,,,,
player,201609190chi,chi,HowaJo00,rec_yds,9,,,,,
player,201609190chi,chi,HowaJo00,rec_td,0,,,,,
player,201609190chi,chi,HowaJo00,rec_long,7,,,,,
player,201609190chi,chi,HowaJo00,fumbles,0,,,,,
player,201609190chi,chi,HowaJo00,fumbles_lost,0,,,,,
player,201609190chi,chi,WhitKe00,pass_cmp,0,,,,,
player,201609190chi,chi,WhitKe00,pass_att,0,,,,,
player,201609190chi,chi,WhitKe00,pass_yds,0,,,,,
player,201609190chi,chi,WhitKe00,pass_td,0,,,,,
player,201609190chi,chi,WhitKe00,pass_int,0,,,,,
player,201609190chi,chi,WhitKe00,pass_sacked,0,,,,,
player,201609190chi,chi,WhitKe00,pass_sacked_yds,0,,,,,
player,201609190chi,chi,WhitKe00,pass_long,0,,,,,
player,201609190chi,chi,WhitKe00,pass_rating,,,,,,
player,201609190chi,chi,WhitKe00,rush_att,1,,,,,
player,201609190chi,chi,WhitKe00,rush_yds,9,,,,,
player,201609190chi,chi,WhitKe00,rush_td,0,,,,,
player,201609190chi,chi,WhitKe00,rush_long,9,,,,,
player,201609190chi,chi,WhitKe00,targets,6,,,,,
player,201609190chi,chi,WhitKe00,rec,4,,,,,
player,201609190chi,chi,WhitKe00,rec_yds,36,,,,,
player,201609190chi,chi,WhitKe00,rec_td,0,,,,,
player,201609190chi,chi,WhitKe00,rec_long,19,,,,,
player,201609190chi,chi,WhitKe00,fumbles,0,,,,,
player,201609190chi,chi,WhitKe00,fumbles_lost,0,,,,,
player,201609190chi,chi,CareKa00,pass_cmp,0,,,,,
player,201609190chi,chi,CareKa00,pass_att,0,,,,,
player,201609190chi,chi,CareKa00,pass_yds,0,,,,,
player,201609190chi,chi,CareKa00,pass_td,0,,,,,
player,201609190chi,chi,CareKa00,pass_int,0,,,,,
player,201609190chi,chi,CareKa00,pass_sacked,0,,,,,
player,201609190chi,chi,CareKa00,pass_sacked_yds,0,,,,,
player,201609190chi,chi,CareKa00,pass_long,0,,,,,
player,201609190chi,chi,CareKa00,pass_rating,,,,,,
player,201609190chi,chi,CareKa00,rush_att,2,,,,,
player,201609190chi,chi,CareKa00,rush_yds,3,,,,,
player,201609190chi,chi,CareKa00,rush_td,0,,,,,
player,201609190chi,chi,CareKa00,rush_long,2,,,,,
player,201609190chi,chi,CareKa00,targets,1,,,,,
player,201609190chi,chi,CareKa00,rec,1,,,,,
player,201609190chi,chi,CareKa00,rec_yds,3,,,,,
player,201609190chi,chi,CareKa00,rec_td,0,,,,,
player,201609190chi,chi,CareKa00,rec_long,3,,,,,
player,201609190chi,chi,CareKa00,fumbles,0,,,,,
player,201609190chi,chi,CareKa00,fumbles_lost,0,,,,,
player,201609190chi,chi,LasiPa00,pass_cmp,0,,,,,
player,201609190chi,chi,LasiPa00,pass_att,0,,,,,
player,201609190chi,chi,LasiPa00,pass_yds,0,,,,,
player,201609190chi,chi,LasiPa00,pass_td,0,,,,,
player,201609190chi,chi,LasiPa00,pass_int,0,,,,,
player,201609190chi,chi,LasiPa00,pass_sacked,0,,,,,
player,201609190chi,chi,LasiPa00,pass_sacked_yds,0,,,,,
player,201609190chi,chi,LasiPa00,pass_long,0,,,,,
player,201609190chi,chi,LasiPa00,pass_rating,,,,,,
player,201609190chi,chi,LasiPa00,rush_att,1,,,,,
player,201609190chi,chi,LasiPa00,rush_yds,2,,,,,
player,201609190chi,chi,LasiPa00,rush_td,0,,,,,
player,201609190chi,chi,LasiPa00,rush_long,2,,,,,
player,201609190chi,chi,LasiPa00,targets,0,,,,,
player,201609190chi,chi,LasiPa00,rec,0,,,,,
player,201609190chi,chi,LasiPa00,rec_yds,0,,,,,
player,201609190chi,chi,LasiPa00,rec_td,0,,,,,
player,201609190chi,chi,LasiPa00,rec_long,0,,,,,
player,201609190chi,chi,LasiPa00,fumbles,0,,,,,
player,201609190chi,chi,LasiPa00,fumbles_lost,0,,,,,
player,201609190chi,chi,JeffAl00,pass_cmp,0,,,,,
player,201609190chi,chi,JeffAl00,pass_att,0,,,,,
player,201609190chi,chi,JeffAl00,pass_yds,0,,,,,
player,201609190chi,chi,JeffAl00,pass_td,0,,,,,
player,201609190chi,chi,JeffAl00,pass_int,0,,,,,
player,201609190chi,chi,JeffAl00,pass_sacked,0,,,,,
player,201609190chi,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201609190chi,chi,JeffAl00,pass_long,0,,,,,
player,201609190chi,chi,JeffAl00,pass_rating,,,,,,
player,201609190chi,chi,JeffAl00,rush_att,0,,,,,
player,201609190chi,chi,JeffAl00,rush_yds,0,,,,,
player,201609190chi,chi,JeffAl00,rush_td,0,,,,,
player,201609190chi,chi,JeffAl00,rush_long,0,,,,,
player,201609190chi,chi,JeffAl00,targets,7,,,,,
player,201609190chi,chi,JeffAl00,rec,5,,,,,
player,201609190chi,chi,JeffAl00,rec_yds,96,,,,,
player,201609190chi,chi,JeffAl00,rec_td,0,,,,,
player,201609190chi,chi,JeffAl00,rec_long,49,,,,,
player,201609190chi,chi,JeffAl00,fumbles,0,,,,,
player,201609190chi,chi,JeffAl00,fumbles_lost,0,,,,,
player,201609190chi,chi,RoyaEd00,pass_cmp,0,,,,,
player,201609190chi,chi,RoyaEd00,pass_att,0,,,,,
player,201609190chi,chi,RoyaEd00,pass_yds,0,,,,,
player,201609190chi,chi,RoyaEd00,pass_td,0,,,,,
player,201609190chi,chi,RoyaEd00,pass_int,0,,,,,
player,201609190chi,chi,RoyaEd00,pass_sacked,0,,,,,
player,201609190chi,chi,RoyaEd00,pass_sacked_yds,0,,,,,
player,201609190chi,chi,RoyaEd00,pass_long,0,,,,,
player,201609190chi,chi,RoyaEd00,pass_rating,,,,,,
player,201609190chi,chi,RoyaEd00,rush_att,0,,,,,
player,201609190chi,chi,RoyaEd00,rush_yds,0,,,,,
player,201609190chi,chi,RoyaEd00,rush_td,0,,,,,
player,201609190chi,chi,RoyaEd00,rush_long,0,,,,,
player,201609190chi,chi,RoyaEd00,targets,6,,,,,
player,201609190chi,chi,RoyaEd00,rec,4,,,,,
player,201609190chi,chi,RoyaEd00,rec_yds,52,,,,,
player,201609190chi,chi,RoyaEd00,rec_td,0,,,,,
player,201609190chi,chi,RoyaEd00,rec_long,31,,,,,
player,201609190chi,chi,RoyaEd00,fumbles,0,,,,,
player,201609190chi,chi,RoyaEd00,fumbles_lost,0,,,,,
player,201609190chi,chi,MillZa02,pass_cmp,0,,,,,
player,201609190chi,chi,MillZa02,pass_att,0,,,,,
player,201609190chi,chi,MillZa02,pass_yds,0,,,,,
player,201609190chi,chi,MillZa02,pass_td,0,,,,,
player,201609190chi,chi,MillZa02,pass_int,0,,,,,
player,201609190chi,chi,MillZa02,pass_sacked,0,,,,,
player,201609190chi,chi,MillZa02,pass_sacked_yds,0,,,,,
player,201609190chi,chi,MillZa02,pass_long,0,,,,,
player,201609190chi,chi,MillZa02,pass_rating,,,,,,
player,201609190chi,chi,MillZa02,rush_att,0,,,,,
player,201609190chi,chi,MillZa02,rush_yds,0,,,,,
player,201609190chi,chi,MillZa02,rush_td,0,,,,,
player,201609190chi,chi,MillZa02,rush_long,0,,,,,
player,201609190chi,chi,MillZa02,targets,5,,,,,
player,201609190chi,chi,MillZa02,rec,4,,,,,
player,201609190chi,chi,MillZa02,rec_yds,33,,,,,
player,201609190chi,chi,MillZa02,rec_td,0,,,,,
player,201609190chi,chi,MillZa02,rec_long,12,,,,,
player,201609190chi,chi,MillZa02,fumbles,0,,,,,
player,201609190chi,chi,MillZa02,fumbles_lost,0,,,,,
player,201609190chi,phi,BradNi00,def_int,1,,,,,
player,201609190chi,phi,BradNi00,def_int_yds,28,,,,,
player,201609190chi,phi,BradNi00,def_int_td,0,,,,,
player,201609190chi,phi,BradNi00,def_int_long,28,,,,,
player,201609190chi,phi,BradNi00,pass_defended,1,,,,,
player,201609190chi,phi,BradNi00,sacks,0.0,,,,,
player,201609190chi,phi,BradNi00,tackles_combined,1,,,,,
player,201609190chi,phi,BradNi00,tackles_solo,1,,,,,
player,201609190chi,phi,BradNi00,tackles_assists,0,,,,,
player,201609190chi,phi,BradNi00,tackles_loss,0,,,,,
player,201609190chi,phi,BradNi00,qb_hits,0,,,,,
player,201609190chi,phi,BradNi00,fumbles_rec,0,,,,,
player,201609190chi,phi,BradNi00,fumbles_rec_yds,0,,,,,
player,201609190chi,phi,BradNi00,fumbles_rec_td,0,,,,,
