game,2016,7,20161023,201610230atl,sdg,"San Diego Chargers",33,atl,"Atlanta Falcons",30
player,201610230atl,sdg,RivePh00,rec_td,0,,,,,
player,201610230atl,sdg,RivePh00,rec_long,0,,,,,
player,201610230atl,sdg,RivePh00,fumbles,1,,,,,
player,201610230atl,sdg,RivePh00,fumbles_lost,1,,,,,
player,201610230atl,sdg,BenjTr00,pass_cmp,0,,,,,
player,201610230atl,sdg,BenjTr00,pass_att,1,,,,,
player,201610230atl,sdg,BenjTr00,pass_yds,0,,,,,
player,201610230atl,sdg,BenjTr00,pass_td,0,,,,,
player,201610230atl,sdg,BenjTr00,pass_int,0,,,,,
player,201610230atl,sdg,BenjTr00,pass_sacked,0,,,,,
player,201610230atl,sdg,BenjTr00,pass_sacked_yds,0,,,,,
player,201610230atl,sdg,BenjTr00,pass_long,0,,,,,
player,201610230atl,sdg,BenjTr00,pass_rating,39.6,,,,,
player,201610230atl,sdg,BenjTr00,rush_att,0,,,,,
player,201610230atl,sdg,BenjTr00,rush_yds,0,,,,,
player,201610230atl,sdg,BenjTr00,rush_td,0,,,,,
player,201610230atl,sdg,BenjTr00,rush_long,0,,,,,
player,201610230atl,sdg,BenjTr00,targets,5,,,,,
player,201610230atl,sdg,BenjTr00,rec,4,,,,,
player,201610230atl,sdg,BenjTr00,rec_yds,54,,,,,
player,201610230atl,sdg,BenjTr00,rec_td,0,,,,,
player,201610230atl,sdg,BenjTr00,rec_long,21,,,,,
player,201610230atl,sdg,BenjTr00,fumbles,0,,,,,
player,201610230atl,sdg,BenjTr00,fumbles_lost,0,,,,,
player,201610230atl,sdg,GordMe00,pass_cmp,0,,,,,
player,201610230atl,sdg,GordMe00,pass_att,0,,,,,
player,201610230atl,sdg,GordMe00,pass_yds,0,,,,,
player,201610230atl,sdg,GordMe00,pass_td,0,,,,,
player,201610230atl,sdg,GordMe00,pass_int,0,,,,,
player,201610230atl,sdg,GordMe00,pass_sacked,0,,,,,
player,201610230atl,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201610230atl,sdg,GordMe00,pass_long,0,,,,,
player,201610230atl,sdg,GordMe00,pass_rating,,,,,,
player,201610230atl,sdg,GordMe00,rush_att,22,,,,,
player,201610230atl,sdg,GordMe00,rush_yds,68,,,,,
player,201610230atl,sdg,GordMe00,rush_td,2,,,,,
player,201610230atl,sdg,GordMe00,rush_long,13,,,,,
player,201610230atl,sdg,GordMe00,targets,7,,,,,
player,201610230atl,sdg,GordMe00,rec,6,,,,,
player,201610230atl,sdg,GordMe00,rec_yds,53,,,,,
player,201610230atl,sdg,GordMe00,rec_td,1,,,,,
player,201610230atl,sdg,GordMe00,rec_long,14,,,,,
player,201610230atl,sdg,GordMe00,fumbles,0,,,,,
player,201610230atl,sdg,GordMe00,fumbles_lost,0,,,,,
player,201610230atl,sdg,FarrKe02,pass_cmp,0,,,,,
player,201610230atl,sdg,FarrKe02,pass_att,0,,,,,
player,201610230atl,sdg,FarrKe02,pass_yds,0,,,,,
player,201610230atl,sdg,FarrKe02,pass_td,0,,,,,
player,201610230atl,sdg,FarrKe02,pass_int,0,,,,,
player,201610230atl,sdg,FarrKe02,pass_sacked,0,,,,,
player,201610230atl,sdg,FarrKe02,pass_sacked_yds,0,,,,,
player,201610230atl,sdg,FarrKe02,pass_long,0,,,,,
player,201610230atl,sdg,FarrKe02,pass_rating,,,,,,
player,201610230atl,sdg,FarrKe02,rush_att,2,,,,,
player,201610230atl,sdg,FarrKe02,rush_yds,13,,,,,
player,201610230atl,sdg,FarrKe02,rush_td,0,,,,,
player,201610230atl,sdg,FarrKe02,rush_long,9,,,,,
player,201610230atl,sdg,FarrKe02,targets,0,,,,,
player,201610230atl,sdg,FarrKe02,rec,0,,,,,
player,201610230atl,sdg,FarrKe02,rec_yds,0,,,,,
player,201610230atl,sdg,FarrKe02,rec_td,0,,,,,
player,201610230atl,sdg,FarrKe02,rec_long,0,,,,,
player,201610230atl,sdg,FarrKe02,fumbles,0,,,,,
player,201610230atl,sdg,FarrKe02,fumbles_lost,0,,,,,
player,201610230atl,sdg,WillTy00,pass_cmp,0,,,,,
player,201610230atl,sdg,WillTy00,pass_att,0,,,,,
player,201610230atl,sdg,WillTy00,pass_yds,0,,,,,
player,201610230atl,sdg,WillTy00,pass_td,0,,,,,
player,201610230atl,sdg,WillTy00,pass_int,0,,,,,
player,201610230atl,sdg,WillTy00,pass_sacked,0,,,,,
player,201610230atl,sdg,WillTy00,pass_sacked_yds,0,,,,,
player,201610230atl,sdg,WillTy00,pass_long,0,,,,,
player,201610230atl,sdg,WillTy00,pass_rating,,,,,,
player,201610230atl,sdg,WillTy00,rush_att,0,,,,,
player,201610230atl,sdg,WillTy00,rush_yds,0,,,,,
player,201610230atl,sdg,WillTy00,rush_td,0,,,,,
player,201610230atl,sdg,WillTy00,rush_long,0,,,,,
player,201610230atl,sdg,WillTy00,targets,10,,,,,
player,201610230atl,sdg,WillTy00,rec,7,,,,,
player,201610230atl,sdg,WillTy00,rec_yds,140,,,,,
player,201610230atl,sdg,WillTy00,rec_td,0,,,,,
player,201610230atl,sdg,WillTy00,rec_long,49,,,,,
player,201610230atl,sdg,WillTy00,fumbles,0,,,,,
player,201610230atl,sdg,WillTy00,fumbles_lost,0,,,,,
player,201610230atl,sdg,InmaDo00,pass_cmp,0,,,,,
player,201610230atl,sdg,InmaDo00,pass_att,0,,,,,
player,201610230atl,sdg,InmaDo00,pass_yds,0,,,,,
player,201610230atl,sdg,InmaDo00,pass_td,0,,,,,
player,201610230atl,sdg,InmaDo00,pass_int,0,,,,,
player,201610230atl,sdg,InmaDo00,pass_sacked,0,,,,,
player,201610230atl,sdg,InmaDo00,pass_sacked_yds,0,,,,,
player,201610230atl,sdg,InmaDo00,pass_long,0,,,,,
player,201610230atl,sdg,InmaDo00,pass_rating,,,,,,
player,201610230atl,sdg,InmaDo00,rush_att,0,,,,,
player,201610230atl,sdg,InmaDo00,rush_yds,0,,,,,
player,201610230atl,sdg,InmaDo00,rush_td,0,,,,,
player,201610230atl,sdg,InmaDo00,rush_long,0,,,,,
player,201610230atl,sdg,InmaDo00,targets,6,,,,,
player,201610230atl,sdg,InmaDo00,rec,3,,,,,
player,201610230atl,sdg,InmaDo00,rec_yds,58,,,,,
player,201610230atl,sdg,InmaDo00,rec_td,0,,,,,
player,201610230atl,sdg,InmaDo00,rec_long,24,,,,,
player,201610230atl,sdg,InmaDo00,fumbles,0,,,,,
player,201610230atl,sdg,InmaDo00,fumbles_lost,0,,,,,
player,201610230atl,sdg,GateAn00,pass_cmp,0,,,,,
player,201610230atl,sdg,GateAn00,pass_att,0,,,,,
player,201610230atl,sdg,GateAn00,pass_yds,0,,,,,
player,201610230atl,sdg,GateAn00,pass_td,0,,,,,
player,201610230atl,sdg,GateAn00,pass_int,0,,,,,
player,201610230atl,sdg,GateAn00,pass_sacked,0,,,,,
player,201610230atl,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201610230atl,sdg,GateAn00,pass_long,0,,,,,
player,201610230atl,sdg,GateAn00,pass_rating,,,,,,
player,201610230atl,sdg,GateAn00,rush_att,0,,,,,
player,201610230atl,sdg,GateAn00,rush_yds,0,,,,,
player,201610230atl,sdg,GateAn00,rush_td,0,,,,,
player,201610230atl,sdg,GateAn00,rush_long,0,,,,,
player,201610230atl,sdg,GateAn00,targets,10,,,,,
player,201610230atl,sdg,GateAn00,rec,5,,,,,
player,201610230atl,sdg,GateAn00,rec_yds,38,,,,,
player,201610230atl,sdg,GateAn00,rec_td,0,,,,,
player,201610230atl,sdg,GateAn00,rec_long,13,,,,,
player,201610230atl,sdg,GateAn00,fumbles,0,,,,,
player,201610230atl,sdg,GateAn00,fumbles_lost,0,,,,,
player,201610230atl,sdg,HenrHu00,pass_cmp,0,,,,,
player,201610230atl,sdg,HenrHu00,pass_att,0,,,,,
player,201610230atl,sdg,HenrHu00,pass_yds,0,,,,,
player,201610230atl,sdg,HenrHu00,pass_td,0,,,,,
player,201610230atl,sdg,HenrHu00,pass_int,0,,,,,
player,201610230atl,sdg,HenrHu00,pass_sacked,0,,,,,
player,201610230atl,sdg,HenrHu00,pass_sacked_yds,0,,,,,
player,201610230atl,sdg,HenrHu00,pass_long,0,,,,,
player,201610230atl,sdg,HenrHu00,pass_rating,,,,,,
player,201610230atl,sdg,HenrHu00,rush_att,0,,,,,
player,201610230atl,sdg,HenrHu00,rush_yds,0,,,,,
player,201610230atl,sdg,HenrHu00,rush_td,0,,,,,
player,201610230atl,sdg,HenrHu00,rush_long,0,,,,,
player,201610230atl,sdg,HenrHu00,targets,3,,,,,
player,201610230atl,sdg,HenrHu00,rec,1,,,,,
player,201610230atl,sdg,HenrHu00,rec_yds,16,,,,,
player,201610230atl,sdg,HenrHu00,rec_td,0,,,,,
player,201610230atl,sdg,HenrHu00,rec_long,16,,,,,
player,201610230atl,sdg,HenrHu00,fumbles,0,,,,,
player,201610230atl,sdg,HenrHu00,fumbles_lost,0,,,,,
player,201610230atl,sdg,WhalGr00,pass_cmp,0,,,,,
player,201610230atl,sdg,WhalGr00,pass_att,0,,,,,
player,201610230atl,sdg,WhalGr00,pass_yds,0,,,,,
player,201610230atl,sdg,WhalGr00,pass_td,0,,,,,
player,201610230atl,sdg,WhalGr00,pass_int,0,,,,,
player,201610230atl,sdg,WhalGr00,pass_sacked,0,,,,,
player,201610230atl,sdg,WhalGr00,pass_sacked_yds,0,,,,,
player,201610230atl,sdg,WhalGr00,pass_long,0,,,,,
player,201610230atl,sdg,WhalGr00,pass_rating,,,,,,
player,201610230atl,sdg,WhalGr00,rush_att,0,,,,,
player,201610230atl,sdg,WhalGr00,rush_yds,0,,,,,
player,201610230atl,sdg,WhalGr00,rush_td,0,,,,,
player,201610230atl,sdg,WhalGr00,rush_long,0,,,,,
player,201610230atl,sdg,WhalGr00,targets,1,,,,,
player,201610230atl,sdg,WhalGr00,rec,1,,,,,
player,201610230atl,sdg,WhalGr00,rec_yds,12,,,,,
player,201610230atl,sdg,WhalGr00,rec_td,0,,,,,
player,201610230atl,sdg,WhalGr00,rec_long,12,,,,,
player,201610230atl,sdg,WhalGr00,fumbles,0,,,,,
player,201610230atl,sdg,WhalGr00,fumbles_lost,0,,,,,
player,201610230atl,sdg,McClDe00,pass_cmp,0,,,,,
player,201610230atl,sdg,McClDe00,pass_att,0,,,,,
player,201610230atl,sdg,McClDe00,pass_yds,0,,,,,
player,201610230atl,sdg,McClDe00,pass_td,0,,,,,
player,201610230atl,sdg,McClDe00,pass_int,0,,,,,
player,201610230atl,sdg,McClDe00,pass_sacked,0,,,,,
player,201610230atl,sdg,McClDe00,pass_sacked_yds,0,,,,,
player,201610230atl,sdg,McClDe00,pass_long,0,,,,,
player,201610230atl,sdg,McClDe00,pass_rating,,,,,,
player,201610230atl,sdg,McClDe00,rush_att,1,,,,,
player,201610230atl,sdg,McClDe00,rush_yds,-1,,,,,
player,201610230atl,sdg,McClDe00,rush_td,0,,,,,
player,201610230atl,sdg,McClDe00,rush_long,-1,,,,,
player,201610230atl,sdg,McClDe00,targets,2,,,,,
player,201610230atl,sdg,McClDe00,rec,0,,,,,
player,201610230atl,sdg,McClDe00,rec_yds,0,,,,,
player,201610230atl,sdg,McClDe00,rec_td,0,,,,,
player,201610230atl,sdg,McClDe00,rec_long,0,,,,,
player,201610230atl,sdg,McClDe00,fumbles,0,,,,,
player,201610230atl,sdg,McClDe00,fumbles_lost,0,,,,,
player,201610230atl,atl,RyanMa00,pass_cmp,22,,,,,
player,201610230atl,atl,RyanMa00,pass_att,34,,,,,
player,201610230atl,atl,RyanMa00,pass_yds,273,,,,,
player,201610230atl,atl,RyanMa00,pass_td,1,,,,,
player,201610230atl,atl,RyanMa00,pass_int,1,,,,,
player,201610230atl,atl,RyanMa00,pass_sacked,3,,,,,
player,201610230atl,atl,RyanMa00,pass_sacked_yds,17,,,,,
player,201610230atl,atl,RyanMa00,pass_long,50,,,,,
player,201610230atl,atl,RyanMa00,pass_rating,87.0,,,,,
player,201610230atl,atl,RyanMa00,rush_att,3,,,,,
player,201610230atl,atl,RyanMa00,rush_yds,8,,,,,
player,201610230atl,atl,RyanMa00,rush_td,0,,,,,
player,201610230atl,atl,RyanMa00,rush_long,7,,,,,
player,201610230atl,atl,RyanMa00,targets,0,,,,,
player,201610230atl,atl,RyanMa00,rec,0,,,,,
player,201610230atl,atl,RyanMa00,rec_yds,0,,,,,
player,201610230atl,atl,RyanMa00,rec_td,0,,,,,
player,201610230atl,atl,RyanMa00,rec_long,0,,,,,
player,201610230atl,atl,RyanMa00,fumbles,0,,,,,
player,201610230atl,atl,RyanMa00,fumbles_lost,0,,,,,
player,201610230atl,atl,ColeTe01,pass_cmp,0,,,,,
player,201610230atl,atl,ColeTe01,pass_att,0,,,,,
player,201610230atl,atl,ColeTe01,pass_yds,0,,,,,
player,201610230atl,atl,ColeTe01,pass_td,0,,,,,
player,201610230atl,atl,ColeTe01,pass_int,0,,,,,
player,201610230atl,atl,ColeTe01,pass_sacked,0,,,,,
player,201610230atl,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201610230atl,atl,ColeTe01,pass_long,0,,,,,
player,201610230atl,atl,ColeTe01,pass_rating,,,,,,
player,201610230atl,atl,ColeTe01,rush_att,8,,,,,
player,201610230atl,atl,ColeTe01,rush_yds,64,,,,,
player,201610230atl,atl,ColeTe01,rush_td,1,,,,,
player,201610230atl,atl,ColeTe01,rush_long,30,,,,,
player,201610230atl,atl,ColeTe01,targets,1,,,,,
player,201610230atl,atl,ColeTe01,rec,1,,,,,
player,201610230atl,atl,ColeTe01,rec_yds,10,,,,,
player,201610230atl,atl,ColeTe01,rec_td,0,,,,,
player,201610230atl,atl,ColeTe01,rec_long,10,,,,,
player,201610230atl,atl,ColeTe01,fumbles,0,,,,,
player,201610230atl,atl,ColeTe01,fumbles_lost,0,,,,,
player,201610230atl,atl,FreeDe00,pass_cmp,0,,,,,
player,201610230atl,atl,FreeDe00,pass_att,0,,,,,
player,201610230atl,atl,FreeDe00,pass_yds,0,,,,,
player,201610230atl,atl,FreeDe00,pass_td,0,,,,,
player,201610230atl,atl,FreeDe00,pass_int,0,,,,,
player,201610230atl,atl,FreeDe00,pass_sacked,0,,,,,
player,201610230atl,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201610230atl,atl,FreeDe00,pass_long,0,,,,,
player,201610230atl,atl,FreeDe00,pass_rating,,,,,,
player,201610230atl,atl,FreeDe00,rush_att,15,,,,,
player,201610230atl,atl,FreeDe00,rush_yds,58,,,,,
player,201610230atl,atl,FreeDe00,rush_td,0,,,,,
player,201610230atl,atl,FreeDe00,rush_long,15,,,,,
player,201610230atl,atl,FreeDe00,targets,6,,,,,
player,201610230atl,atl,FreeDe00,rec,5,,,,,
player,201610230atl,atl,FreeDe00,rec_yds,42,,,,,
player,201610230atl,atl,FreeDe00,rec_td,0,,,,,
player,201610230atl,atl,FreeDe00,rec_long,15,,,,,
player,201610230atl,atl,FreeDe00,fumbles,0,,,,,
player,201610230atl,atl,FreeDe00,fumbles_lost,0,,,,,
player,201610230atl,atl,JoneJu02,pass_cmp,0,,,,,
player,201610230atl,atl,JoneJu02,pass_att,0,,,,,
player,201610230atl,atl,JoneJu02,pass_yds,0,,,,,
player,201610230atl,atl,JoneJu02,pass_td,0,,,,,
player,201610230atl,atl,JoneJu02,pass_int,0,,,,,
player,201610230atl,atl,JoneJu02,pass_sacked,0,,,,,
player,201610230atl,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201610230atl,atl,JoneJu02,pass_long,0,,,,,
player,201610230atl,atl,JoneJu02,pass_rating,,,,,,
player,201610230atl,atl,JoneJu02,rush_att,0,,,,,
player,201610230atl,atl,JoneJu02,rush_yds,0,,,,,
player,201610230atl,atl,JoneJu02,rush_td,0,,,,,
player,201610230atl,atl,JoneJu02,rush_long,0,,,,,
player,201610230atl,atl,JoneJu02,targets,15,,,,,
player,201610230atl,atl,JoneJu02,rec,9,,,,,
player,201610230atl,atl,JoneJu02,rec_yds,174,,,,,
player,201610230atl,atl,JoneJu02,rec_td,0,,,,,
player,201610230atl,atl,JoneJu02,rec_long,50,,,,,
player,201610230atl,atl,JoneJu02,fumbles,0,,,,,
player,201610230atl,atl,JoneJu02,fumbles_lost,0,,,,,
player,201610230atl,atl,TammJa00,pass_cmp,0,,,,,
player,201610230atl,atl,TammJa00,pass_att,0,,,,,
player,201610230atl,atl,TammJa00,pass_yds,0,,,,,
player,201610230atl,atl,TammJa00,pass_td,0,,,,,
player,201610230atl,atl,TammJa00,pass_int,0,,,,,
player,201610230atl,atl,TammJa00,pass_sacked,0,,,,,
player,201610230atl,atl,TammJa00,pass_sacked_yds,0,,,,,
player,201610230atl,atl,TammJa00,pass_long,0,,,,,
player,201610230atl,atl,TammJa00,pass_rating,,,,,,
player,201610230atl,atl,TammJa00,rush_att,0,,,,,
player,201610230atl,atl,TammJa00,rush_yds,0,,,,,
player,201610230atl,atl,TammJa00,rush_td,0,,,,,
player,201610230atl,atl,TammJa00,rush_long,0,,,,,
player,201610230atl,atl,TammJa00,targets,3,,,,,
player,201610230atl,atl,TammJa00,rec,1,,,,,
player,201610230atl,atl,TammJa00,rec_yds,17,,,,,
player,201610230atl,atl,TammJa00,rec_td,1,,,,,
player,201610230atl,atl,TammJa00,rec_long,17,,,,,
player,201610230atl,atl,TammJa00,fumbles,0,,,,,
player,201610230atl,atl,TammJa00,fumbles_lost,0,,,,,
player,201610230atl,atl,SanuMo00,pass_cmp,0,,,,,
player,201610230atl,atl,SanuMo00,pass_att,0,,,,,
player,201610230atl,atl,SanuMo00,pass_yds,0,,,,,
player,201610230atl,atl,SanuMo00,pass_td,0,,,,,
player,201610230atl,atl,SanuMo00,pass_int,0,,,,,
player,201610230atl,atl,SanuMo00,pass_sacked,0,,,,,
player,201610230atl,atl,SanuMo00,pass_sacked_yds,0,,,,,
player,201610230atl,atl,SanuMo00,pass_long,0,,,,,
player,201610230atl,atl,SanuMo00,pass_rating,,,,,,
player,201610230atl,atl,SanuMo00,rush_att,0,,,,,
player,201610230atl,atl,SanuMo00,rush_yds,0,,,,,
player,201610230atl,atl,SanuMo00,rush_td,0,,,,,
player,201610230atl,atl,SanuMo00,rush_long,0,,,,,
player,201610230atl,atl,SanuMo00,targets,4,,,,,
player,201610230atl,atl,SanuMo00,rec,2,,,,,
player,201610230atl,atl,SanuMo00,rec_yds,16,,,,,
player,201610230atl,atl,SanuMo00,rec_td,0,,,,,
player,201610230atl,atl,SanuMo00,rec_long,11,,,,,
player,201610230atl,atl,SanuMo00,fumbles,0,,,,,
player,201610230atl,atl,SanuMo00,fumbles_lost,0,,,,,
player,201610230atl,atl,HardJu00,pass_cmp,0,,,,,
player,201610230atl,atl,HardJu00,pass_att,0,,,,,
player,201610230atl,atl,HardJu00,pass_yds,0,,,,,
player,201610230atl,atl,HardJu00,pass_td,0,,,,,
player,201610230atl,atl,HardJu00,pass_int,0,,,,,
player,201610230atl,atl,HardJu00,pass_sacked,0,,,,,
player,201610230atl,atl,HardJu00,pass_sacked_yds,0,,,,,
player,201610230atl,atl,HardJu00,pass_long,0,,,,,
player,201610230atl,atl,HardJu00,pass_rating,,,,,,
player,201610230atl,atl,HardJu00,rush_att,0,,,,,
player,201610230atl,atl,HardJu00,rush_yds,0,,,,,
player,201610230atl,atl,HardJu00,rush_td,0,,,,,
player,201610230atl,atl,HardJu00,rush_long,0,,,,,
player,201610230atl,atl,HardJu00,targets,2,,,,,
player,201610230atl,atl,HardJu00,rec,2,,,,,
player,201610230atl,atl,HardJu00,rec_yds,6,,,,,
player,201610230atl,atl,HardJu00,rec_td,0,,,,,
player,201610230atl,atl,HardJu00,rec_long,4,,,,,
player,201610230atl,atl,HardJu00,fumbles,0,,,,,
player,201610230atl,atl,HardJu00,fumbles_lost,0,,,,,
player,201610230atl,atl,ToilLe00,pass_cmp,0,,,,,
player,201610230atl,atl,ToilLe00,pass_att,0,,,,,
player,201610230atl,atl,ToilLe00,pass_yds,0,,,,,
player,201610230atl,atl,ToilLe00,pass_td,0,,,,,
player,201610230atl,atl,ToilLe00,pass_int,0,,,,,
player,201610230atl,atl,ToilLe00,pass_sacked,0,,,,,
player,201610230atl,atl,ToilLe00,pass_sacked_yds,0,,,,,
player,201610230atl,atl,ToilLe00,pass_long,0,,,,,
player,201610230atl,atl,ToilLe00,pass_rating,,,,,,
player,201610230atl,atl,ToilLe00,rush_att,0,,,,,
player,201610230atl,atl,ToilLe00,rush_yds,0,,,,,
player,201610230atl,atl,ToilLe00,rush_td,0,,,,,
player,201610230atl,atl,ToilLe00,rush_long,0,,,,,
player,201610230atl,atl,ToilLe00,targets,1,,,,,
player,201610230atl,atl,ToilLe00,rec,1,,,,,
player,201610230atl,atl,ToilLe00,rec_yds,5,,,,,
player,201610230atl,atl,ToilLe00,rec_td,0,,,,,
player,201610230atl,atl,ToilLe00,rec_long,5,,,,,
player,201610230atl,atl,ToilLe00,fumbles,0,,,,,
player,201610230atl,atl,ToilLe00,fumbles_lost,0,,,,,
player,201610230atl,atl,DiMaPa00,pass_cmp,0,,,,,
player,201610230atl,atl,DiMaPa00,pass_att,0,,,,,
player,201610230atl,atl,DiMaPa00,pass_yds,0,,,,,
player,201610230atl,atl,DiMaPa00,pass_td,0,,,,,
player,201610230atl,atl,DiMaPa00,pass_int,0,,,,,
player,201610230atl,atl,DiMaPa00,pass_sacked,0,,,,,
player,201610230atl,atl,DiMaPa00,pass_sacked_yds,0,,,,,
player,201610230atl,atl,DiMaPa00,pass_long,0,,,,,
player,201610230atl,atl,DiMaPa00,pass_rating,,,,,,
player,201610230atl,atl,DiMaPa00,rush_att,0,,,,,
player,201610230atl,atl,DiMaPa00,rush_yds,0,,,,,
player,201610230atl,atl,DiMaPa00,rush_td,0,,,,,
player,201610230atl,atl,DiMaPa00,rush_long,0,,,,,
player,201610230atl,atl,DiMaPa00,targets,1,,,,,
player,201610230atl,atl,DiMaPa00,rec,1,,,,,
player,201610230atl,atl,DiMaPa00,rec_yds,3,,,,,
player,201610230atl,atl,DiMaPa00,rec_td,0,,,,,
player,201610230atl,atl,DiMaPa00,rec_long,3,,,,,
player,201610230atl,atl,DiMaPa00,fumbles,0,,,,,
player,201610230atl,atl,DiMaPa00,fumbles_lost,0,,,,,
player,201610230atl,atl,RobiAl00,pass_cmp,0,,,,,
player,201610230atl,atl,RobiAl00,pass_att,0,,,,,
player,201610230atl,atl,RobiAl00,pass_yds,0,,,,,
player,201610230atl,atl,RobiAl00,pass_td,0,,,,,
player,201610230atl,atl,RobiAl00,pass_int,0,,,,,
player,201610230atl,atl,RobiAl00,pass_sacked,0,,,,,
player,201610230atl,atl,RobiAl00,pass_sacked_yds,0,,,,,
player,201610230atl,atl,RobiAl00,pass_long,0,,,,,
player,201610230atl,atl,RobiAl00,pass_rating,,,,,,
player,201610230atl,atl,RobiAl00,rush_att,0,,,,,
player,201610230atl,atl,RobiAl00,rush_yds,0,,,,,
player,201610230atl,atl,RobiAl00,rush_td,0,,,,,
player,201610230atl,atl,RobiAl00,rush_long,0,,,,,
player,201610230atl,atl,RobiAl00,targets,1,,,,,
player,201610230atl,atl,RobiAl00,rec,0,,,,,
player,201610230atl,atl,RobiAl00,rec_yds,0,,,,,
player,201610230atl,atl,RobiAl00,rec_td,0,,,,,
player,201610230atl,atl,RobiAl00,rec_long,0,,,,,
player,201610230atl,atl,RobiAl00,fumbles,0,,,,,
player,201610230atl,atl,RobiAl00,fumbles_lost,0,,,,,
player,201610230atl,sdg,PerrDe00,def_int,1,,,,,
player,201610230atl,sdg,PerrDe00,def_int_yds,1,,,,,
player,201610230atl,sdg,PerrDe00,def_int_td,0,,,,,
player,201610230atl,sdg,PerrDe00,def_int_long,1,,,,,
player,201610230atl,sdg,PerrDe00,pass_defended,1,,,,,
player,201610230atl,sdg,PerrDe00,sacks,0.0,,,,,
player,201610230atl,sdg,PerrDe00,tackles_combined,7,,,,,
player,201610230atl,sdg,PerrDe00,tackles_solo,6,,,,,
player,201610230atl,sdg,PerrDe00,tackles_assists,1,,,,,
player,201610230atl,sdg,PerrDe00,tackles_loss,1,,,,,
player,201610230atl,sdg,PerrDe00,qb_hits,0,,,,,
player,201610230atl,sdg,PerrDe00,fumbles_rec,0,,,,,
player,201610230atl,sdg,PerrDe00,fumbles_rec_yds,0,,,,,
player,201610230atl,sdg,PerrDe00,fumbles_rec_td,0,,,,,
player,201610230atl,sdg,PerrDe00,fumbles_forced,0,,,,,
player,201610230atl,sdg,BosaJo00,def_int,0,,,,,
player,201610230atl,sdg,BosaJo00,def_int_yds,0,,,,,
player,201610230atl,sdg,BosaJo00,def_int_td,0,,,,,
player,201610230atl,sdg,BosaJo00,def_int_long,0,,,,,
player,201610230atl,sdg,BosaJo00,pass_defended,0,,,,,
player,201610230atl,sdg,BosaJo00,sacks,2.0,,,,,
player,201610230atl,sdg,BosaJo00,tackles_combined,5,,,,,
player,201610230atl,sdg,BosaJo00,tackles_solo,4,,,,,
player,201610230atl,sdg,BosaJo00,tackles_assists,1,,,,,
player,201610230atl,sdg,BosaJo00,tackles_loss,2,,,,,
player,201610230atl,sdg,BosaJo00,qb_hits,3,,,,,
