game,2016,1,20160911,201609110sea,mia,"Miami Dolphins",10,sea,"Seattle Seahawks",12
player,201609110sea,mia,StilKe00,rec_yds,16,,,,,
player,201609110sea,mia,StilKe00,rec_td,0,,,,,
player,201609110sea,mia,StilKe00,rec_long,16,,,,,
player,201609110sea,mia,StilKe00,fumbles,0,,,,,
player,201609110sea,mia,StilKe00,fumbles_lost,0,,,,,
player,201609110sea,mia,CarrLe00,pass_cmp,0,,,,,
player,201609110sea,mia,CarrLe00,pass_att,0,,,,,
player,201609110sea,mia,CarrLe00,pass_yds,0,,,,,
player,201609110sea,mia,CarrLe00,pass_td,0,,,,,
player,201609110sea,mia,CarrLe00,pass_int,0,,,,,
player,201609110sea,mia,CarrLe00,pass_sacked,0,,,,,
player,201609110sea,mia,CarrLe00,pass_sacked_yds,0,,,,,
player,201609110sea,mia,CarrLe00,pass_long,0,,,,,
player,201609110sea,mia,CarrLe00,pass_rating,,,,,,
player,201609110sea,mia,CarrLe00,rush_att,0,,,,,
player,201609110sea,mia,CarrLe00,rush_yds,0,,,,,
player,201609110sea,mia,CarrLe00,rush_td,0,,,,,
player,201609110sea,mia,CarrLe00,rush_long,0,,,,,
player,201609110sea,mia,CarrLe00,targets,2,,,,,
player,201609110sea,mia,CarrLe00,rec,2,,,,,
player,201609110sea,mia,CarrLe00,rec_yds,14,,,,,
player,201609110sea,mia,CarrLe00,rec_td,0,,,,,
player,201609110sea,mia,CarrLe00,rec_long,12,,,,,
player,201609110sea,mia,CarrLe00,fumbles,0,,,,,
player,201609110sea,mia,CarrLe00,fumbles_lost,0,,,,,
player,201609110sea,mia,CameJo00,pass_cmp,0,,,,,
player,201609110sea,mia,CameJo00,pass_att,0,,,,,
player,201609110sea,mia,CameJo00,pass_yds,0,,,,,
player,201609110sea,mia,CameJo00,pass_td,0,,,,,
player,201609110sea,mia,CameJo00,pass_int,0,,,,,
player,201609110sea,mia,CameJo00,pass_sacked,0,,,,,
player,201609110sea,mia,CameJo00,pass_sacked_yds,0,,,,,
player,201609110sea,mia,CameJo00,pass_long,0,,,,,
player,201609110sea,mia,CameJo00,pass_rating,,,,,,
player,201609110sea,mia,CameJo00,rush_att,0,,,,,
player,201609110sea,mia,CameJo00,rush_yds,0,,,,,
player,201609110sea,mia,CameJo00,rush_td,0,,,,,
player,201609110sea,mia,CameJo00,rush_long,0,,,,,
player,201609110sea,mia,CameJo00,targets,3,,,,,
player,201609110sea,mia,CameJo00,rec,2,,,,,
player,201609110sea,mia,CameJo00,rec_yds,6,,,,,
player,201609110sea,mia,CameJo00,rec_td,0,,,,,
player,201609110sea,mia,CameJo00,rec_long,5,,,,,
player,201609110sea,mia,CameJo00,fumbles,0,,,,,
player,201609110sea,mia,CameJo00,fumbles_lost,0,,,,,
player,201609110sea,sea,WilsRu00,pass_cmp,27,,,,,
player,201609110sea,sea,WilsRu00,pass_att,43,,,,,
player,201609110sea,sea,WilsRu00,pass_yds,258,,,,,
player,201609110sea,sea,WilsRu00,pass_td,1,,,,,
player,201609110sea,sea,WilsRu00,pass_int,1,,,,,
player,201609110sea,sea,WilsRu00,pass_sacked,3,,,,,
player,201609110sea,sea,WilsRu00,pass_sacked_yds,18,,,,,
player,201609110sea,sea,WilsRu00,pass_long,24,,,,,
player,201609110sea,sea,WilsRu00,pass_rating,77.5,,,,,
player,201609110sea,sea,WilsRu00,rush_att,4,,,,,
player,201609110sea,sea,WilsRu00,rush_yds,16,,,,,
player,201609110sea,sea,WilsRu00,rush_td,0,,,,,
player,201609110sea,sea,WilsRu00,rush_long,9,,,,,
player,201609110sea,sea,WilsRu00,targets,0,,,,,
player,201609110sea,sea,WilsRu00,rec,0,,,,,
player,201609110sea,sea,WilsRu00,rec_yds,0,,,,,
player,201609110sea,sea,WilsRu00,rec_td,0,,,,,
player,201609110sea,sea,WilsRu00,rec_long,0,,,,,
player,201609110sea,sea,WilsRu00,fumbles,1,,,,,
player,201609110sea,sea,WilsRu00,fumbles_lost,1,,,,,
player,201609110sea,sea,MichCh00,pass_cmp,0,,,,,
player,201609110sea,sea,MichCh00,pass_att,0,,,,,
player,201609110sea,sea,MichCh00,pass_yds,0,,,,,
player,201609110sea,sea,MichCh00,pass_td,0,,,,,
player,201609110sea,sea,MichCh00,pass_int,0,,,,,
player,201609110sea,sea,MichCh00,pass_sacked,0,,,,,
player,201609110sea,sea,MichCh00,pass_sacked_yds,0,,,,,
player,201609110sea,sea,MichCh00,pass_long,0,,,,,
player,201609110sea,sea,MichCh00,pass_rating,,,,,,
player,201609110sea,sea,MichCh00,rush_att,15,,,,,
player,201609110sea,sea,MichCh00,rush_yds,66,,,,,
player,201609110sea,sea,MichCh00,rush_td,0,,,,,
player,201609110sea,sea,MichCh00,rush_long,12,,,,,
player,201609110sea,sea,MichCh00,targets,4,,,,,
player,201609110sea,sea,MichCh00,rec,2,,,,,
player,201609110sea,sea,MichCh00,rec_yds,5,,,,,
player,201609110sea,sea,MichCh00,rec_td,0,,,,,
player,201609110sea,sea,MichCh00,rec_long,5,,,,,
player,201609110sea,sea,MichCh00,fumbles,0,,,,,
player,201609110sea,sea,MichCh00,fumbles_lost,0,,,,,
player,201609110sea,sea,RawlTh00,pass_cmp,0,,,,,
player,201609110sea,sea,RawlTh00,pass_att,0,,,,,
player,201609110sea,sea,RawlTh00,pass_yds,0,,,,,
player,201609110sea,sea,RawlTh00,pass_td,0,,,,,
player,201609110sea,sea,RawlTh00,pass_int,0,,,,,
player,201609110sea,sea,RawlTh00,pass_sacked,0,,,,,
player,201609110sea,sea,RawlTh00,pass_sacked_yds,0,,,,,
player,201609110sea,sea,RawlTh00,pass_long,0,,,,,
player,201609110sea,sea,RawlTh00,pass_rating,,,,,,
player,201609110sea,sea,RawlTh00,rush_att,12,,,,,
player,201609110sea,sea,RawlTh00,rush_yds,32,,,,,
player,201609110sea,sea,RawlTh00,rush_td,0,,,,,
player,201609110sea,sea,RawlTh00,rush_long,8,,,,,
player,201609110sea,sea,RawlTh00,targets,3,,,,,
player,201609110sea,sea,RawlTh00,rec,3,,,,,
player,201609110sea,sea,RawlTh00,rec_yds,26,,,,,
player,201609110sea,sea,RawlTh00,rec_td,0,,,,,
player,201609110sea,sea,RawlTh00,rec_long,11,,,,,
player,201609110sea,sea,RawlTh00,fumbles,0,,,,,
player,201609110sea,sea,RawlTh00,fumbles_lost,0,,,,,
player,201609110sea,sea,BaldDo00,pass_cmp,0,,,,,
player,201609110sea,sea,BaldDo00,pass_att,0,,,,,
player,201609110sea,sea,BaldDo00,pass_yds,0,,,,,
player,201609110sea,sea,BaldDo00,pass_td,0,,,,,
player,201609110sea,sea,BaldDo00,pass_int,0,,,,,
player,201609110sea,sea,BaldDo00,pass_sacked,0,,,,,
player,201609110sea,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201609110sea,sea,BaldDo00,pass_long,0,,,,,
player,201609110sea,sea,BaldDo00,pass_rating,,,,,,
player,201609110sea,sea,BaldDo00,rush_att,0,,,,,
player,201609110sea,sea,BaldDo00,rush_yds,0,,,,,
player,201609110sea,sea,BaldDo00,rush_td,0,,,,,
player,201609110sea,sea,BaldDo00,rush_long,0,,,,,
player,201609110sea,sea,BaldDo00,targets,11,,,,,
player,201609110sea,sea,BaldDo00,rec,9,,,,,
player,201609110sea,sea,BaldDo00,rec_yds,92,,,,,
player,201609110sea,sea,BaldDo00,rec_td,1,,,,,
player,201609110sea,sea,BaldDo00,rec_long,22,,,,,
player,201609110sea,sea,BaldDo00,fumbles,0,,,,,
player,201609110sea,sea,BaldDo00,fumbles_lost,0,,,,,
player,201609110sea,sea,KearJe01,pass_cmp,0,,,,,
player,201609110sea,sea,KearJe01,pass_att,0,,,,,
player,201609110sea,sea,KearJe01,pass_yds,0,,,,,
player,201609110sea,sea,KearJe01,pass_td,0,,,,,
player,201609110sea,sea,KearJe01,pass_int,0,,,,,
player,201609110sea,sea,KearJe01,pass_sacked,0,,,,,
player,201609110sea,sea,KearJe01,pass_sacked_yds,0,,,,,
player,201609110sea,sea,KearJe01,pass_long,0,,,,,
player,201609110sea,sea,KearJe01,pass_rating,,,,,,
player,201609110sea,sea,KearJe01,rush_att,0,,,,,
player,201609110sea,sea,KearJe01,rush_yds,0,,,,,
player,201609110sea,sea,KearJe01,rush_td,0,,,,,
player,201609110sea,sea,KearJe01,rush_long,0,,,,,
player,201609110sea,sea,KearJe01,targets,7,,,,,
player,201609110sea,sea,KearJe01,rec,5,,,,,
player,201609110sea,sea,KearJe01,rec_yds,57,,,,,
player,201609110sea,sea,KearJe01,rec_td,0,,,,,
player,201609110sea,sea,KearJe01,rec_long,24,,,,,
player,201609110sea,sea,KearJe01,fumbles,0,,,,,
player,201609110sea,sea,KearJe01,fumbles_lost,0,,,,,
player,201609110sea,sea,WillLu00,pass_cmp,0,,,,,
player,201609110sea,sea,WillLu00,pass_att,0,,,,,
player,201609110sea,sea,WillLu00,pass_yds,0,,,,,
player,201609110sea,sea,WillLu00,pass_td,0,,,,,
player,201609110sea,sea,WillLu00,pass_int,0,,,,,
player,201609110sea,sea,WillLu00,pass_sacked,0,,,,,
player,201609110sea,sea,WillLu00,pass_sacked_yds,0,,,,,
player,201609110sea,sea,WillLu00,pass_long,0,,,,,
player,201609110sea,sea,WillLu00,pass_rating,,,,,,
player,201609110sea,sea,WillLu00,rush_att,0,,,,,
player,201609110sea,sea,WillLu00,rush_yds,0,,,,,
player,201609110sea,sea,WillLu00,rush_td,0,,,,,
player,201609110sea,sea,WillLu00,rush_long,0,,,,,
player,201609110sea,sea,WillLu00,targets,4,,,,,
player,201609110sea,sea,WillLu00,rec,2,,,,,
player,201609110sea,sea,WillLu00,rec_yds,26,,,,,
player,201609110sea,sea,WillLu00,rec_td,0,,,,,
player,201609110sea,sea,WillLu00,rec_long,19,,,,,
player,201609110sea,sea,WillLu00,fumbles,0,,,,,
player,201609110sea,sea,WillLu00,fumbles_lost,0,,,,,
player,201609110sea,sea,LockTy00,pass_cmp,0,,,,,
player,201609110sea,sea,LockTy00,pass_att,0,,,,,
player,201609110sea,sea,LockTy00,pass_yds,0,,,,,
player,201609110sea,sea,LockTy00,pass_td,0,,,,,
player,201609110sea,sea,LockTy00,pass_int,0,,,,,
player,201609110sea,sea,LockTy00,pass_sacked,0,,,,,
player,201609110sea,sea,LockTy00,pass_sacked_yds,0,,,,,
player,201609110sea,sea,LockTy00,pass_long,0,,,,,
player,201609110sea,sea,LockTy00,pass_rating,,,,,,
player,201609110sea,sea,LockTy00,rush_att,0,,,,,
player,201609110sea,sea,LockTy00,rush_yds,0,,,,,
player,201609110sea,sea,LockTy00,rush_td,0,,,,,
player,201609110sea,sea,LockTy00,rush_long,0,,,,,
player,201609110sea,sea,LockTy00,targets,8,,,,,
player,201609110sea,sea,LockTy00,rec,3,,,,,
player,201609110sea,sea,LockTy00,rec_yds,17,,,,,
player,201609110sea,sea,LockTy00,rec_td,0,,,,,
player,201609110sea,sea,LockTy00,rec_long,6,,,,,
player,201609110sea,sea,LockTy00,fumbles,0,,,,,
player,201609110sea,sea,LockTy00,fumbles_lost,0,,,,,
player,201609110sea,sea,RichPa01,pass_cmp,0,,,,,
player,201609110sea,sea,RichPa01,pass_att,0,,,,,
player,201609110sea,sea,RichPa01,pass_yds,0,,,,,
player,201609110sea,sea,RichPa01,pass_td,0,,,,,
player,201609110sea,sea,RichPa01,pass_int,0,,,,,
player,201609110sea,sea,RichPa01,pass_sacked,0,,,,,
player,201609110sea,sea,RichPa01,pass_sacked_yds,0,,,,,
player,201609110sea,sea,RichPa01,pass_long,0,,,,,
player,201609110sea,sea,RichPa01,pass_rating,,,,,,
player,201609110sea,sea,RichPa01,rush_att,0,,,,,
player,201609110sea,sea,RichPa01,rush_yds,0,,,,,
player,201609110sea,sea,RichPa01,rush_td,0,,,,,
player,201609110sea,sea,RichPa01,rush_long,0,,,,,
player,201609110sea,sea,RichPa01,targets,2,,,,,
player,201609110sea,sea,RichPa01,rec,1,,,,,
player,201609110sea,sea,RichPa01,rec_yds,11,,,,,
player,201609110sea,sea,RichPa01,rec_td,0,,,,,
player,201609110sea,sea,RichPa01,rec_long,11,,,,,
player,201609110sea,sea,RichPa01,fumbles,0,,,,,
player,201609110sea,sea,RichPa01,fumbles_lost,0,,,,,
player,201609110sea,sea,GrahJi00,pass_cmp,0,,,,,
player,201609110sea,sea,GrahJi00,pass_att,0,,,,,
player,201609110sea,sea,GrahJi00,pass_yds,0,,,,,
player,201609110sea,sea,GrahJi00,pass_td,0,,,,,
player,201609110sea,sea,GrahJi00,pass_int,0,,,,,
player,201609110sea,sea,GrahJi00,pass_sacked,0,,,,,
player,201609110sea,sea,GrahJi00,pass_sacked_yds,0,,,,,
player,201609110sea,sea,GrahJi00,pass_long,0,,,,,
player,201609110sea,sea,GrahJi00,pass_rating,,,,,,
player,201609110sea,sea,GrahJi00,rush_att,0,,,,,
player,201609110sea,sea,GrahJi00,rush_yds,0,,,,,
player,201609110sea,sea,GrahJi00,rush_td,0,,,,,
player,201609110sea,sea,GrahJi00,rush_long,0,,,,,
player,201609110sea,sea,GrahJi00,targets,1,,,,,
player,201609110sea,sea,GrahJi00,rec,1,,,,,
player,201609110sea,sea,GrahJi00,rec_yds,11,,,,,
player,201609110sea,sea,GrahJi00,rec_td,0,,,,,
player,201609110sea,sea,GrahJi00,rec_long,11,,,,,
player,201609110sea,sea,GrahJi00,fumbles,0,,,,,
player,201609110sea,sea,GrahJi00,fumbles_lost,0,,,,,
player,201609110sea,sea,ProsC.00,pass_cmp,0,,,,,
player,201609110sea,sea,ProsC.00,pass_att,0,,,,,
player,201609110sea,sea,ProsC.00,pass_yds,0,,,,,
player,201609110sea,sea,ProsC.00,pass_td,0,,,,,
player,201609110sea,sea,ProsC.00,pass_int,0,,,,,
player,201609110sea,sea,ProsC.00,pass_sacked,0,,,,,
player,201609110sea,sea,ProsC.00,pass_sacked_yds,0,,,,,
player,201609110sea,sea,ProsC.00,pass_long,0,,,,,
player,201609110sea,sea,ProsC.00,pass_rating,,,,,,
player,201609110sea,sea,ProsC.00,rush_att,1,,,,,
player,201609110sea,sea,ProsC.00,rush_yds,-2,,,,,
player,201609110sea,sea,ProsC.00,rush_td,0,,,,,
player,201609110sea,sea,ProsC.00,rush_long,-2,,,,,
player,201609110sea,sea,ProsC.00,targets,1,,,,,
player,201609110sea,sea,ProsC.00,rec,1,,,,,
player,201609110sea,sea,ProsC.00,rec_yds,13,,,,,
player,201609110sea,sea,ProsC.00,rec_td,0,,,,,
player,201609110sea,sea,ProsC.00,rec_long,13,,,,,
player,201609110sea,sea,ProsC.00,fumbles,0,,,,,
player,201609110sea,sea,ProsC.00,fumbles_lost,0,,,,,
player,201609110sea,mia,AbduIs00,def_int,1,,,,,
player,201609110sea,mia,AbduIs00,def_int_yds,9,,,,,
player,201609110sea,mia,AbduIs00,def_int_td,0,,,,,
player,201609110sea,mia,AbduIs00,def_int_long,9,,,,,
player,201609110sea,mia,AbduIs00,pass_defended,2,,,,,
player,201609110sea,mia,AbduIs00,sacks,0.0,,,,,
player,201609110sea,mia,AbduIs00,tackles_combined,8,,,,,
player,201609110sea,mia,AbduIs00,tackles_solo,3,,,,,
player,201609110sea,mia,AbduIs00,tackles_assists,5,,,,,
player,201609110sea,mia,AbduIs00,tackles_loss,0,,,,,
player,201609110sea,mia,AbduIs00,qb_hits,0,,,,,
player,201609110sea,mia,AbduIs00,fumbles_rec,0,,,,,
player,201609110sea,mia,AbduIs00,fumbles_rec_yds,0,,,,,
player,201609110sea,mia,AbduIs00,fumbles_rec_td,0,,,,,
player,201609110sea,mia,AbduIs00,fumbles_forced,0,,,,,
player,201609110sea,mia,SuhxNd99,def_int,0,,,,,
player,201609110sea,mia,SuhxNd99,def_int_yds,0,,,,,
player,201609110sea,mia,SuhxNd99,def_int_td,0,,,,,
player,201609110sea,mia,SuhxNd99,def_int_long,0,,,,,
player,201609110sea,mia,SuhxNd99,pass_defended,1,,,,,
player,201609110sea,mia,SuhxNd99,sacks,1.0,,,,,
player,201609110sea,mia,SuhxNd99,tackles_combined,4,,,,,
player,201609110sea,mia,SuhxNd99,tackles_solo,2,,,,,
player,201609110sea,mia,SuhxNd99,tackles_assists,2,,,,,
player,201609110sea,mia,SuhxNd99,tackles_loss,1,,,,,
player,201609110sea,mia,SuhxNd99,qb_hits,3,,,,,
player,201609110sea,mia,SuhxNd99,fumbles_rec,0,,,,,
player,201609110sea,mia,SuhxNd99,fumbles_rec_yds,0,,,,,
player,201609110sea,mia,SuhxNd99,fumbles_rec_td,0,,,,,
player,201609110sea,mia,SuhxNd99,fumbles_forced,0,,,,,
player,201609110sea,mia,WillMa22,def_int,0,,,,,
player,201609110sea,mia,WillMa22,def_int_yds,0,,,,,
player,201609110sea,mia,WillMa22,def_int_td,0,,,,,
player,201609110sea,mia,WillMa22,def_int_long,0,,,,,
player,201609110sea,mia,WillMa22,pass_defended,0,,,,,
player,201609110sea,mia,WillMa22,sacks,1.0,,,,,
player,201609110sea,mia,WillMa22,tackles_combined,2,,,,,
player,201609110sea,mia,WillMa22,tackles_solo,1,,,,,
player,201609110sea,mia,WillMa22,tackles_assists,1,,,,,
player,201609110sea,mia,WillMa22,tackles_loss,1,,,,,
player,201609110sea,mia,WillMa22,qb_hits,1,,,,,
player,201609110sea,mia,WillMa22,fumbles_rec,0,,,,,
player,201609110sea,mia,WillMa22,fumbles_rec_yds,0,,,,,
player,201609110sea,mia,WillMa22,fumbles_rec_td,0,,,,,
player,201609110sea,mia,WillMa22,fumbles_forced,0,,,,,
player,201609110sea,mia,PhilJo01,def_int,0,,,,,
player,201609110sea,mia,PhilJo01,def_int_yds,0,,,,,
player,201609110sea,mia,PhilJo01,def_int_td,0,,,,,
player,201609110sea,mia,PhilJo01,def_int_long,0,,,,,
player,201609110sea,mia,PhilJo01,pass_defended,0,,,,,
player,201609110sea,mia,PhilJo01,sacks,0.5,,,,,
player,201609110sea,mia,PhilJo01,tackles_combined,4,,,,,
player,201609110sea,mia,PhilJo01,tackles_solo,0,,,,,
player,201609110sea,mia,PhilJo01,tackles_assists,4,,,,,
player,201609110sea,mia,PhilJo01,tackles_loss,0,,,,,
player,201609110sea,mia,PhilJo01,qb_hits,1,,,,,
player,201609110sea,mia,PhilJo01,fumbles_rec,0,,,,,
player,201609110sea,mia,PhilJo01,fumbles_rec_yds,0,,,,,
player,201609110sea,mia,PhilJo01,fumbles_rec_td,0,,,,,
player,201609110sea,mia,PhilJo01,fumbles_forced,0,,,,,
player,201609110sea,mia,JoneJa99,def_int,0,,,,,
player,201609110sea,mia,JoneJa99,def_int_yds,0,,,,,
player,201609110sea,mia,JoneJa99,def_int_td,0,,,,,
player,201609110sea,mia,JoneJa99,def_int_long,0,,,,,
player,201609110sea,mia,JoneJa99,pass_defended,0,,,,,
player,201609110sea,mia,JoneJa99,sacks,0.5,,,,,
player,201609110sea,mia,JoneJa99,tackles_combined,2,,,,,
player,201609110sea,mia,JoneJa99,tackles_solo,0,,,,,
player,201609110sea,mia,JoneJa99,tackles_assists,2,,,,,
player,201609110sea,mia,JoneJa99,tackles_loss,0,,,,,
player,201609110sea,mia,JoneJa99,qb_hits,2,,,,,
player,201609110sea,mia,JoneJa99,fumbles_rec,0,,,,,
player,201609110sea,mia,JoneJa99,fumbles_rec_yds,0,,,,,
player,201609110sea,mia,JoneJa99,fumbles_rec_td,0,,,,,
player,201609110sea,mia,JoneJa99,fumbles_forced,0,,,,,
player,201609110sea,mia,JoneRe99,def_int,0,,,,,
player,201609110sea,mia,JoneRe99,def_int_yds,0,,,,,
player,201609110sea,mia,JoneRe99,def_int_td,0,,,,,
player,201609110sea,mia,JoneRe99,def_int_long,0,,,,,
player,201609110sea,mia,JoneRe99,pass_defended,1,,,,,
player,201609110sea,mia,JoneRe99,sacks,0.0,,,,,
player,201609110sea,mia,JoneRe99,tackles_combined,12,,,,,
player,201609110sea,mia,JoneRe99,tackles_solo,6,,,,,
player,201609110sea,mia,JoneRe99,tackles_assists,6,,,,,
player,201609110sea,mia,JoneRe99,tackles_loss,1,,,,,
player,201609110sea,mia,JoneRe99,qb_hits,0,,,,,
player,201609110sea,mia,JoneRe99,fumbles_rec,0,,,,,
player,201609110sea,mia,JoneRe99,fumbles_rec_yds,0,,,,,
player,201609110sea,mia,JoneRe99,fumbles_rec_td,0,,,,,
player,201609110sea,mia,JoneRe99,fumbles_forced,0,,,,,
player,201609110sea,mia,AlonKi00,def_int,0,,,,,
player,201609110sea,mia,AlonKi00,def_int_yds,0,,,,,
player,201609110sea,mia,AlonKi00,def_int_td,0,,,,,
