game,2016,2,20160918,201609180nyg,nor,"New Orleans Saints",13,nyg,"New York Giants",16
player,201609180nyg,nor,ThomMi05,pass_td,0,,,,,
player,201609180nyg,nor,ThomMi05,pass_int,0,,,,,
player,201609180nyg,nor,ThomMi05,pass_sacked,0,,,,,
player,201609180nyg,nor,ThomMi05,pass_sacked_yds,0,,,,,
player,201609180nyg,nor,ThomMi05,pass_long,0,,,,,
player,201609180nyg,nor,ThomMi05,pass_rating,,,,,,
player,201609180nyg,nor,ThomMi05,rush_att,0,,,,,
player,201609180nyg,nor,ThomMi05,rush_yds,0,,,,,
player,201609180nyg,nor,ThomMi05,rush_td,0,,,,,
player,201609180nyg,nor,ThomMi05,rush_long,0,,,,,
player,201609180nyg,nor,ThomMi05,targets,5,,,,,
player,201609180nyg,nor,ThomMi05,rec,4,,,,,
player,201609180nyg,nor,ThomMi05,rec_yds,56,,,,,
player,201609180nyg,nor,ThomMi05,rec_td,0,,,,,
player,201609180nyg,nor,ThomMi05,rec_long,23,,,,,
player,201609180nyg,nor,ThomMi05,fumbles,0,,,,,
player,201609180nyg,nor,ThomMi05,fumbles_lost,0,,,,,
player,201609180nyg,nor,SneaWi00,pass_cmp,0,,,,,
player,201609180nyg,nor,SneaWi00,pass_att,0,,,,,
player,201609180nyg,nor,SneaWi00,pass_yds,0,,,,,
player,201609180nyg,nor,SneaWi00,pass_td,0,,,,,
player,201609180nyg,nor,SneaWi00,pass_int,0,,,,,
player,201609180nyg,nor,SneaWi00,pass_sacked,0,,,,,
player,201609180nyg,nor,SneaWi00,pass_sacked_yds,0,,,,,
player,201609180nyg,nor,SneaWi00,pass_long,0,,,,,
player,201609180nyg,nor,SneaWi00,pass_rating,,,,,,
player,201609180nyg,nor,SneaWi00,rush_att,0,,,,,
player,201609180nyg,nor,SneaWi00,rush_yds,0,,,,,
player,201609180nyg,nor,SneaWi00,rush_td,0,,,,,
player,201609180nyg,nor,SneaWi00,rush_long,0,,,,,
player,201609180nyg,nor,SneaWi00,targets,8,,,,,
player,201609180nyg,nor,SneaWi00,rec,5,,,,,
player,201609180nyg,nor,SneaWi00,rec_yds,54,,,,,
player,201609180nyg,nor,SneaWi00,rec_td,1,,,,,
player,201609180nyg,nor,SneaWi00,rec_long,17,,,,,
player,201609180nyg,nor,SneaWi00,fumbles,0,,,,,
player,201609180nyg,nor,SneaWi00,fumbles_lost,0,,,,,
player,201609180nyg,nor,FleeCo00,pass_cmp,0,,,,,
player,201609180nyg,nor,FleeCo00,pass_att,0,,,,,
player,201609180nyg,nor,FleeCo00,pass_yds,0,,,,,
player,201609180nyg,nor,FleeCo00,pass_td,0,,,,,
player,201609180nyg,nor,FleeCo00,pass_int,0,,,,,
player,201609180nyg,nor,FleeCo00,pass_sacked,0,,,,,
player,201609180nyg,nor,FleeCo00,pass_sacked_yds,0,,,,,
player,201609180nyg,nor,FleeCo00,pass_long,0,,,,,
player,201609180nyg,nor,FleeCo00,pass_rating,,,,,,
player,201609180nyg,nor,FleeCo00,rush_att,0,,,,,
player,201609180nyg,nor,FleeCo00,rush_yds,0,,,,,
player,201609180nyg,nor,FleeCo00,rush_td,0,,,,,
player,201609180nyg,nor,FleeCo00,rush_long,0,,,,,
player,201609180nyg,nor,FleeCo00,targets,8,,,,,
player,201609180nyg,nor,FleeCo00,rec,2,,,,,
player,201609180nyg,nor,FleeCo00,rec_yds,29,,,,,
player,201609180nyg,nor,FleeCo00,rec_td,0,,,,,
player,201609180nyg,nor,FleeCo00,rec_long,21,,,,,
player,201609180nyg,nor,FleeCo00,fumbles,0,,,,,
player,201609180nyg,nor,FleeCo00,fumbles_lost,0,,,,,
player,201609180nyg,nor,CadeTr00,pass_cmp,0,,,,,
player,201609180nyg,nor,CadeTr00,pass_att,0,,,,,
player,201609180nyg,nor,CadeTr00,pass_yds,0,,,,,
player,201609180nyg,nor,CadeTr00,pass_td,0,,,,,
player,201609180nyg,nor,CadeTr00,pass_int,0,,,,,
player,201609180nyg,nor,CadeTr00,pass_sacked,0,,,,,
player,201609180nyg,nor,CadeTr00,pass_sacked_yds,0,,,,,
player,201609180nyg,nor,CadeTr00,pass_long,0,,,,,
player,201609180nyg,nor,CadeTr00,pass_rating,,,,,,
player,201609180nyg,nor,CadeTr00,rush_att,0,,,,,
player,201609180nyg,nor,CadeTr00,rush_yds,0,,,,,
player,201609180nyg,nor,CadeTr00,rush_td,0,,,,,
player,201609180nyg,nor,CadeTr00,rush_long,0,,,,,
player,201609180nyg,nor,CadeTr00,targets,3,,,,,
player,201609180nyg,nor,CadeTr00,rec,2,,,,,
player,201609180nyg,nor,CadeTr00,rec_yds,17,,,,,
player,201609180nyg,nor,CadeTr00,rec_td,0,,,,,
player,201609180nyg,nor,CadeTr00,rec_long,10,,,,,
player,201609180nyg,nor,CadeTr00,fumbles,0,,,,,
player,201609180nyg,nor,CadeTr00,fumbles_lost,0,,,,,
player,201609180nyg,nor,ColeBr00,pass_cmp,0,,,,,
