game,2016,12,20161127,201611270chi,oti,"Tennessee Titans",27,chi,"Chicago Bears",21
player,201611270chi,oti,MurrDe00,rec_yds,41,,,,,
player,201611270chi,oti,MurrDe00,rec_td,0,,,,,
player,201611270chi,oti,MurrDe00,rec_long,16,,,,,
player,201611270chi,oti,MurrDe00,fumbles,1,,,,,
player,201611270chi,oti,MurrDe00,fumbles_lost,0,,,,,
player,201611270chi,oti,MattRi00,pass_cmp,0,,,,,
player,201611270chi,oti,MattRi00,pass_att,0,,,,,
player,201611270chi,oti,MattRi00,pass_yds,0,,,,,
player,201611270chi,oti,MattRi00,pass_td,0,,,,,
player,201611270chi,oti,MattRi00,pass_int,0,,,,,
player,201611270chi,oti,MattRi00,pass_sacked,0,,,,,
player,201611270chi,oti,MattRi00,pass_sacked_yds,0,,,,,
player,201611270chi,oti,MattRi00,pass_long,0,,,,,
player,201611270chi,oti,MattRi00,pass_rating,,,,,,
player,201611270chi,oti,MattRi00,rush_att,0,,,,,
player,201611270chi,oti,MattRi00,rush_yds,0,,,,,
player,201611270chi,oti,MattRi00,rush_td,0,,,,,
player,201611270chi,oti,MattRi00,rush_long,0,,,,,
player,201611270chi,oti,MattRi00,targets,7,,,,,
player,201611270chi,oti,MattRi00,rec,3,,,,,
player,201611270chi,oti,MattRi00,rec_yds,64,,,,,
player,201611270chi,oti,MattRi00,rec_td,1,,,,,
player,201611270chi,oti,MattRi00,rec_long,29,,,,,
player,201611270chi,oti,MattRi00,fumbles,0,,,,,
player,201611270chi,oti,MattRi00,fumbles_lost,0,,,,,
player,201611270chi,oti,DougHa00,pass_cmp,0,,,,,
player,201611270chi,oti,DougHa00,pass_att,0,,,,,
player,201611270chi,oti,DougHa00,pass_yds,0,,,,,
player,201611270chi,oti,DougHa00,pass_td,0,,,,,
player,201611270chi,oti,DougHa00,pass_int,0,,,,,
player,201611270chi,oti,DougHa00,pass_sacked,0,,,,,
player,201611270chi,oti,DougHa00,pass_sacked_yds,0,,,,,
player,201611270chi,oti,DougHa00,pass_long,0,,,,,
player,201611270chi,oti,DougHa00,pass_rating,,,,,,
player,201611270chi,oti,DougHa00,rush_att,0,,,,,
player,201611270chi,oti,DougHa00,rush_yds,0,,,,,
player,201611270chi,oti,DougHa00,rush_td,0,,,,,
player,201611270chi,oti,DougHa00,rush_long,0,,,,,
player,201611270chi,oti,DougHa00,targets,2,,,,,
player,201611270chi,oti,DougHa00,rec,2,,,,,
player,201611270chi,oti,DougHa00,rec_yds,60,,,,,
player,201611270chi,oti,DougHa00,rec_td,0,,,,,
player,201611270chi,oti,DougHa00,rec_long,35,,,,,
player,201611270chi,oti,DougHa00,fumbles,0,,,,,
player,201611270chi,oti,DougHa00,fumbles_lost,0,,,,,
player,201611270chi,oti,WalkHu00,pass_cmp,0,,,,,
player,201611270chi,oti,WalkHu00,pass_att,0,,,,,
player,201611270chi,oti,WalkHu00,pass_yds,0,,,,,
player,201611270chi,oti,WalkHu00,pass_td,0,,,,,
player,201611270chi,oti,WalkHu00,pass_int,0,,,,,
player,201611270chi,oti,WalkHu00,pass_sacked,0,,,,,
player,201611270chi,oti,WalkHu00,pass_sacked_yds,0,,,,,
player,201611270chi,oti,WalkHu00,pass_long,0,,,,,
player,201611270chi,oti,WalkHu00,pass_rating,,,,,,
player,201611270chi,oti,WalkHu00,rush_att,0,,,,,
player,201611270chi,oti,WalkHu00,rush_yds,0,,,,,
player,201611270chi,oti,WalkHu00,rush_td,0,,,,,
player,201611270chi,oti,WalkHu00,rush_long,0,,,,,
player,201611270chi,oti,WalkHu00,targets,4,,,,,
player,201611270chi,oti,WalkHu00,rec,3,,,,,
player,201611270chi,oti,WalkHu00,rec_yds,50,,,,,
player,201611270chi,oti,WalkHu00,rec_td,1,,,,,
player,201611270chi,oti,WalkHu00,rec_long,38,,,,,
player,201611270chi,oti,WalkHu00,fumbles,0,,,,,
player,201611270chi,oti,WalkHu00,fumbles_lost,0,,,,,
player,201611270chi,oti,SharTa00,pass_cmp,0,,,,,
player,201611270chi,oti,SharTa00,pass_att,0,,,,,
player,201611270chi,oti,SharTa00,pass_yds,0,,,,,
player,201611270chi,oti,SharTa00,pass_td,0,,,,,
player,201611270chi,oti,SharTa00,pass_int,0,,,,,
player,201611270chi,oti,SharTa00,pass_sacked,0,,,,,
player,201611270chi,oti,SharTa00,pass_sacked_yds,0,,,,,
player,201611270chi,oti,SharTa00,pass_long,0,,,,,
player,201611270chi,oti,SharTa00,pass_rating,,,,,,
player,201611270chi,oti,SharTa00,rush_att,0,,,,,
player,201611270chi,oti,SharTa00,rush_yds,0,,,,,
player,201611270chi,oti,SharTa00,rush_td,0,,,,,
player,201611270chi,oti,SharTa00,rush_long,0,,,,,
player,201611270chi,oti,SharTa00,targets,3,,,,,
player,201611270chi,oti,SharTa00,rec,2,,,,,
player,201611270chi,oti,SharTa00,rec_yds,11,,,,,
player,201611270chi,oti,SharTa00,rec_td,0,,,,,
player,201611270chi,oti,SharTa00,rec_long,6,,,,,
player,201611270chi,oti,SharTa00,fumbles,0,,,,,
player,201611270chi,oti,SharTa00,fumbles_lost,0,,,,,
player,201611270chi,chi,BarkMa00,pass_cmp,28,,,,,
player,201611270chi,chi,BarkMa00,pass_att,54,,,,,
player,201611270chi,chi,BarkMa00,pass_yds,316,,,,,
player,201611270chi,chi,BarkMa00,pass_td,3,,,,,
player,201611270chi,chi,BarkMa00,pass_int,2,,,,,
player,201611270chi,chi,BarkMa00,pass_sacked,0,,,,,
player,201611270chi,chi,BarkMa00,pass_sacked_yds,0,,,,,
player,201611270chi,chi,BarkMa00,pass_long,23,,,,,
player,201611270chi,chi,BarkMa00,pass_rating,72.8,,,,,
player,201611270chi,chi,BarkMa00,rush_att,2,,,,,
player,201611270chi,chi,BarkMa00,rush_yds,0,,,,,
player,201611270chi,chi,BarkMa00,rush_td,0,,,,,
player,201611270chi,chi,BarkMa00,rush_long,0,,,,,
player,201611270chi,chi,BarkMa00,targets,0,,,,,
player,201611270chi,chi,BarkMa00,rec,0,,,,,
player,201611270chi,chi,BarkMa00,rec_yds,0,,,,,
player,201611270chi,chi,BarkMa00,rec_td,0,,,,,
player,201611270chi,chi,BarkMa00,rec_long,0,,,,,
player,201611270chi,chi,BarkMa00,fumbles,1,,,,,
player,201611270chi,chi,BarkMa00,fumbles_lost,0,,,,,
player,201611270chi,chi,HowaJo00,pass_cmp,0,,,,,
player,201611270chi,chi,HowaJo00,pass_att,0,,,,,
player,201611270chi,chi,HowaJo00,pass_yds,0,,,,,
player,201611270chi,chi,HowaJo00,pass_td,0,,,,,
player,201611270chi,chi,HowaJo00,pass_int,0,,,,,
player,201611270chi,chi,HowaJo00,pass_sacked,0,,,,,
player,201611270chi,chi,HowaJo00,pass_sacked_yds,0,,,,,
player,201611270chi,chi,HowaJo00,pass_long,0,,,,,
player,201611270chi,chi,HowaJo00,pass_rating,,,,,,
player,201611270chi,chi,HowaJo00,rush_att,18,,,,,
player,201611270chi,chi,HowaJo00,rush_yds,84,,,,,
player,201611270chi,chi,HowaJo00,rush_td,0,,,,,
player,201611270chi,chi,HowaJo00,rush_long,22,,,,,
player,201611270chi,chi,HowaJo00,targets,5,,,,,
player,201611270chi,chi,HowaJo00,rec,3,,,,,
player,201611270chi,chi,HowaJo00,rec_yds,43,,,,,
player,201611270chi,chi,HowaJo00,rec_td,0,,,,,
player,201611270chi,chi,HowaJo00,rec_long,23,,,,,
player,201611270chi,chi,HowaJo00,fumbles,0,,,,,
player,201611270chi,chi,HowaJo00,fumbles_lost,0,,,,,
player,201611270chi,chi,CareKa00,pass_cmp,0,,,,,
player,201611270chi,chi,CareKa00,pass_att,0,,,,,
player,201611270chi,chi,CareKa00,pass_yds,0,,,,,
player,201611270chi,chi,CareKa00,pass_td,0,,,,,
player,201611270chi,chi,CareKa00,pass_int,0,,,,,
player,201611270chi,chi,CareKa00,pass_sacked,0,,,,,
player,201611270chi,chi,CareKa00,pass_sacked_yds,0,,,,,
player,201611270chi,chi,CareKa00,pass_long,0,,,,,
player,201611270chi,chi,CareKa00,pass_rating,,,,,,
player,201611270chi,chi,CareKa00,rush_att,1,,,,,
player,201611270chi,chi,CareKa00,rush_yds,6,,,,,
player,201611270chi,chi,CareKa00,rush_td,0,,,,,
player,201611270chi,chi,CareKa00,rush_long,6,,,,,
player,201611270chi,chi,CareKa00,targets,1,,,,,
player,201611270chi,chi,CareKa00,rec,1,,,,,
player,201611270chi,chi,CareKa00,rec_yds,12,,,,,
player,201611270chi,chi,CareKa00,rec_td,0,,,,,
player,201611270chi,chi,CareKa00,rec_long,12,,,,,
player,201611270chi,chi,CareKa00,fumbles,0,,,,,
player,201611270chi,chi,CareKa00,fumbles_lost,0,,,,,
player,201611270chi,chi,LangJe00,pass_cmp,0,,,,,
player,201611270chi,chi,LangJe00,pass_att,0,,,,,
player,201611270chi,chi,LangJe00,pass_yds,0,,,,,
player,201611270chi,chi,LangJe00,pass_td,0,,,,,
player,201611270chi,chi,LangJe00,pass_int,0,,,,,
player,201611270chi,chi,LangJe00,pass_sacked,0,,,,,
player,201611270chi,chi,LangJe00,pass_sacked_yds,0,,,,,
player,201611270chi,chi,LangJe00,pass_long,0,,,,,
player,201611270chi,chi,LangJe00,pass_rating,,,,,,
player,201611270chi,chi,LangJe00,rush_att,1,,,,,
player,201611270chi,chi,LangJe00,rush_yds,5,,,,,
player,201611270chi,chi,LangJe00,rush_td,0,,,,,
player,201611270chi,chi,LangJe00,rush_long,5,,,,,
player,201611270chi,chi,LangJe00,targets,2,,,,,
player,201611270chi,chi,LangJe00,rec,0,,,,,
player,201611270chi,chi,LangJe00,rec_yds,0,,,,,
player,201611270chi,chi,LangJe00,rec_td,0,,,,,
player,201611270chi,chi,LangJe00,rec_long,0,,,,,
player,201611270chi,chi,LangJe00,fumbles,0,,,,,
player,201611270chi,chi,LangJe00,fumbles_lost,0,,,,,
player,201611270chi,chi,WilsMa02,pass_cmp,0,,,,,
player,201611270chi,chi,WilsMa02,pass_att,0,,,,,
player,201611270chi,chi,WilsMa02,pass_yds,0,,,,,
player,201611270chi,chi,WilsMa02,pass_td,0,,,,,
player,201611270chi,chi,WilsMa02,pass_int,0,,,,,
player,201611270chi,chi,WilsMa02,pass_sacked,0,,,,,
player,201611270chi,chi,WilsMa02,pass_sacked_yds,0,,,,,
player,201611270chi,chi,WilsMa02,pass_long,0,,,,,
player,201611270chi,chi,WilsMa02,pass_rating,,,,,,
player,201611270chi,chi,WilsMa02,rush_att,0,,,,,
player,201611270chi,chi,WilsMa02,rush_yds,0,,,,,
player,201611270chi,chi,WilsMa02,rush_td,0,,,,,
player,201611270chi,chi,WilsMa02,rush_long,0,,,,,
player,201611270chi,chi,WilsMa02,targets,11,,,,,
player,201611270chi,chi,WilsMa02,rec,8,,,,,
player,201611270chi,chi,WilsMa02,rec_yds,125,,,,,
player,201611270chi,chi,WilsMa02,rec_td,1,,,,,
player,201611270chi,chi,WilsMa02,rec_long,23,,,,,
player,201611270chi,chi,WilsMa02,fumbles,0,,,,,
player,201611270chi,chi,WilsMa02,fumbles_lost,0,,,,,
player,201611270chi,chi,ThomDe04,pass_cmp,0,,,,,
player,201611270chi,chi,ThomDe04,pass_att,0,,,,,
player,201611270chi,chi,ThomDe04,pass_yds,0,,,,,
player,201611270chi,chi,ThomDe04,pass_td,0,,,,,
player,201611270chi,chi,ThomDe04,pass_int,0,,,,,
player,201611270chi,chi,ThomDe04,pass_sacked,0,,,,,
player,201611270chi,chi,ThomDe04,pass_sacked_yds,0,,,,,
player,201611270chi,chi,ThomDe04,pass_long,0,,,,,
player,201611270chi,chi,ThomDe04,pass_rating,,,,,,
player,201611270chi,chi,ThomDe04,rush_att,0,,,,,
player,201611270chi,chi,ThomDe04,rush_yds,0,,,,,
player,201611270chi,chi,ThomDe04,rush_td,0,,,,,
player,201611270chi,chi,ThomDe04,rush_long,0,,,,,
player,201611270chi,chi,ThomDe04,targets,9,,,,,
player,201611270chi,chi,ThomDe04,rec,5,,,,,
player,201611270chi,chi,ThomDe04,rec_yds,44,,,,,
player,201611270chi,chi,ThomDe04,rec_td,1,,,,,
player,201611270chi,chi,ThomDe04,rec_long,14,,,,,
player,201611270chi,chi,ThomDe04,fumbles,0,,,,,
player,201611270chi,chi,ThomDe04,fumbles_lost,0,,,,,
player,201611270chi,chi,BellJo02,pass_cmp,0,,,,,
player,201611270chi,chi,BellJo02,pass_att,0,,,,,
player,201611270chi,chi,BellJo02,pass_yds,0,,,,,
player,201611270chi,chi,BellJo02,pass_td,0,,,,,
player,201611270chi,chi,BellJo02,pass_int,0,,,,,
player,201611270chi,chi,BellJo02,pass_sacked,0,,,,,
player,201611270chi,chi,BellJo02,pass_sacked_yds,0,,,,,
player,201611270chi,chi,BellJo02,pass_long,0,,,,,
player,201611270chi,chi,BellJo02,pass_rating,,,,,,
player,201611270chi,chi,BellJo02,rush_att,0,,,,,
player,201611270chi,chi,BellJo02,rush_yds,0,,,,,
player,201611270chi,chi,BellJo02,rush_td,0,,,,,
player,201611270chi,chi,BellJo02,rush_long,0,,,,,
player,201611270chi,chi,BellJo02,targets,9,,,,,
player,201611270chi,chi,BellJo02,rec,4,,,,,
player,201611270chi,chi,BellJo02,rec_yds,41,,,,,
player,201611270chi,chi,BellJo02,rec_td,0,,,,,
player,201611270chi,chi,BellJo02,rec_long,15,,,,,
player,201611270chi,chi,BellJo02,fumbles,0,,,,,
player,201611270chi,chi,BellJo02,fumbles_lost,0,,,,,
player,201611270chi,chi,BrowDa04,pass_cmp,0,,,,,
player,201611270chi,chi,BrowDa04,pass_att,0,,,,,
player,201611270chi,chi,BrowDa04,pass_yds,0,,,,,
player,201611270chi,chi,BrowDa04,pass_td,0,,,,,
player,201611270chi,chi,BrowDa04,pass_int,0,,,,,
player,201611270chi,chi,BrowDa04,pass_sacked,0,,,,,
player,201611270chi,chi,BrowDa04,pass_sacked_yds,0,,,,,
player,201611270chi,chi,BrowDa04,pass_long,0,,,,,
player,201611270chi,chi,BrowDa04,pass_rating,,,,,,
player,201611270chi,chi,BrowDa04,rush_att,0,,,,,
player,201611270chi,chi,BrowDa04,rush_yds,0,,,,,
player,201611270chi,chi,BrowDa04,rush_td,0,,,,,
player,201611270chi,chi,BrowDa04,rush_long,0,,,,,
player,201611270chi,chi,BrowDa04,targets,4,,,,,
player,201611270chi,chi,BrowDa04,rec,3,,,,,
player,201611270chi,chi,BrowDa04,rec_yds,24,,,,,
player,201611270chi,chi,BrowDa04,rec_td,1,,,,,
player,201611270chi,chi,BrowDa04,rec_long,9,,,,,
player,201611270chi,chi,BrowDa04,fumbles,0,,,,,
player,201611270chi,chi,BrowDa04,fumbles_lost,0,,,,,
player,201611270chi,chi,MereCa00,pass_cmp,0,,,,,
player,201611270chi,chi,MereCa00,pass_att,0,,,,,
player,201611270chi,chi,MereCa00,pass_yds,0,,,,,
player,201611270chi,chi,MereCa00,pass_td,0,,,,,
player,201611270chi,chi,MereCa00,pass_int,0,,,,,
player,201611270chi,chi,MereCa00,pass_sacked,0,,,,,
player,201611270chi,chi,MereCa00,pass_sacked_yds,0,,,,,
player,201611270chi,chi,MereCa00,pass_long,0,,,,,
player,201611270chi,chi,MereCa00,pass_rating,,,,,,
player,201611270chi,chi,MereCa00,rush_att,0,,,,,
player,201611270chi,chi,MereCa00,rush_yds,0,,,,,
player,201611270chi,chi,MereCa00,rush_td,0,,,,,
player,201611270chi,chi,MereCa00,rush_long,0,,,,,
player,201611270chi,chi,MereCa00,targets,9,,,,,
player,201611270chi,chi,MereCa00,rec,2,,,,,
player,201611270chi,chi,MereCa00,rec_yds,19,,,,,
player,201611270chi,chi,MereCa00,rec_td,0,,,,,
player,201611270chi,chi,MereCa00,rec_long,11,,,,,
player,201611270chi,chi,MereCa00,fumbles,0,,,,,
player,201611270chi,chi,MereCa00,fumbles_lost,0,,,,,
player,201611270chi,chi,BrauBe00,pass_cmp,0,,,,,
player,201611270chi,chi,BrauBe00,pass_att,0,,,,,
player,201611270chi,chi,BrauBe00,pass_yds,0,,,,,
player,201611270chi,chi,BrauBe00,pass_td,0,,,,,
player,201611270chi,chi,BrauBe00,pass_int,0,,,,,
player,201611270chi,chi,BrauBe00,pass_sacked,0,,,,,
player,201611270chi,chi,BrauBe00,pass_sacked_yds,0,,,,,
player,201611270chi,chi,BrauBe00,pass_long,0,,,,,
player,201611270chi,chi,BrauBe00,pass_rating,,,,,,
player,201611270chi,chi,BrauBe00,rush_att,0,,,,,
player,201611270chi,chi,BrauBe00,rush_yds,0,,,,,
player,201611270chi,chi,BrauBe00,rush_td,0,,,,,
player,201611270chi,chi,BrauBe00,rush_long,0,,,,,
player,201611270chi,chi,BrauBe00,targets,2,,,,,
player,201611270chi,chi,BrauBe00,rec,1,,,,,
player,201611270chi,chi,BrauBe00,rec_yds,14,,,,,
player,201611270chi,chi,BrauBe00,rec_td,0,,,,,
player,201611270chi,chi,BrauBe00,rec_long,14,,,,,
player,201611270chi,chi,BrauBe00,fumbles,0,,,,,
player,201611270chi,chi,BrauBe00,fumbles_lost,0,,,,,
player,201611270chi,chi,PaulLo00,pass_cmp,0,,,,,
player,201611270chi,chi,PaulLo00,pass_att,0,,,,,
player,201611270chi,chi,PaulLo00,pass_yds,0,,,,,
player,201611270chi,chi,PaulLo00,pass_td,0,,,,,
player,201611270chi,chi,PaulLo00,pass_int,0,,,,,
player,201611270chi,chi,PaulLo00,pass_sacked,0,,,,,
player,201611270chi,chi,PaulLo00,pass_sacked_yds,0,,,,,
player,201611270chi,chi,PaulLo00,pass_long,0,,,,,
player,201611270chi,chi,PaulLo00,pass_rating,,,,,,
player,201611270chi,chi,PaulLo00,rush_att,0,,,,,
player,201611270chi,chi,PaulLo00,rush_yds,0,,,,,
player,201611270chi,chi,PaulLo00,rush_td,0,,,,,
player,201611270chi,chi,PaulLo00,rush_long,0,,,,,
player,201611270chi,chi,PaulLo00,targets,1,,,,,
player,201611270chi,chi,PaulLo00,rec,0,,,,,
player,201611270chi,chi,PaulLo00,rec_yds,0,,,,,
player,201611270chi,chi,PaulLo00,rec_td,0,,,,,
player,201611270chi,chi,PaulLo00,rec_long,0,,,,,
player,201611270chi,chi,PaulLo00,fumbles,0,,,,,
player,201611270chi,chi,PaulLo00,fumbles_lost,0,,,,,
player,201611270chi,chi,RoyaEd00,pass_cmp,0,,,,,
player,201611270chi,chi,RoyaEd00,pass_att,0,,,,,
player,201611270chi,chi,RoyaEd00,pass_yds,0,,,,,
player,201611270chi,chi,RoyaEd00,pass_td,0,,,,,
player,201611270chi,chi,RoyaEd00,pass_int,0,,,,,
player,201611270chi,chi,RoyaEd00,pass_sacked,0,,,,,
player,201611270chi,chi,RoyaEd00,pass_sacked_yds,0,,,,,
player,201611270chi,chi,RoyaEd00,pass_long,0,,,,,
player,201611270chi,chi,RoyaEd00,pass_rating,,,,,,
player,201611270chi,chi,RoyaEd00,rush_att,0,,,,,
player,201611270chi,chi,RoyaEd00,rush_yds,0,,,,,
player,201611270chi,chi,RoyaEd00,rush_td,0,,,,,
player,201611270chi,chi,RoyaEd00,rush_long,0,,,,,
player,201611270chi,chi,RoyaEd00,targets,1,,,,,
player,201611270chi,chi,RoyaEd00,rec,1,,,,,
player,201611270chi,chi,RoyaEd00,rec_yds,-6,,,,,
player,201611270chi,chi,RoyaEd00,rec_td,0,,,,,
player,201611270chi,chi,RoyaEd00,rec_long,-6,,,,,
player,201611270chi,chi,RoyaEd00,fumbles,0,,,,,
player,201611270chi,chi,RoyaEd00,fumbles_lost,0,,,,,
player,201611270chi,oti,WoodWe20,def_int,1,,,,,
player,201611270chi,oti,WoodWe20,def_int_yds,21,,,,,
player,201611270chi,oti,WoodWe20,def_int_td,0,,,,,
player,201611270chi,oti,WoodWe20,def_int_long,21,,,,,
player,201611270chi,oti,WoodWe20,pass_defended,3,,,,,
player,201611270chi,oti,WoodWe20,sacks,0.0,,,,,
player,201611270chi,oti,WoodWe20,tackles_combined,5,,,,,
player,201611270chi,oti,WoodWe20,tackles_solo,5,,,,,
player,201611270chi,oti,WoodWe20,tackles_assists,0,,,,,
player,201611270chi,oti,WoodWe20,tackles_loss,1,,,,,
player,201611270chi,oti,WoodWe20,qb_hits,0,,,,,
player,201611270chi,oti,WoodWe20,fumbles_rec,0,,,,,
player,201611270chi,oti,WoodWe20,fumbles_rec_yds,0,,,,,
player,201611270chi,oti,WoodWe20,fumbles_rec_td,0,,,,,
player,201611270chi,oti,WoodWe20,fumbles_forced,0,,,,,
player,201611270chi,oti,SearDa00,def_int,1,,,,,
player,201611270chi,oti,SearDa00,def_int_yds,0,,,,,
player,201611270chi,oti,SearDa00,def_int_td,0,,,,,
player,201611270chi,oti,SearDa00,def_int_long,0,,,,,
player,201611270chi,oti,SearDa00,pass_defended,2,,,,,
player,201611270chi,oti,SearDa00,sacks,0.0,,,,,
player,201611270chi,oti,SearDa00,tackles_combined,2,,,,,
player,201611270chi,oti,SearDa00,tackles_solo,1,,,,,
player,201611270chi,oti,SearDa00,tackles_assists,1,,,,,
player,201611270chi,oti,SearDa00,tackles_loss,0,,,,,
player,201611270chi,oti,SearDa00,qb_hits,0,,,,,
player,201611270chi,oti,SearDa00,fumbles_rec,0,,,,,
player,201611270chi,oti,SearDa00,fumbles_rec_yds,0,,,,,
player,201611270chi,oti,SearDa00,fumbles_rec_td,0,,,,,
player,201611270chi,oti,SearDa00,fumbles_forced,0,,,,,
player,201611270chi,oti,WillAv00,def_int,0,,,,,
player,201611270chi,oti,WillAv00,def_int_yds,0,,,,,
player,201611270chi,oti,WillAv00,def_int_td,0,,,,,
player,201611270chi,oti,WillAv00,def_int_long,0,,,,,
player,201611270chi,oti,WillAv00,pass_defended,0,,,,,
player,201611270chi,oti,WillAv00,sacks,0.0,,,,,
player,201611270chi,oti,WillAv00,tackles_combined,7,,,,,
player,201611270chi,oti,WillAv00,tackles_solo,6,,,,,
player,201611270chi,oti,WillAv00,tackles_assists,1,,,,,
player,201611270chi,oti,WillAv00,tackles_loss,0,,,,,
player,201611270chi,oti,WillAv00,qb_hits,0,,,,,
player,201611270chi,oti,WillAv00,fumbles_rec,0,,,,,
player,201611270chi,oti,WillAv00,fumbles_rec_yds,0,,,,,
player,201611270chi,oti,WillAv00,fumbles_rec_td,0,,,,,
player,201611270chi,oti,WillAv00,fumbles_forced,0,,,,,
player,201611270chi,oti,ByarKe01,def_int,0,,,,,
player,201611270chi,oti,ByarKe01,def_int_yds,0,,,,,
player,201611270chi,oti,ByarKe01,def_int_td,0,,,,,
player,201611270chi,oti,ByarKe01,def_int_long,0,,,,,
player,201611270chi,oti,ByarKe01,pass_defended,1,,,,,
player,201611270chi,oti,ByarKe01,sacks,0.0,,,,,
player,201611270chi,oti,ByarKe01,tackles_combined,6,,,,,
player,201611270chi,oti,ByarKe01,tackles_solo,6,,,,,
player,201611270chi,oti,ByarKe01,tackles_assists,0,,,,,
