game,2016,15,20161218,201612180rav,phi,"Philadelphia Eagles",26,rav,"Baltimore Ravens",27
player,201612180rav,phi,WentCa00,targets,0,,,,,
player,201612180rav,phi,WentCa00,rec,0,,,,,
player,201612180rav,phi,WentCa00,rec_yds,0,,,,,
player,201612180rav,phi,WentCa00,rec_td,0,,,,,
player,201612180rav,phi,WentCa00,rec_long,0,,,,,
player,201612180rav,phi,WentCa00,fumbles,2,,,,,
player,201612180rav,phi,WentCa00,fumbles_lost,0,,,,,
player,201612180rav,phi,MathRy00,pass_cmp,0,,,,,
player,201612180rav,phi,MathRy00,pass_att,0,,,,,
player,201612180rav,phi,MathRy00,pass_yds,0,,,,,
player,201612180rav,phi,MathRy00,pass_td,0,,,,,
player,201612180rav,phi,MathRy00,pass_int,0,,,,,
player,201612180rav,phi,MathRy00,pass_sacked,0,,,,,
player,201612180rav,phi,MathRy00,pass_sacked_yds,0,,,,,
player,201612180rav,phi,MathRy00,pass_long,0,,,,,
player,201612180rav,phi,MathRy00,pass_rating,,,,,,
player,201612180rav,phi,MathRy00,rush_att,20,,,,,
player,201612180rav,phi,MathRy00,rush_yds,128,,,,,
player,201612180rav,phi,MathRy00,rush_td,1,,,,,
player,201612180rav,phi,MathRy00,rush_long,19,,,,,
player,201612180rav,phi,MathRy00,targets,1,,,,,
player,201612180rav,phi,MathRy00,rec,1,,,,,
player,201612180rav,phi,MathRy00,rec_yds,5,,,,,
player,201612180rav,phi,MathRy00,rec_td,0,,,,,
player,201612180rav,phi,MathRy00,rec_long,5,,,,,
player,201612180rav,phi,MathRy00,fumbles,1,,,,,
player,201612180rav,phi,MathRy00,fumbles_lost,0,,,,,
player,201612180rav,phi,MarsBy01,pass_cmp,0,,,,,
player,201612180rav,phi,MarsBy01,pass_att,0,,,,,
player,201612180rav,phi,MarsBy01,pass_yds,0,,,,,
player,201612180rav,phi,MarsBy01,pass_td,0,,,,,
player,201612180rav,phi,MarsBy01,pass_int,0,,,,,
player,201612180rav,phi,MarsBy01,pass_sacked,0,,,,,
player,201612180rav,phi,MarsBy01,pass_sacked_yds,0,,,,,
player,201612180rav,phi,MarsBy01,pass_long,0,,,,,
player,201612180rav,phi,MarsBy01,pass_rating,,,,,,
player,201612180rav,phi,MarsBy01,rush_att,9,,,,,
player,201612180rav,phi,MarsBy01,rush_yds,22,,,,,
player,201612180rav,phi,MarsBy01,rush_td,0,,,,,
player,201612180rav,phi,MarsBy01,rush_long,12,,,,,
player,201612180rav,phi,MarsBy01,targets,3,,,,,
player,201612180rav,phi,MarsBy01,rec,2,,,,,
player,201612180rav,phi,MarsBy01,rec_yds,6,,,,,
player,201612180rav,phi,MarsBy01,rec_td,0,,,,,
player,201612180rav,phi,MarsBy01,rec_long,7,,,,,
player,201612180rav,phi,MarsBy01,fumbles,0,,,,,
player,201612180rav,phi,MarsBy01,fumbles_lost,0,,,,,
player,201612180rav,phi,BarnKe00,pass_cmp,0,,,,,
player,201612180rav,phi,BarnKe00,pass_att,0,,,,,
player,201612180rav,phi,BarnKe00,pass_yds,0,,,,,
player,201612180rav,phi,BarnKe00,pass_td,0,,,,,
player,201612180rav,phi,BarnKe00,pass_int,0,,,,,
player,201612180rav,phi,BarnKe00,pass_sacked,0,,,,,
player,201612180rav,phi,BarnKe00,pass_sacked_yds,0,,,,,
player,201612180rav,phi,BarnKe00,pass_long,0,,,,,
player,201612180rav,phi,BarnKe00,pass_rating,,,,,,
player,201612180rav,phi,BarnKe00,rush_att,3,,,,,
player,201612180rav,phi,BarnKe00,rush_yds,6,,,,,
player,201612180rav,phi,BarnKe00,rush_td,0,,,,,
player,201612180rav,phi,BarnKe00,rush_long,2,,,,,
player,201612180rav,phi,BarnKe00,targets,5,,,,,
player,201612180rav,phi,BarnKe00,rec,2,,,,,
player,201612180rav,phi,BarnKe00,rec_yds,25,,,,,
player,201612180rav,phi,BarnKe00,rec_td,0,,,,,
player,201612180rav,phi,BarnKe00,rec_long,15,,,,,
player,201612180rav,phi,BarnKe00,fumbles,0,,,,,
player,201612180rav,phi,BarnKe00,fumbles_lost,0,,,,,
player,201612180rav,phi,TregBr00,pass_cmp,0,,,,,
player,201612180rav,phi,TregBr00,pass_att,0,,,,,
player,201612180rav,phi,TregBr00,pass_yds,0,,,,,
player,201612180rav,phi,TregBr00,pass_td,0,,,,,
player,201612180rav,phi,TregBr00,pass_int,0,,,,,
player,201612180rav,phi,TregBr00,pass_sacked,0,,,,,
player,201612180rav,phi,TregBr00,pass_sacked_yds,0,,,,,
player,201612180rav,phi,TregBr00,pass_long,0,,,,,
player,201612180rav,phi,TregBr00,pass_rating,,,,,,
player,201612180rav,phi,TregBr00,rush_att,1,,,,,
player,201612180rav,phi,TregBr00,rush_yds,4,,,,,
player,201612180rav,phi,TregBr00,rush_td,0,,,,,
player,201612180rav,phi,TregBr00,rush_long,4,,,,,
player,201612180rav,phi,TregBr00,targets,0,,,,,
player,201612180rav,phi,TregBr00,rec,0,,,,,
player,201612180rav,phi,TregBr00,rec_yds,0,,,,,
player,201612180rav,phi,TregBr00,rec_td,0,,,,,
player,201612180rav,phi,TregBr00,rec_long,0,,,,,
player,201612180rav,phi,TregBr00,fumbles,0,,,,,
player,201612180rav,phi,TregBr00,fumbles_lost,0,,,,,
player,201612180rav,phi,AghoNe00,pass_cmp,0,,,,,
player,201612180rav,phi,AghoNe00,pass_att,0,,,,,
player,201612180rav,phi,AghoNe00,pass_yds,0,,,,,
player,201612180rav,phi,AghoNe00,pass_td,0,,,,,
player,201612180rav,phi,AghoNe00,pass_int,0,,,,,
player,201612180rav,phi,AghoNe00,pass_sacked,0,,,,,
player,201612180rav,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201612180rav,phi,AghoNe00,pass_long,0,,,,,
player,201612180rav,phi,AghoNe00,pass_rating,,,,,,
player,201612180rav,phi,AghoNe00,rush_att,1,,,,,
player,201612180rav,phi,AghoNe00,rush_yds,1,,,,,
player,201612180rav,phi,AghoNe00,rush_td,0,,,,,
player,201612180rav,phi,AghoNe00,rush_long,1,,,,,
player,201612180rav,phi,AghoNe00,targets,4,,,,,
player,201612180rav,phi,AghoNe00,rec,1,,,,,
player,201612180rav,phi,AghoNe00,rec_yds,9,,,,,
player,201612180rav,phi,AghoNe00,rec_td,0,,,,,
player,201612180rav,phi,AghoNe00,rec_long,9,,,,,
player,201612180rav,phi,AghoNe00,fumbles,0,,,,,
player,201612180rav,phi,AghoNe00,fumbles_lost,0,,,,,
player,201612180rav,phi,ErtzZa00,pass_cmp,0,,,,,
player,201612180rav,phi,ErtzZa00,pass_att,0,,,,,
player,201612180rav,phi,ErtzZa00,pass_yds,0,,,,,
player,201612180rav,phi,ErtzZa00,pass_td,0,,,,,
player,201612180rav,phi,ErtzZa00,pass_int,0,,,,,
player,201612180rav,phi,ErtzZa00,pass_sacked,0,,,,,
player,201612180rav,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201612180rav,phi,ErtzZa00,pass_long,0,,,,,
player,201612180rav,phi,ErtzZa00,pass_rating,,,,,,
player,201612180rav,phi,ErtzZa00,rush_att,0,,,,,
player,201612180rav,phi,ErtzZa00,rush_yds,0,,,,,
player,201612180rav,phi,ErtzZa00,rush_td,0,,,,,
player,201612180rav,phi,ErtzZa00,rush_long,0,,,,,
player,201612180rav,phi,ErtzZa00,targets,8,,,,,
player,201612180rav,phi,ErtzZa00,rec,6,,,,,
player,201612180rav,phi,ErtzZa00,rec_yds,80,,,,,
player,201612180rav,phi,ErtzZa00,rec_td,0,,,,,
player,201612180rav,phi,ErtzZa00,rec_long,24,,,,,
player,201612180rav,phi,ErtzZa00,fumbles,0,,,,,
player,201612180rav,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201612180rav,phi,MattJo00,pass_cmp,0,,,,,
player,201612180rav,phi,MattJo00,pass_att,0,,,,,
player,201612180rav,phi,MattJo00,pass_yds,0,,,,,
player,201612180rav,phi,MattJo00,pass_td,0,,,,,
player,201612180rav,phi,MattJo00,pass_int,0,,,,,
player,201612180rav,phi,MattJo00,pass_sacked,0,,,,,
player,201612180rav,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201612180rav,phi,MattJo00,pass_long,0,,,,,
player,201612180rav,phi,MattJo00,pass_rating,,,,,,
player,201612180rav,phi,MattJo00,rush_att,0,,,,,
player,201612180rav,phi,MattJo00,rush_yds,0,,,,,
player,201612180rav,phi,MattJo00,rush_td,0,,,,,
player,201612180rav,phi,MattJo00,rush_long,0,,,,,
player,201612180rav,phi,MattJo00,targets,11,,,,,
player,201612180rav,phi,MattJo00,rec,6,,,,,
player,201612180rav,phi,MattJo00,rec_yds,27,,,,,
player,201612180rav,phi,MattJo00,rec_td,0,,,,,
player,201612180rav,phi,MattJo00,rec_long,8,,,,,
player,201612180rav,phi,MattJo00,fumbles,0,,,,,
player,201612180rav,phi,MattJo00,fumbles_lost,0,,,,,
player,201612180rav,phi,GreeDo00,pass_cmp,0,,,,,
player,201612180rav,phi,GreeDo00,pass_att,0,,,,,
player,201612180rav,phi,GreeDo00,pass_yds,0,,,,,
player,201612180rav,phi,GreeDo00,pass_td,0,,,,,
player,201612180rav,phi,GreeDo00,pass_int,0,,,,,
player,201612180rav,phi,GreeDo00,pass_sacked,0,,,,,
player,201612180rav,phi,GreeDo00,pass_sacked_yds,0,,,,,
player,201612180rav,phi,GreeDo00,pass_long,0,,,,,
player,201612180rav,phi,GreeDo00,pass_rating,,,,,,
player,201612180rav,phi,GreeDo00,rush_att,0,,,,,
player,201612180rav,phi,GreeDo00,rush_yds,0,,,,,
player,201612180rav,phi,GreeDo00,rush_td,0,,,,,
player,201612180rav,phi,GreeDo00,rush_long,0,,,,,
player,201612180rav,phi,GreeDo00,targets,3,,,,,
player,201612180rav,phi,GreeDo00,rec,1,,,,,
player,201612180rav,phi,GreeDo00,rec_yds,11,,,,,
player,201612180rav,phi,GreeDo00,rec_td,0,,,,,
player,201612180rav,phi,GreeDo00,rec_long,11,,,,,
player,201612180rav,phi,GreeDo00,fumbles,0,,,,,
player,201612180rav,phi,GreeDo00,fumbles_lost,0,,,,,
player,201612180rav,phi,CeleBr00,pass_cmp,0,,,,,
player,201612180rav,phi,CeleBr00,pass_att,0,,,,,
player,201612180rav,phi,CeleBr00,pass_yds,0,,,,,
player,201612180rav,phi,CeleBr00,pass_td,0,,,,,
player,201612180rav,phi,CeleBr00,pass_int,0,,,,,
player,201612180rav,phi,CeleBr00,pass_sacked,0,,,,,
player,201612180rav,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201612180rav,phi,CeleBr00,pass_long,0,,,,,
player,201612180rav,phi,CeleBr00,pass_rating,,,,,,
player,201612180rav,phi,CeleBr00,rush_att,0,,,,,
player,201612180rav,phi,CeleBr00,rush_yds,0,,,,,
player,201612180rav,phi,CeleBr00,rush_td,0,,,,,
player,201612180rav,phi,CeleBr00,rush_long,0,,,,,
player,201612180rav,phi,CeleBr00,targets,1,,,,,
player,201612180rav,phi,CeleBr00,rec,1,,,,,
player,201612180rav,phi,CeleBr00,rec_yds,5,,,,,
player,201612180rav,phi,CeleBr00,rec_td,0,,,,,
player,201612180rav,phi,CeleBr00,rec_long,5,,,,,
player,201612180rav,phi,CeleBr00,fumbles,0,,,,,
player,201612180rav,phi,CeleBr00,fumbles_lost,0,,,,,
player,201612180rav,phi,BurtTr01,pass_cmp,0,,,,,
player,201612180rav,phi,BurtTr01,pass_att,0,,,,,
player,201612180rav,phi,BurtTr01,pass_yds,0,,,,,
player,201612180rav,phi,BurtTr01,pass_td,0,,,,,
player,201612180rav,phi,BurtTr01,pass_int,0,,,,,
player,201612180rav,phi,BurtTr01,pass_sacked,0,,,,,
player,201612180rav,phi,BurtTr01,pass_sacked_yds,0,,,,,
player,201612180rav,phi,BurtTr01,pass_long,0,,,,,
player,201612180rav,phi,BurtTr01,pass_rating,,,,,,
player,201612180rav,phi,BurtTr01,rush_att,0,,,,,
player,201612180rav,phi,BurtTr01,rush_yds,0,,,,,
player,201612180rav,phi,BurtTr01,rush_td,0,,,,,
player,201612180rav,phi,BurtTr01,rush_long,0,,,,,
player,201612180rav,phi,BurtTr01,targets,6,,,,,
player,201612180rav,phi,BurtTr01,rec,2,,,,,
player,201612180rav,phi,BurtTr01,rec_yds,2,,,,,
player,201612180rav,phi,BurtTr01,rec_td,0,,,,,
player,201612180rav,phi,BurtTr01,rec_long,1,,,,,
player,201612180rav,phi,BurtTr01,fumbles,0,,,,,
player,201612180rav,phi,BurtTr01,fumbles_lost,0,,,,,
player,201612180rav,rav,FlacJo00,pass_cmp,16,,,,,
player,201612180rav,rav,FlacJo00,pass_att,30,,,,,
player,201612180rav,rav,FlacJo00,pass_yds,206,,,,,
player,201612180rav,rav,FlacJo00,pass_td,2,,,,,
player,201612180rav,rav,FlacJo00,pass_int,1,,,,,
player,201612180rav,rav,FlacJo00,pass_sacked,3,,,,,
player,201612180rav,rav,FlacJo00,pass_sacked_yds,17,,,,,
player,201612180rav,rav,FlacJo00,pass_long,54,,,,,
player,201612180rav,rav,FlacJo00,pass_rating,83.5,,,,,
player,201612180rav,rav,FlacJo00,rush_att,1,,,,,
player,201612180rav,rav,FlacJo00,rush_yds,-1,,,,,
player,201612180rav,rav,FlacJo00,rush_td,0,,,,,
player,201612180rav,rav,FlacJo00,rush_long,-1,,,,,
player,201612180rav,rav,FlacJo00,targets,0,,,,,
player,201612180rav,rav,FlacJo00,rec,0,,,,,
player,201612180rav,rav,FlacJo00,rec_yds,0,,,,,
player,201612180rav,rav,FlacJo00,rec_td,0,,,,,
player,201612180rav,rav,FlacJo00,rec_long,0,,,,,
player,201612180rav,rav,FlacJo00,fumbles,1,,,,,
player,201612180rav,rav,FlacJo00,fumbles_lost,1,,,,,
player,201612180rav,rav,WestTe00,pass_cmp,0,,,,,
player,201612180rav,rav,WestTe00,pass_att,0,,,,,
player,201612180rav,rav,WestTe00,pass_yds,0,,,,,
player,201612180rav,rav,WestTe00,pass_td,0,,,,,
player,201612180rav,rav,WestTe00,pass_int,0,,,,,
player,201612180rav,rav,WestTe00,pass_sacked,0,,,,,
player,201612180rav,rav,WestTe00,pass_sacked_yds,0,,,,,
player,201612180rav,rav,WestTe00,pass_long,0,,,,,
player,201612180rav,rav,WestTe00,pass_rating,,,,,,
player,201612180rav,rav,WestTe00,rush_att,13,,,,,
player,201612180rav,rav,WestTe00,rush_yds,77,,,,,
player,201612180rav,rav,WestTe00,rush_td,0,,,,,
player,201612180rav,rav,WestTe00,rush_long,41,,,,,
player,201612180rav,rav,WestTe00,targets,4,,,,,
player,201612180rav,rav,WestTe00,rec,4,,,,,
player,201612180rav,rav,WestTe00,rec_yds,45,,,,,
player,201612180rav,rav,WestTe00,rec_td,0,,,,,
player,201612180rav,rav,WestTe00,rec_long,17,,,,,
player,201612180rav,rav,WestTe00,fumbles,0,,,,,
player,201612180rav,rav,WestTe00,fumbles_lost,0,,,,,
player,201612180rav,rav,CampMi02,pass_cmp,0,,,,,
player,201612180rav,rav,CampMi02,pass_att,0,,,,,
player,201612180rav,rav,CampMi02,pass_yds,0,,,,,
player,201612180rav,rav,CampMi02,pass_td,0,,,,,
player,201612180rav,rav,CampMi02,pass_int,0,,,,,
player,201612180rav,rav,CampMi02,pass_sacked,0,,,,,
player,201612180rav,rav,CampMi02,pass_sacked_yds,0,,,,,
player,201612180rav,rav,CampMi02,pass_long,0,,,,,
player,201612180rav,rav,CampMi02,pass_rating,,,,,,
player,201612180rav,rav,CampMi02,rush_att,1,,,,,
player,201612180rav,rav,CampMi02,rush_yds,39,,,,,
player,201612180rav,rav,CampMi02,rush_td,0,,,,,
player,201612180rav,rav,CampMi02,rush_long,39,,,,,
player,201612180rav,rav,CampMi02,targets,1,,,,,
player,201612180rav,rav,CampMi02,rec,0,,,,,
player,201612180rav,rav,CampMi02,rec_yds,0,,,,,
player,201612180rav,rav,CampMi02,rec_td,0,,,,,
player,201612180rav,rav,CampMi02,rec_long,0,,,,,
player,201612180rav,rav,CampMi02,fumbles,0,,,,,
player,201612180rav,rav,CampMi02,fumbles_lost,0,,,,,
player,201612180rav,rav,DixoKe00,pass_cmp,0,,,,,
player,201612180rav,rav,DixoKe00,pass_att,0,,,,,
player,201612180rav,rav,DixoKe00,pass_yds,0,,,,,
player,201612180rav,rav,DixoKe00,pass_td,0,,,,,
player,201612180rav,rav,DixoKe00,pass_int,0,,,,,
player,201612180rav,rav,DixoKe00,pass_sacked,0,,,,,
player,201612180rav,rav,DixoKe00,pass_sacked_yds,0,,,,,
player,201612180rav,rav,DixoKe00,pass_long,0,,,,,
player,201612180rav,rav,DixoKe00,pass_rating,,,,,,
player,201612180rav,rav,DixoKe00,rush_att,9,,,,,
player,201612180rav,rav,DixoKe00,rush_yds,36,,,,,
player,201612180rav,rav,DixoKe00,rush_td,1,,,,,
player,201612180rav,rav,DixoKe00,rush_long,16,,,,,
player,201612180rav,rav,DixoKe00,targets,1,,,,,
player,201612180rav,rav,DixoKe00,rec,0,,,,,
player,201612180rav,rav,DixoKe00,rec_yds,0,,,,,
player,201612180rav,rav,DixoKe00,rec_td,0,,,,,
player,201612180rav,rav,DixoKe00,rec_long,0,,,,,
player,201612180rav,rav,DixoKe00,fumbles,0,,,,,
player,201612180rav,rav,DixoKe00,fumbles_lost,0,,,,,
player,201612180rav,rav,WallMi00,pass_cmp,0,,,,,
player,201612180rav,rav,WallMi00,pass_att,0,,,,,
player,201612180rav,rav,WallMi00,pass_yds,0,,,,,
player,201612180rav,rav,WallMi00,pass_td,0,,,,,
player,201612180rav,rav,WallMi00,pass_int,0,,,,,
player,201612180rav,rav,WallMi00,pass_sacked,0,,,,,
player,201612180rav,rav,WallMi00,pass_sacked_yds,0,,,,,
player,201612180rav,rav,WallMi00,pass_long,0,,,,,
player,201612180rav,rav,WallMi00,pass_rating,,,,,,
player,201612180rav,rav,WallMi00,rush_att,0,,,,,
player,201612180rav,rav,WallMi00,rush_yds,0,,,,,
player,201612180rav,rav,WallMi00,rush_td,0,,,,,
player,201612180rav,rav,WallMi00,rush_long,0,,,,,
player,201612180rav,rav,WallMi00,targets,5,,,,,
player,201612180rav,rav,WallMi00,rec,2,,,,,
player,201612180rav,rav,WallMi00,rec_yds,60,,,,,
player,201612180rav,rav,WallMi00,rec_td,0,,,,,
player,201612180rav,rav,WallMi00,rec_long,54,,,,,
player,201612180rav,rav,WallMi00,fumbles,0,,,,,
player,201612180rav,rav,WallMi00,fumbles_lost,0,,,,,
player,201612180rav,rav,SmitSt01,pass_cmp,0,,,,,
player,201612180rav,rav,SmitSt01,pass_att,0,,,,,
player,201612180rav,rav,SmitSt01,pass_yds,0,,,,,
player,201612180rav,rav,SmitSt01,pass_td,0,,,,,
player,201612180rav,rav,SmitSt01,pass_int,0,,,,,
player,201612180rav,rav,SmitSt01,pass_sacked,0,,,,,
player,201612180rav,rav,SmitSt01,pass_sacked_yds,0,,,,,
player,201612180rav,rav,SmitSt01,pass_long,0,,,,,
player,201612180rav,rav,SmitSt01,pass_rating,,,,,,
player,201612180rav,rav,SmitSt01,rush_att,0,,,,,
player,201612180rav,rav,SmitSt01,rush_yds,0,,,,,
player,201612180rav,rav,SmitSt01,rush_td,0,,,,,
player,201612180rav,rav,SmitSt01,rush_long,0,,,,,
player,201612180rav,rav,SmitSt01,targets,7,,,,,
player,201612180rav,rav,SmitSt01,rec,2,,,,,
player,201612180rav,rav,SmitSt01,rec_yds,40,,,,,
player,201612180rav,rav,SmitSt01,rec_td,1,,,,,
player,201612180rav,rav,SmitSt01,rec_long,34,,,,,
player,201612180rav,rav,SmitSt01,fumbles,0,,,,,
player,201612180rav,rav,SmitSt01,fumbles_lost,0,,,,,
player,201612180rav,rav,AikeKa00,pass_cmp,0,,,,,
player,201612180rav,rav,AikeKa00,pass_att,0,,,,,
player,201612180rav,rav,AikeKa00,pass_yds,0,,,,,
player,201612180rav,rav,AikeKa00,pass_td,0,,,,,
player,201612180rav,rav,AikeKa00,pass_int,0,,,,,
player,201612180rav,rav,AikeKa00,pass_sacked,0,,,,,
player,201612180rav,rav,AikeKa00,pass_sacked_yds,0,,,,,
player,201612180rav,rav,AikeKa00,pass_long,0,,,,,
player,201612180rav,rav,AikeKa00,pass_rating,,,,,,
player,201612180rav,rav,AikeKa00,rush_att,0,,,,,
player,201612180rav,rav,AikeKa00,rush_yds,0,,,,,
player,201612180rav,rav,AikeKa00,rush_td,0,,,,,
player,201612180rav,rav,AikeKa00,rush_long,0,,,,,
player,201612180rav,rav,AikeKa00,targets,2,,,,,
player,201612180rav,rav,AikeKa00,rec,2,,,,,
player,201612180rav,rav,AikeKa00,rec_yds,19,,,,,
player,201612180rav,rav,AikeKa00,rec_td,1,,,,,
player,201612180rav,rav,AikeKa00,rec_long,14,,,,,
player,201612180rav,rav,AikeKa00,fumbles,0,,,,,
player,201612180rav,rav,AikeKa00,fumbles_lost,0,,,,,
player,201612180rav,rav,PittDe00,pass_cmp,0,,,,,
player,201612180rav,rav,PittDe00,pass_att,0,,,,,
player,201612180rav,rav,PittDe00,pass_yds,0,,,,,
player,201612180rav,rav,PittDe00,pass_td,0,,,,,
player,201612180rav,rav,PittDe00,pass_int,0,,,,,
player,201612180rav,rav,PittDe00,pass_sacked,0,,,,,
player,201612180rav,rav,PittDe00,pass_sacked_yds,0,,,,,
player,201612180rav,rav,PittDe00,pass_long,0,,,,,
player,201612180rav,rav,PittDe00,pass_rating,,,,,,
player,201612180rav,rav,PittDe00,rush_att,0,,,,,
player,201612180rav,rav,PittDe00,rush_yds,0,,,,,
player,201612180rav,rav,PittDe00,rush_td,0,,,,,
player,201612180rav,rav,PittDe00,rush_long,0,,,,,
player,201612180rav,rav,PittDe00,targets,2,,,,,
player,201612180rav,rav,PittDe00,rec,2,,,,,
player,201612180rav,rav,PittDe00,rec_yds,16,,,,,
player,201612180rav,rav,PittDe00,rec_td,0,,,,,
player,201612180rav,rav,PittDe00,rec_long,10,,,,,
player,201612180rav,rav,PittDe00,fumbles,0,,,,,
player,201612180rav,rav,PittDe00,fumbles_lost,0,,,,,
player,201612180rav,rav,JuszKy00,pass_cmp,0,,,,,
player,201612180rav,rav,JuszKy00,pass_att,0,,,,,
player,201612180rav,rav,JuszKy00,pass_yds,0,,,,,
player,201612180rav,rav,JuszKy00,pass_td,0,,,,,
player,201612180rav,rav,JuszKy00,pass_int,0,,,,,
player,201612180rav,rav,JuszKy00,pass_sacked,0,,,,,
player,201612180rav,rav,JuszKy00,pass_sacked_yds,0,,,,,
player,201612180rav,rav,JuszKy00,pass_long,0,,,,,
player,201612180rav,rav,JuszKy00,pass_rating,,,,,,
player,201612180rav,rav,JuszKy00,rush_att,0,,,,,
player,201612180rav,rav,JuszKy00,rush_yds,0,,,,,
player,201612180rav,rav,JuszKy00,rush_td,0,,,,,
player,201612180rav,rav,JuszKy00,rush_long,0,,,,,
player,201612180rav,rav,JuszKy00,targets,4,,,,,
player,201612180rav,rav,JuszKy00,rec,3,,,,,
player,201612180rav,rav,JuszKy00,rec_yds,15,,,,,
player,201612180rav,rav,JuszKy00,rec_td,0,,,,,
player,201612180rav,rav,JuszKy00,rec_long,10,,,,,
player,201612180rav,rav,JuszKy00,fumbles,0,,,,,
player,201612180rav,rav,JuszKy00,fumbles_lost,0,,,,,
player,201612180rav,rav,WallDa01,pass_cmp,0,,,,,
player,201612180rav,rav,WallDa01,pass_att,0,,,,,
player,201612180rav,rav,WallDa01,pass_yds,0,,,,,
player,201612180rav,rav,WallDa01,pass_td,0,,,,,
player,201612180rav,rav,WallDa01,pass_int,0,,,,,
player,201612180rav,rav,WallDa01,pass_sacked,0,,,,,
player,201612180rav,rav,WallDa01,pass_sacked_yds,0,,,,,
player,201612180rav,rav,WallDa01,pass_long,0,,,,,
player,201612180rav,rav,WallDa01,pass_rating,,,,,,
player,201612180rav,rav,WallDa01,rush_att,0,,,,,
player,201612180rav,rav,WallDa01,rush_yds,0,,,,,
player,201612180rav,rav,WallDa01,rush_td,0,,,,,
player,201612180rav,rav,WallDa01,rush_long,0,,,,,
player,201612180rav,rav,WallDa01,targets,2,,,,,
player,201612180rav,rav,WallDa01,rec,1,,,,,
player,201612180rav,rav,WallDa01,rec_yds,11,,,,,
player,201612180rav,rav,WallDa01,rec_td,0,,,,,
player,201612180rav,rav,WallDa01,rec_long,11,,,,,
player,201612180rav,rav,WallDa01,fumbles,0,,,,,
player,201612180rav,rav,WallDa01,fumbles_lost,0,,,,,
player,201612180rav,rav,PerrBr02,pass_cmp,0,,,,,
player,201612180rav,rav,PerrBr02,pass_att,0,,,,,
player,201612180rav,rav,PerrBr02,pass_yds,0,,,,,
player,201612180rav,rav,PerrBr02,pass_td,0,,,,,
player,201612180rav,rav,PerrBr02,pass_int,0,,,,,
player,201612180rav,rav,PerrBr02,pass_sacked,0,,,,,
player,201612180rav,rav,PerrBr02,pass_sacked_yds,0,,,,,
player,201612180rav,rav,PerrBr02,pass_long,0,,,,,
player,201612180rav,rav,PerrBr02,pass_rating,,,,,,
player,201612180rav,rav,PerrBr02,rush_att,0,,,,,
player,201612180rav,rav,PerrBr02,rush_yds,0,,,,,
player,201612180rav,rav,PerrBr02,rush_td,0,,,,,
player,201612180rav,rav,PerrBr02,rush_long,0,,,,,
player,201612180rav,rav,PerrBr02,targets,1,,,,,
player,201612180rav,rav,PerrBr02,rec,0,,,,,
player,201612180rav,rav,PerrBr02,rec_yds,0,,,,,
