game,2016,4,20161002,201610020htx,oti,"Tennessee Titans",20,htx,"Houston Texans",27
player,201610020htx,oti,JohnAn02,rush_yds,0,,,,,
player,201610020htx,oti,JohnAn02,rush_td,0,,,,,
player,201610020htx,oti,JohnAn02,rush_long,0,,,,,
player,201610020htx,oti,JohnAn02,targets,5,,,,,
player,201610020htx,oti,JohnAn02,rec,3,,,,,
player,201610020htx,oti,JohnAn02,rec_yds,33,,,,,
player,201610020htx,oti,JohnAn02,rec_td,0,,,,,
player,201610020htx,oti,JohnAn02,rec_long,20,,,,,
player,201610020htx,oti,JohnAn02,fumbles,0,,,,,
player,201610020htx,oti,JohnAn02,fumbles_lost,0,,,,,
player,201610020htx,oti,SharTa00,pass_cmp,0,,,,,
player,201610020htx,oti,SharTa00,pass_att,0,,,,,
player,201610020htx,oti,SharTa00,pass_yds,0,,,,,
player,201610020htx,oti,SharTa00,pass_td,0,,,,,
player,201610020htx,oti,SharTa00,pass_int,0,,,,,
player,201610020htx,oti,SharTa00,pass_sacked,0,,,,,
player,201610020htx,oti,SharTa00,pass_sacked_yds,0,,,,,
player,201610020htx,oti,SharTa00,pass_long,0,,,,,
player,201610020htx,oti,SharTa00,pass_rating,,,,,,
player,201610020htx,oti,SharTa00,rush_att,0,,,,,
player,201610020htx,oti,SharTa00,rush_yds,0,,,,,
player,201610020htx,oti,SharTa00,rush_td,0,,,,,
player,201610020htx,oti,SharTa00,rush_long,0,,,,,
player,201610020htx,oti,SharTa00,targets,7,,,,,
player,201610020htx,oti,SharTa00,rec,2,,,,,
player,201610020htx,oti,SharTa00,rec_yds,15,,,,,
player,201610020htx,oti,SharTa00,rec_td,0,,,,,
player,201610020htx,oti,SharTa00,rec_long,10,,,,,
player,201610020htx,oti,SharTa00,fumbles,0,,,,,
player,201610020htx,oti,SharTa00,fumbles_lost,0,,,,,
player,201610020htx,oti,WrigKe01,pass_cmp,0,,,,,
player,201610020htx,oti,WrigKe01,pass_att,0,,,,,
player,201610020htx,oti,WrigKe01,pass_yds,0,,,,,
player,201610020htx,oti,WrigKe01,pass_td,0,,,,,
player,201610020htx,oti,WrigKe01,pass_int,0,,,,,
player,201610020htx,oti,WrigKe01,pass_sacked,0,,,,,
player,201610020htx,oti,WrigKe01,pass_sacked_yds,0,,,,,
player,201610020htx,oti,WrigKe01,pass_long,0,,,,,
player,201610020htx,oti,WrigKe01,pass_rating,,,,,,
player,201610020htx,oti,WrigKe01,rush_att,0,,,,,
player,201610020htx,oti,WrigKe01,rush_yds,0,,,,,
player,201610020htx,oti,WrigKe01,rush_td,0,,,,,
player,201610020htx,oti,WrigKe01,rush_long,0,,,,,
player,201610020htx,oti,WrigKe01,targets,3,,,,,
player,201610020htx,oti,WrigKe01,rec,2,,,,,
player,201610020htx,oti,WrigKe01,rec_yds,14,,,,,
player,201610020htx,oti,WrigKe01,rec_td,0,,,,,
player,201610020htx,oti,WrigKe01,rec_long,11,,,,,
player,201610020htx,oti,WrigKe01,fumbles,0,,,,,
player,201610020htx,oti,WrigKe01,fumbles_lost,0,,,,,
player,201610020htx,oti,FasaAn00,pass_cmp,0,,,,,
player,201610020htx,oti,FasaAn00,pass_att,0,,,,,
player,201610020htx,oti,FasaAn00,pass_yds,0,,,,,
player,201610020htx,oti,FasaAn00,pass_td,0,,,,,
player,201610020htx,oti,FasaAn00,pass_int,0,,,,,
player,201610020htx,oti,FasaAn00,pass_sacked,0,,,,,
player,201610020htx,oti,FasaAn00,pass_sacked_yds,0,,,,,
player,201610020htx,oti,FasaAn00,pass_long,0,,,,,
