game,2016,15,20161218,201612180min,clt,"Indianapolis Colts",34,min,"Minnesota Vikings",6
player,201612180min,clt,AlleDw00,pass_long,0,,,,,
player,201612180min,clt,AlleDw00,pass_rating,,,,,,
player,201612180min,clt,AlleDw00,rush_att,0,,,,,
player,201612180min,clt,AlleDw00,rush_yds,0,,,,,
player,201612180min,clt,AlleDw00,rush_td,0,,,,,
player,201612180min,clt,AlleDw00,rush_long,0,,,,,
player,201612180min,clt,AlleDw00,targets,2,,,,,
player,201612180min,clt,AlleDw00,rec,1,,,,,
player,201612180min,clt,AlleDw00,rec_yds,13,,,,,
player,201612180min,clt,AlleDw00,rec_td,0,,,,,
player,201612180min,clt,AlleDw00,rec_long,13,,,,,
player,201612180min,clt,AlleDw00,fumbles,0,,,,,
player,201612180min,clt,AlleDw00,fumbles_lost,0,,,,,
player,201612180min,min,BradSa00,pass_cmp,32,,,,,
player,201612180min,min,BradSa00,pass_att,42,,,,,
player,201612180min,min,BradSa00,pass_yds,291,,,,,
player,201612180min,min,BradSa00,pass_td,0,,,,,
player,201612180min,min,BradSa00,pass_int,1,,,,,
player,201612180min,min,BradSa00,pass_sacked,5,,,,,
player,201612180min,min,BradSa00,pass_sacked_yds,43,,,,,
player,201612180min,min,BradSa00,pass_long,28,,,,,
player,201612180min,min,BradSa00,pass_rating,84.5,,,,,
player,201612180min,min,BradSa00,rush_att,0,,,,,
player,201612180min,min,BradSa00,rush_yds,0,,,,,
player,201612180min,min,BradSa00,rush_td,0,,,,,
player,201612180min,min,BradSa00,rush_long,0,,,,,
player,201612180min,min,BradSa00,targets,0,,,,,
player,201612180min,min,BradSa00,rec,0,,,,,
player,201612180min,min,BradSa00,rec_yds,0,,,,,
player,201612180min,min,BradSa00,rec_td,0,,,,,
player,201612180min,min,BradSa00,rec_long,0,,,,,
player,201612180min,min,BradSa00,fumbles,1,,,,,
player,201612180min,min,BradSa00,fumbles_lost,1,,,,,
player,201612180min,min,PeteAd01,pass_cmp,0,,,,,
player,201612180min,min,PeteAd01,pass_att,0,,,,,
player,201612180min,min,PeteAd01,pass_yds,0,,,,,
player,201612180min,min,PeteAd01,pass_td,0,,,,,
player,201612180min,min,PeteAd01,pass_int,0,,,,,
player,201612180min,min,PeteAd01,pass_sacked,0,,,,,
player,201612180min,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201612180min,min,PeteAd01,pass_long,0,,,,,
player,201612180min,min,PeteAd01,pass_rating,,,,,,
player,201612180min,min,PeteAd01,rush_att,6,,,,,
player,201612180min,min,PeteAd01,rush_yds,22,,,,,
player,201612180min,min,PeteAd01,rush_td,0,,,,,
player,201612180min,min,PeteAd01,rush_long,13,,,,,
player,201612180min,min,PeteAd01,targets,1,,,,,
player,201612180min,min,PeteAd01,rec,1,,,,,
player,201612180min,min,PeteAd01,rec_yds,1,,,,,
player,201612180min,min,PeteAd01,rec_td,0,,,,,
player,201612180min,min,PeteAd01,rec_long,1,,,,,
player,201612180min,min,PeteAd01,fumbles,1,,,,,
player,201612180min,min,PeteAd01,fumbles_lost,1,,,,,
player,201612180min,min,McKiJe00,pass_cmp,0,,,,,
player,201612180min,min,McKiJe00,pass_att,0,,,,,
player,201612180min,min,McKiJe00,pass_yds,0,,,,,
player,201612180min,min,McKiJe00,pass_td,0,,,,,
player,201612180min,min,McKiJe00,pass_int,0,,,,,
player,201612180min,min,McKiJe00,pass_sacked,0,,,,,
player,201612180min,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201612180min,min,McKiJe00,pass_long,0,,,,,
player,201612180min,min,McKiJe00,pass_rating,,,,,,
player,201612180min,min,McKiJe00,rush_att,3,,,,,
player,201612180min,min,McKiJe00,rush_yds,12,,,,,
player,201612180min,min,McKiJe00,rush_td,0,,,,,
player,201612180min,min,McKiJe00,rush_long,6,,,,,
player,201612180min,min,McKiJe00,targets,9,,,,,
player,201612180min,min,McKiJe00,rec,9,,,,,
player,201612180min,min,McKiJe00,rec_yds,59,,,,,
player,201612180min,min,McKiJe00,rec_td,0,,,,,
player,201612180min,min,McKiJe00,rec_long,15,,,,,
player,201612180min,min,McKiJe00,fumbles,0,,,,,
player,201612180min,min,McKiJe00,fumbles_lost,0,,,,,
player,201612180min,min,RudoKy00,pass_cmp,0,,,,,
player,201612180min,min,RudoKy00,pass_att,0,,,,,
player,201612180min,min,RudoKy00,pass_yds,0,,,,,
player,201612180min,min,RudoKy00,pass_td,0,,,,,
player,201612180min,min,RudoKy00,pass_int,0,,,,,
player,201612180min,min,RudoKy00,pass_sacked,0,,,,,
player,201612180min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201612180min,min,RudoKy00,pass_long,0,,,,,
player,201612180min,min,RudoKy00,pass_rating,,,,,,
player,201612180min,min,RudoKy00,rush_att,0,,,,,
player,201612180min,min,RudoKy00,rush_yds,0,,,,,
player,201612180min,min,RudoKy00,rush_td,0,,,,,
player,201612180min,min,RudoKy00,rush_long,0,,,,,
player,201612180min,min,RudoKy00,targets,10,,,,,
player,201612180min,min,RudoKy00,rec,8,,,,,
player,201612180min,min,RudoKy00,rec_yds,97,,,,,
player,201612180min,min,RudoKy00,rec_td,0,,,,,
player,201612180min,min,RudoKy00,rec_long,28,,,,,
player,201612180min,min,RudoKy00,fumbles,0,,,,,
player,201612180min,min,RudoKy00,fumbles_lost,0,,,,,
player,201612180min,min,JohnCh08,pass_cmp,0,,,,,
player,201612180min,min,JohnCh08,pass_att,0,,,,,
player,201612180min,min,JohnCh08,pass_yds,0,,,,,
player,201612180min,min,JohnCh08,pass_td,0,,,,,
player,201612180min,min,JohnCh08,pass_int,0,,,,,
player,201612180min,min,JohnCh08,pass_sacked,0,,,,,
player,201612180min,min,JohnCh08,pass_sacked_yds,0,,,,,
player,201612180min,min,JohnCh08,pass_long,0,,,,,
player,201612180min,min,JohnCh08,pass_rating,,,,,,
player,201612180min,min,JohnCh08,rush_att,0,,,,,
player,201612180min,min,JohnCh08,rush_yds,0,,,,,
player,201612180min,min,JohnCh08,rush_td,0,,,,,
player,201612180min,min,JohnCh08,rush_long,0,,,,,
player,201612180min,min,JohnCh08,targets,5,,,,,
player,201612180min,min,JohnCh08,rec,5,,,,,
player,201612180min,min,JohnCh08,rec_yds,50,,,,,
player,201612180min,min,JohnCh08,rec_td,0,,,,,
player,201612180min,min,JohnCh08,rec_long,17,,,,,
player,201612180min,min,JohnCh08,fumbles,0,,,,,
player,201612180min,min,JohnCh08,fumbles_lost,0,,,,,
player,201612180min,min,PattCo00,pass_cmp,0,,,,,
player,201612180min,min,PattCo00,pass_att,0,,,,,
player,201612180min,min,PattCo00,pass_yds,0,,,,,
player,201612180min,min,PattCo00,pass_td,0,,,,,
player,201612180min,min,PattCo00,pass_int,0,,,,,
player,201612180min,min,PattCo00,pass_sacked,0,,,,,
player,201612180min,min,PattCo00,pass_sacked_yds,0,,,,,
player,201612180min,min,PattCo00,pass_long,0,,,,,
player,201612180min,min,PattCo00,pass_rating,,,,,,
player,201612180min,min,PattCo00,rush_att,0,,,,,
player,201612180min,min,PattCo00,rush_yds,0,,,,,
player,201612180min,min,PattCo00,rush_td,0,,,,,
player,201612180min,min,PattCo00,rush_long,0,,,,,
player,201612180min,min,PattCo00,targets,8,,,,,
player,201612180min,min,PattCo00,rec,5,,,,,
player,201612180min,min,PattCo00,rec_yds,49,,,,,
player,201612180min,min,PattCo00,rec_td,0,,,,,
player,201612180min,min,PattCo00,rec_long,19,,,,,
player,201612180min,min,PattCo00,fumbles,0,,,,,
player,201612180min,min,PattCo00,fumbles_lost,0,,,,,
player,201612180min,min,AsiaMa00,pass_cmp,0,,,,,
player,201612180min,min,AsiaMa00,pass_att,0,,,,,
player,201612180min,min,AsiaMa00,pass_yds,0,,,,,
player,201612180min,min,AsiaMa00,pass_td,0,,,,,
player,201612180min,min,AsiaMa00,pass_int,0,,,,,
player,201612180min,min,AsiaMa00,pass_sacked,0,,,,,
player,201612180min,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201612180min,min,AsiaMa00,pass_long,0,,,,,
player,201612180min,min,AsiaMa00,pass_rating,,,,,,
player,201612180min,min,AsiaMa00,rush_att,0,,,,,
player,201612180min,min,AsiaMa00,rush_yds,0,,,,,
player,201612180min,min,AsiaMa00,rush_td,0,,,,,
player,201612180min,min,AsiaMa00,rush_long,0,,,,,
player,201612180min,min,AsiaMa00,targets,1,,,,,
player,201612180min,min,AsiaMa00,rec,1,,,,,
player,201612180min,min,AsiaMa00,rec_yds,20,,,,,
player,201612180min,min,AsiaMa00,rec_td,0,,,,,
