game,2016,11,20161120,201611200was,gnb,"Green Bay Packers",24,was,"Washington Redskins",42
player,201611200was,gnb,AdamDa01,pass_yds,0,,,,,
player,201611200was,gnb,AdamDa01,pass_td,0,,,,,
player,201611200was,gnb,AdamDa01,pass_int,0,,,,,
player,201611200was,gnb,AdamDa01,pass_sacked,0,,,,,
player,201611200was,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201611200was,gnb,AdamDa01,pass_long,0,,,,,
player,201611200was,gnb,AdamDa01,pass_rating,,,,,,
player,201611200was,gnb,AdamDa01,rush_att,0,,,,,
player,201611200was,gnb,AdamDa01,rush_yds,0,,,,,
player,201611200was,gnb,AdamDa01,rush_td,0,,,,,
player,201611200was,gnb,AdamDa01,rush_long,0,,,,,
player,201611200was,gnb,AdamDa01,targets,6,,,,,
player,201611200was,gnb,AdamDa01,rec,3,,,,,
player,201611200was,gnb,AdamDa01,rec_yds,42,,,,,
player,201611200was,gnb,AdamDa01,rec_td,0,,,,,
player,201611200was,gnb,AdamDa01,rec_long,37,,,,,
player,201611200was,gnb,AdamDa01,fumbles,0,,,,,
player,201611200was,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201611200was,gnb,RodgRi00,pass_cmp,0,,,,,
player,201611200was,gnb,RodgRi00,pass_att,0,,,,,
player,201611200was,gnb,RodgRi00,pass_yds,0,,,,,
player,201611200was,gnb,RodgRi00,pass_td,0,,,,,
player,201611200was,gnb,RodgRi00,pass_int,0,,,,,
player,201611200was,gnb,RodgRi00,pass_sacked,0,,,,,
player,201611200was,gnb,RodgRi00,pass_sacked_yds,0,,,,,
player,201611200was,gnb,RodgRi00,pass_long,0,,,,,
player,201611200was,gnb,RodgRi00,pass_rating,,,,,,
player,201611200was,gnb,RodgRi00,rush_att,0,,,,,
player,201611200was,gnb,RodgRi00,rush_yds,0,,,,,
player,201611200was,gnb,RodgRi00,rush_td,0,,,,,
player,201611200was,gnb,RodgRi00,rush_long,0,,,,,
player,201611200was,gnb,RodgRi00,targets,4,,,,,
player,201611200was,gnb,RodgRi00,rec,4,,,,,
player,201611200was,gnb,RodgRi00,rec_yds,28,,,,,
player,201611200was,gnb,RodgRi00,rec_td,0,,,,,
player,201611200was,gnb,RodgRi00,rec_long,11,,,,,
player,201611200was,gnb,RodgRi00,fumbles,0,,,,,
player,201611200was,gnb,RodgRi00,fumbles_lost,0,,,,,
player,201611200was,gnb,NelsJo00,pass_cmp,0,,,,,
player,201611200was,gnb,NelsJo00,pass_att,0,,,,,
player,201611200was,gnb,NelsJo00,pass_yds,0,,,,,
player,201611200was,gnb,NelsJo00,pass_td,0,,,,,
player,201611200was,gnb,NelsJo00,pass_int,0,,,,,
player,201611200was,gnb,NelsJo00,pass_sacked,0,,,,,
player,201611200was,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201611200was,gnb,NelsJo00,pass_long,0,,,,,
player,201611200was,gnb,NelsJo00,pass_rating,,,,,,
player,201611200was,gnb,NelsJo00,rush_att,0,,,,,
player,201611200was,gnb,NelsJo00,rush_yds,0,,,,,
player,201611200was,gnb,NelsJo00,rush_td,0,,,,,
player,201611200was,gnb,NelsJo00,rush_long,0,,,,,
player,201611200was,gnb,NelsJo00,targets,5,,,,,
player,201611200was,gnb,NelsJo00,rec,3,,,,,
player,201611200was,gnb,NelsJo00,rec_yds,28,,,,,
player,201611200was,gnb,NelsJo00,rec_td,1,,,,,
player,201611200was,gnb,NelsJo00,rec_long,13,,,,,
player,201611200was,gnb,NelsJo00,fumbles,0,,,,,
player,201611200was,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201611200was,gnb,AlliGe01,pass_cmp,0,,,,,
player,201611200was,gnb,AlliGe01,pass_att,0,,,,,
player,201611200was,gnb,AlliGe01,pass_yds,0,,,,,
player,201611200was,gnb,AlliGe01,pass_td,0,,,,,
player,201611200was,gnb,AlliGe01,pass_int,0,,,,,
player,201611200was,gnb,AlliGe01,pass_sacked,0,,,,,
player,201611200was,gnb,AlliGe01,pass_sacked_yds,0,,,,,
player,201611200was,gnb,AlliGe01,pass_long,0,,,,,
player,201611200was,gnb,AlliGe01,pass_rating,,,,,,
player,201611200was,gnb,AlliGe01,rush_att,0,,,,,
player,201611200was,gnb,AlliGe01,rush_yds,0,,,,,
player,201611200was,gnb,AlliGe01,rush_td,0,,,,,
player,201611200was,gnb,AlliGe01,rush_long,0,,,,,
player,201611200was,gnb,AlliGe01,targets,1,,,,,
player,201611200was,gnb,AlliGe01,rec,0,,,,,
player,201611200was,gnb,AlliGe01,rec_yds,0,,,,,
player,201611200was,gnb,AlliGe01,rec_td,0,,,,,
player,201611200was,gnb,AlliGe01,rec_long,0,,,,,
player,201611200was,gnb,AlliGe01,fumbles,0,,,,,
player,201611200was,gnb,AlliGe01,fumbles_lost,0,,,,,
player,201611200was,gnb,JaniJe00,pass_cmp,0,,,,,
player,201611200was,gnb,JaniJe00,pass_att,0,,,,,
player,201611200was,gnb,JaniJe00,pass_yds,0,,,,,
player,201611200was,gnb,JaniJe00,pass_td,0,,,,,
player,201611200was,gnb,JaniJe00,pass_int,0,,,,,
player,201611200was,gnb,JaniJe00,pass_sacked,0,,,,,
player,201611200was,gnb,JaniJe00,pass_sacked_yds,0,,,,,
player,201611200was,gnb,JaniJe00,pass_long,0,,,,,
player,201611200was,gnb,JaniJe00,pass_rating,,,,,,
player,201611200was,gnb,JaniJe00,rush_att,0,,,,,
player,201611200was,gnb,JaniJe00,rush_yds,0,,,,,
player,201611200was,gnb,JaniJe00,rush_td,0,,,,,
player,201611200was,gnb,JaniJe00,rush_long,0,,,,,
player,201611200was,gnb,JaniJe00,targets,1,,,,,
player,201611200was,gnb,JaniJe00,rec,0,,,,,
player,201611200was,gnb,JaniJe00,rec_yds,0,,,,,
player,201611200was,gnb,JaniJe00,rec_td,0,,,,,
player,201611200was,gnb,JaniJe00,rec_long,0,,,,,
player,201611200was,gnb,JaniJe00,fumbles,0,,,,,
player,201611200was,gnb,JaniJe00,fumbles_lost,0,,,,,
player,201611200was,was,CousKi00,pass_cmp,21,,,,,
player,201611200was,was,CousKi00,pass_att,30,,,,,
player,201611200was,was,CousKi00,pass_yds,375,,,,,
player,201611200was,was,CousKi00,pass_td,3,,,,,
player,201611200was,was,CousKi00,pass_int,0,,,,,
player,201611200was,was,CousKi00,pass_sacked,2,,,,,
player,201611200was,was,CousKi00,pass_sacked_yds,11,,,,,
player,201611200was,was,CousKi00,pass_long,70,,,,,
player,201611200was,was,CousKi00,pass_rating,145.8,,,,,
player,201611200was,was,CousKi00,rush_att,4,,,,,
player,201611200was,was,CousKi00,rush_yds,4,,,,,
player,201611200was,was,CousKi00,rush_td,0,,,,,
player,201611200was,was,CousKi00,rush_long,4,,,,,
player,201611200was,was,CousKi00,targets,0,,,,,
player,201611200was,was,CousKi00,rec,0,,,,,
player,201611200was,was,CousKi00,rec_yds,0,,,,,
player,201611200was,was,CousKi00,rec_td,0,,,,,
player,201611200was,was,CousKi00,rec_long,0,,,,,
player,201611200was,was,CousKi00,fumbles,0,,,,,
player,201611200was,was,CousKi00,fumbles_lost,0,,,,,
player,201611200was,was,KellRo00,pass_cmp,0,,,,,
player,201611200was,was,KellRo00,pass_att,0,,,,,
player,201611200was,was,KellRo00,pass_yds,0,,,,,
player,201611200was,was,KellRo00,pass_td,0,,,,,
player,201611200was,was,KellRo00,pass_int,0,,,,,
player,201611200was,was,KellRo00,pass_sacked,0,,,,,
player,201611200was,was,KellRo00,pass_sacked_yds,0,,,,,
player,201611200was,was,KellRo00,pass_long,0,,,,,
player,201611200was,was,KellRo00,pass_rating,,,,,,
player,201611200was,was,KellRo00,rush_att,24,,,,,
