game,2016,5,20161009,201610090clt,chi,"Chicago Bears",23,clt,"Indianapolis Colts",29
player,201610090clt,clt,LuckAn00,rush_td,0,,,,,
player,201610090clt,clt,LuckAn00,rush_long,12,,,,,
player,201610090clt,clt,LuckAn00,targets,0,,,,,
player,201610090clt,clt,LuckAn00,rec,0,,,,,
player,201610090clt,clt,LuckAn00,rec_yds,0,,,,,
player,201610090clt,clt,LuckAn00,rec_td,0,,,,,
player,201610090clt,clt,LuckAn00,rec_long,0,,,,,
player,201610090clt,clt,LuckAn00,fumbles,1,,,,,
player,201610090clt,clt,LuckAn00,fumbles_lost,0,,,,,
player,201610090clt,clt,GoreFr00,pass_cmp,0,,,,,
player,201610090clt,clt,GoreFr00,pass_att,0,,,,,
player,201610090clt,clt,GoreFr00,pass_yds,0,,,,,
player,201610090clt,clt,GoreFr00,pass_td,0,,,,,
player,201610090clt,clt,GoreFr00,pass_int,0,,,,,
player,201610090clt,clt,GoreFr00,pass_sacked,0,,,,,
player,201610090clt,clt,GoreFr00,pass_sacked_yds,0,,,,,
player,201610090clt,clt,GoreFr00,pass_long,0,,,,,
player,201610090clt,clt,GoreFr00,pass_rating,,,,,,
player,201610090clt,clt,GoreFr00,rush_att,14,,,,,
player,201610090clt,clt,GoreFr00,rush_yds,75,,,,,
player,201610090clt,clt,GoreFr00,rush_td,0,,,,,
player,201610090clt,clt,GoreFr00,rush_long,16,,,,,
player,201610090clt,clt,GoreFr00,targets,2,,,,,
player,201610090clt,clt,GoreFr00,rec,1,,,,,
player,201610090clt,clt,GoreFr00,rec_yds,4,,,,,
player,201610090clt,clt,GoreFr00,rec_td,0,,,,,
player,201610090clt,clt,GoreFr00,rec_long,4,,,,,
player,201610090clt,clt,GoreFr00,fumbles,0,,,,,
player,201610090clt,clt,GoreFr00,fumbles_lost,0,,,,,
player,201610090clt,clt,BrayQu00,pass_cmp,0,,,,,
player,201610090clt,clt,BrayQu00,pass_att,0,,,,,
player,201610090clt,clt,BrayQu00,pass_yds,0,,,,,
player,201610090clt,clt,BrayQu00,pass_td,0,,,,,
player,201610090clt,clt,BrayQu00,pass_int,0,,,,,
player,201610090clt,clt,BrayQu00,pass_sacked,0,,,,,
player,201610090clt,clt,BrayQu00,pass_sacked_yds,0,,,,,
player,201610090clt,clt,BrayQu00,pass_long,0,,,,,
player,201610090clt,clt,BrayQu00,pass_rating,,,,,,
player,201610090clt,clt,BrayQu00,rush_att,1,,,,,
player,201610090clt,clt,BrayQu00,rush_yds,7,,,,,
player,201610090clt,clt,BrayQu00,rush_td,0,,,,,
player,201610090clt,clt,BrayQu00,rush_long,7,,,,,
player,201610090clt,clt,BrayQu00,targets,3,,,,,
player,201610090clt,clt,BrayQu00,rec,2,,,,,
player,201610090clt,clt,BrayQu00,rec_yds,29,,,,,
player,201610090clt,clt,BrayQu00,rec_td,0,,,,,
player,201610090clt,clt,BrayQu00,rec_long,22,,,,,
player,201610090clt,clt,BrayQu00,fumbles,0,,,,,
player,201610090clt,clt,BrayQu00,fumbles_lost,0,,,,,
player,201610090clt,clt,FergJo02,pass_cmp,0,,,,,
player,201610090clt,clt,FergJo02,pass_att,0,,,,,
player,201610090clt,clt,FergJo02,pass_yds,0,,,,,
player,201610090clt,clt,FergJo02,pass_td,0,,,,,
player,201610090clt,clt,FergJo02,pass_int,0,,,,,
player,201610090clt,clt,FergJo02,pass_sacked,0,,,,,
player,201610090clt,clt,FergJo02,pass_sacked_yds,0,,,,,
player,201610090clt,clt,FergJo02,pass_long,0,,,,,
player,201610090clt,clt,FergJo02,pass_rating,,,,,,
player,201610090clt,clt,FergJo02,rush_att,1,,,,,
player,201610090clt,clt,FergJo02,rush_yds,3,,,,,
player,201610090clt,clt,FergJo02,rush_td,0,,,,,
player,201610090clt,clt,FergJo02,rush_long,3,,,,,
player,201610090clt,clt,FergJo02,targets,4,,,,,
player,201610090clt,clt,FergJo02,rec,2,,,,,
player,201610090clt,clt,FergJo02,rec_yds,10,,,,,
player,201610090clt,clt,FergJo02,rec_td,0,,,,,
player,201610090clt,clt,FergJo02,rec_long,9,,,,,
player,201610090clt,clt,FergJo02,fumbles,0,,,,,
player,201610090clt,clt,FergJo02,fumbles_lost,0,,,,,
player,201610090clt,clt,HiltT.00,pass_cmp,0,,,,,
player,201610090clt,clt,HiltT.00,pass_att,0,,,,,
player,201610090clt,clt,HiltT.00,pass_yds,0,,,,,
player,201610090clt,clt,HiltT.00,pass_td,0,,,,,
player,201610090clt,clt,HiltT.00,pass_int,0,,,,,
player,201610090clt,clt,HiltT.00,pass_sacked,0,,,,,
player,201610090clt,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201610090clt,clt,HiltT.00,pass_long,0,,,,,
player,201610090clt,clt,HiltT.00,pass_rating,,,,,,
player,201610090clt,clt,HiltT.00,rush_att,0,,,,,
player,201610090clt,clt,HiltT.00,rush_yds,0,,,,,
player,201610090clt,clt,HiltT.00,rush_td,0,,,,,
player,201610090clt,clt,HiltT.00,rush_long,0,,,,,
player,201610090clt,clt,HiltT.00,targets,11,,,,,
player,201610090clt,clt,HiltT.00,rec,10,,,,,
player,201610090clt,clt,HiltT.00,rec_yds,171,,,,,
player,201610090clt,clt,HiltT.00,rec_td,1,,,,,
player,201610090clt,clt,HiltT.00,rec_long,35,,,,,
player,201610090clt,clt,HiltT.00,fumbles,0,,,,,
player,201610090clt,clt,HiltT.00,fumbles_lost,0,,,,,
player,201610090clt,clt,AlleDw00,pass_cmp,0,,,,,
player,201610090clt,clt,AlleDw00,pass_att,0,,,,,
player,201610090clt,clt,AlleDw00,pass_yds,0,,,,,
player,201610090clt,clt,AlleDw00,pass_td,0,,,,,
player,201610090clt,clt,AlleDw00,pass_int,0,,,,,
player,201610090clt,clt,AlleDw00,pass_sacked,0,,,,,
player,201610090clt,clt,AlleDw00,pass_sacked_yds,0,,,,,
player,201610090clt,clt,AlleDw00,pass_long,0,,,,,
player,201610090clt,clt,AlleDw00,pass_rating,,,,,,
player,201610090clt,clt,AlleDw00,rush_att,0,,,,,
player,201610090clt,clt,AlleDw00,rush_yds,0,,,,,
player,201610090clt,clt,AlleDw00,rush_td,0,,,,,
player,201610090clt,clt,AlleDw00,rush_long,0,,,,,
player,201610090clt,clt,AlleDw00,targets,6,,,,,
player,201610090clt,clt,AlleDw00,rec,6,,,,,
player,201610090clt,clt,AlleDw00,rec_yds,50,,,,,
player,201610090clt,clt,AlleDw00,rec_td,1,,,,,
player,201610090clt,clt,AlleDw00,rec_long,20,,,,,
player,201610090clt,clt,AlleDw00,fumbles,1,,,,,
player,201610090clt,clt,AlleDw00,fumbles_lost,0,,,,,
player,201610090clt,clt,DorsPh00,pass_cmp,0,,,,,
player,201610090clt,clt,DorsPh00,pass_att,0,,,,,
player,201610090clt,clt,DorsPh00,pass_yds,0,,,,,
player,201610090clt,clt,DorsPh00,pass_td,0,,,,,
player,201610090clt,clt,DorsPh00,pass_int,0,,,,,
player,201610090clt,clt,DorsPh00,pass_sacked,0,,,,,
player,201610090clt,clt,DorsPh00,pass_sacked_yds,0,,,,,
player,201610090clt,clt,DorsPh00,pass_long,0,,,,,
player,201610090clt,clt,DorsPh00,pass_rating,,,,,,
player,201610090clt,clt,DorsPh00,rush_att,0,,,,,
player,201610090clt,clt,DorsPh00,rush_yds,0,,,,,
player,201610090clt,clt,DorsPh00,rush_td,0,,,,,
player,201610090clt,clt,DorsPh00,rush_long,0,,,,,
player,201610090clt,clt,DorsPh00,targets,3,,,,,
player,201610090clt,clt,DorsPh00,rec,2,,,,,
player,201610090clt,clt,DorsPh00,rec_yds,26,,,,,
player,201610090clt,clt,DorsPh00,rec_td,0,,,,,
player,201610090clt,clt,DorsPh00,rec_long,21,,,,,
player,201610090clt,clt,DorsPh00,fumbles,0,,,,,
player,201610090clt,clt,DorsPh00,fumbles_lost,0,,,,,
player,201610090clt,clt,RogeCh02,pass_cmp,0,,,,,
player,201610090clt,clt,RogeCh02,pass_att,0,,,,,
player,201610090clt,clt,RogeCh02,pass_yds,0,,,,,
player,201610090clt,clt,RogeCh02,pass_td,0,,,,,
player,201610090clt,clt,RogeCh02,pass_int,0,,,,,
player,201610090clt,clt,RogeCh02,pass_sacked,0,,,,,
player,201610090clt,clt,RogeCh02,pass_sacked_yds,0,,,,,
player,201610090clt,clt,RogeCh02,pass_long,0,,,,,
player,201610090clt,clt,RogeCh02,pass_rating,,,,,,
player,201610090clt,clt,RogeCh02,rush_att,0,,,,,
player,201610090clt,clt,RogeCh02,rush_yds,0,,,,,
player,201610090clt,clt,RogeCh02,rush_td,0,,,,,
player,201610090clt,clt,RogeCh02,rush_long,0,,,,,
player,201610090clt,clt,RogeCh02,targets,6,,,,,
player,201610090clt,clt,RogeCh02,rec,3,,,,,
player,201610090clt,clt,RogeCh02,rec_yds,24,,,,,
player,201610090clt,clt,RogeCh02,rec_td,0,,,,,
player,201610090clt,clt,RogeCh02,rec_long,19,,,,,
player,201610090clt,clt,RogeCh02,fumbles,0,,,,,
player,201610090clt,clt,RogeCh02,fumbles_lost,0,,,,,
player,201610090clt,clt,DoylJa00,pass_cmp,0,,,,,
player,201610090clt,clt,DoylJa00,pass_att,0,,,,,
player,201610090clt,clt,DoylJa00,pass_yds,0,,,,,
player,201610090clt,clt,DoylJa00,pass_td,0,,,,,
player,201610090clt,clt,DoylJa00,pass_int,0,,,,,
player,201610090clt,clt,DoylJa00,pass_sacked,0,,,,,
player,201610090clt,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201610090clt,clt,DoylJa00,pass_long,0,,,,,
player,201610090clt,clt,DoylJa00,pass_rating,,,,,,
player,201610090clt,clt,DoylJa00,rush_att,0,,,,,
player,201610090clt,clt,DoylJa00,rush_yds,0,,,,,
player,201610090clt,clt,DoylJa00,rush_td,0,,,,,
player,201610090clt,clt,DoylJa00,rush_long,0,,,,,
player,201610090clt,clt,DoylJa00,targets,3,,,,,
player,201610090clt,clt,DoylJa00,rec,2,,,,,
player,201610090clt,clt,DoylJa00,rec_yds,8,,,,,
player,201610090clt,clt,DoylJa00,rec_td,0,,,,,
player,201610090clt,clt,DoylJa00,rec_long,4,,,,,
player,201610090clt,clt,DoylJa00,fumbles,0,,,,,
player,201610090clt,clt,DoylJa00,fumbles_lost,0,,,,,
player,201610090clt,chi,YounWi99,def_int,0,,,,,
player,201610090clt,chi,YounWi99,def_int_yds,0,,,,,
player,201610090clt,chi,YounWi99,def_int_td,0,,,,,
player,201610090clt,chi,YounWi99,def_int_long,0,,,,,
player,201610090clt,chi,YounWi99,pass_defended,0,,,,,
player,201610090clt,chi,YounWi99,sacks,3.0,,,,,
player,201610090clt,chi,YounWi99,tackles_combined,5,,,,,
player,201610090clt,chi,YounWi99,tackles_solo,4,,,,,
player,201610090clt,chi,YounWi99,tackles_assists,1,,,,,
player,201610090clt,chi,YounWi99,tackles_loss,3,,,,,
player,201610090clt,chi,YounWi99,qb_hits,3,,,,,
player,201610090clt,chi,YounWi99,fumbles_rec,0,,,,,
player,201610090clt,chi,YounWi99,fumbles_rec_yds,0,,,,,
player,201610090clt,chi,YounWi99,fumbles_rec_td,0,,,,,
player,201610090clt,chi,YounWi99,fumbles_forced,0,,,,,
player,201610090clt,chi,BullJo00,def_int,0,,,,,
player,201610090clt,chi,BullJo00,def_int_yds,0,,,,,
player,201610090clt,chi,BullJo00,def_int_td,0,,,,,
player,201610090clt,chi,BullJo00,def_int_long,0,,,,,
player,201610090clt,chi,BullJo00,pass_defended,0,,,,,
player,201610090clt,chi,BullJo00,sacks,1.0,,,,,
player,201610090clt,chi,BullJo00,tackles_combined,3,,,,,
player,201610090clt,chi,BullJo00,tackles_solo,3,,,,,
player,201610090clt,chi,BullJo00,tackles_assists,0,,,,,
player,201610090clt,chi,BullJo00,tackles_loss,2,,,,,
player,201610090clt,chi,BullJo00,qb_hits,1,,,,,
player,201610090clt,chi,BullJo00,fumbles_rec,0,,,,,
player,201610090clt,chi,BullJo00,fumbles_rec_yds,0,,,,,
player,201610090clt,chi,BullJo00,fumbles_rec_td,0,,,,,
player,201610090clt,chi,BullJo00,fumbles_forced,0,,,,,
player,201610090clt,chi,HickAk00,def_int,0,,,,,
player,201610090clt,chi,HickAk00,def_int_yds,0,,,,,
player,201610090clt,chi,HickAk00,def_int_td,0,,,,,
player,201610090clt,chi,HickAk00,def_int_long,0,,,,,
player,201610090clt,chi,HickAk00,pass_defended,0,,,,,
player,201610090clt,chi,HickAk00,sacks,1.0,,,,,
player,201610090clt,chi,HickAk00,tackles_combined,3,,,,,
player,201610090clt,chi,HickAk00,tackles_solo,1,,,,,
player,201610090clt,chi,HickAk00,tackles_assists,2,,,,,
player,201610090clt,chi,HickAk00,tackles_loss,1,,,,,
player,201610090clt,chi,HickAk00,qb_hits,1,,,,,
player,201610090clt,chi,HickAk00,fumbles_rec,0,,,,,
player,201610090clt,chi,HickAk00,fumbles_rec_yds,0,,,,,
player,201610090clt,chi,HickAk00,fumbles_rec_td,0,,,,,
player,201610090clt,chi,HickAk00,fumbles_forced,0,,,,,
player,201610090clt,chi,ProsCh00,def_int,0,,,,,
player,201610090clt,chi,ProsCh00,def_int_yds,0,,,,,
player,201610090clt,chi,ProsCh00,def_int_td,0,,,,,
player,201610090clt,chi,ProsCh00,def_int_long,0,,,,,
player,201610090clt,chi,ProsCh00,pass_defended,0,,,,,
player,201610090clt,chi,ProsCh00,sacks,0.0,,,,,
player,201610090clt,chi,ProsCh00,tackles_combined,8,,,,,
player,201610090clt,chi,ProsCh00,tackles_solo,6,,,,,
player,201610090clt,chi,ProsCh00,tackles_assists,2,,,,,
player,201610090clt,chi,ProsCh00,tackles_loss,0,,,,,
player,201610090clt,chi,ProsCh00,qb_hits,0,,,,,
player,201610090clt,chi,ProsCh00,fumbles_rec,0,,,,,
player,201610090clt,chi,ProsCh00,fumbles_rec_yds,0,,,,,
player,201610090clt,chi,ProsCh00,fumbles_rec_td,0,,,,,
player,201610090clt,chi,ProsCh00,fumbles_forced,0,,,,,
player,201610090clt,chi,FreeJe00,def_int,0,,,,,
player,201610090clt,chi,FreeJe00,def_int_yds,0,,,,,
player,201610090clt,chi,FreeJe00,def_int_td,0,,,,,
player,201610090clt,chi,FreeJe00,def_int_long,0,,,,,
player,201610090clt,chi,FreeJe00,pass_defended,0,,,,,
