game,2016,1,20160911,201609110nor,rai,"Oakland Raiders",35,nor,"New Orleans Saints",34
player,201609110nor,rai,OlawJa00,rec_yds,0,,,,,
player,201609110nor,rai,OlawJa00,rec_td,0,,,,,
player,201609110nor,rai,OlawJa00,rec_long,0,,,,,
player,201609110nor,rai,OlawJa00,fumbles,0,,,,,
player,201609110nor,rai,OlawJa00,fumbles_lost,0,,,,,
player,201609110nor,rai,CoopAm00,pass_cmp,0,,,,,
player,201609110nor,rai,CoopAm00,pass_att,0,,,,,
player,201609110nor,rai,CoopAm00,pass_yds,0,,,,,
player,201609110nor,rai,CoopAm00,pass_td,0,,,,,
player,201609110nor,rai,CoopAm00,pass_int,0,,,,,
player,201609110nor,rai,CoopAm00,pass_sacked,,,,,,
player,201609110nor,rai,CoopAm00,pass_sacked_yds,0,,,,,
player,201609110nor,rai,CoopAm00,pass_long,0,,,,,
player,201609110nor,rai,CoopAm00,pass_rating,,,,,,
player,201609110nor,rai,CoopAm00,rush_att,0,,,,,
player,201609110nor,rai,CoopAm00,rush_yds,0,,,,,
player,201609110nor,rai,CoopAm00,rush_td,0,,,,,
player,201609110nor,rai,CoopAm00,rush_long,0,,,,,
player,201609110nor,rai,CoopAm00,targets,11,,,,,
player,201609110nor,rai,CoopAm00,rec,6,,,,,
player,201609110nor,rai,CoopAm00,rec_yds,137,,,,,
player,201609110nor,rai,CoopAm00,rec_td,0,,,,,
player,201609110nor,rai,CoopAm00,rec_long,43,,,,,
player,201609110nor,rai,CoopAm00,fumbles,1,,,,,
player,201609110nor,rai,CoopAm00,fumbles_lost,0,,,,,
player,201609110nor,rai,CrabMi00,pass_cmp,0,,,,,
player,201609110nor,rai,CrabMi00,pass_att,0,,,,,
player,201609110nor,rai,CrabMi00,pass_yds,0,,,,,
player,201609110nor,rai,CrabMi00,pass_td,0,,,,,
player,201609110nor,rai,CrabMi00,pass_int,0,,,,,
player,201609110nor,rai,CrabMi00,pass_sacked,,,,,,
player,201609110nor,rai,CrabMi00,pass_sacked_yds,0,,,,,
player,201609110nor,rai,CrabMi00,pass_long,0,,,,,
player,201609110nor,rai,CrabMi00,pass_rating,,,,,,
player,201609110nor,rai,CrabMi00,rush_att,0,,,,,
player,201609110nor,rai,CrabMi00,rush_yds,0,,,,,
player,201609110nor,rai,CrabMi00,rush_td,0,,,,,
player,201609110nor,rai,CrabMi00,rush_long,0,,,,,
player,201609110nor,rai,CrabMi00,targets,9,,,,,
player,201609110nor,rai,CrabMi00,rec,7,,,,,
player,201609110nor,rai,CrabMi00,rec_yds,87,,,,,
player,201609110nor,rai,CrabMi00,rec_td,0,,,,,
player,201609110nor,rai,CrabMi00,rec_long,25,,,,,
player,201609110nor,rai,CrabMi00,fumbles,0,,,,,
player,201609110nor,rai,CrabMi00,fumbles_lost,0,,,,,
player,201609110nor,rai,WalfCl00,pass_cmp,0,,,,,
player,201609110nor,rai,WalfCl00,pass_att,0,,,,,
player,201609110nor,rai,WalfCl00,pass_yds,0,,,,,
player,201609110nor,rai,WalfCl00,pass_td,0,,,,,
player,201609110nor,rai,WalfCl00,pass_int,0,,,,,
player,201609110nor,rai,WalfCl00,pass_sacked,,,,,,
player,201609110nor,rai,WalfCl00,pass_sacked_yds,0,,,,,
player,201609110nor,rai,WalfCl00,pass_long,0,,,,,
player,201609110nor,rai,WalfCl00,pass_rating,,,,,,
player,201609110nor,rai,WalfCl00,rush_att,0,,,,,
player,201609110nor,rai,WalfCl00,rush_yds,0,,,,,
player,201609110nor,rai,WalfCl00,rush_td,0,,,,,
player,201609110nor,rai,WalfCl00,rush_long,0,,,,,
player,201609110nor,rai,WalfCl00,targets,5,,,,,
player,201609110nor,rai,WalfCl00,rec,3,,,,,
player,201609110nor,rai,WalfCl00,rec_yds,25,,,,,
player,201609110nor,rai,WalfCl00,rec_td,0,,,,,
player,201609110nor,rai,WalfCl00,rec_long,18,,,,,
player,201609110nor,rai,WalfCl00,fumbles,0,,,,,
player,201609110nor,rai,WalfCl00,fumbles_lost,0,,,,,
player,201609110nor,rai,RobeSe00,pass_cmp,0,,,,,
player,201609110nor,rai,RobeSe00,pass_att,0,,,,,
player,201609110nor,rai,RobeSe00,pass_yds,0,,,,,
player,201609110nor,rai,RobeSe00,pass_td,0,,,,,
player,201609110nor,rai,RobeSe00,pass_int,0,,,,,
player,201609110nor,rai,RobeSe00,pass_sacked,,,,,,
player,201609110nor,rai,RobeSe00,pass_sacked_yds,0,,,,,
player,201609110nor,rai,RobeSe00,pass_long,0,,,,,
player,201609110nor,rai,RobeSe00,pass_rating,,,,,,
player,201609110nor,rai,RobeSe00,rush_att,0,,,,,
player,201609110nor,rai,RobeSe00,rush_yds,0,,,,,
player,201609110nor,rai,RobeSe00,rush_td,0,,,,,
player,201609110nor,rai,RobeSe00,rush_long,0,,,,,
player,201609110nor,rai,RobeSe00,targets,4,,,,,
player,201609110nor,rai,RobeSe00,rec,2,,,,,
player,201609110nor,rai,RobeSe00,rec_yds,19,,,,,
player,201609110nor,rai,RobeSe00,rec_td,1,,,,,
player,201609110nor,rai,RobeSe00,rec_long,10,,,,,
player,201609110nor,rai,RobeSe00,fumbles,0,,,,,
player,201609110nor,rai,RobeSe00,fumbles_lost,0,,,,,
player,201609110nor,rai,HolmAn00,pass_cmp,0,,,,,
player,201609110nor,rai,HolmAn00,pass_att,0,,,,,
player,201609110nor,rai,HolmAn00,pass_yds,0,,,,,
player,201609110nor,rai,HolmAn00,pass_td,0,,,,,
player,201609110nor,rai,HolmAn00,pass_int,0,,,,,
player,201609110nor,rai,HolmAn00,pass_sacked,0,,,,,
player,201609110nor,rai,HolmAn00,pass_sacked_yds,0,,,,,
player,201609110nor,rai,HolmAn00,pass_long,0,,,,,
player,201609110nor,rai,HolmAn00,pass_rating,,,,,,
player,201609110nor,rai,HolmAn00,rush_att,0,,,,,
player,201609110nor,rai,HolmAn00,rush_yds,0,,,,,
player,201609110nor,rai,HolmAn00,rush_td,0,,,,,
player,201609110nor,rai,HolmAn00,rush_long,0,,,,,
player,201609110nor,rai,HolmAn00,targets,1,,,,,
player,201609110nor,rai,HolmAn00,rec,0,,,,,
player,201609110nor,rai,HolmAn00,rec_yds,0,,,,,
player,201609110nor,rai,HolmAn00,rec_td,0,,,,,
player,201609110nor,rai,HolmAn00,rec_long,0,,,,,
player,201609110nor,rai,HolmAn00,fumbles,0,,,,,
player,201609110nor,rai,HolmAn00,fumbles_lost,0,,,,,
player,201609110nor,rai,JoneTa00,pass_cmp,0,,,,,
player,201609110nor,rai,JoneTa00,pass_att,0,,,,,
player,201609110nor,rai,JoneTa00,pass_yds,0,,,,,
player,201609110nor,rai,JoneTa00,pass_td,0,,,,,
player,201609110nor,rai,JoneTa00,pass_int,0,,,,,
player,201609110nor,rai,JoneTa00,pass_sacked,,,,,,
player,201609110nor,rai,JoneTa00,pass_sacked_yds,0,,,,,
player,201609110nor,rai,JoneTa00,pass_long,0,,,,,
player,201609110nor,rai,JoneTa00,pass_rating,,,,,,
player,201609110nor,rai,JoneTa00,rush_att,1,,,,,
player,201609110nor,rai,JoneTa00,rush_yds,-8,,,,,
player,201609110nor,rai,JoneTa00,rush_td,0,,,,,
player,201609110nor,rai,JoneTa00,rush_long,-8,,,,,
player,201609110nor,rai,JoneTa00,targets,2,,,,,
player,201609110nor,rai,JoneTa00,rec,2,,,,,
player,201609110nor,rai,JoneTa00,rec_yds,17,,,,,
player,201609110nor,rai,JoneTa00,rec_td,0,,,,,
player,201609110nor,rai,JoneTa00,rec_long,16,,,,,
player,201609110nor,rai,JoneTa00,fumbles,0,,,,,
player,201609110nor,rai,JoneTa00,fumbles_lost,0,,,,,
player,201609110nor,nor,BreeDr00,pass_cmp,28,,,,,
player,201609110nor,nor,BreeDr00,pass_att,42,,,,,
player,201609110nor,nor,BreeDr00,pass_yds,423,,,,,
player,201609110nor,nor,BreeDr00,pass_td,4,,,,,
player,201609110nor,nor,BreeDr00,pass_int,0,,,,,
player,201609110nor,nor,BreeDr00,pass_sacked,1,,,,,
player,201609110nor,nor,BreeDr00,pass_sacked_yds,4,,,,,
player,201609110nor,nor,BreeDr00,pass_long,98,,,,,
player,201609110nor,nor,BreeDr00,pass_rating,131.3,,,,,
player,201609110nor,nor,BreeDr00,rush_att,2,,,,,
player,201609110nor,nor,BreeDr00,rush_yds,5,,,,,
player,201609110nor,nor,BreeDr00,rush_td,0,,,,,
player,201609110nor,nor,BreeDr00,rush_long,4,,,,,
player,201609110nor,nor,BreeDr00,targets,0,,,,,
player,201609110nor,nor,BreeDr00,rec,0,,,,,
player,201609110nor,nor,BreeDr00,rec_yds,0,,,,,
player,201609110nor,nor,BreeDr00,rec_td,0,,,,,
player,201609110nor,nor,BreeDr00,rec_long,0,,,,,
player,201609110nor,nor,BreeDr00,fumbles,1,,,,,
player,201609110nor,nor,BreeDr00,fumbles_lost,1,,,,,
player,201609110nor,nor,IngrMa01,pass_cmp,0,,,,,
player,201609110nor,nor,IngrMa01,pass_att,0,,,,,
player,201609110nor,nor,IngrMa01,pass_yds,0,,,,,
player,201609110nor,nor,IngrMa01,pass_td,0,,,,,
player,201609110nor,nor,IngrMa01,pass_int,0,,,,,
player,201609110nor,nor,IngrMa01,pass_sacked,0,,,,,
player,201609110nor,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201609110nor,nor,IngrMa01,pass_long,0,,,,,
player,201609110nor,nor,IngrMa01,pass_rating,,,,,,
player,201609110nor,nor,IngrMa01,rush_att,12,,,,,
player,201609110nor,nor,IngrMa01,rush_yds,58,,,,,
player,201609110nor,nor,IngrMa01,rush_td,0,,,,,
player,201609110nor,nor,IngrMa01,rush_long,17,,,,,
player,201609110nor,nor,IngrMa01,targets,2,,,,,
player,201609110nor,nor,IngrMa01,rec,2,,,,,
player,201609110nor,nor,IngrMa01,rec_yds,29,,,,,
player,201609110nor,nor,IngrMa01,rec_td,0,,,,,
player,201609110nor,nor,IngrMa01,rec_long,20,,,,,
player,201609110nor,nor,IngrMa01,fumbles,0,,,,,
player,201609110nor,nor,IngrMa01,fumbles_lost,0,,,,,
player,201609110nor,nor,CookBr00,pass_cmp,0,,,,,
player,201609110nor,nor,CookBr00,pass_att,0,,,,,
player,201609110nor,nor,CookBr00,pass_yds,0,,,,,
player,201609110nor,nor,CookBr00,pass_td,0,,,,,
player,201609110nor,nor,CookBr00,pass_int,0,,,,,
player,201609110nor,nor,CookBr00,pass_sacked,0,,,,,
player,201609110nor,nor,CookBr00,pass_sacked_yds,0,,,,,
player,201609110nor,nor,CookBr00,pass_long,0,,,,,
player,201609110nor,nor,CookBr00,pass_rating,,,,,,
player,201609110nor,nor,CookBr00,rush_att,1,,,,,
player,201609110nor,nor,CookBr00,rush_yds,11,,,,,
player,201609110nor,nor,CookBr00,rush_td,0,,,,,
player,201609110nor,nor,CookBr00,rush_long,11,,,,,
player,201609110nor,nor,CookBr00,targets,9,,,,,
player,201609110nor,nor,CookBr00,rec,6,,,,,
player,201609110nor,nor,CookBr00,rec_yds,143,,,,,
player,201609110nor,nor,CookBr00,rec_td,2,,,,,
player,201609110nor,nor,CookBr00,rec_long,98,,,,,
player,201609110nor,nor,CookBr00,fumbles,0,,,,,
player,201609110nor,nor,CookBr00,fumbles_lost,0,,,,,
player,201609110nor,nor,HighTi00,pass_cmp,0,,,,,
player,201609110nor,nor,HighTi00,pass_att,0,,,,,
player,201609110nor,nor,HighTi00,pass_yds,0,,,,,
player,201609110nor,nor,HighTi00,pass_td,0,,,,,
player,201609110nor,nor,HighTi00,pass_int,0,,,,,
player,201609110nor,nor,HighTi00,pass_sacked,0,,,,,
player,201609110nor,nor,HighTi00,pass_sacked_yds,0,,,,,
player,201609110nor,nor,HighTi00,pass_long,0,,,,,
player,201609110nor,nor,HighTi00,pass_rating,,,,,,
player,201609110nor,nor,HighTi00,rush_att,4,,,,,
player,201609110nor,nor,HighTi00,rush_yds,9,,,,,
player,201609110nor,nor,HighTi00,rush_td,0,,,,,
player,201609110nor,nor,HighTi00,rush_long,5,,,,,
player,201609110nor,nor,HighTi00,targets,1,,,,,
player,201609110nor,nor,HighTi00,rec,1,,,,,
player,201609110nor,nor,HighTi00,rec_yds,1,,,,,
player,201609110nor,nor,HighTi00,rec_td,0,,,,,
player,201609110nor,nor,HighTi00,rec_long,1,,,,,
player,201609110nor,nor,HighTi00,fumbles,0,,,,,
player,201609110nor,nor,HighTi00,fumbles_lost,0,,,,,
player,201609110nor,nor,KuhnJo00,pass_cmp,0,,,,,
player,201609110nor,nor,KuhnJo00,pass_att,0,,,,,
player,201609110nor,nor,KuhnJo00,pass_yds,0,,,,,
player,201609110nor,nor,KuhnJo00,pass_td,0,,,,,
player,201609110nor,nor,KuhnJo00,pass_int,0,,,,,
player,201609110nor,nor,KuhnJo00,pass_sacked,0,,,,,
player,201609110nor,nor,KuhnJo00,pass_sacked_yds,0,,,,,
player,201609110nor,nor,KuhnJo00,pass_long,0,,,,,
player,201609110nor,nor,KuhnJo00,pass_rating,,,,,,
player,201609110nor,nor,KuhnJo00,rush_att,2,,,,,
player,201609110nor,nor,KuhnJo00,rush_yds,4,,,,,
player,201609110nor,nor,KuhnJo00,rush_td,0,,,,,
player,201609110nor,nor,KuhnJo00,rush_long,2,,,,,
player,201609110nor,nor,KuhnJo00,targets,1,,,,,
player,201609110nor,nor,KuhnJo00,rec,0,,,,,
player,201609110nor,nor,KuhnJo00,rec_yds,0,,,,,
player,201609110nor,nor,KuhnJo00,rec_td,0,,,,,
player,201609110nor,nor,KuhnJo00,rec_long,0,,,,,
player,201609110nor,nor,KuhnJo00,fumbles,0,,,,,
player,201609110nor,nor,KuhnJo00,fumbles_lost,0,,,,,
player,201609110nor,nor,CadeTr00,pass_cmp,0,,,,,
player,201609110nor,nor,CadeTr00,pass_att,0,,,,,
player,201609110nor,nor,CadeTr00,pass_yds,0,,,,,
player,201609110nor,nor,CadeTr00,pass_td,0,,,,,
player,201609110nor,nor,CadeTr00,pass_int,0,,,,,
player,201609110nor,nor,CadeTr00,pass_sacked,0,,,,,
player,201609110nor,nor,CadeTr00,pass_sacked_yds,0,,,,,
player,201609110nor,nor,CadeTr00,pass_long,0,,,,,
player,201609110nor,nor,CadeTr00,pass_rating,,,,,,
player,201609110nor,nor,CadeTr00,rush_att,1,,,,,
player,201609110nor,nor,CadeTr00,rush_yds,1,,,,,
player,201609110nor,nor,CadeTr00,rush_td,0,,,,,
player,201609110nor,nor,CadeTr00,rush_long,1,,,,,
player,201609110nor,nor,CadeTr00,targets,7,,,,,
player,201609110nor,nor,CadeTr00,rec,3,,,,,
player,201609110nor,nor,CadeTr00,rec_yds,14,,,,,
player,201609110nor,nor,CadeTr00,rec_td,1,,,,,
player,201609110nor,nor,CadeTr00,rec_long,6,,,,,
player,201609110nor,nor,CadeTr00,fumbles,0,,,,,
player,201609110nor,nor,CadeTr00,fumbles_lost,0,,,,,
player,201609110nor,nor,SneaWi00,pass_cmp,0,,,,,
player,201609110nor,nor,SneaWi00,pass_att,0,,,,,
player,201609110nor,nor,SneaWi00,pass_yds,0,,,,,
player,201609110nor,nor,SneaWi00,pass_td,0,,,,,
player,201609110nor,nor,SneaWi00,pass_int,0,,,,,
player,201609110nor,nor,SneaWi00,pass_sacked,0,,,,,
player,201609110nor,nor,SneaWi00,pass_sacked_yds,0,,,,,
player,201609110nor,nor,SneaWi00,pass_long,0,,,,,
player,201609110nor,nor,SneaWi00,pass_rating,,,,,,
player,201609110nor,nor,SneaWi00,rush_att,0,,,,,
player,201609110nor,nor,SneaWi00,rush_yds,0,,,,,
player,201609110nor,nor,SneaWi00,rush_td,0,,,,,
player,201609110nor,nor,SneaWi00,rush_long,0,,,,,
player,201609110nor,nor,SneaWi00,targets,9,,,,,
player,201609110nor,nor,SneaWi00,rec,9,,,,,
player,201609110nor,nor,SneaWi00,rec_yds,172,,,,,
player,201609110nor,nor,SneaWi00,rec_td,1,,,,,
player,201609110nor,nor,SneaWi00,rec_long,49,,,,,
player,201609110nor,nor,SneaWi00,fumbles,1,,,,,
player,201609110nor,nor,SneaWi00,fumbles_lost,0,,,,,
player,201609110nor,nor,ThomMi05,pass_cmp,0,,,,,
player,201609110nor,nor,ThomMi05,pass_att,0,,,,,
player,201609110nor,nor,ThomMi05,pass_yds,0,,,,,
player,201609110nor,nor,ThomMi05,pass_td,0,,,,,
player,201609110nor,nor,ThomMi05,pass_int,0,,,,,
player,201609110nor,nor,ThomMi05,pass_sacked,0,,,,,
player,201609110nor,nor,ThomMi05,pass_sacked_yds,0,,,,,
player,201609110nor,nor,ThomMi05,pass_long,0,,,,,
player,201609110nor,nor,ThomMi05,pass_rating,,,,,,
player,201609110nor,nor,ThomMi05,rush_att,0,,,,,
player,201609110nor,nor,ThomMi05,rush_yds,0,,,,,
player,201609110nor,nor,ThomMi05,rush_td,0,,,,,
player,201609110nor,nor,ThomMi05,rush_long,0,,,,,
player,201609110nor,nor,ThomMi05,targets,6,,,,,
player,201609110nor,nor,ThomMi05,rec,6,,,,,
player,201609110nor,nor,ThomMi05,rec_yds,58,,,,,
player,201609110nor,nor,ThomMi05,rec_td,0,,,,,
player,201609110nor,nor,ThomMi05,rec_long,25,,,,,
player,201609110nor,nor,ThomMi05,fumbles,0,,,,,
player,201609110nor,nor,ThomMi05,fumbles_lost,0,,,,,
player,201609110nor,nor,FleeCo00,pass_cmp,0,,,,,
player,201609110nor,nor,FleeCo00,pass_att,0,,,,,
player,201609110nor,nor,FleeCo00,pass_yds,0,,,,,
player,201609110nor,nor,FleeCo00,pass_td,0,,,,,
player,201609110nor,nor,FleeCo00,pass_int,0,,,,,
player,201609110nor,nor,FleeCo00,pass_sacked,0,,,,,
player,201609110nor,nor,FleeCo00,pass_sacked_yds,0,,,,,
player,201609110nor,nor,FleeCo00,pass_long,0,,,,,
player,201609110nor,nor,FleeCo00,pass_rating,,,,,,
player,201609110nor,nor,FleeCo00,rush_att,0,,,,,
player,201609110nor,nor,FleeCo00,rush_yds,0,,,,,
player,201609110nor,nor,FleeCo00,rush_td,0,,,,,
player,201609110nor,nor,FleeCo00,rush_long,0,,,,,
player,201609110nor,nor,FleeCo00,targets,4,,,,,
player,201609110nor,nor,FleeCo00,rec,1,,,,,
player,201609110nor,nor,FleeCo00,rec_yds,6,,,,,
player,201609110nor,nor,FleeCo00,rec_td,0,,,,,
player,201609110nor,nor,FleeCo00,rec_long,6,,,,,
player,201609110nor,nor,FleeCo00,fumbles,0,,,,,
player,201609110nor,nor,FleeCo00,fumbles_lost,0,,,,,
player,201609110nor,rai,IrviBr00,def_int,0,,,,,
player,201609110nor,rai,IrviBr00,def_int_yds,0,,,,,
player,201609110nor,rai,IrviBr00,def_int_td,0,,,,,
player,201609110nor,rai,IrviBr00,def_int_long,0,,,,,
player,201609110nor,rai,IrviBr00,pass_defended,0,,,,,
player,201609110nor,rai,IrviBr00,sacks,1.0,,,,,
player,201609110nor,rai,IrviBr00,tackles_combined,2,,,,,
player,201609110nor,rai,IrviBr00,tackles_solo,1,,,,,
player,201609110nor,rai,IrviBr00,tackles_assists,1,,,,,
player,201609110nor,rai,IrviBr00,tackles_loss,0,,,,,
player,201609110nor,rai,IrviBr00,qb_hits,3,,,,,
player,201609110nor,rai,IrviBr00,fumbles_rec,0,,,,,
player,201609110nor,rai,IrviBr00,fumbles_rec_yds,0,,,,,
player,201609110nor,rai,IrviBr00,fumbles_rec_td,0,,,,,
player,201609110nor,rai,IrviBr00,fumbles_forced,1,,,,,
player,201609110nor,rai,NelsRe99,def_int,0,,,,,
player,201609110nor,rai,NelsRe99,def_int_yds,0,,,,,
player,201609110nor,rai,NelsRe99,def_int_td,0,,,,,
player,201609110nor,rai,NelsRe99,def_int_long,0,,,,,
player,201609110nor,rai,NelsRe99,pass_defended,0,,,,,
player,201609110nor,rai,NelsRe99,sacks,0.0,,,,,
player,201609110nor,rai,NelsRe99,tackles_combined,8,,,,,
player,201609110nor,rai,NelsRe99,tackles_solo,7,,,,,
player,201609110nor,rai,NelsRe99,tackles_assists,1,,,,,
player,201609110nor,rai,NelsRe99,tackles_loss,0,,,,,
player,201609110nor,rai,NelsRe99,qb_hits,0,,,,,
player,201609110nor,rai,NelsRe99,fumbles_rec,0,,,,,
player,201609110nor,rai,NelsRe99,fumbles_rec_yds,0,,,,,
player,201609110nor,rai,NelsRe99,fumbles_rec_td,0,,,,,
player,201609110nor,rai,NelsRe99,fumbles_forced,0,,,,,
player,201609110nor,rai,SmitMa02,def_int,0,,,,,
