game,2016,6,20161016,201610160nyg,rav,"Baltimore Ravens",23,nyg,"New York Giants",27
player,201610160nyg,nyg,TyexWi00,rush_att,0,,,,,
player,201610160nyg,nyg,TyexWi00,rush_yds,0,,,,,
player,201610160nyg,nyg,TyexWi00,rush_td,0,,,,,
player,201610160nyg,nyg,TyexWi00,rush_long,0,,,,,
player,201610160nyg,nyg,TyexWi00,targets,2,,,,,
player,201610160nyg,nyg,TyexWi00,rec,2,,,,,
player,201610160nyg,nyg,TyexWi00,rec_yds,15,,,,,
player,201610160nyg,nyg,TyexWi00,rec_td,0,,,,,
player,201610160nyg,nyg,TyexWi00,rec_long,10,,,,,
player,201610160nyg,nyg,TyexWi00,fumbles,0,,,,,
player,201610160nyg,nyg,TyexWi00,fumbles_lost,0,,,,,
player,201610160nyg,rav,DaviWi02,def_int,1,,,,,
player,201610160nyg,rav,DaviWi02,def_int_yds,0,,,,,
player,201610160nyg,rav,DaviWi02,def_int_td,0,,,,,
player,201610160nyg,rav,DaviWi02,def_int_long,0,,,,,
player,201610160nyg,rav,DaviWi02,pass_defended,1,,,,,
player,201610160nyg,rav,DaviWi02,sacks,0.0,,,,,
player,201610160nyg,rav,DaviWi02,tackles_combined,4,,,,,
player,201610160nyg,rav,DaviWi02,tackles_solo,1,,,,,
player,201610160nyg,rav,DaviWi02,tackles_assists,3,,,,,
player,201610160nyg,rav,DaviWi02,tackles_loss,0,,,,,
player,201610160nyg,rav,DaviWi02,qb_hits,0,,,,,
player,201610160nyg,rav,DaviWi02,fumbles_rec,0,,,,,
player,201610160nyg,rav,DaviWi02,fumbles_rec_yds,0,,,,,
player,201610160nyg,rav,DaviWi02,fumbles_rec_td,0,,,,,
player,201610160nyg,rav,DaviWi02,fumbles_forced,0,,,,,
player,201610160nyg,rav,YounTa01,def_int,1,,,,,
player,201610160nyg,rav,YounTa01,def_int_yds,16,,,,,
player,201610160nyg,rav,YounTa01,def_int_td,0,,,,,
player,201610160nyg,rav,YounTa01,def_int_long,16,,,,,
player,201610160nyg,rav,YounTa01,pass_defended,1,,,,,
player,201610160nyg,rav,YounTa01,sacks,0.0,,,,,
player,201610160nyg,rav,YounTa01,tackles_combined,3,,,,,
player,201610160nyg,rav,YounTa01,tackles_solo,3,,,,,
player,201610160nyg,rav,YounTa01,tackles_assists,0,,,,,
player,201610160nyg,rav,YounTa01,tackles_loss,0,,,,,
player,201610160nyg,rav,YounTa01,qb_hits,0,,,,,
player,201610160nyg,rav,YounTa01,fumbles_rec,0,,,,,
player,201610160nyg,rav,YounTa01,fumbles_rec_yds,0,,,,,
player,201610160nyg,rav,YounTa01,fumbles_rec_td,0,,,,,
player,201610160nyg,rav,YounTa01,fumbles_forced,0,,,,,
player,201610160nyg,rav,SuggTe99,def_int,0,,,,,
player,201610160nyg,rav,SuggTe99,def_int_yds,0,,,,,
