game,2016,8,20161030,201610300dal,phi,"Philadelphia Eagles",23,dal,"Dallas Cowboys",29
player,201610300dal,phi,GreeDo00,pass_yds,0,,,,,
player,201610300dal,phi,GreeDo00,pass_td,0,,,,,
player,201610300dal,phi,GreeDo00,pass_int,0,,,,,
player,201610300dal,phi,GreeDo00,pass_sacked,0,,,,,
player,201610300dal,phi,GreeDo00,pass_sacked_yds,0,,,,,
player,201610300dal,phi,GreeDo00,pass_long,0,,,,,
player,201610300dal,phi,GreeDo00,pass_rating,,,,,,
player,201610300dal,phi,GreeDo00,rush_att,0,,,,,
player,201610300dal,phi,GreeDo00,rush_yds,0,,,,,
player,201610300dal,phi,GreeDo00,rush_td,0,,,,,
player,201610300dal,phi,GreeDo00,rush_long,0,,,,,
player,201610300dal,phi,GreeDo00,targets,9,,,,,
player,201610300dal,phi,GreeDo00,rec,5,,,,,
player,201610300dal,phi,GreeDo00,rec_yds,55,,,,,
player,201610300dal,phi,GreeDo00,rec_td,0,,,,,
player,201610300dal,phi,GreeDo00,rec_long,14,,,,,
player,201610300dal,phi,GreeDo00,fumbles,0,,,,,
player,201610300dal,phi,GreeDo00,fumbles_lost,0,,,,,
player,201610300dal,phi,AghoNe00,pass_cmp,0,,,,,
player,201610300dal,phi,AghoNe00,pass_att,0,,,,,
player,201610300dal,phi,AghoNe00,pass_yds,0,,,,,
player,201610300dal,phi,AghoNe00,pass_td,0,,,,,
player,201610300dal,phi,AghoNe00,pass_int,0,,,,,
player,201610300dal,phi,AghoNe00,pass_sacked,0,,,,,
player,201610300dal,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201610300dal,phi,AghoNe00,pass_long,0,,,,,
player,201610300dal,phi,AghoNe00,pass_rating,,,,,,
player,201610300dal,phi,AghoNe00,rush_att,0,,,,,
player,201610300dal,phi,AghoNe00,rush_yds,0,,,,,
player,201610300dal,phi,AghoNe00,rush_td,0,,,,,
player,201610300dal,phi,AghoNe00,rush_long,0,,,,,
player,201610300dal,phi,AghoNe00,targets,4,,,,,
player,201610300dal,phi,AghoNe00,rec,3,,,,,
player,201610300dal,phi,AghoNe00,rec_yds,25,,,,,
player,201610300dal,phi,AghoNe00,rec_td,0,,,,,
player,201610300dal,phi,AghoNe00,rec_long,11,,,,,
player,201610300dal,phi,AghoNe00,fumbles,0,,,,,
player,201610300dal,phi,AghoNe00,fumbles_lost,0,,,,,
player,201610300dal,phi,ErtzZa00,pass_cmp,0,,,,,
player,201610300dal,phi,ErtzZa00,pass_att,0,,,,,
player,201610300dal,phi,ErtzZa00,pass_yds,0,,,,,
player,201610300dal,phi,ErtzZa00,pass_td,0,,,,,
player,201610300dal,phi,ErtzZa00,pass_int,0,,,,,
player,201610300dal,phi,ErtzZa00,pass_sacked,0,,,,,
player,201610300dal,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201610300dal,phi,ErtzZa00,pass_long,0,,,,,
player,201610300dal,phi,ErtzZa00,pass_rating,,,,,,
player,201610300dal,phi,ErtzZa00,rush_att,0,,,,,
player,201610300dal,phi,ErtzZa00,rush_yds,0,,,,,
player,201610300dal,phi,ErtzZa00,rush_td,0,,,,,
player,201610300dal,phi,ErtzZa00,rush_long,0,,,,,
player,201610300dal,phi,ErtzZa00,targets,4,,,,,
player,201610300dal,phi,ErtzZa00,rec,4,,,,,
player,201610300dal,phi,ErtzZa00,rec_yds,19,,,,,
player,201610300dal,phi,ErtzZa00,rec_td,0,,,,,
player,201610300dal,phi,ErtzZa00,rec_long,11,,,,,
player,201610300dal,phi,ErtzZa00,fumbles,0,,,,,
player,201610300dal,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201610300dal,phi,BurtTr01,pass_cmp,0,,,,,
player,201610300dal,phi,BurtTr01,pass_att,0,,,,,
player,201610300dal,phi,BurtTr01,pass_yds,0,,,,,
player,201610300dal,phi,BurtTr01,pass_td,0,,,,,
player,201610300dal,phi,BurtTr01,pass_int,0,,,,,
player,201610300dal,phi,BurtTr01,pass_sacked,0,,,,,
player,201610300dal,phi,BurtTr01,pass_sacked_yds,0,,,,,
player,201610300dal,phi,BurtTr01,pass_long,0,,,,,
player,201610300dal,phi,BurtTr01,pass_rating,,,,,,
player,201610300dal,phi,BurtTr01,rush_att,0,,,,,
player,201610300dal,phi,BurtTr01,rush_yds,0,,,,,
player,201610300dal,phi,BurtTr01,rush_td,0,,,,,
player,201610300dal,phi,BurtTr01,rush_long,0,,,,,
player,201610300dal,phi,BurtTr01,targets,2,,,,,
player,201610300dal,phi,BurtTr01,rec,1,,,,,
player,201610300dal,phi,BurtTr01,rec_yds,6,,,,,
player,201610300dal,phi,BurtTr01,rec_td,0,,,,,
player,201610300dal,phi,BurtTr01,rec_long,6,,,,,
player,201610300dal,phi,BurtTr01,fumbles,0,,,,,
player,201610300dal,phi,BurtTr01,fumbles_lost,0,,,,,
player,201610300dal,phi,SmalWe00,pass_cmp,0,,,,,
player,201610300dal,phi,SmalWe00,pass_att,0,,,,,
player,201610300dal,phi,SmalWe00,pass_yds,0,,,,,
player,201610300dal,phi,SmalWe00,pass_td,0,,,,,
player,201610300dal,phi,SmalWe00,pass_int,0,,,,,
player,201610300dal,phi,SmalWe00,pass_sacked,0,,,,,
player,201610300dal,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201610300dal,phi,SmalWe00,pass_long,0,,,,,
player,201610300dal,phi,SmalWe00,pass_rating,,,,,,
player,201610300dal,phi,SmalWe00,rush_att,1,,,,,
player,201610300dal,phi,SmalWe00,rush_yds,-5,,,,,
player,201610300dal,phi,SmalWe00,rush_td,0,,,,,
player,201610300dal,phi,SmalWe00,rush_long,-5,,,,,
player,201610300dal,phi,SmalWe00,targets,0,,,,,
player,201610300dal,phi,SmalWe00,rec,0,,,,,
player,201610300dal,phi,SmalWe00,rec_yds,0,,,,,
player,201610300dal,phi,SmalWe00,rec_td,0,,,,,
player,201610300dal,phi,SmalWe00,rec_long,0,,,,,
player,201610300dal,phi,SmalWe00,fumbles,1,,,,,
player,201610300dal,phi,SmalWe00,fumbles_lost,1,,,,,
player,201610300dal,dal,PresDa01,pass_cmp,19,,,,,
player,201610300dal,dal,PresDa01,pass_att,39,,,,,
player,201610300dal,dal,PresDa01,pass_yds,287,,,,,
player,201610300dal,dal,PresDa01,pass_td,2,,,,,
player,201610300dal,dal,PresDa01,pass_int,1,,,,,
player,201610300dal,dal,PresDa01,pass_sacked,2,,,,,
player,201610300dal,dal,PresDa01,pass_sacked_yds,14,,,,,
player,201610300dal,dal,PresDa01,pass_long,53,,,,,
player,201610300dal,dal,PresDa01,pass_rating,79.8,,,,,
player,201610300dal,dal,PresDa01,rush_att,7,,,,,
player,201610300dal,dal,PresDa01,rush_yds,38,,,,,
player,201610300dal,dal,PresDa01,rush_td,1,,,,,
player,201610300dal,dal,PresDa01,rush_long,16,,,,,
player,201610300dal,dal,PresDa01,targets,0,,,,,
player,201610300dal,dal,PresDa01,rec,0,,,,,
player,201610300dal,dal,PresDa01,rec_yds,0,,,,,
player,201610300dal,dal,PresDa01,rec_td,0,,,,,
player,201610300dal,dal,PresDa01,rec_long,0,,,,,
player,201610300dal,dal,PresDa01,fumbles,1,,,,,
player,201610300dal,dal,PresDa01,fumbles_lost,0,,,,,
player,201610300dal,dal,BeasCo00,pass_cmp,0,,,,,
player,201610300dal,dal,BeasCo00,pass_att,1,,,,,
player,201610300dal,dal,BeasCo00,pass_yds,0,,,,,
player,201610300dal,dal,BeasCo00,pass_td,0,,,,,
player,201610300dal,dal,BeasCo00,pass_int,0,,,,,
player,201610300dal,dal,BeasCo00,pass_sacked,0,,,,,
player,201610300dal,dal,BeasCo00,pass_sacked_yds,0,,,,,
