game,2016,1,20160911,201609110phi,cle,"Cleveland Browns",10,phi,"Philadelphia Eagles",29
player,201609110phi,cle,BarnGa01,pass_td,0,,,,,
player,201609110phi,cle,BarnGa01,pass_int,0,,,,,
player,201609110phi,cle,BarnGa01,pass_sacked,0,,,,,
player,201609110phi,cle,BarnGa01,pass_sacked_yds,0,,,,,
player,201609110phi,cle,BarnGa01,pass_long,0,,,,,
player,201609110phi,cle,BarnGa01,pass_rating,,,,,,
player,201609110phi,cle,BarnGa01,rush_att,0,,,,,
player,201609110phi,cle,BarnGa01,rush_yds,0,,,,,
player,201609110phi,cle,BarnGa01,rush_td,0,,,,,
player,201609110phi,cle,BarnGa01,rush_long,0,,,,,
player,201609110phi,cle,BarnGa01,targets,2,,,,,
player,201609110phi,cle,BarnGa01,rec,0,,,,,
player,201609110phi,cle,BarnGa01,rec_yds,0,,,,,
player,201609110phi,cle,BarnGa01,rec_td,0,,,,,
player,201609110phi,cle,BarnGa01,rec_long,0,,,,,
player,201609110phi,cle,BarnGa01,fumbles,0,,,,,
player,201609110phi,cle,BarnGa01,fumbles_lost,0,,,,,
player,201609110phi,cle,HawkAn00,pass_cmp,0,,,,,
player,201609110phi,cle,HawkAn00,pass_att,0,,,,,
player,201609110phi,cle,HawkAn00,pass_yds,0,,,,,
player,201609110phi,cle,HawkAn00,pass_td,0,,,,,
player,201609110phi,cle,HawkAn00,pass_int,0,,,,,
player,201609110phi,cle,HawkAn00,pass_sacked,0,,,,,
player,201609110phi,cle,HawkAn00,pass_sacked_yds,0,,,,,
player,201609110phi,cle,HawkAn00,pass_long,0,,,,,
player,201609110phi,cle,HawkAn00,pass_rating,,,,,,
player,201609110phi,cle,HawkAn00,rush_att,1,,,,,
player,201609110phi,cle,HawkAn00,rush_yds,-1,,,,,
player,201609110phi,cle,HawkAn00,rush_td,0,,,,,
player,201609110phi,cle,HawkAn00,rush_long,-1,,,,,
player,201609110phi,cle,HawkAn00,targets,3,,,,,
player,201609110phi,cle,HawkAn00,rec,0,,,,,
player,201609110phi,cle,HawkAn00,rec_yds,0,,,,,
player,201609110phi,cle,HawkAn00,rec_td,0,,,,,
player,201609110phi,cle,HawkAn00,rec_long,0,,,,,
player,201609110phi,cle,HawkAn00,fumbles,0,,,,,
player,201609110phi,cle,HawkAn00,fumbles_lost,0,,,,,
player,201609110phi,phi,WentCa00,pass_cmp,22,,,,,
player,201609110phi,phi,WentCa00,pass_att,37,,,,,
player,201609110phi,phi,WentCa00,pass_yds,278,,,,,
player,201609110phi,phi,WentCa00,pass_td,2,,,,,
player,201609110phi,phi,WentCa00,pass_int,0,,,,,
player,201609110phi,phi,WentCa00,pass_sacked,2,,,,,
player,201609110phi,phi,WentCa00,pass_sacked_yds,8,,,,,
player,201609110phi,phi,WentCa00,pass_long,35,,,,,
player,201609110phi,phi,WentCa00,pass_rating,101.0,,,,,
player,201609110phi,phi,WentCa00,rush_att,2,,,,,
player,201609110phi,phi,WentCa00,rush_yds,1,,,,,
player,201609110phi,phi,WentCa00,rush_td,0,,,,,
player,201609110phi,phi,WentCa00,rush_long,1,,,,,
player,201609110phi,phi,WentCa00,targets,0,,,,,
player,201609110phi,phi,WentCa00,rec,0,,,,,
player,201609110phi,phi,WentCa00,rec_yds,0,,,,,
player,201609110phi,phi,WentCa00,rec_td,0,,,,,
player,201609110phi,phi,WentCa00,rec_long,0,,,,,
player,201609110phi,phi,WentCa00,fumbles,2,,,,,
player,201609110phi,phi,WentCa00,fumbles_lost,0,,,,,
player,201609110phi,phi,MathRy00,pass_cmp,0,,,,,
player,201609110phi,phi,MathRy00,pass_att,0,,,,,
player,201609110phi,phi,MathRy00,pass_yds,0,,,,,
player,201609110phi,phi,MathRy00,pass_td,0,,,,,
player,201609110phi,phi,MathRy00,pass_int,0,,,,,
player,201609110phi,phi,MathRy00,pass_sacked,0,,,,,
player,201609110phi,phi,MathRy00,pass_sacked_yds,0,,,,,
player,201609110phi,phi,MathRy00,pass_long,0,,,,,
player,201609110phi,phi,MathRy00,pass_rating,,,,,,
player,201609110phi,phi,MathRy00,rush_att,22,,,,,
player,201609110phi,phi,MathRy00,rush_yds,77,,,,,
player,201609110phi,phi,MathRy00,rush_td,1,,,,,
player,201609110phi,phi,MathRy00,rush_long,7,,,,,
player,201609110phi,phi,MathRy00,targets,0,,,,,
player,201609110phi,phi,MathRy00,rec,0,,,,,
player,201609110phi,phi,MathRy00,rec_yds,0,,,,,
