game,2016,14,20161212,201612120nwe,rav,"Baltimore Ravens",23,nwe,"New England Patriots",30
player,201612120nwe,rav,PittDe00,rush_td,0,,,,,
player,201612120nwe,rav,PittDe00,rush_long,0,,,,,
player,201612120nwe,rav,PittDe00,targets,5,,,,,
player,201612120nwe,rav,PittDe00,rec,4,,,,,
player,201612120nwe,rav,PittDe00,rec_yds,18,,,,,
player,201612120nwe,rav,PittDe00,rec_td,0,,,,,
player,201612120nwe,rav,PittDe00,rec_long,10,,,,,
player,201612120nwe,rav,PittDe00,fumbles,0,,,,,
player,201612120nwe,rav,PittDe00,fumbles_lost,0,,,,,
player,201612120nwe,rav,BoylNi00,pass_cmp,0,,,,,
player,201612120nwe,rav,BoylNi00,pass_att,0,,,,,
player,201612120nwe,rav,BoylNi00,pass_yds,0,,,,,
player,201612120nwe,rav,BoylNi00,pass_td,0,,,,,
player,201612120nwe,rav,BoylNi00,pass_int,0,,,,,
player,201612120nwe,rav,BoylNi00,pass_sacked,0,,,,,
player,201612120nwe,rav,BoylNi00,pass_sacked_yds,0,,,,,
player,201612120nwe,rav,BoylNi00,pass_long,0,,,,,
player,201612120nwe,rav,BoylNi00,pass_rating,,,,,,
player,201612120nwe,rav,BoylNi00,rush_att,0,,,,,
player,201612120nwe,rav,BoylNi00,rush_yds,0,,,,,
player,201612120nwe,rav,BoylNi00,rush_td,0,,,,,
player,201612120nwe,rav,BoylNi00,rush_long,0,,,,,
player,201612120nwe,rav,BoylNi00,targets,3,,,,,
player,201612120nwe,rav,BoylNi00,rec,3,,,,,
player,201612120nwe,rav,BoylNi00,rec_yds,15,,,,,
player,201612120nwe,rav,BoylNi00,rec_td,0,,,,,
player,201612120nwe,rav,BoylNi00,rec_long,7,,,,,
player,201612120nwe,rav,BoylNi00,fumbles,0,,,,,
player,201612120nwe,rav,BoylNi00,fumbles_lost,0,,,,,
player,201612120nwe,rav,AikeKa00,pass_cmp,0,,,,,
player,201612120nwe,rav,AikeKa00,pass_att,0,,,,,
player,201612120nwe,rav,AikeKa00,pass_yds,0,,,,,
player,201612120nwe,rav,AikeKa00,pass_td,0,,,,,
player,201612120nwe,rav,AikeKa00,pass_int,0,,,,,
player,201612120nwe,rav,AikeKa00,pass_sacked,0,,,,,
player,201612120nwe,rav,AikeKa00,pass_sacked_yds,0,,,,,
player,201612120nwe,rav,AikeKa00,pass_long,0,,,,,
player,201612120nwe,rav,AikeKa00,pass_rating,,,,,,
player,201612120nwe,rav,AikeKa00,rush_att,0,,,,,
player,201612120nwe,rav,AikeKa00,rush_yds,0,,,,,
player,201612120nwe,rav,AikeKa00,rush_td,0,,,,,
player,201612120nwe,rav,AikeKa00,rush_long,0,,,,,
player,201612120nwe,rav,AikeKa00,targets,4,,,,,
player,201612120nwe,rav,AikeKa00,rec,1,,,,,
player,201612120nwe,rav,AikeKa00,rec_yds,10,,,,,
player,201612120nwe,rav,AikeKa00,rec_td,0,,,,,
player,201612120nwe,rav,AikeKa00,rec_long,10,,,,,
player,201612120nwe,rav,AikeKa00,fumbles,0,,,,,
player,201612120nwe,rav,AikeKa00,fumbles_lost,0,,,,,
player,201612120nwe,rav,MoorCh00,pass_cmp,0,,,,,
player,201612120nwe,rav,MoorCh00,pass_att,0,,,,,
player,201612120nwe,rav,MoorCh00,pass_yds,0,,,,,
player,201612120nwe,rav,MoorCh00,pass_td,0,,,,,
player,201612120nwe,rav,MoorCh00,pass_int,0,,,,,
player,201612120nwe,rav,MoorCh00,pass_sacked,0,,,,,
player,201612120nwe,rav,MoorCh00,pass_sacked_yds,0,,,,,
player,201612120nwe,rav,MoorCh00,pass_long,0,,,,,
player,201612120nwe,rav,MoorCh00,pass_rating,,,,,,
player,201612120nwe,rav,MoorCh00,rush_att,0,,,,,
player,201612120nwe,rav,MoorCh00,rush_yds,0,,,,,
player,201612120nwe,rav,MoorCh00,rush_td,0,,,,,
player,201612120nwe,rav,MoorCh00,rush_long,0,,,,,
player,201612120nwe,rav,MoorCh00,targets,1,,,,,
player,201612120nwe,rav,MoorCh00,rec,1,,,,,
player,201612120nwe,rav,MoorCh00,rec_yds,5,,,,,
player,201612120nwe,rav,MoorCh00,rec_td,0,,,,,
player,201612120nwe,rav,MoorCh00,rec_long,5,,,,,
player,201612120nwe,rav,MoorCh00,fumbles,0,,,,,
player,201612120nwe,rav,MoorCh00,fumbles_lost,0,,,,,
player,201612120nwe,rav,WallDa01,pass_cmp,0,,,,,
player,201612120nwe,rav,WallDa01,pass_att,0,,,,,
player,201612120nwe,rav,WallDa01,pass_yds,0,,,,,
player,201612120nwe,rav,WallDa01,pass_td,0,,,,,
player,201612120nwe,rav,WallDa01,pass_int,0,,,,,
player,201612120nwe,rav,WallDa01,pass_sacked,0,,,,,
player,201612120nwe,rav,WallDa01,pass_sacked_yds,0,,,,,
player,201612120nwe,rav,WallDa01,pass_long,0,,,,,
player,201612120nwe,rav,WallDa01,pass_rating,,,,,,
player,201612120nwe,rav,WallDa01,rush_att,0,,,,,
player,201612120nwe,rav,WallDa01,rush_yds,0,,,,,
