game,2016,15,20161218,201612180dal,tam,"Tampa Bay Buccaneers",20,dal,"Dallas Cowboys",26
player,201612180dal,tam,GholWi00,def_int_yds,0,,,,,
player,201612180dal,tam,GholWi00,def_int_td,0,,,,,
player,201612180dal,tam,GholWi00,def_int_long,0,,,,,
player,201612180dal,tam,GholWi00,pass_defended,0,,,,,
player,201612180dal,tam,GholWi00,sacks,1.0,,,,,
player,201612180dal,tam,GholWi00,tackles_combined,4,,,,,
player,201612180dal,tam,GholWi00,tackles_solo,2,,,,,
player,201612180dal,tam,GholWi00,tackles_assists,2,,,,,
player,201612180dal,tam,GholWi00,tackles_loss,1,,,,,
player,201612180dal,tam,GholWi00,qb_hits,1,,,,,
player,201612180dal,tam,GholWi00,fumbles_rec,0,,,,,
player,201612180dal,tam,GholWi00,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,GholWi00,fumbles_rec_td,0,,,,,
player,201612180dal,tam,GholWi00,fumbles_forced,0,,,,,
player,201612180dal,tam,SiliSe00,def_int,0,,,,,
player,201612180dal,tam,SiliSe00,def_int_yds,0,,,,,
player,201612180dal,tam,SiliSe00,def_int_td,0,,,,,
player,201612180dal,tam,SiliSe00,def_int_long,0,,,,,
player,201612180dal,tam,SiliSe00,pass_defended,0,,,,,
player,201612180dal,tam,SiliSe00,sacks,1.0,,,,,
player,201612180dal,tam,SiliSe00,tackles_combined,2,,,,,
player,201612180dal,tam,SiliSe00,tackles_solo,2,,,,,
player,201612180dal,tam,SiliSe00,tackles_assists,0,,,,,
player,201612180dal,tam,SiliSe00,tackles_loss,1,,,,,
player,201612180dal,tam,SiliSe00,qb_hits,1,,,,,
player,201612180dal,tam,SiliSe00,fumbles_rec,0,,,,,
player,201612180dal,tam,SiliSe00,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,SiliSe00,fumbles_rec_td,0,,,,,
player,201612180dal,tam,SiliSe00,fumbles_forced,0,,,,,
player,201612180dal,tam,AlexKw00,def_int,0,,,,,
player,201612180dal,tam,AlexKw00,def_int_yds,0,,,,,
player,201612180dal,tam,AlexKw00,def_int_td,0,,,,,
player,201612180dal,tam,AlexKw00,def_int_long,0,,,,,
player,201612180dal,tam,AlexKw00,pass_defended,0,,,,,
player,201612180dal,tam,AlexKw00,sacks,0.0,,,,,
player,201612180dal,tam,AlexKw00,tackles_combined,21,,,,,
player,201612180dal,tam,AlexKw00,tackles_solo,11,,,,,
player,201612180dal,tam,AlexKw00,tackles_assists,10,,,,,
player,201612180dal,tam,AlexKw00,tackles_loss,2,,,,,
player,201612180dal,tam,AlexKw00,qb_hits,0,,,,,
player,201612180dal,tam,AlexKw00,fumbles_rec,0,,,,,
player,201612180dal,tam,AlexKw00,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,AlexKw00,fumbles_rec_td,0,,,,,
player,201612180dal,tam,AlexKw00,fumbles_forced,1,,,,,
player,201612180dal,tam,TandKe00,def_int,0,,,,,
player,201612180dal,tam,TandKe00,def_int_yds,0,,,,,
player,201612180dal,tam,TandKe00,def_int_td,0,,,,,
player,201612180dal,tam,TandKe00,def_int_long,0,,,,,
player,201612180dal,tam,TandKe00,pass_defended,0,,,,,
player,201612180dal,tam,TandKe00,sacks,0.0,,,,,
player,201612180dal,tam,TandKe00,tackles_combined,14,,,,,
player,201612180dal,tam,TandKe00,tackles_solo,9,,,,,
player,201612180dal,tam,TandKe00,tackles_assists,5,,,,,
player,201612180dal,tam,TandKe00,tackles_loss,0,,,,,
player,201612180dal,tam,TandKe00,qb_hits,0,,,,,
player,201612180dal,tam,TandKe00,fumbles_rec,0,,,,,
player,201612180dal,tam,TandKe00,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,TandKe00,fumbles_rec_td,0,,,,,
player,201612180dal,tam,TandKe00,fumbles_forced,0,,,,,
player,201612180dal,tam,McDoBr01,def_int,0,,,,,
player,201612180dal,tam,McDoBr01,def_int_yds,0,,,,,
player,201612180dal,tam,McDoBr01,def_int_td,0,,,,,
player,201612180dal,tam,McDoBr01,def_int_long,0,,,,,
player,201612180dal,tam,McDoBr01,pass_defended,0,,,,,
player,201612180dal,tam,McDoBr01,sacks,0.0,,,,,
player,201612180dal,tam,McDoBr01,tackles_combined,8,,,,,
player,201612180dal,tam,McDoBr01,tackles_solo,5,,,,,
player,201612180dal,tam,McDoBr01,tackles_assists,3,,,,,
player,201612180dal,tam,McDoBr01,tackles_loss,0,,,,,
player,201612180dal,tam,McDoBr01,qb_hits,0,,,,,
player,201612180dal,tam,McDoBr01,fumbles_rec,0,,,,,
player,201612180dal,tam,McDoBr01,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,McDoBr01,fumbles_rec_td,0,,,,,
player,201612180dal,tam,McDoBr01,fumbles_forced,0,,,,,
player,201612180dal,tam,GrimBr20,def_int,0,,,,,
player,201612180dal,tam,GrimBr20,def_int_yds,0,,,,,
player,201612180dal,tam,GrimBr20,def_int_td,0,,,,,
player,201612180dal,tam,GrimBr20,def_int_long,0,,,,,
player,201612180dal,tam,GrimBr20,pass_defended,2,,,,,
player,201612180dal,tam,GrimBr20,sacks,0.0,,,,,
player,201612180dal,tam,GrimBr20,tackles_combined,6,,,,,
player,201612180dal,tam,GrimBr20,tackles_solo,5,,,,,
player,201612180dal,tam,GrimBr20,tackles_assists,1,,,,,
player,201612180dal,tam,GrimBr20,tackles_loss,0,,,,,
player,201612180dal,tam,GrimBr20,qb_hits,0,,,,,
