game,2016,4,20161002,201610020sdg,nor,"New Orleans Saints",35,sdg,"San Diego Chargers",34
player,201610020sdg,nor,IngrMa01,rec_long,20,,,,,
player,201610020sdg,nor,IngrMa01,fumbles,0,,,,,
player,201610020sdg,nor,IngrMa01,fumbles_lost,0,,,,,
player,201610020sdg,nor,LascDa00,pass_cmp,0,,,,,
player,201610020sdg,nor,LascDa00,pass_att,0,,,,,
player,201610020sdg,nor,LascDa00,pass_yds,0,,,,,
player,201610020sdg,nor,LascDa00,pass_td,0,,,,,
player,201610020sdg,nor,LascDa00,pass_int,0,,,,,
player,201610020sdg,nor,LascDa00,pass_sacked,0,,,,,
player,201610020sdg,nor,LascDa00,pass_sacked_yds,0,,,,,
player,201610020sdg,nor,LascDa00,pass_long,0,,,,,
player,201610020sdg,nor,LascDa00,pass_rating,,,,,,
player,201610020sdg,nor,LascDa00,rush_att,4,,,,,
player,201610020sdg,nor,LascDa00,rush_yds,12,,,,,
player,201610020sdg,nor,LascDa00,rush_td,0,,,,,
player,201610020sdg,nor,LascDa00,rush_long,6,,,,,
player,201610020sdg,nor,LascDa00,targets,2,,,,,
player,201610020sdg,nor,LascDa00,rec,1,,,,,
player,201610020sdg,nor,LascDa00,rec_yds,7,,,,,
player,201610020sdg,nor,LascDa00,rec_td,0,,,,,
player,201610020sdg,nor,LascDa00,rec_long,7,,,,,
player,201610020sdg,nor,LascDa00,fumbles,0,,,,,
player,201610020sdg,nor,LascDa00,fumbles_lost,0,,,,,
player,201610020sdg,nor,HighTi00,pass_cmp,0,,,,,
player,201610020sdg,nor,HighTi00,pass_att,0,,,,,
player,201610020sdg,nor,HighTi00,pass_yds,0,,,,,
player,201610020sdg,nor,HighTi00,pass_td,0,,,,,
player,201610020sdg,nor,HighTi00,pass_int,0,,,,,
player,201610020sdg,nor,HighTi00,pass_sacked,0,,,,,
player,201610020sdg,nor,HighTi00,pass_sacked_yds,0,,,,,
player,201610020sdg,nor,HighTi00,pass_long,0,,,,,
player,201610020sdg,nor,HighTi00,pass_rating,,,,,,
player,201610020sdg,nor,HighTi00,rush_att,4,,,,,
player,201610020sdg,nor,HighTi00,rush_yds,11,,,,,
player,201610020sdg,nor,HighTi00,rush_td,0,,,,,
player,201610020sdg,nor,HighTi00,rush_long,4,,,,,
player,201610020sdg,nor,HighTi00,targets,0,,,,,
player,201610020sdg,nor,HighTi00,rec,0,,,,,
player,201610020sdg,nor,HighTi00,rec_yds,0,,,,,
player,201610020sdg,nor,HighTi00,rec_td,0,,,,,
player,201610020sdg,nor,HighTi00,rec_long,0,,,,,
player,201610020sdg,nor,HighTi00,fumbles,0,,,,,
player,201610020sdg,nor,HighTi00,fumbles_lost,0,,,,,
player,201610020sdg,nor,KuhnJo00,pass_cmp,0,,,,,
player,201610020sdg,nor,KuhnJo00,pass_att,0,,,,,
player,201610020sdg,nor,KuhnJo00,pass_yds,0,,,,,
player,201610020sdg,nor,KuhnJo00,pass_td,0,,,,,
player,201610020sdg,nor,KuhnJo00,pass_int,0,,,,,
player,201610020sdg,nor,KuhnJo00,pass_sacked,0,,,,,
player,201610020sdg,nor,KuhnJo00,pass_sacked_yds,0,,,,,
player,201610020sdg,nor,KuhnJo00,pass_long,0,,,,,
player,201610020sdg,nor,KuhnJo00,pass_rating,,,,,,
player,201610020sdg,nor,KuhnJo00,rush_att,3,,,,,
player,201610020sdg,nor,KuhnJo00,rush_yds,5,,,,,
player,201610020sdg,nor,KuhnJo00,rush_td,2,,,,,
player,201610020sdg,nor,KuhnJo00,rush_long,3,,,,,
player,201610020sdg,nor,KuhnJo00,targets,2,,,,,
player,201610020sdg,nor,KuhnJo00,rec,2,,,,,
player,201610020sdg,nor,KuhnJo00,rec_yds,7,,,,,
player,201610020sdg,nor,KuhnJo00,rec_td,1,,,,,
player,201610020sdg,nor,KuhnJo00,rec_long,4,,,,,
player,201610020sdg,nor,KuhnJo00,fumbles,0,,,,,
player,201610020sdg,nor,KuhnJo00,fumbles_lost,0,,,,,
player,201610020sdg,nor,LewiTo00,pass_cmp,0,,,,,
player,201610020sdg,nor,LewiTo00,pass_att,0,,,,,
player,201610020sdg,nor,LewiTo00,pass_yds,0,,,,,
player,201610020sdg,nor,LewiTo00,pass_td,0,,,,,
player,201610020sdg,nor,LewiTo00,pass_int,0,,,,,
player,201610020sdg,nor,LewiTo00,pass_sacked,0,,,,,
player,201610020sdg,nor,LewiTo00,pass_sacked_yds,0,,,,,
player,201610020sdg,nor,LewiTo00,pass_long,0,,,,,
player,201610020sdg,nor,LewiTo00,pass_rating,,,,,,
player,201610020sdg,nor,LewiTo00,rush_att,1,,,,,
player,201610020sdg,nor,LewiTo00,rush_yds,3,,,,,
player,201610020sdg,nor,LewiTo00,rush_td,0,,,,,
player,201610020sdg,nor,LewiTo00,rush_long,3,,,,,
player,201610020sdg,nor,LewiTo00,targets,1,,,,,
player,201610020sdg,nor,LewiTo00,rec,1,,,,,
player,201610020sdg,nor,LewiTo00,rec_yds,10,,,,,
player,201610020sdg,nor,LewiTo00,rec_td,0,,,,,
player,201610020sdg,nor,LewiTo00,rec_long,10,,,,,
player,201610020sdg,nor,LewiTo00,fumbles,0,,,,,
player,201610020sdg,nor,LewiTo00,fumbles_lost,0,,,,,
player,201610020sdg,nor,ThomMi05,pass_cmp,0,,,,,
player,201610020sdg,nor,ThomMi05,pass_att,0,,,,,
player,201610020sdg,nor,ThomMi05,pass_yds,0,,,,,
player,201610020sdg,nor,ThomMi05,pass_td,0,,,,,
player,201610020sdg,nor,ThomMi05,pass_int,0,,,,,
player,201610020sdg,nor,ThomMi05,pass_sacked,0,,,,,
player,201610020sdg,nor,ThomMi05,pass_sacked_yds,0,,,,,
player,201610020sdg,nor,ThomMi05,pass_long,0,,,,,
player,201610020sdg,nor,ThomMi05,pass_rating,,,,,,
player,201610020sdg,nor,ThomMi05,rush_att,0,,,,,
player,201610020sdg,nor,ThomMi05,rush_yds,0,,,,,
player,201610020sdg,nor,ThomMi05,rush_td,0,,,,,
player,201610020sdg,nor,ThomMi05,rush_long,0,,,,,
player,201610020sdg,nor,ThomMi05,targets,9,,,,,
player,201610020sdg,nor,ThomMi05,rec,4,,,,,
player,201610020sdg,nor,ThomMi05,rec_yds,44,,,,,
player,201610020sdg,nor,ThomMi05,rec_td,1,,,,,
player,201610020sdg,nor,ThomMi05,rec_long,15,,,,,
player,201610020sdg,nor,ThomMi05,fumbles,0,,,,,
player,201610020sdg,nor,ThomMi05,fumbles_lost,0,,,,,
player,201610020sdg,nor,CookBr00,pass_cmp,0,,,,,
player,201610020sdg,nor,CookBr00,pass_att,0,,,,,
player,201610020sdg,nor,CookBr00,pass_yds,0,,,,,
player,201610020sdg,nor,CookBr00,pass_td,0,,,,,
player,201610020sdg,nor,CookBr00,pass_int,0,,,,,
player,201610020sdg,nor,CookBr00,pass_sacked,0,,,,,
player,201610020sdg,nor,CookBr00,pass_sacked_yds,0,,,,,
player,201610020sdg,nor,CookBr00,pass_long,0,,,,,
player,201610020sdg,nor,CookBr00,pass_rating,,,,,,
player,201610020sdg,nor,CookBr00,rush_att,0,,,,,
player,201610020sdg,nor,CookBr00,rush_yds,0,,,,,
player,201610020sdg,nor,CookBr00,rush_td,0,,,,,
player,201610020sdg,nor,CookBr00,rush_long,0,,,,,
player,201610020sdg,nor,CookBr00,targets,6,,,,,
player,201610020sdg,nor,CookBr00,rec,3,,,,,
player,201610020sdg,nor,CookBr00,rec_yds,31,,,,,
player,201610020sdg,nor,CookBr00,rec_td,0,,,,,
player,201610020sdg,nor,CookBr00,rec_long,15,,,,,
player,201610020sdg,nor,CookBr00,fumbles,0,,,,,
player,201610020sdg,nor,CookBr00,fumbles_lost,0,,,,,
player,201610020sdg,nor,SneaWi00,pass_cmp,0,,,,,
player,201610020sdg,nor,SneaWi00,pass_att,0,,,,,
player,201610020sdg,nor,SneaWi00,pass_yds,0,,,,,
player,201610020sdg,nor,SneaWi00,pass_td,0,,,,,
player,201610020sdg,nor,SneaWi00,pass_int,0,,,,,
player,201610020sdg,nor,SneaWi00,pass_sacked,0,,,,,
player,201610020sdg,nor,SneaWi00,pass_sacked_yds,0,,,,,
player,201610020sdg,nor,SneaWi00,pass_long,0,,,,,
player,201610020sdg,nor,SneaWi00,pass_rating,,,,,,
player,201610020sdg,nor,SneaWi00,rush_att,0,,,,,
player,201610020sdg,nor,SneaWi00,rush_yds,0,,,,,
player,201610020sdg,nor,SneaWi00,rush_td,0,,,,,
player,201610020sdg,nor,SneaWi00,rush_long,0,,,,,
player,201610020sdg,nor,SneaWi00,targets,1,,,,,
player,201610020sdg,nor,SneaWi00,rec,1,,,,,
player,201610020sdg,nor,SneaWi00,rec_yds,23,,,,,
player,201610020sdg,nor,SneaWi00,rec_td,0,,,,,
player,201610020sdg,nor,SneaWi00,rec_long,23,,,,,
player,201610020sdg,nor,SneaWi00,fumbles,0,,,,,
player,201610020sdg,nor,SneaWi00,fumbles_lost,0,,,,,
player,201610020sdg,nor,FleeCo00,pass_cmp,0,,,,,
player,201610020sdg,nor,FleeCo00,pass_att,0,,,,,
player,201610020sdg,nor,FleeCo00,pass_yds,0,,,,,
player,201610020sdg,nor,FleeCo00,pass_td,0,,,,,
player,201610020sdg,nor,FleeCo00,pass_int,0,,,,,
player,201610020sdg,nor,FleeCo00,pass_sacked,0,,,,,
player,201610020sdg,nor,FleeCo00,pass_sacked_yds,0,,,,,
player,201610020sdg,nor,FleeCo00,pass_long,0,,,,,
player,201610020sdg,nor,FleeCo00,pass_rating,,,,,,
player,201610020sdg,nor,FleeCo00,rush_att,0,,,,,
player,201610020sdg,nor,FleeCo00,rush_yds,0,,,,,
player,201610020sdg,nor,FleeCo00,rush_td,0,,,,,
player,201610020sdg,nor,FleeCo00,rush_long,0,,,,,
player,201610020sdg,nor,FleeCo00,targets,5,,,,,
player,201610020sdg,nor,FleeCo00,rec,3,,,,,
player,201610020sdg,nor,FleeCo00,rec_yds,19,,,,,
player,201610020sdg,nor,FleeCo00,rec_td,0,,,,,
player,201610020sdg,nor,FleeCo00,rec_long,9,,,,,
player,201610020sdg,nor,FleeCo00,fumbles,0,,,,,
player,201610020sdg,nor,FleeCo00,fumbles_lost,0,,,,,
player,201610020sdg,nor,ColeBr00,pass_cmp,0,,,,,
player,201610020sdg,nor,ColeBr00,pass_att,0,,,,,
player,201610020sdg,nor,ColeBr00,pass_yds,0,,,,,
player,201610020sdg,nor,ColeBr00,pass_td,0,,,,,
player,201610020sdg,nor,ColeBr00,pass_int,0,,,,,
player,201610020sdg,nor,ColeBr00,pass_sacked,0,,,,,
player,201610020sdg,nor,ColeBr00,pass_sacked_yds,0,,,,,
player,201610020sdg,nor,ColeBr00,pass_long,0,,,,,
player,201610020sdg,nor,ColeBr00,pass_rating,,,,,,
player,201610020sdg,nor,ColeBr00,rush_att,0,,,,,
player,201610020sdg,nor,ColeBr00,rush_yds,0,,,,,
player,201610020sdg,nor,ColeBr00,rush_td,0,,,,,
player,201610020sdg,nor,ColeBr00,rush_long,0,,,,,
player,201610020sdg,nor,ColeBr00,targets,3,,,,,
player,201610020sdg,nor,ColeBr00,rec,2,,,,,
player,201610020sdg,nor,ColeBr00,rec_yds,17,,,,,
player,201610020sdg,nor,ColeBr00,rec_td,0,,,,,
player,201610020sdg,nor,ColeBr00,rec_long,11,,,,,
player,201610020sdg,nor,ColeBr00,fumbles,0,,,,,
player,201610020sdg,nor,ColeBr00,fumbles_lost,0,,,,,
player,201610020sdg,sdg,RivePh00,pass_cmp,28,,,,,
player,201610020sdg,sdg,RivePh00,pass_att,43,,,,,
player,201610020sdg,sdg,RivePh00,pass_yds,321,,,,,
player,201610020sdg,sdg,RivePh00,pass_td,2,,,,,
player,201610020sdg,sdg,RivePh00,pass_int,1,,,,,
player,201610020sdg,sdg,RivePh00,pass_sacked,3,,,,,
player,201610020sdg,sdg,RivePh00,pass_sacked_yds,13,,,,,
player,201610020sdg,sdg,RivePh00,pass_long,57,,,,,
player,201610020sdg,sdg,RivePh00,pass_rating,93.3,,,,,
player,201610020sdg,sdg,RivePh00,rush_att,1,,,,,
player,201610020sdg,sdg,RivePh00,rush_yds,0,,,,,
player,201610020sdg,sdg,RivePh00,rush_td,0,,,,,
player,201610020sdg,sdg,RivePh00,rush_long,0,,,,,
player,201610020sdg,sdg,RivePh00,targets,0,,,,,
player,201610020sdg,sdg,RivePh00,rec,0,,,,,
player,201610020sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201610020sdg,sdg,RivePh00,rec_td,0,,,,,
player,201610020sdg,sdg,RivePh00,rec_long,0,,,,,
player,201610020sdg,sdg,RivePh00,fumbles,2,,,,,
player,201610020sdg,sdg,RivePh00,fumbles_lost,0,,,,,
player,201610020sdg,sdg,GordMe00,pass_cmp,0,,,,,
player,201610020sdg,sdg,GordMe00,pass_att,0,,,,,
player,201610020sdg,sdg,GordMe00,pass_yds,0,,,,,
player,201610020sdg,sdg,GordMe00,pass_td,0,,,,,
player,201610020sdg,sdg,GordMe00,pass_int,0,,,,,
player,201610020sdg,sdg,GordMe00,pass_sacked,0,,,,,
player,201610020sdg,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201610020sdg,sdg,GordMe00,pass_long,0,,,,,
player,201610020sdg,sdg,GordMe00,pass_rating,,,,,,
player,201610020sdg,sdg,GordMe00,rush_att,19,,,,,
player,201610020sdg,sdg,GordMe00,rush_yds,36,,,,,
player,201610020sdg,sdg,GordMe00,rush_td,2,,,,,
player,201610020sdg,sdg,GordMe00,rush_long,10,,,,,
player,201610020sdg,sdg,GordMe00,targets,7,,,,,
player,201610020sdg,sdg,GordMe00,rec,6,,,,,
player,201610020sdg,sdg,GordMe00,rec_yds,43,,,,,
player,201610020sdg,sdg,GordMe00,rec_td,0,,,,,
player,201610020sdg,sdg,GordMe00,rec_long,12,,,,,
player,201610020sdg,sdg,GordMe00,fumbles,1,,,,,
player,201610020sdg,sdg,GordMe00,fumbles_lost,1,,,,,
player,201610020sdg,sdg,McClDe00,pass_cmp,0,,,,,
player,201610020sdg,sdg,McClDe00,pass_att,0,,,,,
player,201610020sdg,sdg,McClDe00,pass_yds,0,,,,,
player,201610020sdg,sdg,McClDe00,pass_td,0,,,,,
player,201610020sdg,sdg,McClDe00,pass_int,0,,,,,
player,201610020sdg,sdg,McClDe00,pass_sacked,0,,,,,
player,201610020sdg,sdg,McClDe00,pass_sacked_yds,0,,,,,
player,201610020sdg,sdg,McClDe00,pass_long,0,,,,,
player,201610020sdg,sdg,McClDe00,pass_rating,,,,,,
player,201610020sdg,sdg,McClDe00,rush_att,1,,,,,
player,201610020sdg,sdg,McClDe00,rush_yds,2,,,,,
player,201610020sdg,sdg,McClDe00,rush_td,0,,,,,
player,201610020sdg,sdg,McClDe00,rush_long,2,,,,,
player,201610020sdg,sdg,McClDe00,targets,3,,,,,
player,201610020sdg,sdg,McClDe00,rec,2,,,,,
player,201610020sdg,sdg,McClDe00,rec_yds,9,,,,,
player,201610020sdg,sdg,McClDe00,rec_td,0,,,,,
player,201610020sdg,sdg,McClDe00,rec_long,7,,,,,
player,201610020sdg,sdg,McClDe00,fumbles,0,,,,,
player,201610020sdg,sdg,McClDe00,fumbles_lost,0,,,,,
player,201610020sdg,sdg,InmaDo00,pass_cmp,0,,,,,
player,201610020sdg,sdg,InmaDo00,pass_att,0,,,,,
player,201610020sdg,sdg,InmaDo00,pass_yds,0,,,,,
player,201610020sdg,sdg,InmaDo00,pass_td,0,,,,,
player,201610020sdg,sdg,InmaDo00,pass_int,0,,,,,
player,201610020sdg,sdg,InmaDo00,pass_sacked,0,,,,,
player,201610020sdg,sdg,InmaDo00,pass_sacked_yds,0,,,,,
player,201610020sdg,sdg,InmaDo00,pass_long,0,,,,,
player,201610020sdg,sdg,InmaDo00,pass_rating,,,,,,
player,201610020sdg,sdg,InmaDo00,rush_att,0,,,,,
player,201610020sdg,sdg,InmaDo00,rush_yds,0,,,,,
player,201610020sdg,sdg,InmaDo00,rush_td,0,,,,,
player,201610020sdg,sdg,InmaDo00,rush_long,0,,,,,
player,201610020sdg,sdg,InmaDo00,targets,11,,,,,
player,201610020sdg,sdg,InmaDo00,rec,7,,,,,
player,201610020sdg,sdg,InmaDo00,rec_yds,120,,,,,
player,201610020sdg,sdg,InmaDo00,rec_td,1,,,,,
player,201610020sdg,sdg,InmaDo00,rec_long,57,,,,,
player,201610020sdg,sdg,InmaDo00,fumbles,0,,,,,
player,201610020sdg,sdg,InmaDo00,fumbles_lost,0,,,,,
player,201610020sdg,sdg,HenrHu00,pass_cmp,0,,,,,
player,201610020sdg,sdg,HenrHu00,pass_att,0,,,,,
player,201610020sdg,sdg,HenrHu00,pass_yds,0,,,,,
player,201610020sdg,sdg,HenrHu00,pass_td,0,,,,,
player,201610020sdg,sdg,HenrHu00,pass_int,0,,,,,
player,201610020sdg,sdg,HenrHu00,pass_sacked,0,,,,,
player,201610020sdg,sdg,HenrHu00,pass_sacked_yds,0,,,,,
player,201610020sdg,sdg,HenrHu00,pass_long,0,,,,,
player,201610020sdg,sdg,HenrHu00,pass_rating,,,,,,
player,201610020sdg,sdg,HenrHu00,rush_att,0,,,,,
player,201610020sdg,sdg,HenrHu00,rush_yds,0,,,,,
player,201610020sdg,sdg,HenrHu00,rush_td,0,,,,,
player,201610020sdg,sdg,HenrHu00,rush_long,0,,,,,
player,201610020sdg,sdg,HenrHu00,targets,7,,,,,
player,201610020sdg,sdg,HenrHu00,rec,4,,,,,
player,201610020sdg,sdg,HenrHu00,rec_yds,61,,,,,
player,201610020sdg,sdg,HenrHu00,rec_td,1,,,,,
player,201610020sdg,sdg,HenrHu00,rec_long,20,,,,,
player,201610020sdg,sdg,HenrHu00,fumbles,0,,,,,
player,201610020sdg,sdg,HenrHu00,fumbles_lost,0,,,,,
player,201610020sdg,sdg,BenjTr00,pass_cmp,0,,,,,
player,201610020sdg,sdg,BenjTr00,pass_att,0,,,,,
player,201610020sdg,sdg,BenjTr00,pass_yds,0,,,,,
player,201610020sdg,sdg,BenjTr00,pass_td,0,,,,,
player,201610020sdg,sdg,BenjTr00,pass_int,0,,,,,
player,201610020sdg,sdg,BenjTr00,pass_sacked,0,,,,,
player,201610020sdg,sdg,BenjTr00,pass_sacked_yds,0,,,,,
player,201610020sdg,sdg,BenjTr00,pass_long,0,,,,,
player,201610020sdg,sdg,BenjTr00,pass_rating,,,,,,
player,201610020sdg,sdg,BenjTr00,rush_att,0,,,,,
player,201610020sdg,sdg,BenjTr00,rush_yds,0,,,,,
player,201610020sdg,sdg,BenjTr00,rush_td,0,,,,,
player,201610020sdg,sdg,BenjTr00,rush_long,0,,,,,
player,201610020sdg,sdg,BenjTr00,targets,7,,,,,
player,201610020sdg,sdg,BenjTr00,rec,4,,,,,
player,201610020sdg,sdg,BenjTr00,rec_yds,48,,,,,
player,201610020sdg,sdg,BenjTr00,rec_td,0,,,,,
player,201610020sdg,sdg,BenjTr00,rec_long,25,,,,,
player,201610020sdg,sdg,BenjTr00,fumbles,1,,,,,
player,201610020sdg,sdg,BenjTr00,fumbles_lost,1,,,,,
player,201610020sdg,sdg,WillTy00,pass_cmp,0,,,,,
player,201610020sdg,sdg,WillTy00,pass_att,0,,,,,
player,201610020sdg,sdg,WillTy00,pass_yds,0,,,,,
player,201610020sdg,sdg,WillTy00,pass_td,0,,,,,
player,201610020sdg,sdg,WillTy00,pass_int,0,,,,,
player,201610020sdg,sdg,WillTy00,pass_sacked,0,,,,,
player,201610020sdg,sdg,WillTy00,pass_sacked_yds,0,,,,,
player,201610020sdg,sdg,WillTy00,pass_long,0,,,,,
player,201610020sdg,sdg,WillTy00,pass_rating,,,,,,
player,201610020sdg,sdg,WillTy00,rush_att,0,,,,,
player,201610020sdg,sdg,WillTy00,rush_yds,0,,,,,
player,201610020sdg,sdg,WillTy00,rush_td,0,,,,,
player,201610020sdg,sdg,WillTy00,rush_long,0,,,,,
player,201610020sdg,sdg,WillTy00,targets,8,,,,,
player,201610020sdg,sdg,WillTy00,rec,5,,,,,
player,201610020sdg,sdg,WillTy00,rec_yds,40,,,,,
player,201610020sdg,sdg,WillTy00,rec_td,0,,,,,
player,201610020sdg,sdg,WillTy00,rec_long,16,,,,,
player,201610020sdg,sdg,WillTy00,fumbles,0,,,,,
player,201610020sdg,sdg,WillTy00,fumbles_lost,0,,,,,
player,201610020sdg,nor,WebbBW00,def_int,1,,,,,
player,201610020sdg,nor,WebbBW00,def_int_yds,7,,,,,
player,201610020sdg,nor,WebbBW00,def_int_td,0,,,,,
player,201610020sdg,nor,WebbBW00,def_int_long,7,,,,,
player,201610020sdg,nor,WebbBW00,pass_defended,3,,,,,
player,201610020sdg,nor,WebbBW00,sacks,0.0,,,,,
player,201610020sdg,nor,WebbBW00,tackles_combined,3,,,,,
player,201610020sdg,nor,WebbBW00,tackles_solo,3,,,,,
player,201610020sdg,nor,WebbBW00,tackles_assists,0,,,,,
player,201610020sdg,nor,WebbBW00,tackles_loss,0,,,,,
player,201610020sdg,nor,WebbBW00,qb_hits,0,,,,,
player,201610020sdg,nor,WebbBW00,fumbles_rec,0,,,,,
player,201610020sdg,nor,WebbBW00,fumbles_rec_yds,0,,,,,
player,201610020sdg,nor,WebbBW00,fumbles_rec_td,0,,,,,
player,201610020sdg,nor,WebbBW00,fumbles_forced,0,,,,,
player,201610020sdg,nor,FairNi00,def_int,0,,,,,
player,201610020sdg,nor,FairNi00,def_int_yds,0,,,,,
player,201610020sdg,nor,FairNi00,def_int_td,0,,,,,
player,201610020sdg,nor,FairNi00,def_int_long,0,,,,,
player,201610020sdg,nor,FairNi00,pass_defended,0,,,,,
player,201610020sdg,nor,FairNi00,sacks,1.5,,,,,
player,201610020sdg,nor,FairNi00,tackles_combined,3,,,,,
player,201610020sdg,nor,FairNi00,tackles_solo,2,,,,,
player,201610020sdg,nor,FairNi00,tackles_assists,1,,,,,
player,201610020sdg,nor,FairNi00,tackles_loss,1,,,,,
player,201610020sdg,nor,FairNi00,qb_hits,6,,,,,
player,201610020sdg,nor,FairNi00,fumbles_rec,0,,,,,
player,201610020sdg,nor,FairNi00,fumbles_rec_yds,0,,,,,
player,201610020sdg,nor,FairNi00,fumbles_rec_td,0,,,,,
player,201610020sdg,nor,FairNi00,fumbles_forced,0,,,,,
player,201610020sdg,nor,JordCa00,def_int,0,,,,,
player,201610020sdg,nor,JordCa00,def_int_yds,0,,,,,
player,201610020sdg,nor,JordCa00,def_int_td,0,,,,,
player,201610020sdg,nor,JordCa00,def_int_long,0,,,,,
player,201610020sdg,nor,JordCa00,pass_defended,0,,,,,
player,201610020sdg,nor,JordCa00,sacks,1.0,,,,,
player,201610020sdg,nor,JordCa00,tackles_combined,4,,,,,
player,201610020sdg,nor,JordCa00,tackles_solo,4,,,,,
player,201610020sdg,nor,JordCa00,tackles_assists,0,,,,,
player,201610020sdg,nor,JordCa00,tackles_loss,2,,,,,
player,201610020sdg,nor,JordCa00,qb_hits,2,,,,,
player,201610020sdg,nor,JordCa00,fumbles_rec,0,,,,,
player,201610020sdg,nor,JordCa00,fumbles_rec_yds,0,,,,,
player,201610020sdg,nor,JordCa00,fumbles_rec_td,0,,,,,
player,201610020sdg,nor,JordCa00,fumbles_forced,1,,,,,
player,201610020sdg,nor,KrugPa99,def_int,0,,,,,
player,201610020sdg,nor,KrugPa99,def_int_yds,0,,,,,
player,201610020sdg,nor,KrugPa99,def_int_td,0,,,,,
player,201610020sdg,nor,KrugPa99,def_int_long,0,,,,,
player,201610020sdg,nor,KrugPa99,pass_defended,1,,,,,
player,201610020sdg,nor,KrugPa99,sacks,0.5,,,,,
player,201610020sdg,nor,KrugPa99,tackles_combined,2,,,,,
player,201610020sdg,nor,KrugPa99,tackles_solo,2,,,,,
player,201610020sdg,nor,KrugPa99,tackles_assists,0,,,,,
