game,2016,11,20161120,201611200ram,mia,"Miami Dolphins",14,ram,"Los Angeles Rams",10
player,201611200ram,ram,AustTa00,rec_long,21,,,,,
player,201611200ram,ram,AustTa00,fumbles,0,,,,,
player,201611200ram,ram,AustTa00,fumbles_lost,0,,,,,
player,201611200ram,ram,CunnBe01,pass_cmp,0,,,,,
player,201611200ram,ram,CunnBe01,pass_att,0,,,,,
player,201611200ram,ram,CunnBe01,pass_yds,0,,,,,
player,201611200ram,ram,CunnBe01,pass_td,0,,,,,
player,201611200ram,ram,CunnBe01,pass_int,0,,,,,
player,201611200ram,ram,CunnBe01,pass_sacked,0,,,,,
player,201611200ram,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201611200ram,ram,CunnBe01,pass_long,0,,,,,
player,201611200ram,ram,CunnBe01,pass_rating,,,,,,
player,201611200ram,ram,CunnBe01,rush_att,2,,,,,
player,201611200ram,ram,CunnBe01,rush_yds,7,,,,,
player,201611200ram,ram,CunnBe01,rush_td,0,,,,,
player,201611200ram,ram,CunnBe01,rush_long,6,,,,,
player,201611200ram,ram,CunnBe01,targets,2,,,,,
player,201611200ram,ram,CunnBe01,rec,1,,,,,
player,201611200ram,ram,CunnBe01,rec_yds,-3,,,,,
player,201611200ram,ram,CunnBe01,rec_td,0,,,,,
player,201611200ram,ram,CunnBe01,rec_long,-3,,,,,
player,201611200ram,ram,CunnBe01,fumbles,0,,,,,
player,201611200ram,ram,CunnBe01,fumbles_lost,0,,,,,
player,201611200ram,ram,BritKe00,pass_cmp,0,,,,,
player,201611200ram,ram,BritKe00,pass_att,0,,,,,
player,201611200ram,ram,BritKe00,pass_yds,0,,,,,
player,201611200ram,ram,BritKe00,pass_td,0,,,,,
player,201611200ram,ram,BritKe00,pass_int,0,,,,,
player,201611200ram,ram,BritKe00,pass_sacked,0,,,,,
player,201611200ram,ram,BritKe00,pass_sacked_yds,0,,,,,
player,201611200ram,ram,BritKe00,pass_long,0,,,,,
player,201611200ram,ram,BritKe00,pass_rating,,,,,,
player,201611200ram,ram,BritKe00,rush_att,0,,,,,
player,201611200ram,ram,BritKe00,rush_yds,0,,,,,
player,201611200ram,ram,BritKe00,rush_td,0,,,,,
player,201611200ram,ram,BritKe00,rush_long,0,,,,,
player,201611200ram,ram,BritKe00,targets,7,,,,,
player,201611200ram,ram,BritKe00,rec,5,,,,,
player,201611200ram,ram,BritKe00,rec_yds,43,,,,,
player,201611200ram,ram,BritKe00,rec_td,0,,,,,
player,201611200ram,ram,BritKe00,rec_long,19,,,,,
player,201611200ram,ram,BritKe00,fumbles,0,,,,,
player,201611200ram,ram,BritKe00,fumbles_lost,0,,,,,
player,201611200ram,ram,KendLa00,pass_cmp,0,,,,,
player,201611200ram,ram,KendLa00,pass_att,0,,,,,
player,201611200ram,ram,KendLa00,pass_yds,0,,,,,
player,201611200ram,ram,KendLa00,pass_td,0,,,,,
player,201611200ram,ram,KendLa00,pass_int,0,,,,,
player,201611200ram,ram,KendLa00,pass_sacked,0,,,,,
player,201611200ram,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201611200ram,ram,KendLa00,pass_long,0,,,,,
player,201611200ram,ram,KendLa00,pass_rating,,,,,,
player,201611200ram,ram,KendLa00,rush_att,0,,,,,
player,201611200ram,ram,KendLa00,rush_yds,0,,,,,
player,201611200ram,ram,KendLa00,rush_td,0,,,,,
player,201611200ram,ram,KendLa00,rush_long,0,,,,,
player,201611200ram,ram,KendLa00,targets,7,,,,,
player,201611200ram,ram,KendLa00,rec,4,,,,,
player,201611200ram,ram,KendLa00,rec_yds,38,,,,,
player,201611200ram,ram,KendLa00,rec_td,0,,,,,
player,201611200ram,ram,KendLa00,rec_long,20,,,,,
player,201611200ram,ram,KendLa00,fumbles,1,,,,,
player,201611200ram,ram,KendLa00,fumbles_lost,1,,,,,
player,201611200ram,ram,QuicBr00,pass_cmp,0,,,,,
player,201611200ram,ram,QuicBr00,pass_att,0,,,,,
player,201611200ram,ram,QuicBr00,pass_yds,0,,,,,
player,201611200ram,ram,QuicBr00,pass_td,0,,,,,
player,201611200ram,ram,QuicBr00,pass_int,0,,,,,
player,201611200ram,ram,QuicBr00,pass_sacked,0,,,,,
player,201611200ram,ram,QuicBr00,pass_sacked_yds,0,,,,,
player,201611200ram,ram,QuicBr00,pass_long,0,,,,,
player,201611200ram,ram,QuicBr00,pass_rating,,,,,,
player,201611200ram,ram,QuicBr00,rush_att,0,,,,,
player,201611200ram,ram,QuicBr00,rush_yds,0,,,,,
player,201611200ram,ram,QuicBr00,rush_td,0,,,,,
player,201611200ram,ram,QuicBr00,rush_long,0,,,,,
player,201611200ram,ram,QuicBr00,targets,5,,,,,
player,201611200ram,ram,QuicBr00,rec,3,,,,,
player,201611200ram,ram,QuicBr00,rec_yds,21,,,,,
player,201611200ram,ram,QuicBr00,rec_td,0,,,,,
player,201611200ram,ram,QuicBr00,rec_long,9,,,,,
player,201611200ram,ram,QuicBr00,fumbles,0,,,,,
player,201611200ram,ram,QuicBr00,fumbles_lost,0,,,,,
player,201611200ram,ram,CoopPh00,pass_cmp,0,,,,,
player,201611200ram,ram,CoopPh00,pass_att,0,,,,,
player,201611200ram,ram,CoopPh00,pass_yds,0,,,,,
player,201611200ram,ram,CoopPh00,pass_td,0,,,,,
player,201611200ram,ram,CoopPh00,pass_int,0,,,,,
player,201611200ram,ram,CoopPh00,pass_sacked,0,,,,,
player,201611200ram,ram,CoopPh00,pass_sacked_yds,0,,,,,
player,201611200ram,ram,CoopPh00,pass_long,0,,,,,
player,201611200ram,ram,CoopPh00,pass_rating,,,,,,
player,201611200ram,ram,CoopPh00,rush_att,0,,,,,
player,201611200ram,ram,CoopPh00,rush_yds,0,,,,,
player,201611200ram,ram,CoopPh00,rush_td,0,,,,,
player,201611200ram,ram,CoopPh00,rush_long,0,,,,,
player,201611200ram,ram,CoopPh00,targets,1,,,,,
player,201611200ram,ram,CoopPh00,rec,1,,,,,
player,201611200ram,ram,CoopPh00,rec_yds,10,,,,,
player,201611200ram,ram,CoopPh00,rec_td,0,,,,,
player,201611200ram,ram,CoopPh00,rec_long,10,,,,,
player,201611200ram,ram,CoopPh00,fumbles,0,,,,,
player,201611200ram,ram,CoopPh00,fumbles_lost,0,,,,,
player,201611200ram,ram,HigbTy00,pass_cmp,0,,,,,
player,201611200ram,ram,HigbTy00,pass_att,0,,,,,
player,201611200ram,ram,HigbTy00,pass_yds,0,,,,,
player,201611200ram,ram,HigbTy00,pass_td,0,,,,,
player,201611200ram,ram,HigbTy00,pass_int,0,,,,,
player,201611200ram,ram,HigbTy00,pass_sacked,0,,,,,
player,201611200ram,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201611200ram,ram,HigbTy00,pass_long,0,,,,,
player,201611200ram,ram,HigbTy00,pass_rating,,,,,,
player,201611200ram,ram,HigbTy00,rush_att,0,,,,,
player,201611200ram,ram,HigbTy00,rush_yds,0,,,,,
player,201611200ram,ram,HigbTy00,rush_td,0,,,,,
player,201611200ram,ram,HigbTy00,rush_long,0,,,,,
player,201611200ram,ram,HigbTy00,targets,3,,,,,
player,201611200ram,ram,HigbTy00,rec,2,,,,,
player,201611200ram,ram,HigbTy00,rec_yds,4,,,,,
player,201611200ram,ram,HigbTy00,rec_td,0,,,,,
player,201611200ram,ram,HigbTy00,rec_long,3,,,,,
player,201611200ram,ram,HigbTy00,fumbles,0,,,,,
player,201611200ram,ram,HigbTy00,fumbles_lost,0,,,,,
player,201611200ram,mia,WakeCa00,def_int,0,,,,,
player,201611200ram,mia,WakeCa00,def_int_yds,0,,,,,
player,201611200ram,mia,WakeCa00,def_int_td,0,,,,,
player,201611200ram,mia,WakeCa00,def_int_long,0,,,,,
player,201611200ram,mia,WakeCa00,pass_defended,0,,,,,
player,201611200ram,mia,WakeCa00,sacks,1.0,,,,,
player,201611200ram,mia,WakeCa00,tackles_combined,2,,,,,
player,201611200ram,mia,WakeCa00,tackles_solo,2,,,,,
player,201611200ram,mia,WakeCa00,tackles_assists,0,,,,,
player,201611200ram,mia,WakeCa00,tackles_loss,1,,,,,
player,201611200ram,mia,WakeCa00,qb_hits,2,,,,,
player,201611200ram,mia,WakeCa00,fumbles_rec,0,,,,,
player,201611200ram,mia,WakeCa00,fumbles_rec_yds,0,,,,,
player,201611200ram,mia,WakeCa00,fumbles_rec_td,0,,,,,
player,201611200ram,mia,WakeCa00,fumbles_forced,0,,,,,
player,201611200ram,mia,AlonKi00,def_int,0,,,,,
player,201611200ram,mia,AlonKi00,def_int_yds,0,,,,,
player,201611200ram,mia,AlonKi00,def_int_td,0,,,,,
player,201611200ram,mia,AlonKi00,def_int_long,0,,,,,
player,201611200ram,mia,AlonKi00,pass_defended,0,,,,,
player,201611200ram,mia,AlonKi00,sacks,0.0,,,,,
player,201611200ram,mia,AlonKi00,tackles_combined,8,,,,,
player,201611200ram,mia,AlonKi00,tackles_solo,6,,,,,
player,201611200ram,mia,AlonKi00,tackles_assists,2,,,,,
player,201611200ram,mia,AlonKi00,tackles_loss,0,,,,,
player,201611200ram,mia,AlonKi00,qb_hits,0,,,,,
player,201611200ram,mia,AlonKi00,fumbles_rec,1,,,,,
player,201611200ram,mia,AlonKi00,fumbles_rec_yds,0,,,,,
player,201611200ram,mia,AlonKi00,fumbles_rec_td,0,,,,,
player,201611200ram,mia,AlonKi00,fumbles_forced,1,,,,,
player,201611200ram,mia,AbduIs00,def_int,0,,,,,
player,201611200ram,mia,AbduIs00,def_int_yds,0,,,,,
player,201611200ram,mia,AbduIs00,def_int_td,0,,,,,
player,201611200ram,mia,AbduIs00,def_int_long,0,,,,,
player,201611200ram,mia,AbduIs00,pass_defended,0,,,,,
player,201611200ram,mia,AbduIs00,sacks,0.0,,,,,
player,201611200ram,mia,AbduIs00,tackles_combined,7,,,,,
player,201611200ram,mia,AbduIs00,tackles_solo,5,,,,,
player,201611200ram,mia,AbduIs00,tackles_assists,2,,,,,
player,201611200ram,mia,AbduIs00,tackles_loss,0,,,,,
player,201611200ram,mia,AbduIs00,qb_hits,1,,,,,
player,201611200ram,mia,AbduIs00,fumbles_rec,0,,,,,
player,201611200ram,mia,AbduIs00,fumbles_rec_yds,0,,,,,
player,201611200ram,mia,AbduIs00,fumbles_rec_td,0,,,,,
player,201611200ram,mia,AbduIs00,fumbles_forced,0,,,,,
player,201611200ram,mia,SuhxNd99,def_int,0,,,,,
player,201611200ram,mia,SuhxNd99,def_int_yds,0,,,,,
player,201611200ram,mia,SuhxNd99,def_int_td,0,,,,,
player,201611200ram,mia,SuhxNd99,def_int_long,0,,,,,
player,201611200ram,mia,SuhxNd99,pass_defended,1,,,,,
player,201611200ram,mia,SuhxNd99,sacks,0.0,,,,,
player,201611200ram,mia,SuhxNd99,tackles_combined,6,,,,,
player,201611200ram,mia,SuhxNd99,tackles_solo,3,,,,,
player,201611200ram,mia,SuhxNd99,tackles_assists,3,,,,,
player,201611200ram,mia,SuhxNd99,tackles_loss,1,,,,,
player,201611200ram,mia,SuhxNd99,qb_hits,0,,,,,
player,201611200ram,mia,SuhxNd99,fumbles_rec,0,,,,,
player,201611200ram,mia,SuhxNd99,fumbles_rec_yds,0,,,,,
player,201611200ram,mia,SuhxNd99,fumbles_rec_td,0,,,,,
player,201611200ram,mia,SuhxNd99,fumbles_forced,0,,,,,
player,201611200ram,mia,MaxwBy00,def_int,0,,,,,
player,201611200ram,mia,MaxwBy00,def_int_yds,0,,,,,
player,201611200ram,mia,MaxwBy00,def_int_td,0,,,,,
player,201611200ram,mia,MaxwBy00,def_int_long,0,,,,,
player,201611200ram,mia,MaxwBy00,pass_defended,1,,,,,
player,201611200ram,mia,MaxwBy00,sacks,0.0,,,,,
player,201611200ram,mia,MaxwBy00,tackles_combined,5,,,,,
player,201611200ram,mia,MaxwBy00,tackles_solo,4,,,,,
player,201611200ram,mia,MaxwBy00,tackles_assists,1,,,,,
player,201611200ram,mia,MaxwBy00,tackles_loss,1,,,,,
