game,2016,11,20161120,201611200kan,tam,"Tampa Bay Buccaneers",19,kan,"Kansas City Chiefs",17
player,201611200kan,kan,FishEr00,pass_int,0,,,,,
player,201611200kan,kan,FishEr00,pass_sacked,0,,,,,
player,201611200kan,kan,FishEr00,pass_sacked_yds,0,,,,,
player,201611200kan,kan,FishEr00,pass_long,0,,,,,
player,201611200kan,kan,FishEr00,pass_rating,,,,,,
player,201611200kan,kan,FishEr00,rush_att,0,,,,,
player,201611200kan,kan,FishEr00,rush_yds,0,,,,,
player,201611200kan,kan,FishEr00,rush_td,0,,,,,
player,201611200kan,kan,FishEr00,rush_long,0,,,,,
player,201611200kan,kan,FishEr00,targets,0,,,,,
player,201611200kan,kan,FishEr00,rec,0,,,,,
player,201611200kan,kan,FishEr00,rec_yds,-5,,,,,
player,201611200kan,kan,FishEr00,rec_td,0,,,,,
player,201611200kan,kan,FishEr00,rec_long,0,,,,,
player,201611200kan,kan,FishEr00,fumbles,1,,,,,
player,201611200kan,kan,FishEr00,fumbles_lost,1,,,,,
player,201611200kan,kan,KelcTr00,pass_cmp,0,,,,,
player,201611200kan,kan,KelcTr00,pass_att,0,,,,,
player,201611200kan,kan,KelcTr00,pass_yds,0,,,,,
player,201611200kan,kan,KelcTr00,pass_td,0,,,,,
player,201611200kan,kan,KelcTr00,pass_int,0,,,,,
player,201611200kan,kan,KelcTr00,pass_sacked,0,,,,,
player,201611200kan,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201611200kan,kan,KelcTr00,pass_long,0,,,,,
player,201611200kan,kan,KelcTr00,pass_rating,,,,,,
player,201611200kan,kan,KelcTr00,rush_att,1,,,,,
player,201611200kan,kan,KelcTr00,rush_yds,-5,,,,,
player,201611200kan,kan,KelcTr00,rush_td,0,,,,,
player,201611200kan,kan,KelcTr00,rush_long,-5,,,,,
player,201611200kan,kan,KelcTr00,targets,9,,,,,
player,201611200kan,kan,KelcTr00,rec,7,,,,,
player,201611200kan,kan,KelcTr00,rec_yds,108,,,,,
player,201611200kan,kan,KelcTr00,rec_td,0,,,,,
player,201611200kan,kan,KelcTr00,rec_long,44,,,,,
player,201611200kan,kan,KelcTr00,fumbles,0,,,,,
player,201611200kan,kan,KelcTr00,fumbles_lost,0,,,,,
player,201611200kan,tam,ContCh00,def_int,1,,,,,
player,201611200kan,tam,ContCh00,def_int_yds,53,,,,,
player,201611200kan,tam,ContCh00,def_int_td,0,,,,,
player,201611200kan,tam,ContCh00,def_int_long,53,,,,,
player,201611200kan,tam,ContCh00,pass_defended,1,,,,,
player,201611200kan,tam,ContCh00,sacks,0.0,,,,,
player,201611200kan,tam,ContCh00,tackles_combined,7,,,,,
player,201611200kan,tam,ContCh00,tackles_solo,7,,,,,
player,201611200kan,tam,ContCh00,tackles_assists,0,,,,,
player,201611200kan,tam,ContCh00,tackles_loss,0,,,,,
player,201611200kan,tam,ContCh00,qb_hits,0,,,,,
player,201611200kan,tam,ContCh00,fumbles_rec,0,,,,,
player,201611200kan,tam,ContCh00,fumbles_rec_yds,0,,,,,
player,201611200kan,tam,ContCh00,fumbles_rec_td,0,,,,,
player,201611200kan,tam,ContCh00,fumbles_forced,0,,,,,
player,201611200kan,tam,AlexKw00,def_int,0,,,,,
player,201611200kan,tam,AlexKw00,def_int_yds,0,,,,,
player,201611200kan,tam,AlexKw00,def_int_td,0,,,,,
player,201611200kan,tam,AlexKw00,def_int_long,0,,,,,
player,201611200kan,tam,AlexKw00,pass_defended,0,,,,,
player,201611200kan,tam,AlexKw00,sacks,0.0,,,,,
player,201611200kan,tam,AlexKw00,tackles_combined,7,,,,,
player,201611200kan,tam,AlexKw00,tackles_solo,6,,,,,
player,201611200kan,tam,AlexKw00,tackles_assists,1,,,,,
player,201611200kan,tam,AlexKw00,tackles_loss,0,,,,,
player,201611200kan,tam,AlexKw00,qb_hits,0,,,,,
player,201611200kan,tam,AlexKw00,fumbles_rec,0,,,,,
player,201611200kan,tam,AlexKw00,fumbles_rec_yds,0,,,,,
player,201611200kan,tam,AlexKw00,fumbles_rec_td,0,,,,,
player,201611200kan,tam,AlexKw00,fumbles_forced,0,,,,,
player,201611200kan,tam,McDoBr01,def_int,0,,,,,
player,201611200kan,tam,McDoBr01,def_int_yds,0,,,,,
player,201611200kan,tam,McDoBr01,def_int_td,0,,,,,
player,201611200kan,tam,McDoBr01,def_int_long,0,,,,,
player,201611200kan,tam,McDoBr01,pass_defended,0,,,,,
player,201611200kan,tam,McDoBr01,sacks,0.0,,,,,
player,201611200kan,tam,McDoBr01,tackles_combined,6,,,,,
player,201611200kan,tam,McDoBr01,tackles_solo,6,,,,,
player,201611200kan,tam,McDoBr01,tackles_assists,0,,,,,
player,201611200kan,tam,McDoBr01,tackles_loss,1,,,,,
player,201611200kan,tam,McDoBr01,qb_hits,0,,,,,
player,201611200kan,tam,McDoBr01,fumbles_rec,0,,,,,
player,201611200kan,tam,McDoBr01,fumbles_rec_yds,0,,,,,
player,201611200kan,tam,McDoBr01,fumbles_rec_td,0,,,,,
player,201611200kan,tam,McDoBr01,fumbles_forced,0,,,,,
player,201611200kan,tam,HargVe00,def_int,0,,,,,
player,201611200kan,tam,HargVe00,def_int_yds,0,,,,,
player,201611200kan,tam,HargVe00,def_int_td,0,,,,,
player,201611200kan,tam,HargVe00,def_int_long,0,,,,,
player,201611200kan,tam,HargVe00,pass_defended,0,,,,,
player,201611200kan,tam,HargVe00,sacks,0.0,,,,,
player,201611200kan,tam,HargVe00,tackles_combined,5,,,,,
player,201611200kan,tam,HargVe00,tackles_solo,5,,,,,
player,201611200kan,tam,HargVe00,tackles_assists,0,,,,,
player,201611200kan,tam,HargVe00,tackles_loss,0,,,,,
player,201611200kan,tam,HargVe00,qb_hits,0,,,,,
player,201611200kan,tam,HargVe00,fumbles_rec,0,,,,,
player,201611200kan,tam,HargVe00,fumbles_rec_yds,0,,,,,
player,201611200kan,tam,HargVe00,fumbles_rec_td,0,,,,,
player,201611200kan,tam,HargVe00,fumbles_forced,0,,,,,
player,201611200kan,tam,DaviLa00,def_int,0,,,,,
player,201611200kan,tam,DaviLa00,def_int_yds,0,,,,,
player,201611200kan,tam,DaviLa00,def_int_td,0,,,,,
player,201611200kan,tam,DaviLa00,def_int_long,0,,,,,
player,201611200kan,tam,DaviLa00,pass_defended,0,,,,,
player,201611200kan,tam,DaviLa00,sacks,0.0,,,,,
player,201611200kan,tam,DaviLa00,tackles_combined,4,,,,,
player,201611200kan,tam,DaviLa00,tackles_solo,3,,,,,
player,201611200kan,tam,DaviLa00,tackles_assists,1,,,,,
player,201611200kan,tam,DaviLa00,tackles_loss,0,,,,,
player,201611200kan,tam,DaviLa00,qb_hits,0,,,,,
