game,2016,13,20161204,201612040atl,kan,"Kansas City Chiefs",29,atl,"Atlanta Falcons",28
player,201612040atl,atl,SanuMo00,rec_yds,26,,,,,
player,201612040atl,atl,SanuMo00,rec_td,0,,,,,
player,201612040atl,atl,SanuMo00,rec_long,18,,,,,
player,201612040atl,atl,SanuMo00,fumbles,0,,,,,
player,201612040atl,atl,SanuMo00,fumbles_lost,0,,,,,
player,201612040atl,atl,RobiAl00,pass_cmp,0,,,,,
player,201612040atl,atl,RobiAl00,pass_att,0,,,,,
player,201612040atl,atl,RobiAl00,pass_yds,0,,,,,
player,201612040atl,atl,RobiAl00,pass_td,0,,,,,
player,201612040atl,atl,RobiAl00,pass_int,0,,,,,
player,201612040atl,atl,RobiAl00,pass_sacked,0,,,,,
player,201612040atl,atl,RobiAl00,pass_sacked_yds,0,,,,,
player,201612040atl,atl,RobiAl00,pass_long,0,,,,,
player,201612040atl,atl,RobiAl00,pass_rating,,,,,,
player,201612040atl,atl,RobiAl00,rush_att,0,,,,,
player,201612040atl,atl,RobiAl00,rush_yds,0,,,,,
player,201612040atl,atl,RobiAl00,rush_td,0,,,,,
player,201612040atl,atl,RobiAl00,rush_long,0,,,,,
player,201612040atl,atl,RobiAl00,targets,3,,,,,
player,201612040atl,atl,RobiAl00,rec,2,,,,,
player,201612040atl,atl,RobiAl00,rec_yds,18,,,,,
player,201612040atl,atl,RobiAl00,rec_td,1,,,,,
player,201612040atl,atl,RobiAl00,rec_long,13,,,,,
player,201612040atl,atl,RobiAl00,fumbles,0,,,,,
player,201612040atl,atl,RobiAl00,fumbles_lost,0,,,,,
player,201612040atl,atl,HardJu00,pass_cmp,0,,,,,
player,201612040atl,atl,HardJu00,pass_att,0,,,,,
player,201612040atl,atl,HardJu00,pass_yds,0,,,,,
player,201612040atl,atl,HardJu00,pass_td,0,,,,,
player,201612040atl,atl,HardJu00,pass_int,0,,,,,
player,201612040atl,atl,HardJu00,pass_sacked,0,,,,,
player,201612040atl,atl,HardJu00,pass_sacked_yds,0,,,,,
player,201612040atl,atl,HardJu00,pass_long,0,,,,,
player,201612040atl,atl,HardJu00,pass_rating,,,,,,
player,201612040atl,atl,HardJu00,rush_att,0,,,,,
player,201612040atl,atl,HardJu00,rush_yds,0,,,,,
player,201612040atl,atl,HardJu00,rush_td,0,,,,,
player,201612040atl,atl,HardJu00,rush_long,0,,,,,
player,201612040atl,atl,HardJu00,targets,3,,,,,
player,201612040atl,atl,HardJu00,rec,1,,,,,
player,201612040atl,atl,HardJu00,rec_yds,5,,,,,
player,201612040atl,atl,HardJu00,rec_td,0,,,,,
player,201612040atl,atl,HardJu00,rec_long,5,,,,,
player,201612040atl,atl,HardJu00,fumbles,0,,,,,
player,201612040atl,atl,HardJu00,fumbles_lost,0,,,,,
player,201612040atl,atl,HoopAu00,pass_cmp,0,,,,,
player,201612040atl,atl,HoopAu00,pass_att,0,,,,,
player,201612040atl,atl,HoopAu00,pass_yds,0,,,,,
player,201612040atl,atl,HoopAu00,pass_td,0,,,,,
player,201612040atl,atl,HoopAu00,pass_int,0,,,,,
player,201612040atl,atl,HoopAu00,pass_sacked,0,,,,,
player,201612040atl,atl,HoopAu00,pass_sacked_yds,0,,,,,
player,201612040atl,atl,HoopAu00,pass_long,0,,,,,
player,201612040atl,atl,HoopAu00,pass_rating,,,,,,
player,201612040atl,atl,HoopAu00,rush_att,0,,,,,
player,201612040atl,atl,HoopAu00,rush_yds,0,,,,,
player,201612040atl,atl,HoopAu00,rush_td,0,,,,,
player,201612040atl,atl,HoopAu00,rush_long,0,,,,,
player,201612040atl,atl,HoopAu00,targets,1,,,,,
player,201612040atl,atl,HoopAu00,rec,0,,,,,
player,201612040atl,atl,HoopAu00,rec_yds,0,,,,,
