game,2016,10,20161113,201611130oti,gnb,"Green Bay Packers",25,oti,"Tennessee Titans",47
player,201611130oti,gnb,PeriJu00,pass_int,0,,,,,
player,201611130oti,gnb,PeriJu00,pass_sacked,0,,,,,
player,201611130oti,gnb,PeriJu00,pass_sacked_yds,0,,,,,
player,201611130oti,gnb,PeriJu00,pass_long,0,,,,,
player,201611130oti,gnb,PeriJu00,pass_rating,,,,,,
player,201611130oti,gnb,PeriJu00,rush_att,0,,,,,
player,201611130oti,gnb,PeriJu00,rush_yds,0,,,,,
player,201611130oti,gnb,PeriJu00,rush_td,0,,,,,
player,201611130oti,gnb,PeriJu00,rush_long,0,,,,,
player,201611130oti,gnb,PeriJu00,targets,1,,,,,
player,201611130oti,gnb,PeriJu00,rec,0,,,,,
player,201611130oti,gnb,PeriJu00,rec_yds,0,,,,,
player,201611130oti,gnb,PeriJu00,rec_td,0,,,,,
player,201611130oti,gnb,PeriJu00,rec_long,0,,,,,
player,201611130oti,gnb,PeriJu00,fumbles,0,,,,,
player,201611130oti,gnb,PeriJu00,fumbles_lost,0,,,,,
player,201611130oti,oti,MariMa01,pass_cmp,19,,,,,
player,201611130oti,oti,MariMa01,pass_att,26,,,,,
player,201611130oti,oti,MariMa01,pass_yds,295,,,,,
player,201611130oti,oti,MariMa01,pass_td,4,,,,,
player,201611130oti,oti,MariMa01,pass_int,0,,,,,
player,201611130oti,oti,MariMa01,pass_sacked,1,,,,,
player,201611130oti,oti,MariMa01,pass_sacked_yds,13,,,,,
player,201611130oti,oti,MariMa01,pass_long,41,,,,,
player,201611130oti,oti,MariMa01,pass_rating,149.8,,,,,
player,201611130oti,oti,MariMa01,rush_att,5,,,,,
player,201611130oti,oti,MariMa01,rush_yds,0,,,,,
player,201611130oti,oti,MariMa01,rush_td,0,,,,,
player,201611130oti,oti,MariMa01,rush_long,6,,,,,
player,201611130oti,oti,MariMa01,targets,0,,,,,
player,201611130oti,oti,MariMa01,rec,0,,,,,
player,201611130oti,oti,MariMa01,rec_yds,0,,,,,
player,201611130oti,oti,MariMa01,rec_td,0,,,,,
player,201611130oti,oti,MariMa01,rec_long,0,,,,,
player,201611130oti,oti,MariMa01,fumbles,0,,,,,
player,201611130oti,oti,MariMa01,fumbles_lost,0,,,,,
player,201611130oti,oti,MurrDe00,pass_cmp,1,,,,,
player,201611130oti,oti,MurrDe00,pass_att,1,,,,,
player,201611130oti,oti,MurrDe00,pass_yds,10,,,,,
player,201611130oti,oti,MurrDe00,pass_td,1,,,,,
player,201611130oti,oti,MurrDe00,pass_int,0,,,,,
player,201611130oti,oti,MurrDe00,pass_sacked,0,,,,,
player,201611130oti,oti,MurrDe00,pass_sacked_yds,0,,,,,
player,201611130oti,oti,MurrDe00,pass_long,10,,,,,
player,201611130oti,oti,MurrDe00,pass_rating,147.9,,,,,
player,201611130oti,oti,MurrDe00,rush_att,17,,,,,
player,201611130oti,oti,MurrDe00,rush_yds,123,,,,,
player,201611130oti,oti,MurrDe00,rush_td,1,,,,,
player,201611130oti,oti,MurrDe00,rush_long,75,,,,,
player,201611130oti,oti,MurrDe00,targets,3,,,,,
player,201611130oti,oti,MurrDe00,rec,2,,,,,
player,201611130oti,oti,MurrDe00,rec_yds,33,,,,,
player,201611130oti,oti,MurrDe00,rec_td,0,,,,,
player,201611130oti,oti,MurrDe00,rec_long,35,,,,,
player,201611130oti,oti,MurrDe00,fumbles,0,,,,,
player,201611130oti,oti,MurrDe00,fumbles_lost,0,,,,,
player,201611130oti,oti,HenrDe00,pass_cmp,0,,,,,
player,201611130oti,oti,HenrDe00,pass_att,0,,,,,
player,201611130oti,oti,HenrDe00,pass_yds,0,,,,,
player,201611130oti,oti,HenrDe00,pass_td,0,,,,,
player,201611130oti,oti,HenrDe00,pass_int,0,,,,,
player,201611130oti,oti,HenrDe00,pass_sacked,0,,,,,
player,201611130oti,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201611130oti,oti,HenrDe00,pass_long,0,,,,,
player,201611130oti,oti,HenrDe00,pass_rating,,,,,,
player,201611130oti,oti,HenrDe00,rush_att,9,,,,,
player,201611130oti,oti,HenrDe00,rush_yds,31,,,,,
player,201611130oti,oti,HenrDe00,rush_td,0,,,,,
player,201611130oti,oti,HenrDe00,rush_long,19,,,,,
player,201611130oti,oti,HenrDe00,targets,0,,,,,
player,201611130oti,oti,HenrDe00,rec,0,,,,,
player,201611130oti,oti,HenrDe00,rec_yds,0,,,,,
player,201611130oti,oti,HenrDe00,rec_td,0,,,,,
player,201611130oti,oti,HenrDe00,rec_long,0,,,,,
player,201611130oti,oti,HenrDe00,fumbles,0,,,,,
player,201611130oti,oti,HenrDe00,fumbles_lost,0,,,,,
player,201611130oti,oti,WalkHu00,pass_cmp,0,,,,,
player,201611130oti,oti,WalkHu00,pass_att,0,,,,,
player,201611130oti,oti,WalkHu00,pass_yds,0,,,,,
player,201611130oti,oti,WalkHu00,pass_td,0,,,,,
player,201611130oti,oti,WalkHu00,pass_int,0,,,,,
player,201611130oti,oti,WalkHu00,pass_sacked,0,,,,,
player,201611130oti,oti,WalkHu00,pass_sacked_yds,0,,,,,
player,201611130oti,oti,WalkHu00,pass_long,0,,,,,
player,201611130oti,oti,WalkHu00,pass_rating,,,,,,
player,201611130oti,oti,WalkHu00,rush_att,0,,,,,
player,201611130oti,oti,WalkHu00,rush_yds,0,,,,,
player,201611130oti,oti,WalkHu00,rush_td,0,,,,,
player,201611130oti,oti,WalkHu00,rush_long,0,,,,,
player,201611130oti,oti,WalkHu00,targets,11,,,,,
player,201611130oti,oti,WalkHu00,rec,9,,,,,
player,201611130oti,oti,WalkHu00,rec_yds,124,,,,,
player,201611130oti,oti,WalkHu00,rec_td,1,,,,,
player,201611130oti,oti,WalkHu00,rec_long,41,,,,,
player,201611130oti,oti,WalkHu00,fumbles,0,,,,,
player,201611130oti,oti,WalkHu00,fumbles_lost,0,,,,,
player,201611130oti,oti,SharTa00,pass_cmp,0,,,,,
player,201611130oti,oti,SharTa00,pass_att,0,,,,,
player,201611130oti,oti,SharTa00,pass_yds,0,,,,,
player,201611130oti,oti,SharTa00,pass_td,0,,,,,
player,201611130oti,oti,SharTa00,pass_int,0,,,,,
player,201611130oti,oti,SharTa00,pass_sacked,0,,,,,
player,201611130oti,oti,SharTa00,pass_sacked_yds,0,,,,,
player,201611130oti,oti,SharTa00,pass_long,0,,,,,
player,201611130oti,oti,SharTa00,pass_rating,,,,,,
player,201611130oti,oti,SharTa00,rush_att,0,,,,,
player,201611130oti,oti,SharTa00,rush_yds,0,,,,,
player,201611130oti,oti,SharTa00,rush_td,0,,,,,
player,201611130oti,oti,SharTa00,rush_long,0,,,,,
player,201611130oti,oti,SharTa00,targets,4,,,,,
player,201611130oti,oti,SharTa00,rec,3,,,,,
player,201611130oti,oti,SharTa00,rec_yds,68,,,,,
player,201611130oti,oti,SharTa00,rec_td,1,,,,,
player,201611130oti,oti,SharTa00,rec_long,33,,,,,
player,201611130oti,oti,SharTa00,fumbles,0,,,,,
player,201611130oti,oti,SharTa00,fumbles_lost,0,,,,,
player,201611130oti,oti,MattRi00,pass_cmp,0,,,,,
player,201611130oti,oti,MattRi00,pass_att,0,,,,,
player,201611130oti,oti,MattRi00,pass_yds,0,,,,,
player,201611130oti,oti,MattRi00,pass_td,0,,,,,
player,201611130oti,oti,MattRi00,pass_int,0,,,,,
player,201611130oti,oti,MattRi00,pass_sacked,0,,,,,
player,201611130oti,oti,MattRi00,pass_sacked_yds,0,,,,,
player,201611130oti,oti,MattRi00,pass_long,0,,,,,
player,201611130oti,oti,MattRi00,pass_rating,,,,,,
player,201611130oti,oti,MattRi00,rush_att,0,,,,,
player,201611130oti,oti,MattRi00,rush_yds,0,,,,,
player,201611130oti,oti,MattRi00,rush_td,0,,,,,
player,201611130oti,oti,MattRi00,rush_long,0,,,,,
player,201611130oti,oti,MattRi00,targets,5,,,,,
player,201611130oti,oti,MattRi00,rec,3,,,,,
player,201611130oti,oti,MattRi00,rec_yds,63,,,,,
player,201611130oti,oti,MattRi00,rec_td,1,,,,,
player,201611130oti,oti,MattRi00,rec_long,32,,,,,
player,201611130oti,oti,MattRi00,fumbles,0,,,,,
player,201611130oti,oti,MattRi00,fumbles_lost,0,,,,,
player,201611130oti,oti,FasaAn00,pass_cmp,0,,,,,
player,201611130oti,oti,FasaAn00,pass_att,0,,,,,
player,201611130oti,oti,FasaAn00,pass_yds,0,,,,,
player,201611130oti,oti,FasaAn00,pass_td,0,,,,,
player,201611130oti,oti,FasaAn00,pass_int,0,,,,,
player,201611130oti,oti,FasaAn00,pass_sacked,0,,,,,
player,201611130oti,oti,FasaAn00,pass_sacked_yds,0,,,,,
player,201611130oti,oti,FasaAn00,pass_long,0,,,,,
player,201611130oti,oti,FasaAn00,pass_rating,,,,,,
player,201611130oti,oti,FasaAn00,rush_att,0,,,,,
player,201611130oti,oti,FasaAn00,rush_yds,0,,,,,
player,201611130oti,oti,FasaAn00,rush_td,0,,,,,
player,201611130oti,oti,FasaAn00,rush_long,0,,,,,
player,201611130oti,oti,FasaAn00,targets,1,,,,,
player,201611130oti,oti,FasaAn00,rec,1,,,,,
player,201611130oti,oti,FasaAn00,rec_yds,9,,,,,
player,201611130oti,oti,FasaAn00,rec_td,1,,,,,
player,201611130oti,oti,FasaAn00,rec_long,9,,,,,
player,201611130oti,oti,FasaAn00,fumbles,0,,,,,
player,201611130oti,oti,FasaAn00,fumbles_lost,0,,,,,
player,201611130oti,oti,WrigKe01,pass_cmp,0,,,,,
player,201611130oti,oti,WrigKe01,pass_att,0,,,,,
player,201611130oti,oti,WrigKe01,pass_yds,0,,,,,
player,201611130oti,oti,WrigKe01,pass_td,0,,,,,
player,201611130oti,oti,WrigKe01,pass_int,0,,,,,
player,201611130oti,oti,WrigKe01,pass_sacked,0,,,,,
player,201611130oti,oti,WrigKe01,pass_sacked_yds,0,,,,,
player,201611130oti,oti,WrigKe01,pass_long,0,,,,,
player,201611130oti,oti,WrigKe01,pass_rating,,,,,,
player,201611130oti,oti,WrigKe01,rush_att,0,,,,,
player,201611130oti,oti,WrigKe01,rush_yds,0,,,,,
player,201611130oti,oti,WrigKe01,rush_td,0,,,,,
player,201611130oti,oti,WrigKe01,rush_long,0,,,,,
player,201611130oti,oti,WrigKe01,targets,3,,,,,
player,201611130oti,oti,WrigKe01,rec,2,,,,,
player,201611130oti,oti,WrigKe01,rec_yds,8,,,,,
player,201611130oti,oti,WrigKe01,rec_td,1,,,,,
player,201611130oti,oti,WrigKe01,rec_long,6,,,,,
player,201611130oti,oti,WrigKe01,fumbles,0,,,,,
player,201611130oti,oti,WrigKe01,fumbles_lost,0,,,,,
player,201611130oti,gnb,BurnMo99,def_int,0,,,,,
player,201611130oti,gnb,BurnMo99,def_int_yds,0,,,,,
player,201611130oti,gnb,BurnMo99,def_int_td,0,,,,,
player,201611130oti,gnb,BurnMo99,def_int_long,0,,,,,
player,201611130oti,gnb,BurnMo99,pass_defended,0,,,,,
player,201611130oti,gnb,BurnMo99,sacks,1.0,,,,,
player,201611130oti,gnb,BurnMo99,tackles_combined,5,,,,,
player,201611130oti,gnb,BurnMo99,tackles_solo,3,,,,,
player,201611130oti,gnb,BurnMo99,tackles_assists,2,,,,,
player,201611130oti,gnb,BurnMo99,tackles_loss,1,,,,,
player,201611130oti,gnb,BurnMo99,qb_hits,1,,,,,
player,201611130oti,gnb,BurnMo99,fumbles_rec,0,,,,,
player,201611130oti,gnb,BurnMo99,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,BurnMo99,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,BurnMo99,fumbles_forced,0,,,,,
player,201611130oti,gnb,MartBl01,def_int,0,,,,,
player,201611130oti,gnb,MartBl01,def_int_yds,0,,,,,
player,201611130oti,gnb,MartBl01,def_int_td,0,,,,,
player,201611130oti,gnb,MartBl01,def_int_long,0,,,,,
player,201611130oti,gnb,MartBl01,pass_defended,0,,,,,
player,201611130oti,gnb,MartBl01,sacks,0.0,,,,,
player,201611130oti,gnb,MartBl01,tackles_combined,10,,,,,
player,201611130oti,gnb,MartBl01,tackles_solo,7,,,,,
player,201611130oti,gnb,MartBl01,tackles_assists,3,,,,,
player,201611130oti,gnb,MartBl01,tackles_loss,0,,,,,
