game,2016,12,20161127,201611270rai,car,"Carolina Panthers",32,rai,"Oakland Raiders",35
player,201611270rai,car,BenjKe00,pass_att,0,,,,,
player,201611270rai,car,BenjKe00,pass_yds,0,,,,,
player,201611270rai,car,BenjKe00,pass_td,0,,,,,
player,201611270rai,car,BenjKe00,pass_int,0,,,,,
player,201611270rai,car,BenjKe00,pass_sacked,0,,,,,
player,201611270rai,car,BenjKe00,pass_sacked_yds,0,,,,,
player,201611270rai,car,BenjKe00,pass_long,0,,,,,
player,201611270rai,car,BenjKe00,pass_rating,,,,,,
player,201611270rai,car,BenjKe00,rush_att,0,,,,,
player,201611270rai,car,BenjKe00,rush_yds,0,,,,,
player,201611270rai,car,BenjKe00,rush_td,0,,,,,
player,201611270rai,car,BenjKe00,rush_long,0,,,,,
player,201611270rai,car,BenjKe00,targets,6,,,,,
player,201611270rai,car,BenjKe00,rec,2,,,,,
player,201611270rai,car,BenjKe00,rec_yds,53,,,,,
player,201611270rai,car,BenjKe00,rec_td,1,,,,,
player,201611270rai,car,BenjKe00,rec_long,44,,,,,
player,201611270rai,car,BenjKe00,fumbles,0,,,,,
player,201611270rai,car,BenjKe00,fumbles_lost,0,,,,,
player,201611270rai,car,OlseGr00,pass_cmp,0,,,,,
player,201611270rai,car,OlseGr00,pass_att,0,,,,,
player,201611270rai,car,OlseGr00,pass_yds,0,,,,,
player,201611270rai,car,OlseGr00,pass_td,0,,,,,
player,201611270rai,car,OlseGr00,pass_int,0,,,,,
player,201611270rai,car,OlseGr00,pass_sacked,0,,,,,
player,201611270rai,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201611270rai,car,OlseGr00,pass_long,0,,,,,
player,201611270rai,car,OlseGr00,pass_rating,,,,,,
player,201611270rai,car,OlseGr00,rush_att,0,,,,,
player,201611270rai,car,OlseGr00,rush_yds,0,,,,,
player,201611270rai,car,OlseGr00,rush_td,0,,,,,
player,201611270rai,car,OlseGr00,rush_long,0,,,,,
player,201611270rai,car,OlseGr00,targets,5,,,,,
player,201611270rai,car,OlseGr00,rec,4,,,,,
player,201611270rai,car,OlseGr00,rec_yds,45,,,,,
player,201611270rai,car,OlseGr00,rec_td,0,,,,,
player,201611270rai,car,OlseGr00,rec_long,20,,,,,
player,201611270rai,car,OlseGr00,fumbles,0,,,,,
player,201611270rai,car,OlseGr00,fumbles_lost,0,,,,,
player,201611270rai,car,FuncDe00,pass_cmp,0,,,,,
player,201611270rai,car,FuncDe00,pass_att,0,,,,,
player,201611270rai,car,FuncDe00,pass_yds,0,,,,,
player,201611270rai,car,FuncDe00,pass_td,0,,,,,
player,201611270rai,car,FuncDe00,pass_int,0,,,,,
player,201611270rai,car,FuncDe00,pass_sacked,0,,,,,
player,201611270rai,car,FuncDe00,pass_sacked_yds,0,,,,,
player,201611270rai,car,FuncDe00,pass_long,0,,,,,
player,201611270rai,car,FuncDe00,pass_rating,,,,,,
player,201611270rai,car,FuncDe00,rush_att,0,,,,,
player,201611270rai,car,FuncDe00,rush_yds,0,,,,,
player,201611270rai,car,FuncDe00,rush_td,0,,,,,
player,201611270rai,car,FuncDe00,rush_long,0,,,,,
player,201611270rai,car,FuncDe00,targets,2,,,,,
player,201611270rai,car,FuncDe00,rec,2,,,,,
player,201611270rai,car,FuncDe00,rec_yds,19,,,,,
player,201611270rai,car,FuncDe00,rec_td,0,,,,,
player,201611270rai,car,FuncDe00,rec_long,11,,,,,
player,201611270rai,car,FuncDe00,fumbles,0,,,,,
player,201611270rai,car,FuncDe00,fumbles_lost,0,,,,,
player,201611270rai,car,TolbMi00,pass_cmp,0,,,,,
player,201611270rai,car,TolbMi00,pass_att,0,,,,,
player,201611270rai,car,TolbMi00,pass_yds,0,,,,,
player,201611270rai,car,TolbMi00,pass_td,0,,,,,
player,201611270rai,car,TolbMi00,pass_int,0,,,,,
player,201611270rai,car,TolbMi00,pass_sacked,0,,,,,
player,201611270rai,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201611270rai,car,TolbMi00,pass_long,0,,,,,
player,201611270rai,car,TolbMi00,pass_rating,,,,,,
player,201611270rai,car,TolbMi00,rush_att,0,,,,,
player,201611270rai,car,TolbMi00,rush_yds,0,,,,,
player,201611270rai,car,TolbMi00,rush_td,0,,,,,
player,201611270rai,car,TolbMi00,rush_long,0,,,,,
player,201611270rai,car,TolbMi00,targets,2,,,,,
player,201611270rai,car,TolbMi00,rec,2,,,,,
player,201611270rai,car,TolbMi00,rec_yds,14,,,,,
player,201611270rai,car,TolbMi00,rec_td,0,,,,,
player,201611270rai,car,TolbMi00,rec_long,7,,,,,
player,201611270rai,car,TolbMi00,fumbles,0,,,,,
player,201611270rai,car,TolbMi00,fumbles_lost,0,,,,,
player,201611270rai,rai,CarrDe02,pass_cmp,26,,,,,
player,201611270rai,rai,CarrDe02,pass_att,38,,,,,
player,201611270rai,rai,CarrDe02,pass_yds,315,,,,,
player,201611270rai,rai,CarrDe02,pass_td,2,,,,,
player,201611270rai,rai,CarrDe02,pass_int,1,,,,,
player,201611270rai,rai,CarrDe02,pass_sacked,1,,,,,
player,201611270rai,rai,CarrDe02,pass_sacked_yds,5,,,,,
player,201611270rai,rai,CarrDe02,pass_long,49,,,,,
player,201611270rai,rai,CarrDe02,pass_rating,100.2,,,,,
player,201611270rai,rai,CarrDe02,rush_att,5,,,,,
player,201611270rai,rai,CarrDe02,rush_yds,-12,,,,,
player,201611270rai,rai,CarrDe02,rush_td,0,,,,,
player,201611270rai,rai,CarrDe02,rush_long,1,,,,,
player,201611270rai,rai,CarrDe02,targets,0,,,,,
player,201611270rai,rai,CarrDe02,rec,0,,,,,
player,201611270rai,rai,CarrDe02,rec_yds,0,,,,,
player,201611270rai,rai,CarrDe02,rec_td,0,,,,,
player,201611270rai,rai,CarrDe02,rec_long,0,,,,,
player,201611270rai,rai,CarrDe02,fumbles,2,,,,,
player,201611270rai,rai,CarrDe02,fumbles_lost,1,,,,,
player,201611270rai,rai,McGlMa01,pass_cmp,0,,,,,
player,201611270rai,rai,McGlMa01,pass_att,1,,,,,
player,201611270rai,rai,McGlMa01,pass_yds,0,,,,,
player,201611270rai,rai,McGlMa01,pass_td,0,,,,,
player,201611270rai,rai,McGlMa01,pass_int,0,,,,,
player,201611270rai,rai,McGlMa01,pass_sacked,0,,,,,
player,201611270rai,rai,McGlMa01,pass_sacked_yds,0,,,,,
player,201611270rai,rai,McGlMa01,pass_long,0,,,,,
player,201611270rai,rai,McGlMa01,pass_rating,39.6,,,,,
player,201611270rai,rai,McGlMa01,rush_att,0,,,,,
player,201611270rai,rai,McGlMa01,rush_yds,0,,,,,
player,201611270rai,rai,McGlMa01,rush_td,0,,,,,
player,201611270rai,rai,McGlMa01,rush_long,0,,,,,
player,201611270rai,rai,McGlMa01,targets,0,,,,,
player,201611270rai,rai,McGlMa01,rec,0,,,,,
player,201611270rai,rai,McGlMa01,rec_yds,0,,,,,
player,201611270rai,rai,McGlMa01,rec_td,0,,,,,
player,201611270rai,rai,McGlMa01,rec_long,0,,,,,
player,201611270rai,rai,McGlMa01,fumbles,0,,,,,
player,201611270rai,rai,McGlMa01,fumbles_lost,0,,,,,
player,201611270rai,rai,MurrLa00,pass_cmp,0,,,,,
player,201611270rai,rai,MurrLa00,pass_att,0,,,,,
player,201611270rai,rai,MurrLa00,pass_yds,0,,,,,
player,201611270rai,rai,MurrLa00,pass_td,0,,,,,
player,201611270rai,rai,MurrLa00,pass_int,0,,,,,
player,201611270rai,rai,MurrLa00,pass_sacked,,,,,,
player,201611270rai,rai,MurrLa00,pass_sacked_yds,0,,,,,
player,201611270rai,rai,MurrLa00,pass_long,0,,,,,
player,201611270rai,rai,MurrLa00,pass_rating,,,,,,
player,201611270rai,rai,MurrLa00,rush_att,19,,,,,
player,201611270rai,rai,MurrLa00,rush_yds,45,,,,,
player,201611270rai,rai,MurrLa00,rush_td,1,,,,,
player,201611270rai,rai,MurrLa00,rush_long,7,,,,,
player,201611270rai,rai,MurrLa00,targets,4,,,,,
player,201611270rai,rai,MurrLa00,rec,3,,,,,
player,201611270rai,rai,MurrLa00,rec_yds,43,,,,,
player,201611270rai,rai,MurrLa00,rec_td,0,,,,,
player,201611270rai,rai,MurrLa00,rec_long,32,,,,,
player,201611270rai,rai,MurrLa00,fumbles,0,,,,,
player,201611270rai,rai,MurrLa00,fumbles_lost,0,,,,,
player,201611270rai,rai,RichJa01,pass_cmp,0,,,,,
player,201611270rai,rai,RichJa01,pass_att,0,,,,,
player,201611270rai,rai,RichJa01,pass_yds,0,,,,,
player,201611270rai,rai,RichJa01,pass_td,0,,,,,
player,201611270rai,rai,RichJa01,pass_int,0,,,,,
player,201611270rai,rai,RichJa01,pass_sacked,,,,,,
player,201611270rai,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201611270rai,rai,RichJa01,pass_long,0,,,,,
player,201611270rai,rai,RichJa01,pass_rating,,,,,,
player,201611270rai,rai,RichJa01,rush_att,7,,,,,
player,201611270rai,rai,RichJa01,rush_yds,23,,,,,
player,201611270rai,rai,RichJa01,rush_td,0,,,,,
player,201611270rai,rai,RichJa01,rush_long,9,,,,,
player,201611270rai,rai,RichJa01,targets,0,,,,,
player,201611270rai,rai,RichJa01,rec,0,,,,,
player,201611270rai,rai,RichJa01,rec_yds,0,,,,,
player,201611270rai,rai,RichJa01,rec_td,0,,,,,
player,201611270rai,rai,RichJa01,rec_long,0,,,,,
player,201611270rai,rai,RichJa01,fumbles,0,,,,,
player,201611270rai,rai,RichJa01,fumbles_lost,0,,,,,
player,201611270rai,rai,CrabMi00,pass_cmp,0,,,,,
player,201611270rai,rai,CrabMi00,pass_att,0,,,,,
player,201611270rai,rai,CrabMi00,pass_yds,0,,,,,
player,201611270rai,rai,CrabMi00,pass_td,0,,,,,
player,201611270rai,rai,CrabMi00,pass_int,0,,,,,
player,201611270rai,rai,CrabMi00,pass_sacked,,,,,,
player,201611270rai,rai,CrabMi00,pass_sacked_yds,0,,,,,
player,201611270rai,rai,CrabMi00,pass_long,0,,,,,
player,201611270rai,rai,CrabMi00,pass_rating,,,,,,
player,201611270rai,rai,CrabMi00,rush_att,0,,,,,
player,201611270rai,rai,CrabMi00,rush_yds,0,,,,,
player,201611270rai,rai,CrabMi00,rush_td,0,,,,,
player,201611270rai,rai,CrabMi00,rush_long,0,,,,,
player,201611270rai,rai,CrabMi00,targets,13,,,,,
player,201611270rai,rai,CrabMi00,rec,8,,,,,
player,201611270rai,rai,CrabMi00,rec_yds,110,,,,,
player,201611270rai,rai,CrabMi00,rec_td,0,,,,,
player,201611270rai,rai,CrabMi00,rec_long,49,,,,,
player,201611270rai,rai,CrabMi00,fumbles,0,,,,,
player,201611270rai,rai,CrabMi00,fumbles_lost,0,,,,,
player,201611270rai,rai,WalfCl00,pass_cmp,0,,,,,
player,201611270rai,rai,WalfCl00,pass_att,0,,,,,
player,201611270rai,rai,WalfCl00,pass_yds,0,,,,,
player,201611270rai,rai,WalfCl00,pass_td,0,,,,,
player,201611270rai,rai,WalfCl00,pass_int,0,,,,,
player,201611270rai,rai,WalfCl00,pass_sacked,,,,,,
player,201611270rai,rai,WalfCl00,pass_sacked_yds,0,,,,,
player,201611270rai,rai,WalfCl00,pass_long,0,,,,,
player,201611270rai,rai,WalfCl00,pass_rating,,,,,,
player,201611270rai,rai,WalfCl00,rush_att,0,,,,,
player,201611270rai,rai,WalfCl00,rush_yds,0,,,,,
player,201611270rai,rai,WalfCl00,rush_td,0,,,,,
player,201611270rai,rai,WalfCl00,rush_long,0,,,,,
player,201611270rai,rai,WalfCl00,targets,4,,,,,
player,201611270rai,rai,WalfCl00,rec,3,,,,,
player,201611270rai,rai,WalfCl00,rec_yds,43,,,,,
player,201611270rai,rai,WalfCl00,rec_td,1,,,,,
player,201611270rai,rai,WalfCl00,rec_long,17,,,,,
player,201611270rai,rai,WalfCl00,fumbles,0,,,,,
player,201611270rai,rai,WalfCl00,fumbles_lost,0,,,,,
player,201611270rai,rai,RobeSe00,pass_cmp,0,,,,,
player,201611270rai,rai,RobeSe00,pass_att,0,,,,,
player,201611270rai,rai,RobeSe00,pass_yds,0,,,,,
player,201611270rai,rai,RobeSe00,pass_td,0,,,,,
player,201611270rai,rai,RobeSe00,pass_int,0,,,,,
player,201611270rai,rai,RobeSe00,pass_sacked,,,,,,
player,201611270rai,rai,RobeSe00,pass_sacked_yds,0,,,,,
player,201611270rai,rai,RobeSe00,pass_long,0,,,,,
player,201611270rai,rai,RobeSe00,pass_rating,,,,,,
player,201611270rai,rai,RobeSe00,rush_att,0,,,,,
player,201611270rai,rai,RobeSe00,rush_yds,0,,,,,
player,201611270rai,rai,RobeSe00,rush_td,0,,,,,
player,201611270rai,rai,RobeSe00,rush_long,0,,,,,
player,201611270rai,rai,RobeSe00,targets,4,,,,,
player,201611270rai,rai,RobeSe00,rec,3,,,,,
player,201611270rai,rai,RobeSe00,rec_yds,31,,,,,
player,201611270rai,rai,RobeSe00,rec_td,1,,,,,
player,201611270rai,rai,RobeSe00,rec_long,24,,,,,
player,201611270rai,rai,RobeSe00,fumbles,0,,,,,
player,201611270rai,rai,RobeSe00,fumbles_lost,0,,,,,
player,201611270rai,rai,HoltJo00,pass_cmp,0,,,,,
player,201611270rai,rai,HoltJo00,pass_att,0,,,,,
player,201611270rai,rai,HoltJo00,pass_yds,0,,,,,
player,201611270rai,rai,HoltJo00,pass_td,0,,,,,
player,201611270rai,rai,HoltJo00,pass_int,0,,,,,
player,201611270rai,rai,HoltJo00,pass_sacked,,,,,,
player,201611270rai,rai,HoltJo00,pass_sacked_yds,0,,,,,
player,201611270rai,rai,HoltJo00,pass_long,0,,,,,
player,201611270rai,rai,HoltJo00,pass_rating,,,,,,
player,201611270rai,rai,HoltJo00,rush_att,0,,,,,
player,201611270rai,rai,HoltJo00,rush_yds,0,,,,,
player,201611270rai,rai,HoltJo00,rush_td,0,,,,,
player,201611270rai,rai,HoltJo00,rush_long,0,,,,,
player,201611270rai,rai,HoltJo00,targets,1,,,,,
player,201611270rai,rai,HoltJo00,rec,1,,,,,
player,201611270rai,rai,HoltJo00,rec_yds,30,,,,,
player,201611270rai,rai,HoltJo00,rec_td,0,,,,,
player,201611270rai,rai,HoltJo00,rec_long,30,,,,,
player,201611270rai,rai,HoltJo00,fumbles,0,,,,,
player,201611270rai,rai,HoltJo00,fumbles_lost,0,,,,,
player,201611270rai,rai,CoopAm00,pass_cmp,0,,,,,
player,201611270rai,rai,CoopAm00,pass_att,0,,,,,
player,201611270rai,rai,CoopAm00,pass_yds,0,,,,,
player,201611270rai,rai,CoopAm00,pass_td,0,,,,,
player,201611270rai,rai,CoopAm00,pass_int,0,,,,,
player,201611270rai,rai,CoopAm00,pass_sacked,,,,,,
player,201611270rai,rai,CoopAm00,pass_sacked_yds,0,,,,,
player,201611270rai,rai,CoopAm00,pass_long,0,,,,,
player,201611270rai,rai,CoopAm00,pass_rating,,,,,,
player,201611270rai,rai,CoopAm00,rush_att,0,,,,,
player,201611270rai,rai,CoopAm00,rush_yds,0,,,,,
player,201611270rai,rai,CoopAm00,rush_td,0,,,,,
player,201611270rai,rai,CoopAm00,rush_long,0,,,,,
player,201611270rai,rai,CoopAm00,targets,7,,,,,
player,201611270rai,rai,CoopAm00,rec,4,,,,,
player,201611270rai,rai,CoopAm00,rec_yds,22,,,,,
player,201611270rai,rai,CoopAm00,rec_td,0,,,,,
player,201611270rai,rai,CoopAm00,rec_long,9,,,,,
player,201611270rai,rai,CoopAm00,fumbles,0,,,,,
player,201611270rai,rai,CoopAm00,fumbles_lost,0,,,,,
player,201611270rai,rai,JoneTa00,pass_cmp,0,,,,,
player,201611270rai,rai,JoneTa00,pass_att,0,,,,,
player,201611270rai,rai,JoneTa00,pass_yds,0,,,,,
player,201611270rai,rai,JoneTa00,pass_td,0,,,,,
player,201611270rai,rai,JoneTa00,pass_int,0,,,,,
player,201611270rai,rai,JoneTa00,pass_sacked,,,,,,
player,201611270rai,rai,JoneTa00,pass_sacked_yds,0,,,,,
player,201611270rai,rai,JoneTa00,pass_long,0,,,,,
player,201611270rai,rai,JoneTa00,pass_rating,,,,,,
player,201611270rai,rai,JoneTa00,rush_att,0,,,,,
player,201611270rai,rai,JoneTa00,rush_yds,0,,,,,
player,201611270rai,rai,JoneTa00,rush_td,0,,,,,
player,201611270rai,rai,JoneTa00,rush_long,0,,,,,
player,201611270rai,rai,JoneTa00,targets,1,,,,,
player,201611270rai,rai,JoneTa00,rec,1,,,,,
player,201611270rai,rai,JoneTa00,rec_yds,15,,,,,
player,201611270rai,rai,JoneTa00,rec_td,0,,,,,
player,201611270rai,rai,JoneTa00,rec_long,15,,,,,
player,201611270rai,rai,JoneTa00,fumbles,0,,,,,
player,201611270rai,rai,JoneTa00,fumbles_lost,0,,,,,
player,201611270rai,rai,RiveMy00,pass_cmp,0,,,,,
player,201611270rai,rai,RiveMy00,pass_att,0,,,,,
player,201611270rai,rai,RiveMy00,pass_yds,0,,,,,
player,201611270rai,rai,RiveMy00,pass_td,0,,,,,
player,201611270rai,rai,RiveMy00,pass_int,0,,,,,
player,201611270rai,rai,RiveMy00,pass_sacked,,,,,,
player,201611270rai,rai,RiveMy00,pass_sacked_yds,0,,,,,
player,201611270rai,rai,RiveMy00,pass_long,0,,,,,
player,201611270rai,rai,RiveMy00,pass_rating,,,,,,
player,201611270rai,rai,RiveMy00,rush_att,0,,,,,
player,201611270rai,rai,RiveMy00,rush_yds,0,,,,,
player,201611270rai,rai,RiveMy00,rush_td,0,,,,,
player,201611270rai,rai,RiveMy00,rush_long,0,,,,,
player,201611270rai,rai,RiveMy00,targets,2,,,,,
player,201611270rai,rai,RiveMy00,rec,2,,,,,
player,201611270rai,rai,RiveMy00,rec_yds,13,,,,,
player,201611270rai,rai,RiveMy00,rec_td,0,,,,,
player,201611270rai,rai,RiveMy00,rec_long,8,,,,,
player,201611270rai,rai,RiveMy00,fumbles,0,,,,,
player,201611270rai,rai,RiveMy00,fumbles_lost,0,,,,,
player,201611270rai,rai,OlawJa00,pass_cmp,0,,,,,
player,201611270rai,rai,OlawJa00,pass_att,0,,,,,
player,201611270rai,rai,OlawJa00,pass_yds,0,,,,,
player,201611270rai,rai,OlawJa00,pass_td,0,,,,,
player,201611270rai,rai,OlawJa00,pass_int,0,,,,,
player,201611270rai,rai,OlawJa00,pass_sacked,,,,,,
player,201611270rai,rai,OlawJa00,pass_sacked_yds,0,,,,,
player,201611270rai,rai,OlawJa00,pass_long,0,,,,,
player,201611270rai,rai,OlawJa00,pass_rating,,,,,,
player,201611270rai,rai,OlawJa00,rush_att,0,,,,,
player,201611270rai,rai,OlawJa00,rush_yds,0,,,,,
player,201611270rai,rai,OlawJa00,rush_td,0,,,,,
player,201611270rai,rai,OlawJa00,rush_long,0,,,,,
player,201611270rai,rai,OlawJa00,targets,1,,,,,
player,201611270rai,rai,OlawJa00,rec,1,,,,,
player,201611270rai,rai,OlawJa00,rec_yds,8,,,,,
player,201611270rai,rai,OlawJa00,rec_td,0,,,,,
player,201611270rai,rai,OlawJa00,rec_long,8,,,,,
player,201611270rai,rai,OlawJa00,fumbles,0,,,,,
player,201611270rai,rai,OlawJa00,fumbles_lost,0,,,,,
player,201611270rai,rai,HolmAn00,pass_cmp,0,,,,,
player,201611270rai,rai,HolmAn00,pass_att,0,,,,,
player,201611270rai,rai,HolmAn00,pass_yds,0,,,,,
player,201611270rai,rai,HolmAn00,pass_td,0,,,,,
player,201611270rai,rai,HolmAn00,pass_int,0,,,,,
player,201611270rai,rai,HolmAn00,pass_sacked,0,,,,,
player,201611270rai,rai,HolmAn00,pass_sacked_yds,0,,,,,
player,201611270rai,rai,HolmAn00,pass_long,0,,,,,
player,201611270rai,rai,HolmAn00,pass_rating,,,,,,
player,201611270rai,rai,HolmAn00,rush_att,0,,,,,
player,201611270rai,rai,HolmAn00,rush_yds,0,,,,,
player,201611270rai,rai,HolmAn00,rush_td,0,,,,,
player,201611270rai,rai,HolmAn00,rush_long,0,,,,,
player,201611270rai,rai,HolmAn00,targets,1,,,,,
player,201611270rai,rai,HolmAn00,rec,0,,,,,
player,201611270rai,rai,HolmAn00,rec_yds,0,,,,,
player,201611270rai,rai,HolmAn00,rec_td,0,,,,,
player,201611270rai,rai,HolmAn00,rec_long,0,,,,,
player,201611270rai,rai,HolmAn00,fumbles,0,,,,,
player,201611270rai,rai,HolmAn00,fumbles_lost,0,,,,,
player,201611270rai,car,DaviTh20,def_int,1,,,,,
player,201611270rai,car,DaviTh20,def_int_yds,31,,,,,
player,201611270rai,car,DaviTh20,def_int_td,0,,,,,
player,201611270rai,car,DaviTh20,def_int_long,31,,,,,
player,201611270rai,car,DaviTh20,pass_defended,1,,,,,
player,201611270rai,car,DaviTh20,sacks,0.0,,,,,
player,201611270rai,car,DaviTh20,tackles_combined,7,,,,,
player,201611270rai,car,DaviTh20,tackles_solo,6,,,,,
player,201611270rai,car,DaviTh20,tackles_assists,1,,,,,
player,201611270rai,car,DaviTh20,tackles_loss,0,,,,,
player,201611270rai,car,DaviTh20,qb_hits,0,,,,,
player,201611270rai,car,DaviTh20,fumbles_rec,1,,,,,
player,201611270rai,car,DaviTh20,fumbles_rec_yds,0,,,,,
player,201611270rai,car,DaviTh20,fumbles_rec_td,0,,,,,
player,201611270rai,car,DaviTh20,fumbles_forced,0,,,,,
player,201611270rai,car,JohnCh98,def_int,0,,,,,
player,201611270rai,car,JohnCh98,def_int_yds,0,,,,,
player,201611270rai,car,JohnCh98,def_int_td,0,,,,,
