game,2016,9,20161106,201611060ram,car,"Carolina Panthers",13,ram,"Los Angeles Rams",10
player,201611060ram,car,DickEd00,rush_att,0,,,,,
player,201611060ram,car,DickEd00,rush_yds,0,,,,,
player,201611060ram,car,DickEd00,rush_td,0,,,,,
player,201611060ram,car,DickEd00,rush_long,0,,,,,
player,201611060ram,car,DickEd00,targets,3,,,,,
player,201611060ram,car,DickEd00,rec,2,,,,,
player,201611060ram,car,DickEd00,rec_yds,17,,,,,
player,201611060ram,car,DickEd00,rec_td,0,,,,,
player,201611060ram,car,DickEd00,rec_long,11,,,,,
player,201611060ram,car,DickEd00,fumbles,0,,,,,
player,201611060ram,car,DickEd00,fumbles_lost,0,,,,,
player,201611060ram,car,BrowPh00,pass_cmp,0,,,,,
player,201611060ram,car,BrowPh00,pass_att,0,,,,,
player,201611060ram,car,BrowPh00,pass_yds,0,,,,,
player,201611060ram,car,BrowPh00,pass_td,0,,,,,
player,201611060ram,car,BrowPh00,pass_int,0,,,,,
player,201611060ram,car,BrowPh00,pass_sacked,0,,,,,
player,201611060ram,car,BrowPh00,pass_sacked_yds,0,,,,,
player,201611060ram,car,BrowPh00,pass_long,0,,,,,
player,201611060ram,car,BrowPh00,pass_rating,,,,,,
player,201611060ram,car,BrowPh00,rush_att,0,,,,,
player,201611060ram,car,BrowPh00,rush_yds,0,,,,,
player,201611060ram,car,BrowPh00,rush_td,0,,,,,
player,201611060ram,car,BrowPh00,rush_long,0,,,,,
player,201611060ram,car,BrowPh00,targets,2,,,,,
player,201611060ram,car,BrowPh00,rec,1,,,,,
player,201611060ram,car,BrowPh00,rec_yds,11,,,,,
player,201611060ram,car,BrowPh00,rec_td,0,,,,,
player,201611060ram,car,BrowPh00,rec_long,11,,,,,
player,201611060ram,car,BrowPh00,fumbles,0,,,,,
player,201611060ram,car,BrowPh00,fumbles_lost,0,,,,,
player,201611060ram,car,WhitFo00,pass_cmp,0,,,,,
player,201611060ram,car,WhitFo00,pass_att,0,,,,,
player,201611060ram,car,WhitFo00,pass_yds,0,,,,,
player,201611060ram,car,WhitFo00,pass_td,0,,,,,
player,201611060ram,car,WhitFo00,pass_int,0,,,,,
player,201611060ram,car,WhitFo00,pass_sacked,0,,,,,
player,201611060ram,car,WhitFo00,pass_sacked_yds,0,,,,,
player,201611060ram,car,WhitFo00,pass_long,0,,,,,
player,201611060ram,car,WhitFo00,pass_rating,,,,,,
player,201611060ram,car,WhitFo00,rush_att,1,,,,,
player,201611060ram,car,WhitFo00,rush_yds,0,,,,,
player,201611060ram,car,WhitFo00,rush_td,0,,,,,
player,201611060ram,car,WhitFo00,rush_long,0,,,,,
player,201611060ram,car,WhitFo00,targets,1,,,,,
player,201611060ram,car,WhitFo00,rec,1,,,,,
player,201611060ram,car,WhitFo00,rec_yds,1,,,,,
player,201611060ram,car,WhitFo00,rec_td,0,,,,,
player,201611060ram,car,WhitFo00,rec_long,1,,,,,
player,201611060ram,car,WhitFo00,fumbles,0,,,,,
player,201611060ram,car,WhitFo00,fumbles_lost,0,,,,,
player,201611060ram,ram,KeenCa00,pass_cmp,27,,,,,
player,201611060ram,ram,KeenCa00,pass_att,46,,,,,
player,201611060ram,ram,KeenCa00,pass_yds,296,,,,,
player,201611060ram,ram,KeenCa00,pass_td,1,,,,,
player,201611060ram,ram,KeenCa00,pass_int,1,,,,,
player,201611060ram,ram,KeenCa00,pass_sacked,4,,,,,
player,201611060ram,ram,KeenCa00,pass_sacked_yds,16,,,,,
player,201611060ram,ram,KeenCa00,pass_long,31,,,,,
player,201611060ram,ram,KeenCa00,pass_rating,76.0,,,,,
player,201611060ram,ram,KeenCa00,rush_att,0,,,,,
player,201611060ram,ram,KeenCa00,rush_yds,0,,,,,
player,201611060ram,ram,KeenCa00,rush_td,0,,,,,
player,201611060ram,ram,KeenCa00,rush_long,0,,,,,
player,201611060ram,ram,KeenCa00,targets,0,,,,,
player,201611060ram,ram,KeenCa00,rec,0,,,,,
player,201611060ram,ram,KeenCa00,rec_yds,0,,,,,
player,201611060ram,ram,KeenCa00,rec_td,0,,,,,
player,201611060ram,ram,KeenCa00,rec_long,0,,,,,
player,201611060ram,ram,KeenCa00,fumbles,1,,,,,
player,201611060ram,ram,KeenCa00,fumbles_lost,0,,,,,
player,201611060ram,ram,GurlTo01,pass_cmp,0,,,,,
player,201611060ram,ram,GurlTo01,pass_att,0,,,,,
player,201611060ram,ram,GurlTo01,pass_yds,0,,,,,
player,201611060ram,ram,GurlTo01,pass_td,0,,,,,
player,201611060ram,ram,GurlTo01,pass_int,0,,,,,
player,201611060ram,ram,GurlTo01,pass_sacked,0,,,,,
player,201611060ram,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201611060ram,ram,GurlTo01,pass_long,0,,,,,
player,201611060ram,ram,GurlTo01,pass_rating,,,,,,
player,201611060ram,ram,GurlTo01,rush_att,12,,,,,
player,201611060ram,ram,GurlTo01,rush_yds,48,,,,,
player,201611060ram,ram,GurlTo01,rush_td,0,,,,,
player,201611060ram,ram,GurlTo01,rush_long,18,,,,,
player,201611060ram,ram,GurlTo01,targets,5,,,,,
player,201611060ram,ram,GurlTo01,rec,4,,,,,
player,201611060ram,ram,GurlTo01,rec_yds,26,,,,,
player,201611060ram,ram,GurlTo01,rec_td,0,,,,,
player,201611060ram,ram,GurlTo01,rec_long,11,,,,,
player,201611060ram,ram,GurlTo01,fumbles,0,,,,,
player,201611060ram,ram,GurlTo01,fumbles_lost,0,,,,,
player,201611060ram,ram,CunnBe01,pass_cmp,0,,,,,
player,201611060ram,ram,CunnBe01,pass_att,0,,,,,
player,201611060ram,ram,CunnBe01,pass_yds,0,,,,,
player,201611060ram,ram,CunnBe01,pass_td,0,,,,,
player,201611060ram,ram,CunnBe01,pass_int,0,,,,,
player,201611060ram,ram,CunnBe01,pass_sacked,0,,,,,
player,201611060ram,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201611060ram,ram,CunnBe01,pass_long,0,,,,,
player,201611060ram,ram,CunnBe01,pass_rating,,,,,,
player,201611060ram,ram,CunnBe01,rush_att,3,,,,,
player,201611060ram,ram,CunnBe01,rush_yds,10,,,,,
player,201611060ram,ram,CunnBe01,rush_td,0,,,,,
player,201611060ram,ram,CunnBe01,rush_long,4,,,,,
player,201611060ram,ram,CunnBe01,targets,6,,,,,
player,201611060ram,ram,CunnBe01,rec,5,,,,,
player,201611060ram,ram,CunnBe01,rec_yds,32,,,,,
player,201611060ram,ram,CunnBe01,rec_td,0,,,,,
player,201611060ram,ram,CunnBe01,rec_long,11,,,,,
player,201611060ram,ram,CunnBe01,fumbles,0,,,,,
player,201611060ram,ram,CunnBe01,fumbles_lost,0,,,,,
player,201611060ram,ram,AustTa00,pass_cmp,0,,,,,
player,201611060ram,ram,AustTa00,pass_att,0,,,,,
player,201611060ram,ram,AustTa00,pass_yds,0,,,,,
player,201611060ram,ram,AustTa00,pass_td,0,,,,,
player,201611060ram,ram,AustTa00,pass_int,0,,,,,
player,201611060ram,ram,AustTa00,pass_sacked,0,,,,,
player,201611060ram,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201611060ram,ram,AustTa00,pass_long,0,,,,,
player,201611060ram,ram,AustTa00,pass_rating,,,,,,
player,201611060ram,ram,AustTa00,rush_att,1,,,,,
player,201611060ram,ram,AustTa00,rush_yds,1,,,,,
player,201611060ram,ram,AustTa00,rush_td,0,,,,,
player,201611060ram,ram,AustTa00,rush_long,1,,,,,
player,201611060ram,ram,AustTa00,targets,2,,,,,
player,201611060ram,ram,AustTa00,rec,1,,,,,
player,201611060ram,ram,AustTa00,rec_yds,17,,,,,
player,201611060ram,ram,AustTa00,rec_td,0,,,,,
player,201611060ram,ram,AustTa00,rec_long,17,,,,,
player,201611060ram,ram,AustTa00,fumbles,0,,,,,
player,201611060ram,ram,AustTa00,fumbles_lost,0,,,,,
player,201611060ram,ram,KendLa00,pass_cmp,0,,,,,
player,201611060ram,ram,KendLa00,pass_att,0,,,,,
player,201611060ram,ram,KendLa00,pass_yds,0,,,,,
player,201611060ram,ram,KendLa00,pass_td,0,,,,,
player,201611060ram,ram,KendLa00,pass_int,0,,,,,
player,201611060ram,ram,KendLa00,pass_sacked,0,,,,,
player,201611060ram,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201611060ram,ram,KendLa00,pass_long,0,,,,,
player,201611060ram,ram,KendLa00,pass_rating,,,,,,
player,201611060ram,ram,KendLa00,rush_att,0,,,,,
player,201611060ram,ram,KendLa00,rush_yds,0,,,,,
player,201611060ram,ram,KendLa00,rush_td,0,,,,,
player,201611060ram,ram,KendLa00,rush_long,0,,,,,
player,201611060ram,ram,KendLa00,targets,12,,,,,
player,201611060ram,ram,KendLa00,rec,7,,,,,
player,201611060ram,ram,KendLa00,rec_yds,90,,,,,
player,201611060ram,ram,KendLa00,rec_td,0,,,,,
player,201611060ram,ram,KendLa00,rec_long,25,,,,,
player,201611060ram,ram,KendLa00,fumbles,0,,,,,
player,201611060ram,ram,KendLa00,fumbles_lost,0,,,,,
player,201611060ram,ram,BritKe00,pass_cmp,0,,,,,
player,201611060ram,ram,BritKe00,pass_att,0,,,,,
player,201611060ram,ram,BritKe00,pass_yds,0,,,,,
player,201611060ram,ram,BritKe00,pass_td,0,,,,,
player,201611060ram,ram,BritKe00,pass_int,0,,,,,
player,201611060ram,ram,BritKe00,pass_sacked,0,,,,,
player,201611060ram,ram,BritKe00,pass_sacked_yds,0,,,,,
player,201611060ram,ram,BritKe00,pass_long,0,,,,,
player,201611060ram,ram,BritKe00,pass_rating,,,,,,
player,201611060ram,ram,BritKe00,rush_att,0,,,,,
player,201611060ram,ram,BritKe00,rush_yds,0,,,,,
player,201611060ram,ram,BritKe00,rush_td,0,,,,,
player,201611060ram,ram,BritKe00,rush_long,0,,,,,
player,201611060ram,ram,BritKe00,targets,6,,,,,
player,201611060ram,ram,BritKe00,rec,4,,,,,
player,201611060ram,ram,BritKe00,rec_yds,49,,,,,
player,201611060ram,ram,BritKe00,rec_td,1,,,,,
player,201611060ram,ram,BritKe00,rec_long,15,,,,,
player,201611060ram,ram,BritKe00,fumbles,0,,,,,
player,201611060ram,ram,BritKe00,fumbles_lost,0,,,,,
player,201611060ram,ram,QuicBr00,pass_cmp,0,,,,,
player,201611060ram,ram,QuicBr00,pass_att,0,,,,,
player,201611060ram,ram,QuicBr00,pass_yds,0,,,,,
player,201611060ram,ram,QuicBr00,pass_td,0,,,,,
player,201611060ram,ram,QuicBr00,pass_int,0,,,,,
player,201611060ram,ram,QuicBr00,pass_sacked,0,,,,,
player,201611060ram,ram,QuicBr00,pass_sacked_yds,0,,,,,
player,201611060ram,ram,QuicBr00,pass_long,0,,,,,
player,201611060ram,ram,QuicBr00,pass_rating,,,,,,
player,201611060ram,ram,QuicBr00,rush_att,0,,,,,
player,201611060ram,ram,QuicBr00,rush_yds,0,,,,,
player,201611060ram,ram,QuicBr00,rush_td,0,,,,,
player,201611060ram,ram,QuicBr00,rush_long,0,,,,,
player,201611060ram,ram,QuicBr00,targets,6,,,,,
player,201611060ram,ram,QuicBr00,rec,4,,,,,
player,201611060ram,ram,QuicBr00,rec_yds,48,,,,,
player,201611060ram,ram,QuicBr00,rec_td,0,,,,,
player,201611060ram,ram,QuicBr00,rec_long,27,,,,,
player,201611060ram,ram,QuicBr00,fumbles,0,,,,,
player,201611060ram,ram,QuicBr00,fumbles_lost,0,,,,,
player,201611060ram,ram,HigbTy00,pass_cmp,0,,,,,
player,201611060ram,ram,HigbTy00,pass_att,0,,,,,
player,201611060ram,ram,HigbTy00,pass_yds,0,,,,,
player,201611060ram,ram,HigbTy00,pass_td,0,,,,,
player,201611060ram,ram,HigbTy00,pass_int,0,,,,,
player,201611060ram,ram,HigbTy00,pass_sacked,0,,,,,
player,201611060ram,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201611060ram,ram,HigbTy00,pass_long,0,,,,,
player,201611060ram,ram,HigbTy00,pass_rating,,,,,,
player,201611060ram,ram,HigbTy00,rush_att,0,,,,,
player,201611060ram,ram,HigbTy00,rush_yds,0,,,,,
player,201611060ram,ram,HigbTy00,rush_td,0,,,,,
player,201611060ram,ram,HigbTy00,rush_long,0,,,,,
player,201611060ram,ram,HigbTy00,targets,7,,,,,
player,201611060ram,ram,HigbTy00,rec,1,,,,,
player,201611060ram,ram,HigbTy00,rec_yds,31,,,,,
player,201611060ram,ram,HigbTy00,rec_td,0,,,,,
player,201611060ram,ram,HigbTy00,rec_long,31,,,,,
player,201611060ram,ram,HigbTy00,fumbles,0,,,,,
player,201611060ram,ram,HigbTy00,fumbles_lost,0,,,,,
player,201611060ram,ram,CoopPh00,pass_cmp,0,,,,,
player,201611060ram,ram,CoopPh00,pass_att,0,,,,,
player,201611060ram,ram,CoopPh00,pass_yds,0,,,,,
player,201611060ram,ram,CoopPh00,pass_td,0,,,,,
player,201611060ram,ram,CoopPh00,pass_int,0,,,,,
player,201611060ram,ram,CoopPh00,pass_sacked,0,,,,,
player,201611060ram,ram,CoopPh00,pass_sacked_yds,0,,,,,
player,201611060ram,ram,CoopPh00,pass_long,0,,,,,
player,201611060ram,ram,CoopPh00,pass_rating,,,,,,
player,201611060ram,ram,CoopPh00,rush_att,0,,,,,
player,201611060ram,ram,CoopPh00,rush_yds,0,,,,,
player,201611060ram,ram,CoopPh00,rush_td,0,,,,,
player,201611060ram,ram,CoopPh00,rush_long,0,,,,,
player,201611060ram,ram,CoopPh00,targets,1,,,,,
player,201611060ram,ram,CoopPh00,rec,1,,,,,
player,201611060ram,ram,CoopPh00,rec_yds,3,,,,,
player,201611060ram,ram,CoopPh00,rec_td,0,,,,,
player,201611060ram,ram,CoopPh00,rec_long,3,,,,,
player,201611060ram,ram,CoopPh00,fumbles,0,,,,,
player,201611060ram,ram,CoopPh00,fumbles_lost,0,,,,,
player,201611060ram,ram,BrowMa03,pass_cmp,0,,,,,
player,201611060ram,ram,BrowMa03,pass_att,0,,,,,
player,201611060ram,ram,BrowMa03,pass_yds,0,,,,,
player,201611060ram,ram,BrowMa03,pass_td,0,,,,,
player,201611060ram,ram,BrowMa03,pass_int,0,,,,,
player,201611060ram,ram,BrowMa03,pass_sacked,0,,,,,
player,201611060ram,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201611060ram,ram,BrowMa03,pass_long,0,,,,,
player,201611060ram,ram,BrowMa03,pass_rating,,,,,,
player,201611060ram,ram,BrowMa03,rush_att,1,,,,,
player,201611060ram,ram,BrowMa03,rush_yds,0,,,,,
player,201611060ram,ram,BrowMa03,rush_td,0,,,,,
player,201611060ram,ram,BrowMa03,rush_long,0,,,,,
player,201611060ram,ram,BrowMa03,targets,0,,,,,
player,201611060ram,ram,BrowMa03,rec,0,,,,,
player,201611060ram,ram,BrowMa03,rec_yds,0,,,,,
player,201611060ram,ram,BrowMa03,rec_td,0,,,,,
player,201611060ram,ram,BrowMa03,rec_long,0,,,,,
player,201611060ram,ram,BrowMa03,fumbles,0,,,,,
player,201611060ram,ram,BrowMa03,fumbles_lost,0,,,,,
player,201611060ram,ram,MarqBr00,pass_cmp,0,,,,,
player,201611060ram,ram,MarqBr00,pass_att,0,,,,,
player,201611060ram,ram,MarqBr00,pass_yds,0,,,,,
player,201611060ram,ram,MarqBr00,pass_td,0,,,,,
player,201611060ram,ram,MarqBr00,pass_int,0,,,,,
player,201611060ram,ram,MarqBr00,pass_sacked,0,,,,,
player,201611060ram,ram,MarqBr00,pass_sacked_yds,0,,,,,
player,201611060ram,ram,MarqBr00,pass_long,0,,,,,
player,201611060ram,ram,MarqBr00,pass_rating,,,,,,
player,201611060ram,ram,MarqBr00,rush_att,0,,,,,
player,201611060ram,ram,MarqBr00,rush_yds,0,,,,,
player,201611060ram,ram,MarqBr00,rush_td,0,,,,,
player,201611060ram,ram,MarqBr00,rush_long,0,,,,,
player,201611060ram,ram,MarqBr00,targets,1,,,,,
player,201611060ram,ram,MarqBr00,rec,0,,,,,
player,201611060ram,ram,MarqBr00,rec_yds,0,,,,,
player,201611060ram,ram,MarqBr00,rec_td,0,,,,,
player,201611060ram,ram,MarqBr00,rec_long,0,,,,,
player,201611060ram,ram,MarqBr00,fumbles,0,,,,,
player,201611060ram,ram,MarqBr00,fumbles_lost,0,,,,,
player,201611060ram,car,DaviTh20,def_int,1,,,,,
player,201611060ram,car,DaviTh20,def_int_yds,0,,,,,
player,201611060ram,car,DaviTh20,def_int_td,0,,,,,
player,201611060ram,car,DaviTh20,def_int_long,0,,,,,
player,201611060ram,car,DaviTh20,pass_defended,1,,,,,
player,201611060ram,car,DaviTh20,sacks,1.0,,,,,
player,201611060ram,car,DaviTh20,tackles_combined,11,,,,,
player,201611060ram,car,DaviTh20,tackles_solo,10,,,,,
player,201611060ram,car,DaviTh20,tackles_assists,1,,,,,
player,201611060ram,car,DaviTh20,tackles_loss,0,,,,,
player,201611060ram,car,DaviTh20,qb_hits,1,,,,,
player,201611060ram,car,DaviTh20,fumbles_rec,0,,,,,
player,201611060ram,car,DaviTh20,fumbles_rec_yds,0,,,,,
player,201611060ram,car,DaviTh20,fumbles_rec_td,0,,,,,
player,201611060ram,car,DaviTh20,fumbles_forced,1,,,,,
player,201611060ram,car,AddiMa00,def_int,0,,,,,
player,201611060ram,car,AddiMa00,def_int_yds,0,,,,,
player,201611060ram,car,AddiMa00,def_int_td,0,,,,,
player,201611060ram,car,AddiMa00,def_int_long,0,,,,,
player,201611060ram,car,AddiMa00,pass_defended,1,,,,,
player,201611060ram,car,AddiMa00,sacks,2.0,,,,,
