game,2016,4,20161002,201610020was,cle,"Cleveland Browns",20,was,"Washington Redskins",31
player,201610020was,cle,HawkAn00,pass_rating,,,,,,
player,201610020was,cle,HawkAn00,rush_att,0,,,,,
player,201610020was,cle,HawkAn00,rush_yds,0,,,,,
player,201610020was,cle,HawkAn00,rush_td,0,,,,,
player,201610020was,cle,HawkAn00,rush_long,0,,,,,
player,201610020was,cle,HawkAn00,targets,3,,,,,
player,201610020was,cle,HawkAn00,rec,3,,,,,
player,201610020was,cle,HawkAn00,rec_yds,28,,,,,
player,201610020was,cle,HawkAn00,rec_td,0,,,,,
player,201610020was,cle,HawkAn00,rec_long,12,,,,,
player,201610020was,cle,HawkAn00,fumbles,0,,,,,
player,201610020was,cle,HawkAn00,fumbles_lost,0,,,,,
player,201610020was,cle,LouiRi00,pass_cmp,0,,,,,
player,201610020was,cle,LouiRi00,pass_att,0,,,,,
player,201610020was,cle,LouiRi00,pass_yds,0,,,,,
player,201610020was,cle,LouiRi00,pass_td,0,,,,,
player,201610020was,cle,LouiRi00,pass_int,0,,,,,
player,201610020was,cle,LouiRi00,pass_sacked,0,,,,,
player,201610020was,cle,LouiRi00,pass_sacked_yds,0,,,,,
player,201610020was,cle,LouiRi00,pass_long,0,,,,,
player,201610020was,cle,LouiRi00,pass_rating,,,,,,
player,201610020was,cle,LouiRi00,rush_att,0,,,,,
player,201610020was,cle,LouiRi00,rush_yds,0,,,,,
player,201610020was,cle,LouiRi00,rush_td,0,,,,,
player,201610020was,cle,LouiRi00,rush_long,0,,,,,
player,201610020was,cle,LouiRi00,targets,5,,,,,
player,201610020was,cle,LouiRi00,rec,3,,,,,
player,201610020was,cle,LouiRi00,rec_yds,28,,,,,
player,201610020was,cle,LouiRi00,rec_td,0,,,,,
player,201610020was,cle,LouiRi00,rec_long,13,,,,,
player,201610020was,cle,LouiRi00,fumbles,0,,,,,
player,201610020was,cle,LouiRi00,fumbles_lost,0,,,,,
player,201610020was,cle,TelfRa00,pass_cmp,0,,,,,
player,201610020was,cle,TelfRa00,pass_att,0,,,,,
player,201610020was,cle,TelfRa00,pass_yds,0,,,,,
player,201610020was,cle,TelfRa00,pass_td,0,,,,,
player,201610020was,cle,TelfRa00,pass_int,0,,,,,
player,201610020was,cle,TelfRa00,pass_sacked,0,,,,,
player,201610020was,cle,TelfRa00,pass_sacked_yds,0,,,,,
player,201610020was,cle,TelfRa00,pass_long,0,,,,,
player,201610020was,cle,TelfRa00,pass_rating,,,,,,
player,201610020was,cle,TelfRa00,rush_att,0,,,,,
player,201610020was,cle,TelfRa00,rush_yds,0,,,,,
player,201610020was,cle,TelfRa00,rush_td,0,,,,,
player,201610020was,cle,TelfRa00,rush_long,0,,,,,
player,201610020was,cle,TelfRa00,targets,1,,,,,
player,201610020was,cle,TelfRa00,rec,0,,,,,
player,201610020was,cle,TelfRa00,rec_yds,0,,,,,
player,201610020was,cle,TelfRa00,rec_td,0,,,,,
player,201610020was,cle,TelfRa00,rec_long,0,,,,,
player,201610020was,cle,TelfRa00,fumbles,0,,,,,
player,201610020was,cle,TelfRa00,fumbles_lost,0,,,,,
player,201610020was,cle,PryoTe00,pass_cmp,0,,,,,
player,201610020was,cle,PryoTe00,pass_att,0,,,,,
player,201610020was,cle,PryoTe00,pass_yds,0,,,,,
player,201610020was,cle,PryoTe00,pass_td,0,,,,,
player,201610020was,cle,PryoTe00,pass_int,0,,,,,
player,201610020was,cle,PryoTe00,pass_sacked,0,,,,,
player,201610020was,cle,PryoTe00,pass_sacked_yds,0,,,,,
player,201610020was,cle,PryoTe00,pass_long,0,,,,,
player,201610020was,cle,PryoTe00,pass_rating,,,,,,
player,201610020was,cle,PryoTe00,rush_att,1,,,,,
player,201610020was,cle,PryoTe00,rush_yds,-6,,,,,
player,201610020was,cle,PryoTe00,rush_td,0,,,,,
player,201610020was,cle,PryoTe00,rush_long,-6,,,,,
player,201610020was,cle,PryoTe00,targets,9,,,,,
player,201610020was,cle,PryoTe00,rec,5,,,,,
player,201610020was,cle,PryoTe00,rec_yds,46,,,,,
player,201610020was,cle,PryoTe00,rec_td,1,,,,,
player,201610020was,cle,PryoTe00,rec_long,13,,,,,
player,201610020was,cle,PryoTe00,fumbles,0,,,,,
player,201610020was,cle,PryoTe00,fumbles_lost,0,,,,,
player,201610020was,was,CousKi00,pass_cmp,21,,,,,
player,201610020was,was,CousKi00,pass_att,27,,,,,
player,201610020was,was,CousKi00,pass_yds,183,,,,,
player,201610020was,was,CousKi00,pass_td,3,,,,,
player,201610020was,was,CousKi00,pass_int,1,,,,,
player,201610020was,was,CousKi00,pass_sacked,3,,,,,
player,201610020was,was,CousKi00,pass_sacked_yds,27,,,,,
player,201610020was,was,CousKi00,pass_long,26,,,,,
player,201610020was,was,CousKi00,pass_rating,116.5,,,,,
player,201610020was,was,CousKi00,rush_att,0,,,,,
player,201610020was,was,CousKi00,rush_yds,0,,,,,
player,201610020was,was,CousKi00,rush_td,0,,,,,
player,201610020was,was,CousKi00,rush_long,0,,,,,
player,201610020was,was,CousKi00,targets,0,,,,,
player,201610020was,was,CousKi00,rec,0,,,,,
player,201610020was,was,CousKi00,rec_yds,0,,,,,
player,201610020was,was,CousKi00,rec_td,0,,,,,
player,201610020was,was,CousKi00,rec_long,0,,,,,
player,201610020was,was,CousKi00,fumbles,1,,,,,
player,201610020was,was,CousKi00,fumbles_lost,0,,,,,
player,201610020was,was,JoneMa04,pass_cmp,0,,,,,
player,201610020was,was,JoneMa04,pass_att,0,,,,,
player,201610020was,was,JoneMa04,pass_yds,0,,,,,
player,201610020was,was,JoneMa04,pass_td,0,,,,,
player,201610020was,was,JoneMa04,pass_int,0,,,,,
player,201610020was,was,JoneMa04,pass_sacked,0,,,,,
player,201610020was,was,JoneMa04,pass_sacked_yds,0,,,,,
player,201610020was,was,JoneMa04,pass_long,0,,,,,
player,201610020was,was,JoneMa04,pass_rating,,,,,,
player,201610020was,was,JoneMa04,rush_att,22,,,,,
player,201610020was,was,JoneMa04,rush_yds,117,,,,,
player,201610020was,was,JoneMa04,rush_td,1,,,,,
player,201610020was,was,JoneMa04,rush_long,25,,,,,
player,201610020was,was,JoneMa04,targets,2,,,,,
player,201610020was,was,JoneMa04,rec,2,,,,,
player,201610020was,was,JoneMa04,rec_yds,21,,,,,
player,201610020was,was,JoneMa04,rec_td,0,,,,,
player,201610020was,was,JoneMa04,rec_long,16,,,,,
player,201610020was,was,JoneMa04,fumbles,0,,,,,
player,201610020was,was,JoneMa04,fumbles_lost,0,,,,,
player,201610020was,was,ThomCh03,pass_cmp,0,,,,,
player,201610020was,was,ThomCh03,pass_att,0,,,,,
player,201610020was,was,ThomCh03,pass_yds,0,,,,,
player,201610020was,was,ThomCh03,pass_td,0,,,,,
player,201610020was,was,ThomCh03,pass_int,0,,,,,
player,201610020was,was,ThomCh03,pass_sacked,0,,,,,
player,201610020was,was,ThomCh03,pass_sacked_yds,0,,,,,
player,201610020was,was,ThomCh03,pass_long,0,,,,,
player,201610020was,was,ThomCh03,pass_rating,,,,,,
player,201610020was,was,ThomCh03,rush_att,3,,,,,
player,201610020was,was,ThomCh03,rush_yds,24,,,,,
player,201610020was,was,ThomCh03,rush_td,0,,,,,
player,201610020was,was,ThomCh03,rush_long,20,,,,,
player,201610020was,was,ThomCh03,targets,4,,,,,
player,201610020was,was,ThomCh03,rec,2,,,,,
player,201610020was,was,ThomCh03,rec_yds,16,,,,,
player,201610020was,was,ThomCh03,rec_td,1,,,,,
player,201610020was,was,ThomCh03,rec_long,11,,,,,
player,201610020was,was,ThomCh03,fumbles,0,,,,,
player,201610020was,was,ThomCh03,fumbles_lost,0,,,,,
player,201610020was,was,KellRo00,pass_cmp,0,,,,,
player,201610020was,was,KellRo00,pass_att,0,,,,,
player,201610020was,was,KellRo00,pass_yds,0,,,,,
player,201610020was,was,KellRo00,pass_td,0,,,,,
player,201610020was,was,KellRo00,pass_int,0,,,,,
player,201610020was,was,KellRo00,pass_sacked,0,,,,,
player,201610020was,was,KellRo00,pass_sacked_yds,0,,,,,
player,201610020was,was,KellRo00,pass_long,0,,,,,
player,201610020was,was,KellRo00,pass_rating,,,,,,
player,201610020was,was,KellRo00,rush_att,1,,,,,
player,201610020was,was,KellRo00,rush_yds,4,,,,,
player,201610020was,was,KellRo00,rush_td,0,,,,,
player,201610020was,was,KellRo00,rush_long,4,,,,,
player,201610020was,was,KellRo00,targets,0,,,,,
player,201610020was,was,KellRo00,rec,0,,,,,
player,201610020was,was,KellRo00,rec_yds,0,,,,,
player,201610020was,was,KellRo00,rec_td,0,,,,,
player,201610020was,was,KellRo00,rec_long,0,,,,,
player,201610020was,was,KellRo00,fumbles,0,,,,,
player,201610020was,was,KellRo00,fumbles_lost,0,,,,,
player,201610020was,was,ReedJo02,pass_cmp,0,,,,,
player,201610020was,was,ReedJo02,pass_att,0,,,,,
player,201610020was,was,ReedJo02,pass_yds,0,,,,,
player,201610020was,was,ReedJo02,pass_td,0,,,,,
player,201610020was,was,ReedJo02,pass_int,0,,,,,
player,201610020was,was,ReedJo02,pass_sacked,0,,,,,
player,201610020was,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201610020was,was,ReedJo02,pass_long,0,,,,,
player,201610020was,was,ReedJo02,pass_rating,,,,,,
player,201610020was,was,ReedJo02,rush_att,0,,,,,
player,201610020was,was,ReedJo02,rush_yds,0,,,,,
player,201610020was,was,ReedJo02,rush_td,0,,,,,
player,201610020was,was,ReedJo02,rush_long,0,,,,,
player,201610020was,was,ReedJo02,targets,10,,,,,
player,201610020was,was,ReedJo02,rec,9,,,,,
player,201610020was,was,ReedJo02,rec_yds,73,,,,,
player,201610020was,was,ReedJo02,rec_td,2,,,,,
player,201610020was,was,ReedJo02,rec_long,26,,,,,
player,201610020was,was,ReedJo02,fumbles,0,,,,,
player,201610020was,was,ReedJo02,fumbles_lost,0,,,,,
player,201610020was,was,GarcPi00,pass_cmp,0,,,,,
player,201610020was,was,GarcPi00,pass_att,0,,,,,
player,201610020was,was,GarcPi00,pass_yds,0,,,,,
player,201610020was,was,GarcPi00,pass_td,0,,,,,
player,201610020was,was,GarcPi00,pass_int,0,,,,,
player,201610020was,was,GarcPi00,pass_sacked,0,,,,,
player,201610020was,was,GarcPi00,pass_sacked_yds,0,,,,,
player,201610020was,was,GarcPi00,pass_long,0,,,,,
player,201610020was,was,GarcPi00,pass_rating,,,,,,
player,201610020was,was,GarcPi00,rush_att,0,,,,,
player,201610020was,was,GarcPi00,rush_yds,0,,,,,
player,201610020was,was,GarcPi00,rush_td,0,,,,,
player,201610020was,was,GarcPi00,rush_long,0,,,,,
player,201610020was,was,GarcPi00,targets,5,,,,,
player,201610020was,was,GarcPi00,rec,4,,,,,
player,201610020was,was,GarcPi00,rec_yds,39,,,,,
player,201610020was,was,GarcPi00,rec_td,0,,,,,
player,201610020was,was,GarcPi00,rec_long,23,,,,,
player,201610020was,was,GarcPi00,fumbles,0,,,,,
player,201610020was,was,GarcPi00,fumbles_lost,0,,,,,
player,201610020was,was,CrowJa00,pass_cmp,0,,,,,
player,201610020was,was,CrowJa00,pass_att,0,,,,,
player,201610020was,was,CrowJa00,pass_yds,0,,,,,
player,201610020was,was,CrowJa00,pass_td,0,,,,,
player,201610020was,was,CrowJa00,pass_int,0,,,,,
player,201610020was,was,CrowJa00,pass_sacked,0,,,,,
player,201610020was,was,CrowJa00,pass_sacked_yds,0,,,,,
player,201610020was,was,CrowJa00,pass_long,0,,,,,
player,201610020was,was,CrowJa00,pass_rating,,,,,,
player,201610020was,was,CrowJa00,rush_att,0,,,,,
player,201610020was,was,CrowJa00,rush_yds,0,,,,,
player,201610020was,was,CrowJa00,rush_td,0,,,,,
player,201610020was,was,CrowJa00,rush_long,0,,,,,
player,201610020was,was,CrowJa00,targets,3,,,,,
player,201610020was,was,CrowJa00,rec,2,,,,,
player,201610020was,was,CrowJa00,rec_yds,21,,,,,
player,201610020was,was,CrowJa00,rec_td,0,,,,,
player,201610020was,was,CrowJa00,rec_long,15,,,,,
player,201610020was,was,CrowJa00,fumbles,0,,,,,
player,201610020was,was,CrowJa00,fumbles_lost,0,,,,,
player,201610020was,was,DaviVe00,pass_cmp,0,,,,,
player,201610020was,was,DaviVe00,pass_att,0,,,,,
player,201610020was,was,DaviVe00,pass_yds,0,,,,,
player,201610020was,was,DaviVe00,pass_td,0,,,,,
player,201610020was,was,DaviVe00,pass_int,0,,,,,
player,201610020was,was,DaviVe00,pass_sacked,0,,,,,
player,201610020was,was,DaviVe00,pass_sacked_yds,0,,,,,
player,201610020was,was,DaviVe00,pass_long,0,,,,,
player,201610020was,was,DaviVe00,pass_rating,,,,,,
player,201610020was,was,DaviVe00,rush_att,0,,,,,
player,201610020was,was,DaviVe00,rush_yds,0,,,,,
player,201610020was,was,DaviVe00,rush_td,0,,,,,
player,201610020was,was,DaviVe00,rush_long,0,,,,,
player,201610020was,was,DaviVe00,targets,1,,,,,
player,201610020was,was,DaviVe00,rec,1,,,,,
player,201610020was,was,DaviVe00,rec_yds,8,,,,,
player,201610020was,was,DaviVe00,rec_td,0,,,,,
player,201610020was,was,DaviVe00,rec_long,8,,,,,
player,201610020was,was,DaviVe00,fumbles,0,,,,,
player,201610020was,was,DaviVe00,fumbles_lost,0,,,,,
player,201610020was,was,JackDe00,pass_cmp,0,,,,,
player,201610020was,was,JackDe00,pass_att,0,,,,,
player,201610020was,was,JackDe00,pass_yds,0,,,,,
player,201610020was,was,JackDe00,pass_td,0,,,,,
player,201610020was,was,JackDe00,pass_int,0,,,,,
player,201610020was,was,JackDe00,pass_sacked,0,,,,,
player,201610020was,was,JackDe00,pass_sacked_yds,0,,,,,
player,201610020was,was,JackDe00,pass_long,0,,,,,
player,201610020was,was,JackDe00,pass_rating,,,,,,
player,201610020was,was,JackDe00,rush_att,0,,,,,
player,201610020was,was,JackDe00,rush_yds,0,,,,,
player,201610020was,was,JackDe00,rush_td,0,,,,,
player,201610020was,was,JackDe00,rush_long,0,,,,,
player,201610020was,was,JackDe00,targets,2,,,,,
player,201610020was,was,JackDe00,rec,1,,,,,
player,201610020was,was,JackDe00,rec_yds,5,,,,,
player,201610020was,was,JackDe00,rec_td,0,,,,,
player,201610020was,was,JackDe00,rec_long,5,,,,,
player,201610020was,was,JackDe00,fumbles,0,,,,,
player,201610020was,was,JackDe00,fumbles_lost,0,,,,,
player,201610020was,cle,TaylJa01,def_int,1,,,,,
player,201610020was,cle,TaylJa01,def_int_yds,29,,,,,
player,201610020was,cle,TaylJa01,def_int_td,0,,,,,
player,201610020was,cle,TaylJa01,def_int_long,29,,,,,
player,201610020was,cle,TaylJa01,pass_defended,1,,,,,
player,201610020was,cle,TaylJa01,sacks,0.0,,,,,
player,201610020was,cle,TaylJa01,tackles_combined,7,,,,,
player,201610020was,cle,TaylJa01,tackles_solo,5,,,,,
player,201610020was,cle,TaylJa01,tackles_assists,2,,,,,
player,201610020was,cle,TaylJa01,tackles_loss,0,,,,,
player,201610020was,cle,TaylJa01,qb_hits,0,,,,,
player,201610020was,cle,TaylJa01,fumbles_rec,0,,,,,
player,201610020was,cle,TaylJa01,fumbles_rec_yds,0,,,,,
player,201610020was,cle,TaylJa01,fumbles_rec_td,0,,,,,
player,201610020was,cle,TaylJa01,fumbles_forced,0,,,,,
player,201610020was,cle,JohnCa01,def_int,0,,,,,
player,201610020was,cle,JohnCa01,def_int_yds,0,,,,,
player,201610020was,cle,JohnCa01,def_int_td,0,,,,,
player,201610020was,cle,JohnCa01,def_int_long,0,,,,,
player,201610020was,cle,JohnCa01,pass_defended,0,,,,,
player,201610020was,cle,JohnCa01,sacks,2.0,,,,,
player,201610020was,cle,JohnCa01,tackles_combined,4,,,,,
player,201610020was,cle,JohnCa01,tackles_solo,3,,,,,
player,201610020was,cle,JohnCa01,tackles_assists,1,,,,,
player,201610020was,cle,JohnCa01,tackles_loss,2,,,,,
player,201610020was,cle,JohnCa01,qb_hits,3,,,,,
player,201610020was,cle,JohnCa01,fumbles_rec,0,,,,,
player,201610020was,cle,JohnCa01,fumbles_rec_yds,0,,,,,
player,201610020was,cle,JohnCa01,fumbles_rec_td,0,,,,,
player,201610020was,cle,JohnCa01,fumbles_forced,1,,,,,
player,201610020was,cle,BoddBr01,def_int,0,,,,,
player,201610020was,cle,BoddBr01,def_int_yds,0,,,,,
player,201610020was,cle,BoddBr01,def_int_td,0,,,,,
player,201610020was,cle,BoddBr01,def_int_long,0,,,,,
player,201610020was,cle,BoddBr01,pass_defended,0,,,,,
player,201610020was,cle,BoddBr01,sacks,1.0,,,,,
player,201610020was,cle,BoddBr01,tackles_combined,1,,,,,
player,201610020was,cle,BoddBr01,tackles_solo,1,,,,,
player,201610020was,cle,BoddBr01,tackles_assists,0,,,,,
player,201610020was,cle,BoddBr01,tackles_loss,1,,,,,
player,201610020was,cle,BoddBr01,qb_hits,1,,,,,
player,201610020was,cle,BoddBr01,fumbles_rec,0,,,,,
player,201610020was,cle,BoddBr01,fumbles_rec_yds,0,,,,,
player,201610020was,cle,BoddBr01,fumbles_rec_td,0,,,,,
player,201610020was,cle,BoddBr01,fumbles_forced,0,,,,,
player,201610020was,cle,KirkCh00,def_int,0,,,,,
player,201610020was,cle,KirkCh00,def_int_yds,0,,,,,
player,201610020was,cle,KirkCh00,def_int_td,0,,,,,
player,201610020was,cle,KirkCh00,def_int_long,0,,,,,
player,201610020was,cle,KirkCh00,pass_defended,0,,,,,
player,201610020was,cle,KirkCh00,sacks,0.0,,,,,
player,201610020was,cle,KirkCh00,tackles_combined,7,,,,,
player,201610020was,cle,KirkCh00,tackles_solo,4,,,,,
player,201610020was,cle,KirkCh00,tackles_assists,3,,,,,
player,201610020was,cle,KirkCh00,tackles_loss,0,,,,,
player,201610020was,cle,KirkCh00,qb_hits,0,,,,,
player,201610020was,cle,KirkCh00,fumbles_rec,0,,,,,
player,201610020was,cle,KirkCh00,fumbles_rec_yds,0,,,,,
player,201610020was,cle,KirkCh00,fumbles_rec_td,0,,,,,
player,201610020was,cle,KirkCh00,fumbles_forced,0,,,,,
player,201610020was,cle,OgbaEm00,def_int,0,,,,,
player,201610020was,cle,OgbaEm00,def_int_yds,0,,,,,
player,201610020was,cle,OgbaEm00,def_int_td,0,,,,,
player,201610020was,cle,OgbaEm00,def_int_long,0,,,,,
player,201610020was,cle,OgbaEm00,pass_defended,0,,,,,
player,201610020was,cle,OgbaEm00,sacks,0.0,,,,,
player,201610020was,cle,OgbaEm00,tackles_combined,7,,,,,
player,201610020was,cle,OgbaEm00,tackles_solo,3,,,,,
player,201610020was,cle,OgbaEm00,tackles_assists,4,,,,,
player,201610020was,cle,OgbaEm00,tackles_loss,0,,,,,
player,201610020was,cle,OgbaEm00,qb_hits,0,,,,,
player,201610020was,cle,OgbaEm00,fumbles_rec,0,,,,,
player,201610020was,cle,OgbaEm00,fumbles_rec_yds,0,,,,,
player,201610020was,cle,OgbaEm00,fumbles_rec_td,0,,,,,
player,201610020was,cle,OgbaEm00,fumbles_forced,0,,,,,
player,201610020was,cle,PoyeJo00,def_int,0,,,,,
player,201610020was,cle,PoyeJo00,def_int_yds,0,,,,,
player,201610020was,cle,PoyeJo00,def_int_td,0,,,,,
player,201610020was,cle,PoyeJo00,def_int_long,0,,,,,
player,201610020was,cle,PoyeJo00,pass_defended,0,,,,,
player,201610020was,cle,PoyeJo00,sacks,0.0,,,,,
player,201610020was,cle,PoyeJo00,tackles_combined,6,,,,,
player,201610020was,cle,PoyeJo00,tackles_solo,4,,,,,
player,201610020was,cle,PoyeJo00,tackles_assists,2,,,,,
player,201610020was,cle,PoyeJo00,tackles_loss,0,,,,,
player,201610020was,cle,PoyeJo00,qb_hits,0,,,,,
player,201610020was,cle,PoyeJo00,fumbles_rec,0,,,,,
player,201610020was,cle,PoyeJo00,fumbles_rec_yds,0,,,,,
player,201610020was,cle,PoyeJo00,fumbles_rec_td,0,,,,,
player,201610020was,cle,PoyeJo00,fumbles_forced,0,,,,,
