game,2016,12,20161128,201611280phi,gnb,"Green Bay Packers",27,phi,"Philadelphia Eagles",13
player,201611280phi,gnb,RipkAa00,rec_yds,15,,,,,
player,201611280phi,gnb,RipkAa00,rec_td,0,,,,,
player,201611280phi,gnb,RipkAa00,rec_long,9,,,,,
player,201611280phi,gnb,RipkAa00,fumbles,0,,,,,
player,201611280phi,gnb,RipkAa00,fumbles_lost,0,,,,,
player,201611280phi,gnb,AdamDa01,pass_cmp,0,,,,,
player,201611280phi,gnb,AdamDa01,pass_att,0,,,,,
player,201611280phi,gnb,AdamDa01,pass_yds,0,,,,,
player,201611280phi,gnb,AdamDa01,pass_td,0,,,,,
player,201611280phi,gnb,AdamDa01,pass_int,0,,,,,
player,201611280phi,gnb,AdamDa01,pass_sacked,0,,,,,
player,201611280phi,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201611280phi,gnb,AdamDa01,pass_long,0,,,,,
player,201611280phi,gnb,AdamDa01,pass_rating,,,,,,
player,201611280phi,gnb,AdamDa01,rush_att,0,,,,,
player,201611280phi,gnb,AdamDa01,rush_yds,0,,,,,
player,201611280phi,gnb,AdamDa01,rush_td,0,,,,,
player,201611280phi,gnb,AdamDa01,rush_long,0,,,,,
player,201611280phi,gnb,AdamDa01,targets,6,,,,,
player,201611280phi,gnb,AdamDa01,rec,5,,,,,
player,201611280phi,gnb,AdamDa01,rec_yds,113,,,,,
player,201611280phi,gnb,AdamDa01,rec_td,2,,,,,
player,201611280phi,gnb,AdamDa01,rec_long,50,,,,,
player,201611280phi,gnb,AdamDa01,fumbles,0,,,,,
player,201611280phi,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201611280phi,gnb,NelsJo00,pass_cmp,0,,,,,
player,201611280phi,gnb,NelsJo00,pass_att,0,,,,,
player,201611280phi,gnb,NelsJo00,pass_yds,0,,,,,
player,201611280phi,gnb,NelsJo00,pass_td,0,,,,,
player,201611280phi,gnb,NelsJo00,pass_int,0,,,,,
player,201611280phi,gnb,NelsJo00,pass_sacked,0,,,,,
player,201611280phi,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201611280phi,gnb,NelsJo00,pass_long,0,,,,,
player,201611280phi,gnb,NelsJo00,pass_rating,,,,,,
player,201611280phi,gnb,NelsJo00,rush_att,0,,,,,
player,201611280phi,gnb,NelsJo00,rush_yds,0,,,,,
player,201611280phi,gnb,NelsJo00,rush_td,0,,,,,
player,201611280phi,gnb,NelsJo00,rush_long,0,,,,,
player,201611280phi,gnb,NelsJo00,targets,12,,,,,
player,201611280phi,gnb,NelsJo00,rec,8,,,,,
player,201611280phi,gnb,NelsJo00,rec_yds,91,,,,,
player,201611280phi,gnb,NelsJo00,rec_td,0,,,,,
player,201611280phi,gnb,NelsJo00,rec_long,22,,,,,
player,201611280phi,gnb,NelsJo00,fumbles,0,,,,,
player,201611280phi,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201611280phi,gnb,CobbRa00,pass_cmp,0,,,,,
player,201611280phi,gnb,CobbRa00,pass_att,0,,,,,
player,201611280phi,gnb,CobbRa00,pass_yds,0,,,,,
player,201611280phi,gnb,CobbRa00,pass_td,0,,,,,
player,201611280phi,gnb,CobbRa00,pass_int,0,,,,,
player,201611280phi,gnb,CobbRa00,pass_sacked,0,,,,,
player,201611280phi,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201611280phi,gnb,CobbRa00,pass_long,0,,,,,
player,201611280phi,gnb,CobbRa00,pass_rating,,,,,,
player,201611280phi,gnb,CobbRa00,rush_att,0,,,,,
player,201611280phi,gnb,CobbRa00,rush_yds,0,,,,,
player,201611280phi,gnb,CobbRa00,rush_td,0,,,,,
player,201611280phi,gnb,CobbRa00,rush_long,0,,,,,
player,201611280phi,gnb,CobbRa00,targets,7,,,,,
player,201611280phi,gnb,CobbRa00,rec,6,,,,,
player,201611280phi,gnb,CobbRa00,rec_yds,41,,,,,
player,201611280phi,gnb,CobbRa00,rec_td,0,,,,,
player,201611280phi,gnb,CobbRa00,rec_long,12,,,,,
player,201611280phi,gnb,CobbRa00,fumbles,1,,,,,
