game,2016,17,20170101,201701010min,chi,"Chicago Bears",10,min,"Minnesota Vikings",38
player,201701010min,chi,BellJo02,fumbles,0,,,,,
player,201701010min,chi,BellJo02,fumbles_lost,0,,,,,
player,201701010min,chi,AddiBr01,pass_cmp,0,,,,,
player,201701010min,chi,AddiBr01,pass_att,0,,,,,
player,201701010min,chi,AddiBr01,pass_yds,0,,,,,
player,201701010min,chi,AddiBr01,pass_td,0,,,,,
player,201701010min,chi,AddiBr01,pass_int,0,,,,,
player,201701010min,chi,AddiBr01,pass_sacked,0,,,,,
player,201701010min,chi,AddiBr01,pass_sacked_yds,0,,,,,
player,201701010min,chi,AddiBr01,pass_long,0,,,,,
player,201701010min,chi,AddiBr01,pass_rating,,,,,,
player,201701010min,chi,AddiBr01,rush_att,1,,,,,
player,201701010min,chi,AddiBr01,rush_yds,4,,,,,
player,201701010min,chi,AddiBr01,rush_td,0,,,,,
player,201701010min,chi,AddiBr01,rush_long,4,,,,,
player,201701010min,chi,AddiBr01,targets,1,,,,,
player,201701010min,chi,AddiBr01,rec,1,,,,,
player,201701010min,chi,AddiBr01,rec_yds,11,,,,,
player,201701010min,chi,AddiBr01,rec_td,0,,,,,
player,201701010min,chi,AddiBr01,rec_long,11,,,,,
player,201701010min,chi,AddiBr01,fumbles,1,,,,,
player,201701010min,chi,AddiBr01,fumbles_lost,1,,,,,
player,201701010min,chi,BrowDa04,pass_cmp,0,,,,,
player,201701010min,chi,BrowDa04,pass_att,0,,,,,
player,201701010min,chi,BrowDa04,pass_yds,0,,,,,
player,201701010min,chi,BrowDa04,pass_td,0,,,,,
player,201701010min,chi,BrowDa04,pass_int,0,,,,,
player,201701010min,chi,BrowDa04,pass_sacked,0,,,,,
player,201701010min,chi,BrowDa04,pass_sacked_yds,0,,,,,
player,201701010min,chi,BrowDa04,pass_long,0,,,,,
player,201701010min,chi,BrowDa04,pass_rating,,,,,,
player,201701010min,chi,BrowDa04,rush_att,0,,,,,
player,201701010min,chi,BrowDa04,rush_yds,0,,,,,
player,201701010min,chi,BrowDa04,rush_td,0,,,,,
player,201701010min,chi,BrowDa04,rush_long,0,,,,,
player,201701010min,chi,BrowDa04,targets,2,,,,,
player,201701010min,chi,BrowDa04,rec,2,,,,,
player,201701010min,chi,BrowDa04,rec_yds,18,,,,,
player,201701010min,chi,BrowDa04,rec_td,0,,,,,
player,201701010min,chi,BrowDa04,rec_long,12,,,,,
player,201701010min,chi,BrowDa04,fumbles,0,,,,,
player,201701010min,chi,BrowDa04,fumbles_lost,0,,,,,
player,201701010min,chi,JeffAl00,pass_cmp,0,,,,,
player,201701010min,chi,JeffAl00,pass_att,0,,,,,
player,201701010min,chi,JeffAl00,pass_yds,0,,,,,
player,201701010min,chi,JeffAl00,pass_td,0,,,,,
player,201701010min,chi,JeffAl00,pass_int,0,,,,,
player,201701010min,chi,JeffAl00,pass_sacked,0,,,,,
player,201701010min,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201701010min,chi,JeffAl00,pass_long,0,,,,,
player,201701010min,chi,JeffAl00,pass_rating,,,,,,
player,201701010min,chi,JeffAl00,rush_att,0,,,,,
player,201701010min,chi,JeffAl00,rush_yds,0,,,,,
player,201701010min,chi,JeffAl00,rush_td,0,,,,,
player,201701010min,chi,JeffAl00,rush_long,0,,,,,
player,201701010min,chi,JeffAl00,targets,3,,,,,
player,201701010min,chi,JeffAl00,rec,1,,,,,
player,201701010min,chi,JeffAl00,rec_yds,10,,,,,
player,201701010min,chi,JeffAl00,rec_td,0,,,,,
player,201701010min,chi,JeffAl00,rec_long,10,,,,,
player,201701010min,chi,JeffAl00,fumbles,0,,,,,
player,201701010min,chi,JeffAl00,fumbles_lost,0,,,,,
player,201701010min,chi,PruiMy00,pass_cmp,0,,,,,
player,201701010min,chi,PruiMy00,pass_att,0,,,,,
player,201701010min,chi,PruiMy00,pass_yds,0,,,,,
player,201701010min,chi,PruiMy00,pass_td,0,,,,,
player,201701010min,chi,PruiMy00,pass_int,0,,,,,
player,201701010min,chi,PruiMy00,pass_sacked,0,,,,,
player,201701010min,chi,PruiMy00,pass_sacked_yds,0,,,,,
player,201701010min,chi,PruiMy00,pass_long,0,,,,,
player,201701010min,chi,PruiMy00,pass_rating,,,,,,
player,201701010min,chi,PruiMy00,rush_att,0,,,,,
player,201701010min,chi,PruiMy00,rush_yds,0,,,,,
player,201701010min,chi,PruiMy00,rush_td,0,,,,,
player,201701010min,chi,PruiMy00,rush_long,0,,,,,
player,201701010min,chi,PruiMy00,targets,1,,,,,
player,201701010min,chi,PruiMy00,rec,1,,,,,
player,201701010min,chi,PruiMy00,rec_yds,6,,,,,
player,201701010min,chi,PruiMy00,rec_td,0,,,,,
player,201701010min,chi,PruiMy00,rec_long,6,,,,,
player,201701010min,chi,PruiMy00,fumbles,0,,,,,
player,201701010min,chi,PruiMy00,fumbles_lost,0,,,,,
player,201701010min,chi,ThomDe04,pass_cmp,0,,,,,
player,201701010min,chi,ThomDe04,pass_att,0,,,,,
player,201701010min,chi,ThomDe04,pass_yds,0,,,,,
player,201701010min,chi,ThomDe04,pass_td,0,,,,,
player,201701010min,chi,ThomDe04,pass_int,0,,,,,
player,201701010min,chi,ThomDe04,pass_sacked,0,,,,,
player,201701010min,chi,ThomDe04,pass_sacked_yds,0,,,,,
